actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
59,PT07M22.00S,2023-12-12T00:18:15.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628386,91.27792378449409,56.86274509803921,1610612739,8,9,2023-12-12T00:25:28Z,590000,False,34.0,29.0,1,right,MISS J. Allen putback Layup - blocked,"[1628386, 1629048]",1610612739.0,CLE,putback,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,4.52,Missed,,,,,,,,,,,,,,,,,Bitadze,1629048.0
60,PT07M22.00S,2023-12-12T00:18:15.1Z,1,REGULAR,block,,[],1629048,,,1610612739,8,9,2023-12-12T00:18:16Z,600000,False,,,0,,G. Bitadze BLOCK (1 BLK),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
61,PT07M22.00S,2023-12-12T00:18:15.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,8,9,2023-12-12T00:18:26Z,610000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,59.0,,,,,,,,,,,,,,,,,
63,PT07M10.00S,2023-12-12T00:18:37.6Z,1,REGULAR,3pt,Jump Shot,[],1630532,31.35676741130092,73.52941176470588,1610612753,8,9,2023-12-12T00:18:43Z,630000,False,-118.0,242.0,1,left,MISS F. Wagner 26' pullup 3PT,[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,26.93,Missed,,,,,,,,,,,,,,,,,,
64,PT07M07.00S,2023-12-12T00:18:40.6Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,8,9,2023-12-12T00:18:43Z,640000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,,,63.0,,,,,,,,,,,,,1.0,1.0,0.0,,
65,PT06M45.00S,2023-12-12T00:19:02.0Z,1,REGULAR,3pt,Jump Shot,[],1629731,66.44218134034165,30.637254901960787,1610612739,8,12,2023-12-12T00:19:12Z,650000,False,-97.0,263.0,1,right,D. Wade 28' 3PT  (3 PTS) (D. Mitchell 2 AST),"[1629731, 1628378]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Left Center,28.02,Made,,3.0,D. Mitchell,1628378.0,2.0,,,,,,,,,,,,,
67,PT06M29.00S,2023-12-12T00:19:18.3Z,1,REGULAR,2pt,Jump Shot,[],1631094,22.421156373193167,56.372549019607845,1610612753,10,12,2023-12-12T00:19:23Z,670000,False,-32.0,158.0,1,left,P. Banchero 16' pullup Jump Shot (4 PTS),[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Center,16.15,Made,,4.0,,,,,,,,,,,,,,,,
68,PT06M10.00S,2023-12-12T00:19:39.3Z,1,REGULAR,foul,personal,['2freethrow'],1629048,,,1610612739,10,12,2023-12-12T00:22:46Z,680000,False,,,0,,G. Bitadze shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1629048, 1628378]",1610612753.0,ORL,shooting,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,204058.0,1.0,0.0,Mitchell,1628378.0,,,,,
70,PT06M10.00S,2023-12-12T00:20:15.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,10,12,2023-12-12T00:20:15Z,700000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M10.00S,2023-12-12T00:20:43.4Z,1,REGULAR,substitution,out,[],1630532,,,1610612739,10,12,2023-12-12T00:22:40Z,710000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M10.00S,2023-12-12T00:20:43.4Z,1,REGULAR,substitution,out,[],1629636,,,1610612739,10,12,2023-12-12T00:22:40Z,720000,False,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M10.00S,2023-12-12T00:20:43.4Z,1,REGULAR,substitution,out,[],1629731,,,1610612739,10,12,2023-12-12T00:22:40Z,730000,False,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M10.00S,2023-12-12T00:20:43.4Z,1,REGULAR,substitution,in,[],204060,,,1610612739,10,12,2023-12-12T00:22:40Z,740000,False,,,0,,SUB in: J. Ingles,[204060],1610612753.0,ORL,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M10.00S,2023-12-12T00:20:43.4Z,1,REGULAR,substitution,in,[],1627777,,,1610612739,10,12,2023-12-12T00:22:40Z,750000,False,,,0,,SUB in: G. Niang,[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M10.00S,2023-12-12T00:20:43.4Z,1,REGULAR,substitution,in,[],1630171,,,1610612739,10,12,2023-12-12T00:22:40Z,760000,False,,,0,,SUB in: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M10.00S,2023-12-12T00:23:02.8Z,1,REGULAR,freethrow,1 of 2,[],1628378,,,1610612739,10,13,2023-12-12T00:23:02Z,770000,False,,,0,,D. Mitchell Free Throw 1 of 2 (6 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,,6.0,,,,,,,,,,,,,,,,
78,PT06M10.00S,2023-12-12T00:23:23.8Z,1,REGULAR,freethrow,2 of 2,[],1628378,,,1610612739,10,14,2023-12-12T00:23:23Z,780000,False,,,0,,D. Mitchell Free Throw 2 of 2 (7 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,,7.0,,,,,,,,,,,,,,,,
79,PT05M56.00S,2023-12-12T00:23:40.7Z,1,REGULAR,turnover,traveling,[],1631094,,,1610612753,10,14,2023-12-12T00:23:46Z,790000,False,,,0,,P. Banchero traveling TURNOVER (3 TO),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,,,,,,3.0,,,201639.0,,,,,,,,,
80,PT05M46.00S,2023-12-12T00:23:56.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629622,82.60512483574244,96.32352941176471,1610612739,10,14,2023-12-12T00:24:01Z,800000,False,232.0,111.0,1,right,MISS M. Strus 25' 3PT,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,25.68,Missed,,,,,,,,,,,,,,,,,,
81,PT05M43.00S,2023-12-12T00:23:59.9Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,10,14,2023-12-12T00:24:01Z,810000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:2),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Right Center,,,80.0,,,,,,,,,,,,,3.0,2.0,1.0,,
82,PT05M34.00S,2023-12-12T00:24:08.6Z,1,REGULAR,3pt,Jump Shot,[],1631094,12.040078843626807,3.1862745098039214,1610612753,10,14,2023-12-12T00:24:15Z,820000,False,234.0,61.0,1,left,MISS P. Banchero 24' 3PT,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Right Corner 3,24+ Right,24.18,Missed,,,,,,,,,,,,,,,,,,
83,PT05M33.00S,2023-12-12T00:24:09.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,10,14,2023-12-12T00:24:15Z,830000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Right Corner 3,24+ Right,,,82.0,,,,,,,,,,,,,,,,,
