actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT10M52.00S,2024-12-31T02:13:23.4Z,1,REGULAR,block,,[],1631128,,,1610612762,3,0,2024-12-31T02:13:27Z,150000,False,,,0,,C. Braun BLOCK (1 BLK),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2024-12-31T02:13:23.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,3,0,2024-12-31T02:13:28Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,14.0,,,,,,,,,,,,,,,,
19,PT10M42.00S,2024-12-31T02:14:08.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641718,71.82982917214193,86.51960784313727,1610612762,3,0,2024-12-31T02:14:12Z,190000,False,183.0,212.0,1,right,MISS K. George 28' 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,28.0,Missed,,,,,,,,,,,,,,,,,,
20,PT10M39.00S,2024-12-31T02:14:11.3Z,1,REGULAR,rebound,defensive,[],201566,,,1610612743,3,0,2024-12-31T02:14:12Z,200000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Right Center,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
21,PT10M35.00S,2024-12-31T02:14:15.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631128,9.411957950065702,51.225490196078425,1610612743,3,2,2024-12-31T02:14:21Z,210000,False,-6.0,36.0,1,left,C. Braun running DUNK (2 PTS) (R. Westbrook 1 AST),"[1631128, 201566]",1610612743.0,DEN,running,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,3.65,Made,2.0,,,,,,,R. Westbrook,201566.0,1.0,,,,,,,,
23,PT10M19.00S,2024-12-31T02:14:30.6Z,1,REGULAR,3pt,Jump Shot,[],1628374,67.36202365308804,55.14705882352941,1610612762,3,2,2024-12-31T02:14:34Z,230000,False,26.0,254.0,1,right,MISS L. Markkanen 25' 3PT - blocked,"[1628374, 1627750]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,25.56,Missed,,,,,,Murray,1627750.0,,,,,,,,,,,
24,PT10M19.00S,2024-12-31T02:14:30.6Z,1,REGULAR,block,,[],1627750,,,1610612762,3,2,2024-12-31T02:14:32Z,240000,False,,,0,,J. Murray BLOCK (1 BLK),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
25,PT10M17.00S,2024-12-31T02:14:32.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,2,2024-12-31T02:14:34Z,250000,False,,,0,,N. Jokić REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Center,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,
26,PT10M13.00S,2024-12-31T02:14:37.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629008,7.30946123521682,52.94117647058824,1610612743,3,4,2024-12-31T02:14:47Z,260000,False,-15.0,16.0,1,left,M. Porter Jr. running Layup (2 PTS) (C. Braun 1 AST),"[1629008, 1631128]",1610612743.0,DEN,running,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,2.19,Made,2.0,,,,,,,C. Braun,1631128.0,1.0,,,,,,,,
29,PT09M56.00S,2024-12-31T02:15:07.3Z,1,REGULAR,turnover,bad pass,[],1628374,,,1610612762,3,4,2024-12-31T02:15:12Z,290000,False,,,0,,L. Markkanen bad pass TURNOVER (1 TO),"[1628374, 203999]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,Jokić,203999.0,,,,,
30,PT09M56.00S,2024-12-31T02:15:07.3Z,1,REGULAR,steal,,[],203999,,,1610612743,3,4,2024-12-31T02:15:09Z,300000,False,,,0,,N. Jokić STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
31,PT09M52.00S,2024-12-31T02:15:11.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631128,8.754927726675426,50.98039215686274,1610612743,3,6,2024-12-31T02:17:05Z,310000,False,-5.0,30.0,1,left,C. Braun running finger roll Layup (4 PTS) (R. Westbrook 2 AST),"[1631128, 201566]",1610612743.0,DEN,running finger roll,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,3.02,Made,4.0,,,,,,,R. Westbrook,201566.0,2.0,,,,,,,,
33,PT09M30.00S,2024-12-31T02:15:33.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630548,87.86136662286465,51.71568627450981,1610612762,5,6,2024-12-31T02:17:26Z,330000,False,9.0,62.0,1,right,J. Juzang 6' driving floating Jump Shot (2 PTS),[1630548],1610612762.0,UTA,driving floating,,,Juzang,J. Juzang,,,,,In The Paint (Non-RA),0-8 Center,6.22,Made,2.0,,,,,,,,,,,,,,,,,
34,PT09M12.00S,2024-12-31T02:15:50.8Z,1,REGULAR,3pt,Jump Shot,[],1629008,27.677398160315374,82.59803921568627,1610612743,5,9,2024-12-31T02:15:55Z,340000,False,-163.0,208.0,1,left,M. Porter Jr. 26' 3PT  (5 PTS) (J. Murray 1 AST),"[1629008, 1627750]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,26.4,Made,5.0,,,,,,,J. Murray,1627750.0,1.0,,,,,,,,
36,PT08M58.00S,2024-12-31T02:16:04.0Z,1,REGULAR,3pt,Jump Shot,[],1630548,70.38436268068331,26.47058823529412,1610612762,8,9,2024-12-31T02:16:08Z,360000,False,-118.0,226.0,1,right,J. Juzang 25' 3PT  (5 PTS) (C. Sexton 1 AST),"[1630548, 1629012]",1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,Above the Break 3,24+ Left Center,25.47,Made,5.0,,,,,,,C. Sexton,1629012.0,1.0,,,,,,,,
38,PT08M42.00S,2024-12-31T02:16:20.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,15.719448094612352,49.01960784313725,1610612743,8,9,2024-12-31T02:16:25Z,380000,False,5.0,95.0,1,left,MISS N. Jokić 9' floating Shot,[203999],1610612743.0,DEN,floating,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Center,9.54,Missed,,,,,,,,,,,,,,,,,,
39,PT08M39.00S,2024-12-31T02:16:23.8Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,8,9,2024-12-31T02:16:25Z,390000,False,,,0,,W. Kessler REBOUND (Off:0 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Center,,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,
40,PT08M27.00S,2024-12-31T02:16:35.7Z,1,REGULAR,3pt,Jump Shot,[],1629012,89.70105124835742,3.9215686274509802,1610612762,8,9,2024-12-31T02:16:39Z,400000,False,-230.0,44.0,1,right,MISS C. Sexton 3PT,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Left Corner 3,24+ Left,23.46,Missed,,,,,,,,,,,,,,,,,,
41,PT08M25.00S,2024-12-31T02:16:37.7Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,8,9,2024-12-31T02:16:39Z,410000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Left Corner 3,24+ Left,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,
42,PT08M20.00S,2024-12-31T02:16:43.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627750,3.630091984231275,96.81372549019608,1610612743,8,9,2024-12-31T02:18:59Z,420000,False,-234.0,-18.0,1,left,MISS J. Murray running 3PT,[1627750],1610612743.0,DEN,running,,,Murray,J. Murray,,,,,Left Corner 3,24+ Left,23.48,Missed,,,,,,,,,,,,,,,,,,
43,PT08M17.00S,2024-12-31T02:16:45.6Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,8,9,2024-12-31T02:16:45Z,430000,False,,,0,,N. Jokić REBOUND (Off:1 Def:2),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Left Corner 3,24+ Left,,,,42.0,3.0,2.0,1.0,,,,,,,,,,,,,
44,PT08M15.00S,2024-12-31T02:16:48.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627750,4.812746386333772,47.05882352941176,1610612743,8,11,2024-12-31T02:19:27Z,440000,False,15.0,-7.0,1,left,J. Murray cutting Layup (2 PTS) (N. Jokić 1 AST),"[1627750, 203999]",1610612743.0,DEN,cutting,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,1.64,Made,2.0,,,,,,,N. Jokić,203999.0,1.0,,,,,,,,
46,PT07M50.00S,2024-12-31T02:17:12.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,90.22667542706965,39.46078431372549,1610612762,10,11,2024-12-31T02:17:16Z,460000,False,-53.0,39.0,1,right,C. Sexton 6' driving floating bank Jump Shot (2 PTS) (W. Kessler 1 AST),"[1629012, 1631117]",1610612762.0,UTA,driving floating bank,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,6.58,Made,2.0,,,,,,,W. Kessler,1631117.0,1.0,,,,,,,,
47,PT07M30.00S,2024-12-31T02:17:33.1Z,1,REGULAR,3pt,Jump Shot,[],1629008,3.235873850197109,96.81372549019608,1610612743,10,14,2024-12-31T02:17:37Z,470000,False,-234.0,-22.0,1,left,M. Porter Jr. 3PT  (8 PTS) (N. Jokić 2 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Left Corner 3,24+ Left,23.51,Made,8.0,,,,,,,N. Jokić,203999.0,2.0,,,,,,,,
49,PT07M29.00S,2024-12-31T02:17:38.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,10,14,2024-12-31T02:17:38Z,490000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M14.00S,2024-12-31T02:20:46.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631117,91.67214191852825,45.588235294117645,1610612762,12,14,2024-12-31T02:20:51Z,500000,False,-22.0,26.0,1,right,W. Kessler cutting DUNK (2 PTS) (K. George 1 AST),"[1631117, 1641718]",1610612762.0,UTA,cutting,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,3.4,Made,2.0,,,,,,,K. George,1641718.0,1.0,,,,,,,,
53,PT06M49.00S,2024-12-31T02:21:10.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,16.770696452036795,46.81372549019608,1610612743,12,14,2024-12-31T02:21:15Z,520000,False,16.0,105.0,1,left,MISS N. Jokić 10' fadeaway Shot,[203999],1610612743.0,DEN,fadeaway,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Center,10.63,Missed,,,,,,,,,,,,,,,,,,
54,PT06M47.00S,2024-12-31T02:21:12.5Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,12,14,2024-12-31T02:21:15Z,530000,False,,,0,,W. Kessler REBOUND (Off:0 Def:3),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Center,,,,53.0,3.0,3.0,0.0,,,,,,,,,,,,,
55,PT06M36.00S,2024-12-31T02:21:24.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,92.72339027595268,46.568627450980394,1610612762,14,14,2024-12-31T02:21:29Z,540000,False,-17.0,16.0,1,right,L. Markkanen driving Layup (2 PTS) (J. Juzang 1 AST),"[1628374, 1630548]",1610612762.0,UTA,driving,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,2.34,Made,2.0,,,,,,,J. Juzang,1630548.0,1.0,,,,,,,,
57,PT06M23.00S,2024-12-31T02:21:36.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,7.046649145860711,58.82352941176471,1610612743,14,14,2024-12-31T02:24:31Z,560000,False,-44.0,14.0,1,left,MISS M. Porter Jr. driving Layup,[1629008],1610612743.0,DEN,driving,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.62,Missed,,,,,,,,,,,,,,,,,,
58,PT06M21.00S,2024-12-31T02:21:38.4Z,1,REGULAR,rebound,offensive,[],201566,,,1610612743,14,14,2024-12-31T02:24:31Z,570000,False,,,0,,R. Westbrook REBOUND (Off:1 Def:1),[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,,,,57.0,2.0,1.0,1.0,,,,,,,,,,,,,
59,PT06M21.00S,2024-12-31T02:21:38.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201566,5.590000152587891,50.0,1610612743,14,16,2024-12-31T02:21:38Z,580000,False,0.0,0.0,1,left,R. Westbrook tip Layup (2 PTS),[201566],1610612743.0,DEN,tip,,,Westbrook,R. Westbrook,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
60,PT06M07.00S,2024-12-31T02:21:52.8Z,1,REGULAR,3pt,Jump Shot,[],1628374,67.7562417871222,37.00980392156863,1610612762,17,16,2024-12-31T02:21:57Z,590000,False,-65.0,251.0,1,right,L. Markkanen 25' 3PT  (5 PTS) (C. Sexton 2 AST),"[1628374, 1629012]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,25.89,Made,5.0,,,,,,,C. Sexton,1629012.0,2.0,,,,,,,,
62,PT05M50.00S,2024-12-31T02:22:09.3Z,1,REGULAR,3pt,Jump Shot,[],203999,28.597240473061763,75.24509803921569,1610612743,17,16,2024-12-31T02:22:13Z,610000,False,-126.0,216.0,1,left,MISS N. Jokić 25' 3PT,[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Left Center,25.04,Missed,,,,,,,,,,,,,,,,,,
63,PT05M49.00S,2024-12-31T02:22:10.3Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,17,16,2024-12-31T02:22:13Z,620000,False,,,0,,W. Kessler REBOUND (Off:0 Def:4),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Left Center,,,,62.0,4.0,4.0,0.0,,,,,,,,,,,,,
64,PT05M30.00S,2024-12-31T02:22:30.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,93.11760840998686,64.95098039215686,1610612762,19,16,2024-12-31T02:23:45Z,630000,False,75.0,12.0,1,right,C. Sexton 7' fadeaway Jump Shot (4 PTS),[1629012],1610612762.0,UTA,fadeaway,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,7.58,Made,4.0,,,,,,,,,,,,,,,,,
65,PT05M24.00S,2024-12-31T02:22:36.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631128,7.835085413929041,45.09803921568628,1610612743,19,16,2024-12-31T02:22:40Z,640000,False,25.0,21.0,1,left,MISS C. Braun DUNK,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,3.23,Missed,,,,,,,,,,,,,,,,,,
67,PT05M21.00S,2024-12-31T02:22:39.3Z,1,REGULAR,rebound,defensive,[],1630548,,,1610612762,19,16,2024-12-31T02:22:40Z,660000,False,,,0,,J. Juzang REBOUND (Off:0 Def:1),[1630548],1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,Restricted Area,0-8 Center,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,
68,PT05M18.00S,2024-12-31T02:22:42.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630548,72.22404730617609,10.784313725490197,1610612762,22,16,2024-12-31T02:22:55Z,670000,False,-196.0,209.0,1,right,J. Juzang 28' 3PT running pullup (8 PTS),[1630548],1610612762.0,UTA,running pullup,,,Juzang,J. Juzang,,,,,Above the Break 3,24+ Left Center,28.63,Made,8.0,,,,,,,,,,,,,,,,,
69,PT05M16.00S,2024-12-31T02:22:49.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,22,16,2024-12-31T02:22:49Z,680000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M16.00S,2024-12-31T02:25:11.8Z,1,REGULAR,substitution,out,[],1641718,,,1610612743,22,16,2024-12-31T02:25:31Z,690000,False,,,0,,SUB out: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M16.00S,2024-12-31T02:25:11.8Z,1,REGULAR,substitution,out,[],1630548,,,1610612743,22,16,2024-12-31T02:25:31Z,700000,False,,,0,,SUB out: J. Juzang,[1630548],1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M16.00S,2024-12-31T02:25:11.8Z,1,REGULAR,substitution,out,[],1627750,,,1610612743,22,16,2024-12-31T02:25:31Z,710000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M16.00S,2024-12-31T02:25:11.8Z,1,REGULAR,substitution,in,[],203903,,,1610612743,22,16,2024-12-31T02:25:31Z,720000,False,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M16.00S,2024-12-31T02:25:11.8Z,1,REGULAR,substitution,in,[],1642262,,,1610612743,22,16,2024-12-31T02:25:31Z,730000,False,,,0,,SUB in: C. Williams,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M16.00S,2024-12-31T02:25:11.8Z,1,REGULAR,substitution,in,[],1631124,,,1610612743,22,16,2024-12-31T02:25:31Z,740000,False,,,0,,SUB in: J. Strawther,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M05.00S,2024-12-31T02:25:48.9Z,1,REGULAR,3pt,Jump Shot,[],203999,24.129434954007884,14.215686274509803,1610612743,22,19,2024-12-31T02:25:54Z,750000,False,179.0,174.0,1,left,N. Jokić 24' 3PT  (3 PTS) (R. Westbrook 3 AST),"[203999, 201566]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Right Center,24.98,Made,3.0,,,,,,,R. Westbrook,201566.0,3.0,,,,,,,,
78,PT04M44.00S,2024-12-31T02:26:08.7Z,1,REGULAR,2pt,Jump Shot,[],1629012,84.05059132720105,24.754901960784316,1610612762,24,19,2024-12-31T02:26:12Z,770000,False,-126.0,97.0,1,right,C. Sexton 15' pullup Jump Shot (6 PTS) (C. Williams 1 AST),"[1629012, 1642262]",1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Left,15.94,Made,6.0,,,,,,,C. Williams,1642262.0,1.0,,,,,,,,
80,PT04M26.00S,2024-12-31T02:26:27.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,11.514454664914586,47.549019607843135,1610612743,24,19,2024-12-31T02:27:35Z,790000,False,12.0,56.0,1,left,MISS N. Jokić driving floating bank Shot,[203999],1610612743.0,DEN,driving floating bank,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,5.7,Missed,,,,,,,,,,,,,,,,,,
81,PT04M23.00S,2024-12-31T02:26:30.3Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,24,19,2024-12-31T02:26:32Z,800000,False,,,0,,N. Jokić REBOUND (Off:2 Def:2),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,,,,80.0,4.0,2.0,2.0,,,,,,,,,,,,,
82,PT04M23.00S,2024-12-31T02:26:29.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,5.590000152587891,50.0,1610612743,24,21,2024-12-31T02:26:29Z,810000,False,0.0,0.0,1,left,N. Jokić tip Layup (5 PTS),[203999],1610612743.0,DEN,tip,,,Jokić,N. Jokić,,,,,Mid-Range,8-16 Left,0.0,Made,5.0,,,,,,,,,,,,,,,,,
83,PT04M16.00S,2024-12-31T02:26:37.3Z,1,REGULAR,3pt,Jump Shot,[],1628374,63.15703022339028,47.05882352941176,1610612762,24,21,2024-12-31T02:26:42Z,820000,False,-15.0,294.0,1,right,MISS L. Markkanen 29' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,29.42,Missed,,,,,,,,,,,,,,,,,,
84,PT04M12.00S,2024-12-31T02:26:41.3Z,1,REGULAR,rebound,defensive,[],201566,,,1610612743,24,21,2024-12-31T02:26:42Z,830000,False,,,0,,R. Westbrook REBOUND (Off:1 Def:2),[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Center,,,,83.0,3.0,2.0,1.0,,,,,,,,,,,,,
85,PT04M09.00S,2024-12-31T02:26:45.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631128,10.988830486202366,49.50980392156863,1610612743,24,23,2024-12-31T02:28:28Z,840000,False,2.0,51.0,1,left,C. Braun running finger roll Layup (6 PTS) (R. Westbrook 4 AST),"[1631128, 201566]",1610612743.0,DEN,running finger roll,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,5.09,Made,6.0,,,,,,,R. Westbrook,201566.0,4.0,,,,,,,,
