actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
40,PT09M17.00S,2025-02-04T02:15:41.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,85.75886990801577,43.38235294117647,1610612754,4,6,2025-02-04T02:15:49Z,400000,False,-33.0,81.0,1,right,A. Nembhard 8' pullup Jump Shot (2 PTS) (P. Siakam 1 AST),"[1629614, 1627783]",1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,8.79,,,,,,,P. Siakam,1627783.0,1.0,,,
42,PT09M16.00S,2025-02-04T02:15:47.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,4,6,2025-02-04T02:15:47Z,420000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT09M16.00S,2025-02-04T02:18:09.4Z,1,REGULAR,substitution,out,[],1629012,,,1610612762,4,6,2025-02-04T02:18:26Z,430000,False,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT09M16.00S,2025-02-04T02:18:09.4Z,1,REGULAR,substitution,in,[],1641718,,,1610612762,4,6,2025-02-04T02:18:26Z,440000,False,,,0,,SUB in: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M59.00S,2025-02-04T02:18:54.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628381,6.915243101182654,51.225490196078425,1610612762,6,6,2025-02-04T02:18:58Z,450000,False,-6.0,13.0,1,left,J. Collins cutting DUNK (2 PTS) (I. Collier 2 AST),"[1628381, 1642268]",1610612762.0,UTA,cutting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.39,,,,,,,I. Collier,1642268.0,2.0,,,
47,PT08M51.00S,2025-02-04T02:19:02.8Z,1,REGULAR,3pt,Jump Shot,[],1630169,72.09264126149803,77.69607843137256,1610612754,6,6,2025-02-04T02:19:08Z,470000,False,138.0,210.0,1,right,MISS T. Haliburton 25' step back 3PT,[1630169],1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.14,,,,,,,,,,,,
48,PT08M47.00S,2025-02-04T02:19:06.1Z,1,REGULAR,rebound,offensive,[],1631097,,,1610612754,6,6,2025-02-04T02:19:06Z,480000,False,,,0,,B. Mathurin REBOUND (Off:1 Def:0),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,47.0,1.0,0.0,1.0,,,,,,
49,PT08M34.00S,2025-02-04T02:19:19.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628418,95.74572930354796,78.43137254901961,1610612754,6,8,2025-02-04T02:20:07Z,490000,False,142.0,-13.0,1,right,T. Bryant 14' Jump Shot (2 PTS),[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,Mid-Range,8-16 Right,,,,,,Made,2.0,14.27,,,,,,,,,,,,
50,PT08M22.00S,2025-02-04T02:19:36.7Z,1,REGULAR,foul,offensive,[],1631117,,,1610612762,6,8,2025-02-04T02:19:43Z,500000,False,,,0,,W. Kessler offensive FOUL (1 PF),"[1631117, 1629614]",1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Right,1626300.0,1.0,0.0,Nembhard,1629614.0,,,,,,,,,,,,,,,
52,PT08M22.00S,2025-02-04T02:19:36.7Z,1,REGULAR,turnover,offensive foul,[],1631117,,,1610612762,6,8,2025-02-04T02:19:36Z,520000,False,,,0,,W. Kessler offensive foul TURNOVER (1 TO),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Right,1626300.0,,,,,,,,,,,,,,,,,1.0,,
53,PT08M08.00S,2025-02-04T02:20:00.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631097,70.64717477003943,74.26470588235294,1610612754,6,8,2025-02-04T02:20:06Z,530000,False,121.0,223.0,1,right,MISS B. Mathurin 25' step back 3PT,[1631097],1610612754.0,IND,step back,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.42,,,,,,,,,,,,
54,PT08M05.00S,2025-02-04T02:20:03.5Z,1,REGULAR,rebound,offensive,[],1628418,,,1610612754,6,8,2025-02-04T02:20:06Z,540000,False,,,0,,T. Bryant REBOUND (Off:1 Def:0),[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,53.0,1.0,0.0,1.0,,,,,,
55,PT08M03.00S,2025-02-04T02:20:04.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630169,67.7562417871222,48.77450980392157,1610612754,6,8,2025-02-04T02:20:09Z,550000,False,-6.0,251.0,1,right,MISS T. Haliburton 25' 3PT,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,,,,,,Missed,,25.07,,,,,,,,,,,,
56,PT08M01.00S,2025-02-04T02:20:06.8Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,6,8,2025-02-04T02:20:09Z,560000,False,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Center,,,,,,,,,,,55.0,2.0,2.0,0.0,,,,,,
57,PT07M53.00S,2025-02-04T02:20:15.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642268,13.61695137976347,44.36274509803921,1610612762,6,8,2025-02-04T02:20:19Z,570000,False,28.0,75.0,1,left,MISS I. Collier 8' driving floating Shot,[1642268],1610612762.0,UTA,driving floating,,,Collier,I. Collier,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,8.06,,,,,,,,,,,,
58,PT07M51.00S,2025-02-04T02:20:17.0Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,6,8,2025-02-04T02:20:19Z,580000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,
59,PT07M48.00S,2025-02-04T02:20:20.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630169,73.27529566360053,15.686274509803921,1610612754,6,11,2025-02-04T02:20:27Z,590000,False,-172.0,199.0,1,right,T. Haliburton 26' 3PT running pullup (5 PTS) (P. Siakam 2 AST),"[1630169, 1627783]",1610612754.0,IND,running pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,,,,Made,5.0,26.25,,,,,,,P. Siakam,1627783.0,2.0,,,
61,PT07M25.00S,2025-02-04T02:20:42.8Z,1,REGULAR,3pt,Jump Shot,[],1642268,4.812746386333772,96.56862745098039,1610612762,6,11,2025-02-04T02:20:47Z,610000,False,-233.0,-7.0,1,left,MISS I. Collier 3PT,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Left Corner 3,24+ Left,,,,,,Missed,,23.29,,,,,,,,,,,,
62,PT07M22.00S,2025-02-04T02:20:45.8Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612754,6,11,2025-02-04T02:20:47Z,620000,False,,,0,,T. Bryant REBOUND (Off:1 Def:1),[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,Left Corner 3,24+ Left,,,,,,,,,,,61.0,2.0,1.0,1.0,,,,,,
63,PT07M12.00S,2025-02-04T02:20:56.1Z,1,REGULAR,2pt,Jump Shot,[],1631097,79.188567674113,45.34313725490196,1610612754,6,11,2025-02-04T02:21:00Z,630000,False,-23.0,143.0,1,right,MISS B. Mathurin 14' pullup Shot,[1631097],1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Mid-Range,8-16 Center,,,,,,Missed,,14.5,,,,,,,,,,,,
64,PT07M09.00S,2025-02-04T02:20:59.1Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,6,11,2025-02-04T02:21:00Z,640000,False,,,0,,W. Kessler REBOUND (Off:1 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Mid-Range,8-16 Center,,,,,,,,,,,63.0,3.0,2.0,1.0,,,,,,
65,PT06M59.00S,2025-02-04T02:21:09.3Z,1,REGULAR,3pt,Jump Shot,[],1628381,8.623521681997373,3.431372549019608,1610612762,9,11,2025-02-04T02:21:15Z,650000,False,233.0,29.0,1,left,J. Collins 3PT  (5 PTS) (K. George 1 AST),"[1628381, 1641718]",1610612762.0,UTA,,,,Collins,J. Collins,,,,,Right Corner 3,24+ Right,,,,,,Made,5.0,23.46,,,,,,,K. George,1641718.0,1.0,,,
67,PT06M45.00S,2025-02-04T02:21:23.2Z,1,REGULAR,3pt,Jump Shot,[],1630169,67.23061760840999,45.588235294117645,1610612754,9,11,2025-02-04T02:21:48Z,670000,False,-22.0,256.0,1,right,MISS T. Haliburton 25' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,,,,,,Missed,,25.65,,,,,,,,,,,,
68,PT06M43.00S,2025-02-04T02:21:25.2Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,9,11,2025-02-04T02:21:28Z,680000,False,,,0,,J. Collins REBOUND (Off:0 Def:3),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Center,,,,,,,,,,,67.0,3.0,3.0,0.0,,,,,,
69,PT06M25.00S,2025-02-04T02:21:43.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,10.463206307490145,58.57843137254902,1610612762,11,11,2025-02-04T02:22:11Z,690000,False,-43.0,46.0,1,left,J. Collins 6' driving floating Jump Shot (7 PTS),[1628381],1610612762.0,UTA,driving floating,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,7.0,6.28,,,,,,,,,,,,
70,PT06M04.00S,2025-02-04T02:22:04.2Z,1,REGULAR,3pt,Jump Shot,[],1627783,71.96123521681997,21.323529411764707,1610612754,11,11,2025-02-04T02:22:10Z,700000,False,-143.0,211.0,1,right,MISS P. Siakam 25' 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.52,,,,,,,,,,,,
71,PT06M01.00S,2025-02-04T02:22:07.2Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,11,11,2025-02-04T02:22:10Z,710000,False,,,0,,J. Collins REBOUND (Off:0 Def:4),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,70.0,4.0,4.0,0.0,,,,,,
72,PT05M52.00S,2025-02-04T02:22:17.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631117,5.601182654402102,46.07843137254902,1610612762,13,11,2025-02-04T02:22:21Z,720000,False,20.0,0.0,1,left,W. Kessler reverse Layup (4 PTS) (I. Collier 3 AST),"[1631117, 1642268]",1610612762.0,UTA,reverse,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,1.96,,,,,,,I. Collier,1642268.0,3.0,,,
74,PT05M52.00S,2025-02-04T02:22:19.9Z,1,REGULAR,foul,personal,['1freethrow'],1627783,,,1610612762,13,11,2025-02-04T02:22:27Z,740000,False,,,0,,P. Siakam shooting personal FOUL (1 PF) (Kessler 1 FT),"[1627783, 1631117]",1610612754.0,IND,shooting,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1627962.0,1.0,0.0,Kessler,1631117.0,,,,,,,,,,,,,,,
76,PT05M52.00S,2025-02-04T02:22:30.5Z,1,REGULAR,substitution,out,[],1631097,,,1610612762,13,11,2025-02-04T02:23:19Z,760000,False,,,0,,SUB out: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M52.00S,2025-02-04T02:22:30.5Z,1,REGULAR,substitution,in,[],1630174,,,1610612762,13,11,2025-02-04T02:23:19Z,780000,False,,,0,,SUB in: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M52.00S,2025-02-04T02:22:30.5Z,1,REGULAR,substitution,in,[],1630167,,,1610612762,13,11,2025-02-04T02:23:19Z,790000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M52.00S,2025-02-04T02:22:30.5Z,1,REGULAR,substitution,out,[],1627783,,,1610612762,13,11,2025-02-04T02:23:19Z,800000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M52.00S,2025-02-04T02:23:04.3Z,1,REGULAR,freethrow,1 of 1,[],1631117,,,1610612762,14,11,2025-02-04T02:23:04Z,810000,False,,,0,,W. Kessler Free Throw 1 of 1 (5 PTS),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
82,PT05M40.00S,2025-02-04T02:23:17.1Z,1,REGULAR,turnover,lost ball,[],1630169,,,1610612754,14,11,2025-02-04T02:23:21Z,820000,False,,,0,,T. Haliburton lost ball TURNOVER (2 TO),"[1630169, 1631117]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,2.0,Kessler,1631117.0
83,PT05M40.00S,2025-02-04T02:23:17.1Z,1,REGULAR,steal,,[],1631117,,,1610612762,14,11,2025-02-04T02:23:19Z,830000,False,,,0,,W. Kessler STEAL (1 STL),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
84,PT05M35.00S,2025-02-04T02:23:22.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1642268,5.469776609724048,95.09803921568627,1610612762,14,11,2025-02-04T02:24:37Z,840000,False,-225.0,-1.0,1,left,MISS I. Collier running 3PT,[1642268],1610612762.0,UTA,running,,,Collier,I. Collier,,,,,Left Corner 3,24+ Left,,,,,,Missed,,22.55,,,,,,,,,,,,
85,PT05M32.00S,2025-02-04T02:23:25.6Z,1,REGULAR,rebound,offensive,[],1628374,,,1610612762,14,11,2025-02-04T02:23:25Z,850000,False,,,0,,L. Markkanen REBOUND (Off:1 Def:0),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Left Corner 3,24+ Left,,,,,,,,,,,84.0,1.0,0.0,1.0,,,,,,
86,PT05M31.00S,2025-02-04T02:23:26.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1641718,19.136005256241788,94.11764705882352,1610612762,17,11,2025-02-04T02:23:30Z,860000,False,-221.0,127.0,1,left,K. George 25' 3PT  (3 PTS) (L. Markkanen 1 AST),"[1641718, 1628374]",1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,25.47,,,,,,,L. Markkanen,1628374.0,1.0,,,
88,PT05M27.00S,2025-02-04T02:23:35.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,17,11,2025-02-04T02:23:35Z,880000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M27.00S,2025-02-04T02:25:57.6Z,1,REGULAR,substitution,out,[],1642268,,,1610612754,17,11,2025-02-04T02:26:13Z,890000,False,,,0,,SUB out: I. Collier,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,,,,,,,,,,,,,,,,
