actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
27,PT09M44.00S,2025-03-23T19:43:54.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629636,84.97043363994744,95.34313725490196,1610612739,0,6,2025-03-23T19:43:59Z,270000,False,227.0,89.0,1,right,MISS D. Garland 24' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Right Corner 3,24+ Right,,,24.35,Missed,,,,,,,,,,,,,,,,
28,PT09M41.00S,2025-03-23T19:43:57.2Z,1,REGULAR,rebound,defensive,[],1642268,,,1610612762,0,6,2025-03-23T19:43:59Z,280000,False,,,0,,I. Collier REBOUND (Off:0 Def:1),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Right Corner 3,24+ Right,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,
29,PT09M28.00S,2025-03-23T19:44:09.4Z,1,REGULAR,3pt,Jump Shot,[],1642271,5.601182654402102,3.9215686274509802,1610612762,3,6,2025-03-23T19:44:13Z,290000,False,230.0,0.0,1,left,K. Filipowski 3PT  (3 PTS) (W. Kessler 1 AST),"[1642271, 1631117]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Right Corner 3,24+ Right,,,23.04,Made,3.0,,,,,W. Kessler,1631117.0,1.0,,,,,,,,
31,PT09M21.00S,2025-03-23T19:44:19.9Z,1,REGULAR,foul,personal,['2freethrow'],1642262,,,1610612739,3,6,2025-03-23T19:44:26Z,310000,False,,,0,,C. Williams shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1642262, 1628378]",1610612762.0,UTA,shooting,,,Williams,C. Williams,,,,,Mid-Range,8-16 Left,204059.0,,,,,,,,,,,,,,1.0,0.0,Mitchell,1628378.0,,
33,PT09M21.00S,2025-03-23T19:44:47.0Z,1,REGULAR,freethrow,1 of 2,[],1628378,,,1610612739,3,6,2025-03-23T19:44:47Z,330000,False,,,0,,MISS D. Mitchell Free Throw 1 of 2,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
34,PT09M21.00S,2025-03-23T19:44:47.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,3,6,2025-03-23T19:44:47Z,340000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,
35,PT09M21.00S,2025-03-23T19:45:05.9Z,1,REGULAR,freethrow,2 of 2,[],1628378,,,1610612739,3,7,2025-03-23T19:45:05Z,350000,False,,,0,,D. Mitchell Free Throw 2 of 2 (3 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
36,PT09M07.00S,2025-03-23T19:45:22.8Z,1,REGULAR,3pt,Jump Shot,[],1642271,5.338370565045992,3.9215686274509802,1610612762,3,7,2025-03-23T19:45:28Z,360000,False,230.0,-2.0,1,left,MISS K. Filipowski 3PT,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Right Corner 3,24+ Right,,,23.04,Missed,,,,,,,,,,,,,,,,
37,PT09M03.00S,2025-03-23T19:45:26.8Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,3,7,2025-03-23T19:45:28Z,370000,False,,,0,,W. Kessler REBOUND (Off:1 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Right Corner 3,24+ Right,,,,,,36.0,2.0,1.0,1.0,,,,,,,,,,,
38,PT09M03.00S,2025-03-23T19:45:26.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631117,5.590000152587891,50.0,1610612762,5,7,2025-03-23T19:45:26Z,380000,False,0.0,0.0,1,left,W. Kessler tip Layup (2 PTS),[1631117],1610612762.0,UTA,tip,,,Kessler,W. Kessler,,,,,Mid-Range,8-16 Left,,,0.0,Made,2.0,,,,,,,,,,,,,,,
39,PT08M52.00S,2025-03-23T19:45:38.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,93.11760840998686,43.38235294117647,1610612739,5,9,2025-03-23T19:46:00Z,390000,False,-33.0,12.0,1,right,J. Allen driving Layup (2 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,3.53,Made,2.0,,,,,D. Garland,1629636.0,1.0,,,,,,,,
41,PT08M34.00S,2025-03-23T19:45:56.4Z,1,REGULAR,3pt,Jump Shot,[],1629012,20.18725361366623,8.333333333333332,1610612762,5,9,2025-03-23T19:46:01Z,410000,False,208.0,137.0,1,left,MISS C. Sexton 24' 3PT,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,,,24.95,Missed,,,,,,,,,,,,,,,,
42,PT08M32.00S,2025-03-23T19:45:58.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,5,9,2025-03-23T19:46:09Z,420000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,41.0,,,,,,,,,,,,,,
43,PT08M32.00S,2025-03-23T19:46:01.0Z,1,REGULAR,foul,personal,[],1642271,,,1610612739,5,9,2025-03-23T19:46:08Z,430000,False,,,0,,K. Filipowski loose ball personal FOUL (1 PF),"[1642271, 1630596]",1610612762.0,UTA,loose ball,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,204059.0,,,,,,,,,,,,,,1.0,0.0,Mobley,1630596.0,,
45,PT08M18.00S,2025-03-23T19:46:25.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,89.56964520367937,53.67647058823529,1610612739,5,9,2025-03-23T19:46:29Z,450000,False,18.0,46.0,1,right,MISS J. Allen cutting Layup - blocked,"[1628386, 1631117]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,4.91,Missed,,,,,,,,,,,,,,,Kessler,1631117.0
46,PT08M18.00S,2025-03-23T19:46:25.0Z,1,REGULAR,block,,[],1631117,,,1610612739,5,9,2025-03-23T19:46:26Z,460000,False,,,0,,W. Kessler BLOCK (1 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT08M15.00S,2025-03-23T19:46:28.0Z,1,REGULAR,rebound,defensive,[],1642268,,,1610612762,5,9,2025-03-23T19:46:29Z,470000,False,,,0,,I. Collier REBOUND (Off:0 Def:2),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,In The Paint (Non-RA),0-8 Center,,,,,,45.0,2.0,2.0,0.0,,,,,,,,,,,
48,PT08M08.00S,2025-03-23T19:46:33.8Z,1,REGULAR,3pt,Jump Shot,[],1629012,30.305519053876477,28.676470588235293,1610612762,5,9,2025-03-23T19:46:58Z,480000,False,107.0,232.0,1,left,MISS C. Sexton 25' pullup 3PT,[1629012],1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,,,25.57,Missed,,,,,,,,,,,,,,,,
49,PT08M07.00S,2025-03-23T19:46:34.8Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,5,9,2025-03-23T19:46:38Z,490000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,
50,PT08M01.00S,2025-03-23T19:46:42.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628378,91.93495400788436,57.84313725490197,1610612739,5,11,2025-03-23T19:47:30Z,500000,False,39.0,23.0,1,right,D. Mitchell running finger roll Layup (5 PTS),[1628378],1610612739.0,CLE,running finger roll,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,4.56,Made,5.0,,,,,,,,,,,,,,,
51,PT08M00.00S,2025-03-23T19:46:45.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,5,11,2025-03-23T19:46:45Z,510000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M00.00S,2025-03-23T19:49:08.3Z,1,REGULAR,substitution,out,[],1642262,,,1610612762,5,11,2025-03-23T19:49:28Z,520000,False,,,0,,SUB out: C. Williams,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M00.00S,2025-03-23T19:49:08.3Z,1,REGULAR,substitution,in,[],1641718,,,1610612762,5,11,2025-03-23T19:49:28Z,530000,False,,,0,,SUB in: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M46.00S,2025-03-23T19:49:59.0Z,1,REGULAR,3pt,Jump Shot,[],1631117,4.155716162943495,94.85294117647058,1610612762,5,11,2025-03-23T19:50:05Z,540000,False,-224.0,-13.0,1,left,MISS W. Kessler 3PT,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Left Corner 3,24+ Left,,,22.47,Missed,,,,,,,,,,,,,,,,
55,PT07M43.00S,2025-03-23T19:50:02.0Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,5,11,2025-03-23T19:50:05Z,550000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Left Corner 3,24+ Left,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,
57,PT07M32.00S,2025-03-23T19:50:27.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,87.86136662286465,57.107843137254896,1610612739,5,13,2025-03-23T19:50:32Z,570000,False,36.0,62.0,1,right,D. Mitchell 7' driving floating Jump Shot (7 PTS),[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,7.11,Made,7.0,,,,,,,,,,,,,,,
58,PT07M03.00S,2025-03-23T19:50:57.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642271,13.354139290407357,49.01960784313725,1610612762,7,13,2025-03-23T19:51:01Z,580000,False,5.0,73.0,1,left,K. Filipowski 7' driving floating Jump Shot (5 PTS),[1642271],1610612762.0,UTA,driving floating,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,,,7.32,Made,5.0,,,,,,,,,,,,,,,
59,PT06M51.00S,2025-03-23T19:51:08.1Z,1,REGULAR,3pt,Jump Shot,[],1629622,95.3515111695138,2.941176470588235,1610612739,7,16,2025-03-23T19:51:13Z,590000,False,-235.0,-9.0,1,right,M. Strus 3PT  (3 PTS) (D. Mitchell 3 AST),"[1629622, 1628378]",1610612739.0,CLE,,,,Strus,M. Strus,,,,,Left Corner 3,24+ Left,,,23.55,Made,3.0,,,,,D. Mitchell,1628378.0,3.0,,,,,,,,
61,PT06M27.00S,2025-03-23T19:51:32.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,8.623521681997373,61.029411764705884,1610612762,7,16,2025-03-23T19:51:38Z,610000,False,-55.0,29.0,1,left,MISS C. Sexton 6' driving finger roll Layup,[1629012],1610612762.0,UTA,driving finger roll,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,6.21,Missed,,,,,,,,,,,,,,,,
62,PT06M24.00S,2025-03-23T19:51:35.6Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,7,16,2025-03-23T19:51:38Z,620000,False,,,0,,W. Kessler REBOUND (Off:2 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,61.0,3.0,1.0,2.0,,,,,,,,,,,
63,PT06M23.00S,2025-03-23T19:51:36.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1631117,9.411957950065702,50.49019607843137,1610612762,9,16,2025-03-23T19:52:18Z,630000,False,-2.0,36.0,1,left,W. Kessler putback DUNK (4 PTS),[1631117],1610612762.0,UTA,putback,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,3.61,Made,4.0,,,,,,,,,,,,,,,
64,PT06M09.00S,2025-03-23T19:51:50.5Z,1,REGULAR,3pt,Jump Shot,[],1629622,95.0886990801577,95.09803921568627,1610612739,9,16,2025-03-23T19:51:54Z,640000,False,225.0,-6.0,1,right,MISS M. Strus 3PT,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Right Corner 3,24+ Right,,,22.56,Missed,,,,,,,,,,,,,,,,
65,PT06M07.00S,2025-03-23T19:51:52.5Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,9,16,2025-03-23T19:51:54Z,650000,False,,,0,,W. Kessler REBOUND (Off:2 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Right Corner 3,24+ Right,,,,,,64.0,4.0,2.0,2.0,,,,,,,,,,,
66,PT05M59.00S,2025-03-23T19:52:00.7Z,1,REGULAR,3pt,Jump Shot,[],1642271,9.543363994743759,3.431372549019608,1610612762,9,16,2025-03-23T19:52:06Z,660000,False,233.0,37.0,1,left,MISS K. Filipowski 3PT,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Right Corner 3,24+ Right,,,23.58,Missed,,,,,,,,,,,,,,,,
67,PT05M56.00S,2025-03-23T19:52:03.6Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,9,16,2025-03-23T19:52:03Z,670000,False,,,0,,W. Kessler REBOUND (Off:3 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Right Corner 3,24+ Right,,,,,,66.0,5.0,2.0,3.0,,,,,,,,,,,
69,PT05M55.00S,2025-03-23T19:52:09.5Z,1,REGULAR,substitution,out,[],1629012,,,1610612762,9,16,2025-03-23T19:52:24Z,690000,False,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M55.00S,2025-03-23T19:52:09.5Z,1,REGULAR,substitution,out,[],1642268,,,1610612762,9,16,2025-03-23T19:52:24Z,700000,False,,,0,,SUB out: I. Collier,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M55.00S,2025-03-23T19:52:09.5Z,1,REGULAR,substitution,out,[],1642271,,,1610612762,9,16,2025-03-23T19:52:24Z,710000,False,,,0,,SUB out: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M55.00S,2025-03-23T19:52:09.5Z,1,REGULAR,substitution,out,[],1630596,,,1610612762,9,16,2025-03-23T19:52:24Z,720000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M55.00S,2025-03-23T19:52:09.5Z,1,REGULAR,substitution,out,[],1628378,,,1610612762,9,16,2025-03-23T19:52:24Z,730000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M55.00S,2025-03-23T19:52:09.5Z,1,REGULAR,substitution,in,[],1630548,,,1610612762,9,16,2025-03-23T19:52:24Z,740000,False,,,0,,SUB in: J. Juzang,[1630548],1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M55.00S,2025-03-23T19:52:09.5Z,1,REGULAR,substitution,in,[],203903,,,1610612762,9,16,2025-03-23T19:52:24Z,750000,False,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M55.00S,2025-03-23T19:52:09.5Z,1,REGULAR,substitution,in,[],1630231,,,1610612762,9,16,2025-03-23T19:52:24Z,760000,False,,,0,,SUB in: K. Martin,[1630231],1610612762.0,UTA,,,,Martin,K. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M55.00S,2025-03-23T19:52:09.5Z,1,REGULAR,substitution,in,[],1629660,,,1610612762,9,16,2025-03-23T19:52:24Z,770000,False,,,0,,SUB in: T. Jerome,[1629660],1610612739.0,CLE,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M55.00S,2025-03-23T19:52:09.5Z,1,REGULAR,substitution,in,[],1629631,,,1610612762,9,16,2025-03-23T19:52:24Z,780000,False,,,0,,SUB in: D. Hunter,[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M53.00S,2025-03-23T19:52:52.4Z,1,REGULAR,turnover,5-second-violation,['team'],0,,,1610612762,9,16,2025-03-23T19:52:57Z,800000,False,,,0,,UTA 5-second-violation Team TURNOVER,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,204059.0,,,,,,,,,,,,,,,,,,,
81,PT05M45.00S,2025-03-23T19:53:00.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629631,93.64323258869908,95.09803921568627,1610612739,9,16,2025-03-23T19:53:07Z,810000,False,225.0,7.0,1,right,MISS D. Hunter 3PT,[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Right Corner 3,24+ Right,,,22.56,Missed,,,,,,,,,,,,,,,,
82,PT05M42.00S,2025-03-23T19:53:03.4Z,1,REGULAR,rebound,defensive,[],1630548,,,1610612762,9,16,2025-03-23T19:53:03Z,820000,False,,,0,,J. Juzang REBOUND (Off:0 Def:1),[1630548],1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,Right Corner 3,24+ Right,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,
83,PT05M38.00S,2025-03-23T19:53:07.4Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630231,7.835085413929041,60.049019607843135,1610612762,11,16,2025-03-23T19:53:19Z,830000,False,-50.0,21.0,1,left,K. Martin running alley-oop DUNK (2 PTS) (K. George 1 AST),"[1630231, 1641718]",1610612762.0,UTA,running alley-oop,,,Martin,K. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,5.45,Made,2.0,,,,,K. George,1641718.0,1.0,,,,,,,,
85,PT05M25.00S,2025-03-23T19:53:19.8Z,1,REGULAR,3pt,Jump Shot,[],1629660,65.25952693823915,29.411764705882355,1610612739,11,19,2025-03-23T19:53:56Z,850000,False,-103.0,274.0,1,right,T. Jerome 29' 3PT pullup (3 PTS),[1629660],1610612739.0,CLE,pullup,,,Jerome,T. Jerome,,,,,Above the Break 3,24+ Left Center,,,29.28,Made,3.0,,,,,,,,,,,,,,,
