actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
16,PT11M05.00S,2025-01-16T02:12:44.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,8.360709592641262,40.68627450980392,1610612766,2,3,2025-01-16T02:13:10Z,160000,False,47.0,26.0,1,left,MISS L. Ball driving Layup,[1630163],1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,5.34,Missed,,,,,,,,,,,,,,,,,,
17,PT11M02.00S,2025-01-16T02:12:47.0Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612766,2,3,2025-01-16T02:12:49Z,170000,False,,,0,,M. Williams REBOUND (Off:1 Def:0),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,
18,PT11M02.00S,2025-01-16T02:12:47.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631109,5.590000152587891,50.0,1610612766,2,3,2025-01-16T02:12:47Z,180000,False,0.0,0.0,1,left,MISS M. Williams tip Layup,[1631109],1610612766.0,CHA,tip,,,Williams,M. Williams,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
19,PT11M01.00S,2025-01-16T02:12:47.9Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,2,3,2025-01-16T02:12:47Z,190000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Mid-Range,8-16 Left,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,
20,PT10M54.00S,2025-01-16T02:12:55.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641718,91.01511169513797,49.50980392156863,1610612762,2,3,2025-01-16T02:13:19Z,200000,False,-2.0,32.0,1,right,MISS K. George driving floating Shot - blocked,"[1641718, 1630163]",1610612762.0,UTA,driving floating,,,George,K. George,,,,,Restricted Area,0-8 Center,3.21,Missed,,,,,,,Ball,1630163.0,,,,,,,,,,
21,PT10M54.00S,2025-01-16T02:12:55.4Z,1,REGULAR,block,,[],1630163,,,1610612762,2,3,2025-01-16T02:12:57Z,210000,False,,,0,,L. Ball BLOCK (2 BLK),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M54.00S,2025-01-16T02:12:55.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,2,3,2025-01-16T02:13:19Z,220000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,20.0,,,,,,,,,
24,PT10M43.00S,2025-01-16T02:13:11.9Z,1,REGULAR,3pt,Jump Shot,[],1630163,31.61957950065703,56.127450980392155,1610612766,2,3,2025-01-16T02:13:16Z,240000,False,-31.0,245.0,1,left,MISS L. Ball 24' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,24.66,Missed,,,,,,,,,,,,,,,,,,
25,PT10M40.00S,2025-01-16T02:13:14.9Z,1,REGULAR,rebound,defensive,[],1630695,,,1610612762,2,3,2025-01-16T02:13:16Z,250000,False,,,0,,M. Potter REBOUND (Off:0 Def:1),[1630695],1610612762.0,UTA,,,,Potter,M. Potter,,,,,Above the Break 3,24+ Center,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,
26,PT10M32.00S,2025-01-16T02:13:22.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630695,82.21090670170827,39.21568627450981,1610612762,2,3,2025-01-16T02:14:26Z,260000,False,-54.0,115.0,1,right,MISS M. Potter 12' floating Shot,[1630695],1610612762.0,UTA,floating,,,Potter,M. Potter,,,,,In The Paint (Non-RA),8-16 Center,12.67,Missed,,,,,,,,,,,,,,,,,,
27,PT10M29.00S,2025-01-16T02:13:25.9Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,2,3,2025-01-16T02:14:26Z,270000,False,,,0,,W. Kessler REBOUND (Off:1 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,26.0,2.0,1.0,1.0,,,,,,
28,PT10M23.00S,2025-01-16T02:13:32.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642262,92.19776609724047,3.1862745098039214,1610612762,2,3,2025-01-16T02:13:39Z,280000,False,-234.0,21.0,1,right,MISS C. Williams 3PT,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Left Corner 3,24+ Left,23.5,Missed,,,,,,,,,,,,,,,,,,
29,PT10M17.00S,2025-01-16T02:13:38.2Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,2,3,2025-01-16T02:13:39Z,290000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Left Corner 3,24+ Left,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,
30,PT10M15.00S,2025-01-16T02:13:40.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1631109,6.915243101182654,50.0,1610612766,2,5,2025-01-16T02:15:19Z,300000,False,0.0,13.0,1,left,M. Williams running alley-oop DUNK (2 PTS) (B. Miller 1 AST),"[1631109, 1641706]",1610612766.0,CHA,running alley-oop,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,1.25,Made,2.0,B. Miller,1641706.0,1.0,,,,,,,,,,,,,,
32,PT10M01.00S,2025-01-16T02:14:01.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,2,5,2025-01-16T02:14:01Z,320000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M54.00S,2025-01-16T02:17:02.7Z,1,REGULAR,3pt,Jump Shot,[],1641718,76.03482260183968,9.313725490196079,1610612762,2,5,2025-01-16T02:17:07Z,330000,False,-203.0,173.0,1,right,MISS K. George 26' 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,26.69,Missed,,,,,,,,,,,,,,,,,,
34,PT09M51.00S,2025-01-16T02:17:05.7Z,1,REGULAR,rebound,defensive,[],1630182,,,1610612766,2,5,2025-01-16T02:17:07Z,340000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,
35,PT09M46.00S,2025-01-16T02:17:10.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1631109,9.806176084099869,58.08823529411765,1610612766,2,7,2025-01-16T02:17:18Z,350000,False,-40.0,40.0,1,left,M. Williams floating Jump Shot (4 PTS) (L. Ball 1 AST),"[1631109, 1630163]",1610612766.0,CHA,floating,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,5.66,Made,4.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,,
37,PT09M21.00S,2025-01-16T02:17:34.5Z,1,REGULAR,turnover,bad pass,[],1641718,,,1610612762,2,7,2025-01-16T02:17:39Z,370000,False,,,0,,K. George bad pass TURNOVER (1 TO),"[1641718, 1628970]",1610612762.0,UTA,,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,,,Bridges,1628970.0,,,,
38,PT09M21.00S,2025-01-16T02:17:34.5Z,1,REGULAR,steal,,[],1628970,,,1610612766,2,7,2025-01-16T02:36:45Z,380000,False,,,0,,M. Bridges STEAL (1 STL),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
39,PT09M17.00S,2025-01-16T02:17:38.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641706,8.623521681997373,41.42156862745098,1610612766,2,7,2025-01-16T02:19:09Z,390000,False,43.0,29.0,1,left,MISS B. Miller running Layup - blocked,"[1641706, 1642262]",1610612766.0,CHA,running,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,5.16,Missed,,,,,,,Williams,1642262.0,,,,,,,,,,
45,PT09M17.00S,2025-01-16T02:17:38.9Z,1,REGULAR,block,,[],1642262,,,1610612766,2,7,2025-01-16T02:17:56Z,395000,False,,,0,,C. Williams BLOCK (1 BLK),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
40,PT09M15.00S,2025-01-16T02:17:40.9Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,2,7,2025-01-16T02:17:43Z,400000,False,,,0,,W. Kessler REBOUND (Off:1 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,39.0,3.0,2.0,1.0,,,,,,
41,PT09M11.00S,2025-01-16T02:17:45.0Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1631117,90.22667542706965,48.529411764705884,1610612762,4,7,2025-01-16T02:19:32Z,410000,False,-7.0,39.0,1,right,W. Kessler running DUNK (2 PTS) (I. Collier 1 AST),"[1631117, 1642268]",1610612762.0,UTA,running,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,4.01,Made,2.0,I. Collier,1642268.0,1.0,,,,,,,,,,,,,,
43,PT09M05.00S,2025-01-16T02:17:50.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631109,8.623521681997373,48.529411764705884,1610612766,4,9,2025-01-16T02:17:59Z,430000,False,7.0,29.0,1,left,M. Williams DUNK (6 PTS) (B. Miller 2 AST),"[1631109, 1641706]",1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,2.95,Made,6.0,B. Miller,1641706.0,2.0,,,,,,,,,,,,,,
46,PT08M51.00S,2025-01-16T02:18:04.9Z,1,REGULAR,3pt,Jump Shot,[],1641718,96.13994743758212,96.07843137254902,1610612762,7,9,2025-01-16T02:18:09Z,450000,False,230.0,-16.0,1,right,K. George 3PT  (5 PTS) (C. Williams 1 AST),"[1641718, 1642262]",1610612762.0,UTA,,,,George,K. George,,,,,Right Corner 3,24+ Right,23.1,Made,5.0,C. Williams,1642262.0,1.0,,,,,,,,,,,,,,
48,PT08M32.00S,2025-01-16T02:18:23.2Z,1,REGULAR,3pt,Jump Shot,[],1628970,11.514454664914586,3.1862745098039214,1610612766,7,12,2025-01-16T02:37:21Z,470000,False,234.0,56.0,1,left,M. Bridges 24' 3PT  (3 PTS) (B. Miller 3 AST),"[1628970, 1641706]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,24.06,Made,3.0,B. Miller,1641706.0,3.0,,,,,,,,,,,,,,
50,PT08M18.00S,2025-01-16T02:18:37.3Z,1,REGULAR,3pt,Jump Shot,[],1642268,71.69842312746385,21.323529411764707,1610612762,7,12,2025-01-16T02:18:42Z,490000,False,-143.0,214.0,1,right,MISS I. Collier 25' pullup 3PT,[1642268],1610612762.0,UTA,pullup,,,Collier,I. Collier,,,,,Above the Break 3,24+ Left Center,25.72,Missed,,,,,,,,,,,,,,,,,,
51,PT08M18.00S,2025-01-16T02:18:37.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,7,12,2025-01-16T02:18:42Z,500000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,50.0,,,,,,,,,
53,PT08M08.00S,2025-01-16T02:19:02.9Z,1,REGULAR,foul,personal,[],1642262,,,1610612766,7,12,2025-01-16T02:19:07Z,520000,False,,,0,,C. Williams personal FOUL (1 PF),"[1642262, 1641706]",1610612762.0,UTA,,,,Williams,C. Williams,,,,,Mid-Range,8-16 Center,,,,,,,1627964.0,,,,,,,,,,1.0,0.0,Miller,1641706.0
55,PT08M04.00S,2025-01-16T02:19:24.3Z,1,REGULAR,3pt,Jump Shot,[],1641706,28.728646517739815,22.794117647058822,1610612766,7,12,2025-01-16T02:19:29Z,540000,False,136.0,218.0,1,left,MISS B. Miller 25' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,25.65,Missed,,,,,,,,,,,,,,,,,,
56,PT08M02.00S,2025-01-16T02:19:26.3Z,1,REGULAR,rebound,defensive,[],1642268,,,1610612762,7,12,2025-01-16T02:19:29Z,550000,False,,,0,,I. Collier REBOUND (Off:0 Def:1),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,
57,PT07M55.00S,2025-01-16T02:19:33.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630695,88.51839684625493,43.13725490196079,1610612762,7,12,2025-01-16T02:19:37Z,560000,False,-34.0,55.0,1,right,MISS M. Potter 6' driving floating Shot - blocked,"[1630695, 1631109]",1610612762.0,UTA,driving floating,,,Potter,M. Potter,,,,,In The Paint (Non-RA),0-8 Center,6.52,Missed,,,,,,,Williams,1631109.0,,,,,,,,,,
58,PT07M55.00S,2025-01-16T02:19:33.3Z,1,REGULAR,block,,[],1631109,,,1610612762,7,12,2025-01-16T02:19:35Z,570000,False,,,0,,M. Williams BLOCK (1 BLK),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT07M52.00S,2025-01-16T02:19:36.3Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,7,12,2025-01-16T02:19:37Z,580000,False,,,0,,M. Williams REBOUND (Off:1 Def:1),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,57.0,2.0,1.0,1.0,,,,,,
60,PT07M44.00S,2025-01-16T02:19:45.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,9.411957950065702,43.872549019607845,1610612766,7,14,2025-01-16T02:19:50Z,590000,False,31.0,36.0,1,left,L. Ball driving Layup (2 PTS),[1630163],1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,4.72,Made,2.0,,,,,,,,,,,,,,,,,
61,PT07M44.00S,2025-01-16T02:19:47.8Z,1,REGULAR,foul,personal,['1freethrow'],1631117,,,1610612766,7,14,2025-01-16T02:19:51Z,600000,False,,,0,,W. Kessler shooting personal FOUL (1 PF) (Ball 1 FT),"[1631117, 1630163]",1610612762.0,UTA,shooting,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,203591.0,,,,,,,,,,1.0,0.0,Ball,1630163.0
63,PT07M44.00S,2025-01-16T02:20:21.4Z,1,REGULAR,freethrow,1 of 1,[],1630163,,,1610612766,7,15,2025-01-16T02:20:21Z,620000,False,,,0,,L. Ball Free Throw 1 of 1 (3 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
64,PT07M21.00S,2025-01-16T02:20:46.2Z,1,REGULAR,3pt,Jump Shot,[],1630695,94.43166885676742,95.34313725490196,1610612762,7,15,2025-01-16T02:20:50Z,630000,False,227.0,0.0,1,right,MISS M. Potter 3PT,[1630695],1610612762.0,UTA,,,,Potter,M. Potter,,,,,Right Corner 3,24+ Right,22.67,Missed,,,,,,,,,,,,,,,,,,
65,PT07M19.00S,2025-01-16T02:20:48.2Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,7,15,2025-01-16T02:20:50Z,640000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Right Corner 3,24+ Right,,,,,,,,,,,64.0,1.0,1.0,0.0,,,,,,
66,PT07M14.00S,2025-01-16T02:20:53.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628970,4.5499342969776615,95.58823529411765,1610612766,7,15,2025-01-16T02:22:46Z,650000,False,-228.0,-10.0,1,left,MISS M. Bridges running 3PT,[1628970],1610612766.0,CHA,running,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,22.81,Missed,,,,,,,,,,,,,,,,,,
67,PT07M10.00S,2025-01-16T02:20:56.4Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612766,7,15,2025-01-16T02:20:56Z,660000,False,,,0,,M. Williams REBOUND (Off:2 Def:1),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Left Corner 3,24+ Left,,,,,,,,,,,66.0,3.0,1.0,2.0,,,,,,
68,PT07M07.00S,2025-01-16T02:20:59.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630163,16.90210249671485,3.9215686274509802,1610612766,7,18,2025-01-16T02:21:03Z,670000,False,230.0,106.0,1,left,L. Ball 25' 3PT  (6 PTS) (M. Williams 1 AST),"[1630163, 1631109]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,25.38,Made,6.0,M. Williams,1631109.0,1.0,,,,,,,,,,,,,,
70,PT06M51.00S,2025-01-16T02:21:18.2Z,1,REGULAR,foul,personal,[],1641706,,,1610612762,7,18,2025-01-16T02:21:53Z,690000,False,,,0,,B. Miller personal FOUL (1 PF),"[1641706, 1631117]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,203591.0,,,,,,,,,,1.0,0.0,Kessler,1631117.0
72,PT06M51.00S,2025-01-16T02:21:27.8Z,1,REGULAR,substitution,out,[],1642268,,,1610612762,7,18,2025-01-16T02:21:48Z,710000,False,,,0,,SUB out: I. Collier,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M51.00S,2025-01-16T02:21:27.8Z,1,REGULAR,substitution,out,[],1630695,,,1610612762,7,18,2025-01-16T02:21:48Z,720000,False,,,0,,SUB out: M. Potter,[1630695],1610612762.0,UTA,,,,Potter,M. Potter,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M51.00S,2025-01-16T02:21:27.8Z,1,REGULAR,substitution,out,[],1630182,,,1610612762,7,18,2025-01-16T02:21:48Z,730000,False,,,0,,SUB out: J. Green,[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M51.00S,2025-01-16T02:21:27.8Z,1,REGULAR,substitution,out,[],1631109,,,1610612762,7,18,2025-01-16T02:21:48Z,740000,False,,,0,,SUB out: M. Williams,[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M51.00S,2025-01-16T02:21:27.8Z,1,REGULAR,substitution,in,[],1641729,,,1610612762,7,18,2025-01-16T02:21:48Z,750000,False,,,0,,SUB in: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M51.00S,2025-01-16T02:21:27.8Z,1,REGULAR,substitution,in,[],1642271,,,1610612762,7,18,2025-01-16T02:21:48Z,760000,False,,,0,,SUB in: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M51.00S,2025-01-16T02:21:27.8Z,1,REGULAR,substitution,in,[],201959,,,1610612762,7,18,2025-01-16T02:21:48Z,770000,False,,,0,,SUB in: T. Gibson,[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M51.00S,2025-01-16T02:21:27.8Z,1,REGULAR,substitution,in,[],1628998,,,1610612762,7,18,2025-01-16T02:21:48Z,780000,False,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M47.00S,2025-01-16T02:21:56.5Z,1,REGULAR,3pt,Jump Shot,[],1642271,89.96386333771353,2.696078431372549,1610612762,7,18,2025-01-16T02:22:01Z,790000,False,-237.0,42.0,1,right,MISS K. Filipowski 24' 3PT,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Left Corner 3,24+ Left,24.02,Missed,,,,,,,,,,,,,,,,,,
81,PT06M42.00S,2025-01-16T02:22:01.5Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,7,18,2025-01-16T02:22:01Z,800000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Left Corner 3,24+ Left,,,,,,,,,,,80.0,1.0,1.0,0.0,,,,,,
82,PT06M38.00S,2025-01-16T02:22:07.0Z,1,REGULAR,foul,offensive,[],1630163,,,1610612766,7,18,2025-01-16T02:22:12Z,810000,False,,,0,,L. Ball offensive FOUL (1 PF),"[1630163, 1641718]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Mid-Range,16-24 Left Center,,,,,,,1627962.0,,,,,,,,,,1.0,0.0,George,1641718.0
84,PT06M38.00S,2025-01-16T02:22:07.0Z,1,REGULAR,turnover,offensive foul,[],1630163,,,1610612766,7,18,2025-01-16T02:22:07Z,830000,False,,,0,,L. Ball offensive foul TURNOVER (2 TO),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Mid-Range,16-24 Left Center,,,,,,,1627962.0,2.0,,,,,,,,,,,,
85,PT06M16.00S,2025-01-16T02:22:42.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1642262,91.67214191852825,71.07843137254902,1610612762,7,18,2025-01-16T02:24:15Z,840000,False,105.0,26.0,1,right,MISS C. Williams 10' driving floating Shot,[1642262],1610612762.0,UTA,driving floating,,,Williams,C. Williams,,,,,Mid-Range,8-16 Right,10.85,Missed,,,,,,,,,,,,,,,,,,
