actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M45.00S,2025-03-20T01:12:07.0Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,0,5,2025-03-20T01:12:10Z,170000,False,,,0,,A. Sarr REBOUND (Off:1 Def:2),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Right Center,,,16.0,3.0,2.0,1.0,,,,,,,,,,,,,,
18,PT10M39.00S,2025-03-20T01:12:13.6Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1642259,10.463206307490145,36.76470588235294,1610612764,0,7,2025-03-20T01:13:40Z,180000,False,66.0,46.0,1,left,A. Sarr 8' driving floating bank Jump Shot (5 PTS),[1642259],1610612764.0,WAS,driving floating bank,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,8.06,Made,,,,,5.0,,,,,,,,,,,,,
19,PT10M24.00S,2025-03-20T01:12:28.6Z,1,REGULAR,3pt,Jump Shot,[],1642271,74.19513797634691,13.725490196078432,1610612762,3,7,2025-03-20T01:12:35Z,190000,False,-181.0,190.0,1,right,K. Filipowski 26' 3PT  (3 PTS) (C. Sexton 1 AST),"[1642271, 1629012]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Left Center,26.28,Made,,,,,3.0,,,C. Sexton,1629012.0,1.0,,,,,,,,
21,PT10M07.00S,2025-03-20T01:12:45.3Z,1,REGULAR,2pt,Jump Shot,[],1642267,22.815374507227332,35.294117647058826,1610612764,3,9,2025-03-20T01:12:51Z,210000,False,74.0,162.0,1,left,B. Carrington 17' pullup Jump Shot (2 PTS) (J. Poole 1 AST),"[1642267, 1629673]",1610612764.0,WAS,pullup,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Right Center,17.79,Made,,,,,2.0,,,J. Poole,1629673.0,1.0,,,,,,,,
23,PT09M53.00S,2025-03-20T01:12:59.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,93.51182654402102,44.36274509803921,1610612762,5,9,2025-03-20T01:13:04Z,230000,False,-28.0,8.0,1,right,C. Sexton driving Layup (2 PTS),[1629012],1610612762.0,UTA,driving,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,2.95,Made,,,,,2.0,,,,,,,,,,,,,
24,PT09M43.00S,2025-03-20T01:13:09.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641774,7.30946123521682,55.88235294117647,1610612764,5,11,2025-03-20T01:14:17Z,240000,False,-29.0,16.0,1,left,T. Vukcevic cutting Layup (2 PTS) (J. Poole 2 AST),"[1641774, 1629673]",1610612764.0,WAS,cutting,,,Vukcevic,T. Vukcevic,,,,,Restricted Area,0-8 Center,3.36,Made,,,,,2.0,,,J. Poole,1629673.0,2.0,,,,,,,,
26,PT09M36.00S,2025-03-20T01:13:17.4Z,1,REGULAR,3pt,Jump Shot,[],1642271,93.77463863337714,95.09803921568627,1610612762,5,11,2025-03-20T01:13:20Z,260000,False,225.0,6.0,1,right,MISS K. Filipowski 3PT,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Right Corner 3,24+ Right,22.56,Missed,,,,,,,,,,,,,,,,,,
27,PT09M34.00S,2025-03-20T01:13:19.4Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,5,11,2025-03-20T01:13:20Z,270000,False,,,0,,B. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Right Corner 3,24+ Right,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT09M25.00S,2025-03-20T01:13:28.0Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612764,5,11,2025-03-20T01:13:36Z,280000,False,,,0,,J. Poole bad pass TURNOVER (1 TO),"[1629673, 1642268]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,,,,,,,,,1.0,,,,Collier,1642268.0,,,,,,
29,PT09M25.00S,2025-03-20T01:13:28.0Z,1,REGULAR,steal,,[],1642268,,,1610612762,5,11,2025-03-20T01:13:30Z,290000,False,,,0,,I. Collier STEAL (1 STL),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
30,PT09M23.00S,2025-03-20T01:13:32.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642268,92.59198423127464,51.71568627450981,1610612762,5,11,2025-03-20T01:15:35Z,300000,False,9.0,17.0,1,right,MISS I. Collier running Layup - blocked,"[1642268, 1641774]",1610612762.0,UTA,running,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,1.91,Missed,,,,,,,,,,,,,Vukcevic,1641774.0,,,,
31,PT09M23.00S,2025-03-20T01:13:32.6Z,1,REGULAR,block,,[],1641774,,,1610612762,5,11,2025-03-20T01:13:35Z,310000,False,,,0,,T. Vukcevic BLOCK (1 BLK),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
32,PT09M21.00S,2025-03-20T01:13:34.6Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,5,11,2025-03-20T01:15:35Z,320000,False,,,0,,W. Kessler REBOUND (Off:1 Def:0),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,30.0,1.0,0.0,1.0,,,,,,,,,,,,,,
33,PT09M20.00S,2025-03-20T01:13:39.0Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1631117,94.40999984741211,50.0,1610612762,7,11,2025-03-20T01:15:43Z,330000,False,0.0,0.0,1,right,W. Kessler putback DUNK (2 PTS),[1631117],1610612762.0,UTA,putback,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
34,PT09M01.00S,2025-03-20T01:13:51.2Z,1,REGULAR,3pt,Jump Shot,[],1642259,30.699737187910642,32.84313725490196,1610612764,7,14,2025-03-20T01:13:56Z,340000,False,86.0,236.0,1,left,A. Sarr 25' 3PT  (8 PTS),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Right Center,25.12,Made,,,,,8.0,,,,,,,,,,,,,
35,PT08M46.00S,2025-03-20T01:14:06.7Z,1,REGULAR,3pt,Jump Shot,[],1631117,67.88764783180025,36.76470588235294,1610612762,7,14,2025-03-20T01:14:11Z,350000,False,-66.0,249.0,1,right,MISS W. Kessler 25' 3PT,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Center,25.8,Missed,,,,,,,,,,,,,,,,,,
36,PT08M44.00S,2025-03-20T01:14:08.7Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612764,7,14,2025-03-20T01:14:11Z,360000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT08M35.00S,2025-03-20T01:14:18.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641774,10.726018396846255,44.36274509803921,1610612764,7,16,2025-03-20T01:14:25Z,370000,False,28.0,48.0,1,left,T. Vukcevic cutting DUNK (4 PTS) (J. Poole 3 AST),"[1641774, 1629673]",1610612764.0,WAS,cutting,,,Vukcevic,T. Vukcevic,,,,,In The Paint (Non-RA),0-8 Center,5.59,Made,,,,,4.0,,,J. Poole,1629673.0,3.0,,,,,,,,
39,PT08M35.00S,2025-03-20T01:14:22.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,7,16,2025-03-20T01:14:22Z,390000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M35.00S,2025-03-20T01:16:43.4Z,1,REGULAR,substitution,out,[],1631117,,,1610612762,7,16,2025-03-20T01:16:57Z,400000,False,,,0,,SUB out: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M35.00S,2025-03-20T01:16:43.4Z,1,REGULAR,substitution,out,[],1642271,,,1610612762,7,16,2025-03-20T01:16:57Z,410000,False,,,0,,SUB out: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M35.00S,2025-03-20T01:16:43.4Z,1,REGULAR,substitution,in,[],1631131,,,1610612762,7,16,2025-03-20T01:16:57Z,420000,False,,,0,,SUB in: O. Tshiebwe,[1631131],1610612762.0,UTA,,,,Tshiebwe,O. Tshiebwe,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M35.00S,2025-03-20T01:16:43.4Z,1,REGULAR,substitution,in,[],1630695,,,1610612762,7,16,2025-03-20T01:16:57Z,430000,False,,,0,,SUB in: M. Potter,[1630695],1610612762.0,UTA,,,,Potter,M. Potter,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M20.00S,2025-03-20T01:17:30.6Z,1,REGULAR,foul,personal,['2freethrow'],1642358,,,1610612762,7,16,2025-03-20T01:17:40Z,440000,False,,,0,,A. Johnson shooting personal FOUL (1 PF) (Sexton 2 FT),"[1642358, 1629012]",1610612764.0,WAS,shooting,,,Johnson,A. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202901.0,,,,,,,,,1.0,0.0,Sexton,1629012.0
46,PT08M20.00S,2025-03-20T01:17:49.6Z,1,REGULAR,freethrow,1 of 2,[],1629012,,,1610612762,7,16,2025-03-20T01:18:06Z,460000,False,,,0,,MISS C. Sexton Free Throw 1 of 2,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
47,PT08M20.00S,2025-03-20T01:17:49.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612762,7,16,2025-03-20T01:18:06Z,470000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,
48,PT08M20.00S,2025-03-20T01:17:49.6Z,1,REGULAR,freethrow,2 of 2,[],1629012,,,1610612762,7,16,2025-03-20T01:18:06Z,480000,False,,,0,,MISS C. Sexton Free Throw 2 of 2,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
49,PT08M19.00S,2025-03-20T01:17:50.6Z,1,REGULAR,rebound,defensive,[],1641774,,,1610612764,7,16,2025-03-20T01:18:06Z,490000,False,,,0,,T. Vukcevic REBOUND (Off:0 Def:1),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,
50,PT08M03.00S,2025-03-20T01:18:22.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641774,13.485545335085414,40.44117647058824,1610612764,7,18,2025-03-20T01:18:33Z,500000,False,48.0,74.0,1,left,T. Vukcevic 8' driving floating Jump Shot (6 PTS) (J. Poole 4 AST),"[1641774, 1629673]",1610612764.0,WAS,driving floating,,,Vukcevic,T. Vukcevic,,,,,In The Paint (Non-RA),8-16 Right,8.83,Made,,,,,6.0,,,J. Poole,1629673.0,4.0,,,,,,,,
52,PT07M48.00S,2025-03-20T01:18:36.5Z,1,REGULAR,2pt,Jump Shot,[],1629012,80.89684625492772,66.66666666666666,1610612762,9,18,2025-03-20T01:18:41Z,520000,False,83.0,127.0,1,right,C. Sexton 15' pullup Jump Shot (4 PTS),[1629012],1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Right,15.2,Made,,,,,4.0,,,,,,,,,,,,,
53,PT07M40.00S,2025-03-20T01:18:45.1Z,1,REGULAR,turnover,lost ball,[],1629673,,,1610612764,9,18,2025-03-20T01:18:49Z,530000,False,,,0,,J. Poole lost ball TURNOVER (2 TO),"[1629673, 1642262]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Mid-Range,8-16 Right,,,,,,,,,2.0,,,,Williams,1642262.0,,,,,,
54,PT07M40.00S,2025-03-20T01:18:45.1Z,1,REGULAR,steal,,[],1642262,,,1610612762,9,18,2025-03-20T01:18:46Z,540000,False,,,0,,C. Williams STEAL (1 STL),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
55,PT07M27.00S,2025-03-20T01:18:57.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642268,87.72996057818659,44.85294117647059,1610612762,11,18,2025-03-20T01:19:02Z,550000,False,-26.0,63.0,1,right,I. Collier 6' driving floating bank Jump Shot (2 PTS),[1642268],1610612762.0,UTA,driving floating bank,,,Collier,I. Collier,,,,,In The Paint (Non-RA),0-8 Center,6.79,Made,,,,,2.0,,,,,,,,,,,,,
56,PT07M14.00S,2025-03-20T01:19:11.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,9.806176084099869,38.970588235294116,1610612764,11,20,2025-03-20T01:19:19Z,560000,False,55.0,40.0,1,left,J. Poole 6' driving Layup (2 PTS),[1629673],1610612764.0,WAS,driving,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,6.79,Made,,,,,2.0,,,,,,,,,,,,,
57,PT07M07.00S,2025-03-20T01:19:18.0Z,1,REGULAR,turnover,bad pass,[],1642268,,,1610612762,11,20,2025-03-20T01:19:28Z,570000,False,,,0,,I. Collier bad pass TURNOVER (1 TO),"[1642268, 1642358]",1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1.0,,,,Johnson,1642358.0,,,,,,
58,PT07M07.00S,2025-03-20T01:19:18.0Z,1,REGULAR,steal,,[],1642358,,,1610612764,11,20,2025-03-20T01:19:28Z,580000,False,,,0,,A. Johnson STEAL (1 STL),[1642358],1610612764.0,WAS,,,,Johnson,A. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
60,PT07M03.00S,2025-03-20T01:19:30.5Z,1,REGULAR,substitution,out,[],1642262,,,1610612764,11,20,2025-03-20T01:19:36Z,600000,False,,,0,,SUB out: C. Williams,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M03.00S,2025-03-20T01:19:30.5Z,1,REGULAR,substitution,out,[],1641774,,,1610612764,11,20,2025-03-20T01:19:36Z,610000,False,,,0,,SUB out: T. Vukcevic,[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M03.00S,2025-03-20T01:19:30.5Z,1,REGULAR,substitution,in,[],1641718,,,1610612764,11,20,2025-03-20T01:19:36Z,620000,False,,,0,,SUB in: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M03.00S,2025-03-20T01:19:30.5Z,1,REGULAR,substitution,in,[],1630550,,,1610612764,11,20,2025-03-20T01:19:36Z,630000,False,,,0,,SUB in: J. Thor,[1630550],1610612764.0,WAS,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M03.00S,2025-03-20T01:19:30.5Z,1,REGULAR,substitution,out,[],1642358,,,1610612764,11,20,2025-03-20T01:19:53Z,640000,False,,,0,,SUB out: A. Johnson,[1642358],1610612764.0,WAS,,,,Johnson,A. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M03.00S,2025-03-20T01:19:30.5Z,1,REGULAR,substitution,in,[],1641798,,,1610612764,11,20,2025-03-20T01:19:53Z,650000,False,,,0,,SUB in: J. Martin,[1641798],1610612764.0,WAS,,,,Martin,J. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M52.00S,2025-03-20T01:20:05.9Z,1,REGULAR,turnover,bad pass,[],1642259,,,1610612764,11,20,2025-03-20T01:20:09Z,660000,False,,,0,,A. Sarr bad pass TURNOVER (1 TO),"[1642259, 1630695]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Mid-Range,16-24 Left Center,,,,,,,,,1.0,,,,Potter,1630695.0,,,,,,
67,PT06M52.00S,2025-03-20T01:20:05.9Z,1,REGULAR,steal,,[],1630695,,,1610612762,11,20,2025-03-20T01:20:07Z,670000,False,,,0,,M. Potter STEAL (1 STL),[1630695],1610612762.0,UTA,,,,Potter,M. Potter,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
68,PT06M47.00S,2025-03-20T01:20:10.8Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1642268,69.33311432325887,67.64705882352942,1610612762,11,20,2025-03-20T01:20:52Z,680000,False,88.0,236.0,1,right,MISS I. Collier 25' running pullup 3PT,[1642268],1610612762.0,UTA,running pullup,,,Collier,I. Collier,,,,,Above the Break 3,24+ Right Center,25.18,Missed,,,,,,,,,,,,,,,,,,
69,PT06M47.00S,2025-03-20T01:20:10.8Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,11,20,2025-03-20T01:20:52Z,690000,False,,,0,,A. Sarr REBOUND (Off:1 Def:3),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Right Center,,,68.0,4.0,3.0,1.0,,,,,,,,,,,,,,
70,PT06M34.00S,2025-03-20T01:20:22.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642259,9.411957950065702,42.15686274509804,1610612764,11,22,2025-03-20T01:20:29Z,700000,False,39.0,36.0,1,left,A. Sarr driving finger roll Layup (10 PTS) (J. Martin 1 AST),"[1642259, 1641798]",1610612764.0,WAS,driving finger roll,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,5.32,Made,,,,,10.0,,,J. Martin,1641798.0,1.0,,,,,,,,
71,PT06M21.00S,2025-03-20T01:20:36.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,91.27792378449409,43.13725490196079,1610612762,13,22,2025-03-20T01:20:40Z,710000,False,-34.0,29.0,1,right,C. Sexton driving finger roll Layup (6 PTS),[1629012],1610612762.0,UTA,driving finger roll,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,4.52,Made,,,,,6.0,,,,,,,,,,,,,
72,PT06M10.00S,2025-03-20T01:20:47.5Z,1,REGULAR,3pt,Jump Shot,[],1630550,26.10052562417871,82.59803921568627,1610612764,13,22,2025-03-20T01:20:52Z,720000,False,-163.0,193.0,1,left,MISS J. Thor 25' 3PT,[1630550],1610612764.0,WAS,,,,Thor,J. Thor,,,,,Above the Break 3,24+ Left Center,25.25,Missed,,,,,,,,,,,,,,,,,,
73,PT06M06.00S,2025-03-20T01:20:51.5Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,13,22,2025-03-20T01:20:52Z,730000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,,,
74,PT05M56.00S,2025-03-20T01:21:01.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,81.02825229960578,65.68627450980392,1610612762,15,22,2025-03-20T01:21:05Z,740000,False,78.0,126.0,1,right,C. Sexton 14' pullup Jump Shot (8 PTS),[1629012],1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Right,14.82,Made,,,,,8.0,,,,,,,,,,,,,
75,PT05M42.00S,2025-03-20T01:21:14.5Z,1,REGULAR,3pt,Jump Shot,[],1629673,28.728646517739815,82.59803921568627,1610612764,15,22,2025-03-20T01:21:21Z,750000,False,-163.0,218.0,1,left,MISS J. Poole 27' step back 3PT,[1629673],1610612764.0,WAS,step back,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,27.18,Missed,,,,,,,,,,,,,,,,,,
76,PT05M39.00S,2025-03-20T01:21:17.5Z,1,REGULAR,rebound,defensive,[],1631131,,,1610612762,15,22,2025-03-20T01:21:21Z,760000,False,,,0,,O. Tshiebwe REBOUND (Off:0 Def:1),[1631131],1610612762.0,UTA,,,,Tshiebwe,O. Tshiebwe,,,,,Above the Break 3,24+ Left Center,,,75.0,1.0,1.0,0.0,,,,,,,,,,,,,,
77,PT05M22.00S,2025-03-20T01:21:35.0Z,1,REGULAR,3pt,Jump Shot,[],1629012,69.72733245729303,31.61764705882353,1610612762,18,22,2025-03-20T01:21:39Z,770000,False,-92.0,232.0,1,right,C. Sexton 24' 3PT  (11 PTS) (K. George 1 AST),"[1629012, 1641718]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Left Center,24.96,Made,,,,,11.0,,,K. George,1641718.0,1.0,,,,,,,,
79,PT05M03.00S,2025-03-20T01:21:55.7Z,1,REGULAR,turnover,out-of-bounds,[],1642267,,,1610612764,18,22,2025-03-20T01:22:00Z,790000,False,,,0,,B. Carrington bad pass out-of-bounds TURNOVER (1 TO),[1642267],1610612764.0,WAS,bad pass,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Left Center,,,,,,,,202041.0,1.0,,,,,,,,,,,
80,PT05M03.00S,2025-03-20T01:21:58.9Z,1,REGULAR,substitution,out,[],1629012,,,1610612762,18,22,2025-03-20T01:22:23Z,800000,False,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M03.00S,2025-03-20T01:21:58.9Z,1,REGULAR,substitution,out,[],1642268,,,1610612762,18,22,2025-03-20T01:22:23Z,810000,False,,,0,,SUB out: I. Collier,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,,,,,,,,,,,,,,,,
