actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT11M00.00S,2025-01-31T02:12:10.9Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,3,0,2025-01-31T02:12:15Z,170000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Left Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M55.00S,2025-01-31T02:12:18.0Z,1,REGULAR,violation,kicked ball,[],1630162,,,1610612762,3,0,2025-01-31T02:13:13Z,180000,False,,,0,,A. Edwards kicked ball VIOLATION,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,202035.0,,,,,,,,,
19,PT10M47.00S,2025-01-31T02:12:43.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631117,9.017739816031538,58.08823529411765,1610612762,3,0,2025-01-31T02:13:39Z,190000,False,-40.0,32.0,1,left,MISS W. Kessler cutting Layup,[1631117],1610612762.0,UTA,cutting,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,5.17,Missed,,,,,,,,,,,,,,,,,,
20,PT10M45.00S,2025-01-31T02:12:45.8Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,3,0,2025-01-31T02:12:48Z,200000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M38.00S,2025-01-31T02:12:53.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,92.06636005256242,56.86274509803921,1610612750,3,2,2025-01-31T02:14:02Z,210000,False,34.0,22.0,1,right,R. Gobert cutting Layup (2 PTS) (A. Edwards 1 AST),"[203497, 1630162]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,4.08,Made,,,,,2.0,A. Edwards,1630162.0,1.0,,,,,,,,,,
23,PT10M20.00S,2025-01-31T02:13:11.9Z,1,REGULAR,3pt,Jump Shot,[],1631117,32.013797634691194,60.78431372549019,1610612762,3,2,2025-01-31T02:13:17Z,230000,False,-54.0,248.0,1,left,MISS W. Kessler 25' 3PT,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Center,25.42,Missed,,,,,,,,,,,,,,,,,,
24,PT10M16.00S,2025-01-31T02:13:15.9Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,3,2,2025-01-31T02:13:17Z,240000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT10M02.00S,2025-01-31T02:13:29.6Z,1,REGULAR,turnover,lost ball,[],1630162,,,1610612750,3,2,2025-01-31T02:16:19Z,250000,False,,,0,,A. Edwards lost ball TURNOVER (1 TO),"[1630162, 1631117]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,Kessler,1631117.0,,,,,,
26,PT10M02.00S,2025-01-31T02:13:29.6Z,1,REGULAR,steal,,[],1631117,,,1610612762,3,2,2025-01-31T02:13:31Z,260000,False,,,0,,W. Kessler STEAL (1 STL),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M55.00S,2025-01-31T02:13:35.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642268,8.623521681997373,43.627450980392155,1610612762,5,2,2025-01-31T02:15:11Z,270000,False,32.0,29.0,1,left,I. Collier running Layup (2 PTS),[1642268],1610612762.0,UTA,running,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,4.28,Made,,,,,2.0,,,,,,,,,,,,,
28,PT09M44.00S,2025-01-31T02:13:47.4Z,1,REGULAR,3pt,Jump Shot,[],203944,67.09921156373193,50.0,1610612750,5,2,2025-01-31T02:15:23Z,280000,False,0.0,257.0,1,right,MISS J. Randle 25' pullup 3PT,[203944],1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,25.68,Missed,,,,,,,,,,,,,,,,,,
29,PT09M40.00S,2025-01-31T02:13:51.4Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,5,2,2025-01-31T02:13:52Z,290000,False,,,0,,W. Kessler REBOUND (Off:0 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Center,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT09M31.00S,2025-01-31T02:14:00.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,9.806176084099869,50.98039215686274,1610612762,7,2,2025-01-31T02:15:46Z,300000,False,-5.0,40.0,1,left,C. Sexton floating Jump Shot (2 PTS),[1629012],1610612762.0,UTA,floating,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,4.0,Made,,,,,2.0,,,,,,,,,,,,,
31,PT09M17.00S,2025-01-31T02:14:13.7Z,1,REGULAR,3pt,Jump Shot,[],1629638,95.0886990801577,95.58823529411765,1610612750,7,2,2025-01-31T02:14:18Z,310000,False,228.0,-6.0,1,right,MISS N. Alexander-Walker 3PT,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,Right Corner 3,24+ Right,22.8,Missed,,,,,,,,,,,,,,,,,,
32,PT09M15.00S,2025-01-31T02:14:15.7Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,7,2,2025-01-31T02:14:18Z,320000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Right Corner 3,24+ Right,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT09M06.00S,2025-01-31T02:14:25.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,9.149145860709593,50.49019607843137,1610612762,7,2,2025-01-31T02:16:51Z,340000,False,-2.0,34.0,1,left,MISS J. Collins driving floating Shot - blocked,"[1628381, 1630162]",1610612762.0,UTA,driving floating,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,3.36,Missed,,,,,,,,,,,,,Edwards,1630162.0,,,,
35,PT09M06.00S,2025-01-31T02:14:25.5Z,1,REGULAR,block,,[],1630162,,,1610612762,7,2,2025-01-31T02:14:28Z,350000,False,,,0,,A. Edwards BLOCK (1 BLK),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT09M01.00S,2025-01-31T02:14:30.5Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612762,7,2,2025-01-31T02:14:31Z,360000,False,,,0,,J. Collins REBOUND (Off:1 Def:1),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,34.0,2.0,1.0,1.0,,,,,,,,,,,,,,
37,PT09M01.00S,2025-01-31T02:14:29.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628381,9.017739816031538,50.245098039215684,1610612762,9,2,2025-01-31T02:14:34Z,370000,False,-1.0,32.0,1,left,J. Collins putback Layup (2 PTS),[1628381],1610612762.0,UTA,putback,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,3.23,Made,,,,,2.0,,,,,,,,,,,,,
38,PT08M50.00S,2025-01-31T02:14:41.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203497,85.23324572930355,49.50980392156863,1610612750,9,4,2025-01-31T02:14:46Z,380000,False,-2.0,86.0,1,right,R. Gobert 8' floating Jump Shot (4 PTS) (A. Edwards 2 AST),"[203497, 1630162]",1610612750.0,MIN,floating,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,8.63,Made,,,,,4.0,A. Edwards,1630162.0,2.0,,,,,,,,,,
40,PT08M41.00S,2025-01-31T02:14:50.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,8.492115637319317,41.66666666666667,1610612762,11,4,2025-01-31T02:17:32Z,400000,False,42.0,27.0,1,left,L. Markkanen cutting Layup (5 PTS) (I. Collier 1 AST),"[1628374, 1642268]",1610612762.0,UTA,cutting,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,4.98,Made,,,,,5.0,I. Collier,1642268.0,1.0,,,,,,,,,,
42,PT08M31.00S,2025-01-31T02:15:00.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629638,84.1819973718791,34.068627450980394,1610612750,11,4,2025-01-31T02:17:56Z,420000,False,-80.0,96.0,1,right,MISS N. Alexander-Walker 12' driving floating Shot,[1629638],1610612750.0,MIN,driving floating,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),8-16 Left,12.49,Missed,,,,,,,,,,,,,,,,,,
43,PT08M27.00S,2025-01-31T02:15:04.3Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612762,11,4,2025-01-31T02:15:05Z,430000,False,,,0,,C. Sexton REBOUND (Off:0 Def:1),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Left,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,
44,PT08M22.00S,2025-01-31T02:15:11.2Z,1,REGULAR,foul,personal,['2freethrow'],1629638,,,1610612762,11,4,2025-01-31T02:15:20Z,440000,False,,,0,,N. Alexander-Walker shooting personal FOUL (1 PF) (Sexton 2 FT),"[1629638, 1629012]",1610612750.0,MIN,shooting,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202026.0,,,,,,1.0,0.0,Sexton,1629012.0
46,PT08M22.00S,2025-01-31T02:15:48.1Z,1,REGULAR,freethrow,1 of 2,[],1629012,,,1610612762,12,4,2025-01-31T02:15:48Z,460000,False,,,0,,C. Sexton Free Throw 1 of 2 (3 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
47,PT08M22.00S,2025-01-31T02:16:04.6Z,1,REGULAR,freethrow,2 of 2,[],1629012,,,1610612762,13,4,2025-01-31T02:16:04Z,470000,False,,,0,,C. Sexton Free Throw 2 of 2 (4 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
48,PT08M05.00S,2025-01-31T02:16:23.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,81.02825229960578,37.5,1610612750,13,6,2025-01-31T02:19:16Z,480000,False,-62.0,126.0,1,right,J. Randle 14' driving floating Jump Shot (2 PTS) (A. Edwards 3 AST),"[203944, 1630162]",1610612750.0,MIN,driving floating,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,14.05,Made,,,,,2.0,A. Edwards,1630162.0,3.0,,,,,,,,,,
49,PT07M52.00S,2025-01-31T02:16:36.8Z,1,REGULAR,3pt,Jump Shot,[],1628381,20.97568988173456,5.637254901960785,1610612762,16,6,2025-01-31T02:16:40Z,490000,False,222.0,145.0,1,left,J. Collins 26' 3PT  (5 PTS) (C. Sexton 2 AST),"[1628381, 1629012]",1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,26.48,Made,,,,,5.0,C. Sexton,1629012.0,2.0,,,,,,,,,,
51,PT07M32.00S,2025-01-31T02:16:56.0Z,1,REGULAR,3pt,Jump Shot,[],1630162,76.82325886990802,87.25490196078431,1610612750,16,6,2025-01-31T02:17:04Z,510000,False,186.0,165.0,1,right,MISS A. Edwards 24' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,24.91,Missed,,,,,,,,,,,,,,,,,,
52,PT07M31.00S,2025-01-31T02:16:57.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,16,6,2025-01-31T02:17:04Z,520000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Right Center,,,51.0,,,,,,,,,,,,,,,,,
54,PT07M19.00S,2025-01-31T02:17:25.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,17.0335085413929,42.15686274509804,1610612762,16,6,2025-01-31T02:17:35Z,540000,False,39.0,108.0,1,left,MISS J. Collins 11' driving floating Shot,[1628381],1610612762.0,UTA,driving floating,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,11.45,Missed,,,,,,,,,,,,,,,,,,
55,PT07M15.00S,2025-01-31T02:17:29.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,16,6,2025-01-31T02:17:35Z,550000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,54.0,,,,,,,,,,,,,,,,,
57,PT07M02.00S,2025-01-31T02:17:48.1Z,1,REGULAR,3pt,Jump Shot,[],1630183,93.11760840998686,95.34313725490196,1610612750,16,6,2025-01-31T02:17:52Z,570000,False,227.0,12.0,1,right,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,22.7,Missed,,,,,,,,,,,,,,,,,,
58,PT06M58.00S,2025-01-31T02:17:52.1Z,1,REGULAR,rebound,defensive,[],1642268,,,1610612762,16,6,2025-01-31T02:17:52Z,580000,False,,,0,,I. Collier REBOUND (Off:0 Def:1),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Right Corner 3,24+ Right,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,
59,PT06M53.00S,2025-01-31T02:17:56.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628374,35.03613666228647,60.5392156862745,1610612762,16,6,2025-01-31T02:18:08Z,590000,False,-53.0,277.0,1,left,MISS L. Markkanen 28' running 3PT,[1628374],1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,28.18,Missed,,,,,,,,,,,,,,,,,,
60,PT06M50.00S,2025-01-31T02:17:59.4Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612750,16,6,2025-01-31T02:18:08Z,600000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Center,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,,
61,PT06M41.00S,2025-01-31T02:18:08.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,80.6340341655716,52.69607843137255,1610612750,16,8,2025-01-31T02:21:27Z,610000,False,13.0,130.0,1,right,J. Randle 13' driving floating Jump Shot (4 PTS) (N. Alexander-Walker 1 AST),"[203944, 1629638]",1610612750.0,MIN,driving floating,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,13.02,Made,,,,,4.0,N. Alexander-Walker,1629638.0,1.0,,,,,,,,,,
64,PT06M27.00S,2025-01-31T02:18:32.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,16,8,2025-01-31T02:18:32Z,640000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M27.00S,2025-01-31T02:21:05.1Z,1,REGULAR,substitution,out,[],1642268,,,1610612762,16,8,2025-01-31T02:21:15Z,650000,False,,,0,,SUB out: I. Collier,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M27.00S,2025-01-31T02:21:05.1Z,1,REGULAR,substitution,out,[],1628381,,,1610612762,16,8,2025-01-31T02:21:15Z,660000,False,,,0,,SUB out: J. Collins,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M27.00S,2025-01-31T02:21:05.1Z,1,REGULAR,substitution,in,[],1642271,,,1610612762,16,8,2025-01-31T02:21:15Z,670000,False,,,0,,SUB in: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M27.00S,2025-01-31T02:21:05.1Z,1,REGULAR,substitution,in,[],1641718,,,1610612762,16,8,2025-01-31T02:21:15Z,680000,False,,,0,,SUB in: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M16.00S,2025-01-31T02:21:44.5Z,1,REGULAR,3pt,Jump Shot,[],1641718,28.728646517739815,17.892156862745097,1610612762,19,8,2025-01-31T02:21:54Z,690000,False,161.0,218.0,1,left,K. George 27' 3PT pullup (3 PTS),[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,Above the Break 3,24+ Right Center,27.03,Made,,,,,3.0,,,,,,,,,,,,,
71,PT05M55.00S,2025-01-31T02:22:05.4Z,1,REGULAR,2pt,Jump Shot,[],1630162,85.10183968462549,68.38235294117648,1610612750,19,10,2025-01-31T02:22:10Z,700000,False,92.0,88.0,1,right,A. Edwards 12' fadeaway Jump Shot (2 PTS) (N. Alexander-Walker 2 AST),"[1630162, 1629638]",1610612750.0,MIN,fadeaway,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Right,12.69,Made,,,,,2.0,N. Alexander-Walker,1629638.0,2.0,,,,,,,,,,
73,PT05M28.00S,2025-01-31T02:22:32.3Z,1,REGULAR,3pt,Jump Shot,[],1629012,36.48160315374508,72.79411764705883,1610612762,22,10,2025-01-31T02:22:36Z,720000,False,-114.0,290.0,1,left,C. Sexton 31' 3PT  (7 PTS) (K. George 1 AST),"[1629012, 1641718]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Left Center,31.2,Made,,,,,7.0,K. George,1641718.0,1.0,,,,,,,,,,
75,PT05M09.00S,2025-01-31T02:22:51.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,91.40932982917214,49.26470588235294,1610612750,22,10,2025-01-31T02:22:58Z,740000,False,-4.0,28.0,1,right,MISS J. Randle driving Layup,[203944],1610612750.0,MIN,driving,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,2.85,Missed,,,,,,,,,,,,,,,,,,
76,PT05M06.00S,2025-01-31T02:22:54.6Z,1,REGULAR,rebound,defensive,[],1642271,,,1610612762,22,10,2025-01-31T02:22:58Z,750000,False,,,0,,K. Filipowski REBOUND (Off:0 Def:1),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,,,75.0,1.0,1.0,0.0,,,,,,,,,,,,,,
77,PT05M01.00S,2025-01-31T02:22:59.5Z,1,REGULAR,3pt,Jump Shot,[],1629012,24.26084099868594,85.04901960784314,1610612762,22,10,2025-01-31T02:23:24Z,760000,False,-175.0,176.0,1,left,MISS C. Sexton 24' 3PT,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Left Center,24.81,Missed,,,,,,,,,,,,,,,,,,
78,PT04M59.00S,2025-01-31T02:23:01.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,22,10,2025-01-31T02:23:07Z,770000,False,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,77.0,2.0,2.0,0.0,,,,,,,,,,,,,,
79,PT04M45.00S,2025-01-31T02:23:15.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630162,90.3580814717477,57.35294117647059,1610612750,22,10,2025-01-31T02:23:46Z,780000,False,37.0,38.0,1,right,MISS A. Edwards driving bank Hook,[1630162],1610612750.0,MIN,driving bank,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,5.3,Missed,,,,,,,,,,,,,,,,,,
80,PT04M42.00S,2025-01-31T02:23:18.1Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,22,10,2025-01-31T02:23:24Z,790000,False,,,0,,W. Kessler REBOUND (Off:0 Def:3),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,79.0,3.0,3.0,0.0,,,,,,,,,,,,,,
81,PT04M38.00S,2025-01-31T02:23:22.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628374,24.129434954007884,85.7843137254902,1610612762,25,10,2025-01-31T02:23:30Z,800000,False,-179.0,174.0,1,left,L. Markkanen 24' 3PT running (8 PTS) (K. George 2 AST),"[1628374, 1641718]",1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,24.98,Made,,,,,8.0,K. George,1641718.0,2.0,,,,,,,,,,
83,PT04M15.00S,2025-01-31T02:23:45.1Z,1,REGULAR,3pt,Jump Shot,[],1629638,93.24901445466492,2.941176470588235,1610612750,25,13,2025-01-31T02:23:49Z,820000,False,-235.0,11.0,1,right,N. Alexander-Walker 3PT  (3 PTS) (R. Gobert 1 AST),"[1629638, 203497]",1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,Left Corner 3,24+ Left,23.56,Made,,,,,3.0,R. Gobert,203497.0,1.0,,,,,,,,,,
85,PT03M52.00S,2025-01-31T02:24:08.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,11.12023653088042,50.73529411764706,1610612762,25,13,2025-01-31T02:24:47Z,840000,False,-4.0,52.0,1,left,MISS L. Markkanen floating Shot,[1628374],1610612762.0,UTA,floating,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,5.21,Missed,,,,,,,,,,,,,,,,,,
86,PT03M46.00S,2025-01-31T02:24:14.8Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,25,13,2025-01-31T02:24:35Z,850000,False,,,0,,A. Edwards REBOUND (Off:0 Def:2),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,85.0,2.0,2.0,0.0,,,,,,,,,,,,,,
