actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
53,PT07M07.00S,2022-01-20T03:19:43.5Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,17,9,2022-01-20T03:19:50Z,530000,,,0,,N. Jokic bad pass out-of-bounds TURNOVER (1 TO),[203999],1610612743.0,DEN,bad pass,,,Jokic,N. Jokic,,,,,,,,1.0,,,,,,,,,,,,1155.0,,,,,
54,PT06M54.00S,2022-01-20T03:20:03.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627826,84.05059132720105,42.64705882352941,1610612746,17,11,2022-01-20T03:20:11Z,540000,-37.0,97.0,1,right,I. Zubac 10' turnaround Hook (6 PTS) (R. Jackson 1 AST),"[1627826, 202704]",1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,10.41,Made,6.0,,,,,,,,R. Jackson,202704.0,1.0,,,,,,,,
56,PT06M38.00S,2022-01-20T03:20:18.7Z,1,REGULAR,3pt,Jump Shot,[],201145,8.492115637319317,3.431372549019608,1610612743,17,11,2022-01-20T03:20:24Z,560000,233.0,27.0,1,left,MISS J. Green 3PT,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,23.44,Missed,,,,,,,,,,,,,,,,,,,
57,PT06M36.00S,2022-01-20T03:20:22.3Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,17,11,2022-01-20T03:20:22Z,570000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,,,
58,PT06M18.00S,2022-01-20T03:20:40.2Z,1,REGULAR,3pt,Jump Shot,[],202704,92.19776609724047,97.30392156862744,1610612746,17,11,2022-01-20T03:21:25Z,580000,237.0,21.0,1,right,MISS R. Jackson pullup 3PT,[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,23.74,Missed,,,,,,,,,,,,,,,,,,,
59,PT06M15.00S,2022-01-20T03:20:43.2Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,17,11,2022-01-20T03:20:47Z,590000,,,0,,M. Morris REBOUND (Off:0 Def:3),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,58.0,3.0,3.0,0.0,,,,,,,,,,,
60,PT06M10.00S,2022-01-20T03:20:47.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203115,26.231931668856767,16.911764705882355,1610612743,20,11,2022-01-20T03:20:56Z,600000,165.0,194.0,1,left,W. Barton 25' 3PT pullup (5 PTS) (M. Morris 2 AST),"[203115, 1628420]",1610612743.0,DEN,pullup,,,Barton,W. Barton,,,,,25.5,Made,5.0,,,,,,,,M. Morris,1628420.0,2.0,,,,,,,,
62,PT05M43.00S,2022-01-20T03:21:14.2Z,1,REGULAR,3pt,Jump Shot,[],1629599,69.72733245729303,73.0392156862745,1610612746,20,11,2022-01-20T03:21:19Z,620000,115.0,232.0,1,right,MISS A. Coffey 25' 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,25.91,Missed,,,,,,,,,,,,,,,,,,,
63,PT05M41.00S,2022-01-20T03:21:16.2Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,20,11,2022-01-20T03:21:19Z,630000,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,62.0,2.0,1.0,1.0,,,,,,,,,,,
64,PT05M36.00S,2022-01-20T03:21:22.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202704,91.80354796320631,2.941176470588235,1610612746,20,11,2022-01-20T03:21:26Z,640000,-235.0,25.0,1,right,MISS R. Jackson 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,23.66,Missed,,,,,,,,,,,,,,,,,,,
65,PT05M33.00S,2022-01-20T03:21:25.3Z,1,REGULAR,rebound,offensive,[],201586,,,1610612746,20,11,2022-01-20T03:22:55Z,650000,,,0,,S. Ibaka REBOUND (Off:2 Def:0),[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,,,,64.0,2.0,0.0,2.0,,,,,,,,,,,
69,PT05M29.00S,2022-01-20T03:21:32.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629599,94.82588699080158,47.549019607843135,1610612746,20,13,2022-01-20T03:23:03Z,690000,-12.0,-4.0,1,right,A. Coffey DUNK (2 PTS) (S. Ibaka 2 AST),"[1629599, 201586]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,1.29,Made,2.0,,,,,,,,S. Ibaka,201586.0,2.0,,,,,,,,
71,PT05M29.00S,2022-01-20T03:21:51.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,20,13,2022-01-20T03:21:51Z,710000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M29.00S,2022-01-20T03:24:29.2Z,1,REGULAR,substitution,out,[],201145,,,1610612743,20,13,2022-01-20T03:24:58Z,720000,,,0,,SUB out: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M29.00S,2022-01-20T03:24:29.2Z,1,REGULAR,substitution,out,[],201586,,,1610612743,20,13,2022-01-20T03:24:58Z,730000,,,0,,SUB out: S. Ibaka,[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M29.00S,2022-01-20T03:24:29.2Z,1,REGULAR,substitution,out,[],202704,,,1610612743,20,13,2022-01-20T03:24:58Z,740000,,,0,,SUB out: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M29.00S,2022-01-20T03:24:29.2Z,1,REGULAR,substitution,in,[],1630538,,,1610612743,20,13,2022-01-20T03:24:58Z,750000,,,0,,SUB in: B. Hyland,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M29.00S,2022-01-20T03:24:29.2Z,1,REGULAR,substitution,in,[],202339,,,1610612743,20,13,2022-01-20T03:24:58Z,760000,,,0,,SUB in: E. Bledsoe,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M29.00S,2022-01-20T03:24:29.2Z,1,REGULAR,substitution,in,[],1628379,,,1610612743,20,13,2022-01-20T03:24:58Z,770000,,,0,,SUB in: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M17.00S,2022-01-20T03:25:03.2Z,1,REGULAR,3pt,Jump Shot,[],1628420,24.392247043363994,84.80392156862744,1610612743,20,13,2022-01-20T03:25:09Z,780000,-174.0,177.0,1,left,MISS M. Morris 24' 3PT,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,24.81,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M13.00S,2022-01-20T03:25:07.2Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,20,13,2022-01-20T03:25:09Z,790000,,,0,,A. Coffey REBOUND (Off:0 Def:1),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,79.0,1.0,1.0,0.0,,,,,,,,,,,
81,PT04M59.00S,2022-01-20T03:25:22.0Z,1,REGULAR,3pt,Jump Shot,[],1629599,71.30420499342969,77.20588235294117,1610612746,20,16,2022-01-20T03:25:27Z,800000,136.0,217.0,1,right,A. Coffey 25' 3PT  (5 PTS) (I. Zubac 1 AST),"[1629599, 1627826]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,25.63,Made,5.0,,,,,,,,I. Zubac,1627826.0,1.0,,,,,,,,
83,PT04M38.00S,2022-01-20T03:25:42.9Z,1,REGULAR,2pt,Jump Shot,[],1630538,14.668199737187912,77.45098039215686,1610612743,20,16,2022-01-20T03:25:46Z,820000,-137.0,85.0,1,left,MISS B. Hyland 16' pullup Shot,[1630538],1610612743.0,DEN,pullup,,,Hyland,B. Hyland,,,,,16.17,Missed,,,,,,,,,,,,,,,,,,,
84,PT04M35.00S,2022-01-20T03:25:45.9Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,20,16,2022-01-20T03:25:46Z,830000,,,0,,A. Coffey REBOUND (Off:0 Def:2),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,83.0,2.0,2.0,0.0,,,,,,,,,,,
85,PT04M31.00S,2022-01-20T03:25:49.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629611,93.11760840998686,54.41176470588235,1610612746,20,18,2022-01-20T03:25:55Z,840000,22.0,12.0,1,right,T. Mann running Layup (2 PTS) (A. Coffey 3 AST),"[1629611, 1629599]",1610612746.0,LAC,running,,,Mann,T. Mann,,,,,2.52,Made,2.0,,,,,,,,A. Coffey,1629599.0,3.0,,,,,,,,
87,PT04M19.00S,2022-01-20T03:26:02.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,6.1268068331143235,45.588235294117645,1610612743,20,18,2022-01-20T03:26:08Z,860000,22.0,5.0,1,left,MISS A. Gordon cutting Layup,[203932],1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,2.27,Missed,,,,,,,,,,,,,,,,,,,
88,PT04M15.00S,2022-01-20T03:26:05.5Z,1,REGULAR,rebound,offensive,[],1628420,,,1610612743,20,18,2022-01-20T03:26:05Z,870000,,,0,,M. Morris REBOUND (Off:1 Def:3),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,87.0,4.0,3.0,1.0,,,,,,,,,,,
89,PT04M15.00S,2022-01-20T03:26:05.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628420,5.590000152587891,50.0,1610612743,20,18,2022-01-20T03:26:05Z,880000,0.0,0.0,1,left,MISS M. Morris tip Layup,[1628420],1610612743.0,DEN,tip,,,Morris,M. Morris,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
90,PT04M15.00S,2022-01-20T03:26:05.7Z,1,REGULAR,rebound,offensive,[],1628420,,,1610612743,20,18,2022-01-20T03:26:05Z,890000,,,0,,M. Morris REBOUND (Off:2 Def:3),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,89.0,5.0,3.0,2.0,,,,,,,,,,,
91,PT04M07.00S,2022-01-20T03:26:14.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630538,32.670827858081466,49.26470588235294,1610612743,23,18,2022-01-20T03:26:18Z,900000,4.0,255.0,1,left,B. Hyland 25' 3PT  (3 PTS) (N. Jokic 2 AST),"[1630538, 203999]",1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,25.46,Made,3.0,,,,,,,,N. Jokic,203999.0,2.0,,,,,,,,
93,PT03M46.00S,2022-01-20T03:26:34.6Z,1,REGULAR,3pt,Jump Shot,[],1629599,90.22667542706965,95.83333333333334,1610612746,23,18,2022-01-20T03:26:40Z,920000,229.0,39.0,1,right,MISS A. Coffey 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,23.26,Missed,,,,,,,,,,,,,,,,,,,
94,PT03M43.00S,2022-01-20T03:26:37.6Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,23,18,2022-01-20T03:26:40Z,930000,,,0,,M. Morris REBOUND (Off:2 Def:4),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,93.0,6.0,4.0,2.0,,,,,,,,,,,
95,PT03M36.00S,2022-01-20T03:26:44.7Z,1,REGULAR,2pt,Jump Shot,[],1628420,14.011169513797633,76.7156862745098,1610612743,25,18,2022-01-20T03:26:50Z,940000,-134.0,79.0,1,left,M. Morris 15' pullup Jump Shot (4 PTS),[1628420],1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,15.53,Made,4.0,,,,,,,,,,,,,,,,,,
96,PT03M15.00S,2022-01-20T03:27:05.9Z,1,REGULAR,3pt,Jump Shot,[],1629599,66.83639947437582,41.42156862745098,1610612746,25,18,2022-01-20T03:27:09Z,950000,-43.0,259.0,1,right,MISS A. Coffey 26' 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,26.27,Missed,,,,,,,,,,,,,,,,,,,
