actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
25,PT09M29.00S,2022-01-16T02:14:52.2Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,4,4,2022-01-16T02:14:55Z,250000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,
26,PT09M19.00S,2022-01-16T02:15:01.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203932,86.28449408672799,49.754901960784316,1610612743,4,4,2022-01-16T02:15:09Z,260000,-1.0,76.0,1,right,MISS A. Gordon 7' fadeaway Shot,[203932],1610612743.0,DEN,fadeaway,,,Gordon,A. Gordon,,,,,,,,,,Missed,,7.64,,,,,,,,,,,,
27,PT09M17.00S,2022-01-16T02:15:03.8Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,4,4,2022-01-16T02:15:09Z,270000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,
28,PT09M05.00S,2022-01-16T02:15:15.9Z,1,REGULAR,2pt,Jump Shot,[],2544,26.10052562417871,48.28431372549019,1610612747,4,4,2022-01-16T02:18:59Z,280000,9.0,193.0,1,left,MISS L. James 19' pullup Shot,[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,,,,,,Missed,,19.3,,,,,,,,,,,,
29,PT09M03.00S,2022-01-16T02:15:17.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,4,4,2022-01-16T02:15:20Z,290000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,
30,PT08M53.00S,2022-01-16T02:15:28.7Z,1,REGULAR,3pt,Jump Shot,[],203932,70.90998685939553,23.03921568627451,1610612743,7,4,2022-01-16T02:15:33Z,300000,-135.0,221.0,1,right,A. Gordon 25' 3PT  (3 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,Made,3.0,25.88,,,,,N. Jokic,203999.0,1.0,,,,,
32,PT08M44.00S,2022-01-16T02:15:40.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,7,4,2022-01-16T02:15:40Z,320000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT08M32.00S,2022-01-16T02:18:49.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],2730,12.697109067017081,44.85294117647059,1610612747,7,6,2022-01-16T02:18:55Z,330000,26.0,67.0,1,left,D. Howard 7' Hook (4 PTS) (L. James 1 AST),"[2730, 2544]",1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,Made,4.0,7.17,,,,,L. James,2544.0,1.0,,,,,
35,PT08M15.00S,2022-01-16T02:19:06.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,93.38042049934296,57.59803921568627,1610612743,7,6,2022-01-16T02:19:10Z,350000,38.0,10.0,1,right,MISS N. Jokic turnaround Hook,[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,,,,,,Missed,,3.92,,,,,,,,,,,,
36,PT08M14.00S,2022-01-16T02:19:07.7Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,7,6,2022-01-16T02:19:10Z,360000,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,
37,PT08M08.00S,2022-01-16T02:19:13.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",2544,6.389618922470433,44.36274509803921,1610612747,7,8,2022-01-16T02:19:26Z,370000,28.0,8.0,1,left,L. James running finger roll Layup (2 PTS),[2544],1610612747.0,LAL,running finger roll,,,James,L. James,,,,,,,,,,Made,2.0,2.92,,,,,,,,,,,,
39,PT08M02.00S,2022-01-16T02:19:20.0Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,7,8,2022-01-16T02:19:29Z,390000,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 202340]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,1.0,Bradley,202340.0,,
40,PT08M02.00S,2022-01-16T02:19:20.0Z,1,REGULAR,steal,,[],202340,,,1610612747,7,8,2022-01-16T02:19:21Z,400000,,,0,,A. Bradley STEAL (1 STL),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,
41,PT07M59.00S,2022-01-16T02:19:23.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201566,6.521024967148489,54.41176470588235,1610612747,7,10,2022-01-16T02:23:58Z,410000,-22.0,9.0,1,left,R. Westbrook driving Layup (2 PTS) (A. Bradley 1 AST),"[201566, 202340]",1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,,,,,,Made,2.0,2.38,,,,,A. Bradley,202340.0,1.0,,,,,
43,PT07M38.00S,2022-01-16T02:19:43.1Z,1,REGULAR,3pt,Jump Shot,[],203115,80.50262812089356,90.68627450980392,1610612743,10,10,2022-01-16T02:19:46Z,430000,203.0,131.0,1,right,W. Barton 24' 3PT step back (3 PTS),[203115],1610612743.0,DEN,step back,,,Barton,W. Barton,,,,,,,,,,Made,3.0,24.18,,,,,,,,,,,,
44,PT07M15.00S,2022-01-16T02:20:09.1Z,1,REGULAR,turnover,out-of-bounds,[],2730,,,1610612747,10,10,2022-01-16T02:20:15Z,440000,,,0,,D. Howard lost ball out-of-bounds TURNOVER (1 TO),[2730],1610612747.0,LAL,lost ball,,,Howard,D. Howard,,,,,101284.0,,,,,,,,,,,,,,,1.0,,,,
45,PT07M01.00S,2022-01-16T02:20:32.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",201145,93.64323258869908,53.431372549019606,1610612743,12,10,2022-01-16T02:20:37Z,450000,17.0,7.0,1,right,J. Green cutting DUNK (2 PTS) (A. Gordon 1 AST),"[201145, 203932]",1610612743.0,DEN,cutting,,,Green,J. Green,,,,,,,,,,Made,2.0,1.87,,,,,A. Gordon,203932.0,1.0,,,,,
47,PT06M47.00S,2022-01-16T02:20:45.1Z,1,REGULAR,3pt,Jump Shot,[],202340,31.35676741130092,70.58823529411765,1610612747,12,10,2022-01-16T02:20:52Z,470000,-103.0,242.0,1,left,MISS A. Bradley 26' 3PT,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,Missed,,26.32,,,,,,,,,,,,
48,PT06M41.00S,2022-01-16T02:20:51.1Z,1,REGULAR,rebound,offensive,[],2730,,,1610612747,12,10,2022-01-16T02:20:52Z,480000,,,0,,D. Howard REBOUND (Off:1 Def:0),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,47.0,1.0,0.0,1.0,,,,,,,,
49,PT06M41.00S,2022-01-16T02:20:51.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",2730,5.590000152587891,50.0,1610612747,12,10,2022-01-16T02:20:51Z,490000,0.0,0.0,1,left,MISS D. Howard tip Layup,[2730],1610612747.0,LAL,tip,,,Howard,D. Howard,,,,,,,,,,Missed,,0.0,,,,,,,,,,,,
50,PT06M40.00S,2022-01-16T02:20:52.2Z,1,REGULAR,rebound,offensive,[],2730,,,1610612747,12,10,2022-01-16T02:20:52Z,500000,,,0,,D. Howard REBOUND (Off:2 Def:0),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,49.0,2.0,0.0,2.0,,,,,,,,
51,PT06M40.00S,2022-01-16T02:20:52.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",2730,5.590000152587891,50.0,1610612747,12,12,2022-01-16T02:20:52Z,510000,0.0,0.0,1,left,D. Howard tip Layup (6 PTS),[2730],1610612747.0,LAL,tip,,,Howard,D. Howard,,,,,,,,,,Made,6.0,0.0,,,,,,,,,,,,
52,PT06M18.00S,2022-01-16T02:21:15.1Z,1,REGULAR,2pt,Jump Shot,[],1628420,92.32917214191852,31.862745098039213,1610612743,12,12,2022-01-16T02:21:20Z,520000,-91.0,20.0,1,right,MISS M. Morris 9' driving floating Shot,[1628420],1610612743.0,DEN,driving floating,,,Morris,M. Morris,,,,,,,,,,Missed,,9.28,,,,,,,,,,,,
53,PT06M16.00S,2022-01-16T02:21:16.4Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,12,12,2022-01-16T02:21:16Z,530000,,,0,,N. Jokic REBOUND (Off:1 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,52.0,2.0,1.0,1.0,,,,,,,,
54,PT06M16.00S,2022-01-16T02:21:17.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,93.9060446780552,53.67647058823529,1610612743,14,12,2022-01-16T02:21:27Z,540000,18.0,5.0,1,right,N. Jokic putback Layup (4 PTS),[203999],1610612743.0,DEN,putback,,,Jokic,N. Jokic,,,,,,,,,,Made,4.0,1.9,,,,,,,,,,,,
55,PT06M02.00S,2022-01-16T02:21:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,7.5722733245729295,56.127450980392155,1610612747,14,14,2022-01-16T02:21:35Z,550000,-31.0,19.0,1,left,L. James cutting finger roll Layup (4 PTS) (R. Westbrook 2 AST),"[2544, 201566]",1610612747.0,LAL,cutting finger roll,,,James,L. James,,,,,,,,,,Made,4.0,3.59,,,,,R. Westbrook,201566.0,2.0,,,,,
57,PT06M00.00S,2022-01-16T02:21:37.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,14,14,2022-01-16T02:21:37Z,570000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M00.00S,2022-01-16T02:23:42.4Z,1,REGULAR,substitution,out,[],201145,,,1610612743,14,14,2022-01-16T02:24:15Z,580000,,,0,,SUB out: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M00.00S,2022-01-16T02:23:42.4Z,1,REGULAR,substitution,out,[],2544,,,1610612743,14,14,2022-01-16T02:24:15Z,590000,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M00.00S,2022-01-16T02:23:42.4Z,1,REGULAR,substitution,in,[],1630538,,,1610612743,14,14,2022-01-16T02:24:15Z,600000,,,0,,SUB in: B. Hyland,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M00.00S,2022-01-16T02:23:42.4Z,1,REGULAR,substitution,in,[],2772,,,1610612743,14,14,2022-01-16T02:24:15Z,610000,,,0,,SUB in: T. Ariza,[2772],1610612747.0,LAL,,,,Ariza,T. Ariza,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M46.00S,2022-01-16T02:24:40.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,93.24901445466492,58.57843137254902,1610612743,16,14,2022-01-16T02:24:45Z,620000,43.0,11.0,1,right,N. Jokic cutting finger roll Layup (6 PTS) (A. Gordon 2 AST),"[203999, 203932]",1610612743.0,DEN,cutting finger roll,,,Jokic,N. Jokic,,,,,,,,,,Made,6.0,4.43,,,,,A. Gordon,203932.0,2.0,,,,,
64,PT05M29.00S,2022-01-16T02:24:57.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,7.966491458607096,55.392156862745104,1610612747,16,14,2022-01-16T02:25:10Z,640000,-27.0,22.0,1,left,MISS R. Westbrook driving finger roll Layup,[201566],1610612747.0,LAL,driving finger roll,,,Westbrook,R. Westbrook,,,,,,,,,,Missed,,3.51,,,,,,,,,,,,
65,PT05M28.00S,2022-01-16T02:24:59.3Z,1,REGULAR,rebound,offensive,[],2730,,,1610612747,16,14,2022-01-16T02:24:59Z,650000,,,0,,D. Howard REBOUND (Off:3 Def:0),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,64.0,3.0,0.0,3.0,,,,,,,,
66,PT05M27.00S,2022-01-16T02:25:00.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",2730,7.835085413929041,43.872549019607845,1610612747,16,16,2022-01-16T02:25:13Z,660000,31.0,21.0,1,left,D. Howard Hook (8 PTS),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,Made,8.0,3.72,,,,,,,,,,,,
67,PT05M14.00S,2022-01-16T02:25:12.6Z,1,REGULAR,3pt,Jump Shot,[],1630538,91.67214191852825,5.147058823529411,1610612743,19,16,2022-01-16T02:25:17Z,670000,-224.0,26.0,1,right,B. Hyland 3PT  (3 PTS) (N. Jokic 2 AST),"[1630538, 203999]",1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,Made,3.0,22.58,,,,,N. Jokic,203999.0,2.0,,,,,
69,PT05M02.00S,2022-01-16T02:25:24.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,15.325229960578188,48.529411764705884,1610612747,19,16,2022-01-16T02:25:30Z,690000,7.0,92.0,1,left,MISS R. Westbrook 9' fadeaway Shot,[201566],1610612747.0,LAL,fadeaway,,,Westbrook,R. Westbrook,,,,,,,,,,Missed,,9.19,,,,,,,,,,,,
70,PT04M58.00S,2022-01-16T02:25:28.6Z,1,REGULAR,rebound,defensive,[],1630538,,,1610612743,19,16,2022-01-16T02:25:30Z,700000,,,0,,B. Hyland REBOUND (Off:0 Def:1),[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,
71,PT04M51.00S,2022-01-16T02:25:36.0Z,1,REGULAR,3pt,Jump Shot,[],1628420,69.46452036793693,29.901960784313726,1610612743,22,16,2022-01-16T02:25:42Z,710000,-100.0,235.0,1,right,M. Morris 25' 3PT  (5 PTS) (W. Barton 1 AST),"[1628420, 203115]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,Made,5.0,25.51,,,,,W. Barton,203115.0,1.0,,,,,
73,PT04M39.00S,2022-01-16T02:25:47.7Z,1,REGULAR,3pt,Jump Shot,[],202340,9.806176084099869,2.450980392156863,1610612747,22,19,2022-01-16T02:25:55Z,730000,238.0,40.0,1,left,A. Bradley 24' 3PT  (3 PTS) (T. Ariza 1 AST),"[202340, 2772]",1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,Made,3.0,24.1,,,,,T. Ariza,2772.0,1.0,,,,,
75,PT04M21.00S,2022-01-16T02:26:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,91.80354796320631,53.67647058823529,1610612743,22,19,2022-01-16T02:26:09Z,750000,18.0,25.0,1,right,MISS A. Gordon driving finger roll Layup,[203932],1610612743.0,DEN,driving finger roll,,,Gordon,A. Gordon,,,,,,,,,,Missed,,3.06,,,,,,,,,,,,
76,PT04M20.00S,2022-01-16T02:26:06.6Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612747,22,19,2022-01-16T02:26:09Z,760000,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,
77,PT04M16.00S,2022-01-16T02:26:11.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628370,8.492115637319317,44.36274509803921,1610612747,22,21,2022-01-16T02:26:19Z,770000,28.0,27.0,1,left,M. Monk running finger roll Layup (4 PTS),[1628370],1610612747.0,LAL,running finger roll,,,Monk,M. Monk,,,,,,,,,,Made,4.0,3.92,,,,,,,,,,,,
78,PT03M58.00S,2022-01-16T02:26:28.6Z,1,REGULAR,2pt,Jump Shot,[],1628420,92.06636005256242,69.36274509803921,1610612743,22,21,2022-01-16T02:26:34Z,780000,97.0,22.0,1,right,MISS M. Morris 9' fadeaway Shot,[1628420],1610612743.0,DEN,fadeaway,,,Morris,M. Morris,,,,,,,,,,Missed,,9.93,,,,,,,,,,,,
79,PT03M57.00S,2022-01-16T02:26:29.6Z,1,REGULAR,rebound,defensive,[],2772,,,1610612747,22,21,2022-01-16T02:26:34Z,790000,,,0,,T. Ariza REBOUND (Off:0 Def:1),[2772],1610612747.0,LAL,,,,Ariza,T. Ariza,,,,,,,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,
80,PT03M50.00S,2022-01-16T02:26:37.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],2730,6.258212877792378,49.754901960784316,1610612747,22,23,2022-01-16T02:26:43Z,800000,1.0,6.0,1,left,D. Howard alley-oop DUNK (10 PTS) (M. Monk 1 AST),"[2730, 1628370]",1610612747.0,LAL,alley-oop,,,Howard,D. Howard,,,,,,,,,,Made,10.0,0.64,,,,,M. Monk,1628370.0,1.0,,,,,
82,PT03M20.00S,2022-01-16T02:27:06.6Z,1,REGULAR,2pt,Jump Shot,[],203115,90.62089356110381,77.94117647058823,1610612743,24,23,2022-01-16T02:27:10Z,820000,140.0,36.0,1,right,W. Barton 14' pullup Jump Shot (5 PTS),[203115],1610612743.0,DEN,pullup,,,Barton,W. Barton,,,,,,,,,,Made,5.0,14.42,,,,,,,,,,,,
83,PT03M04.00S,2022-01-16T02:27:23.0Z,1,REGULAR,2pt,Jump Shot,[],201566,17.559132720105126,20.833333333333336,1610612747,24,23,2022-01-16T02:27:29Z,830000,146.0,113.0,1,left,MISS R. Westbrook 18' pullup Shot,[201566],1610612747.0,LAL,pullup,,,Westbrook,R. Westbrook,,,,,,,,,,Missed,,18.42,,,,,,,,,,,,
84,PT03M01.00S,2022-01-16T02:27:26.0Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,24,23,2022-01-16T02:27:29Z,840000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,
85,PT02M57.00S,2022-01-16T02:27:32.9Z,1,REGULAR,foul,personal,['2freethrow'],1628370,,,1610612743,24,23,2022-01-16T02:27:45Z,850000,,,0,,M. Monk shooting personal FOUL (2 PF) (Barton 2 FT),"[1628370, 203115]",1610612747.0,LAL,shooting,,,Monk,M. Monk,,,,,101284.0,2.0,0.0,Barton,203115.0,,,,,,,,,,,,,,,
87,PT02M57.00S,2022-01-16T02:28:03.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203115,,,1610612743,25,23,2022-01-16T02:28:03Z,870000,,,0,,W. Barton Free Throw 1 of 2 (6 PTS),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,Made,6.0,,,,,,,,,,,,,
88,PT02M57.00S,2022-01-16T02:28:04.3Z,1,REGULAR,substitution,out,[],1628420,,,1610612743,25,23,2022-01-16T02:28:30Z,880000,,,0,,SUB out: M. Morris,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,
89,PT02M57.00S,2022-01-16T02:28:04.3Z,1,REGULAR,substitution,out,[],203932,,,1610612743,25,23,2022-01-16T02:28:30Z,890000,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,
90,PT02M57.00S,2022-01-16T02:28:04.3Z,1,REGULAR,substitution,out,[],201566,,,1610612743,25,23,2022-01-16T02:28:30Z,900000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
91,PT02M57.00S,2022-01-16T02:28:04.3Z,1,REGULAR,substitution,out,[],1628370,,,1610612743,25,23,2022-01-16T02:28:30Z,910000,,,0,,SUB out: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,
92,PT02M57.00S,2022-01-16T02:28:04.3Z,1,REGULAR,substitution,out,[],202340,,,1610612743,25,23,2022-01-16T02:28:30Z,920000,,,0,,SUB out: A. Bradley,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,
