actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
19,PT10M03.00S,2021-12-16T02:12:35.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612743,2,7,2021-12-16T02:12:53Z,190000,,,0,,DEN shot clock Team TURNOVER,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,203591.0,,,,,,
20,PT09M48.00S,2021-12-16T02:12:56.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626157,7.835085413929041,59.068627450980394,1610612750,2,9,2021-12-16T02:13:06Z,200000,-45.0,21.0,1,left,K. Towns turnaround Jump Shot (4 PTS),[1626157],1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,5.0,Made,4.0,,,,,,,,,,,,,,,,,
21,PT09M35.00S,2021-12-16T02:13:11.5Z,1,REGULAR,foul,personal,['2freethrow'],201976,,,1610612743,2,9,2021-12-16T02:13:23Z,210000,,,0,,P. Beverley shooting personal FOUL (1 PF) (Jokic 2 FT),"[201976, 203999]",1610612750.0,MIN,shooting,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,202007.0,1.0,0.0,Jokic,203999.0,,
23,PT09M35.00S,2021-12-16T02:13:35.8Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,2,9,2021-12-16T02:13:35Z,230000,,,0,,MISS N. Jokic Free Throw 1 of 2,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Missed,,,,,,,,,,,,,,,,,,
24,PT09M35.00S,2021-12-16T02:13:35.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,2,9,2021-12-16T02:13:35Z,240000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,
25,PT09M35.00S,2021-12-16T02:13:48.4Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,3,9,2021-12-16T02:13:48Z,250000,,,0,,N. Jokic Free Throw 2 of 2 (3 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
26,PT09M25.00S,2021-12-16T02:13:58.9Z,1,REGULAR,3pt,Jump Shot,[],201976,27.020367936925098,81.12745098039215,1610612750,3,12,2021-12-16T02:14:05Z,260000,-156.0,201.0,1,left,P. Beverley 25' 3PT  (6 PTS) (K. Towns 2 AST),"[201976, 1626157]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,25.46,Made,6.0,K. Towns,1626157.0,2.0,,,,,,,,,,,,,,
28,PT09M03.00S,2021-12-16T02:14:21.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203932,86.67871222076215,43.627450980392155,1610612743,3,12,2021-12-16T02:14:29Z,280000,-32.0,73.0,1,right,MISS A. Gordon 7' turnaround Hook,[203932],1610612743.0,DEN,turnaround,,,Gordon,A. Gordon,,,,,7.94,Missed,,,,,,,,,,,,,,,,,,
29,PT08M57.00S,2021-12-16T02:14:27.2Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,3,12,2021-12-16T02:14:29Z,290000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,
30,PT08M46.00S,2021-12-16T02:14:38.3Z,1,REGULAR,3pt,Jump Shot,[],1626157,34.37910643889619,46.07843137254902,1610612750,3,12,2021-12-16T02:15:33Z,300000,20.0,271.0,1,left,MISS K. Towns 27' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,27.14,Missed,,,,,,,,,,,,,,,,,,
31,PT08M46.00S,2021-12-16T02:14:38.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,3,12,2021-12-16T02:17:49Z,310000,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,
33,PT08M32.00S,2021-12-16T02:15:01.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,92.46057818659659,52.20588235294118,1610612743,5,12,2021-12-16T02:16:47Z,330000,11.0,18.0,1,right,J. Green Layup (2 PTS) (N. Jokic 1 AST),"[201145, 203999]",1610612743.0,DEN,,,,Green,J. Green,,,,,2.14,Made,2.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,
35,PT08M15.00S,2021-12-16T02:15:18.7Z,1,REGULAR,2pt,Jump Shot,[],1626156,23.99802890932983,49.26470588235294,1610612750,5,12,2021-12-16T02:15:26Z,350000,4.0,173.0,1,left,MISS D. Russell 17' step back Shot,[1626156],1610612750.0,MIN,step back,,,Russell,D. Russell,,,,,17.31,Missed,,,,,,,,,,,,,,,,,,
36,PT08M12.00S,2021-12-16T02:15:21.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,5,12,2021-12-16T02:15:26Z,360000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,
37,PT08M07.00S,2021-12-16T02:15:26.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203115,93.51182654402102,46.32352941176471,1610612743,7,12,2021-12-16T02:15:33Z,370000,-18.0,8.0,1,right,W. Barton running Layup (2 PTS) (N. Jokic 2 AST),"[203115, 203999]",1610612743.0,DEN,running,,,Barton,W. Barton,,,,,2.03,Made,2.0,N. Jokic,203999.0,2.0,,,,,,,,,,,,,,
39,PT08M00.00S,2021-12-16T02:15:34.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201976,25.18068331143233,15.196078431372548,1610612750,7,15,2021-12-16T02:19:37Z,390000,174.0,184.0,1,left,P. Beverley 25' 3PT running pullup (9 PTS),[201976],1610612750.0,MIN,running pullup,,,Beverley,P. Beverley,,,,,25.34,Made,9.0,,,,,,,,,,,,,,,,,
40,PT07M46.00S,2021-12-16T02:15:47.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628420,80.6340341655716,44.11764705882353,1610612743,9,15,2021-12-16T02:15:54Z,400000,-29.0,130.0,1,right,M. Morris 13' fadeaway Jump Shot (2 PTS) (N. Jokic 3 AST),"[1628420, 203999]",1610612743.0,DEN,fadeaway,,,Morris,M. Morris,,,,,13.28,Made,2.0,N. Jokic,203999.0,3.0,,,,,,,,,,,,,,
42,PT07M33.00S,2021-12-16T02:16:00.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,8.886333771353483,51.470588235294116,1610612750,9,17,2021-12-16T02:16:17Z,420000,-7.0,31.0,1,left,K. Towns floating Jump Shot (6 PTS) (P. Beverley 2 AST),"[1626157, 201976]",1610612750.0,MIN,floating,,,Towns,K. Towns,,,,,3.19,Made,6.0,P. Beverley,201976.0,2.0,,,,,,,,,,,,,,
44,PT07M11.00S,2021-12-16T02:16:25.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,9,17,2021-12-16T02:16:25Z,440000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M09.00S,2021-12-16T02:16:41.1Z,1,REGULAR,3pt,Jump Shot,[],203999,67.62483574244416,30.392156862745097,1610612743,9,17,2021-12-16T02:17:35Z,450000,-98.0,252.0,1,right,MISS N. Jokic 27' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,27.02,Missed,,,,,,,,,,,,,,,,,,
46,PT07M09.00S,2021-12-16T02:16:41.1Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,9,17,2021-12-16T02:19:57Z,460000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,
47,PT06M53.00S,2021-12-16T02:16:56.0Z,1,REGULAR,3pt,Jump Shot,[],1630162,32.276609724047304,52.69607843137255,1610612750,9,20,2021-12-16T02:18:06Z,470000,-13.0,251.0,1,left,A. Edwards 25' 3PT  (3 PTS) (K. Towns 3 AST),"[1630162, 1626157]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,25.13,Made,3.0,K. Towns,1626157.0,3.0,,,,,,,,,,,,,,
49,PT06M52.00S,2021-12-16T02:17:04.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,9,20,2021-12-16T02:17:04Z,490000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT06M42.00S,2021-12-16T02:20:02.9Z,1,REGULAR,3pt,Jump Shot,[],203115,92.19776609724047,94.6078431372549,1610612743,9,20,2021-12-16T02:20:19Z,500000,223.0,21.0,1,right,MISS W. Barton 3PT,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,22.4,Missed,,,,,,,,,,,,,,,,,,
51,PT06M41.00S,2021-12-16T02:20:03.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,9,20,2021-12-16T02:20:19Z,510000,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,
52,PT06M41.00S,2021-12-16T02:20:12.7Z,1,REGULAR,foul,personal,[],201145,,,1610612750,9,20,2021-12-16T02:20:32Z,520000,,,0,,J. Green loose ball personal FOUL (1 PF),"[201145, 1629020]",1610612743.0,DEN,loose ball,,,Green,J. Green,,,,,,,,,,,,,,,,,,203591.0,1.0,0.0,Vanderbilt,1629020.0,,
54,PT06M21.00S,2021-12-16T02:20:40.6Z,1,REGULAR,3pt,Jump Shot,[],1630162,30.56833114323259,19.11764705882353,1610612750,9,20,2021-12-16T02:20:49Z,540000,154.0,235.0,1,left,MISS A. Edwards 28' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,28.1,Missed,,,,,,,,,,,,,,,,,,
55,PT06M18.00S,2021-12-16T02:20:43.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,9,20,2021-12-16T02:20:49Z,550000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,54.0,2.0,2.0,0.0,,,,,,,
56,PT06M13.00S,2021-12-16T02:20:48.7Z,1,REGULAR,turnover,lost ball,[],203115,,,1610612743,9,20,2021-12-16T02:20:55Z,560000,,,0,,W. Barton lost ball TURNOVER (1 TO),"[203115, 1626157]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,1.0,Towns,1626157.0,,,,,,,,,,,
57,PT06M13.00S,2021-12-16T02:20:48.7Z,1,REGULAR,steal,,[],1626157,,,1610612750,9,20,2021-12-16T02:20:50Z,570000,,,0,,K. Towns STEAL (2 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M10.00S,2021-12-16T02:20:52.2Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",201976,28.203022339027594,74.01960784313727,1610612750,9,20,2021-12-16T02:21:55Z,580000,-120.0,213.0,1,left,MISS P. Beverley 24' running pullup 3PT,[201976],1610612750.0,MIN,running pullup,,,Beverley,P. Beverley,,,,,24.42,Missed,,,,,,,,,,,,,,,,,,
59,PT06M06.00S,2021-12-16T02:20:56.2Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,9,20,2021-12-16T02:21:00Z,590000,,,0,,A. Gordon REBOUND (Off:1 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,58.0,2.0,1.0,1.0,,,,,,,
60,PT06M01.00S,2021-12-16T02:21:01.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,91.80354796320631,47.549019607843135,1610612743,11,20,2021-12-16T02:21:09Z,600000,-12.0,25.0,1,right,J. Green Layup (4 PTS) (A. Gordon 1 AST),"[201145, 203932]",1610612743.0,DEN,,,,Green,J. Green,,,,,2.74,Made,4.0,A. Gordon,203932.0,1.0,,,,,,,,,,,,,,
62,PT05M48.00S,2021-12-16T02:21:14.9Z,1,REGULAR,foul,personal,['2freethrow'],203115,,,1610612750,11,20,2021-12-16T02:21:39Z,620000,,,0,,W. Barton shooting personal FOUL (1 PF) (Russell 2 FT),"[203115, 1626156]",1610612743.0,DEN,shooting,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,202007.0,1.0,0.0,Russell,1626156.0,,
64,PT05M48.00S,2021-12-16T02:21:40.7Z,1,REGULAR,freethrow,1 of 2,[],1626156,,,1610612750,11,20,2021-12-16T02:21:40Z,640000,,,0,,MISS D. Russell Free Throw 1 of 2,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,Missed,,,,,,,,,,,,,,,,,,
65,PT05M48.00S,2021-12-16T02:21:40.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,11,20,2021-12-16T02:21:40Z,650000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,
66,PT05M48.00S,2021-12-16T02:21:43.0Z,1,REGULAR,substitution,out,[],203115,,,1610612750,11,20,2021-12-16T02:21:46Z,660000,,,0,,SUB out: W. Barton,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M48.00S,2021-12-16T02:21:43.0Z,1,REGULAR,substitution,in,[],1630267,,,1610612750,11,20,2021-12-16T02:21:46Z,670000,,,0,,SUB in: F. Campazzo,[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M48.00S,2021-12-16T02:21:52.9Z,1,REGULAR,freethrow,2 of 2,[],1626156,,,1610612750,11,21,2021-12-16T02:21:52Z,680000,,,0,,D. Russell Free Throw 2 of 2 (1 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
69,PT05M33.00S,2021-12-16T02:22:11.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,91.27792378449409,50.245098039215684,1610612743,13,21,2021-12-16T02:22:18Z,690000,1.0,29.0,1,right,A. Gordon reverse DUNK (2 PTS) (N. Jokic 4 AST),"[203932, 203999]",1610612743.0,DEN,reverse,,,Gordon,A. Gordon,,,,,2.95,Made,2.0,N. Jokic,203999.0,4.0,,,,,,,,,,,,,,
71,PT05M07.00S,2021-12-16T02:22:37.2Z,1,REGULAR,2pt,Hook,[],1626157,9.017739816031538,32.35294117647059,1610612750,13,21,2021-12-16T02:22:45Z,710000,88.0,32.0,1,left,MISS K. Towns 9' turnaround Hook,[1626157],1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,9.39,Missed,,,,,,,,,,,,,,,,,,
72,PT05M02.00S,2021-12-16T02:22:42.2Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,13,21,2021-12-16T02:22:45Z,720000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,71.0,2.0,1.0,1.0,,,,,,,
73,PT04M58.00S,2021-12-16T02:22:45.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626156,20.45006570302234,91.66666666666666,1610612750,13,24,2021-12-16T02:22:52Z,730000,-208.0,140.0,1,left,D. Russell 25' 3PT  (4 PTS) (P. Beverley 3 AST),"[1626156, 201976]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,25.08,Made,4.0,P. Beverley,201976.0,3.0,,,,,,,,,,,,,,
75,PT04M56.00S,2021-12-16T02:22:52.0Z,1,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,13,24,2021-12-16T02:23:03Z,750000,,,0,,A. Gordon bad pass out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,bad pass,,,Gordon,A. Gordon,,,,,,,,,,,1.0,,,,,,,202007.0,,,,,,
76,PT04M56.00S,2021-12-16T02:22:57.3Z,1,REGULAR,substitution,out,[],201145,,,1610612750,13,24,2021-12-16T02:23:00Z,760000,,,0,,SUB out: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M56.00S,2021-12-16T02:22:57.3Z,1,REGULAR,substitution,in,[],1630192,,,1610612750,13,24,2021-12-16T02:23:00Z,770000,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M56.00S,2021-12-16T02:23:03.5Z,1,REGULAR,substitution,out,[],1626156,,,1610612750,13,24,2021-12-16T02:23:13Z,780000,,,0,,SUB out: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M56.00S,2021-12-16T02:23:03.5Z,1,REGULAR,substitution,in,[],1627736,,,1610612750,13,24,2021-12-16T02:23:13Z,790000,,,0,,SUB in: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M38.00S,2021-12-16T02:23:18.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626157,13.091327201051248,40.44117647058824,1610612750,13,26,2021-12-16T02:23:26Z,800000,48.0,71.0,1,left,K. Towns 8' driving floating Jump Shot (8 PTS) (P. Beverley 4 AST),"[1626157, 201976]",1610612750.0,MIN,driving floating,,,Towns,K. Towns,,,,,8.53,Made,8.0,P. Beverley,201976.0,4.0,,,,,,,,,,,,,,
82,PT04M31.00S,2021-12-16T02:23:26.5Z,1,REGULAR,3pt,Jump Shot,[],1630192,90.88370565045992,3.1862745098039214,1610612743,13,26,2021-12-16T02:23:33Z,820000,-234.0,33.0,1,right,MISS Z. Nnaji 3PT,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,23.64,Missed,,,,,,,,,,,,,,,,,,
83,PT04M25.00S,2021-12-16T02:23:32.5Z,1,REGULAR,rebound,defensive,[],201976,,,1610612750,13,26,2021-12-16T02:24:11Z,830000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,82.0,1.0,1.0,0.0,,,,,,,
84,PT04M21.00S,2021-12-16T02:23:35.7Z,1,REGULAR,3pt,Jump Shot,[],1630162,33.459264126149804,42.15686274509804,1610612750,13,29,2021-12-16T02:25:33Z,840000,39.0,262.0,1,left,A. Edwards 26' 3PT running (6 PTS) (P. Beverley 5 AST),"[1630162, 201976]",1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,26.49,Made,6.0,P. Beverley,201976.0,5.0,,,,,,,,,,,,,,
85,PT04M10.00S,2021-12-16T02:23:47.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,89.70105124835742,42.64705882352941,1610612743,15,29,2021-12-16T02:23:56Z,850000,-37.0,44.0,1,right,N. Jokic cutting Layup (5 PTS) (M. Morris 2 AST),"[203999, 1628420]",1610612743.0,DEN,cutting,,,Jokic,N. Jokic,,,,,5.76,Made,5.0,M. Morris,1628420.0,2.0,,,,,,,,,,,,,,
87,PT04M01.00S,2021-12-16T02:23:56.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,8.09789750328515,52.69607843137255,1610612750,15,31,2021-12-16T02:24:08Z,870000,-13.0,24.0,1,left,A. Edwards driving Layup (8 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,2.72,Made,8.0,,,,,,,,,,,,,,,,,
88,PT03M47.00S,2021-12-16T02:24:09.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628420,81.94809461235218,41.42156862745098,1610612743,17,31,2021-12-16T02:24:15Z,880000,-43.0,117.0,1,right,M. Morris 12' Jump Shot (4 PTS) (N. Jokic 5 AST),"[1628420, 203999]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,12.48,Made,4.0,N. Jokic,203999.0,5.0,,,,,,,,,,,,,,
91,PT03M19.00S,2021-12-16T02:24:39.7Z,1,REGULAR,2pt,Jump Shot,[],1627736,14.011169513797633,33.82352941176471,1610612750,17,31,2021-12-16T02:27:06Z,900000,81.0,79.0,1,left,MISS M. Beasley 11' pullup Shot,[1627736],1610612750.0,MIN,pullup,,,Beasley,M. Beasley,,,,,11.32,Missed,,,,,,,,,,,,,,,,,,
92,PT03M18.00S,2021-12-16T02:24:40.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,17,31,2021-12-16T02:27:40Z,910000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,
93,PT03M18.00S,2021-12-16T02:24:48.8Z,1,REGULAR,foul,personal,[],1630192,,,1610612750,17,31,2021-12-16T02:28:14Z,920000,,,0,,Z. Nnaji loose ball personal FOUL (1 PF),"[1630192, 1626157]",1610612743.0,DEN,loose ball,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,203591.0,1.0,0.0,Towns,1626157.0,,
95,PT03M18.00S,2021-12-16T02:24:58.2Z,1,REGULAR,substitution,out,[],1628420,,,1610612750,17,31,2021-12-16T02:25:08Z,940000,,,0,,SUB out: M. Morris,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M18.00S,2021-12-16T02:24:58.2Z,1,REGULAR,substitution,out,[],1629020,,,1610612750,17,31,2021-12-16T02:25:08Z,950000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M18.00S,2021-12-16T02:24:58.2Z,1,REGULAR,substitution,out,[],201976,,,1610612750,17,31,2021-12-16T02:25:08Z,960000,,,0,,SUB out: P. Beverley,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M18.00S,2021-12-16T02:24:58.2Z,1,REGULAR,substitution,in,[],1630210,,,1610612750,17,31,2021-12-16T02:25:08Z,970000,,,0,,SUB in: M. Howard,[1630210],1610612743.0,DEN,,,,Howard,M. Howard,,,,,,,,,,,,,,,,,,,,,,,,
