actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
19,PT10M21.00S,2022-02-27T02:15:38.8Z,1,REGULAR,3pt,Jump Shot,[],1628368,28.33442838370565,77.69607843137256,1610612758,9,6,2022-02-27T02:15:45Z,190000,-138.0,214.0,1,left,D. Fox 25' 3PT  (3 PTS) (H. Barnes 1 AST),"[1628368, 203084]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,25.47,Made,3.0,H. Barnes,203084.0,1.0,,,,,,,,,,,,,,,
21,PT10M05.00S,2022-02-27T02:15:56.4Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,9,6,2022-02-27T02:16:02Z,210000,,,0,,N. Jokic bad pass out-of-bounds TURNOVER (1 TO),[203999],1610612743.0,DEN,bad pass,,,Jokic,N. Jokic,,,,,,,,,,,,,,,202037.0,1.0,,,,,,,,,
22,PT09M58.00S,2022-02-27T02:16:07.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628368,30.962549277266753,67.15686274509804,1610612758,9,6,2022-02-27T02:16:12Z,220000,-86.0,239.0,1,left,MISS D. Fox 25' step back 3PT,[1628368],1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,25.35,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M55.00S,2022-02-27T02:16:10.4Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,9,6,2022-02-27T02:16:12Z,230000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT09M39.00S,2022-02-27T02:16:26.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,92.06636005256242,51.225490196078425,1610612743,11,6,2022-02-27T02:16:33Z,240000,6.0,22.0,1,right,A. Gordon driving DUNK (5 PTS) (W. Barton 2 AST),"[203932, 203115]",1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,2.29,Made,5.0,W. Barton,203115.0,2.0,,,,,,,,,,,,,,,
26,PT09M29.00S,2022-02-27T02:16:38.0Z,1,REGULAR,foul,personal,['2freethrow'],203115,,,1610612758,11,6,2022-02-27T02:16:54Z,260000,,,0,,W. Barton shooting personal FOUL (1 PF) (Holiday 2 FT),"[203115, 203200]",1610612743.0,DEN,shooting,,,Barton,W. Barton,,,,,,,,,,,,,,,1146.0,,1.0,0.0,Holiday,203200.0,,,,,
28,PT09M29.00S,2022-02-27T02:17:15.0Z,1,REGULAR,freethrow,1 of 2,[],203200,,,1610612758,11,6,2022-02-27T02:17:15Z,280000,,,0,,MISS J. Holiday Free Throw 1 of 2,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M29.00S,2022-02-27T02:17:15.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,11,6,2022-02-27T02:17:15Z,290000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,
30,PT09M29.00S,2022-02-27T02:17:28.6Z,1,REGULAR,freethrow,2 of 2,[],203200,,,1610612758,11,7,2022-02-27T02:17:28Z,300000,,,0,,J. Holiday Free Throw 2 of 2 (4 PTS),[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
31,PT09M18.00S,2022-02-27T02:17:43.2Z,1,REGULAR,3pt,Jump Shot,[],201145,93.77463863337714,95.34313725490196,1610612743,11,7,2022-02-27T02:17:48Z,310000,227.0,6.0,1,right,MISS J. Green 3PT,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,22.68,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M15.00S,2022-02-27T02:17:46.2Z,1,REGULAR,rebound,defensive,[],203200,,,1610612758,11,7,2022-02-27T02:17:48Z,320000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,
33,PT09M08.00S,2022-02-27T02:17:52.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203090,6.1268068331143235,47.30392156862745,1610612758,11,9,2022-02-27T02:17:59Z,330000,13.0,5.0,1,left,M. Harkless cutting Layup (2 PTS) (D. Fox 1 AST),"[203090, 1628368]",1610612758.0,SAC,cutting,,,Harkless,M. Harkless,,,,,1.44,Made,2.0,D. Fox,1628368.0,1.0,,,,,,,,,,,,,,,
35,PT09M02.00S,2022-02-27T02:17:58.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203115,93.24901445466492,44.11764705882353,1610612743,13,9,2022-02-27T02:18:08Z,350000,-29.0,11.0,1,right,W. Barton running Layup (5 PTS),[203115],1610612743.0,DEN,running,,,Barton,W. Barton,,,,,3.14,Made,5.0,,,,,,,,,,,,,,,,,,
36,PT08M48.00S,2022-02-27T02:18:12.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,13.485545335085414,41.17647058823529,1610612758,13,11,2022-02-27T02:40:17Z,360000,44.0,74.0,1,left,D. Fox 8' floating Jump Shot (5 PTS),[1628368],1610612758.0,SAC,floating,,,Fox,D. Fox,,,,,8.64,Made,5.0,,,,,,,,,,,,,,,,,,
37,PT08M32.00S,2022-02-27T02:18:33.1Z,1,REGULAR,foul,personal,[],1627734,,,1610612743,13,11,2022-02-27T02:18:48Z,370000,,,0,,D. Sabonis personal FOUL (1 PF),"[1627734, 203999]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,1146.0,,1.0,0.0,Jokic,203999.0,,,,,
39,PT08M22.00S,2022-02-27T02:18:54.2Z,1,REGULAR,2pt,Jump Shot,[],203932,74.85216819973719,71.07843137254902,1610612743,15,11,2022-02-27T02:18:58Z,390000,105.0,184.0,1,right,A. Gordon 21' pullup Jump Shot (7 PTS) (J. Green 1 AST),"[203932, 201145]",1610612743.0,DEN,pullup,,,Gordon,A. Gordon,,,,,21.2,Made,7.0,J. Green,201145.0,1.0,,,,,,,,,,,,,,,
41,PT08M13.00S,2022-02-27T02:19:06.1Z,1,REGULAR,foul,offensive,[],203200,,,1610612758,15,11,2022-02-27T02:28:24Z,410000,,,0,,J. Holiday offensive FOUL (1 PF),"[203200, 203115]",1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,1363.0,,1.0,0.0,Barton,203115.0,,,,,
43,PT08M13.00S,2022-02-27T02:19:06.1Z,1,REGULAR,turnover,offensive foul,[],203200,,,1610612758,15,11,2022-02-27T02:28:24Z,430000,,,0,,J. Holiday offensive foul TURNOVER (1 TO),[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,1363.0,1.0,,,,,,,,,
44,PT07M54.00S,2022-02-27T02:19:37.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203115,73.40670170827858,81.37254901960785,1610612743,15,11,2022-02-27T02:19:43Z,440000,157.0,197.0,1,right,MISS W. Barton 25' 3PT,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,25.22,Missed,,,,,,,,,,,,,,,,,,,
45,PT07M48.00S,2022-02-27T02:19:43.1Z,1,REGULAR,rebound,defensive,[],203090,,,1610612758,15,11,2022-02-27T02:19:43Z,450000,,,0,,M. Harkless REBOUND (Off:0 Def:1),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,
46,PT07M42.00S,2022-02-27T02:19:47.8Z,1,REGULAR,3pt,Jump Shot,[],203200,23.73521681997372,12.254901960784313,1610612758,15,11,2022-02-27T02:19:57Z,460000,189.0,171.0,1,left,MISS J. Holiday 25' 3PT,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,25.44,Missed,,,,,,,,,,,,,,,,,,,
47,PT07M40.00S,2022-02-27T02:19:50.5Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,15,11,2022-02-27T02:19:50Z,470000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,
48,PT07M37.00S,2022-02-27T02:19:56.3Z,1,REGULAR,foul,personal,[],203200,,,1610612743,15,11,2022-02-27T02:20:20Z,480000,,,0,,J. Holiday personal FOUL (2 PF),"[203200, 203932]",1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,1363.0,,2.0,0.0,Gordon,203932.0,,,,,
50,PT07M25.00S,2022-02-27T02:20:31.1Z,1,REGULAR,2pt,Jump Shot,[],201145,92.59198423127464,89.95098039215686,1610612743,17,11,2022-02-27T02:20:35Z,500000,200.0,17.0,1,right,J. Green 20' step back Jump Shot (2 PTS) (N. Jokic 3 AST),"[201145, 203999]",1610612743.0,DEN,step back,,,Green,J. Green,,,,,20.05,Made,2.0,N. Jokic,203999.0,3.0,,,,,,,,,,,,,,,
52,PT07M07.00S,2022-02-27T02:20:50.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203090,6.521024967148489,48.03921568627451,1610612758,17,13,2022-02-27T02:20:53Z,520000,10.0,9.0,1,left,M. Harkless DUNK (4 PTS) (D. Sabonis 2 AST),"[203090, 1627734]",1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,1.32,Made,4.0,D. Sabonis,1627734.0,2.0,,,,,,,,,,,,,,,
54,PT06M50.00S,2022-02-27T02:21:07.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628420,93.77463863337714,53.67647058823529,1610612743,19,13,2022-02-27T02:21:12Z,540000,18.0,6.0,1,right,M. Morris cutting finger roll Layup (5 PTS) (N. Jokic 4 AST),"[1628420, 203999]",1610612743.0,DEN,cutting finger roll,,,Morris,M. Morris,,,,,1.94,Made,5.0,N. Jokic,203999.0,4.0,,,,,,,,,,,,,,,
56,PT06M42.00S,2022-02-27T02:21:14.7Z,1,REGULAR,turnover,bad pass,[],1628368,,,1610612758,19,13,2022-02-27T02:21:24Z,560000,,,0,,D. Fox bad pass TURNOVER (1 TO),"[1628368, 1628420]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,1.0,,,,,Morris,1628420.0,,,
57,PT06M42.00S,2022-02-27T02:21:14.7Z,1,REGULAR,steal,,[],1628420,,,1610612743,19,13,2022-02-27T02:21:16Z,570000,,,0,,M. Morris STEAL (1 STL),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M38.00S,2022-02-27T02:21:21.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,19,13,2022-02-27T02:21:21Z,580000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M27.00S,2022-02-27T02:22:00.1Z,1,REGULAR,foul,personal,[],1627734,,,1610612743,19,13,2022-02-27T02:22:06Z,590000,,,0,,D. Sabonis personal FOUL (2 PF),"[1627734, 203999]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,1146.0,,2.0,0.0,Jokic,203999.0,,,,,
67,PT06M27.00S,2022-02-27T02:22:19.3Z,1,REGULAR,substitution,out,[],1627734,,,1610612743,19,13,2022-02-27T02:23:42Z,605000,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M27.00S,2022-02-27T02:22:19.3Z,1,REGULAR,substitution,in,[],1627745,,,1610612743,19,13,2022-02-27T02:23:42Z,607500,,,0,,SUB in: D. Jones,[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M14.00S,2022-02-27T02:22:38.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203999,68.41327201051249,66.17647058823529,1610612743,19,13,2022-02-27T02:22:42Z,610000,81.0,244.0,1,right,MISS N. Jokic 25' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,25.74,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M12.00S,2022-02-27T02:22:40.5Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,19,13,2022-02-27T02:22:42Z,620000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,,
63,PT06M07.00S,2022-02-27T02:22:48.3Z,1,REGULAR,foul,personal,['2freethrow'],203999,,,1610612758,19,13,2022-02-27T02:23:01Z,630000,,,0,,N. Jokic shooting personal FOUL (1 PF) (Fox 2 FT),"[203999, 1628368]",1610612743.0,DEN,shooting,,,Jokic,N. Jokic,,,,,,,,,,,,,,,1146.0,,1.0,0.0,Fox,1628368.0,,,,,
65,PT06M07.00S,2022-02-27T02:23:13.6Z,1,REGULAR,freethrow,1 of 2,[],1628368,,,1610612758,19,14,2022-02-27T02:23:13Z,650000,,,0,,D. Fox Free Throw 1 of 2 (6 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
66,PT06M07.00S,2022-02-27T02:23:31.0Z,1,REGULAR,freethrow,2 of 2,[],1628368,,,1610612758,19,15,2022-02-27T02:23:31Z,660000,,,0,,D. Fox Free Throw 2 of 2 (7 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
69,PT05M57.00S,2022-02-27T02:23:46.2Z,1,REGULAR,foul,personal,[],1627745,,,1610612743,19,15,2022-02-27T02:24:09Z,670000,,,0,,D. Jones personal FOUL (1 PF),"[1627745, 203999]",1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,1146.0,,1.0,0.0,Jokic,203999.0,,,,,
71,PT05M57.00S,2022-02-27T02:23:58.4Z,1,REGULAR,substitution,out,[],203090,,,1610612743,19,15,2022-02-27T02:24:03Z,690000,,,0,,SUB out: M. Harkless,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M57.00S,2022-02-27T02:23:58.4Z,1,REGULAR,substitution,in,[],1626168,,,1610612743,19,15,2022-02-27T02:24:03Z,700000,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M49.00S,2022-02-27T02:24:14.0Z,1,REGULAR,3pt,Jump Shot,[],203999,75.24638633377135,84.55882352941177,1610612743,19,15,2022-02-27T02:24:18Z,710000,173.0,180.0,1,right,MISS N. Jokic 24' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,24.97,Missed,,,,,,,,,,,,,,,,,,,
74,PT05M46.00S,2022-02-27T02:24:17.0Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,19,15,2022-02-27T02:24:18Z,720000,,,0,,D. Fox REBOUND (Off:0 Def:2),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,73.0,2.0,2.0,0.0,,,,,,,,,,,
75,PT05M33.00S,2022-02-27T02:24:30.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627745,7.178055190538765,43.38235294117647,1610612758,19,17,2022-02-27T02:41:16Z,730000,33.0,15.0,1,left,D. Jones Layup (2 PTS),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,3.63,Made,2.0,,,,,,,,,,,,,,,,,,
76,PT05M23.00S,2022-02-27T02:24:39.7Z,1,REGULAR,2pt,Jump Shot,[],203932,84.70762155059133,18.38235294117647,1610612743,21,17,2022-02-27T02:24:47Z,740000,-158.0,91.0,1,right,A. Gordon 18' fadeaway Jump Shot (9 PTS),[203932],1610612743.0,DEN,fadeaway,,,Gordon,A. Gordon,,,,,18.25,Made,9.0,,,,,,,,,,,,,,,,,,
77,PT05M13.00S,2022-02-27T02:24:50.7Z,1,REGULAR,2pt,Jump Shot,[],1627745,19.004599211563733,74.75490196078431,1610612758,21,17,2022-02-27T02:24:55Z,750000,-124.0,126.0,1,left,MISS D. Jones 17' Jump Shot,[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,17.67,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M09.00S,2022-02-27T02:24:54.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,21,17,2022-02-27T02:24:55Z,760000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,,
79,PT04M58.00S,2022-02-27T02:25:04.4Z,1,REGULAR,3pt,Jump Shot,[],203932,72.22404730617609,19.11764705882353,1610612743,24,17,2022-02-27T02:25:09Z,770000,-154.0,209.0,1,right,A. Gordon 25' 3PT  (12 PTS) (J. Green 2 AST),"[203932, 201145]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,25.95,Made,12.0,J. Green,201145.0,2.0,,,,,,,,,,,,,,,
81,PT04M47.00S,2022-02-27T02:25:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,7.835085413929041,61.51960784313726,1610612758,24,17,2022-02-27T02:25:24Z,790000,-58.0,21.0,1,left,MISS D. Fox 6' driving Layup - blocked,"[1628368, 203115]",1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,6.13,Missed,,,,,,,,,,,,,,,,,Barton,203115.0,
82,PT04M47.00S,2022-02-27T02:25:16.8Z,1,REGULAR,block,,[],203115,,,1610612758,24,17,2022-02-27T02:25:18Z,800000,,,0,,W. Barton BLOCK (1 BLK),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M47.00S,2022-02-27T02:25:16.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,24,17,2022-02-27T02:25:24Z,810000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,
84,PT04M47.00S,2022-02-27T02:25:22.7Z,1,REGULAR,substitution,out,[],201145,,,1610612758,24,17,2022-02-27T02:25:25Z,820000,,,0,,SUB out: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M47.00S,2022-02-27T02:25:22.7Z,1,REGULAR,substitution,in,[],203210,,,1610612758,24,17,2022-02-27T02:25:25Z,830000,,,0,,SUB in: J. Green,[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M41.00S,2022-02-27T02:25:46.6Z,1,REGULAR,turnover,bad pass,[],1627745,,,1610612758,24,17,2022-02-27T02:25:51Z,840000,,,0,,D. Jones bad pass TURNOVER (1 TO),"[1627745, 203115]",1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,1.0,,,,,Barton,203115.0,,,
87,PT04M41.00S,2022-02-27T02:25:46.6Z,1,REGULAR,steal,,[],203115,,,1610612743,24,17,2022-02-27T02:25:48Z,850000,,,0,,W. Barton STEAL (1 STL),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M34.00S,2022-02-27T02:25:53.1Z,1,REGULAR,turnover,bad pass,[],203115,,,1610612743,24,17,2022-02-27T02:25:58Z,860000,,,0,,W. Barton bad pass TURNOVER (1 TO),"[203115, 203200]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,1.0,,,,,Holiday,203200.0,,,
89,PT04M34.00S,2022-02-27T02:25:53.1Z,1,REGULAR,steal,,[],203200,,,1610612758,24,17,2022-02-27T02:25:54Z,870000,,,0,,J. Holiday STEAL (1 STL),[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M31.00S,2022-02-27T02:25:56.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628368,5.601182654402102,51.225490196078425,1610612758,24,19,2022-02-27T02:26:03Z,880000,-6.0,0.0,1,left,D. Fox running DUNK (9 PTS),[1628368],1610612758.0,SAC,running,,,Fox,D. Fox,,,,,0.61,Made,9.0,,,,,,,,,,,,,,,,,,
91,PT04M25.00S,2022-02-27T02:26:02.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628420,70.90998685939553,23.284313725490197,1610612743,24,19,2022-02-27T02:26:08Z,890000,-134.0,221.0,1,right,MISS M. Morris 25' pullup 3PT,[1628420],1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,25.82,Missed,,,,,,,,,,,,,,,,,,,
92,PT04M22.00S,2022-02-27T02:26:05.1Z,1,REGULAR,rebound,defensive,[],203200,,,1610612758,24,19,2022-02-27T02:26:05Z,900000,,,0,,J. Holiday REBOUND (Off:0 Def:2),[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,91.0,2.0,2.0,0.0,,,,,,,,,,,
93,PT04M11.00S,2022-02-27T02:26:16.5Z,1,REGULAR,3pt,Jump Shot,[],1626168,6.783837056504599,95.58823529411765,1610612758,24,22,2022-02-27T02:26:20Z,910000,-228.0,11.0,1,left,T. Lyles 3PT  (3 PTS) (D. Jones 1 AST),"[1626168, 1627745]",1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,22.82,Made,3.0,D. Jones,1627745.0,1.0,,,,,,,,,,,,,,,
95,PT04M08.00S,2022-02-27T02:26:22.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,24,22,2022-02-27T02:26:22Z,930000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M08.00S,2022-02-27T02:28:48.0Z,1,REGULAR,substitution,out,[],203115,,,1610612743,24,22,2022-02-27T02:29:24Z,940000,,,0,,SUB out: W. Barton,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M08.00S,2022-02-27T02:28:48.0Z,1,REGULAR,substitution,out,[],203200,,,1610612743,24,22,2022-02-27T02:29:24Z,950000,,,0,,SUB out: J. Holiday,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
