actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
36,PT08M24.00S,2022-03-25T01:15:54.2Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,11,7,2022-03-25T01:15:59Z,360000,,,0,,N. Jokic bad pass out-of-bounds TURNOVER (2 TO),[203999],1610612743.0,DEN,bad pass,,,Jokic,N. Jokic,,,,,,,,,,,,,,,2.0,,,2002.0,,,,,,,
37,PT08M16.00S,2022-03-25T01:16:11.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,68.67608409986859,73.77450980392157,1610612756,11,10,2022-03-25T01:16:16Z,370000,119.0,242.0,1,right,D. Booker 26' 3PT  (8 PTS) (C. Paul 2 AST),"[1626164, 101108]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,26.95,Made,8.0,,,,,C. Paul,101108.0,2.0,,,,,,,,,,,
39,PT07M54.00S,2022-03-25T01:16:33.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,9.937582128777924,51.9607843137255,1610612743,11,10,2022-03-25T01:18:25Z,390000,-10.0,41.0,1,left,MISS A. Gordon reverse Layup - blocked,"[203932, 101108]",1610612743.0,DEN,reverse,,,Gordon,A. Gordon,,,,,4.21,Missed,,,,,,,,,,,,,,,,,Paul,101108.0,
40,PT07M54.00S,2022-03-25T01:16:33.3Z,1,REGULAR,block,,[],101108,,,1610612743,11,10,2022-03-25T01:16:35Z,400000,,,0,,C. Paul BLOCK (1 BLK),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT07M51.00S,2022-03-25T01:16:36.3Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,11,10,2022-03-25T01:16:39Z,410000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
42,PT07M49.00S,2022-03-25T01:16:37.9Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1626164,74.82547634691196,73.7515318627451,1610612756,11,10,2022-03-25T01:21:53Z,420000,119.0,184.0,1,right,MISS D. Booker 21' step back Shot,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,21.91,Missed,,,,,,,,,,,,,,,,,,,
43,PT07M46.00S,2022-03-25T01:16:40.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,11,10,2022-03-25T01:16:44Z,430000,,,0,,N. Jokic REBOUND (Off:1 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,42.0,2.0,1.0,1.0,,,,,,,,,,,,,,
44,PT07M42.00S,2022-03-25T01:16:44.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203115,7.440867279894875,45.09803921568628,1610612743,11,10,2022-03-25T01:16:49Z,440000,25.0,17.0,1,left,MISS W. Barton running finger roll Layup,[203115],1610612743.0,DEN,running finger roll,,,Barton,W. Barton,,,,,3.01,Missed,,,,,,,,,,,,,,,,,,,
45,PT07M41.00S,2022-03-25T01:16:45.9Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,11,10,2022-03-25T01:16:49Z,450000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,
46,PT07M32.00S,2022-03-25T01:16:55.3Z,1,REGULAR,2pt,Jump Shot,[],1629028,91.40932982917214,81.37254901960785,1610612756,11,10,2022-03-25T01:16:59Z,460000,157.0,28.0,1,right,MISS D. Ayton 15' Jump Shot,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,15.94,Missed,,,,,,,,,,,,,,,,,,,
47,PT07M29.00S,2022-03-25T01:16:58.3Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,11,10,2022-03-25T01:16:59Z,470000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,
48,PT07M22.00S,2022-03-25T01:17:04.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203115,8.492115637319317,40.931372549019606,1610612743,13,10,2022-03-25T01:17:12Z,480000,45.0,27.0,1,left,W. Barton running Layup (4 PTS),[203115],1610612743.0,DEN,running,,,Barton,W. Barton,,,,,5.29,Made,4.0,,,,,,,,,,,,,,,,,,
