actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
26,PT09M30.00S,2022-04-02T01:13:30.3Z,1,REGULAR,2pt,Jump Shot,[],203932,82.60512483574244,75.98039215686273,1610612743,9,7,2022-04-02T01:13:36Z,260000,130.0,111.0,1,right,A. Gordon 17' turnaround fadeaway Jump Shot (5 PTS) (M. Morris 1 AST),"[203932, 1628420]",1610612743.0,DEN,turnaround fadeaway,,,Gordon,A. Gordon,,,,,17.09,Made,5.0,,,,M. Morris,1628420.0,1.0,,,,,,,,,,,,
28,PT09M18.00S,2022-04-02T01:13:42.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,8.623521681997373,42.40196078431372,1610612750,9,9,2022-04-02T01:13:51Z,280000,38.0,29.0,1,left,K. Towns driving finger roll Layup (4 PTS) (D. Russell 2 AST),"[1626157, 1626156]",1610612750.0,MIN,driving finger roll,,,Towns,K. Towns,,,,,4.76,Made,4.0,,,,D. Russell,1626156.0,2.0,,,,,,,,,,,,
30,PT09M07.00S,2022-04-02T01:13:53.1Z,1,REGULAR,2pt,Jump Shot,[],1628420,82.86793692509855,74.01960784313727,1610612743,9,9,2022-04-02T01:13:59Z,300000,120.0,109.0,1,right,MISS M. Morris 16' pullup Shot,[1628420],1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,16.19,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M05.00S,2022-04-02T01:13:55.1Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,9,9,2022-04-02T01:13:59Z,310000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,
32,PT09M00.00S,2022-04-02T01:14:01.3Z,1,REGULAR,3pt,Jump Shot,[],1626156,29.77989487516426,67.64705882352942,1610612750,9,12,2022-04-02T01:14:12Z,320000,-88.0,227.0,1,left,D. Russell 24' 3PT step back (8 PTS),[1626156],1610612750.0,MIN,step back,,,Russell,D. Russell,,,,,24.39,Made,8.0,,,,,,,,,,,,,,,,,,
33,PT08M39.00S,2022-04-02T01:14:23.7Z,1,REGULAR,foul,personal,['2freethrow'],1629020,,,1610612743,9,12,2022-04-02T01:14:35Z,330000,,,0,,J. Vanderbilt shooting personal FOUL (1 PF) (Jokic 2 FT),"[1629020, 203999]",1610612750.0,MIN,shooting,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Jokic,203999.0,,,
35,PT08M39.00S,2022-04-02T01:14:45.1Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,9,12,2022-04-02T01:14:45Z,350000,,,0,,MISS N. Jokic Free Throw 1 of 2,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Missed,,,,,,,,,,,,,,,,,,,
36,PT08M39.00S,2022-04-02T01:14:45.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,9,12,2022-04-02T01:14:45Z,360000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,
37,PT08M39.00S,2022-04-02T01:14:59.8Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,10,12,2022-04-02T01:14:59Z,370000,,,0,,N. Jokic Free Throw 2 of 2 (3 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
38,PT08M30.00S,2022-04-02T01:15:10.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,7.5722733245729295,56.86274509803921,1610612750,10,14,2022-04-02T01:15:16Z,380000,-34.0,19.0,1,left,D. Russell cutting finger roll Layup (10 PTS) (P. Beverley 1 AST),"[1626156, 201976]",1610612750.0,MIN,cutting finger roll,,,Russell,D. Russell,,,,,3.91,Made,10.0,,,,P. Beverley,201976.0,1.0,,,,,,,,,,,,
40,PT08M08.00S,2022-04-02T01:15:35.7Z,1,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,10,14,2022-04-02T01:15:49Z,400000,,,0,,A. Gordon step out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,step,,,Gordon,A. Gordon,,,,,,,,1.0,,,,,,,,,,1627962.0,,,,,,,
41,PT07M51.00S,2022-04-02T01:16:02.1Z,1,REGULAR,foul,personal,['2freethrow'],203999,,,1610612750,10,14,2022-04-02T01:16:09Z,410000,,,0,,N. Jokic shooting personal FOUL (1 PF) (Towns 2 FT),"[203999, 1626157]",1610612743.0,DEN,shooting,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Towns,1626157.0,,,
43,PT07M51.00S,2022-04-02T01:16:34.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1626157,,,1610612750,10,15,2022-04-02T01:16:34Z,430000,,,0,,K. Towns Free Throw 1 of 2 (5 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
44,PT07M51.00S,2022-04-02T01:16:58.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1626157,,,1610612750,10,16,2022-04-02T01:16:58Z,440000,,,0,,K. Towns Free Throw 2 of 2 (6 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
45,PT07M38.00S,2022-04-02T01:17:11.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201145,92.72339027595268,50.245098039215684,1610612743,12,16,2022-04-02T01:17:40Z,450000,1.0,16.0,1,right,J. Green cutting DUNK (2 PTS) (N. Jokic 1 AST),"[201145, 203999]",1610612743.0,DEN,cutting,,,Green,J. Green,,,,,1.59,Made,2.0,,,,N. Jokic,203999.0,1.0,,,,,,,,,,,,
47,PT07M28.00S,2022-04-02T01:17:22.3Z,1,REGULAR,turnover,lost ball,[],1626157,,,1610612750,12,16,2022-04-02T01:17:27Z,470000,,,0,,K. Towns lost ball TURNOVER (2 TO),"[1626157, 201145]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,2.0,Green,201145.0,,,,,,,,,,,,,,,
48,PT07M28.00S,2022-04-02T01:17:22.3Z,1,REGULAR,steal,,[],201145,,,1610612743,12,16,2022-04-02T01:17:24Z,480000,,,0,,J. Green STEAL (2 STL),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M23.00S,2022-04-02T01:17:27.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628420,87.20433639947439,50.0,1610612743,12,16,2022-04-02T01:17:37Z,490000,0.0,68.0,1,right,MISS M. Morris 6' floating Shot,[1628420],1610612743.0,DEN,floating,,,Morris,M. Morris,,,,,6.78,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M22.00S,2022-04-02T01:17:28.4Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,12,16,2022-04-02T01:17:37Z,500000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,
51,PT07M18.00S,2022-04-02T01:17:32.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1626157,6.915243101182654,52.450980392156865,1610612750,12,18,2022-04-02T01:17:51Z,510000,-12.0,13.0,1,left,K. Towns running alley-oop DUNK (8 PTS) (A. Edwards 1 AST),"[1626157, 1630162]",1610612750.0,MIN,running alley-oop,,,Towns,K. Towns,,,,,1.75,Made,8.0,,,,A. Edwards,1630162.0,1.0,,,,,,,,,,,,
53,PT07M18.00S,2022-04-02T01:17:39.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,12,18,2022-04-02T01:17:39Z,530000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M56.00S,2022-04-02T01:20:46.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,84.83902759526939,47.794117647058826,1610612743,14,18,2022-04-02T01:20:55Z,540000,-11.0,90.0,1,right,N. Jokic 9' turnaround Jump Shot (5 PTS) (M. Morris 2 AST),"[203999, 1628420]",1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,9.07,Made,5.0,,,,M. Morris,1628420.0,2.0,,,,,,,,,,,,
56,PT06M33.00S,2022-04-02T01:21:08.4Z,1,REGULAR,3pt,Jump Shot,[],201976,25.443495400788436,86.27450980392157,1610612750,14,18,2022-04-02T01:21:14Z,560000,-181.0,187.0,1,left,MISS P. Beverley 26' step back 3PT,[201976],1610612750.0,MIN,step back,,,Beverley,P. Beverley,,,,,26.03,Missed,,,,,,,,,,,,,,,,,,,
57,PT06M31.00S,2022-04-02T01:21:10.4Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,14,18,2022-04-02T01:21:14Z,570000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,
58,PT06M23.00S,2022-04-02T01:21:22.1Z,1,REGULAR,foul,personal,['2freethrow'],1629020,,,1610612743,14,18,2022-04-02T01:21:41Z,580000,,,0,,J. Vanderbilt shooting personal FOUL (2 PF) (Green 2 FT),"[1629020, 201145]",1610612750.0,MIN,shooting,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,1148.0,2.0,0.0,Green,201145.0,,,
60,PT06M23.00S,2022-04-02T01:21:58.5Z,1,REGULAR,freethrow,1 of 2,[],201145,,,1610612743,15,18,2022-04-02T01:22:24Z,600000,,,0,,J. Green Free Throw 1 of 2 (3 PTS),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
61,PT06M23.00S,2022-04-02T01:21:58.5Z,1,REGULAR,freethrow,2 of 2,[],201145,,,1610612743,15,18,2022-04-02T01:22:24Z,610000,,,0,,MISS J. Green Free Throw 2 of 2,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M20.00S,2022-04-02T01:22:01.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,15,18,2022-04-02T01:22:24Z,620000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,
63,PT06M06.00S,2022-04-02T01:22:35.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,6.783837056504599,60.049019607843135,1610612750,15,20,2022-04-02T01:25:51Z,630000,-50.0,11.0,1,left,K. Towns driving bank Hook (10 PTS),[1626157],1610612750.0,MIN,driving bank,,,Towns,K. Towns,,,,,5.15,Made,10.0,,,,,,,,,,,,,,,,,,
64,PT05M48.00S,2022-04-02T01:22:52.4Z,1,REGULAR,3pt,Jump Shot,[],203932,90.3580814717477,3.431372549019608,1610612743,15,20,2022-04-02T01:23:00Z,640000,-233.0,38.0,1,right,MISS A. Gordon 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,23.59,Missed,,,,,,,,,,,,,,,,,,,
65,PT05M46.00S,2022-04-02T01:22:54.4Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,15,20,2022-04-02T01:23:00Z,650000,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,
66,PT05M34.00S,2022-04-02T01:23:07.2Z,1,REGULAR,3pt,Jump Shot,[],1626157,9.411957950065702,4.166666666666666,1610612750,15,23,2022-04-02T01:23:13Z,660000,229.0,36.0,1,left,K. Towns 3PT  (13 PTS) (A. Edwards 2 AST),"[1626157, 1630162]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,23.2,Made,13.0,,,,A. Edwards,1630162.0,2.0,,,,,,,,,,,,
68,PT05M19.00S,2022-04-02T01:23:21.5Z,1,REGULAR,2pt,Jump Shot,[],1628420,92.19776609724047,22.794117647058822,1610612743,17,23,2022-04-02T01:23:29Z,680000,-136.0,21.0,1,right,M. Morris 13' Jump Shot (4 PTS) (N. Jokic 2 AST),"[1628420, 203999]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,13.76,Made,4.0,,,,N. Jokic,203999.0,2.0,,,,,,,,,,,,
70,PT05M00.00S,2022-04-02T01:23:41.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,7.966491458607096,59.068627450980394,1610612750,17,25,2022-04-02T01:24:18Z,700000,-45.0,22.0,1,left,A. Edwards driving Layup (2 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,5.05,Made,2.0,,,,,,,,,,,,,,,,,,
71,PT04M43.00S,2022-04-02T01:24:00.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,86.94152431011827,52.450980392156865,1610612743,19,25,2022-04-02T01:24:55Z,710000,12.0,70.0,1,right,N. Jokic 7' Hook (7 PTS) (M. Morris 3 AST),"[203999, 1628420]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,7.13,Made,7.0,,,,M. Morris,1628420.0,3.0,,,,,,,,,,,,
73,PT04M43.00S,2022-04-02T01:24:01.9Z,1,REGULAR,foul,personal,['1freethrow'],1626157,,,1610612743,19,25,2022-04-02T01:24:22Z,730000,,,0,,K. Towns shooting personal FOUL (1 PF) (Jokic 1 FT),"[1626157, 203999]",1610612750.0,MIN,shooting,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Jokic,203999.0,,,
75,PT04M43.00S,2022-04-02T01:24:13.2Z,1,REGULAR,substitution,out,[],201145,,,1610612743,19,25,2022-04-02T01:24:20Z,750000,,,0,,SUB out: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M43.00S,2022-04-02T01:24:13.2Z,1,REGULAR,substitution,out,[],201976,,,1610612743,19,25,2022-04-02T01:24:20Z,760000,,,0,,SUB out: P. Beverley,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M43.00S,2022-04-02T01:24:13.2Z,1,REGULAR,substitution,in,[],203210,,,1610612743,19,25,2022-04-02T01:24:20Z,770000,,,0,,SUB in: J. Green,[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M43.00S,2022-04-02T01:24:13.2Z,1,REGULAR,substitution,in,[],1627736,,,1610612743,19,25,2022-04-02T01:24:20Z,780000,,,0,,SUB in: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M43.00S,2022-04-02T01:24:38.6Z,1,REGULAR,freethrow,1 of 1,[],203999,,,1610612743,20,25,2022-04-02T01:24:38Z,790000,,,0,,N. Jokic Free Throw 1 of 1 (8 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
80,PT04M37.00S,2022-04-02T01:24:51.6Z,1,REGULAR,foul,personal,['2freethrow'],203115,,,1610612750,20,25,2022-04-02T01:25:02Z,800000,,,0,,W. Barton shooting personal FOUL (1 PF) (Russell 2 FT),"[203115, 1626156]",1610612743.0,DEN,shooting,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Russell,1626156.0,,,
82,PT04M37.00S,2022-04-02T01:25:14.0Z,1,REGULAR,freethrow,1 of 2,[],1626156,,,1610612750,20,26,2022-04-02T01:25:14Z,820000,,,0,,D. Russell Free Throw 1 of 2 (11 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,Made,11.0,,,,,,,,,,,,,,,,,,
83,PT04M37.00S,2022-04-02T01:25:14.6Z,1,REGULAR,substitution,out,[],1628420,,,1610612750,20,26,2022-04-02T01:25:22Z,830000,,,0,,SUB out: M. Morris,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M37.00S,2022-04-02T01:25:14.6Z,1,REGULAR,substitution,out,[],1629020,,,1610612750,20,26,2022-04-02T01:25:22Z,840000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M37.00S,2022-04-02T01:25:14.6Z,1,REGULAR,substitution,in,[],1630538,,,1610612750,20,26,2022-04-02T01:25:22Z,850000,,,0,,SUB in: B. Hyland,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M37.00S,2022-04-02T01:25:14.6Z,1,REGULAR,substitution,in,[],1627752,,,1610612750,20,26,2022-04-02T01:25:22Z,860000,,,0,,SUB in: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M37.00S,2022-04-02T01:25:35.9Z,1,REGULAR,freethrow,2 of 2,[],1626156,,,1610612750,20,27,2022-04-02T01:25:35Z,870000,,,0,,D. Russell Free Throw 2 of 2 (12 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,Made,12.0,,,,,,,,,,,,,,,,,,
88,PT04M22.00S,2022-04-02T01:25:52.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,92.46057818659659,50.0,1610612743,22,27,2022-04-02T01:26:03Z,880000,0.0,18.0,1,right,A. Gordon driving DUNK (7 PTS) (W. Barton 2 AST),"[203932, 203115]",1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,1.84,Made,7.0,,,,W. Barton,203115.0,2.0,,,,,,,,,,,,
90,PT04M22.00S,2022-04-02T01:26:01.7Z,1,REGULAR,stoppage,other,[],0,,,1610612750,22,27,2022-04-02T01:26:01Z,900000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M04.00S,2022-04-02T01:26:22.7Z,1,REGULAR,foul,personal,['2freethrow'],203210,,,1610612750,22,27,2022-04-02T01:26:32Z,910000,,,0,,J. Green shooting personal FOUL (1 PF) (Edwards 2 FT),"[203210, 1630162]",1610612743.0,DEN,shooting,,,Green,J. Green,,,,,,,,,,,,,,,,,,1628159.0,1.0,0.0,Edwards,1630162.0,,,
93,PT04M04.00S,2022-04-02T01:26:46.6Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,22,28,2022-04-02T01:26:46Z,930000,,,0,,A. Edwards Free Throw 1 of 2 (3 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
94,PT04M04.00S,2022-04-02T01:26:48.1Z,1,REGULAR,substitution,out,[],203115,,,1610612750,22,28,2022-04-02T01:26:50Z,940000,,,0,,SUB out: W. Barton,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M04.00S,2022-04-02T01:26:48.1Z,1,REGULAR,substitution,in,[],203085,,,1610612750,22,28,2022-04-02T01:26:50Z,950000,,,0,,SUB in: A. Rivers,[203085],1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M04.00S,2022-04-02T01:27:05.9Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,22,29,2022-04-02T01:27:05Z,960000,,,0,,A. Edwards Free Throw 2 of 2 (4 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
