actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,jumpBallRecoverdPersonId
33,PT09M32.00S,2021-11-06T21:14:14.1Z,1,REGULAR,foul,personal,[],203999,,,1610612745,6,0,2021-11-06T21:14:20Z,320000,,,0,,N. Jokic take personal FOUL (1 PF),"[203999, 1626174]",1610612743.0,DEN,take,,,,,,,,Jokic,N. Jokic,,,,,,,,,,,,,,201639.0,1.0,0.0,Wood,1626174.0,,
35,PT09M10.00S,2021-11-06T21:14:57.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629645,12.959921156373195,51.71568627450981,1610612745,6,0,2021-11-06T21:18:20Z,340000,-9.0,69.0,1,left,MISS K. Porter Jr. 6' turnaround Shot,[1629645],1610612745.0,HOU,turnaround,,,,,,6.98,Missed,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,
36,PT09M06.00S,2021-11-06T21:15:01.7Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,6,0,2021-11-06T21:15:10Z,350000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,,,,,,Porter Jr.,M. Porter Jr.,35.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,
37,PT09M01.00S,2021-11-06T21:15:05.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629008,90.62089356110381,55.63725490196079,1610612743,6,0,2021-11-06T21:15:20Z,360000,28.0,36.0,1,right,MISS M. Porter Jr. running Layup,[1629008],1610612743.0,DEN,running,,,,,,4.55,Missed,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,
38,PT09M00.00S,2021-11-06T21:15:06.7Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612745,6,0,2021-11-06T21:15:20Z,370000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612745.0,HOU,,,,,,,,,Theis,D. Theis,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,
39,PT08M53.00S,2021-11-06T21:15:13.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1626174,6.389618922470433,52.94117647058824,1610612745,6,2,2021-11-06T21:20:58Z,380000,-15.0,8.0,1,left,C. Wood alley-oop DUNK (2 PTS) (J. Tate 1 AST),"[1626174, 1630256]",1610612745.0,HOU,alley-oop,,,,,,1.65,Made,Wood,C. Wood,,,,,,,,2.0,J. Tate,1630256.0,1.0,,,,,,,,,
41,PT08M30.00S,2021-11-06T21:15:37.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,87.59855453350855,45.83333333333333,1610612743,8,2,2021-11-06T21:15:46Z,400000,-21.0,64.0,1,right,N. Jokic 6' turnaround Jump Shot (2 PTS),[203999],1610612743.0,DEN,turnaround,,,,,,6.74,Made,Jokic,N. Jokic,,,,,,,,2.0,,,,,,,,,,,,
42,PT08M04.00S,2021-11-06T21:16:04.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612745,8,2,2021-11-06T21:16:11Z,410000,,,0,,HOU shot clock Team TURNOVER,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,201639.0,,,,,,
43,PT07M51.00S,2021-11-06T21:16:28.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629008,67.62483574244416,55.14705882352941,1610612743,8,2,2021-11-06T21:16:33Z,420000,26.0,252.0,1,right,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,,,,,,25.31,Missed,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,
44,PT07M48.00S,2021-11-06T21:16:31.7Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,8,2,2021-11-06T21:16:33Z,430000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,,,,,,Wood,C. Wood,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,
45,PT07M33.00S,2021-11-06T21:16:46.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630224,6.521024967148489,49.754901960784316,1610612745,8,4,2021-11-06T21:16:51Z,440000,1.0,9.0,1,left,J. Green driving DUNK (2 PTS) (K. Porter Jr. 1 AST),"[1630224, 1629645]",1610612745.0,HOU,driving,,,,,,0.89,Made,Green,J. Green,,,,,,,,2.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,
47,PT07M16.00S,2021-11-06T21:17:03.1Z,1,REGULAR,2pt,Jump Shot,[],203115,76.82325886990802,51.470588235294116,1610612743,10,4,2021-11-06T21:17:07Z,460000,7.0,165.0,1,right,W. Barton 16' turnaround Jump Shot (5 PTS),[203115],1610612743.0,DEN,turnaround,,,,,,16.56,Made,Barton,W. Barton,,,,,,,,5.0,,,,,,,,,,,,
48,PT07M02.00S,2021-11-06T21:17:18.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,6.521024967148489,53.92156862745098,1610612745,10,6,2021-11-06T21:23:27Z,470000,-20.0,9.0,1,left,J. Tate Layup (2 PTS) (K. Porter Jr. 2 AST),"[1630256, 1629645]",1610612745.0,HOU,,,,,,,2.15,Made,Tate,J. Tate,,,,,,,,2.0,K. Porter Jr.,1629645.0,2.0,,,,,,,,,
50,PT06M48.00S,2021-11-06T21:17:31.4Z,1,REGULAR,2pt,Jump Shot,[],203115,72.88107752956637,57.35294117647059,1610612743,12,6,2021-11-06T21:17:36Z,490000,37.0,202.0,1,right,W. Barton 20' step back Jump Shot (7 PTS),[203115],1610612743.0,DEN,step back,,,,,,20.57,Made,Barton,W. Barton,,,,,,,,7.0,,,,,,,,,,,,
51,PT06M38.00S,2021-11-06T21:17:41.8Z,1,REGULAR,3pt,Jump Shot,[],1629645,27.414586070959263,77.20588235294117,1610612745,12,6,2021-11-06T21:17:49Z,500000,-136.0,205.0,1,left,MISS K. Porter Jr. 24' pullup 3PT,[1629645],1610612745.0,HOU,pullup,,,,,,24.62,Missed,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,
52,PT06M35.00S,2021-11-06T21:17:44.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,12,6,2021-11-06T21:17:49Z,510000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,,,,,,Jokic,N. Jokic,51.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,
53,PT06M31.00S,2021-11-06T21:17:49.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,65.91655716162943,30.392156862745097,1610612743,12,6,2021-11-06T21:17:54Z,520000,-98.0,268.0,1,right,MISS M. Porter Jr. 28' 3PT,[1629008],1610612743.0,DEN,,,,,,,28.53,Missed,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,
54,PT06M28.00S,2021-11-06T21:17:52.1Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,12,6,2021-11-06T21:17:54Z,530000,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612745.0,HOU,,,,,,,,,Wood,C. Wood,53.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,
55,PT06M20.00S,2021-11-06T21:17:59.9Z,1,REGULAR,3pt,Jump Shot,[],1630256,21.23850197109067,90.19607843137256,1610612745,12,6,2021-11-06T21:18:05Z,540000,-201.0,147.0,1,left,MISS J. Tate 24' 3PT,[1630256],1610612745.0,HOU,,,,,,,24.91,Missed,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,
56,PT06M17.00S,2021-11-06T21:18:02.9Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,12,6,2021-11-06T21:18:05Z,550000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:3),[1629008],1610612743.0,DEN,,,,,,,,,Porter Jr.,M. Porter Jr.,55.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,
57,PT06M11.00S,2021-11-06T21:18:09.2Z,1,REGULAR,3pt,Jump Shot,[],203115,73.01248357424441,79.90196078431373,1610612743,12,6,2021-11-06T21:18:14Z,560000,150.0,201.0,1,right,MISS W. Barton 25' pullup 3PT,[203115],1610612743.0,DEN,pullup,,,,,,25.07,Missed,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,
58,PT06M08.00S,2021-11-06T21:18:12.2Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,12,6,2021-11-06T21:18:14Z,570000,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,,,,,,Green,J. Green,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,
59,PT06M01.00S,2021-11-06T21:18:18.9Z,1,REGULAR,2pt,Jump Shot,[],1630224,23.340998685939553,63.725490196078425,1610612745,12,6,2021-11-06T21:18:23Z,580000,-69.0,167.0,1,left,MISS J. Green 18' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,,,,18.04,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,,,
60,PT05M58.00S,2021-11-06T21:18:21.9Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,12,6,2021-11-06T21:18:23Z,590000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:4),[1629008],1610612743.0,DEN,,,,,,,,,Porter Jr.,M. Porter Jr.,59.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,
61,PT05M41.00S,2021-11-06T21:18:38.2Z,1,REGULAR,2pt,Jump Shot,[],1629008,77.87450722733246,30.392156862745097,1610612743,14,6,2021-11-06T21:18:50Z,600000,-98.0,155.0,1,right,M. Porter Jr. 18' turnaround Jump Shot (2 PTS),[1629008],1610612743.0,DEN,turnaround,,,,,,18.38,Made,Porter Jr.,M. Porter Jr.,,,,,,,,2.0,,,,,,,,,,,,
62,PT05M13.00S,2021-11-06T21:19:06.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628464,12.614980289093298,43.16023284313725,1610612745,14,8,2021-11-06T21:19:14Z,610000,34.0,66.0,1,left,D. Theis 7' Jump Shot (2 PTS) (J. Green 1 AST),"[1628464, 1630224]",1610612745.0,HOU,,,,,,,7.44,Made,Theis,D. Theis,,,,,,,,2.0,J. Green,1630224.0,1.0,,,,,,,,,
64,PT04M58.00S,2021-11-06T21:19:20.9Z,1,REGULAR,2pt,Jump Shot,[],1628420,77.7431011826544,28.186274509803923,1610612743,16,8,2021-11-06T21:19:24Z,630000,-109.0,157.0,1,right,M. Morris 19' pullup Jump Shot (2 PTS),[1628420],1610612743.0,DEN,pullup,,,,,,19.09,Made,Morris,M. Morris,,,,,,,,2.0,,,,,,,,,,,,
65,PT04M50.00S,2021-11-06T21:19:32.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,16,8,2021-11-06T21:19:32Z,640000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT04M50.00S,2021-11-06T21:21:57.8Z,1,REGULAR,substitution,out,[],1629008,,,1610612745,16,8,2021-11-06T21:22:23Z,650000,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,,,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,
67,PT04M50.00S,2021-11-06T21:21:57.8Z,1,REGULAR,substitution,out,[],1630224,,,1610612745,16,8,2021-11-06T21:22:23Z,660000,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,
68,PT04M50.00S,2021-11-06T21:21:57.8Z,1,REGULAR,substitution,out,[],1630256,,,1610612745,16,8,2021-11-06T21:22:23Z,670000,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,,,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,
69,PT04M50.00S,2021-11-06T21:21:57.8Z,1,REGULAR,substitution,in,[],1628408,,,1610612745,16,8,2021-11-06T21:22:23Z,680000,,,0,,SUB in: P. Dozier,[1628408],1610612743.0,DEN,,,,,,,,,Dozier,P. Dozier,,,,,,,,,,,,,,,,,,,,
70,PT04M50.00S,2021-11-06T21:21:57.8Z,1,REGULAR,substitution,in,[],1630231,,,1610612745,16,8,2021-11-06T21:22:23Z,690000,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,,,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,
71,PT04M50.00S,2021-11-06T21:21:57.8Z,1,REGULAR,substitution,in,[],201569,,,1610612745,16,8,2021-11-06T21:22:23Z,700000,,,0,,SUB in: E. Gordon,[201569],1610612745.0,HOU,,,,,,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,
72,PT04M33.00S,2021-11-06T21:22:50.5Z,1,REGULAR,3pt,Jump Shot,[],1626174,8.360709592641262,96.81372549019608,1610612745,16,11,2021-11-06T21:22:55Z,710000,-234.0,26.0,1,left,C. Wood 3PT step back (5 PTS),[1626174],1610612745.0,HOU,step back,,,,,,23.56,Made,Wood,C. Wood,,,,,,,,5.0,,,,,,,,,,,,
73,PT04M15.00S,2021-11-06T21:23:08.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203932,90.62089356110381,38.48039215686275,1610612743,16,11,2021-11-06T21:23:16Z,720000,-58.0,36.0,1,right,MISS A. Gordon 6' turnaround Hook - blocked,"[203932, 1626174]",1610612743.0,DEN,turnaround,,,,,,6.78,Missed,Gordon,A. Gordon,,,,,,,,,,,,Wood,1626174.0,,,,,,,
74,PT04M15.00S,2021-11-06T21:23:08.5Z,1,REGULAR,block,,[],1626174,,,1610612743,16,11,2021-11-06T21:23:10Z,730000,,,0,,C. Wood BLOCK (1 BLK),[1626174],1610612745.0,HOU,,,,,,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,
75,PT04M13.00S,2021-11-06T21:23:10.5Z,1,REGULAR,rebound,defensive,[],201569,,,1610612745,16,11,2021-11-06T21:23:16Z,740000,,,0,,E. Gordon REBOUND (Off:0 Def:1),[201569],1610612745.0,HOU,,,,,,,,,Gordon,E. Gordon,73.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,
76,PT04M06.00S,2021-11-06T21:23:17.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,7.703679369250986,45.83333333333333,1610612745,16,13,2021-11-06T21:29:17Z,750000,21.0,20.0,1,left,E. Gordon driving Layup (2 PTS),[201569],1610612745.0,HOU,driving,,,,,,2.88,Made,Gordon,E. Gordon,,,,,,,,2.0,,,,,,,,,,,,
77,PT03M56.00S,2021-11-06T21:23:27.8Z,1,REGULAR,3pt,Jump Shot,[],1628420,89.96386333771353,97.30392156862744,1610612743,16,13,2021-11-06T21:23:33Z,760000,237.0,42.0,1,right,MISS M. Morris 24' 3PT,[1628420],1610612743.0,DEN,,,,,,,24.02,Missed,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,
78,PT03M52.00S,2021-11-06T21:23:31.8Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,16,13,2021-11-06T21:23:44Z,770000,,,0,,C. Wood REBOUND (Off:0 Def:3),[1626174],1610612745.0,HOU,,,,,,,,,Wood,C. Wood,77.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,
91,PT03M51.00S,2021-11-06T21:23:32.0Z,1,REGULAR,turnover,bad pass,[],1626174,,,1610612745,16,13,2021-11-06T21:26:50Z,775000,,,0,,C. Wood bad pass TURNOVER (2 TO),"[1626174, 1628408]",1610612745.0,HOU,,,,,,,,,Wood,C. Wood,,,,,2.0,Dozier,1628408.0,,,,,,,,,,,,,
92,PT03M51.00S,2021-11-06T21:23:32.0Z,1,REGULAR,steal,,[],1628408,,,1610612743,16,13,2021-11-06T21:26:33Z,777500,,,0,,P. Dozier STEAL (1 STL),[1628408],1610612743.0,DEN,,,,,,,,,Dozier,P. Dozier,,,,,,,,,,,,,,,,,,,,
79,PT03M48.00S,2021-11-06T21:23:36.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203115,75.64060446780552,35.53921568627451,1610612743,18,13,2021-11-06T21:30:32Z,780000,-72.0,176.0,1,right,W. Barton 19' pullup Jump Shot (9 PTS) (A. Gordon 1 AST),"[203115, 203932]",1610612743.0,DEN,pullup,,,,,,19.07,Made,Barton,W. Barton,,,,,,,,9.0,A. Gordon,203932.0,1.0,,,,,,,,,
81,PT03M32.00S,2021-11-06T21:23:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,7.046649145860711,41.911764705882355,1610612745,18,13,2021-11-06T21:24:04Z,800000,40.0,14.0,1,left,MISS K. Porter Jr. driving reverse Layup,[1629645],1610612745.0,HOU,driving reverse,,,,,,4.27,Missed,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,
82,PT03M30.00S,2021-11-06T21:23:53.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,18,13,2021-11-06T21:24:04Z,810000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,,,,,,Jokic,N. Jokic,81.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,
83,PT03M27.00S,2021-11-06T21:23:57.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628420,91.14651773981603,48.529411764705884,1610612743,20,13,2021-11-06T21:24:12Z,820000,-7.0,31.0,1,right,M. Morris running Layup (4 PTS),[1628420],1610612743.0,DEN,running,,,,,,3.16,Made,Morris,M. Morris,,,,,,,,4.0,,,,,,,,,,,,
