actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT10M16.00S,2021-12-24T02:12:58.7Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,2,5,2021-12-24T02:13:02Z,170000,,,0,,L. Ball REBOUND (Off:0 Def:2),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,
18,PT10M07.00S,2021-12-24T02:13:08.6Z,1,REGULAR,3pt,Jump Shot,[],1628970,4.02431011826544,95.09803921568627,1610612766,2,8,2021-12-24T02:13:18Z,180000,-225.0,-15.0,1,left,M. Bridges 3PT  (3 PTS) (L. Ball 2 AST),"[1628970, 1630163]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,22.6,Made,,,,,3.0,L. Ball,1630163.0,2.0,,,,,
20,PT09M58.00S,2021-12-24T02:13:19.1Z,1,REGULAR,foul,personal,[],203486,,,1610612743,2,8,2021-12-24T02:13:22Z,200000,,,0,,M. Plumlee personal FOUL (2 PF),"[203486, 203999]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,202026.0,2.0,0.0,Jokic,203999.0,,,,,,,,,,,,,,,
23,PT09M52.00S,2021-12-24T02:13:44.7Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,2,8,2021-12-24T02:13:49Z,220000,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 203486]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,1.0,Plumlee,203486.0,,
24,PT09M52.00S,2021-12-24T02:13:44.7Z,1,REGULAR,steal,,[],203486,,,1610612766,2,8,2021-12-24T02:13:46Z,230000,,,0,,M. Plumlee STEAL (1 STL),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M45.00S,2021-12-24T02:13:51.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628970,32.013797634691194,49.26470588235294,1610612766,2,8,2021-12-24T02:15:58Z,240000,4.0,248.0,1,left,MISS M. Bridges 24' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,24.84,Missed,,,,,,,,,,,,,
26,PT09M42.00S,2021-12-24T02:13:54.0Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,2,8,2021-12-24T02:15:58Z,250000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,
27,PT09M32.00S,2021-12-24T02:14:04.3Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",202330,19.004599211563733,74.01960784313727,1610612766,2,8,2021-12-24T02:14:13Z,260000,-120.0,126.0,1,left,MISS G. Hayward 17' turnaround fadeaway Shot,[202330],1610612766.0,CHA,turnaround fadeaway,,,Hayward,G. Hayward,,,,,,,,,,17.41,Missed,,,,,,,,,,,,,
28,PT09M27.00S,2021-12-24T02:14:09.3Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,2,8,2021-12-24T02:14:13Z,270000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,
29,PT09M25.00S,2021-12-24T02:14:11.9Z,1,REGULAR,turnover,bad pass,[],203115,,,1610612743,2,8,2021-12-24T02:14:16Z,280000,,,0,,W. Barton bad pass TURNOVER (1 TO),"[203115, 1630163]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,1.0,Ball,1630163.0,,
30,PT09M25.00S,2021-12-24T02:14:11.9Z,1,REGULAR,steal,,[],1630163,,,1610612766,2,8,2021-12-24T02:14:14Z,290000,,,0,,L. Ball STEAL (1 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M19.00S,2021-12-24T02:14:17.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626179,8.492115637319317,55.14705882352941,1610612766,2,8,2021-12-24T02:14:27Z,300000,-26.0,27.0,1,left,MISS T. Rozier running Layup - blocked,"[1626179, 201145]",1610612766.0,CHA,running,,,Rozier,T. Rozier,,,,,,,,,,3.75,Missed,,,,,,,,,,,,Green,201145.0
32,PT09M19.00S,2021-12-24T02:14:17.1Z,1,REGULAR,block,,[],201145,,,1610612766,2,8,2021-12-24T02:14:19Z,310000,,,0,,J. Green BLOCK (1 BLK),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M16.00S,2021-12-24T02:14:20.1Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,2,8,2021-12-24T02:14:27Z,320000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,
34,PT09M13.00S,2021-12-24T02:14:22.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203115,73.40670170827858,18.137254901960784,1610612743,2,8,2021-12-24T02:14:32Z,330000,-159.0,197.0,1,right,MISS W. Barton 25' 3PT,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,25.37,Missed,,,,,,,,,,,,,
35,PT09M11.00S,2021-12-24T02:14:24.7Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,2,8,2021-12-24T02:14:32Z,340000,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,34.0,1.0,0.0,1.0,,,,,,,,,
36,PT09M10.00S,2021-12-24T02:14:25.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,93.77463863337714,49.26470588235294,1610612743,2,8,2021-12-24T02:14:42Z,350000,-4.0,6.0,1,right,MISS N. Jokic putback Layup,[203999],1610612743.0,DEN,putback,,,Jokic,N. Jokic,,,,,,,,,,0.7,Missed,,,,,,,,,,,,,
37,PT09M08.00S,2021-12-24T02:14:27.9Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,2,8,2021-12-24T02:14:27Z,360000,,,0,,N. Jokic REBOUND (Off:2 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,36.0,2.0,0.0,2.0,,,,,,,,,
38,PT09M07.00S,2021-12-24T02:14:28.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203999,92.32917214191852,49.26470588235294,1610612743,4,8,2021-12-24T02:14:45Z,370000,-4.0,20.0,1,right,N. Jokic turnaround Hook (4 PTS),[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,,,,,,1.99,Made,,,,,4.0,,,,,,,,
39,PT08M54.00S,2021-12-24T02:14:41.7Z,1,REGULAR,2pt,Jump Shot,[],1630163,20.97568988173456,39.21568627450981,1610612766,4,8,2021-12-24T02:14:50Z,380000,54.0,145.0,1,left,MISS L. Ball 15' floating Shot,[1630163],1610612766.0,CHA,floating,,,Ball,L. Ball,,,,,,,,,,15.44,Missed,,,,,,,,,,,,,
40,PT08M54.00S,2021-12-24T02:14:41.7Z,1,REGULAR,rebound,defensive,[],1628427,,,1610612743,4,8,2021-12-24T02:14:50Z,390000,,,0,,V. Cancar REBOUND (Off:0 Def:1),[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,
41,PT08M43.00S,2021-12-24T02:14:52.4Z,1,REGULAR,3pt,Jump Shot,[],203999,66.83639947437582,58.57843137254902,1610612743,4,8,2021-12-24T02:14:58Z,400000,43.0,259.0,1,right,MISS N. Jokic 26' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,26.27,Missed,,,,,,,,,,,,,
42,PT08M41.00S,2021-12-24T02:14:54.4Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,4,8,2021-12-24T02:14:58Z,410000,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,41.0,2.0,1.0,1.0,,,,,,,,,
43,PT08M36.00S,2021-12-24T02:15:00.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,28.597240473061763,76.7156862745098,1610612766,4,8,2021-12-24T02:15:06Z,420000,-134.0,216.0,1,left,MISS L. Ball 25' pullup 3PT,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,,,,,,25.42,Missed,,,,,,,,,,,,,
44,PT08M34.00S,2021-12-24T02:15:02.4Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,4,8,2021-12-24T02:15:06Z,430000,,,0,,W. Barton REBOUND (Off:0 Def:2),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,
45,PT08M29.00S,2021-12-24T02:15:11.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,4,8,2021-12-24T02:15:11Z,440000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M16.00S,2021-12-24T02:15:39.3Z,1,REGULAR,3pt,Jump Shot,[],1628420,66.70499342969777,56.86274509803921,1610612743,4,8,2021-12-24T02:15:57Z,450000,34.0,260.0,1,right,MISS M. Morris 26' pullup 3PT,[1628420],1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,,,,,,26.27,Missed,,,,,,,,,,,,,
47,PT08M14.00S,2021-12-24T02:15:41.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,4,8,2021-12-24T02:15:57Z,460000,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,
48,PT08M14.00S,2021-12-24T02:15:49.1Z,1,REGULAR,foul,personal,[],201145,,,1610612766,4,8,2021-12-24T02:16:02Z,470000,,,0,,J. Green loose ball personal FOUL (1 PF),"[201145, 1628970]",1610612743.0,DEN,loose ball,,,Green,J. Green,,,,,1628159.0,1.0,0.0,Bridges,1628970.0,,,,,,,,,,,,,,,
50,PT07M58.00S,2021-12-24T02:16:11.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203486,6.389618922470433,60.5392156862745,1610612766,4,8,2021-12-24T02:16:16Z,490000,-53.0,8.0,1,left,MISS M. Plumlee turnaround Hook,[203486],1610612766.0,CHA,turnaround,,,Plumlee,M. Plumlee,,,,,,,,,,5.32,Missed,,,,,,,,,,,,,
51,PT07M56.00S,2021-12-24T02:16:13.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,4,8,2021-12-24T02:16:16Z,500000,,,0,,N. Jokic REBOUND (Off:2 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,50.0,3.0,1.0,2.0,,,,,,,,,
52,PT07M51.00S,2021-12-24T02:16:17.6Z,1,REGULAR,turnover,lost ball,[],203999,,,1610612743,4,8,2021-12-24T02:16:23Z,510000,,,0,,N. Jokic lost ball TURNOVER (2 TO),"[203999, 1630163]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,2.0,Ball,1630163.0,,
53,PT07M51.00S,2021-12-24T02:16:17.6Z,1,REGULAR,steal,,[],1630163,,,1610612766,4,8,2021-12-24T02:16:20Z,520000,,,0,,L. Ball STEAL (2 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M46.00S,2021-12-24T02:16:22.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628970,7.5722733245729295,46.81372549019608,1610612766,4,10,2021-12-24T02:34:42Z,530000,16.0,19.0,1,left,M. Bridges running DUNK (5 PTS),[1628970],1610612766.0,CHA,running,,,Bridges,M. Bridges,,,,,,,,,,2.45,Made,,,,,5.0,,,,,,,,
56,PT07M46.00S,2021-12-24T02:16:29.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,4,10,2021-12-24T02:16:29Z,550000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M24.00S,2021-12-24T02:19:38.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,91.27792378449409,57.59803921568627,1610612743,6,10,2021-12-24T02:19:44Z,560000,38.0,29.0,1,right,N. Jokic turnaround Hook (6 PTS),[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,,,,,,4.81,Made,,,,,6.0,,,,,,,,
58,PT07M05.00S,2021-12-24T02:19:56.6Z,1,REGULAR,3pt,Jump Shot,[],202330,6.915243101182654,96.56862745098039,1610612766,6,13,2021-12-24T02:20:01Z,570000,-233.0,13.0,1,left,G. Hayward 3PT  (3 PTS) (M. Plumlee 1 AST),"[202330, 203486]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,23.31,Made,,,,,3.0,M. Plumlee,203486.0,1.0,,,,,
60,PT06M55.00S,2021-12-24T02:20:09.0Z,1,REGULAR,foul,personal,['2freethrow'],1628970,,,1610612743,6,13,2021-12-24T02:20:20Z,590000,,,0,,M. Bridges shooting personal FOUL (1 PF) (Green 2 FT),"[1628970, 201145]",1610612766.0,CHA,shooting,,,Bridges,M. Bridges,,,,,1628159.0,1.0,0.0,Green,201145.0,,,,,,,,,,,,,,,
62,PT06M55.00S,2021-12-24T02:20:35.8Z,1,REGULAR,freethrow,1 of 2,[],201145,,,1610612743,7,13,2021-12-24T02:20:35Z,610000,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,Made,,,,,1.0,,,,,,,,
63,PT06M55.00S,2021-12-24T02:20:37.9Z,1,REGULAR,substitution,out,[],202330,,,1610612743,7,13,2021-12-24T02:20:52Z,620000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M55.00S,2021-12-24T02:20:37.9Z,1,REGULAR,substitution,in,[],1626162,,,1610612743,7,13,2021-12-24T02:20:52Z,630000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M55.00S,2021-12-24T02:20:35.8Z,1,REGULAR,freethrow,2 of 2,[],201145,,,1610612743,7,13,2021-12-24T02:21:00Z,640000,,,0,,MISS J. Green Free Throw 2 of 2,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,Missed,,,,,,,,,,,,,
66,PT06M52.00S,2021-12-24T02:20:38.8Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,7,13,2021-12-24T02:21:00Z,650000,,,0,,M. Plumlee REBOUND (Off:1 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,65.0,3.0,2.0,1.0,,,,,,,,,
67,PT06M46.00S,2021-12-24T02:21:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,8.492115637319317,42.15686274509804,1610612766,7,15,2021-12-24T02:21:11Z,660000,39.0,27.0,1,left,M. Bridges driving finger roll Layup (7 PTS) (L. Ball 3 AST),"[1628970, 1630163]",1610612766.0,CHA,driving finger roll,,,Bridges,M. Bridges,,,,,,,,,,4.78,Made,,,,,7.0,L. Ball,1630163.0,3.0,,,,,
69,PT06M34.00S,2021-12-24T02:21:17.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,88.91261498028909,60.78431372549019,1610612743,7,15,2021-12-24T02:21:23Z,680000,54.0,52.0,1,right,MISS N. Jokic 7' turnaround Hook,[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,,,,,,7.47,Missed,,,,,,,,,,,,,
70,PT06M30.00S,2021-12-24T02:21:21.7Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,7,15,2021-12-24T02:21:23Z,690000,,,0,,M. Plumlee REBOUND (Off:1 Def:3),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,69.0,4.0,3.0,1.0,,,,,,,,,
71,PT06M26.00S,2021-12-24T02:21:25.6Z,1,REGULAR,3pt,Jump Shot,[],1626162,30.17411300919842,71.07843137254902,1610612766,7,15,2021-12-24T02:25:49Z,700000,-105.0,231.0,1,left,MISS K. Oubre Jr. 25' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,25.4,Missed,,,,,,,,,,,,,
72,PT06M22.00S,2021-12-24T02:21:29.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,7,15,2021-12-24T02:21:34Z,710000,,,0,,N. Jokic REBOUND (Off:2 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,71.0,4.0,2.0,2.0,,,,,,,,,
73,PT06M16.00S,2021-12-24T02:21:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628427,92.06636005256242,45.09803921568628,1610612743,9,15,2021-12-24T02:21:43Z,720000,-25.0,22.0,1,right,V. Cancar cutting finger roll Layup (2 PTS) (N. Jokic 1 AST),"[1628427, 203999]",1610612743.0,DEN,cutting finger roll,,,Cancar,V. Cancar,,,,,,,,,,3.3,Made,,,,,2.0,N. Jokic,203999.0,1.0,,,,,
75,PT05M54.00S,2021-12-24T02:21:56.3Z,1,REGULAR,3pt,Jump Shot,[],1628970,5.601182654402102,96.07843137254902,1610612766,9,15,2021-12-24T02:22:01Z,740000,-230.0,0.0,1,left,MISS M. Bridges 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,23.04,Missed,,,,,,,,,,,,,
76,PT05M52.00S,2021-12-24T02:21:58.3Z,1,REGULAR,rebound,defensive,[],1628427,,,1610612743,9,15,2021-12-24T02:22:01Z,750000,,,0,,V. Cancar REBOUND (Off:0 Def:2),[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,,,,,,,,75.0,2.0,2.0,0.0,,,,,,,,,
77,PT05M47.00S,2021-12-24T02:22:06.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,9,15,2021-12-24T02:22:06Z,760000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M47.00S,2021-12-24T02:22:07.7Z,1,REGULAR,substitution,out,[],201145,,,1610612743,9,15,2021-12-24T02:22:25Z,770000,,,0,,SUB out: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M47.00S,2021-12-24T02:22:07.7Z,1,REGULAR,substitution,out,[],1628970,,,1610612743,9,15,2021-12-24T02:22:25Z,780000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M47.00S,2021-12-24T02:22:07.7Z,1,REGULAR,substitution,out,[],203486,,,1610612743,9,15,2021-12-24T02:22:25Z,790000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M47.00S,2021-12-24T02:22:07.7Z,1,REGULAR,substitution,in,[],1630192,,,1610612743,9,15,2021-12-24T02:22:25Z,800000,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M47.00S,2021-12-24T02:22:07.7Z,1,REGULAR,substitution,in,[],1629667,,,1610612743,9,15,2021-12-24T02:22:25Z,810000,,,0,,SUB in: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M47.00S,2021-12-24T02:22:07.7Z,1,REGULAR,substitution,in,[],1630208,,,1610612743,9,15,2021-12-24T02:22:25Z,820000,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M38.00S,2021-12-24T02:22:38.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,91.5407358738502,50.245098039215684,1610612743,9,15,2021-12-24T02:22:44Z,830000,1.0,27.0,1,right,MISS N. Jokic turnaround Shot,[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,,,,,,2.7,Missed,,,,,,,,,,,,,
85,PT05M36.00S,2021-12-24T02:22:40.8Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,9,15,2021-12-24T02:22:44Z,840000,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,,
86,PT05M29.00S,2021-12-24T02:22:50.4Z,1,REGULAR,foul,personal,[],1630192,,,1610612766,9,15,2021-12-24T02:22:54Z,850000,,,0,,Z. Nnaji personal FOUL (1 PF),"[1630192, 1630208]",1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,202049.0,1.0,0.0,Richards,1630208.0,,,,,,,,,,,,,,,
88,PT05M29.00S,2021-12-24T02:22:58.0Z,1,REGULAR,substitution,out,[],203115,,,1610612766,9,15,2021-12-24T02:23:03Z,870000,,,0,,SUB out: W. Barton,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M29.00S,2021-12-24T02:22:58.0Z,1,REGULAR,substitution,in,[],1630538,,,1610612766,9,15,2021-12-24T02:23:03Z,880000,,,0,,SUB in: B. Hyland,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M24.00S,2021-12-24T02:23:18.0Z,1,REGULAR,3pt,Jump Shot,[],1626162,32.670827858081466,37.254901960784316,1610612766,9,18,2021-12-24T02:23:24Z,890000,64.0,255.0,1,left,K. Oubre Jr. 26' 3PT  (3 PTS) (N. Richards 1 AST),"[1626162, 1630208]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,26.24,Made,,,,,3.0,N. Richards,1630208.0,1.0,,,,,
