actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
29,PT08M14.00S,2024-11-29T17:16:16.4Z,1,REGULAR,foul,personal,[],1630182,,,1610612752,7,5,2024-11-29T17:16:24Z,290000,False,,,0,,J. Green personal FOUL (1 PF),"[1630182, 1626157]",1610612766.0,CHA,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,1628954.0,,,,1.0,0.0,Towns,1626157.0,,,,,,,,
31,PT08M04.00S,2024-11-29T17:16:42.7Z,1,REGULAR,2pt,Jump Shot,[],1628969,10.068988173455978,71.81372549019608,1610612752,7,5,2024-11-29T17:16:49Z,310000,False,-109.0,42.0,1,left,MISS M. Bridges 11' turnaround fadeaway Shot,[1628969],1610612752.0,NYK,turnaround fadeaway,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,11.69,Missed,,,,,,,,,,,,,,,,,,
32,PT08M02.00S,2024-11-29T17:16:44.7Z,1,REGULAR,rebound,defensive,[],1642275,,,1610612766,7,5,2024-11-29T17:16:49Z,320000,False,,,0,,T. Salaün REBOUND (Off:0 Def:1),[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,Mid-Range,8-16 Left,,,,31.0,,,,,,,,,1.0,1.0,0.0,,,,,
33,PT07M58.00S,2024-11-29T17:16:52.3Z,1,REGULAR,turnover,out-of-bounds,[],1641706,,,1610612766,7,5,2024-11-29T17:17:03Z,330000,False,,,0,,B. Miller step out-of-bounds TURNOVER (1 TO),[1641706],1610612766.0,CHA,step,,,Miller,B. Miller,,,,,Right Corner 3,24+ Right,,,,,1627534.0,,,,,,,,,,,1.0,,,,
34,PT07M44.00S,2024-11-29T17:17:19.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628973,22.421156373193167,71.56862745098039,1610612752,7,5,2024-11-29T17:18:07Z,340000,False,-108.0,158.0,1,left,MISS J. Brunson 19' step back Shot,[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left Center,19.15,Missed,,,,,,,,,,,,,,,,,,
35,PT07M41.00S,2024-11-29T17:17:22.4Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,7,5,2024-11-29T17:18:07Z,350000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Mid-Range,16-24 Left Center,,,,34.0,,,,,,,,,1.0,1.0,0.0,,,,,
36,PT07M35.00S,2024-11-29T17:17:28.8Z,1,REGULAR,foul,personal,['2freethrow'],1628384,,,1610612766,7,5,2024-11-29T17:17:43Z,360000,False,,,0,,O. Anunoby shooting personal FOUL (1 PF) (Salaün 2 FT),"[1628384, 1642275]",1610612752.0,NYK,shooting,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,2003.0,,,,1.0,0.0,Salaün,1642275.0,,,,,,,,
38,PT07M35.00S,2024-11-29T17:17:56.0Z,1,REGULAR,freethrow,1 of 2,[],1642275,,,1610612766,8,5,2024-11-29T17:17:56Z,380000,False,,,0,,T. Salaün Free Throw 1 of 2 (4 PTS),[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
39,PT07M35.00S,2024-11-29T17:18:12.4Z,1,REGULAR,freethrow,2 of 2,[],1642275,,,1610612766,9,5,2024-11-29T17:18:12Z,390000,False,,,0,,T. Salaün Free Throw 2 of 2 (5 PTS),[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
40,PT07M12.00S,2024-11-29T17:18:36.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628384,5.995400788436268,49.50980392156863,1610612752,9,7,2024-11-29T17:19:04Z,400000,False,2.0,4.0,1,left,O. Anunoby cutting DUNK (2 PTS) (K. Towns 1 AST),"[1628384, 1626157]",1610612752.0,NYK,cutting,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.46,Made,2.0,,,K. Towns,1626157.0,1.0,,,,,,,,,,,,
42,PT07M02.00S,2024-11-29T17:18:47.4Z,1,REGULAR,2pt,Jump Shot,[],1641706,81.15965834428384,28.431372549019606,1610612766,9,7,2024-11-29T17:19:36Z,420000,False,-108.0,125.0,1,right,MISS B. Miller 16' pullup Shot,[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Mid-Range,16-24 Left Center,16.48,Missed,,,,,,,,,,,,,,,,,,
43,PT07M01.00S,2024-11-29T17:18:48.4Z,1,REGULAR,rebound,offensive,[],1631217,,,1610612766,9,7,2024-11-29T17:19:36Z,430000,False,,,0,,M. Diabaté REBOUND (Off:1 Def:0),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Mid-Range,16-24 Left Center,,,,42.0,,,,,,,,,1.0,0.0,1.0,,,,,
44,PT06M52.00S,2024-11-29T17:18:56.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642275,85.23324572930355,3.9215686274509802,1610612766,12,7,2024-11-29T17:19:00Z,440000,False,-230.0,86.0,1,right,T. Salaün 24' 3PT  (8 PTS) (V. Micić 2 AST),"[1642275, 203995]",1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,Left Corner 3,24+ Left,24.6,Made,8.0,,,V. Micić,203995.0,2.0,,,,,,,,,,,,
46,PT06M44.00S,2024-11-29T17:19:07.1Z,1,REGULAR,turnover,traveling,[],1628404,,,1610612752,12,7,2024-11-29T17:19:14Z,460000,False,,,0,,J. Hart traveling TURNOVER (1 TO),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,,,,,1628954.0,,,,,,,,,,,1.0,,,,
47,PT06M44.00S,2024-11-29T17:19:18.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,12,7,2024-11-29T17:19:18Z,470000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT06M32.00S,2024-11-29T17:22:17.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641706,86.94152431011827,48.77450980392157,1610612766,12,7,2024-11-29T17:22:43Z,480000,False,-6.0,70.0,1,right,MISS B. Miller 7' driving floating Shot,[1641706],1610612766.0,CHA,driving floating,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,7.05,Missed,,,,,,,,,,,,,,,,,,
49,PT06M30.00S,2024-11-29T17:22:19.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,12,7,2024-11-29T17:22:43Z,490000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,48.0,,,,,,,,,,,,,,,,
51,PT06M11.00S,2024-11-29T17:22:46.7Z,1,REGULAR,turnover,traveling,[],1626157,,,1610612752,12,7,2024-11-29T17:22:54Z,510000,False,,,0,,K. Towns traveling TURNOVER (1 TO),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,1627534.0,,,,,,,,,,,1.0,,,,
52,PT06M11.00S,2024-11-29T17:22:50.7Z,1,REGULAR,substitution,out,[],1630182,,,1610612766,12,7,2024-11-29T17:23:16Z,520000,False,,,0,,SUB out: J. Green,[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M11.00S,2024-11-29T17:22:50.7Z,1,REGULAR,substitution,out,[],203995,,,1610612766,12,7,2024-11-29T17:23:16Z,530000,False,,,0,,SUB out: V. Micić,[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M11.00S,2024-11-29T17:22:50.7Z,1,REGULAR,substitution,in,[],1642354,,,1610612766,12,7,2024-11-29T17:23:16Z,540000,False,,,0,,SUB in: K. Simpson,[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M11.00S,2024-11-29T17:22:50.7Z,1,REGULAR,substitution,in,[],1628998,,,1610612766,12,7,2024-11-29T17:23:16Z,550000,False,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M11.00S,2024-11-29T17:23:17.6Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612766,12,7,2024-11-29T17:23:24Z,560000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612766.0,CHA,,,,,,,,,,,,,,,,1628954.0,,,,,,,,,,,,,,,
57,PT06M00.00S,2024-11-29T17:23:31.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641706,74.58935611038108,85.04901960784314,1610612766,12,7,2024-11-29T17:23:35Z,570000,False,175.0,186.0,1,right,MISS B. Miller 25' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,25.58,Missed,,,,,,,,,,,,,,,,,,
58,PT05M58.00S,2024-11-29T17:23:33.0Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,12,7,2024-11-29T17:23:35Z,580000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,57.0,,,,,,,,,1.0,1.0,0.0,,,,,
59,PT05M53.00S,2024-11-29T17:23:38.3Z,1,REGULAR,3pt,Jump Shot,[],1626157,33.196452036793694,38.970588235294116,1610612752,12,10,2024-11-29T17:24:54Z,590000,False,55.0,260.0,1,left,K. Towns 26' 3PT  (5 PTS) (J. Brunson 1 AST),"[1626157, 1628973]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,26.53,Made,5.0,,,J. Brunson,1628973.0,1.0,,,,,,,,,,,,
61,PT05M34.00S,2024-11-29T17:23:57.1Z,1,REGULAR,3pt,Jump Shot,[],1642275,64.86530880420499,50.98039215686274,1610612766,12,10,2024-11-29T17:26:00Z,610000,False,5.0,278.0,1,right,MISS T. Salaün 27' pullup 3PT,[1642275],1610612766.0,CHA,pullup,,,Salaün,T. Salaün,,,,,Above the Break 3,24+ Center,27.78,Missed,,,,,,,,,,,,,,,,,,
62,PT05M32.00S,2024-11-29T17:23:59.1Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,12,10,2024-11-29T17:26:00Z,620000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Center,,,,61.0,,,,,,,,,1.0,1.0,0.0,,,,,
63,PT05M25.00S,2024-11-29T17:24:05.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626157,35.03613666228647,53.18627450980392,1610612752,12,10,2024-11-29T17:26:26Z,630000,False,-16.0,277.0,1,left,MISS K. Towns 27' running 3PT,[1626157],1610612752.0,NYK,running,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,27.73,Missed,,,,,,,,,,,,,,,,,,
64,PT05M23.00S,2024-11-29T17:24:07.3Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,12,10,2024-11-29T17:24:11Z,640000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Center,,,,63.0,,,,,,,,,1.0,1.0,0.0,,,,,
65,PT05M06.00S,2024-11-29T17:24:26.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,88.78120893561103,54.166666666666664,1610612766,12,10,2024-11-29T17:26:49Z,650000,False,21.0,53.0,1,right,MISS B. Miller pullup Shot,[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,5.69,Missed,,,,,,,,,,,,,,,,,,
66,PT05M04.00S,2024-11-29T17:24:28.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,12,10,2024-11-29T17:26:49Z,660000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,65.0,,,,,,,,,2.0,2.0,0.0,,,,,
67,PT04M55.00S,2024-11-29T17:24:36.7Z,1,REGULAR,turnover,lost ball,[],1628384,,,1610612752,12,10,2024-11-29T17:28:45Z,670000,False,,,0,,O. Anunoby lost ball TURNOVER (1 TO),"[1628384, 1628998]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,Martin,1628998.0,,
68,PT04M55.00S,2024-11-29T17:24:36.7Z,1,REGULAR,steal,,[],1628998,,,1610612766,12,10,2024-11-29T17:24:39Z,680000,False,,,0,,C. Martin STEAL (1 STL),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
69,PT04M50.00S,2024-11-29T17:24:42.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641706,92.85479632063075,50.49019607843137,1610612766,12,10,2024-11-29T17:28:12Z,690000,False,2.0,15.0,1,right,MISS B. Miller running Layup,[1641706],1610612766.0,CHA,running,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,1.49,Missed,,,,,,,,,,,,,,,,,,
70,PT04M48.00S,2024-11-29T17:24:44.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,12,10,2024-11-29T17:28:12Z,700000,False,,,0,,K. Towns REBOUND (Off:0 Def:3),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,69.0,,,,,,,,,3.0,3.0,0.0,,,,,
71,PT04M41.00S,2024-11-29T17:24:51.0Z,1,REGULAR,3pt,Jump Shot,[],1628384,11.514454664914586,1.9607843137254901,1610612752,12,10,2024-11-29T17:28:44Z,710000,False,240.0,56.0,1,left,MISS O. Anunoby 24' 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Right Corner 3,24+ Right,24.66,Missed,,,,,,,,,,,,,,,,,,
74,PT04M39.00S,2024-11-29T17:24:53.0Z,1,REGULAR,rebound,defensive,[],1631217,,,1610612766,12,10,2024-11-29T17:28:44Z,715000,False,,,0,,M. Diabaté REBOUND (Off:1 Def:1),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Right Corner 3,24+ Right,,,,71.0,,,,,,,,,2.0,1.0,1.0,,,,,
72,PT04M21.00S,2024-11-29T17:25:10.3Z,1,REGULAR,3pt,Jump Shot,[],1628998,66.44218134034165,53.92156862745098,1610612766,15,10,2024-11-29T17:25:16Z,720000,False,20.0,263.0,1,right,C. Martin 26' 3PT  (3 PTS) (B. Miller 2 AST),"[1628998, 1641706]",1610612766.0,CHA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Center,26.36,Made,3.0,,,B. Miller,1641706.0,2.0,,,,,,,,,,,,
75,PT04M02.00S,2024-11-29T17:25:30.2Z,1,REGULAR,3pt,Jump Shot,[],1628404,29.517082785808146,76.9607843137255,1610612752,15,10,2024-11-29T17:29:25Z,740000,False,-135.0,225.0,1,left,MISS J. Hart 26' 3PT,[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Left Center,26.23,Missed,,,,,,,,,,,,,,,,,,
76,PT03M59.00S,2024-11-29T17:25:33.2Z,1,REGULAR,rebound,defensive,[],1631217,,,1610612766,15,10,2024-11-29T17:29:25Z,750000,False,,,0,,M. Diabaté REBOUND (Off:1 Def:2),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Above the Break 3,24+ Left Center,,,,75.0,,,,,,,,,3.0,2.0,1.0,,,,,
77,PT03M43.00S,2024-11-29T17:25:48.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631217,93.51182654402102,46.07843137254902,1610612766,15,10,2024-11-29T18:11:09Z,760000,False,-20.0,8.0,1,right,MISS M. Diabaté cutting Layup,[1631217],1610612766.0,CHA,cutting,,,Diabaté,M. Diabaté,,,,,Restricted Area,0-8 Center,2.14,Missed,,,,,,,,,,,,,,,,,,
78,PT03M42.00S,2024-11-29T17:25:49.9Z,1,REGULAR,rebound,offensive,[],1642354,,,1610612766,15,10,2024-11-29T17:30:41Z,770000,False,,,0,,K. Simpson REBOUND (Off:1 Def:0),[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,Restricted Area,0-8 Center,,,,77.0,,,,,,,,,1.0,0.0,1.0,,,,,
79,PT03M39.00S,2024-11-29T17:25:51.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642354,91.80354796320631,50.245098039215684,1610612766,17,10,2024-11-29T17:30:55Z,780000,False,1.0,25.0,1,right,K. Simpson putback Layup (2 PTS),[1642354],1610612766.0,CHA,putback,,,Simpson,K. Simpson,,,,,Restricted Area,0-8 Center,2.45,Made,2.0,,,,,,,,,,,,,,,,,
80,PT03M26.00S,2024-11-29T17:26:08.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,7.5722733245729295,42.40196078431372,1610612752,17,10,2024-11-29T17:32:03Z,790000,False,38.0,19.0,1,left,MISS J. Brunson pullup Shot - blocked,"[1628973, 1641706]",1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,4.24,Missed,,,,,,,,,,,,,,,,,Miller,1641706.0
81,PT03M26.00S,2024-11-29T17:26:08.5Z,1,REGULAR,block,,[],1641706,,,1610612752,17,10,2024-11-29T17:26:10Z,800000,False,,,0,,B. Miller BLOCK (1 BLK),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
82,PT03M25.00S,2024-11-29T17:26:09.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,17,10,2024-11-29T17:32:03Z,810000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Restricted Area,0-8 Center,,,,80.0,,,,,,,,,,,,,,,,
84,PT03M25.00S,2024-11-29T17:26:13.9Z,1,REGULAR,substitution,out,[],1628404,,,1610612766,17,10,2024-11-29T17:26:23Z,830000,False,,,0,,SUB out: J. Hart,[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,,
