actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,pointsTotal,area,areaDetail,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
17,PT10M38.00S,2024-11-30T23:12:35.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641706,65.91655716162943,52.94117647058824,1610612766,7,2,2024-11-30T23:13:44Z,170000,False,15.0,268.0,1,right,B. Miller 26' 3PT pullup (4 PTS),[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,,,,Made,4.0,Above the Break 3,24+ Center,26.83,,,,,,,,,,,,,,
18,PT10M21.00S,2024-11-30T23:12:51.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,5.732588699080158,48.77450980392157,1610612737,7,4,2024-11-30T23:12:56Z,180000,False,6.0,1.0,1,left,D. Daniels driving Layup (2 PTS),[1630700],1610612737.0,ATL,driving,,,Daniels,D. Daniels,,,,,,,,Made,2.0,Restricted Area,0-8 Center,0.63,,,,,,,,,,,,,,
19,PT10M03.00S,2024-11-30T23:13:10.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641706,92.59198423127464,50.245098039215684,1610612766,7,4,2024-11-30T23:14:58Z,190000,False,1.0,17.0,1,right,MISS B. Miller driving Layup,[1641706],1610612766.0,CHA,driving,,,Miller,B. Miller,,,,,,,,Missed,,Restricted Area,0-8 Center,1.71,,,,,,,,,,,,,,
20,PT10M01.00S,2024-11-30T23:13:12.1Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,7,4,2024-11-30T23:16:19Z,200000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,Restricted Area,0-8 Center,,19.0,1.0,1.0,0.0,,,,,,,,,,
21,PT09M57.00S,2024-11-30T23:13:18.0Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,7,4,2024-11-30T23:15:26Z,210000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1642275]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,1.0,Salaün,1642275.0,,,,
22,PT09M57.00S,2024-11-30T23:13:18.0Z,1,REGULAR,steal,,[],1642275,,,1610612766,7,4,2024-11-30T23:13:20Z,220000,False,,,0,,T. Salaün STEAL (1 STL),[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,
23,PT09M40.00S,2024-11-30T23:13:32.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642275,87.33574244415243,94.85294117647058,1610612766,7,4,2024-11-30T23:13:36Z,230000,False,224.0,67.0,1,right,MISS T. Salaün 3PT,[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,,,Missed,,Right Corner 3,24+ Right,23.4,,,,,,,,,,,,,,
24,PT09M37.00S,2024-11-30T23:13:35.2Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,7,4,2024-11-30T23:13:36Z,240000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,Right Corner 3,24+ Right,,23.0,1.0,1.0,0.0,,,,,,,,,,
25,PT09M30.00S,2024-11-30T23:13:42.5Z,1,REGULAR,3pt,Jump Shot,[],1630552,24.52365308804205,84.55882352941177,1610612737,7,7,2024-11-30T23:13:48Z,250000,False,-173.0,178.0,1,left,J. Johnson 24' 3PT  (3 PTS) (T. Young 1 AST),"[1630552, 1629027]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,3.0,Above the Break 3,24+ Left Center,24.81,,,,,T. Young,1629027.0,1.0,,,,,,,
27,PT09M16.00S,2024-11-30T23:13:56.1Z,1,REGULAR,3pt,Jump Shot,[],203995,70.25295663600527,22.30392156862745,1610612766,10,7,2024-11-30T23:17:13Z,270000,False,-138.0,227.0,1,right,V. Micić 26' 3PT  (3 PTS) (M. Diabaté 1 AST),"[203995, 1631217]",1610612766.0,CHA,,,,Micić,V. Micić,,,,,,,,Made,3.0,Above the Break 3,24+ Left Center,26.6,,,,,M. Diabaté,1631217.0,1.0,,,,,,,
28,PT09M04.00S,2024-11-30T23:14:09.4Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,10,7,2024-11-30T23:17:37Z,280000,False,,,0,,T. Young bad pass TURNOVER (2 TO),"[1629027, 203995]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,2.0,Micić,203995.0,,,,
29,PT09M04.00S,2024-11-30T23:14:09.4Z,1,REGULAR,steal,,[],203995,,,1610612766,10,7,2024-11-30T23:14:11Z,290000,False,,,0,,V. Micić STEAL (1 STL),[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,
30,PT09M00.00S,2024-11-30T23:14:14.3Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1641706,66.96780551905388,62.00980392156863,1610612766,10,7,2024-11-30T23:17:50Z,300000,False,60.0,258.0,1,right,MISS B. Miller 26' running 3PT,[1641706],1610612766.0,CHA,running,,,Miller,B. Miller,,,,,,,,Missed,,Above the Break 3,24+ Center,26.49,,,,,,,,,,,,,,
31,PT08M58.00S,2024-11-30T23:14:16.3Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,10,7,2024-11-30T23:17:50Z,310000,False,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,Above the Break 3,24+ Center,,30.0,2.0,2.0,0.0,,,,,,,,,,
32,PT08M41.00S,2024-11-30T23:14:30.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,5.995400788436268,47.05882352941176,1610612737,10,9,2024-11-30T23:18:24Z,320000,False,15.0,4.0,1,left,C. Capela cutting DUNK (2 PTS) (J. Johnson 1 AST),"[203991, 1630552]",1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,,,,Made,2.0,Restricted Area,0-8 Center,1.52,,,,,J. Johnson,1630552.0,1.0,,,,,,,
35,PT08M23.00S,2024-11-30T23:14:49.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,83.18002628120894,50.83486519607843,1610612766,12,9,2024-11-30T23:18:41Z,340000,False,4.0,106.0,1,right,B. Miller 10' driving floating Jump Shot (6 PTS) (V. Micić 2 AST),"[1641706, 203995]",1610612766.0,CHA,driving floating,,,Miller,B. Miller,,,,,,,,Made,6.0,In The Paint (Non-RA),8-16 Center,10.57,,,,,V. Micić,203995.0,2.0,,,,,,,
36,PT08M09.00S,2024-11-30T23:15:03.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642258,4.5499342969776615,48.77450980392157,1610612737,12,11,2024-11-30T23:18:51Z,350000,False,6.0,-10.0,1,left,Z. Risacher cutting DUNK (4 PTS) (J. Johnson 2 AST),"[1642258, 1630552]",1610612737.0,ATL,cutting,,,Risacher,Z. Risacher,,,,,,,,Made,4.0,Restricted Area,0-8 Center,1.15,,,,,J. Johnson,1630552.0,2.0,,,,,,,
38,PT08M09.00S,2024-11-30T23:15:08.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,12,11,2024-11-30T23:15:08Z,370000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT07M50.00S,2024-11-30T23:18:29.8Z,1,REGULAR,2pt,Jump Shot,[],1641706,93.38042049934296,27.696078431372552,1610612766,12,11,2024-11-30T23:19:17Z,380000,False,-112.0,10.0,1,right,MISS B. Miller 11' driving floating Shot,[1641706],1610612766.0,CHA,driving floating,,,Miller,B. Miller,,,,,,,,Missed,,Mid-Range,8-16 Left,11.19,,,,,,,,,,,,,,
41,PT07M48.00S,2024-11-30T23:18:31.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,12,11,2024-11-30T23:19:17Z,390000,False,,,0,,C. Capela REBOUND (Off:0 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,Mid-Range,8-16 Left,,40.0,3.0,3.0,0.0,,,,,,,,,,
42,PT07M25.00S,2024-11-30T23:18:52.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,7.30946123521682,49.01960784313725,1610612737,12,13,2024-11-30T23:18:59Z,400000,False,5.0,16.0,1,left,C. Capela reverse Layup (4 PTS) (J. Johnson 3 AST),"[203991, 1630552]",1610612737.0,ATL,reverse,,,Capela,C. Capela,,,,,,,,Made,4.0,Restricted Area,0-8 Center,1.69,,,,,J. Johnson,1630552.0,3.0,,,,,,,
44,PT07M10.00S,2024-11-30T23:19:06.7Z,1,REGULAR,3pt,Jump Shot,[],1630182,67.36202365308804,26.96078431372549,1610612766,15,13,2024-11-30T23:19:55Z,420000,False,-115.0,254.0,1,right,J. Green 27' 3PT pullup (6 PTS) (M. Diabaté 2 AST),"[1630182, 1631217]",1610612766.0,CHA,pullup,,,Green,J. Green,,,,,,,,Made,6.0,Above the Break 3,24+ Left Center,27.92,,,,,M. Diabaté,1631217.0,2.0,,,,,,,
46,PT07M04.00S,2024-11-30T23:19:15.5Z,1,REGULAR,foul,offensive,[],1630552,,,1610612737,15,13,2024-11-30T23:19:26Z,440000,False,,,0,,J. Johnson offensive FOUL (1 PF),"[1630552, 1630182]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,1626300.0,1.0,0.0,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,Green,1630182.0,,
48,PT07M04.00S,2024-11-30T23:19:15.5Z,1,REGULAR,turnover,offensive foul,[],1630552,,,1610612737,15,13,2024-11-30T23:19:15Z,460000,False,,,0,,J. Johnson offensive foul TURNOVER (1 TO),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,1626300.0,,,,,Above the Break 3,24+ Right Center,,,,,,,,,1.0,,,,,,
49,PT06M44.00S,2024-11-30T23:19:56.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642275,94.43166885676742,47.794117647058826,1610612766,15,13,2024-11-30T23:20:29Z,470000,False,-11.0,0.0,1,right,MISS T. Salaün driving Layup,[1642275],1610612766.0,CHA,driving,,,Salaün,T. Salaün,,,,,,,,Missed,,Restricted Area,0-8 Center,1.1,,,,,,,,,,,,,,
50,PT06M42.00S,2024-11-30T23:19:58.2Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,15,13,2024-11-30T23:20:29Z,480000,False,,,0,,C. Capela REBOUND (Off:0 Def:4),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,Restricted Area,0-8 Center,,49.0,4.0,4.0,0.0,,,,,,,,,,
51,PT06M36.00S,2024-11-30T23:20:02.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642258,15.588042049934298,95.09803921568627,1610612737,15,16,2024-11-30T23:20:08Z,490000,False,-225.0,94.0,1,left,Z. Risacher 24' 3PT running (7 PTS) (J. Johnson 4 AST),"[1642258, 1630552]",1610612737.0,ATL,running,,,Risacher,Z. Risacher,,,,,,,,Made,7.0,Above the Break 3,24+ Left,24.43,,,,,J. Johnson,1630552.0,4.0,,,,,,,
53,PT06M22.00S,2024-11-30T23:20:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631217,92.9862023653088,48.28431372549019,1610612766,15,16,2024-11-30T23:21:36Z,510000,False,-9.0,13.0,1,right,MISS M. Diabaté cutting Layup - blocked,"[1631217, 203991]",1610612766.0,CHA,cutting,,,Diabaté,M. Diabaté,,,,,,,,Missed,,Restricted Area,0-8 Center,1.59,,,,,,,,,,,,,Capela,203991.0
54,PT06M22.00S,2024-11-30T23:20:18.1Z,1,REGULAR,block,,[],203991,,,1610612766,15,16,2024-11-30T23:20:20Z,520000,False,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,
55,PT06M21.00S,2024-11-30T23:20:19.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,15,16,2024-11-30T23:21:36Z,530000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,Restricted Area,0-8 Center,,53.0,,,,,,,,,,,,,
57,PT06M21.00S,2024-11-30T23:20:22.8Z,1,REGULAR,substitution,out,[],203995,,,1610612766,15,16,2024-11-30T23:20:30Z,550000,False,,,0,,SUB out: V. Micić,[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M21.00S,2024-11-30T23:20:22.8Z,1,REGULAR,substitution,out,[],1630552,,,1610612766,15,16,2024-11-30T23:20:30Z,560000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M21.00S,2024-11-30T23:20:22.8Z,1,REGULAR,substitution,in,[],1642354,,,1610612766,15,16,2024-11-30T23:20:30Z,570000,False,,,0,,SUB in: K. Simpson,[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M21.00S,2024-11-30T23:20:22.8Z,1,REGULAR,substitution,in,[],1629726,,,1610612766,15,16,2024-11-30T23:20:30Z,580000,False,,,0,,SUB in: G. Mathews,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M12.00S,2024-11-30T23:20:50.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1642275,93.51182654402102,51.71568627450981,1610612766,15,16,2024-11-30T23:22:15Z,590000,False,9.0,8.0,1,right,MISS T. Salaün driving bank Hook,[1642275],1610612766.0,CHA,driving bank,,,Salaün,T. Salaün,,,,,,,,Missed,,Restricted Area,0-8 Center,1.21,,,,,,,,,,,,,,
62,PT06M10.00S,2024-11-30T23:20:52.6Z,1,REGULAR,rebound,offensive,[],1631217,,,1610612766,15,16,2024-11-30T23:22:07Z,600000,False,,,0,,M. Diabaté REBOUND (Off:2 Def:0),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,Restricted Area,0-8 Center,,61.0,2.0,0.0,2.0,,,,,,,,,,
63,PT06M09.00S,2024-11-30T23:20:55.6Z,1,REGULAR,turnover,lost ball,[],1631217,,,1610612766,15,16,2024-11-30T23:22:36Z,610000,False,,,0,,M. Diabaté lost ball TURNOVER (1 TO),"[1631217, 1630700]",1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1.0,Daniels,1630700.0,,,,
64,PT06M09.00S,2024-11-30T23:20:55.6Z,1,REGULAR,steal,,[],1630700,,,1610612737,15,16,2024-11-30T23:20:57Z,620000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,
65,PT06M05.00S,2024-11-30T23:20:59.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642258,9.017739816031538,50.49019607843137,1610612737,15,18,2024-11-30T23:22:53Z,630000,False,-2.0,32.0,1,left,Z. Risacher running DUNK (9 PTS) (D. Daniels 2 AST),"[1642258, 1630700]",1610612737.0,ATL,running,,,Risacher,Z. Risacher,,,,,,,,Made,9.0,Restricted Area,0-8 Center,3.24,,,,,D. Daniels,1630700.0,2.0,,,,,,,
67,PT05M56.00S,2024-11-30T23:21:06.9Z,1,REGULAR,2pt,Jump Shot,[],1641706,75.3777923784494,48.529411764705884,1610612766,15,18,2024-11-30T23:23:24Z,650000,False,-7.0,179.0,1,right,MISS B. Miller 17' pullup Shot,[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,,,,Missed,,Mid-Range,16-24 Center,17.91,,,,,,,,,,,,,,
68,PT05M54.00S,2024-11-30T23:21:08.9Z,1,REGULAR,rebound,offensive,[],1631217,,,1610612766,15,18,2024-12-01T00:12:15Z,660000,False,,,0,,M. Diabaté REBOUND (Off:3 Def:0),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,Mid-Range,16-24 Center,,67.0,3.0,0.0,3.0,,,,,,,,,,
69,PT05M51.00S,2024-11-30T23:21:13.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641706,72.7496714848883,82.1078431372549,1610612766,15,18,2024-11-30T23:24:19Z,670000,False,161.0,204.0,1,right,MISS B. Miller 25' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,Missed,,Above the Break 3,24+ Right Center,25.93,,,,,,,,,,,,,,
70,PT05M49.00S,2024-11-30T23:21:15.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,15,18,2024-11-30T23:24:19Z,680000,False,,,0,,C. Capela REBOUND (Off:0 Def:5),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,Above the Break 3,24+ Right Center,,69.0,5.0,5.0,0.0,,,,,,,,,,
71,PT05M36.00S,2024-11-30T23:21:26.1Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,15,18,2024-11-30T23:25:18Z,690000,False,,,0,,T. Young bad pass TURNOVER (3 TO),"[1629027, 1631217]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,3.0,Diabaté,1631217.0,,,,
72,PT05M36.00S,2024-11-30T23:21:26.1Z,1,REGULAR,steal,,[],1631217,,,1610612766,15,18,2024-12-01T00:12:50Z,700000,False,,,0,,M. Diabaté STEAL (1 STL),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,
73,PT05M31.00S,2024-11-30T23:21:32.1Z,1,REGULAR,foul,personal,['2freethrow'],1629726,,,1610612766,15,18,2024-11-30T23:21:42Z,710000,False,,,0,,G. Mathews shooting personal FOUL (1 PF) (Simpson 2 FT),"[1629726, 1642354]",1610612737.0,ATL,shooting,,,Mathews,G. Mathews,,,,,1626300.0,1.0,0.0,,,Restricted Area,0-8 Center,,,,,,,,,,,,Simpson,1642354.0,,
75,PT05M31.00S,2024-11-30T23:22:03.3Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1642354,,,1610612766,16,18,2024-11-30T23:22:03Z,730000,False,,,0,,K. Simpson Free Throw 1 of 2 (1 PTS),[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
76,PT05M31.00S,2024-11-30T23:22:04.1Z,1,REGULAR,substitution,out,[],1642275,,,1610612766,16,18,2024-11-30T23:22:18Z,740000,False,,,0,,SUB out: T. Salaün,[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M31.00S,2024-11-30T23:22:04.1Z,1,REGULAR,substitution,out,[],1642258,,,1610612766,16,18,2024-11-30T23:22:18Z,750000,False,,,0,,SUB out: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M31.00S,2024-11-30T23:22:04.1Z,1,REGULAR,substitution,out,[],203991,,,1610612766,16,18,2024-11-30T23:22:18Z,760000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M31.00S,2024-11-30T23:22:04.1Z,1,REGULAR,substitution,in,[],1628998,,,1610612766,16,18,2024-11-30T23:22:18Z,770000,False,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M31.00S,2024-11-30T23:22:04.1Z,1,REGULAR,substitution,in,[],1630168,,,1610612766,16,18,2024-11-30T23:22:18Z,780000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M31.00S,2024-11-30T23:22:04.1Z,1,REGULAR,substitution,in,[],1629631,,,1610612766,16,18,2024-11-30T23:22:18Z,790000,False,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M31.00S,2024-11-30T23:22:31.5Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1642354,,,1610612766,17,18,2024-11-30T23:22:31Z,800000,False,,,0,,K. Simpson Free Throw 2 of 2 (2 PTS),[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
83,PT05M19.00S,2024-11-30T23:22:47.0Z,1,REGULAR,3pt,Jump Shot,[],1629027,33.327858081471746,34.55882352941176,1610612737,17,18,2024-11-30T23:25:57Z,810000,False,77.0,261.0,1,left,MISS T. Young 27' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,,,,Missed,,Above the Break 3,24+ Center,27.2,,,,,,,,,,,,,,
84,PT05M17.00S,2024-11-30T23:22:49.0Z,1,REGULAR,rebound,defensive,[],1642354,,,1610612766,17,18,2024-11-30T23:25:57Z,820000,False,,,0,,K. Simpson REBOUND (Off:0 Def:1),[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,,,,,Above the Break 3,24+ Center,,83.0,1.0,1.0,0.0,,,,,,,,,,
85,PT05M11.00S,2024-11-30T23:22:53.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630182,78.40013140604468,90.19607843137256,1610612766,17,18,2024-11-30T23:22:59Z,830000,False,201.0,151.0,1,right,MISS J. Green 25' running 3PT,[1630182],1610612766.0,CHA,running,,,Green,J. Green,,,,,,,,Missed,,Above the Break 3,24+ Right Center,25.11,,,,,,,,,,,,,,
