actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
24,PT10M21.00S,2025-01-26T00:12:46.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.82391590013141,57.98483455882353,1610612740,2,2,2025-01-26T00:14:43Z,240000,False,40.0,6.0,1,right,Z. Williamson driving Layup (2 PTS) (T. Murphy III 1 AST),"[1629627, 1630530]",1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,4.03,Made,,,,,,,,,,,2.0,T. Murphy III,1630530.0,1.0,,
26,PT10M09.00S,2025-01-26T00:12:58.0Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,2,2,2025-01-26T00:15:09Z,260000,False,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 1629627]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,1.0,,,,,,,,,,,,,,,,,Williamson,1629627.0
27,PT10M09.00S,2025-01-26T00:12:58.0Z,1,REGULAR,steal,,[],1629627,,,1610612740,2,2,2025-01-26T00:12:59Z,270000,False,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
28,PT09M59.00S,2025-01-26T00:13:09.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629627,95.0065703022339,57.00444240196079,1610612740,2,2,2025-01-26T00:15:42Z,280000,False,35.0,-6.0,1,right,MISS Z. Williamson DUNK - blocked,"[1629627, 201959]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,3.54,Missed,Gibson,201959.0,,,,,,,,,,,,,,
29,PT09M59.00S,2025-01-26T00:13:09.5Z,1,REGULAR,block,,[],201959,,,1610612740,2,2,2025-01-26T00:13:11Z,290000,False,,,0,,T. Gibson BLOCK (1 BLK),[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT09M56.00S,2025-01-26T00:13:12.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,2,2,2025-01-26T00:15:42Z,300000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,28.0,,,,,,,,,,,,,
32,PT09M46.00S,2025-01-26T00:13:28.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,19.316688567674106,58.18780637254902,1610612766,4,2,2025-01-26T00:16:16Z,320000,False,-41.0,129.0,1,left,M. Bridges 13' pullup Jump Shot (4 PTS) (L. Ball 1 AST),"[1628970, 1630163]",1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,13.54,Made,,,,,,,,,,,4.0,L. Ball,1630163.0,1.0,,
34,PT09M35.00S,2025-01-26T00:13:41.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642274,90.53876478318003,57.123161764705884,1610612740,4,2,2025-01-26T00:16:42Z,340000,False,36.0,36.0,1,right,MISS Y. Missi cutting Layup,[1642274],1610612740.0,NOP,cutting,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,,,5.09,Missed,,,,,,,,,,,,,,,,
35,PT09M34.00S,2025-01-26T00:13:42.1Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,4,2,2025-01-26T00:16:42Z,350000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,
36,PT09M23.00S,2025-01-26T00:13:53.0Z,1,REGULAR,foul,offensive,[],201959,,,1610612766,4,2,2025-01-26T00:16:59Z,360000,False,,,0,,T. Gibson offensive FOUL (2 PF),"[201959, 1630530]",1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,Above the Break 3,24+ Center,202058.0,,,,,,,,,,2.0,0.0,Murphy III,1630530.0,,,,,,
38,PT09M23.00S,2025-01-26T00:13:53.0Z,1,REGULAR,turnover,offensive foul,[],201959,,,1610612766,4,2,2025-01-26T00:16:59Z,380000,False,,,0,,T. Gibson offensive foul TURNOVER (1 TO),[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,Above the Break 3,24+ Center,202058.0,1.0,,,,,,,,,,,,,,,,,,
39,PT09M23.00S,2025-01-26T00:14:05.3Z,1,REGULAR,substitution,out,[],201959,,,1610612740,4,2,2025-01-26T00:14:09Z,390000,False,,,0,,SUB out: T. Gibson,[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M23.00S,2025-01-26T00:14:05.3Z,1,REGULAR,substitution,in,[],1631217,,,1610612740,4,2,2025-01-26T00:14:09Z,400000,False,,,0,,SUB in: M. Diabaté,[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT09M13.00S,2025-01-26T00:14:28.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630530,71.43150459921156,18.11427696078431,1610612740,4,2,2025-01-26T00:17:21Z,410000,False,-159.0,216.0,1,right,MISS T. Murphy III 26' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,,,26.84,Missed,,,,,,,,,,,,,,,,
42,PT09M11.00S,2025-01-26T00:14:30.3Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,4,2,2025-01-26T00:17:21Z,420000,False,,,0,,M. Bridges REBOUND (Off:1 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,,41.0,2.0,1.0,1.0,,,,,,,,,,
43,PT08M56.00S,2025-01-26T00:14:45.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628970,11.383048620236531,42.40196078431372,1610612766,4,2,2025-01-26T00:18:00Z,430000,False,38.0,55.0,1,left,MISS M. Bridges 6' turnaround Hook,[1628970],1610612766.0,CHA,turnaround,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,6.64,Missed,,,,,,,,,,,,,,,,
44,PT08M55.00S,2025-01-26T00:14:46.6Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,4,2,2025-01-26T00:18:00Z,440000,False,,,0,,Y. Missi REBOUND (Off:0 Def:2),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,
45,PT08M35.00S,2025-01-26T00:15:05.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641722,80.50262812089356,50.73529411764706,1610612740,4,4,2025-01-26T00:18:21Z,450000,False,4.0,131.0,1,right,J. Hawkins 13' pullup Jump Shot (2 PTS),[1641722],1610612740.0,NOP,pullup,,,Hawkins,J. Hawkins,,,,,In The Paint (Non-RA),8-16 Center,,,13.09,Made,,,,,,,,,,,2.0,,,,,
46,PT08M22.00S,2025-01-26T00:15:17.1Z,1,REGULAR,3pt,Jump Shot,[],1630163,35.03613666228647,30.392156862745097,1610612766,7,4,2025-01-26T00:18:29Z,460000,False,98.0,277.0,1,left,L. Ball 29' 3PT  (3 PTS) (M. Bridges 1 AST),"[1630163, 1628970]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,29.36,Made,,,,,,,,,,,3.0,M. Bridges,1628970.0,1.0,,
48,PT08M10.00S,2025-01-26T00:15:30.8Z,1,REGULAR,foul,personal,['2freethrow'],1631217,,,1610612740,7,4,2025-01-26T00:18:51Z,480000,False,,,0,,M. Diabaté shooting personal FOUL (1 PF) (Williamson 2 FT),"[1631217, 1629627]",1610612766.0,CHA,shooting,,,Diabaté,M. Diabaté,,,,,In The Paint (Non-RA),8-16 Center,1627519.0,,,,,,,,,,1.0,0.0,Williamson,1629627.0,,,,,,
50,PT08M10.00S,2025-01-26T00:15:59.4Z,1,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,7,4,2025-01-26T00:15:59Z,500000,False,,,0,,MISS Z. Williamson Free Throw 1 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
51,PT08M10.00S,2025-01-26T00:15:59.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,7,4,2025-01-26T00:15:59Z,510000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,
52,PT08M10.00S,2025-01-26T00:16:17.0Z,1,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,7,5,2025-01-26T00:16:17Z,520000,False,,,0,,Z. Williamson Free Throw 2 of 2 (3 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,Made,,,,,,,,,,,3.0,,,,,
53,PT07M59.00S,2025-01-26T00:16:31.7Z,1,REGULAR,2pt,Layup,[],1630163,10.118265440210251,33.65885416666666,1610612766,9,5,2025-01-26T00:19:18Z,530000,False,82.0,43.0,1,left,L. Ball 9' driving Layup (5 PTS),[1630163],1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,Mid-Range,8-16 Right,,,9.21,Made,,,,,,,,,,,5.0,,,,,
54,PT07M52.00S,2025-01-26T00:16:42.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,9,5,2025-01-26T00:16:42Z,540000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M52.00S,2025-01-26T00:18:09.4Z,1,REGULAR,substitution,out,[],1629627,,,1610612740,9,5,2025-01-26T00:19:25Z,550000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M52.00S,2025-01-26T00:18:09.4Z,1,REGULAR,substitution,out,[],1642274,,,1610612740,9,5,2025-01-26T00:19:25Z,560000,False,,,0,,SUB out: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M52.00S,2025-01-26T00:18:09.4Z,1,REGULAR,substitution,in,[],1629750,,,1610612740,9,5,2025-01-26T00:19:25Z,570000,False,,,0,,SUB in: J. Green,[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M52.00S,2025-01-26T00:18:09.4Z,1,REGULAR,substitution,in,[],1628464,,,1610612740,9,5,2025-01-26T00:19:25Z,580000,False,,,0,,SUB in: D. Theis,[1628464],1610612740.0,NOP,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M46.00S,2025-01-26T00:19:45.1Z,1,REGULAR,3pt,Jump Shot,[],1641722,77.08607095926413,6.862745098039216,1610612740,9,8,2025-01-26T00:20:08Z,590000,False,-216.0,163.0,1,right,J. Hawkins 27' 3PT step back (5 PTS) (C. McCollum 1 AST),"[1641722, 203468]",1610612740.0,NOP,step back,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Left Center,,,27.03,Made,,,,,,,,,,,5.0,C. McCollum,203468.0,1.0,,
61,PT07M36.00S,2025-01-26T00:19:56.6Z,1,REGULAR,3pt,Jump Shot,[],1630163,32.77554204993429,74.24172794117646,1610612766,9,8,2025-01-26T00:20:31Z,610000,False,-121.0,256.0,1,left,MISS L. Ball 28' pullup 3PT,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,28.29,Missed,,,,,,,,,,,,,,,,
62,PT07M32.00S,2025-01-26T00:20:00.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,9,8,2025-01-26T00:20:31Z,620000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,61.0,,,,,,,,,,,,,
64,PT07M17.00S,2025-01-26T00:20:23.7Z,1,REGULAR,3pt,Jump Shot,[],203468,92.19776609724047,3.431372549019608,1610612740,9,11,2025-01-26T00:20:44Z,640000,False,-233.0,21.0,1,right,C. McCollum 3PT  (3 PTS) (T. Murphy III 2 AST),"[203468, 1630530]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Left Corner 3,24+ Left,,,23.37,Made,,,,,,,,,,,3.0,T. Murphy III,1630530.0,2.0,,
66,PT06M53.00S,2025-01-26T00:20:54.6Z,1,REGULAR,turnover,lost ball,[],1628970,,,1610612766,9,11,2025-01-26T00:21:25Z,660000,False,,,0,,M. Bridges lost ball TURNOVER (1 TO),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,1.0,,,,,,,,,,,,,,,,,,
67,PT06M53.00S,2025-01-26T00:20:57.2Z,1,REGULAR,foul,personal,[],1628970,,,1610612740,9,11,2025-01-26T00:21:39Z,670000,False,,,0,,M. Bridges loose ball personal FOUL (1 PF),"[1628970, 1629750]",1610612766.0,CHA,loose ball,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,202058.0,,,,,,,,,,1.0,0.0,Green,1629750.0,,,,,,
69,PT06M40.00S,2025-01-26T00:21:25.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629750,87.46714848883047,48.529411764705884,1610612740,9,11,2025-01-26T00:22:52Z,690000,False,-7.0,65.0,1,right,MISS J. Green 6' driving floating Shot,[1629750],1610612740.0,NOP,driving floating,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,6.57,Missed,,,,,,,,,,,,,,,,
70,PT06M38.00S,2025-01-26T00:21:27.4Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612740,9,11,2025-01-26T00:22:52Z,700000,False,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,69.0,1.0,0.0,1.0,,,,,,,,,,
71,PT06M37.00S,2025-01-26T00:21:31.1Z,1,REGULAR,foul,personal,['2freethrow'],1630163,,,1610612740,9,11,2025-01-26T00:23:08Z,710000,False,,,0,,L. Ball shooting personal FOUL (1 PF) (Green 2 FT),"[1630163, 1629750]",1610612766.0,CHA,shooting,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,1627519.0,,,,,,,,,,1.0,0.0,Green,1629750.0,,,,,,
73,PT06M37.00S,2025-01-26T00:21:55.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1629750,,,1610612740,9,12,2025-01-26T00:21:55Z,730000,False,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,,,,,Made,,,,,,,,,,,1.0,,,,,
75,PT06M37.00S,2025-01-26T00:21:57.6Z,1,REGULAR,substitution,out,[],1628970,,,1610612740,9,12,2025-01-26T00:22:10Z,740000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M37.00S,2025-01-26T00:21:57.6Z,1,REGULAR,substitution,out,[],1641733,,,1610612740,9,12,2025-01-26T00:22:10Z,750000,False,,,0,,SUB out: N. Smith Jr.,[1641733],1610612766.0,CHA,,,,Smith Jr.,N. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M37.00S,2025-01-26T00:21:57.6Z,1,REGULAR,substitution,in,[],1629006,,,1610612740,9,12,2025-01-26T00:22:10Z,760000,False,,,0,,SUB in: J. Okogie,[1629006],1610612766.0,CHA,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M37.00S,2025-01-26T00:21:57.6Z,1,REGULAR,substitution,in,[],203552,,,1610612740,9,12,2025-01-26T00:22:10Z,770000,False,,,0,,SUB in: S. Curry,[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M37.00S,2025-01-26T00:22:20.3Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1629750,,,1610612740,9,13,2025-01-26T00:22:20Z,780000,False,,,0,,J. Green Free Throw 2 of 2 (2 PTS),[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,,,,,Made,,,,,,,,,,,2.0,,,,,
80,PT06M17.00S,2025-01-26T00:22:45.6Z,1,REGULAR,foul,personal,[],1628464,,,1610612766,9,13,2025-01-26T00:23:34Z,790000,False,,,0,,D. Theis personal FOUL (1 PF),"[1628464, 1630163]",1610612740.0,NOP,,,,Theis,D. Theis,,,,,Mid-Range,16-24 Right Center,1627541.0,,,,,,,,,,1.0,0.0,Ball,1630163.0,,,,,,
82,PT06M11.00S,2025-01-26T00:23:10.4Z,1,REGULAR,3pt,Jump Shot,[],1630163,16.770696452036795,5.392156862745098,1610612766,9,13,2025-01-26T00:23:55Z,810000,False,223.0,105.0,1,left,MISS L. Ball 24' pullup 3PT,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,24.65,Missed,,,,,,,,,,,,,,,,
83,PT06M08.00S,2025-01-26T00:23:13.4Z,1,REGULAR,rebound,offensive,[],203552,,,1610612766,9,13,2025-01-26T00:23:55Z,820000,False,,,0,,S. Curry REBOUND (Off:1 Def:0),[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,,,,,,,82.0,1.0,0.0,1.0,,,,,,,,,,
84,PT06M02.00S,2025-01-26T00:23:16.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629006,5.601182654402102,96.56862745098039,1610612766,12,13,2025-01-26T00:23:21Z,830000,False,-233.0,0.0,1,left,J. Okogie 3PT  (3 PTS) (L. Ball 2 AST),"[1629006, 1630163]",1610612766.0,CHA,,,,Okogie,J. Okogie,,,,,Left Corner 3,24+ Left,,,23.28,Made,,,,,,,,,,,3.0,L. Ball,1630163.0,2.0,,
86,PT05M46.00S,2025-01-26T00:23:35.1Z,1,REGULAR,3pt,Jump Shot,[],1629750,93.38042049934296,2.696078431372549,1610612740,12,13,2025-01-26T00:24:24Z,850000,False,-237.0,10.0,1,right,MISS J. Green 3PT,[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,Left Corner 3,24+ Left,,,23.67,Missed,,,,,,,,,,,,,,,,
87,PT05M44.00S,2025-01-26T00:23:37.1Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,12,13,2025-01-26T00:24:24Z,860000,False,,,0,,L. Ball REBOUND (Off:0 Def:2),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Left Corner 3,24+ Left,,,,,,,86.0,2.0,2.0,0.0,,,,,,,,,,
88,PT05M38.00S,2025-01-26T00:23:44.0Z,1,REGULAR,3pt,Jump Shot,[],1629006,26.757555847568987,16.911764705882355,1610612766,12,13,2025-01-26T00:25:01Z,870000,False,165.0,199.0,1,left,MISS J. Okogie 25' 3PT,[1629006],1610612766.0,CHA,,,,Okogie,J. Okogie,,,,,Above the Break 3,24+ Right Center,,,25.88,Missed,,,,,,,,,,,,,,,,
