actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
17,PT10M48.00S,2024-10-26T23:14:50.3Z,1,REGULAR,foul,offensive,[],1626179,,,1610612748,0,0,2024-10-26T23:15:01Z,170000,False,,,0,,T. Rozier offensive FOUL (1 PF),"[1626179, 1628970]",1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,202026.0,1.0,0.0,Bridges,1628970.0,,,,,,,,
19,PT10M48.00S,2024-10-26T23:14:50.3Z,1,REGULAR,turnover,offensive foul,[],1626179,,,1610612748,0,0,2024-10-26T23:14:50Z,190000,False,,,0,,T. Rozier offensive foul TURNOVER (1 TO),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1.0,202026.0,,,,,,,,,,,,
20,PT10M25.00S,2024-10-26T23:15:21.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630163,92.85479632063075,54.65686274509803,1610612766,0,0,2024-10-26T23:15:25Z,200000,False,23.0,15.0,1,right,MISS L. Ball driving Layup - blocked,"[1630163, 1628389]",1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,2.75,Missed,,,,,,,,,,,Adebayo,1628389.0,,,,,,
21,PT10M25.00S,2024-10-26T23:15:21.0Z,1,REGULAR,block,,[],1628389,,,1610612766,0,0,2024-10-26T23:15:24Z,210000,False,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M25.00S,2024-10-26T23:15:21.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,0,0,2024-10-26T23:15:25Z,220000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Restricted Area,0-8 Center,,,20.0,,,,,,,,,,,,,,,,,
24,PT10M24.00S,2024-10-26T23:15:45.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628998,88.64980289093299,95.09803921568627,1610612766,0,0,2024-10-26T23:16:03Z,240000,False,225.0,54.0,1,right,MISS C. Martin fadeaway 3PT,[1628998],1610612766.0,CHA,fadeaway,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,23.19,Missed,,,,,,,,,,,,,,,,,,
25,PT10M24.00S,2024-10-26T23:15:45.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,0,0,2024-10-26T23:16:03Z,250000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Right Corner 3,24+ Right,,,24.0,,,,,,,,,,,,,,,,,
26,PT10M24.00S,2024-10-26T23:15:48.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612766,0,0,2024-10-26T23:15:54Z,260000,False,,,0,,CHA shot clock Team TURNOVER,[],1610612766.0,CHA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1626300.0,,,,,,,,,,,,
27,PT10M05.00S,2024-10-26T23:16:14.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628389,6.783837056504599,7.598039215686274,1610612748,0,0,2024-10-26T23:16:19Z,270000,False,212.0,11.0,1,left,MISS B. Adebayo 21' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right,21.23,Missed,,,,,,,,,,,,,,,,,,
28,PT10M03.00S,2024-10-26T23:16:17.4Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,0,0,2024-10-26T23:16:17Z,280000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Right,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M51.00S,2024-10-26T23:16:29.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,92.19776609724047,51.9607843137255,1610612766,2,0,2024-10-26T23:16:33Z,290000,False,10.0,21.0,1,right,M. Bridges driving Layup (2 PTS) (L. Ball 1 AST),"[1628970, 1630163]",1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,2.3,Made,,,,,,,,,,,,,2.0,L. Ball,1630163.0,1.0,,
31,PT09M42.00S,2024-10-26T23:16:38.6Z,1,REGULAR,3pt,Jump Shot,[],1626179,20.318659658344284,7.107843137254902,1610612748,2,0,2024-10-26T23:16:47Z,310000,False,214.0,138.0,1,left,MISS T. Rozier 25' pullup 3PT,[1626179],1610612748.0,MIA,pullup,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,25.53,Missed,,,,,,,,,,,,,,,,,,
32,PT09M38.00S,2024-10-26T23:16:42.1Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,2,0,2024-10-26T23:16:42Z,320000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,31.0,1.0,0.0,1.0,,,,,,,,,,,,,,
34,PT09M26.00S,2024-10-26T23:17:15.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,7.178055190538765,41.17647058823529,1610612748,2,0,2024-10-26T23:19:34Z,340000,False,44.0,15.0,1,left,MISS J. Butler reverse Layup,[202710],1610612748.0,MIA,reverse,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,4.66,Missed,,,,,,,,,,,,,,,,,,
35,PT09M26.00S,2024-10-26T23:17:15.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,2,0,2024-10-26T23:17:32Z,350000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,34.0,,,,,,,,,,,,,,,,,
36,PT09M26.00S,2024-10-26T23:17:18.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612748,2,0,2024-10-26T23:17:25Z,360000,False,,,0,,MIA shot clock Team TURNOVER,[],1610612748.0,MIA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,1629178.0,,,,,,,,,,,,
37,PT09M09.00S,2024-10-26T23:17:43.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203552,77.61169513797634,7.352941176470589,1610612766,2,0,2024-10-26T23:17:47Z,370000,False,-213.0,158.0,1,right,MISS S. Curry 26' 3PT,[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,26.54,Missed,,,,,,,,,,,,,,,,,,
38,PT09M07.00S,2024-10-26T23:17:45.2Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,2,0,2024-10-26T23:17:47Z,380000,False,,,0,,J. Butler REBOUND (Off:0 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,,,
39,PT08M56.00S,2024-10-26T23:17:55.9Z,1,REGULAR,3pt,Jump Shot,[],1631107,23.99802890932983,9.803921568627452,1610612748,2,3,2024-10-26T23:18:01Z,390000,False,201.0,173.0,1,left,N. Jović 26' 3PT  (3 PTS) (J. Butler 1 AST),"[1631107, 202710]",1610612748.0,MIA,,,,Jović,N. Jović,,,,,Above the Break 3,24+ Right Center,26.53,Made,,,,,,,,,,,,,3.0,J. Butler,202710.0,1.0,,
41,PT08M39.00S,2024-10-26T23:18:14.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630208,92.19776609724047,49.01960784313725,1610612766,4,3,2024-10-26T23:18:18Z,410000,False,-5.0,21.0,1,right,N. Richards alley-oop DUNK (2 PTS) (L. Ball 2 AST),"[1630208, 1630163]",1610612766.0,CHA,alley-oop,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,2.14,Made,,,,,,,,,,,,,2.0,L. Ball,1630163.0,2.0,,
43,PT08M29.00S,2024-10-26T23:18:23.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,6.521024967148489,47.549019607843135,1610612748,4,5,2024-10-26T23:18:29Z,430000,False,12.0,9.0,1,left,T. Rozier cutting Layup (2 PTS) (B. Adebayo 1 AST),"[1626179, 1628389]",1610612748.0,MIA,cutting,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,1.51,Made,,,,,,,,,,,,,2.0,B. Adebayo,1628389.0,1.0,,
45,PT08M13.00S,2024-10-26T23:18:38.7Z,1,REGULAR,3pt,Jump Shot,[],1628998,76.42904073587385,9.803921568627452,1610612766,4,5,2024-10-26T23:18:43Z,450000,False,-201.0,169.0,1,right,MISS C. Martin 26' 3PT,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,26.27,Missed,,,,,,,,,,,,,,,,,,
46,PT08M10.00S,2024-10-26T23:18:41.7Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612748,4,5,2024-10-26T23:18:43Z,460000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT08M09.00S,2024-10-26T23:18:50.0Z,1,REGULAR,turnover,bad pass,[],1626179,,,1610612748,4,5,2024-10-26T23:18:58Z,470000,False,,,0,,T. Rozier bad pass TURNOVER (2 TO),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,2.0,,,,,,,,,,,,,
48,PT08M09.00S,2024-10-26T23:18:56.5Z,1,REGULAR,foul,personal,[],202710,,,1610612766,4,5,2024-10-26T23:19:10Z,480000,False,,,0,,J. Butler loose ball personal FOUL (1 PF),"[202710, 1628998]",1610612748.0,MIA,loose ball,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202026.0,1.0,0.0,Martin,1628998.0,,,,,,,,
51,PT07M54.00S,2024-10-26T23:19:41.0Z,1,REGULAR,turnover,out-of-bounds,[],1628970,,,1610612766,4,5,2024-10-26T23:19:46Z,510000,False,,,0,,M. Bridges bad pass out-of-bounds TURNOVER (1 TO),[1628970],1610612766.0,CHA,bad pass,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,1629178.0,,,,,,,,,,,,
52,PT07M42.00S,2024-10-26T23:19:55.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628389,13.485545335085414,27.450980392156865,1610612748,4,5,2024-10-26T23:20:03Z,520000,False,113.0,74.0,1,left,MISS B. Adebayo 13' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,13.5,Missed,,,,,,,,,,,,,,,,,,
53,PT07M40.00S,2024-10-26T23:19:57.7Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,4,5,2024-10-26T23:20:03Z,530000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Mid-Range,8-16 Right,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,,
54,PT07M23.00S,2024-10-26T23:20:14.7Z,1,REGULAR,2pt,Jump Shot,[],1628970,89.56964520367937,67.64705882352942,1610612766,6,5,2024-10-26T23:20:20Z,540000,False,88.0,46.0,1,right,M. Bridges 9' turnaround fadeaway Jump Shot (4 PTS),[1628970],1610612766.0,CHA,turnaround fadeaway,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,9.92,Made,,,,,,,,,,,,,4.0,,,,,
55,PT07M15.00S,2024-10-26T23:20:28.5Z,1,REGULAR,foul,personal,[],1630163,,,1610612748,6,5,2024-10-26T23:20:38Z,550000,False,,,0,,L. Ball personal FOUL (1 PF),"[1630163, 1631107]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1626300.0,1.0,0.0,Jović,1631107.0,,,,,,,,
57,PT07M05.00S,2024-10-26T23:20:55.7Z,1,REGULAR,3pt,Jump Shot,[],1628389,30.436925098554536,32.35294117647059,1610612748,6,5,2024-10-26T23:21:00Z,570000,False,88.0,234.0,1,left,MISS B. Adebayo 24' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,24.97,Missed,,,,,,,,,,,,,,,,,,
58,PT07M01.00S,2024-10-26T23:20:59.7Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,6,5,2024-10-26T23:21:00Z,580000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,
59,PT06M53.00S,2024-10-26T23:21:07.1Z,1,REGULAR,3pt,Jump Shot,[],1628970,66.17936925098554,30.392156862745097,1610612766,6,5,2024-10-26T23:21:12Z,590000,False,-98.0,265.0,1,right,MISS M. Bridges 28' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,28.29,Missed,,,,,,,,,,,,,,,,,,
60,PT06M51.00S,2024-10-26T23:21:09.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,6,5,2024-10-26T23:21:12Z,600000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Left Center,,,59.0,,,,,,,,,,,,,,,,,
62,PT06M51.00S,2024-10-26T23:21:16.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,6,5,2024-10-26T23:21:16Z,620000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M51.00S,2024-10-26T23:21:21.3Z,1,REGULAR,substitution,out,[],1630163,,,1610612766,6,5,2024-10-26T23:24:20Z,630000,False,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M51.00S,2024-10-26T23:21:21.3Z,1,REGULAR,substitution,out,[],1628970,,,1610612766,6,5,2024-10-26T23:24:20Z,640000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M51.00S,2024-10-26T23:21:21.3Z,1,REGULAR,substitution,out,[],1628998,,,1610612766,6,5,2024-10-26T23:24:20Z,650000,False,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M51.00S,2024-10-26T23:21:21.3Z,1,REGULAR,substitution,in,[],1629684,,,1610612766,6,5,2024-10-26T23:24:20Z,660000,False,,,0,,SUB in: G. Williams,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M51.00S,2024-10-26T23:21:21.3Z,1,REGULAR,substitution,in,[],1630544,,,1610612766,6,5,2024-10-26T23:24:20Z,670000,False,,,0,,SUB in: T. Mann,[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M51.00S,2024-10-26T23:21:21.3Z,1,REGULAR,substitution,in,[],203995,,,1610612766,6,5,2024-10-26T23:24:20Z,680000,False,,,0,,SUB in: V. Micić,[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M43.00S,2024-10-26T23:24:29.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203552,92.9862023653088,27.205882352941174,1610612766,8,5,2024-10-26T23:24:33Z,690000,False,-114.0,13.0,1,right,S. Curry 11' pullup Jump Shot (2 PTS) (N. Richards 1 AST),"[203552, 1630208]",1610612766.0,CHA,pullup,,,Curry,S. Curry,,,,,Mid-Range,8-16 Left,11.48,Made,,,,,,,,,,,,,2.0,N. Richards,1630208.0,1.0,,
70,PT06M21.00S,2024-10-26T23:24:52.3Z,1,REGULAR,2pt,Jump Shot,[],1629639,20.71287779237845,24.754901960784316,1610612748,8,7,2024-10-26T23:24:57Z,700000,False,126.0,142.0,1,left,T. Herro 19' step back Jump Shot (2 PTS),[1629639],1610612748.0,MIA,step back,,,Herro,T. Herro,,,,,Mid-Range,16-24 Right Center,19.01,Made,,,,,,,,,,,,,2.0,,,,,
72,PT06M04.00S,2024-10-26T23:25:08.7Z,1,REGULAR,3pt,Jump Shot,[],203552,67.09921156373193,40.19607843137255,1610612766,11,7,2024-10-26T23:25:12Z,710000,False,-49.0,257.0,1,right,S. Curry 26' 3PT pullup (5 PTS),[203552],1610612766.0,CHA,pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,26.14,Made,,,,,,,,,,,,,5.0,,,,,
73,PT05M39.00S,2024-10-26T23:25:34.4Z,1,REGULAR,2pt,Jump Shot,[],202710,7.966491458607096,76.9607843137255,1610612748,11,7,2024-10-26T23:27:21Z,720000,False,-135.0,22.0,1,left,MISS J. Butler 13' step back Shot,[202710],1610612748.0,MIA,step back,,,Butler,J. Butler,,,,,Mid-Range,8-16 Left,13.66,Missed,,,,,,,,,,,,,,,,,,
74,PT05M35.00S,2024-10-26T23:25:38.4Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,11,7,2024-10-26T23:25:40Z,730000,False,,,0,,N. Richards REBOUND (Off:0 Def:2),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Mid-Range,8-16 Left,,,73.0,2.0,2.0,0.0,,,,,,,,,,,,,,
75,PT05M28.00S,2024-10-26T23:25:44.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203552,67.09921156373193,36.76470588235294,1610612766,14,7,2024-10-26T23:28:11Z,740000,False,-66.0,257.0,1,right,S. Curry 26' 3PT running pullup (8 PTS),[203552],1610612766.0,CHA,running pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,26.52,Made,,,,,,,,,,,,,8.0,,,,,
77,PT05M21.00S,2024-10-26T23:25:57.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,14,7,2024-10-26T23:25:57Z,760000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M21.00S,2024-10-26T23:25:58.2Z,1,REGULAR,substitution,out,[],203552,,,1610612748,14,7,2024-10-26T23:28:30Z,770000,False,,,0,,SUB out: S. Curry,[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M21.00S,2024-10-26T23:25:58.2Z,1,REGULAR,substitution,out,[],202710,,,1610612748,14,7,2024-10-26T23:28:30Z,780000,False,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M21.00S,2024-10-26T23:25:58.2Z,1,REGULAR,substitution,in,[],1642275,,,1610612748,14,7,2024-10-26T23:28:30Z,790000,False,,,0,,SUB in: T. Salaün,[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M21.00S,2024-10-26T23:25:58.2Z,1,REGULAR,substitution,in,[],1631170,,,1610612748,14,7,2024-10-26T23:28:30Z,800000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M15.00S,2024-10-26T23:29:03.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,4.812746386333772,44.85294117647059,1610612748,14,9,2024-10-26T23:29:10Z,810000,False,26.0,-7.0,1,left,T. Rozier driving Layup (4 PTS) (J. Jaquez Jr. 1 AST),"[1626179, 1631170]",1610612748.0,MIA,driving,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,2.67,Made,,,,,,,,,,,,,4.0,J. Jaquez Jr.,1631170.0,1.0,,
84,PT05M02.00S,2024-10-26T23:29:16.9Z,1,REGULAR,2pt,Jump Shot,[],203995,69.99014454664915,42.8921568627451,1610612766,14,9,2024-10-26T23:29:21Z,830000,False,-36.0,230.0,1,right,MISS V. Micić 23' pullup Shot,[203995],1610612766.0,CHA,pullup,,,Micić,V. Micić,,,,,Mid-Range,16-24 Center,23.23,Missed,,,,,,,,,,,,,,,,,,
85,PT04M58.00S,2024-10-26T23:29:20.9Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612748,14,9,2024-10-26T23:29:21Z,840000,False,,,0,,T. Rozier REBOUND (Off:0 Def:2),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Center,,,84.0,2.0,2.0,0.0,,,,,,,,,,,,,,
88,PT04M51.00S,2024-10-26T23:29:52.8Z,1,REGULAR,foul,personal,['2freethrow'],203995,,,1610612748,14,9,2024-10-26T23:34:11Z,870000,False,,,0,,V. Micić shooting personal FOUL (1 PF) (Herro 2 FT),"[203995, 1629639]",1610612766.0,CHA,shooting,,,Micić,V. Micić,,,,,Restricted Area,0-8 Center,,,,,,,,1629178.0,1.0,0.0,Herro,1629639.0,,,,,,,,
90,PT04M51.00S,2024-10-26T23:30:30.5Z,1,REGULAR,freethrow,1 of 2,[],1629639,,,1610612748,14,9,2024-10-26T23:30:30Z,890000,False,,,0,,MISS T. Herro Free Throw 1 of 2,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
91,PT04M51.00S,2024-10-26T23:30:30.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,14,9,2024-10-26T23:30:30Z,900000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,
92,PT04M51.00S,2024-10-26T23:30:43.6Z,1,REGULAR,freethrow,2 of 2,[],1629639,,,1610612748,14,10,2024-10-26T23:30:43Z,910000,False,,,0,,T. Herro Free Throw 2 of 2 (3 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,,,,,,,,,,,,,3.0,,,,,
