actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
274,PT02M04.00S,2025-02-01T01:02:18.7Z,2,REGULAR,freethrow,1 of 2,[],201935,,,1610612746,44,45,2025-02-01T01:02:18Z,2680000,False,,,0,,J. Harden Free Throw 1 of 2 (3 PTS),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
275,PT02M04.00S,2025-02-01T01:02:19.6Z,2,REGULAR,substitution,out,[],201959,,,1610612746,44,45,2025-02-01T01:02:32Z,2690000,False,,,0,,SUB out: T. Gibson,[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,
276,PT02M04.00S,2025-02-01T01:02:19.6Z,2,REGULAR,substitution,out,[],1626181,,,1610612746,44,45,2025-02-01T01:02:32Z,2700000,False,,,0,,SUB out: N. Powell,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
277,PT02M04.00S,2025-02-01T01:02:19.6Z,2,REGULAR,substitution,in,[],1631217,,,1610612746,44,45,2025-02-01T01:02:32Z,2710000,False,,,0,,SUB in: M. Diabaté,[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,,,,,,,,
278,PT02M04.00S,2025-02-01T01:02:19.6Z,2,REGULAR,substitution,in,[],1629645,,,1610612746,44,45,2025-02-01T01:02:32Z,2720000,False,,,0,,SUB in: K. Porter Jr.,[1629645],1610612746.0,LAC,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
279,PT02M04.00S,2025-02-01T01:02:42.7Z,2,REGULAR,freethrow,2 of 2,[],201935,,,1610612746,44,46,2025-02-01T01:02:42Z,2730000,False,,,0,,J. Harden Free Throw 2 of 2 (4 PTS),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
280,PT01M53.00S,2025-02-01T01:02:55.8Z,2,REGULAR,2pt,Jump Shot,[],1642354,25.04927726675427,56.86274509803921,1610612766,44,46,2025-02-01T01:03:18Z,2740000,False,-34.0,183.0,1,left,MISS K. Simpson 18' pullup Shot,[1642354],1610612766.0,CHA,pullup,,,Simpson,K. Simpson,,,,,Mid-Range,16-24 Center,18.62,Missed,,,,,,,,,,,,,,,,,,
281,PT01M50.00S,2025-02-01T01:02:57.4Z,2,REGULAR,rebound,defensive,[],201935,,,1610612746,44,46,2025-02-01T01:02:57Z,2750000,False,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Center,,,,,,,280.0,2.0,2.0,0.0,,,,,,,,,,
282,PT01M45.00S,2025-02-01T01:03:02.6Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],201935,67.7562417871222,29.411764705882355,1610612746,44,46,2025-02-01T01:03:56Z,2760000,False,-103.0,251.0,1,right,MISS J. Harden 27' step back 3PT,[201935],1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,27.09,Missed,,,,,,,,,,,,,,,,,,
283,PT01M42.00S,2025-02-01T01:03:05.6Z,2,REGULAR,rebound,defensive,[],1629006,,,1610612766,44,46,2025-02-01T01:03:08Z,2770000,False,,,0,,J. Okogie REBOUND (Off:1 Def:1),[1629006],1610612766.0,CHA,,,,Okogie,J. Okogie,,,,,Above the Break 3,24+ Left Center,,,,,,,282.0,2.0,1.0,1.0,,,,,,,,,,
