actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
557,PT06M32.00S,2024-11-16T22:00:43.2Z,4,REGULAR,3pt,Jump Shot,[],1641748,93.11760840998686,96.56862745098039,1610612749,99,102,2024-11-16T22:00:54Z,5380000,False,233.0,12.0,1,right,A. Jackson Jr. 3PT  (11 PTS) (T. Prince 5 AST),"[1641748, 1627752]",1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Right Corner 3,24+ Right,23.31,Made,11.0,T. Prince,1627752.0,5.0,,,,,,,,,,,,,,
559,PT06M09.00S,2024-11-16T22:01:07.4Z,4,REGULAR,3pt,Jump Shot,[],1630163,30.699737187910642,21.568627450980394,1610612766,99,102,2024-11-16T22:03:52Z,5400000,False,142.0,236.0,1,left,MISS L. Ball 27' pullup 3PT,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,27.56,Missed,,,,,,,,,,,,,,,,,,
560,PT06M07.00S,2024-11-16T22:01:09.4Z,4,REGULAR,rebound,offensive,[],1630182,,,1610612766,99,102,2024-11-16T22:03:52Z,5410000,False,,,0,,J. Green REBOUND (Off:1 Def:3),[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,559.0,4.0,3.0,1.0,,
561,PT06M01.00S,2024-11-16T22:01:13.3Z,4,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630544,9.806176084099869,57.84313725490197,1610612766,101,102,2024-11-16T22:04:11Z,5420000,False,-39.0,40.0,1,left,T. Mann driving floating bank Jump Shot (11 PTS) (J. Green 4 AST),"[1630544, 1630182]",1610612766.0,CHA,driving floating bank,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,5.58,Made,11.0,J. Green,1630182.0,4.0,,,,,,,,,,,,,,
563,PT05M48.00S,2024-11-16T22:01:28.0Z,4,REGULAR,3pt,Jump Shot,[],1641748,91.80354796320631,95.09803921568627,1610612749,101,105,2024-11-16T22:01:42Z,5440000,False,225.0,25.0,1,right,A. Jackson Jr. 3PT  (14 PTS) (D. Wright 6 AST),"[1641748, 1626153]",1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Right Corner 3,24+ Right,22.68,Made,14.0,D. Wright,1626153.0,6.0,,,,,,,,,,,,,,
565,PT05M48.00S,2024-11-16T22:01:38.8Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,101,105,2024-11-16T22:01:38Z,5460000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,PT05M48.00S,2024-11-16T22:03:09.7Z,4,REGULAR,substitution,out,[],1628970,,,1610612766,101,105,2024-11-16T22:04:19Z,5470000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
567,PT05M48.00S,2024-11-16T22:03:09.7Z,4,REGULAR,substitution,out,[],1631217,,,1610612766,101,105,2024-11-16T22:04:19Z,5480000,False,,,0,,SUB out: M. Diabaté,[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,,,,,,,,
568,PT05M48.00S,2024-11-16T22:03:09.7Z,4,REGULAR,substitution,out,[],1630544,,,1610612766,101,105,2024-11-16T22:04:19Z,5490000,False,,,0,,SUB out: T. Mann,[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
569,PT05M48.00S,2024-11-16T22:03:09.7Z,4,REGULAR,substitution,out,[],1626171,,,1610612766,101,105,2024-11-16T22:04:19Z,5500000,False,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
570,PT05M48.00S,2024-11-16T22:03:09.7Z,4,REGULAR,substitution,out,[],1627752,,,1610612766,101,105,2024-11-16T22:04:19Z,5510000,False,,,0,,SUB out: T. Prince,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
571,PT05M48.00S,2024-11-16T22:03:09.7Z,4,REGULAR,substitution,in,[],1641706,,,1610612766,101,105,2024-11-16T22:04:19Z,5520000,False,,,0,,SUB in: B. Miller,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
572,PT05M48.00S,2024-11-16T22:03:09.7Z,4,REGULAR,substitution,in,[],1628998,,,1610612766,101,105,2024-11-16T22:04:19Z,5530000,False,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
573,PT05M48.00S,2024-11-16T22:03:09.7Z,4,REGULAR,substitution,in,[],1629684,,,1610612766,101,105,2024-11-16T22:04:19Z,5540000,False,,,0,,SUB in: G. Williams,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
