actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
32,PT09M30.00S,2025-02-22T02:48:36.3Z,1,REGULAR,block,,[],1631106,,,1610612750,7,8,2025-02-22T02:48:38Z,310000,False,,,0,,T. Eason BLOCK (1 BLK),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
33,PT09M28.00S,2025-02-22T02:48:38.3Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,7,8,2025-02-22T02:48:42Z,320000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,
34,PT09M24.00S,2025-02-22T02:48:42.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631106,7.440867279894875,52.69607843137255,1610612745,9,8,2025-02-22T02:48:54Z,330000,False,-13.0,17.0,1,left,T. Eason running finger roll Layup (2 PTS) (A. Thompson 1 AST),"[1631106, 1641708]",1610612745.0,HOU,running finger roll,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,2.2,Made,2.0,,,,,,A. Thompson,1641708.0,1.0,,,,,,,,,
36,PT09M06.00S,2025-02-22T02:49:04.5Z,1,REGULAR,foul,personal,['2freethrow'],1628415,,,1610612750,9,8,2025-02-22T02:49:12Z,350000,False,,,0,,D. Brooks shooting personal FOUL (1 PF) (McDaniels 2 FT),"[1628415, 1630183]",1610612745.0,HOU,shooting,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,1627534.0,1.0,0.0,McDaniels,1630183.0,,,,,,,,,,,,
38,PT09M06.00S,2025-02-22T02:49:25.3Z,1,REGULAR,freethrow,1 of 2,[],1630183,,,1610612750,9,9,2025-02-22T02:49:25Z,370000,False,,,0,,J. McDaniels Free Throw 1 of 2 (3 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
39,PT09M06.00S,2025-02-22T02:49:39.6Z,1,REGULAR,freethrow,2 of 2,[],1630183,,,1610612750,9,10,2025-02-22T02:49:39Z,380000,False,,,0,,J. McDaniels Free Throw 2 of 2 (4 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
40,PT08M47.00S,2025-02-22T02:50:00.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,11.777266754270697,51.9607843137255,1610612745,11,10,2025-02-22T02:50:04Z,390000,False,-10.0,58.0,1,left,A. Sengun driving Hook (6 PTS),[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,5.9,Made,6.0,,,,,,,,,,,,,,,,,
41,PT08M36.00S,2025-02-22T02:50:11.4Z,1,REGULAR,3pt,Jump Shot,[],1629675,70.38436268068331,24.509803921568626,1610612750,11,10,2025-02-22T02:50:16Z,400000,False,-127.0,226.0,1,right,MISS N. Reid 25' step back 3PT,[1629675],1610612750.0,MIN,step back,,,Reid,N. Reid,,,,,Above the Break 3,24+ Left Center,25.94,Missed,,,,,,,,,,,,,,,,,,
42,PT08M35.00S,2025-02-22T02:50:12.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,11,10,2025-02-22T02:50:27Z,410000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,41.0,,,,,,,
43,PT08M35.00S,2025-02-22T02:50:16.4Z,1,REGULAR,foul,personal,[],1630578,,,1610612750,11,10,2025-02-22T02:50:31Z,420000,False,,,0,,A. Sengun loose ball personal FOUL (2 PF),"[1630578, 1629638]",1610612745.0,HOU,loose ball,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,202007.0,2.0,0.0,Alexander-Walker,1629638.0,,,,,,,,,,,,
45,PT08M35.00S,2025-02-22T02:50:36.3Z,1,REGULAR,substitution,out,[],1630578,,,1610612750,11,10,2025-02-22T02:50:44Z,440000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M35.00S,2025-02-22T02:50:36.3Z,1,REGULAR,substitution,in,[],1631095,,,1610612750,11,10,2025-02-22T02:50:44Z,450000,False,,,0,,SUB in: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M33.00S,2025-02-22T02:50:56.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630162,92.72339027595268,50.98039215686274,1610612750,11,12,2025-02-22T02:51:01Z,460000,False,5.0,16.0,1,right,A. Edwards cutting DUNK (2 PTS) (M. Conley 2 AST),"[1630162, 201144]",1610612750.0,MIN,cutting,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,1.66,Made,2.0,,,,,,M. Conley,201144.0,2.0,,,,,,,,,
49,PT08M18.00S,2025-02-22T02:51:12.4Z,1,REGULAR,3pt,Jump Shot,[],1630224,31.882391590013142,35.53921568627451,1610612745,14,12,2025-02-22T02:51:20Z,480000,False,72.0,247.0,1,left,J. Green 25' 3PT pullup (3 PTS) (D. Brooks 1 AST),"[1630224, 1628415]",1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Center,25.76,Made,3.0,,,,,,D. Brooks,1628415.0,1.0,,,,,,,,,
51,PT08M18.00S,2025-02-22T02:51:17.2Z,1,REGULAR,foul,personal,['1freethrow'],201144,,,1610612745,14,12,2025-02-22T02:51:28Z,500000,False,,,0,,M. Conley shooting personal FOUL (2 PF) (Green 1 FT),"[201144, 1630224]",1610612750.0,MIN,shooting,,,Conley,M. Conley,,,,,Above the Break 3,24+ Center,,,,1626301.0,2.0,0.0,Green,1630224.0,,,,,,,,,,,,
53,PT08M18.00S,2025-02-22T02:51:45.8Z,1,REGULAR,freethrow,1 of 1,[],1630224,,,1610612745,14,12,2025-02-22T02:51:49Z,520000,False,,,0,,MISS J. Green Free Throw 1 of 1,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
54,PT08M18.00S,2025-02-22T02:51:45.8Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,14,12,2025-02-22T02:51:49Z,530000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:2),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,53.0,2.0,2.0,0.0,,,,
55,PT07M59.00S,2025-02-22T02:52:03.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629675,90.75229960578186,36.029411764705884,1610612750,14,14,2025-02-22T02:52:09Z,540000,False,-70.0,34.0,1,right,N. Reid 7' turnaround bank Hook (5 PTS),[1629675],1610612750.0,MIN,turnaround bank,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,7.79,Made,5.0,,,,,,,,,,,,,,,,,
56,PT07M46.00S,2025-02-22T02:52:15.6Z,1,REGULAR,3pt,Jump Shot,[],1631106,18.2161629434954,6.372549019607843,1610612745,14,14,2025-02-22T02:52:21Z,550000,False,218.0,119.0,1,left,MISS T. Eason 24' 3PT,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Above the Break 3,24+ Right Center,24.83,Missed,,,,,,,,,,,,,,,,,,
57,PT07M45.00S,2025-02-22T02:52:16.6Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,14,14,2025-02-22T02:52:21Z,560000,False,,,0,,N. Reid REBOUND (Off:0 Def:1),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,56.0,1.0,1.0,0.0,,,,
58,PT07M36.00S,2025-02-22T02:52:26.6Z,1,REGULAR,3pt,Jump Shot,[],1630162,72.48685939553219,19.362745098039216,1610612750,14,14,2025-02-22T02:52:33Z,570000,False,-153.0,206.0,1,right,MISS A. Edwards 25' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,25.68,Missed,,,,,,,,,,,,,,,,,,
59,PT07M34.00S,2025-02-22T02:52:28.6Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,14,14,2025-02-22T02:52:33Z,580000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,58.0,1.0,1.0,0.0,,,,
60,PT07M27.00S,2025-02-22T02:52:34.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628415,25.04927726675427,84.31372549019608,1610612745,17,14,2025-02-22T02:54:04Z,590000,False,-172.0,183.0,1,left,D. Brooks 25' 3PT step back (3 PTS),[1628415],1610612745.0,HOU,step back,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,25.09,Made,3.0,,,,,,,,,,,,,,,,,
61,PT07M13.00S,2025-02-22T02:52:49.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630162,93.11760840998686,49.50980392156863,1610612750,17,14,2025-02-22T02:52:53Z,600000,False,-2.0,12.0,1,right,MISS A. Edwards driving DUNK,[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,1.25,Missed,,,,,,,,,,,,,,,,,,
62,PT07M11.00S,2025-02-22T02:52:51.0Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,17,14,2025-02-22T02:52:53Z,610000,False,,,0,,D. Brooks REBOUND (Off:0 Def:2),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,61.0,2.0,2.0,0.0,,,,
63,PT07M09.00S,2025-02-22T02:52:54.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628415,6.1268068331143235,49.26470588235294,1610612745,19,14,2025-02-22T02:53:40Z,620000,False,4.0,5.0,1,left,D. Brooks running finger roll Layup (5 PTS),[1628415],1610612745.0,HOU,running finger roll,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,0.63,Made,5.0,,,,,,,,,,,,,,,,,
