actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
24,PT09M36.00S,2024-12-12T02:57:05.0Z,1,REGULAR,steal,,[],201939,,,1610612744,4,2,2024-12-12T02:57:06Z,240000,False,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
27,PT09M30.00S,2024-12-12T02:57:14.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627741,93.77463863337714,44.6078431372549,1610612744,4,4,2024-12-12T03:00:13Z,270000,False,-27.0,6.0,1,right,B. Hield running finger roll Layup (2 PTS) (S. Curry 1 AST),"[1627741, 201939]",1610612744.0,GSW,running finger roll,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,2.77,Made,,,,,,,,,,2.0,,S. Curry,201939.0,1.0,,,,
29,PT09M11.00S,2024-12-12T02:57:28.8Z,1,REGULAR,3pt,Jump Shot,[],1631095,25.04927726675427,16.911764705882355,1610612745,7,4,2024-12-12T03:00:32Z,290000,False,165.0,183.0,1,left,J. Smith Jr. 24' 3PT  (3 PTS) (A. Sengun 1 AST),"[1631095, 1630578]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,24.67,Made,,,,,,,,,,3.0,,A. Sengun,1630578.0,1.0,,,,
31,PT08M56.00S,2024-12-12T02:57:43.8Z,1,REGULAR,3pt,Jump Shot,[],1627780,93.77463863337714,97.54901960784314,1610612744,7,4,2024-12-12T03:00:57Z,310000,False,238.0,6.0,1,right,MISS G. Payton II 3PT,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,Right Corner 3,24+ Right,23.78,Missed,,,,,,,,,,,,,,,,,,
32,PT08M54.00S,2024-12-12T02:57:45.8Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,7,4,2024-12-12T03:00:57Z,320000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Right Corner 3,24+ Right,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,
33,PT08M48.00S,2024-12-12T02:57:53.0Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1627832,13.009198423127472,11.741727941176478,1610612745,7,4,2024-12-12T03:01:34Z,330000,False,191.0,70.0,1,left,MISS F. VanVleet 20' running pullup Shot,[1627832],1610612745.0,HOU,running pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Right,20.36,Missed,,,,,,,,,,,,,,,,,,
34,PT08M46.00S,2024-12-12T02:57:55.0Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,7,4,2024-12-12T03:01:27Z,340000,False,,,0,,G. Payton II REBOUND (Off:0 Def:2),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,Mid-Range,16-24 Right,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,
35,PT08M30.00S,2024-12-12T02:58:09.8Z,1,REGULAR,3pt,Jump Shot,[],203110,73.27529566360053,19.362745098039216,1610612744,7,4,2024-12-12T02:58:16Z,350000,False,-153.0,199.0,1,right,MISS D. Green 25' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,25.09,Missed,,,,,,,,,,,,,,,,,,
36,PT08M28.00S,2024-12-12T02:58:11.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,7,4,2024-12-12T02:58:16Z,360000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,35.0,,,,,,,,,,,,,,,
38,PT08M23.00S,2024-12-12T02:58:32.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201939,90.88370565045992,4.411764705882353,1610612744,7,7,2024-12-12T02:58:36Z,380000,False,-228.0,33.0,1,right,S. Curry 3PT  (3 PTS) (D. Green 2 AST),"[201939, 203110]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Left Corner 3,24+ Left,23.03,Made,,,,,,,,,,3.0,,D. Green,203110.0,2.0,,,,
40,PT08M05.00S,2024-12-12T02:58:50.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,6.521024967148489,52.94117647058824,1610612745,9,7,2024-12-12T02:58:55Z,400000,False,-15.0,9.0,1,left,A. Sengun driving reverse Layup (4 PTS) (D. Brooks 1 AST),"[1630578, 1628415]",1610612745.0,HOU,driving reverse,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.71,Made,,,,,,,,,,4.0,,D. Brooks,1628415.0,1.0,,,,
42,PT08M01.00S,2024-12-12T02:58:54.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627780,92.72339027595268,51.71568627450981,1610612744,9,9,2024-12-12T02:59:15Z,420000,False,9.0,16.0,1,right,G. Payton II driving DUNK (2 PTS) (S. Curry 2 AST),"[1627780, 201939]",1610612744.0,GSW,driving,,,Payton II,G. Payton II,,,,,Restricted Area,0-8 Center,1.81,Made,,,,,,,,,,2.0,,S. Curry,201939.0,2.0,,,,
44,PT07M43.00S,2024-12-12T02:59:14.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631095,16.90210249671485,62.745098039215684,1610612745,11,9,2024-12-12T03:02:49Z,440000,False,-64.0,106.0,1,left,J. Smith Jr. 12' pullup Jump Shot (5 PTS),[1631095],1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Left,12.4,Made,,,,,,,,,,5.0,,,,,,,,
45,PT07M24.00S,2024-12-12T02:59:32.7Z,1,REGULAR,3pt,Jump Shot,[],1630228,81.553876478318,93.62745098039215,1610612744,11,9,2024-12-12T03:03:05Z,450000,False,218.0,121.0,1,right,MISS J. Kuminga 24' pullup 3PT,[1630228],1610612744.0,GSW,pullup,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Right Center,24.94,Missed,,,,,,,,,,,,,,,,,,
46,PT07M22.00S,2024-12-12T02:59:34.7Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,11,9,2024-12-12T03:03:05Z,460000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,
47,PT07M17.00S,2024-12-12T02:59:43.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,11.777266754270697,63.725490196078425,1610612745,11,9,2024-12-12T03:03:55Z,470000,False,-69.0,58.0,1,left,MISS J. Green 9' driving Layup - blocked,"[1630224, 1630228]",1610612745.0,HOU,driving,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Left,9.0,Missed,Kuminga,1630228.0,,,,,,,,,,,,,,,,
48,PT07M17.00S,2024-12-12T02:59:43.7Z,1,REGULAR,block,,[],1630228,,,1610612745,11,9,2024-12-12T03:02:03Z,480000,False,,,0,,J. Kuminga BLOCK (1 BLK),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
49,PT07M15.00S,2024-12-12T02:59:45.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,11,9,2024-12-12T03:03:55Z,490000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,47.0,,,,,,,,,,,,,,,
51,PT07M15.00S,2024-12-12T02:59:55.8Z,1,REGULAR,substitution,out,[],1627780,,,1610612744,11,9,2024-12-12T02:59:59Z,510000,False,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M15.00S,2024-12-12T02:59:55.8Z,1,REGULAR,substitution,in,[],1630322,,,1610612744,11,9,2024-12-12T02:59:59Z,520000,False,,,0,,SUB in: L. Waters III,[1630322],1610612744.0,GSW,,,,Waters III,L. Waters III,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M01.00S,2024-12-12T03:00:11.0Z,1,REGULAR,3pt,Jump Shot,[],1630228,93.77463863337714,97.30392156862744,1610612744,11,12,2024-12-12T03:00:15Z,530000,False,237.0,6.0,1,right,J. Kuminga 3PT  (5 PTS) (L. Waters III 1 AST),"[1630228, 1630322]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Right Corner 3,24+ Right,23.66,Made,,,,,,,,,,5.0,,L. Waters III,1630322.0,1.0,,,,
55,PT06M37.00S,2024-12-12T03:00:36.3Z,1,REGULAR,2pt,Jump Shot,[],1630224,18.084756898817346,18.38235294117647,1610612745,11,12,2024-12-12T03:04:49Z,550000,False,158.0,117.0,1,left,MISS J. Green 19' step back Shot,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,19.7,Missed,,,,,,,,,,,,,,,,,,
56,PT06M35.00S,2024-12-12T03:00:38.3Z,1,REGULAR,rebound,offensive,[],1628415,,,1610612745,11,12,2024-12-12T03:04:49Z,560000,False,,,0,,D. Brooks REBOUND (Off:1 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Right Center,,,,,55.0,2.0,1.0,1.0,,,,,,,,,,,,
57,PT06M33.00S,2024-12-12T03:00:41.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627832,31.225361366622867,75.0,1610612745,11,12,2024-12-12T03:05:06Z,570000,False,-125.0,241.0,1,left,MISS F. VanVleet 27' 3PT,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,27.15,Missed,,,,,,,,,,,,,,,,,,
58,PT06M30.00S,2024-12-12T03:00:44.5Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,11,12,2024-12-12T03:05:06Z,580000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,
59,PT06M16.00S,2024-12-12T03:00:56.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630228,85.89027595269383,43.872549019607845,1610612744,11,12,2024-12-12T03:01:03Z,590000,False,-31.0,80.0,1,right,MISS J. Kuminga 8' fadeaway Shot,[1630228],1610612744.0,GSW,fadeaway,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),8-16 Center,8.57,Missed,,,,,,,,,,,,,,,,,,
60,PT06M15.00S,2024-12-12T03:00:57.4Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,11,12,2024-12-12T03:01:03Z,600000,False,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,,59.0,2.0,1.0,1.0,,,,,,,,,,,,
61,PT05M55.00S,2024-12-12T03:01:15.7Z,1,REGULAR,2pt,Jump Shot,[],1630578,14.931011826544022,69.11764705882352,1610612745,13,12,2024-12-12T03:01:21Z,610000,False,-96.0,88.0,1,left,A. Sengun 12' turnaround fadeaway Jump Shot (6 PTS),[1630578],1610612745.0,HOU,turnaround fadeaway,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,12.99,Made,,,,,,,,,,6.0,,,,,,,,
62,PT05M45.00S,2024-12-12T03:01:27.8Z,1,REGULAR,3pt,Jump Shot,[],201939,65.91655716162943,62.99019607843137,1610612744,13,12,2024-12-12T03:05:47Z,620000,False,65.0,268.0,1,right,MISS S. Curry 27' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,27.57,Missed,,,,,,,,,,,,,,,,,,
63,PT05M43.00S,2024-12-12T03:01:29.8Z,1,REGULAR,rebound,offensive,[],1630228,,,1610612744,13,12,2024-12-12T03:05:47Z,630000,False,,,0,,J. Kuminga REBOUND (Off:1 Def:0),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Center,,,,,62.0,1.0,0.0,1.0,,,,,,,,,,,,
64,PT05M41.00S,2024-12-12T03:01:33.8Z,1,REGULAR,foul,personal,['2freethrow'],1630224,,,1610612744,13,12,2024-12-12T03:01:48Z,640000,False,,,0,,J. Green shooting personal FOUL (1 PF) (Kuminga 2 FT),"[1630224, 1630228]",1610612745.0,HOU,shooting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628159.0,,,,1.0,0.0,Kuminga,1630228.0
66,PT05M41.00S,2024-12-12T03:01:51.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,13,12,2024-12-12T03:01:51Z,660000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M41.00S,2024-12-12T03:04:47.0Z,1,REGULAR,substitution,out,[],1630224,,,1610612744,13,12,2024-12-12T03:05:26Z,670000,False,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M41.00S,2024-12-12T03:04:47.0Z,1,REGULAR,substitution,out,[],1630578,,,1610612744,13,12,2024-12-12T03:05:26Z,680000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M41.00S,2024-12-12T03:04:47.0Z,1,REGULAR,substitution,out,[],203110,,,1610612744,13,12,2024-12-12T03:05:26Z,690000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M41.00S,2024-12-12T03:04:47.0Z,1,REGULAR,substitution,out,[],201939,,,1610612744,13,12,2024-12-12T03:05:26Z,700000,False,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M41.00S,2024-12-12T03:04:47.0Z,1,REGULAR,substitution,in,[],1641708,,,1610612744,13,12,2024-12-12T03:05:26Z,710000,False,,,0,,SUB in: A. Thompson,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M41.00S,2024-12-12T03:04:47.0Z,1,REGULAR,substitution,in,[],1631106,,,1610612744,13,12,2024-12-12T03:05:26Z,720000,False,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M41.00S,2024-12-12T03:04:47.0Z,1,REGULAR,substitution,in,[],1641764,,,1610612744,13,12,2024-12-12T03:05:26Z,730000,False,,,0,,SUB in: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M41.00S,2024-12-12T03:04:47.0Z,1,REGULAR,substitution,in,[],1626172,,,1610612744,13,12,2024-12-12T03:05:26Z,740000,False,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M41.00S,2024-12-12T03:05:28.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630228,,,1610612744,13,12,2024-12-12T03:05:28Z,750000,False,,,0,,MISS J. Kuminga Free Throw 1 of 2,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
81,PT05M41.00S,2024-12-12T03:05:28.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,13,12,2024-12-12T03:05:28Z,760000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,
82,PT05M41.00S,2024-12-12T03:05:45.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630228,,,1610612744,13,13,2024-12-12T03:05:45Z,770000,False,,,0,,J. Kuminga Free Throw 2 of 2 (6 PTS),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,Made,,,,,,,,,,6.0,,,,,,,,
83,PT05M19.00S,2024-12-12T03:06:11.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627832,17.0335085413929,50.73529411764706,1610612745,13,13,2024-12-12T03:07:35Z,780000,False,-4.0,108.0,1,left,MISS F. VanVleet 10' driving floating Shot,[1627832],1610612745.0,HOU,driving floating,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,10.77,Missed,,,,,,,,,,,,,,,,,,
84,PT05M17.00S,2024-12-12T03:06:13.9Z,1,REGULAR,rebound,defensive,[],1630322,,,1610612744,13,13,2024-12-12T03:07:35Z,790000,False,,,0,,L. Waters III REBOUND (Off:0 Def:1),[1630322],1610612744.0,GSW,,,,Waters III,L. Waters III,,,,,In The Paint (Non-RA),8-16 Center,,,,,83.0,1.0,1.0,0.0,,,,,,,,,,,,
85,PT05M03.00S,2024-12-12T03:06:26.8Z,1,REGULAR,3pt,Jump Shot,[],1627741,65.78515111695138,18.627450980392158,1610612744,13,13,2024-12-12T03:06:33Z,800000,False,-157.0,269.0,1,right,MISS B. Hield 31' 3PT,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,31.15,Missed,,,,,,,,,,,,,,,,,,
