actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
20,PT11M11.00S,2024-11-24T01:13:12.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630578,92.46057818659659,58.57843137254902,1610612745,1,0,2024-11-24T01:13:18Z,190000,False,43.0,18.0,1,right,MISS A. Sengun driving Layup - blocked,"[1630578, 1642270]",1610612745.0,HOU,driving,,,,,,In The Paint (Non-RA),0-8 Center,,,,Sengun,A. Sengun,,,4.67,Missed,,,,,,,Clingan,1642270.0,,,,,
21,PT11M11.00S,2024-11-24T01:13:12.6Z,1,REGULAR,block,,[],1642270,,,1610612745,1,0,2024-11-24T01:13:14Z,200000,False,,,0,,D. Clingan BLOCK (1 BLK),[1642270],1610612757.0,POR,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Clingan,D. Clingan,,,,,,,,,,,,,,,,,
22,PT11M09.00S,2024-11-24T01:13:14.6Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,1,0,2024-11-24T01:13:29Z,210000,False,,,0,,A. Sengun REBOUND (Off:1 Def:0),[1630578],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Sengun,A. Sengun,,,,,20.0,1.0,0.0,1.0,,,,,,,,,
23,PT11M07.00S,2024-11-24T01:13:17.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630578,93.24901445466492,53.18627450980392,1610612745,3,0,2024-11-24T01:13:21Z,220000,False,16.0,11.0,1,right,A. Sengun Layup (2 PTS),[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,,Sengun,A. Sengun,,,1.93,Made,,,,,2.0,,,,,,,,
24,PT10M51.00S,2024-11-24T01:13:32.1Z,1,REGULAR,3pt,Jump Shot,[],1629014,31.225361366622867,73.77450980392157,1610612757,3,3,2024-11-24T01:13:40Z,230000,False,-119.0,241.0,1,left,A. Simons 26' 3PT step back (3 PTS),[1629014],1610612757.0,POR,step back,,,,,,Above the Break 3,24+ Left Center,,,,Simons,A. Simons,,,26.87,Made,,,,,3.0,,,,,,,,
25,PT10M39.00S,2024-11-24T01:13:43.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,82.34231274638634,47.794117647058826,1610612745,3,3,2024-11-24T01:13:51Z,240000,False,-11.0,113.0,1,right,MISS A. Sengun 11' floating Shot,[1630578],1610612745.0,HOU,floating,,,,,,In The Paint (Non-RA),8-16 Center,,,,Sengun,A. Sengun,,,11.4,Missed,,,,,,,,,,,,,
26,PT10M36.00S,2024-11-24T01:13:46.7Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,3,3,2024-11-24T01:13:51Z,250000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Camara,T. Camara,,,,,25.0,1.0,1.0,0.0,,,,,,,,,
27,PT10M32.00S,2024-11-24T01:13:51.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629014,28.07161629434954,20.098039215686274,1610612757,3,3,2024-11-24T01:14:48Z,260000,False,150.0,211.0,1,left,MISS A. Simons 25' running pullup 3PT,[1629014],1610612757.0,POR,running pullup,,,,,,Above the Break 3,24+ Right Center,,,,Simons,A. Simons,,,25.89,Missed,,,,,,,,,,,,,
28,PT10M29.00S,2024-11-24T01:13:54.1Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,3,3,2024-11-24T01:14:48Z,270000,False,,,0,,D. Clingan REBOUND (Off:1 Def:0),[1642270],1610612757.0,POR,,,,,,,Above the Break 3,24+ Right Center,,,,Clingan,D. Clingan,,,,,27.0,1.0,0.0,1.0,,,,,,,,,
29,PT10M23.00S,2024-11-24T01:13:59.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631101,27.283180026281208,84.55882352941177,1610612757,3,6,2024-11-24T01:14:08Z,280000,False,-173.0,204.0,1,left,S. Sharpe 26' 3PT  (3 PTS) (A. Simons 1 AST),"[1631101, 1629014]",1610612757.0,POR,,,,,,,Above the Break 3,24+ Left Center,,,,Sharpe,S. Sharpe,,,26.73,Made,,,,,3.0,,,,A. Simons,1629014.0,1.0,,
31,PT10M10.00S,2024-11-24T01:14:12.7Z,1,REGULAR,2pt,Jump Shot,[],1630224,78.26872536136662,27.450980392156865,1610612745,3,6,2024-11-24T01:14:25Z,300000,False,-113.0,152.0,1,right,MISS J. Green 18' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,,,,Mid-Range,16-24 Left Center,,,,Green,J. Green,,,18.91,Missed,,,,,,,,,,,,,
32,PT10M09.00S,2024-11-24T01:14:13.7Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,3,6,2024-11-24T01:14:25Z,310000,False,,,0,,D. Clingan REBOUND (Off:1 Def:1),[1642270],1610612757.0,POR,,,,,,,Mid-Range,16-24 Left Center,,,,Clingan,D. Clingan,,,,,31.0,2.0,1.0,1.0,,,,,,,,,
33,PT10M03.00S,2024-11-24T01:14:20.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629014,9.280551905387648,39.950980392156865,1610612757,3,8,2024-11-24T01:14:30Z,320000,False,50.0,35.0,1,left,A. Simons 6' running Layup (5 PTS),[1629014],1610612757.0,POR,running,,,,,,In The Paint (Non-RA),0-8 Center,,,,Simons,A. Simons,,,6.1,Made,,,,,5.0,,,,,,,,
35,PT09M46.00S,2024-11-24T01:14:36.5Z,1,REGULAR,2pt,Jump Shot,[],1631095,90.48948751642575,25.49019607843137,1610612745,3,8,2024-11-24T01:14:43Z,340000,False,-123.0,37.0,1,right,MISS J. Smith Jr. 12' turnaround fadeaway Shot,[1631095],1610612745.0,HOU,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,,,,Smith Jr.,J. Smith Jr.,,,12.79,Missed,,,,,,,,,,,,,
36,PT09M45.00S,2024-11-24T01:14:37.5Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,3,8,2024-11-24T01:14:43Z,350000,False,,,0,,D. Clingan REBOUND (Off:1 Def:2),[1642270],1610612757.0,POR,,,,,,,Mid-Range,8-16 Left,,,,Clingan,D. Clingan,,,,,35.0,3.0,2.0,1.0,,,,,,,,,
37,PT09M35.00S,2024-11-24T01:14:48.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631101,12.434296977660972,59.80392156862745,1610612757,3,8,2024-11-24T01:15:04Z,360000,False,-49.0,64.0,1,left,MISS S. Sharpe 8' pullup Shot,[1631101],1610612757.0,POR,pullup,,,,,,In The Paint (Non-RA),8-16 Left,,,,Sharpe,S. Sharpe,,,8.09,Missed,,,,,,,,,,,,,
38,PT09M31.00S,2024-11-24T01:14:52.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,3,8,2024-11-24T01:15:04Z,370000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,37.0,,,,,,,,,,,,
40,PT09M15.00S,2024-11-24T01:15:22.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,85.10183968462549,55.14705882352941,1610612745,3,8,2024-11-24T01:15:30Z,390000,False,26.0,88.0,1,right,MISS A. Sengun 9' turnaround fadeaway Shot,[1630578],1610612745.0,HOU,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,,,,Sengun,A. Sengun,,,9.12,Missed,,,,,,,,,,,,,
41,PT09M12.00S,2024-11-24T01:15:25.4Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,3,8,2024-11-24T01:15:30Z,400000,False,,,0,,T. Camara REBOUND (Off:0 Def:2),[1641739],1610612757.0,POR,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Camara,T. Camara,,,,,40.0,2.0,2.0,0.0,,,,,,,,,
42,PT09M07.00S,2024-11-24T01:15:29.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641739,9.806176084099869,48.03921568627451,1610612757,3,8,2024-11-24T01:16:19Z,410000,False,10.0,40.0,1,left,MISS T. Camara running Layup,[1641739],1610612757.0,POR,running,,,,,,Restricted Area,0-8 Center,,,,Camara,T. Camara,,,4.09,Missed,,,,,,,,,,,,,
43,PT09M05.00S,2024-11-24T01:15:31.6Z,1,REGULAR,rebound,offensive,[],1641739,,,1610612757,3,8,2024-11-24T01:15:38Z,420000,False,,,0,,T. Camara REBOUND (Off:1 Def:2),[1641739],1610612757.0,POR,,,,,,,Restricted Area,0-8 Center,,,,Camara,T. Camara,,,,,42.0,3.0,2.0,1.0,,,,,,,,,
44,PT09M05.00S,2024-11-24T01:15:33.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1641739,5.590000152587891,50.0,1610612757,3,10,2024-11-24T01:31:53Z,430000,False,0.0,0.0,1,left,T. Camara tip Layup (2 PTS),[1641739],1610612757.0,POR,tip,,,,,,Restricted Area,0-8 Center,,,,Camara,T. Camara,,,0.0,Made,,,,,2.0,,,,,,,,
45,PT09M05.00S,2024-11-24T01:15:36.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,3,10,2024-11-24T01:15:36Z,440000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M43.00S,2024-11-24T01:19:02.7Z,1,REGULAR,3pt,Jump Shot,[],1627832,78.9257555847569,93.87254901960785,1610612745,3,10,2024-11-24T01:19:08Z,460000,False,219.0,146.0,1,right,MISS F. VanVleet 26' 3PT,[1627832],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,,VanVleet,F. VanVleet,,,26.33,Missed,,,,,,,,,,,,,
48,PT08M41.00S,2024-11-24T01:19:04.7Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,3,10,2024-11-24T01:19:08Z,470000,False,,,0,,D. Clingan REBOUND (Off:1 Def:3),[1642270],1610612757.0,POR,,,,,,,Above the Break 3,24+ Right Center,,,,Clingan,D. Clingan,,,,,47.0,4.0,3.0,1.0,,,,,,,,,
49,PT08M34.00S,2024-11-24T01:19:13.8Z,1,REGULAR,foul,personal,[],1627832,,,1610612757,3,10,2024-11-24T01:19:23Z,480000,False,,,0,,F. VanVleet personal FOUL (1 PF),"[1627832, 1629014]",1610612745.0,HOU,,,,,,,Mid-Range,8-16 Left,1628951.0,1.0,0.0,VanVleet,F. VanVleet,Simons,1629014.0,,,,,,,,,,,,,,,
51,PT08M25.00S,2024-11-24T01:19:43.9Z,1,REGULAR,2pt,Jump Shot,[],1631101,21.369908015768726,33.57843137254902,1610612757,3,10,2024-11-24T01:19:50Z,500000,False,82.0,148.0,1,left,MISS S. Sharpe 16' pullup Shot,[1631101],1610612757.0,POR,pullup,,,,,,Mid-Range,16-24 Right Center,,,,Sharpe,S. Sharpe,,,16.96,Missed,,,,,,,,,,,,,
52,PT08M22.00S,2024-11-24T01:19:46.9Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,3,10,2024-11-24T01:19:50Z,510000,False,,,0,,D. Clingan REBOUND (Off:2 Def:3),[1642270],1610612757.0,POR,,,,,,,Mid-Range,16-24 Right Center,,,,Clingan,D. Clingan,,,,,51.0,5.0,3.0,2.0,,,,,,,,,
53,PT08M19.00S,2024-11-24T01:19:50.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203924,22.946780551905388,89.70588235294117,1610612757,3,10,2024-11-24T01:19:55Z,520000,False,-199.0,163.0,1,left,MISS J. Grant 25' 3PT,[203924],1610612757.0,POR,,,,,,,Above the Break 3,24+ Left Center,,,,Grant,J. Grant,,,25.7,Missed,,,,,,,,,,,,,
54,PT08M16.00S,2024-11-24T01:19:53.1Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,3,10,2024-11-24T01:19:55Z,530000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:1),[1631095],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,,Smith Jr.,J. Smith Jr.,,,,,53.0,2.0,1.0,1.0,,,,,,,,,
55,PT08M12.00S,2024-11-24T01:19:57.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627832,93.77463863337714,41.911764705882355,1610612745,5,10,2024-11-24T01:20:05Z,540000,False,-40.0,6.0,1,right,F. VanVleet running Layup (2 PTS) (J. Smith Jr. 1 AST),"[1627832, 1631095]",1610612745.0,HOU,running,,,,,,Restricted Area,0-8 Center,,,,VanVleet,F. VanVleet,,,4.08,Made,,,,,2.0,,,,J. Smith Jr.,1631095.0,1.0,,
57,PT07M59.00S,2024-11-24T01:20:09.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,7.966491458607096,55.63725490196079,1610612757,5,12,2024-11-24T01:20:18Z,560000,False,-28.0,22.0,1,left,J. Grant driving finger roll Layup (2 PTS),[203924],1610612757.0,POR,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Grant,J. Grant,,,3.6,Made,,,,,2.0,,,,,,,,
58,PT07M45.00S,2024-11-24T01:20:23.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,90.62089356110381,49.26470588235294,1610612745,7,12,2024-11-24T01:20:28Z,570000,False,-4.0,36.0,1,right,J. Green Layup (2 PTS),[1630224],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,,Green,J. Green,,,3.59,Made,,,,,2.0,,,,,,,,
59,PT07M33.00S,2024-11-24T01:20:37.7Z,1,REGULAR,turnover,out-of-bounds,[],1641739,,,1610612757,7,12,2024-11-24T01:20:44Z,580000,False,,,0,,T. Camara lost ball out-of-bounds TURNOVER (1 TO),[1641739],1610612757.0,POR,lost ball,,,,,,Mid-Range,8-16 Right,1627519.0,,,Camara,T. Camara,,,,,,,,,,1.0,,,,,,,
60,PT07M23.00S,2024-11-24T01:20:54.0Z,1,REGULAR,foul,personal,[],1641739,,,1610612745,7,12,2024-11-24T01:21:07Z,590000,False,,,0,,T. Camara personal FOUL (1 PF),"[1641739, 1630578]",1610612757.0,POR,,,,,,,In The Paint (Non-RA),8-16 Center,1627519.0,1.0,0.0,Camara,T. Camara,Sengun,1630578.0,,,,,,,,,,,,,,,
62,PT07M17.00S,2024-11-24T01:21:24.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630578,89.96386333771353,48.28431372549019,1610612745,7,12,2024-11-24T01:21:34Z,610000,False,-9.0,42.0,1,right,MISS A. Sengun Hook,[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,,Sengun,A. Sengun,,,4.27,Missed,,,,,,,,,,,,,
63,PT07M15.00S,2024-11-24T01:21:26.5Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,7,12,2024-11-24T01:21:34Z,620000,False,,,0,,D. Clingan REBOUND (Off:2 Def:4),[1642270],1610612757.0,POR,,,,,,,Restricted Area,0-8 Center,,,,Clingan,D. Clingan,,,,,62.0,6.0,4.0,2.0,,,,,,,,,
64,PT07M03.00S,2024-11-24T01:21:39.4Z,1,REGULAR,foul,personal,[],1627832,,,1610612757,7,12,2024-11-24T01:21:52Z,630000,False,,,0,,F. VanVleet personal FOUL (2 PF),"[1627832, 1629014]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,2004.0,2.0,0.0,VanVleet,F. VanVleet,Simons,1629014.0,,,,,,,,,,,,,,,
66,PT07M03.00S,2024-11-24T01:21:48.1Z,1,REGULAR,substitution,out,[],1627832,,,1610612757,7,12,2024-11-24T01:22:00Z,650000,False,,,0,,SUB out: F. VanVleet,[1627832],1610612745.0,HOU,,,,,,,,,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,
67,PT07M03.00S,2024-11-24T01:21:48.1Z,1,REGULAR,substitution,out,[],1631101,,,1610612757,7,12,2024-11-24T01:22:00Z,660000,False,,,0,,SUB out: S. Sharpe,[1631101],1610612757.0,POR,,,,,,,,,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,
68,PT07M03.00S,2024-11-24T01:21:48.1Z,1,REGULAR,substitution,in,[],1641708,,,1610612757,7,12,2024-11-24T01:22:00Z,670000,False,,,0,,SUB in: A. Thompson,[1641708],1610612745.0,HOU,,,,,,,,,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,
69,PT07M03.00S,2024-11-24T01:21:48.1Z,1,REGULAR,substitution,in,[],1630166,,,1610612757,7,12,2024-11-24T01:22:00Z,680000,False,,,0,,SUB in: D. Avdija,[1630166],1610612757.0,POR,,,,,,,,,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,
70,PT06M54.00S,2024-11-24T01:22:23.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,7.178055190538765,48.03921568627451,1610612757,7,12,2024-11-24T01:22:31Z,690000,False,10.0,15.0,1,left,MISS J. Grant driving Layup,[203924],1610612757.0,POR,driving,,,,,,Restricted Area,0-8 Center,,,,Grant,J. Grant,,,1.79,Missed,,,,,,,,,,,,,
71,PT06M52.00S,2024-11-24T01:22:25.5Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,7,12,2024-11-24T01:22:31Z,700000,False,,,0,,D. Clingan REBOUND (Off:3 Def:4),[1642270],1610612757.0,POR,,,,,,,Restricted Area,0-8 Center,,,,Clingan,D. Clingan,,,,,70.0,7.0,4.0,3.0,,,,,,,,,
72,PT06M49.00S,2024-11-24T01:22:32.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612757,7,12,2024-11-24T01:22:40Z,710000,False,,,0,,POR shot clock Team TURNOVER,[],1610612757.0,POR,,,,,,,Right Corner 3,24+ Right,1627519.0,,,,,,,,,,,,,,,,,,,,,
73,PT06M42.00S,2024-11-24T01:22:49.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630578,81.68528252299606,47.30392156862745,1610612745,9,12,2024-11-24T01:22:59Z,720000,False,-13.0,120.0,1,right,A. Sengun 12' driving floating Jump Shot (4 PTS),[1630578],1610612745.0,HOU,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,,,,Sengun,A. Sengun,,,12.05,Made,,,,,4.0,,,,,,,,
74,PT06M32.00S,2024-11-24T01:22:59.8Z,1,REGULAR,3pt,Jump Shot,[],1629014,37.13863337713535,68.38235294117648,1610612757,9,12,2024-11-24T01:23:59Z,730000,False,-92.0,297.0,1,left,MISS A. Simons 31' 3PT,[1629014],1610612757.0,POR,,,,,,,Above the Break 3,24+ Center,,,,Simons,A. Simons,,,31.05,Missed,,,,,,,,,,,,,
75,PT06M30.00S,2024-11-24T01:23:01.8Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,9,12,2024-11-24T01:23:07Z,740000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,,,,Green,J. Green,,,,,74.0,1.0,1.0,0.0,,,,,,,,,
76,PT06M23.00S,2024-11-24T01:23:09.3Z,1,REGULAR,3pt,Jump Shot,[],1631095,91.5407358738502,95.34313725490196,1610612745,9,12,2024-11-24T01:23:17Z,750000,False,227.0,27.0,1,right,MISS J. Smith Jr. 3PT,[1631095],1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,,,,Smith Jr.,J. Smith Jr.,,,22.83,Missed,,,,,,,,,,,,,
77,PT06M21.00S,2024-11-24T01:23:11.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,9,12,2024-11-24T01:23:17Z,760000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,Right Corner 3,24+ Right,,,,,,,,,,76.0,,,,,,,,,,,,
79,PT06M07.00S,2024-11-24T01:23:44.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629014,8.492115637319317,45.09803921568628,1610612757,9,12,2024-11-24T01:23:52Z,780000,False,25.0,27.0,1,left,MISS A. Simons driving Layup,[1629014],1610612757.0,POR,driving,,,,,,Restricted Area,0-8 Center,,,,Simons,A. Simons,,,3.67,Missed,,,,,,,,,,,,,
80,PT06M06.00S,2024-11-24T01:23:45.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,9,12,2024-11-24T01:23:52Z,790000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,79.0,,,,,,,,,,,,
83,PT05M45.00S,2024-11-24T01:24:31.7Z,1,REGULAR,3pt,Jump Shot,[],1641708,93.11760840998686,1.9607843137254901,1610612745,12,12,2024-11-24T01:24:36Z,820000,False,-240.0,12.0,1,right,A. Thompson 24' 3PT  (3 PTS) (J. Green 1 AST),"[1641708, 1630224]",1610612745.0,HOU,,,,,,,Left Corner 3,24+ Left,,,,Thompson,A. Thompson,,,24.05,Made,,,,,3.0,,,,J. Green,1630224.0,1.0,,
85,PT05M36.00S,2024-11-24T01:24:40.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641739,10.068988173455978,47.549019607843135,1610612757,12,12,2024-11-24T01:24:50Z,840000,False,12.0,42.0,1,left,MISS T. Camara driving Layup,[1641739],1610612757.0,POR,driving,,,,,,Restricted Area,0-8 Center,,,,Camara,T. Camara,,,4.39,Missed,,,,,,,,,,,,,
86,PT05M34.00S,2024-11-24T01:24:42.3Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,12,12,2024-11-24T01:24:50Z,850000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:2),[1631095],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,,Smith Jr.,J. Smith Jr.,,,,,85.0,3.0,2.0,1.0,,,,,,,,,
87,PT05M29.00S,2024-11-24T01:24:47.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628415,69.33311432325887,17.892156862745097,1610612745,12,12,2024-11-24T01:26:38Z,860000,False,-161.0,236.0,1,right,MISS D. Brooks 28' running 3PT,[1628415],1610612745.0,HOU,running,,,,,,Above the Break 3,24+ Left Center,,,,Brooks,D. Brooks,,,28.52,Missed,,,,,,,,,,,,,
88,PT05M26.00S,2024-11-24T01:24:50.1Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,12,12,2024-11-24T01:24:55Z,870000,False,,,0,,D. Clingan REBOUND (Off:3 Def:5),[1642270],1610612757.0,POR,,,,,,,Above the Break 3,24+ Left Center,,,,Clingan,D. Clingan,,,,,87.0,8.0,5.0,3.0,,,,,,,,,
