actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
16,PT10M04.00S,2024-12-20T01:13:13.8Z,1,REGULAR,3pt,Jump Shot,[],1630530,64.07687253613666,35.049019607843135,1610612740,2,7,2024-12-20T01:13:19Z,160000,False,-75.0,285.0,1,right,T. Murphy III 29' 3PT  (5 PTS) (D. Murray 1 AST),"[1630530, 1627749]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,,,29.48,Made,5.0,,,,,D. Murray,1627749.0,1.0,,,,,,,,
18,PT09M48.00S,2024-12-20T01:13:30.5Z,1,REGULAR,3pt,Jump Shot,[],1630224,33.196452036793694,57.84313725490197,1610612745,5,7,2024-12-20T01:13:38Z,180000,False,-39.0,260.0,1,left,J. Green 26' 3PT pullup (3 PTS) (A. Sengun 1 AST),"[1630224, 1630578]",1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,26.24,Made,3.0,,,,,A. Sengun,1630578.0,1.0,,,,,,,,
20,PT09M32.00S,2024-12-20T01:13:47.2Z,1,REGULAR,turnover,lost ball,[],1642274,,,1610612740,5,7,2024-12-20T01:13:51Z,200000,False,,,0,,Y. Missi lost ball TURNOVER (1 TO),"[1642274, 1628415]",1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Mid-Range,16-24 Center,,1.0,,,,,,,,,,,Brooks,1628415.0,,,,,,
21,PT09M32.00S,2024-12-20T01:13:47.2Z,1,REGULAR,steal,,[],1628415,,,1610612745,5,7,2024-12-20T01:13:48Z,210000,False,,,0,,D. Brooks STEAL (1 STL),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
22,PT09M26.00S,2024-12-20T01:13:52.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628415,6.389618922470433,46.568627450980394,1610612745,7,7,2024-12-20T01:15:40Z,220000,False,17.0,8.0,1,left,D. Brooks running Layup (2 PTS),[1628415],1610612745.0,HOU,running,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,1.88,Made,2.0,,,,,,,,,,,,,,,
23,PT09M09.00S,2024-12-20T01:14:11.0Z,1,REGULAR,foul,personal,[],1631095,,,1610612740,7,7,2024-12-20T01:14:22Z,230000,False,,,0,,J. Smith Jr. personal FOUL (1 PF),"[1631095, 1630530]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Left,1162.0,,,,,,,,,,,,,,1.0,0.0,Murphy III,1630530.0,,
26,PT09M01.00S,2024-12-20T01:14:41.7Z,1,REGULAR,3pt,Jump Shot,[],1630529,74.19513797634691,12.745098039215685,1610612740,7,7,2024-12-20T01:14:47Z,250000,False,-186.0,190.0,1,right,MISS H. Jones 26' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,,,26.62,Missed,,,,,,,,,,,,,,,,
27,PT08M58.00S,2024-12-20T01:14:44.7Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,7,7,2024-12-20T01:14:47Z,260000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,
28,PT08M53.00S,2024-12-20T01:14:50.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631095,32.802233902759525,24.509803921568626,1610612745,10,7,2024-12-20T01:17:26Z,270000,False,127.0,256.0,1,left,J. Smith Jr. 28' 3PT running (3 PTS) (F. VanVleet 1 AST),"[1631095, 1627832]",1610612745.0,HOU,running,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,28.58,Made,3.0,,,,,F. VanVleet,1627832.0,1.0,,,,,,,,
30,PT08M41.00S,2024-12-20T01:15:01.8Z,1,REGULAR,3pt,Jump Shot,[],1630530,66.44218134034165,24.509803921568626,1610612740,10,7,2024-12-20T01:18:44Z,290000,False,-127.0,263.0,1,right,MISS T. Murphy III 29' step back 3PT,[1630530],1610612740.0,NOP,step back,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,,,29.22,Missed,,,,,,,,,,,,,,,,
31,PT08M40.00S,2024-12-20T01:15:02.8Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,10,7,2024-12-20T01:15:38Z,300000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,
32,PT08M33.00S,2024-12-20T01:15:09.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631095,25.443495400788436,12.254901960784313,1610612745,13,7,2024-12-20T01:19:27Z,310000,False,189.0,187.0,1,left,J. Smith Jr. 26' 3PT running (6 PTS) (D. Brooks 2 AST),"[1631095, 1628415]",1610612745.0,HOU,running,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,26.55,Made,6.0,,,,,D. Brooks,1628415.0,2.0,,,,,,,,
34,PT08M31.00S,2024-12-20T01:15:16.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,13,7,2024-12-20T01:15:16Z,330000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M12.00S,2024-12-20T01:18:34.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,83.26215505913272,36.51960784313725,1610612740,13,7,2024-12-20T01:18:43Z,340000,False,-67.0,105.0,1,right,MISS C. McCollum 12' pullup Shot,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Left,,,12.46,Missed,,,,,,,,,,,,,,,,
36,PT08M08.00S,2024-12-20T01:18:38.5Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,13,7,2024-12-20T01:18:43Z,350000,False,,,0,,H. Jones REBOUND (Off:1 Def:0),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),8-16 Left,,,,,,35.0,1.0,0.0,1.0,,,,,,,,,,,
37,PT08M08.00S,2024-12-20T01:18:38.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630529,94.40999984741211,50.0,1610612740,13,7,2024-12-20T01:18:38Z,360000,False,0.0,0.0,1,right,MISS H. Jones tip Layup,[1630529],1610612740.0,NOP,tip,,,Jones,H. Jones,,,,,Mid-Range,8-16 Left,,,0.0,Missed,,,,,,,,,,,,,,,,
38,PT08M06.00S,2024-12-20T01:18:39.8Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,13,7,2024-12-20T01:18:39Z,370000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,,
39,PT07M58.00S,2024-12-20T01:18:48.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,3.7614980289093296,52.20588235294118,1610612745,15,7,2024-12-20T01:18:54Z,380000,False,-11.0,-17.0,1,left,A. Sengun Layup (4 PTS) (J. Green 1 AST),"[1630578, 1630224]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,2.03,Made,4.0,,,,,J. Green,1630224.0,1.0,,,,,,,,
41,PT07M47.00S,2024-12-20T01:18:59.1Z,1,REGULAR,3pt,Jump Shot,[],1630529,71.56701708278581,78.43137254901961,1610612740,15,10,2024-12-20T01:19:04Z,400000,False,142.0,215.0,1,right,H. Jones 25' 3PT  (3 PTS) (C. McCollum 2 AST),"[1630529, 203468]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,25.76,Made,3.0,,,,,C. McCollum,203468.0,2.0,,,,,,,,
43,PT07M34.00S,2024-12-20T01:19:12.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,7.046649145860711,43.872549019607845,1610612745,17,10,2024-12-20T01:19:22Z,420000,False,31.0,14.0,1,left,J. Green driving Layup (5 PTS) (J. Smith Jr. 1 AST),"[1630224, 1631095]",1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,3.35,Made,5.0,,,,,J. Smith Jr.,1631095.0,1.0,,,,,,,,
45,PT07M18.00S,2024-12-20T01:19:28.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,92.9862023653088,52.20588235294118,1610612740,17,10,2024-12-20T01:19:35Z,440000,False,11.0,13.0,1,right,MISS D. Murray driving reverse Layup,[1627749],1610612740.0,NOP,driving reverse,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,1.73,Missed,,,,,,,,,,,,,,,,
46,PT07M16.00S,2024-12-20T01:19:30.6Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,17,10,2024-12-20T01:19:35Z,450000,False,,,0,,D. Brooks REBOUND (Off:0 Def:2),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,45.0,2.0,2.0,0.0,,,,,,,,,,,
47,PT07M01.00S,2024-12-20T01:19:45.5Z,1,REGULAR,3pt,Jump Shot,[],1630224,27.283180026281208,83.08823529411765,1610612745,20,10,2024-12-20T01:19:50Z,460000,False,-165.0,204.0,1,left,J. Green 26' 3PT  (8 PTS) (A. Sengun 2 AST),"[1630224, 1630578]",1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,26.26,Made,8.0,,,,,A. Sengun,1630578.0,2.0,,,,,,,,
49,PT06M43.00S,2024-12-20T01:20:02.9Z,1,REGULAR,3pt,Jump Shot,[],1630529,78.79434954007884,6.61764705882353,1610612740,20,10,2024-12-20T01:20:08Z,480000,False,-217.0,147.0,1,right,MISS H. Jones 26' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,,,26.19,Missed,,,,,,,,,,,,,,,,
50,PT06M41.00S,2024-12-20T01:20:04.9Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,20,10,2024-12-20T01:20:08Z,490000,False,,,0,,F. VanVleet REBOUND (Off:1 Def:1),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,,,,49.0,2.0,1.0,1.0,,,,,,,,,,,
51,PT06M37.00S,2024-12-20T01:20:09.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,27.54599211563732,14.705882352941178,1610612745,23,10,2024-12-20T01:20:17Z,500000,False,176.0,206.0,1,left,F. VanVleet 27' 3PT running pullup (3 PTS),[1627832],1610612745.0,HOU,running pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,,,27.16,Made,3.0,,,,,,,,,,,,,,,
52,PT06M10.00S,2024-12-20T01:20:36.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642274,91.67214191852825,43.872549019607845,1610612740,23,12,2024-12-20T01:20:41Z,510000,False,-31.0,26.0,1,right,Y. Missi DUNK (4 PTS) (T. Murphy III 1 AST),"[1642274, 1630530]",1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,4.0,Made,4.0,,,,,T. Murphy III,1630530.0,1.0,,,,,,,,
54,PT05M50.00S,2024-12-20T01:20:56.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630224,16.770696452036795,59.55882352941176,1610612745,23,12,2024-12-20T01:21:03Z,530000,False,-48.0,105.0,1,left,MISS J. Green 11' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,11.55,Missed,,,,,,,,,,,,,,,,
55,PT05M48.00S,2024-12-20T01:20:58.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,23,12,2024-12-20T01:21:03Z,540000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,54.0,,,,,,,,,,,,,,
57,PT05M32.00S,2024-12-20T01:21:21.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630529,91.01511169513797,57.107843137254896,1610612740,23,12,2024-12-20T01:21:35Z,560000,False,36.0,32.0,1,right,MISS H. Jones driving floating Shot - blocked,"[1630529, 1627832]",1610612740.0,NOP,driving floating,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,4.78,Missed,,,,,,,,,,,,,,,VanVleet,1627832.0
58,PT05M32.00S,2024-12-20T01:21:21.1Z,1,REGULAR,block,,[],1627832,,,1610612740,23,12,2024-12-20T01:21:59Z,570000,False,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT05M32.00S,2024-12-20T01:21:21.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,23,12,2024-12-20T01:21:35Z,580000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,57.0,,,,,,,,,,,,,,
61,PT05M32.00S,2024-12-20T01:21:32.9Z,1,REGULAR,substitution,out,[],1631095,,,1610612740,23,12,2024-12-20T01:21:46Z,600000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M32.00S,2024-12-20T01:21:32.9Z,1,REGULAR,substitution,out,[],1630578,,,1610612740,23,12,2024-12-20T01:21:46Z,610000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M32.00S,2024-12-20T01:21:32.9Z,1,REGULAR,substitution,out,[],1642274,,,1610612740,23,12,2024-12-20T01:21:46Z,620000,False,,,0,,SUB out: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M32.00S,2024-12-20T01:21:32.9Z,1,REGULAR,substitution,in,[],1641708,,,1610612740,23,12,2024-12-20T01:21:46Z,630000,False,,,0,,SUB in: A. Thompson,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M32.00S,2024-12-20T01:21:32.9Z,1,REGULAR,substitution,in,[],203500,,,1610612740,23,12,2024-12-20T01:21:46Z,640000,False,,,0,,SUB in: S. Adams,[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M32.00S,2024-12-20T01:21:32.9Z,1,REGULAR,substitution,in,[],1641998,,,1610612740,23,12,2024-12-20T01:21:46Z,650000,False,,,0,,SUB in: T. Jemison III,[1641998],1610612740.0,NOP,,,,Jemison III,T. Jemison III,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M26.00S,2024-12-20T01:22:00.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203468,64.73390275952694,48.77450980392157,1610612740,23,12,2024-12-20T01:22:05Z,660000,False,-6.0,279.0,1,right,MISS C. McCollum 27' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,,,27.91,Missed,,,,,,,,,,,,,,,,
68,PT05M23.00S,2024-12-20T01:22:03.3Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,23,12,2024-12-20T01:22:05Z,670000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,,,
69,PT05M12.00S,2024-12-20T01:22:15.6Z,1,REGULAR,turnover,out-of-bounds,[],1627832,,,1610612745,23,12,2024-12-20T01:22:22Z,680000,False,,,0,,F. VanVleet bad pass out-of-bounds TURNOVER (1 TO),[1627832],1610612745.0,HOU,bad pass,,,VanVleet,F. VanVleet,,,,,Mid-Range,8-16 Left,1627539.0,1.0,,,,,,,,,,,,,,,,,,
70,PT05M00.00S,2024-12-20T01:22:36.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627749,65.78515111695138,36.51960784313725,1610612740,23,15,2024-12-20T01:22:42Z,690000,False,-67.0,269.0,1,right,D. Murray 27' 3PT pullup (3 PTS),[1627749],1610612740.0,NOP,pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,,27.74,Made,3.0,,,,,,,,,,,,,,,
71,PT04M49.00S,2024-12-20T01:22:46.8Z,1,REGULAR,3pt,Jump Shot,[],1627832,30.699737187910642,71.07843137254902,1610612745,26,15,2024-12-20T01:22:52Z,700000,False,-105.0,236.0,1,left,F. VanVleet 25' 3PT pullup (6 PTS),[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,25.86,Made,6.0,,,,,,,,,,,,,,,
72,PT04M37.00S,2024-12-20T01:22:59.3Z,1,REGULAR,2pt,Jump Shot,[],1627749,92.46057818659659,21.813725490196077,1610612740,26,15,2024-12-20T01:24:48Z,710000,False,-141.0,18.0,1,right,MISS D. Murray 14' step back Shot,[1627749],1610612740.0,NOP,step back,,,Murray,D. Murray,,,,,Mid-Range,8-16 Left,,,14.21,Missed,,,,,,,,,,,,,,,,
73,PT04M33.00S,2024-12-20T01:23:03.3Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,26,15,2024-12-20T01:23:05Z,720000,False,,,0,,D. Brooks REBOUND (Off:0 Def:3),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Left,,,,,,72.0,3.0,3.0,0.0,,,,,,,,,,,
74,PT04M29.00S,2024-12-20T01:23:07.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,18.873193166885677,96.32352941176471,1610612745,26,15,2024-12-20T01:26:31Z,730000,False,-232.0,125.0,1,left,MISS F. VanVleet 26' running 3PT,[1627832],1610612745.0,HOU,running,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,26.31,Missed,,,,,,,,,,,,,,,,
75,PT04M25.00S,2024-12-20T01:23:11.1Z,1,REGULAR,rebound,offensive,[],203500,,,1610612745,26,15,2024-12-20T01:23:23Z,740000,False,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Left Center,,,,,,74.0,1.0,0.0,1.0,,,,,,,,,,,
76,PT04M24.00S,2024-12-20T01:23:11.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203500,16.113666228646515,47.794117647058826,1610612745,28,15,2024-12-20T01:23:27Z,750000,False,11.0,99.0,1,left,S. Adams 9' floating Jump Shot (2 PTS),[203500],1610612745.0,HOU,floating,,,Adams,S. Adams,,,,,In The Paint (Non-RA),8-16 Center,,,9.96,Made,2.0,,,,,,,,,,,,,,,
77,PT04M04.00S,2024-12-20T01:23:33.3Z,1,REGULAR,foul,personal,['2freethrow'],1628415,,,1610612740,28,15,2024-12-20T01:24:05Z,760000,False,,,0,,D. Brooks shooting personal FOUL (1 PF) (Murphy III 2 FT),"[1628415, 1630530]",1610612745.0,HOU,shooting,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Right,1162.0,,,,,,,,,,,,,,1.0,0.0,Murphy III,1630530.0,,
79,PT04M04.00S,2024-12-20T01:24:00.9Z,1,REGULAR,freethrow,1 of 2,[],1630530,,,1610612740,28,15,2024-12-20T01:24:00Z,780000,False,,,0,,MISS T. Murphy III Free Throw 1 of 2,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
80,PT04M04.00S,2024-12-20T01:24:00.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,28,15,2024-12-20T01:24:00Z,790000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,
81,PT04M04.00S,2024-12-20T01:24:02.0Z,1,REGULAR,substitution,out,[],1630529,,,1610612740,28,15,2024-12-20T01:24:20Z,800000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M04.00S,2024-12-20T01:24:02.0Z,1,REGULAR,substitution,out,[],203468,,,1610612740,28,15,2024-12-20T01:24:20Z,810000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M04.00S,2024-12-20T01:24:02.0Z,1,REGULAR,substitution,in,[],1641722,,,1610612740,28,15,2024-12-20T01:24:20Z,820000,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M04.00S,2024-12-20T01:24:02.0Z,1,REGULAR,substitution,in,[],1629750,,,1610612740,28,15,2024-12-20T01:24:20Z,830000,False,,,0,,SUB in: J. Green,[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M04.00S,2024-12-20T01:24:27.9Z,1,REGULAR,freethrow,2 of 2,[],1630530,,,1610612740,28,16,2024-12-20T01:24:27Z,840000,False,,,0,,T. Murphy III Free Throw 2 of 2 (6 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
