actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT10M52.00S,2025-04-13T19:42:34.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,8.623521681997373,47.549019607843135,1610612743,0,0,2025-04-13T19:42:45Z,150000,False,12.0,29.0,1,left,MISS J. Murray cutting Layup - blocked,"[1627750, 1641708]",1610612743.0,DEN,cutting,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,3.11,Missed,,,,,Thompson,1641708.0,,,,,,,,,
16,PT10M52.00S,2025-04-13T19:42:34.2Z,1,REGULAR,block,,[],1641708,,,1610612743,0,0,2025-04-13T19:42:37Z,160000,False,,,0,,A. Thompson BLOCK (1 BLK),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M51.00S,2025-04-13T19:42:35.2Z,1,REGULAR,rebound,offensive,[],1627750,,,1610612743,0,0,2025-04-13T19:42:45Z,170000,False,,,0,,J. Murray REBOUND (Off:1 Def:0),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,
18,PT10M42.00S,2025-04-13T19:42:43.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203932,10.5946123521682,52.20588235294118,1610612743,0,0,2025-04-13T19:45:21Z,180000,False,-11.0,47.0,1,left,MISS A. Gordon driving Layup,[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,4.84,Missed,,,,,,,,,,,,,,,
19,PT10M42.00S,2025-04-13T19:42:43.5Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,0,0,2025-04-13T19:42:51Z,190000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,,
20,PT10M41.00S,2025-04-13T19:42:47.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203932,5.590000152587891,50.0,1610612743,0,0,2025-04-13T19:43:29Z,200000,False,0.0,0.0,1,left,MISS A. Gordon tip Layup,[203932],1610612743.0,DEN,tip,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,0.0,Missed,,,,,,,,,,,,,,,
21,PT10M41.00S,2025-04-13T19:42:47.7Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,0,0,2025-04-13T19:43:29Z,210000,False,,,0,,A. Gordon REBOUND (Off:2 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,20.0,2.0,0.0,2.0,,,,,,,,,,,
22,PT10M39.00S,2025-04-13T19:42:51.5Z,1,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,0,0,2025-04-13T19:42:59Z,220000,False,,,0,,A. Gordon lost ball out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,lost ball,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right Center,1.0,,,,,,,,,,,2004.0,,,,,,,,
23,PT10M22.00S,2025-04-13T19:43:12.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630578,89.96386333771353,58.82352941176471,1610612745,2,0,2025-04-13T19:43:19Z,230000,False,44.0,42.0,1,right,A. Sengun 6' floating Jump Shot (2 PTS) (F. VanVleet 1 AST),"[1630578, 1627832]",1610612745.0,HOU,floating,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,6.08,Made,,,,,,,,2.0,F. VanVleet,1627832.0,1.0,,,,
25,PT10M07.00S,2025-04-13T19:43:27.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,9.806176084099869,50.0,1610612743,2,2,2025-04-13T19:43:35Z,250000,False,0.0,40.0,1,left,N. Jokić driving Layup (2 PTS),[203999],1610612743.0,DEN,driving,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,,,,3.97,Made,,,,,,,,2.0,,,,,,,
26,PT09M53.00S,2025-04-13T19:43:41.4Z,1,REGULAR,2pt,Jump Shot,[],1630224,77.61169513797634,24.264705882352942,1610612745,2,2,2025-04-13T19:43:48Z,260000,False,-129.0,158.0,1,right,MISS J. Green 20' step back Shot,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,,,,20.38,Missed,,,,,,,,,,,,,,,
27,PT09M52.00S,2025-04-13T19:43:42.4Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,2,2,2025-04-13T19:43:48Z,270000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Mid-Range,16-24 Left Center,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,
28,PT09M38.00S,2025-04-13T19:43:56.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,13.748357424441524,51.470588235294116,1610612743,2,2,2025-04-13T19:44:06Z,280000,False,-7.0,77.0,1,left,MISS J. Murray 7' turnaround fadeaway Shot,[1627750],1610612743.0,DEN,turnaround fadeaway,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,7.71,Missed,,,,,,,,,,,,,,,
29,PT09M38.00S,2025-04-13T19:43:56.5Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,2,2,2025-04-13T19:44:06Z,290000,False,,,0,,A. Gordon REBOUND (Off:3 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,28.0,3.0,0.0,3.0,,,,,,,,,,,
30,PT09M37.00S,2025-04-13T19:44:01.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203932,5.590000152587891,50.0,1610612743,2,4,2025-04-13T19:44:10Z,300000,False,0.0,0.0,1,left,A. Gordon tip Layup (2 PTS),[203932],1610612743.0,DEN,tip,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,0.0,Made,,,,,,,,2.0,,,,,,,
31,PT09M16.00S,2025-04-13T19:44:19.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630578,91.14651773981603,52.20588235294118,1610612745,4,4,2025-04-13T19:47:43Z,310000,False,11.0,31.0,1,right,A. Sengun cutting DUNK (4 PTS) (A. Thompson 1 AST),"[1630578, 1641708]",1610612745.0,HOU,cutting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,3.26,Made,,,,,,,,4.0,A. Thompson,1641708.0,1.0,,,,
33,PT08M59.00S,2025-04-13T19:44:38.0Z,1,REGULAR,foul,personal,['2freethrow'],1630224,,,1610612743,4,4,2025-04-13T19:44:44Z,330000,False,,,0,,J. Green shooting personal FOUL (1 PF) (Jokić 2 FT),"[1630224, 203999]",1610612745.0,HOU,shooting,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,200834.0,,,,,1.0,0.0,Jokić,203999.0
35,PT08M59.00S,2025-04-13T19:45:05.3Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,4,4,2025-04-13T19:45:05Z,350000,False,,,0,,MISS N. Jokić Free Throw 1 of 2,[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
36,PT08M59.00S,2025-04-13T19:45:05.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,4,4,2025-04-13T19:45:05Z,360000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,
37,PT08M59.00S,2025-04-13T19:45:20.4Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,4,5,2025-04-13T19:45:20Z,370000,False,,,0,,N. Jokić Free Throw 2 of 2 (3 PTS),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,,,,Made,,,,,,,,3.0,,,,,,,
38,PT08M45.00S,2025-04-13T19:45:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,92.9862023653088,57.59803921568627,1610612745,6,5,2025-04-13T19:45:43Z,380000,False,38.0,13.0,1,right,A. Sengun Layup (6 PTS) (D. Brooks 1 AST),"[1630578, 1628415]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,4.03,Made,,,,,,,,6.0,D. Brooks,1628415.0,1.0,,,,
40,PT08M26.00S,2025-04-13T19:45:57.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,9.017739816031538,57.59803921568627,1610612743,6,5,2025-04-13T19:50:06Z,400000,False,-38.0,32.0,1,left,MISS J. Murray driving Layup,[1627750],1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,4.99,Missed,,,,,,,,,,,,,,,
41,PT08M25.00S,2025-04-13T19:45:58.0Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,6,5,2025-04-13T19:46:04Z,410000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,40.0,2.0,2.0,0.0,,,,,,,,,,,
42,PT08M08.00S,2025-04-13T19:46:16.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641708,92.19776609724047,57.59803921568627,1610612745,6,5,2025-04-13T19:46:23Z,420000,False,38.0,21.0,1,right,MISS A. Thompson cutting Layup,[1641708],1610612745.0,HOU,cutting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,4.33,Missed,,,,,,,,,,,,,,,
43,PT08M08.00S,2025-04-13T19:46:16.0Z,1,REGULAR,rebound,offensive,[],1641708,,,1610612745,6,5,2025-04-13T19:46:23Z,430000,False,,,0,,A. Thompson REBOUND (Off:1 Def:0),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,42.0,1.0,0.0,1.0,,,,,,,,,,,
44,PT08M07.00S,2025-04-13T19:46:19.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641708,94.40999984741211,50.0,1610612745,8,5,2025-04-13T19:46:27Z,440000,False,0.0,0.0,1,right,A. Thompson tip Layup (2 PTS),[1641708],1610612745.0,HOU,tip,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,0.0,Made,,,,,,,,2.0,,,,,,,
45,PT07M51.00S,2025-04-13T19:46:32.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,6.521024967148489,57.59803921568627,1610612743,8,7,2025-04-13T19:51:20Z,450000,False,-38.0,9.0,1,left,C. Braun driving Layup (2 PTS) (N. Jokić 1 AST),"[1631128, 203999]",1610612743.0,DEN,driving,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,,,,3.9,Made,,,,,,,,2.0,N. Jokić,203999.0,1.0,,,,
47,PT07M30.00S,2025-04-13T19:46:52.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,82.21090670170827,40.44117647058824,1610612745,8,7,2025-04-13T19:46:58Z,470000,False,-48.0,115.0,1,right,MISS D. Brooks 12' fadeaway Shot,[1628415],1610612745.0,HOU,fadeaway,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,,,,12.43,Missed,,,,,,,,,,,,,,,
48,PT07M29.00S,2025-04-13T19:46:53.1Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,8,7,2025-04-13T19:46:58Z,480000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,
49,PT07M13.00S,2025-04-13T19:47:10.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,10.463206307490145,51.470588235294116,1610612743,8,7,2025-04-13T19:47:19Z,490000,False,-7.0,46.0,1,left,MISS A. Gordon driving Layup,[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,4.65,Missed,,,,,,,,,,,,,,,
50,PT07M12.00S,2025-04-13T19:47:11.7Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,8,7,2025-04-13T19:47:19Z,500000,False,,,0,,A. Gordon REBOUND (Off:4 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,49.0,4.0,0.0,4.0,,,,,,,,,,,
51,PT07M11.00S,2025-04-13T19:47:13.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203932,5.590000152587891,50.0,1610612743,8,9,2025-04-13T19:47:23Z,510000,False,0.0,0.0,1,left,A. Gordon tip Layup (4 PTS),[203932],1610612743.0,DEN,tip,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,0.0,Made,,,,,,,,4.0,,,,,,,
52,PT06M57.00S,2025-04-13T19:47:25.4Z,1,REGULAR,3pt,Jump Shot,[],1628415,83.26215505913272,5.392156862745098,1610612745,11,9,2025-04-13T19:47:31Z,520000,False,-223.0,105.0,1,right,D. Brooks 24' 3PT  (3 PTS) (F. VanVleet 2 AST),"[1628415, 1627832]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,,24.64,Made,,,,,,,,3.0,F. VanVleet,1627832.0,2.0,,,,
54,PT06M44.00S,2025-04-13T19:47:38.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,7.5722733245729295,53.92156862745098,1610612743,11,11,2025-04-13T19:47:44Z,540000,False,-20.0,19.0,1,left,N. Jokić cutting Layup (5 PTS) (C. Braun 1 AST),"[203999, 1631128]",1610612743.0,DEN,cutting,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,,,,2.71,Made,,,,,,,,5.0,C. Braun,1631128.0,1.0,,,,
56,PT06M25.00S,2025-04-13T19:47:58.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641708,88.17345597897503,40.732230392156865,1610612745,13,11,2025-04-13T19:48:07Z,560000,False,-46.0,59.0,1,right,A. Thompson 7' floating Jump Shot (4 PTS) (A. Sengun 1 AST),"[1641708, 1630578]",1610612745.0,HOU,floating,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,7.48,Made,,,,,,,,4.0,A. Sengun,1630578.0,1.0,,,,
58,PT06M08.00S,2025-04-13T19:48:16.4Z,1,REGULAR,foul,personal,[],1641708,,,1610612743,13,11,2025-04-13T19:48:30Z,580000,False,,,0,,A. Thompson personal FOUL (1 PF),"[1641708, 203932]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,202053.0,,,,,1.0,0.0,Gordon,203932.0
60,PT06M08.00S,2025-04-13T19:48:28.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,13,11,2025-04-13T19:48:28Z,600000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M08.00S,2025-04-13T19:49:27.4Z,1,REGULAR,substitution,out,[],1641708,,,1610612743,13,11,2025-04-13T19:51:16Z,610000,False,,,0,,SUB out: A. Thompson,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M08.00S,2025-04-13T19:49:27.4Z,1,REGULAR,substitution,in,[],203500,,,1610612743,13,11,2025-04-13T19:51:16Z,620000,False,,,0,,SUB in: S. Adams,[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M59.00S,2025-04-13T19:51:57.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,7.046649145860711,45.83333333333333,1610612743,13,13,2025-04-13T19:52:02Z,640000,False,21.0,14.0,1,left,J. Murray cutting Layup (2 PTS) (N. Jokić 2 AST),"[1627750, 203999]",1610612743.0,DEN,cutting,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,2.49,Made,,,,,,,,2.0,N. Jokić,203999.0,2.0,,,,
66,PT05M46.00S,2025-04-13T19:52:12.2Z,1,REGULAR,foul,personal,['2freethrow'],203999,,,1610612745,13,13,2025-04-13T19:52:19Z,660000,False,,,0,,N. Jokić shooting personal FOUL (1 PF) (Green 2 FT),"[203999, 1630224]",1610612743.0,DEN,shooting,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,202053.0,,,,,1.0,0.0,Green,1630224.0
68,PT05M46.00S,2025-04-13T19:52:40.1Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,14,13,2025-04-13T19:52:40Z,680000,False,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,Made,,,,,,,,1.0,,,,,,,
69,PT05M46.00S,2025-04-13T19:52:54.8Z,1,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,15,13,2025-04-13T19:52:54Z,690000,False,,,0,,J. Green Free Throw 2 of 2 (2 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,Made,,,,,,,,2.0,,,,,,,
70,PT05M31.00S,2025-04-13T19:53:11.3Z,1,REGULAR,3pt,Jump Shot,[],203999,32.40801576872536,54.90196078431373,1610612743,15,16,2025-04-13T19:53:15Z,700000,False,-25.0,252.0,1,left,N. Jokić 25' 3PT  (8 PTS) (J. Murray 1 AST),"[203999, 1627750]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Center,,,,25.33,Made,,,,,,,,8.0,J. Murray,1627750.0,1.0,,,,
72,PT05M13.00S,2025-04-13T19:53:29.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,86.41590013140605,62.5,1610612745,17,16,2025-04-13T19:54:18Z,720000,False,62.0,75.0,1,right,D. Brooks 9' driving floating bank Jump Shot (5 PTS) (A. Sengun 2 AST),"[1628415, 1630578]",1610612745.0,HOU,driving floating bank,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Right,,,,9.78,Made,,,,,,,,5.0,A. Sengun,1630578.0,2.0,,,,
74,PT04M58.00S,2025-04-13T19:53:45.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,8.229303547963205,46.32352941176471,1610612743,17,18,2025-04-13T19:53:51Z,740000,False,18.0,25.0,1,left,J. Murray driving finger roll Layup (4 PTS),[1627750],1610612743.0,DEN,driving finger roll,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,3.1,Made,,,,,,,,4.0,,,,,,,
75,PT04M34.00S,2025-04-13T19:54:07.4Z,1,REGULAR,3pt,Jump Shot,[],1627832,69.46452036793693,32.59803921568628,1610612745,17,18,2025-04-13T19:54:13Z,750000,False,-87.0,235.0,1,right,MISS F. VanVleet 25' 3PT,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,,25.01,Missed,,,,,,,,,,,,,,,
76,PT04M33.00S,2025-04-13T19:54:08.4Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,17,18,2025-04-13T19:54:13Z,760000,False,,,0,,C. Braun REBOUND (Off:0 Def:2),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Left Center,,,,,,75.0,2.0,2.0,0.0,,,,,,,,,,,
77,PT04M26.00S,2025-04-13T19:54:15.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203932,8.754927726675426,48.529411764705884,1610612743,17,20,2025-04-13T19:54:24Z,770000,False,7.0,30.0,1,left,A. Gordon running DUNK (6 PTS),[203932],1610612743.0,DEN,running,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,3.07,Made,,,,,,,,6.0,,,,,,,
78,PT04M10.00S,2025-04-13T19:54:32.3Z,1,REGULAR,3pt,Jump Shot,[],1628415,74.72076215505913,87.00980392156863,1610612745,17,20,2025-04-13T19:54:40Z,780000,False,185.0,185.0,1,right,MISS D. Brooks 26' 3PT,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,26.17,Missed,,,,,,,,,,,,,,,
79,PT04M08.00S,2025-04-13T19:54:34.3Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,17,20,2025-04-13T19:54:40Z,790000,False,,,0,,A. Sengun REBOUND (Off:1 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,,,,78.0,3.0,2.0,1.0,,,,,,,,,,,
80,PT04M07.00S,2025-04-13T19:54:37.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630578,90.88370565045992,48.529411764705884,1610612745,17,20,2025-04-13T19:54:49Z,800000,False,-7.0,33.0,1,right,MISS A. Sengun turnaround Hook,[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,3.4,Missed,,,,,,,,,,,,,,,
81,PT04M06.00S,2025-04-13T19:54:38.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,17,20,2025-04-13T19:54:49Z,810000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,80.0,,,,,,,,,,,,,,
83,PT04M06.00S,2025-04-13T19:54:42.4Z,1,REGULAR,substitution,out,[],1628415,,,1610612743,17,20,2025-04-13T19:54:52Z,830000,False,,,0,,SUB out: D. Brooks,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M06.00S,2025-04-13T19:54:42.4Z,1,REGULAR,substitution,out,[],1630578,,,1610612743,17,20,2025-04-13T19:54:52Z,840000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
