actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
18,PT10M17.00S,2023-01-22T00:43:10.5Z,1,REGULAR,3pt,Jump Shot,[],1626171,69.20170827858082,28.431372549019606,1610612749,4,7,2023-01-22T00:43:14Z,180000,False,-108.0,237.0,1,right,B. Portis 26' 3PT  (5 PTS) (J. Holiday 1 AST),"[1626171, 201950]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,,,,26.04,Made,5.0,,,,,J. Holiday,201950.0,1.0,,,,,,,
20,PT10M01.00S,2023-01-22T00:43:27.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,7.30946123521682,50.245098039215684,1610612739,6,7,2023-01-22T00:43:36Z,200000,False,-1.0,16.0,1,left,D. Garland driving finger roll Layup (4 PTS) (E. Mobley 1 AST),"[1629636, 1630596]",1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,,,,1.62,Made,4.0,,,,,E. Mobley,1630596.0,1.0,,,,,,,
22,PT09M52.00S,2023-01-22T00:43:36.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,94.03745072273325,55.14705882352941,1610612749,6,7,2023-01-22T00:43:41Z,220000,False,26.0,4.0,1,right,MISS J. Holiday driving Layup,[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,2.59,Missed,,,,,,,,,,,,,,,
23,PT09M51.00S,2023-01-22T00:43:38.0Z,1,REGULAR,rebound,offensive,[],201950,,,1610612749,6,7,2023-01-22T00:43:38Z,230000,False,,,0,,J. Holiday REBOUND (Off:1 Def:0),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,
24,PT09M48.00S,2023-01-22T00:43:39.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201572,72.48685939553219,15.196078431372548,1610612749,6,7,2023-01-22T00:43:43Z,240000,False,-174.0,206.0,1,right,MISS B. Lopez 26' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,,,,26.97,Missed,,,,,,,,,,,,,,,
25,PT09M46.00S,2023-01-22T00:43:41.7Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,6,7,2023-01-22T00:43:43Z,250000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Left Center,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,
26,PT09M37.00S,2023-01-22T00:43:51.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,8.886333771353483,48.77450980392157,1610612739,6,7,2023-01-22T00:43:56Z,260000,False,6.0,31.0,1,left,MISS J. Allen driving Layup,[1628386],1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,3.16,Missed,,,,,,,,,,,,,,,
27,PT09M34.00S,2023-01-22T00:43:54.5Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612739,6,7,2023-01-22T00:43:54Z,270000,False,,,0,,I. Okoro REBOUND (Off:1 Def:0),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,,,
28,PT09M31.00S,2023-01-22T00:43:57.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630596,7.835085413929041,5.147058823529411,1610612739,6,7,2023-01-22T00:44:01Z,280000,False,224.0,21.0,1,left,MISS E. Mobley 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Right Corner 3,24+ Right,,,,22.53,Missed,,,,,,,,,,,,,,,
29,PT09M28.00S,2023-01-22T00:44:00.4Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,6,7,2023-01-22T00:44:01Z,290000,False,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Right Corner 3,24+ Right,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,
30,PT09M18.00S,2023-01-22T00:44:10.3Z,1,REGULAR,3pt,Jump Shot,[],1626171,70.25295663600527,24.019607843137255,1610612749,6,10,2023-01-22T00:44:14Z,300000,False,-130.0,227.0,1,right,B. Portis 26' 3PT  (8 PTS) (J. Holiday 2 AST),"[1626171, 201950]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,,,,26.16,Made,8.0,,,,,J. Holiday,201950.0,2.0,,,,,,,
32,PT08M54.00S,2023-01-22T00:44:34.2Z,1,REGULAR,3pt,Jump Shot,[],1627747,30.56833114323259,30.14705882352941,1610612739,6,10,2023-01-22T00:44:37Z,320000,False,99.0,235.0,1,left,MISS C. LeVert 25' 3PT,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Right Center,,,,25.49,Missed,,,,,,,,,,,,,,,
33,PT08M52.00S,2023-01-22T00:44:36.2Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,6,10,2023-01-22T00:44:37Z,330000,False,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Right Center,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,,
34,PT08M38.00S,2023-01-22T00:44:51.2Z,1,REGULAR,turnover,bad pass,[],1628960,,,1610612749,6,10,2023-01-22T00:45:13Z,340000,False,,,0,,G. Allen bad pass TURNOVER (1 TO),"[1628960, 1627747]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,Mid-Range,16-24 Left,1.0,LeVert,1627747.0,,,,,,,,,,,,,,,,,
35,PT08M38.00S,2023-01-22T00:44:51.2Z,1,REGULAR,steal,,[],1627747,,,1610612739,6,10,2023-01-22T00:44:53Z,350000,False,,,0,,C. LeVert STEAL (1 STL),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
36,PT08M36.00S,2023-01-22T00:44:56.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630171,8.229303547963205,52.69607843137255,1610612739,6,10,2023-01-22T00:45:07Z,360000,False,-13.0,25.0,1,left,MISS I. Okoro running Layup - blocked,"[1630171, 1628960]",1610612739.0,CLE,running,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,2.83,Missed,,,,,,,,,Allen,1628960.0,,,,,
37,PT08M36.00S,2023-01-22T00:44:56.2Z,1,REGULAR,block,,[],1628960,,,1610612739,6,10,2023-01-22T00:44:59Z,370000,False,,,0,,G. Allen BLOCK (1 BLK),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
38,PT08M35.00S,2023-01-22T00:44:57.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,6,10,2023-01-22T00:45:07Z,380000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,36.0,,,,,,,,,,,,,
39,PT08M32.00S,2023-01-22T00:45:12.5Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1629636,7.30946123521682,9.313725490196079,1610612739,6,10,2023-01-22T00:45:58Z,390000,False,203.0,16.0,1,left,MISS D. Garland 20' step back Shot,[1629636],1610612739.0,CLE,step back,,,Garland,D. Garland,,,,,Mid-Range,16-24 Right,,,,20.4,Missed,,,,,,,,,,,,,,,
40,PT08M30.00S,2023-01-22T00:45:14.5Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,6,10,2023-01-22T00:45:17Z,400000,False,,,0,,B. Portis REBOUND (Off:0 Def:3),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,16-24 Right,,,,,,,39.0,3.0,3.0,0.0,,,,,,,,,,
41,PT08M20.00S,2023-01-22T00:45:23.7Z,1,REGULAR,2pt,Jump Shot,[],201950,83.52496714848883,86.02941176470588,1610612749,6,10,2023-01-22T00:45:31Z,410000,False,180.0,102.0,1,right,MISS J. Holiday 20' step back Shot,[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Right,,,,20.72,Missed,,,,,,,,,,,,,,,
42,PT08M17.00S,2023-01-22T00:45:26.7Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,6,10,2023-01-22T00:45:31Z,420000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,16-24 Right,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,
43,PT08M11.00S,2023-01-22T00:45:32.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630596,8.09789750328515,54.166666666666664,1610612739,6,10,2023-01-22T00:46:33Z,430000,False,-21.0,24.0,1,left,MISS E. Mobley running pullup Shot,[1630596],1610612739.0,CLE,running pullup,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,3.15,Missed,,,,,,,,,,,,,,,
44,PT08M11.00S,2023-01-22T00:45:32.8Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,6,10,2023-01-22T00:45:50Z,440000,False,,,0,,B. Portis REBOUND (Off:0 Def:4),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,,,,,43.0,4.0,4.0,0.0,,,,,,,,,,
45,PT07M58.00S,2023-01-22T00:45:46.3Z,1,REGULAR,3pt,Jump Shot,[],1626171,66.3107752956636,44.85294117647059,1610612749,6,13,2023-01-22T00:45:53Z,450000,False,-26.0,264.0,1,right,B. Portis 26' 3PT  (11 PTS) (J. Holiday 3 AST),"[1626171, 201950]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Center,,,,26.54,Made,11.0,,,,,J. Holiday,201950.0,3.0,,,,,,,
47,PT07M43.00S,2023-01-22T00:46:03.4Z,1,REGULAR,turnover,palming,[],1630596,,,1610612739,6,13,2023-01-22T00:46:09Z,470000,False,,,0,,E. Mobley palming TURNOVER (1 TO),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,16-24 Right,1.0,,,,,,,,,,,,,,,1627963.0,,,,
48,PT07M32.00S,2023-01-22T00:46:22.5Z,1,REGULAR,turnover,bad pass,[],201950,,,1610612749,6,13,2023-01-22T00:46:27Z,480000,False,,,0,,J. Holiday bad pass TURNOVER (2 TO),"[201950, 1628386]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Left Center,2.0,Allen,1628386.0,,,,,,,,,,,,,,,,,
49,PT07M32.00S,2023-01-22T00:46:22.5Z,1,REGULAR,steal,,[],1628386,,,1610612739,6,13,2023-01-22T00:46:25Z,490000,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
50,PT07M23.00S,2023-01-22T00:46:31.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627747,30.699737187910642,31.127450980392158,1610612739,9,13,2023-01-22T00:46:35Z,500000,False,94.0,236.0,1,left,C. LeVert 25' 3PT step back (3 PTS),[1627747],1610612739.0,CLE,step back,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Right Center,,,,25.43,Made,3.0,,,,,,,,,,,,,,
51,PT07M05.00S,2023-01-22T00:46:49.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,92.46057818659659,51.225490196078425,1610612749,9,13,2023-01-22T00:47:09Z,510000,False,6.0,18.0,1,right,MISS J. Holiday driving Layup,[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,1.94,Missed,,,,,,,,,,,,,,,
53,PT07M03.00S,2023-01-22T00:46:51.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,9,13,2023-01-22T00:47:09Z,530000,False,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,,
54,PT07M01.00S,2023-01-22T00:46:56.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627747,7.966491458607096,50.245098039215684,1610612739,9,13,2023-01-22T00:47:20Z,540000,False,-1.0,22.0,1,left,MISS C. LeVert running reverse Layup - blocked,"[1627747, 201572]",1610612739.0,CLE,running reverse,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,,,,2.24,Missed,,,,,,,,,Lopez,201572.0,,,,,
72,PT07M01.00S,2023-01-22T00:46:56.5Z,1,REGULAR,block,,[],201572,,,1610612739,9,13,2023-01-22T00:52:10Z,545000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT07M01.00S,2023-01-22T00:46:56.5Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612739,9,13,2023-01-22T00:47:20Z,550000,False,,,0,,I. Okoro REBOUND (Off:2 Def:0),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,,,,54.0,2.0,0.0,2.0,,,,,,,,,,
56,PT07M01.00S,2023-01-22T00:47:02.1Z,1,REGULAR,foul,personal,['2freethrow'],1628960,,,1610612739,9,13,2023-01-22T00:47:10Z,560000,False,,,0,,G. Allen shooting personal FOUL (1 PF) (Okoro 2 FT),"[1628960, 1630171]",1610612749.0,MIL,shooting,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1199.0,1.0,0.0,Okoro,1630171.0
58,PT07M01.00S,2023-01-22T00:47:21.8Z,1,REGULAR,freethrow,1 of 2,"['2ndchance', 'fastbreak']",1630171,,,1610612739,9,13,2023-01-22T00:47:21Z,580000,False,,,0,,MISS I. Okoro Free Throw 1 of 2,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
59,PT07M01.00S,2023-01-22T00:47:21.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,9,13,2023-01-22T00:47:21Z,590000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,
60,PT07M01.00S,2023-01-22T00:47:23.0Z,1,REGULAR,substitution,out,[],201950,,,1610612739,9,13,2023-01-22T00:47:31Z,600000,False,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M01.00S,2023-01-22T00:47:23.0Z,1,REGULAR,substitution,in,[],1628975,,,1610612739,9,13,2023-01-22T00:47:31Z,610000,False,,,0,,SUB in: J. Carter,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M01.00S,2023-01-22T00:47:41.9Z,1,REGULAR,freethrow,2 of 2,"['2ndchance', 'fastbreak']",1630171,,,1610612739,10,13,2023-01-22T00:47:41Z,620000,False,,,0,,I. Okoro Free Throw 2 of 2 (1 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
63,PT06M46.00S,2023-01-22T00:48:21.1Z,1,REGULAR,foul,technical,['1freethrow'],1630596,,,1610612749,10,13,2023-01-22T00:48:34Z,630000,False,,,0,,E. Mobley defensive-3-second technical FOUL (1 Tech),[1630596],1610612739.0,CLE,defensive-3-second,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,202058.0,0.0,1.0,,
64,PT06M46.00S,2023-01-22T00:48:40.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,10,13,2023-01-22T00:48:40Z,640000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M46.00S,2023-01-22T00:49:18.6Z,1,REGULAR,substitution,out,[],201572,,,1610612749,10,13,2023-01-22T00:50:53Z,650000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M46.00S,2023-01-22T00:49:18.6Z,1,REGULAR,substitution,in,[],201950,,,1610612749,10,13,2023-01-22T00:50:53Z,660000,False,,,0,,SUB in: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M46.00S,2023-01-22T00:51:09.1Z,1,REGULAR,freethrow,1 of 1,[],1628960,,,1610612749,10,14,2023-01-22T00:51:09Z,670000,False,,,0,,G. Allen technical Free Throw 1 of 1 (1 PTS),[1628960],1610612749.0,MIL,technical,,,Allen,G. Allen,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
68,PT06M35.00S,2023-01-22T00:51:31.2Z,1,REGULAR,3pt,Jump Shot,[],1626192,70.77858081471747,23.03921568627451,1610612749,10,14,2023-01-22T00:51:39Z,680000,False,-135.0,222.0,1,right,MISS P. Connaughton 25' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Above the Break 3,24+ Left Center,,,,25.99,Missed,,,,,,,,,,,,,,,
69,PT06M32.00S,2023-01-22T00:51:34.2Z,1,REGULAR,rebound,offensive,[],1628960,,,1610612749,10,14,2023-01-22T00:51:39Z,690000,False,,,0,,G. Allen REBOUND (Off:1 Def:0),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,,,,,,,68.0,1.0,0.0,1.0,,,,,,,,,,
70,PT06M24.00S,2023-01-22T00:51:42.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628975,94.43166885676742,48.77450980392157,1610612749,10,16,2023-01-22T00:53:18Z,700000,False,-6.0,0.0,1,right,J. Carter cutting Layup (2 PTS) (J. Holiday 4 AST),"[1628975, 201950]",1610612749.0,MIL,cutting,,,Carter,J. Carter,,,,,Restricted Area,0-8 Center,,,,0.61,Made,2.0,,,,,J. Holiday,201950.0,4.0,,,,,,,
73,PT05M55.00S,2023-01-22T00:52:11.3Z,1,REGULAR,3pt,Jump Shot,[],1627747,42.132063074901446,22.30392156862745,1610612739,13,16,2023-01-22T00:52:15Z,720000,False,138.0,344.0,1,left,C. LeVert 37' 3PT  (6 PTS) (I. Okoro 1 AST),"[1627747, 1630171]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Right Center,,,,37.04,Made,6.0,,,,,I. Okoro,1630171.0,1.0,,,,,,,
75,PT05M34.00S,2023-01-22T00:52:31.4Z,1,REGULAR,3pt,Jump Shot,[],1628975,73.14388961892247,84.06862745098039,1610612749,13,16,2023-01-22T00:52:36Z,740000,False,170.0,200.0,1,right,MISS J. Carter 26' 3PT,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,Above the Break 3,24+ Right Center,,,,26.26,Missed,,,,,,,,,,,,,,,
76,PT05M31.00S,2023-01-22T00:52:34.4Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,13,16,2023-01-22T00:52:36Z,750000,False,,,0,,I. Okoro REBOUND (Off:2 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Right Center,,,,,,,75.0,3.0,1.0,2.0,,,,,,,,,,
77,PT05M22.00S,2023-01-22T00:52:44.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628386,16.376478318002626,49.26470588235294,1610612739,15,16,2023-01-22T00:52:48Z,760000,False,4.0,101.0,1,left,J. Allen 10' Jump Shot (2 PTS) (D. Garland 2 AST),"[1628386, 1629636]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,10.15,Made,2.0,,,,,D. Garland,1629636.0,2.0,,,,,,,
80,PT05M11.00S,2023-01-22T00:53:00.7Z,1,REGULAR,substitution,out,[],1630596,,,1610612749,15,16,2023-01-22T00:53:26Z,790000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M11.00S,2023-01-22T00:53:00.7Z,1,REGULAR,substitution,out,[],1630171,,,1610612749,15,16,2023-01-22T00:53:26Z,800000,False,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M11.00S,2023-01-22T00:53:00.7Z,1,REGULAR,substitution,out,[],1626171,,,1610612749,15,16,2023-01-22T00:53:26Z,810000,False,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M11.00S,2023-01-22T00:53:00.7Z,1,REGULAR,substitution,out,[],1628960,,,1610612749,15,16,2023-01-22T00:53:26Z,820000,False,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M11.00S,2023-01-22T00:53:00.7Z,1,REGULAR,substitution,out,[],1626192,,,1610612749,15,16,2023-01-22T00:53:26Z,830000,False,,,0,,SUB out: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M11.00S,2023-01-22T00:53:00.7Z,1,REGULAR,substitution,in,[],201937,,,1610612749,15,16,2023-01-22T00:53:26Z,840000,False,,,0,,SUB in: R. Rubio,[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,,
