actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
16,PT11M07.00S,2022-10-26T23:13:41.7Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2022-10-26T23:13:46Z,160000,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT11M03.00S,2022-10-26T23:13:49.3Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612753,0,0,2022-10-26T23:13:59Z,170000,,,0,,J. Allen shooting personal FOUL (1 PF) (Banchero 2 FT),"[1628386, 1631094]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,200833.0,1.0,0.0,Banchero,1631094.0,,,,,,,
19,PT11M03.00S,2022-10-26T23:14:13.1Z,1,REGULAR,freethrow,1 of 2,[],1631094,,,1610612753,0,1,2022-10-26T23:14:13Z,190000,,,0,,P. Banchero Free Throw 1 of 2 (1 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
20,PT11M03.00S,2022-10-26T23:14:32.9Z,1,REGULAR,freethrow,2 of 2,[],1631094,,,1610612753,0,1,2022-10-26T23:14:32Z,200000,,,0,,MISS P. Banchero Free Throw 2 of 2,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
21,PT11M01.00S,2022-10-26T23:14:34.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,1,2022-10-26T23:14:34Z,210000,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,20.0,2.0,1.0,1.0,,,,,,,,,,,,,,
22,PT10M43.00S,2022-10-26T23:14:52.3Z,1,REGULAR,3pt,Jump Shot,[],1629731,94.56307490144546,2.450980392156863,1610612739,3,1,2022-10-26T23:14:57Z,220000,-238.0,-1.0,1,right,D. Wade 3PT  (3 PTS) (C. LeVert 1 AST),"[1629731, 1627747]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Left Corner 3,24+ Left,23.77,Made,,,,,,,,,,,,3.0,C. LeVert,1627747.0,1.0,,,
24,PT10M29.00S,2022-10-26T23:15:05.2Z,1,REGULAR,3pt,Jump Shot,[],1631094,31.35676741130092,27.696078431372552,1610612753,3,4,2022-10-26T23:15:10Z,240000,112.0,242.0,1,left,P. Banchero 26' 3PT  (4 PTS) (C. Anthony 1 AST),"[1631094, 1630175]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,26.67,Made,,,,,,,,,,,,4.0,C. Anthony,1630175.0,1.0,,,
26,PT10M13.00S,2022-10-26T23:15:22.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,71.30420499342969,18.38235294117647,1610612739,3,4,2022-10-26T23:15:50Z,260000,-158.0,217.0,1,right,MISS D. Mitchell 26' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,26.86,Missed,,,,,,,,,,,,,,,,,,
27,PT10M10.00S,2022-10-26T23:15:25.0Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,3,4,2022-10-26T23:15:29Z,270000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Left Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT10M06.00S,2022-10-26T23:15:34.2Z,1,REGULAR,foul,personal,[],1628378,,,1610612753,3,4,2022-10-26T23:16:22Z,280000,,,0,,D. Mitchell personal FOUL (1 PF),"[1628378, 1630175]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Right Center,,,,,,,,,2882.0,1.0,0.0,Anthony,1630175.0,,,,,,,
30,PT09M57.00S,2022-10-26T23:15:56.6Z,1,REGULAR,turnover,bad pass,[],1630532,,,1610612753,3,4,2022-10-26T23:16:02Z,300000,,,0,,F. Wagner bad pass TURNOVER (1 TO),"[1630532, 1629731]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,1.0,Wade,1629731.0
31,PT09M57.00S,2022-10-26T23:15:56.6Z,1,REGULAR,steal,,[],1629731,,,1610612739,3,4,2022-10-26T23:16:00Z,310000,,,0,,D. Wade STEAL (1 STL),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
32,PT09M45.00S,2022-10-26T23:16:08.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627747,92.46057818659659,2.941176470588235,1610612739,6,4,2022-10-26T23:16:14Z,320000,-235.0,18.0,1,right,C. LeVert 3PT  (3 PTS) (D. Mitchell 1 AST),"[1627747, 1628378]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Left Corner 3,24+ Left,23.6,Made,,,,,,,,,,,,3.0,D. Mitchell,1628378.0,1.0,,,
34,PT09M24.00S,2022-10-26T23:16:31.4Z,1,REGULAR,foul,personal,[],1629731,,,1610612753,6,4,2022-10-26T23:16:40Z,340000,,,0,,D. Wade personal FOUL (1 PF),"[1629731, 1628976]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Mid-Range,8-16 Left,,,,,,,,,200833.0,1.0,0.0,Carter Jr.,1628976.0,,,,,,,
36,PT09M21.00S,2022-10-26T23:16:58.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,6.915243101182654,51.470588235294116,1610612753,6,6,2022-10-26T23:17:02Z,360000,-7.0,13.0,1,left,F. Wagner Layup (2 PTS) (C. Anthony 2 AST),"[1630532, 1630175]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.45,Made,,,,,,,,,,,,2.0,C. Anthony,1630175.0,2.0,,,
38,PT09M08.00S,2022-10-26T23:17:11.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,93.11760840998686,51.470588235294116,1610612739,6,6,2022-10-26T23:17:16Z,380000,7.0,12.0,1,right,MISS C. LeVert driving reverse Layup,[1627747],1610612739.0,CLE,driving reverse,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,1.43,Missed,,,,,,,,,,,,,,,,,,
39,PT09M05.00S,2022-10-26T23:17:13.6Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,6,6,2022-10-26T23:17:13Z,390000,,,0,,P. Banchero REBOUND (Off:0 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,
40,PT08M47.00S,2022-10-26T23:17:31.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,7.440867279894875,50.0,1610612753,6,8,2022-10-26T23:17:36Z,400000,0.0,17.0,1,left,F. Wagner driving reverse Layup (4 PTS),[1630532],1610612753.0,ORL,driving reverse,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.74,Made,,,,,,,,,,,,4.0,,,,,,
41,PT08M33.00S,2022-10-26T23:17:50.7Z,1,REGULAR,turnover,out-of-bounds,[],1630596,,,1610612739,6,8,2022-10-26T23:18:10Z,410000,,,0,,E. Mobley bad pass out-of-bounds TURNOVER (1 TO),[1630596],1610612739.0,CLE,bad pass,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Left,,,,,,,,,1628954.0,,,,,,,,,1.0,,
42,PT08M12.00S,2022-10-26T23:18:16.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630532,29.77989487516426,73.77450980392157,1610612753,6,8,2022-10-26T23:18:23Z,420000,-119.0,227.0,1,left,MISS F. Wagner 25' step back 3PT,[1630532],1610612753.0,ORL,step back,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,25.66,Missed,,,,,,,,,,,,,,,,,,
43,PT08M09.00S,2022-10-26T23:18:19.8Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,6,8,2022-10-26T23:18:23Z,430000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,
44,PT08M03.00S,2022-10-26T23:18:26.9Z,1,REGULAR,turnover,lost ball,[],1627747,,,1610612739,6,8,2022-10-26T23:18:31Z,440000,,,0,,C. LeVert lost ball TURNOVER (1 TO),"[1627747, 203082]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,1.0,Ross,203082.0
45,PT08M03.00S,2022-10-26T23:18:26.9Z,1,REGULAR,steal,,[],203082,,,1610612753,6,8,2022-10-26T23:20:48Z,450000,,,0,,T. Ross STEAL (1 STL),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
46,PT07M59.00S,2022-10-26T23:18:30.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203082,7.440867279894875,51.225490196078425,1610612753,6,10,2022-10-26T23:18:45Z,460000,-6.0,17.0,1,left,T. Ross running DUNK (2 PTS) (W. Carter Jr. 1 AST),"[203082, 1628976]",1610612753.0,ORL,running,,,Ross,T. Ross,,,,,Restricted Area,0-8 Center,1.84,Made,,,,,,,,,,,,2.0,W. Carter Jr.,1628976.0,1.0,,,
48,PT07M41.00S,2022-10-26T23:18:48.3Z,1,REGULAR,3pt,Jump Shot,[],1628378,68.01905387647832,61.76470588235294,1610612739,9,10,2022-10-26T23:18:54Z,480000,59.0,248.0,1,right,D. Mitchell 25' 3PT step back (3 PTS),[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,25.5,Made,,,,,,,,,,,,3.0,,,,,,
49,PT07M19.00S,2022-10-26T23:19:10.8Z,1,REGULAR,2pt,Jump Shot,[],1628976,9.280551905387648,66.42156862745098,1610612753,9,12,2022-10-26T23:19:19Z,490000,-82.0,35.0,1,left,W. Carter Jr. 8' fadeaway Jump Shot (2 PTS),[1628976],1610612753.0,ORL,fadeaway,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Left,8.91,Made,,,,,,,,,,,,2.0,,,,,,
50,PT06M59.00S,2022-10-26T23:19:29.6Z,1,REGULAR,3pt,Jump Shot,[],1627747,87.86136662286465,4.166666666666666,1610612739,12,12,2022-10-26T23:19:34Z,500000,-229.0,62.0,1,right,C. LeVert 3PT  (6 PTS) (D. Mitchell 2 AST),"[1627747, 1628378]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Left Corner 3,24+ Left,23.73,Made,,,,,,,,,,,,6.0,D. Mitchell,1628378.0,2.0,,,
52,PT06M46.00S,2022-10-26T23:19:46.8Z,1,REGULAR,foul,personal,[],1629731,,,1610612753,12,12,2022-10-26T23:20:06Z,520000,,,0,,D. Wade personal FOUL (2 PF),"[1629731, 1630532]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Mid-Range,8-16 Right,,,,,,,,,2882.0,2.0,0.0,Wagner,1630532.0,,,,,,,
54,PT06M46.00S,2022-10-26T23:20:04.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,12,12,2022-10-26T23:20:04Z,540000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M46.00S,2022-10-26T23:20:57.4Z,1,REGULAR,substitution,out,[],1631094,,,1610612753,12,12,2022-10-26T23:25:32Z,542500,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M46.00S,2022-10-26T23:20:57.4Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,12,12,2022-10-26T23:25:32Z,543750,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M46.00S,2022-10-26T23:20:57.4Z,1,REGULAR,substitution,in,[],1630284,,,1610612753,12,12,2022-10-26T23:25:32Z,544375,,,0,,SUB in: K. Harris,[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M46.00S,2022-10-26T23:20:57.4Z,1,REGULAR,substitution,in,[],1629626,,,1610612753,12,12,2022-10-26T23:25:32Z,544687,,,0,,SUB in: B. Bol,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M46.00S,2022-10-26T23:21:50.8Z,1,REGULAR,substitution,out,[],1630596,,,1610612753,12,12,2022-10-26T23:25:16Z,545000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M46.00S,2022-10-26T23:21:50.8Z,1,REGULAR,substitution,out,[],1629731,,,1610612753,12,12,2022-10-26T23:25:16Z,547500,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M46.00S,2022-10-26T23:21:50.8Z,1,REGULAR,substitution,in,[],1626224,,,1610612753,12,12,2022-10-26T23:25:16Z,549843,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M46.00S,2022-10-26T23:21:50.8Z,1,REGULAR,substitution,in,[],201567,,,1610612753,12,12,2022-10-26T23:25:16Z,549921,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT06M46.00S,2022-10-26T23:22:44.2Z,1,REGULAR,violation,kicked ball,[],1628378,,,1610612753,12,12,2022-10-26T23:27:43Z,549960,,,0,,D. Mitchell kicked ball VIOLATION,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M39.00S,2022-10-26T23:23:37.6Z,1,REGULAR,turnover,lost ball,[],1630284,,,1610612753,12,12,2022-10-26T23:23:49Z,550000,,,0,,K. Harris lost ball TURNOVER (1 TO),"[1630284, 1627747]",1610612753.0,ORL,,,,Harris,K. Harris,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,1.0,LeVert,1627747.0
56,PT06M39.00S,2022-10-26T23:23:37.6Z,1,REGULAR,steal,,[],1627747,,,1610612739,12,12,2022-10-26T23:33:28Z,560000,,,0,,C. LeVert STEAL (1 STL),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
57,PT06M39.00S,2022-10-26T23:23:46.2Z,1,REGULAR,foul,personal,['2freethrow'],1630175,,,1610612739,12,12,2022-10-26T23:46:34Z,570000,,,0,,C. Anthony shooting personal FOUL (1 PF) (Osman 2 FT),"[1630175, 1626224]",1610612753.0,ORL,shooting,,,Anthony,C. Anthony,,,,,Mid-Range,8-16 Left,,,,,,,,,200833.0,1.0,0.0,Osman,1626224.0,,,,,,,
59,PT06M39.00S,2022-10-26T23:24:19.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1626224,,,1610612739,12,12,2022-10-26T23:24:19Z,590000,,,0,,MISS C. Osman Free Throw 1 of 2,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
60,PT06M39.00S,2022-10-26T23:24:19.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,12,12,2022-10-26T23:24:19Z,600000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,
61,PT06M39.00S,2022-10-26T23:24:37.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1626224,,,1610612739,13,12,2022-10-26T23:24:37Z,610000,,,0,,C. Osman Free Throw 2 of 2 (1 PTS),[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
62,PT06M29.00S,2022-10-26T23:24:48.5Z,1,REGULAR,3pt,Jump Shot,[],1630175,31.225361366622867,70.58823529411765,1610612753,13,12,2022-10-26T23:33:39Z,620000,-103.0,241.0,1,left,MISS C. Anthony 26' pullup 3PT,[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Left Center,26.2,Missed,,,,,,,,,,,,,,,,,,
63,PT06M22.00S,2022-10-26T23:24:54.7Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,13,12,2022-10-26T23:24:54Z,630000,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,Above the Break 3,24+ Left Center,,,62.0,1.0,1.0,0.0,,,,,,,,,,,,,,
64,PT06M15.00S,2022-10-26T23:25:04.5Z,1,REGULAR,foul,personal,[],1630284,,,1610612739,13,12,2022-10-26T23:25:13Z,640000,,,0,,K. Harris personal FOUL (1 PF),"[1630284, 1628378]",1610612753.0,ORL,,,,Harris,K. Harris,,,,,Above the Break 3,24+ Right Center,,,,,,,,,200833.0,1.0,0.0,Mitchell,1628378.0,,,,,,,
80,PT06M00.00S,2022-10-26T23:25:35.8Z,1,REGULAR,3pt,Jump Shot,[],1628378,69.72733245729303,27.941176470588236,1610612739,13,12,2022-10-26T23:25:43Z,660000,-110.0,232.0,1,right,MISS D. Mitchell 25' step back 3PT,[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,25.7,Missed,,,,,,,,,,,,,,,,,,
81,PT05M57.00S,2022-10-26T23:25:39.1Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,13,12,2022-10-26T23:25:39Z,670000,,,0,,B. Bol REBOUND (Off:0 Def:1),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Above the Break 3,24+ Left Center,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,,
82,PT05M48.00S,2022-10-26T23:25:48.2Z,1,REGULAR,3pt,Jump Shot,[],1630175,11.777266754270697,96.81372549019608,1610612753,13,12,2022-10-26T23:25:55Z,680000,-234.0,58.0,1,left,MISS C. Anthony 24' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Left Corner 3,24+ Left,24.12,Missed,,,,,,,,,,,,,,,,,,
83,PT05M46.00S,2022-10-26T23:25:50.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,13,12,2022-10-26T23:25:55Z,690000,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Left Corner 3,24+ Left,,,82.0,,,,,,,,,,,,,,,,,
85,PT05M33.00S,2022-10-26T23:26:12.3Z,1,REGULAR,foul,personal,['2freethrow'],1630175,,,1610612739,13,12,2022-10-26T23:26:25Z,710000,,,0,,C. Anthony shooting personal FOUL (2 PF) (LeVert 2 FT),"[1630175, 1627747]",1610612753.0,ORL,shooting,,,Anthony,C. Anthony,,,,,Restricted Area,0-8 Center,,,,,,,,,200833.0,2.0,0.0,LeVert,1627747.0,,,,,,,
87,PT05M33.00S,2022-10-26T23:26:37.6Z,1,REGULAR,freethrow,1 of 2,[],1627747,,,1610612739,13,12,2022-10-26T23:27:23Z,730000,,,0,,MISS C. LeVert Free Throw 1 of 2,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
88,PT05M33.00S,2022-10-26T23:26:37.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612739,13,12,2022-10-26T23:27:23Z,740000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,
90,PT05M33.00S,2022-10-26T23:26:38.4Z,1,REGULAR,substitution,in,[],203526,,,1610612739,13,12,2022-10-26T23:26:43Z,760000,,,0,,SUB in: R. Neto,[203526],1610612739.0,CLE,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT05M33.00S,2022-10-26T23:26:38.4Z,1,REGULAR,substitution,out,[],1628378,,,1610612739,13,12,2022-10-26T23:29:16Z,765000,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M33.00S,2022-10-26T23:26:37.6Z,1,REGULAR,freethrow,2 of 2,[],1627747,,,1610612739,13,12,2022-10-26T23:27:23Z,770000,,,0,,MISS C. LeVert Free Throw 2 of 2,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
92,PT05M30.00S,2022-10-26T23:26:40.6Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,13,12,2022-10-26T23:27:23Z,780000,,,0,,B. Bol REBOUND (Off:0 Def:2),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,91.0,2.0,2.0,0.0,,,,,,,,,,,,,,
93,PT05M22.00S,2022-10-26T23:27:05.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629626,15.193823915900131,42.8921568627451,1610612753,13,12,2022-10-26T23:36:51Z,790000,36.0,90.0,1,left,MISS B. Bol 9' driving Hook - blocked,"[1629626, 1628386]",1610612753.0,ORL,driving,,,Bol,B. Bol,,,,,In The Paint (Non-RA),8-16 Center,9.7,Missed,,,,,Allen,1628386.0,,,,,,,,,,,,
345,PT05M22.00S,2022-10-26T23:27:05.9Z,1,REGULAR,block,,[],1628386,,,1610612753,13,12,2022-10-27T00:22:36Z,795000,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
