actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
24,PT09M57.00S,2022-11-02T23:48:17.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,11.514454664914586,34.80392156862745,1610612738,2,4,2022-11-02T23:51:10Z,240000,76.0,56.0,1,left,MISS J. Tatum 9' driving floating bank Shot,[1628369],1610612738.0,BOS,driving floating bank,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Right,9.42,Missed,,,,,,,,,,,,,,,,,,
25,PT09M54.00S,2022-11-02T23:48:20.2Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,2,4,2022-11-02T23:48:22Z,250000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Right,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,
26,PT09M49.00S,2022-11-02T23:48:25.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629636,65.39093298291722,55.88235294117647,1610612739,5,4,2022-11-02T23:51:22Z,260000,29.0,273.0,1,right,D. Garland 27' 3PT running (3 PTS) (C. LeVert 1 AST),"[1629636, 1627747]",1610612739.0,CLE,running,,,Garland,D. Garland,,,,,Above the Break 3,24+ Center,27.44,Made,3.0,,,,,C. LeVert,1627747.0,1.0,,,,,,,,,,
28,PT09M38.00S,2022-11-02T23:48:35.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,20.844283837056505,94.11764705882352,1610612738,5,4,2022-11-02T23:48:39Z,280000,-221.0,143.0,1,left,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,26.31,Missed,,,,,,,,,,,,,,,,,,
29,PT09M36.00S,2022-11-02T23:48:37.8Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,5,4,2022-11-02T23:48:39Z,290000,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,
30,PT09M29.00S,2022-11-02T23:48:45.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,92.46057818659659,50.245098039215684,1610612739,5,4,2022-11-02T23:48:49Z,300000,1.0,18.0,1,right,MISS D. Garland driving Layup - blocked,"[1629636, 201143]",1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,1.84,Missed,,,,,,,,,,,,,,Horford,201143.0,,,
31,PT09M29.00S,2022-11-02T23:48:45.3Z,1,REGULAR,block,,[],201143,,,1610612739,5,4,2022-11-02T23:48:47Z,310000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
32,PT09M26.00S,2022-11-02T23:48:48.3Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,5,4,2022-11-02T23:48:49Z,320000,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,
33,PT09M26.00S,2022-11-02T23:48:52.2Z,1,REGULAR,foul,personal,['2freethrow'],1628378,,,1610612738,5,4,2022-11-02T23:49:07Z,330000,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Tatum 2 FT),"[1628378, 1628369]",1610612739.0,CLE,shooting,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627962.0,1.0,0.0,Tatum,1628369.0,,,,,
35,PT09M26.00S,2022-11-02T23:49:19.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628369,,,1610612738,5,5,2022-11-02T23:49:19Z,350000,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
36,PT09M26.00S,2022-11-02T23:49:34.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628369,,,1610612738,5,6,2022-11-02T23:49:34Z,360000,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
37,PT09M12.00S,2022-11-02T23:49:50.6Z,1,REGULAR,3pt,Jump Shot,[],1629636,66.3107752956636,23.774509803921568,1610612739,8,6,2022-11-02T23:52:40Z,370000,-131.0,264.0,1,right,D. Garland 29' 3PT pullup (6 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,29.49,Made,6.0,,,,,,,,,,,,,,,,,
38,PT08M53.00S,2022-11-02T23:50:09.7Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,8,6,2022-11-02T23:50:18Z,380000,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 1629636]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,1.0,Garland,1629636.0
39,PT08M53.00S,2022-11-02T23:50:09.7Z,1,REGULAR,steal,,[],1629636,,,1610612739,8,6,2022-11-02T23:50:11Z,390000,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
40,PT08M47.00S,2022-11-02T23:50:15.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627747,82.9993429697766,3.6764705882352944,1610612739,8,6,2022-11-02T23:50:22Z,400000,-232.0,107.0,1,right,MISS C. LeVert 25' 3PT,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Left Center,25.52,Missed,,,,,,,,,,,,,,,,,,
41,PT08M45.00S,2022-11-02T23:50:18.9Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,8,6,2022-11-02T23:50:18Z,410000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,
42,PT08M45.00S,2022-11-02T23:50:23.3Z,1,REGULAR,foul,personal,[],1630596,,,1610612738,8,6,2022-11-02T23:50:29Z,420000,,,0,,E. Mobley personal FOUL (1 PF),"[1630596, 203935]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1627962.0,1.0,0.0,Smart,203935.0,,,,,
45,PT08M25.00S,2022-11-02T23:51:14.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,8.623521681997373,55.14705882352941,1610612738,8,6,2022-11-02T23:51:19Z,450000,-26.0,29.0,1,left,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,3.85,Missed,,,,,,,,,,,,,,,,,,
46,PT08M21.00S,2022-11-02T23:51:18.5Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,8,6,2022-11-02T23:51:19Z,460000,,,0,,A. Horford REBOUND (Off:1 Def:0),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,45.0,1.0,0.0,1.0,,,,,,,,,,,,,
47,PT08M21.00S,2022-11-02T23:51:18.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201143,5.590000152587891,50.0,1610612738,8,6,2022-11-02T23:51:20Z,470000,0.0,0.0,1,left,MISS A. Horford tip Layup,[201143],1610612738.0,BOS,tip,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
48,PT08M21.00S,2022-11-02T23:51:18.2Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,8,6,2022-11-02T23:51:20Z,480000,,,0,,E. Mobley REBOUND (Off:0 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,
49,PT08M12.00S,2022-11-02T23:51:27.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,88.91261498028909,37.745098039215684,1610612739,10,6,2022-11-02T23:51:32Z,490000,-61.0,52.0,1,right,E. Mobley 8' turnaround Hook (2 PTS) (D. Mitchell 1 AST),"[1630596, 1628378]",1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,8.02,Made,2.0,,,,,D. Mitchell,1628378.0,1.0,,,,,,,,,,
51,PT07M48.00S,2022-11-02T23:51:51.2Z,1,REGULAR,2pt,Jump Shot,[],1627759,24.655059132720105,27.450980392156865,1610612738,10,8,2022-11-02T23:51:56Z,510000,113.0,179.0,1,left,J. Brown 21' Jump Shot (4 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,21.18,Made,4.0,,,,,M. Smart,203935.0,1.0,,,,,,,,,,
53,PT07M32.00S,2022-11-02T23:52:07.5Z,1,REGULAR,3pt,Jump Shot,[],1629636,93.9060446780552,95.83333333333334,1610612739,13,8,2022-11-02T23:55:08Z,530000,229.0,5.0,1,right,D. Garland 3PT fadeaway (9 PTS) (D. Mitchell 2 AST),"[1629636, 1628378]",1610612739.0,CLE,fadeaway,,,Garland,D. Garland,,,,,Right Corner 3,24+ Right,22.93,Made,9.0,,,,,D. Mitchell,1628378.0,2.0,,,,,,,,,,
56,PT07M23.00S,2022-11-02T23:52:16.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,5.075558475689881,95.83333333333334,1610612738,13,11,2022-11-02T23:52:21Z,560000,-229.0,-5.0,1,left,J. Brown 3PT  (7 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,22.93,Made,7.0,,,,,J. Tatum,1628369.0,1.0,,,,,,,,,,
58,PT07M08.00S,2022-11-02T23:52:31.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628386,86.02168199737189,56.372549019607845,1610612739,13,11,2022-11-02T23:56:14Z,580000,32.0,79.0,1,right,MISS J. Allen 8' floating Shot,[1628386],1610612739.0,CLE,floating,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,8.51,Missed,,,,,,,,,,,,,,,,,,
59,PT07M06.00S,2022-11-02T23:52:33.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,13,11,2022-11-02T23:52:35Z,590000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,
60,PT07M00.00S,2022-11-02T23:52:39.4Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,13,11,2022-11-02T23:52:56Z,600000,,,0,,J. Tatum bad pass TURNOVER (2 TO),"[1628369, 1629636]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,2.0,Garland,1629636.0
61,PT07M00.00S,2022-11-02T23:52:39.4Z,1,REGULAR,steal,,[],1629636,,,1610612739,13,11,2022-11-02T23:52:43Z,610000,,,0,,D. Garland STEAL (2 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
62,PT06M53.00S,2022-11-02T23:52:46.7Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628378,81.553876478318,3.1862745098039214,1610612739,16,11,2022-11-02T23:58:22Z,620000,-234.0,121.0,1,right,D. Mitchell 26' 3PT running pullup (3 PTS) (D. Garland 2 AST),"[1628378, 1629636]",1610612739.0,CLE,running pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,26.35,Made,3.0,,,,,D. Garland,1629636.0,2.0,,,,,,,,,,
64,PT06M39.00S,2022-11-02T23:53:00.4Z,1,REGULAR,2pt,Jump Shot,[],1627759,13.222733245729303,75.49019607843137,1610612738,16,11,2022-11-02T23:53:07Z,640000,-127.0,72.0,1,left,MISS J. Brown 14' step back Shot,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,14.63,Missed,,,,,,,,,,,,,,,,,,
65,PT06M35.00S,2022-11-02T23:53:04.4Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,16,11,2022-11-02T23:53:07Z,650000,,,0,,E. Mobley REBOUND (Off:0 Def:3),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Left,,,,64.0,3.0,3.0,0.0,,,,,,,,,,,,,
67,PT06M30.00S,2022-11-02T23:53:19.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,16,11,2022-11-02T23:53:19Z,670000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M30.00S,2022-11-02T23:54:05.1Z,1,REGULAR,substitution,out,[],1629636,,,1610612739,16,11,2022-11-02T23:56:35Z,680000,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M30.00S,2022-11-02T23:54:05.1Z,1,REGULAR,substitution,in,[],1629731,,,1610612739,16,11,2022-11-02T23:56:35Z,690000,,,0,,SUB in: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M25.00S,2022-11-02T23:56:48.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,93.38042049934296,50.245098039215684,1610612739,18,11,2022-11-02T23:57:11Z,700000,1.0,10.0,1,right,J. Allen reverse DUNK (4 PTS) (E. Mobley 1 AST),"[1628386, 1630596]",1610612739.0,CLE,reverse,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,0.98,Made,4.0,,,,,E. Mobley,1630596.0,1.0,,,,,,,,,,
72,PT06M00.00S,2022-11-02T23:57:17.3Z,1,REGULAR,foul,personal,['2freethrow'],1630596,,,1610612738,18,11,2022-11-02T23:57:24Z,720000,,,0,,E. Mobley shooting personal FOUL (2 PF) (Brown 2 FT),"[1630596, 1627759]",1610612739.0,CLE,shooting,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1179.0,2.0,0.0,Brown,1627759.0,,,,,
74,PT06M00.00S,2022-11-02T23:57:42.8Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,18,12,2022-11-02T23:57:42Z,740000,,,0,,J. Brown Free Throw 1 of 2 (8 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
75,PT06M00.00S,2022-11-02T23:57:44.6Z,1,REGULAR,substitution,out,[],1630596,,,1610612738,18,12,2022-11-02T23:57:53Z,750000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M00.00S,2022-11-02T23:57:44.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,18,12,2022-11-02T23:57:53Z,760000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M00.00S,2022-11-02T23:57:44.6Z,1,REGULAR,substitution,in,[],201567,,,1610612738,18,12,2022-11-02T23:57:53Z,770000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M00.00S,2022-11-02T23:57:44.6Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,18,12,2022-11-02T23:57:53Z,780000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M00.00S,2022-11-02T23:58:11.8Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,18,13,2022-11-02T23:58:11Z,790000,,,0,,J. Brown Free Throw 2 of 2 (9 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
80,PT05M38.00S,2022-11-02T23:58:34.9Z,1,REGULAR,3pt,Jump Shot,[],1629731,82.34231274638634,95.34313725490196,1610612739,18,13,2022-11-02T23:58:39Z,800000,227.0,113.0,1,right,MISS D. Wade 25' 3PT,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Right Center,25.35,Missed,,,,,,,,,,,,,,,,,,
81,PT05M37.00S,2022-11-02T23:58:37.3Z,1,REGULAR,rebound,offensive,[],201567,,,1610612739,18,13,2022-11-02T23:58:37Z,810000,,,0,,K. Love REBOUND (Off:1 Def:0),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,Above the Break 3,24+ Right Center,,,,80.0,1.0,0.0,1.0,,,,,,,,,,,,,
128,PT05M36.00S,2022-11-02T23:58:40.1Z,1,REGULAR,turnover,bad pass,[],201567,,,1610612739,18,13,2022-11-03T00:06:41Z,815000,,,0,,K. Love bad pass TURNOVER (1 TO),"[201567, 201143]",1610612739.0,CLE,,,,Love,K. Love,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,1.0,Horford,201143.0
129,PT05M36.00S,2022-11-02T23:58:40.1Z,1,REGULAR,steal,,[],201143,,,1610612738,18,13,2022-11-03T00:06:41Z,817500,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
132,PT05M35.00S,2022-11-02T23:58:42.7Z,1,REGULAR,turnover,bad pass,[],201143,,,1610612738,18,13,2022-11-03T00:07:04Z,818750,,,0,,A. Horford bad pass TURNOVER (1 TO),"[201143, 1629731]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,1.0,Wade,1629731.0
133,PT05M35.00S,2022-11-02T23:58:42.7Z,1,REGULAR,steal,,[],1629731,,,1610612739,18,13,2022-11-03T00:07:04Z,819375,,,0,,D. Wade STEAL (1 STL),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
82,PT05M30.00S,2022-11-02T23:58:45.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629731,94.30026281208936,50.49019607843137,1610612739,20,13,2022-11-03T00:07:04Z,820000,2.0,1.0,1,right,D. Wade Layup (2 PTS) (D. Mitchell 3 AST),"[1629731, 1628378]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Restricted Area,0-8 Center,0.27,Made,2.0,,,,,D. Mitchell,1628378.0,3.0,,,,,,,,,,
84,PT05M30.00S,2022-11-02T23:58:50.8Z,1,REGULAR,foul,personal,['1freethrow'],1627759,,,1610612739,20,13,2022-11-02T23:59:01Z,840000,,,0,,J. Brown shooting personal FOUL (1 PF) (Wade 1 FT),"[1627759, 1629731]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1179.0,1.0,0.0,Wade,1629731.0,,,,,
