actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,area,areaDetail,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
20,PT09M40.00S,2023-01-16T20:14:23.5Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,9,2,2023-01-16T20:15:04Z,200000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,Restricted Area,0-8 Center,19.0,1.0,0.0,1.0,,,,,,,,,,
21,PT09M39.00S,2023-01-16T20:14:28.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202685,94.40999984741211,50.0,1610612740,9,4,2023-01-16T20:20:55Z,210000,False,0.0,0.0,1,right,J. Valanciunas putback Layup (2 PTS),[202685],1610612740.0,NOP,putback,,,Valanciunas,J. Valanciunas,,,,,0.0,Made,2.0,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
22,PT09M24.00S,2023-01-16T20:14:40.4Z,1,REGULAR,2pt,Jump Shot,[],1628386,24.129434954007884,56.86274509803921,1610612739,9,4,2023-01-16T20:15:08Z,220000,False,-34.0,174.0,1,left,MISS J. Allen 17' Jump Shot,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,17.76,Missed,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,
23,PT09M19.00S,2023-01-16T20:14:45.4Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612740,9,4,2023-01-16T20:22:07Z,230000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,Mid-Range,16-24 Center,22.0,1.0,1.0,0.0,,,,,,,,,,
24,PT09M08.00S,2023-01-16T20:14:56.0Z,1,REGULAR,3pt,Jump Shot,[],203468,73.80091984231275,86.02941176470588,1610612740,9,4,2023-01-16T20:15:10Z,240000,False,180.0,194.0,1,right,MISS C. McCollum 26' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,26.46,Missed,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,
25,PT09M04.00S,2023-01-16T20:14:59.6Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,9,4,2023-01-16T20:14:59Z,250000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,Above the Break 3,24+ Right Center,24.0,1.0,1.0,0.0,,,,,,,,,,
26,PT08M58.00S,2023-01-16T20:15:05.2Z,1,REGULAR,3pt,Jump Shot,[],1628378,32.933639947437584,58.08823529411765,1610612739,9,4,2023-01-16T20:19:33Z,260000,False,-40.0,257.0,1,left,MISS D. Mitchell 26' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,26.03,Missed,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,
27,PT08M55.00S,2023-01-16T20:15:08.2Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612740,9,4,2023-01-16T20:15:12Z,270000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,Above the Break 3,24+ Center,26.0,1.0,1.0,0.0,,,,,,,,,,
28,PT08M50.00S,2023-01-16T20:15:13.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203468,91.85282522996059,44.24019607843137,1610612740,9,4,2023-01-16T20:20:18Z,280000,False,-29.0,24.0,1,right,MISS C. McCollum running Layup - blocked,"[203468, 1628378]",1610612740.0,NOP,running,,,McCollum,C. McCollum,,,,,3.76,Missed,,,,,Restricted Area,0-8 Center,,,,,,Mitchell,1628378.0,,,,,,,
29,PT08M50.00S,2023-01-16T20:15:13.7Z,1,REGULAR,block,,[],1628378,,,1610612740,9,4,2023-01-16T20:15:16Z,290000,False,,,0,,D. Mitchell BLOCK (1 BLK),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
30,PT08M46.00S,2023-01-16T20:15:17.7Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,9,4,2023-01-16T20:15:19Z,300000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,Restricted Area,0-8 Center,28.0,1.0,1.0,0.0,,,,,,,,,,
31,PT08M44.00S,2023-01-16T20:15:20.3Z,1,REGULAR,turnover,lost ball,[],1628378,,,1610612739,9,4,2023-01-16T20:15:35Z,310000,False,,,0,,D. Mitchell lost ball TURNOVER (1 TO),"[1628378, 1630700]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,Mid-Range,8-16 Right,,,,,1.0,,,Daniels,1630700.0,,,,,
32,PT08M44.00S,2023-01-16T20:15:20.3Z,1,REGULAR,steal,,[],1630700,,,1610612740,9,4,2023-01-16T20:15:26Z,320000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,
33,PT08M36.00S,2023-01-16T20:15:27.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630530,94.03745072273325,51.71568627450981,1610612740,9,6,2023-01-16T20:15:41Z,330000,False,9.0,4.0,1,right,T. Murphy III running DUNK (2 PTS) (N. Marshall 1 AST),"[1630530, 1630230]",1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,0.93,Made,2.0,N. Marshall,1630230.0,1.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,
34,PT08M08.00S,2023-01-16T20:15:56.0Z,1,REGULAR,3pt,Jump Shot,[],1629636,20.844283837056505,92.8921568627451,1610612739,9,6,2023-01-16T20:23:13Z,340000,False,-214.0,143.0,1,left,MISS D. Garland 25' step back 3PT,[1629636],1610612739.0,CLE,step back,,,Garland,D. Garland,,,,,25.8,Missed,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,
35,PT08M05.00S,2023-01-16T20:15:58.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,9,6,2023-01-16T20:15:58Z,350000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,Above the Break 3,24+ Left Center,34.0,2.0,1.0,1.0,,,,,,,,,,
36,PT07M52.00S,2023-01-16T20:16:11.6Z,1,REGULAR,2pt,Jump Shot,[],202685,81.2910643889619,22.794117647058822,1610612740,9,8,2023-01-16T20:16:16Z,360000,False,-136.0,123.0,1,right,J. Valanciunas 18' Jump Shot (4 PTS) (T. Murphy III 1 AST),"[202685, 1630530]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,18.36,Made,4.0,T. Murphy III,1630530.0,1.0,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,
38,PT07M33.00S,2023-01-16T20:16:30.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,7.703679369250986,49.50980392156863,1610612739,11,8,2023-01-16T20:16:35Z,380000,False,2.0,20.0,1,left,E. Mobley cutting DUNK (4 PTS) (D. Garland 1 AST),"[1630596, 1629636]",1610612739.0,CLE,cutting,,,Mobley,E. Mobley,,,,,2.01,Made,4.0,D. Garland,1629636.0,1.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,
40,PT07M11.00S,2023-01-16T20:16:52.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630230,94.03745072273325,50.98039215686274,1610612740,11,10,2023-01-16T20:16:58Z,400000,False,5.0,4.0,1,right,N. Marshall driving DUNK (2 PTS) (D. Daniels 1 AST),"[1630230, 1630700]",1610612740.0,NOP,driving,,,Marshall,N. Marshall,,,,,0.6,Made,2.0,D. Daniels,1630700.0,1.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,
42,PT06M49.00S,2023-01-16T20:17:15.1Z,1,REGULAR,3pt,Jump Shot,[],1629636,25.443495400788436,8.57843137254902,1610612739,11,10,2023-01-16T20:17:18Z,420000,False,207.0,187.0,1,left,MISS D. Garland 27' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,27.88,Missed,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,
43,PT06M46.00S,2023-01-16T20:17:18.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,11,10,2023-01-16T20:17:18Z,430000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,Above the Break 3,24+ Right Center,42.0,3.0,2.0,1.0,,,,,,,,,,
44,PT06M39.00S,2023-01-16T20:17:24.8Z,1,REGULAR,2pt,Jump Shot,[],203468,84.97043363994744,76.7156862745098,1610612740,11,10,2023-01-16T20:17:33Z,440000,False,134.0,89.0,1,right,MISS C. McCollum 16' fadeaway Shot,[203468],1610612740.0,NOP,fadeaway,,,McCollum,C. McCollum,,,,,16.04,Missed,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,
45,PT06M37.00S,2023-01-16T20:17:26.8Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,11,10,2023-01-16T20:17:33Z,450000,False,,,0,,I. Okoro REBOUND (Off:0 Def:2),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,Mid-Range,16-24 Right,44.0,2.0,2.0,0.0,,,,,,,,,,
51,PT06M31.00S,2023-01-16T20:17:28.8Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,11,10,2023-01-16T20:18:22Z,455000,False,,,0,,D. Garland bad pass TURNOVER (1 TO),"[1629636, 1630700]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,1.0,,,Daniels,1630700.0,,,,,
52,PT06M31.00S,2023-01-16T20:17:28.8Z,1,REGULAR,steal,,[],1630700,,,1610612740,11,10,2023-01-16T20:18:22Z,457500,False,,,0,,D. Daniels STEAL (2 STL),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,
48,PT06M26.00S,2023-01-16T20:17:38.6Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630530,76.95466491458606,88.23529411764706,1610612740,11,13,2023-01-16T20:25:12Z,480000,False,191.0,164.0,1,right,T. Murphy III 25' 3PT running (5 PTS) (C. McCollum 1 AST),"[1630530, 203468]",1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,25.2,Made,5.0,C. McCollum,203468.0,1.0,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,
50,PT06M26.00S,2023-01-16T20:17:52.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,11,13,2023-01-16T20:17:52Z,500000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M05.00S,2023-01-16T20:20:56.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,7.178055190538765,49.26470588235294,1610612739,13,13,2023-01-16T20:21:06Z,510000,False,4.0,15.0,1,left,J. Allen alley-oop DUNK (4 PTS) (D. Garland 2 AST),"[1628386, 1629636]",1610612739.0,CLE,alley-oop,,,Allen,J. Allen,,,,,1.54,Made,4.0,D. Garland,1629636.0,2.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,
55,PT05M49.00S,2023-01-16T20:21:10.9Z,1,REGULAR,3pt,Jump Shot,[],203468,66.83639947437582,29.166666666666668,1610612740,13,13,2023-01-16T20:21:18Z,530000,False,-104.0,259.0,1,right,MISS C. McCollum 27' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,27.94,Missed,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,
56,PT05M48.00S,2023-01-16T20:21:11.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,13,13,2023-01-16T20:21:18Z,540000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,Above the Break 3,24+ Left Center,55.0,,,,,,,,,,,,,
58,PT05M48.00S,2023-01-16T20:21:17.1Z,1,REGULAR,substitution,out,[],1630230,,,1610612739,13,13,2023-01-16T20:21:31Z,550000,False,,,0,,SUB out: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT05M48.00S,2023-01-16T20:21:17.1Z,1,REGULAR,substitution,in,[],1630631,,,1610612739,13,13,2023-01-16T20:21:31Z,560000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT05M33.00S,2023-01-16T20:21:49.9Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,13,13,2023-01-16T20:22:11Z,580000,False,,,0,,D. Garland step out-of-bounds TURNOVER (2 TO),[1629636],1610612739.0,CLE,step,,,Garland,D. Garland,,,,,,,,,,,Mid-Range,8-16 Right,,,,,2.0,,,,,1626300.0,,,,
63,PT05M33.00S,2023-01-16T20:21:54.0Z,1,REGULAR,substitution,out,[],1630596,,,1610612740,13,13,2023-01-16T20:22:07Z,590000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M33.00S,2023-01-16T20:21:54.0Z,1,REGULAR,substitution,out,[],1629636,,,1610612740,13,13,2023-01-16T20:22:07Z,600000,False,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M33.00S,2023-01-16T20:21:54.0Z,1,REGULAR,substitution,in,[],1627747,,,1610612740,13,13,2023-01-16T20:22:07Z,610000,False,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M33.00S,2023-01-16T20:21:54.0Z,1,REGULAR,substitution,in,[],201567,,,1610612740,13,13,2023-01-16T20:22:07Z,620000,False,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M12.00S,2023-01-16T20:22:34.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630530,90.09526938239159,78.92156862745098,1610612740,13,13,2023-01-16T20:22:45Z,630000,False,145.0,41.0,1,right,MISS T. Murphy III 15' fadeaway Shot,[1630530],1610612740.0,NOP,fadeaway,,,Murphy III,T. Murphy III,,,,,15.02,Missed,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,
68,PT05M10.00S,2023-01-16T20:22:36.5Z,1,REGULAR,rebound,offensive,[],1630530,,,1610612740,13,13,2023-01-16T20:22:45Z,640000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:0),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,Mid-Range,8-16 Right,67.0,1.0,0.0,1.0,,,,,,,,,,
69,PT05M06.00S,2023-01-16T20:22:40.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630530,89.96386333771353,53.431372549019606,1610612740,13,15,2023-01-16T20:27:26Z,650000,False,17.0,42.0,1,right,T. Murphy III putback Layup (7 PTS),[1630530],1610612740.0,NOP,putback,,,Murphy III,T. Murphy III,,,,,4.52,Made,7.0,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,
70,PT04M56.00S,2023-01-16T20:22:50.4Z,1,REGULAR,3pt,Jump Shot,[],201567,27.020367936925098,85.29411764705883,1610612739,13,15,2023-01-16T20:22:54Z,660000,False,-176.0,201.0,1,left,MISS K. Love 26' 3PT,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,26.79,Missed,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,
71,PT04M54.00S,2023-01-16T20:22:52.4Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,13,15,2023-01-16T20:22:54Z,670000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,Above the Break 3,24+ Left Center,70.0,4.0,3.0,1.0,,,,,,,,,,
72,PT04M46.00S,2023-01-16T20:23:07.2Z,1,REGULAR,foul,offensive,[],202685,,,1610612740,13,15,2023-01-16T20:23:17Z,680000,False,,,0,,J. Valanciunas offensive FOUL (1 PF),"[202685, 1628386]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2530.0,1.0,0.0,Allen,1628386.0
74,PT04M46.00S,2023-01-16T20:23:07.2Z,1,REGULAR,turnover,offensive foul,[],202685,,,1610612740,13,15,2023-01-16T20:23:07Z,700000,False,,,0,,J. Valanciunas offensive foul TURNOVER (1 TO),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,1.0,,,,,2530.0,,,,
75,PT04M34.00S,2023-01-16T20:23:37.3Z,1,REGULAR,turnover,out-of-bounds,[],1628378,,,1610612739,13,15,2023-01-16T20:23:51Z,710000,False,,,0,,D. Mitchell bad pass out-of-bounds TURNOVER (2 TO),[1628378],1610612739.0,CLE,bad pass,,,Mitchell,D. Mitchell,,,,,,,,,,,Mid-Range,16-24 Right Center,,,,,2.0,,,,,1626300.0,,,,
76,PT04M18.00S,2023-01-16T20:24:02.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630530,93.51182654402102,49.01960784313725,1610612740,13,15,2023-01-16T20:24:09Z,720000,False,-5.0,8.0,1,right,MISS T. Murphy III driving Layup,[1630530],1610612740.0,NOP,driving,,,Murphy III,T. Murphy III,,,,,0.98,Missed,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
77,PT04M18.00S,2023-01-16T20:24:02.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,13,15,2023-01-16T20:24:09Z,730000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,Restricted Area,0-8 Center,76.0,,,,,,,,,,,,,
78,PT04M18.00S,2023-01-16T20:24:08.2Z,1,REGULAR,foul,personal,['2freethrow'],1628378,,,1610612740,13,15,2023-01-16T20:24:31Z,740000,False,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Valanciunas 2 FT),"[1628378, 202685]",1610612739.0,CLE,shooting,,,Mitchell,D. Mitchell,,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,2530.0,1.0,0.0,Valanciunas,202685.0
80,PT04M18.00S,2023-01-16T20:24:32.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",202685,,,1610612740,13,16,2023-01-16T20:24:32Z,760000,False,,,0,,J. Valanciunas Free Throw 1 of 2 (5 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,,
81,PT04M18.00S,2023-01-16T20:24:33.6Z,1,REGULAR,substitution,out,[],1628378,,,1610612740,13,16,2023-01-16T20:24:50Z,770000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M18.00S,2023-01-16T20:24:33.6Z,1,REGULAR,substitution,out,[],1630700,,,1610612740,13,16,2023-01-16T20:24:50Z,780000,False,,,0,,SUB out: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M18.00S,2023-01-16T20:24:33.6Z,1,REGULAR,substitution,out,[],1630530,,,1610612740,13,16,2023-01-16T20:24:50Z,790000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M18.00S,2023-01-16T20:24:33.6Z,1,REGULAR,substitution,in,[],201937,,,1610612740,13,16,2023-01-16T20:24:50Z,800000,False,,,0,,SUB in: R. Rubio,[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M18.00S,2023-01-16T20:24:33.6Z,1,REGULAR,substitution,in,[],1628984,,,1610612740,13,16,2023-01-16T20:24:50Z,810000,False,,,0,,SUB in: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,,
