actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
17,PT10M35.00S,2023-02-09T00:13:46.6Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,4,2,2023-02-09T00:15:51Z,170000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,
18,PT10M29.00S,2023-02-09T00:13:51.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627747,7.046649145860711,51.9607843137255,1610612739,4,2,2023-02-09T00:18:03Z,180000,False,-10.0,14.0,1,left,MISS C. LeVert driving reverse Layup,[1627747],1610612739.0,CLE,driving reverse,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,1.68,Missed,,,,,,,,,,,,,,,,,,
19,PT10M27.00S,2023-02-09T00:13:53.7Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,4,2,2023-02-09T00:18:03Z,190000,False,,,0,,J. Allen REBOUND (Off:2 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,18.0,2.0,0.0,2.0,,,,,,
20,PT10M23.00S,2023-02-09T00:13:55.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628386,5.590000152587891,50.0,1610612739,4,2,2023-02-09T03:21:16Z,200000,False,0.0,0.0,1,left,MISS J. Allen tip Layup,[1628386],1610612739.0,CLE,tip,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
21,PT10M23.00S,2023-02-09T00:13:55.7Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,4,2,2023-02-09T03:21:16Z,210000,False,,,0,,J. Allen REBOUND (Off:3 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,20.0,3.0,0.0,3.0,,,,,,
22,PT10M23.00S,2023-02-09T00:14:02.2Z,1,REGULAR,foul,personal,['2freethrow'],1631105,,,1610612739,4,2,2023-02-09T00:14:10Z,220000,False,,,0,,J. Duren shooting personal FOUL (1 PF) (Allen 2 FT),"[1631105, 1628386]",1610612765.0,DET,shooting,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,1627961.0,,,,,,,,1.0,0.0,Allen,1628386.0,,
24,PT10M23.00S,2023-02-09T00:14:20.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628386,,,1610612739,4,2,2023-02-09T00:14:20Z,240000,False,,,0,,MISS J. Allen Free Throw 1 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
25,PT10M23.00S,2023-02-09T00:14:20.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,4,2,2023-02-09T00:14:20Z,250000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,
26,PT10M23.00S,2023-02-09T00:14:20.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628386,,,1610612739,4,2,2023-02-09T00:14:41Z,260000,False,,,0,,MISS J. Allen Free Throw 2 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
27,PT10M20.00S,2023-02-09T00:14:23.3Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612739,4,2,2023-02-09T00:14:41Z,270000,False,,,0,,I. Okoro REBOUND (Off:1 Def:0),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,26.0,1.0,0.0,1.0,,,,,,
28,PT10M17.00S,2023-02-09T00:14:43.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628386,8.623521681997373,51.9607843137255,1610612739,6,2,2023-02-09T00:15:00Z,280000,False,-10.0,29.0,1,left,J. Allen cutting DUNK (4 PTS) (I. Okoro 1 AST),"[1628386, 1630171]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,3.02,Made,4.0,I. Okoro,1630171.0,1.0,,,,,,,,,,,,,,
30,PT09M54.00S,2023-02-09T00:15:05.9Z,1,REGULAR,3pt,Jump Shot,[],1630191,89.17542706964521,97.54901960784314,1610612765,6,2,2023-02-09T00:15:14Z,300000,False,238.0,49.0,1,right,MISS I. Stewart 24' 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Right Corner 3,24+ Right,24.28,Missed,,,,,,,,,,,,,,,,,,
31,PT09M51.00S,2023-02-09T00:15:08.9Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612739,6,2,2023-02-09T00:15:14Z,310000,False,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Right Corner 3,24+ Right,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,
32,PT09M44.00S,2023-02-09T00:15:17.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,7.178055190538765,50.49019607843137,1610612739,8,2,2023-02-09T00:15:24Z,320000,False,-2.0,15.0,1,left,J. Allen cutting DUNK (6 PTS) (C. LeVert 2 AST),"[1628386, 1627747]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,1.52,Made,6.0,C. LeVert,1627747.0,2.0,,,,,,,,,,,,,,
34,PT09M44.00S,2023-02-09T00:15:22.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,8,2,2023-02-09T00:15:22Z,340000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M28.00S,2023-02-09T00:18:24.0Z,1,REGULAR,turnover,bad pass,[],202711,,,1610612765,8,2,2023-02-09T00:18:34Z,350000,False,,,0,,B. Bogdanovic bad pass TURNOVER (2 TO),"[202711, 1627747]",1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Left,,,,,,,,2.0,,,,,,,,,,,LeVert,1627747.0
36,PT09M28.00S,2023-02-09T00:18:24.0Z,1,REGULAR,steal,,[],1627747,,,1610612739,8,2,2023-02-09T00:18:26Z,360000,False,,,0,,C. LeVert STEAL (1 STL),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
37,PT09M22.00S,2023-02-09T00:18:29.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630171,6.783837056504599,4.166666666666666,1610612739,11,2,2023-02-09T00:18:37Z,370000,False,229.0,11.0,1,left,I. Okoro 3PT  (3 PTS) (R. Neto 2 AST),"[1630171, 203526]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,22.95,Made,3.0,R. Neto,203526.0,2.0,,,,,,,,,,,,,,
39,PT09M22.00S,2023-02-09T00:18:35.6Z,1,REGULAR,foul,personal,['1freethrow'],1631105,,,1610612739,11,2,2023-02-09T00:22:44Z,390000,False,,,0,,J. Duren away-from-play personal FOUL (2 PF) (Allen 1 FT),"[1631105, 1628386]",1610612765.0,DET,away-from-play,,,Duren,J. Duren,,,,,Mid-Range,8-16 Left,,,,,,,1627961.0,,,,,,,,2.0,0.0,Allen,1628386.0,,
42,PT09M22.00S,2023-02-09T00:19:08.5Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1628386,,,1610612739,11,2,2023-02-09T00:22:31Z,420000,False,,,0,,MISS J. Allen away-from-play Free Throw 1 of 1,[1628386],1610612739.0,CLE,away-from-play,,,Allen,J. Allen,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
43,PT09M19.00S,2023-02-09T00:19:11.5Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,11,2,2023-02-09T00:19:11Z,430000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,
44,PT08M59.00S,2023-02-09T00:19:31.3Z,1,REGULAR,3pt,Jump Shot,[],1630165,89.88173455978975,94.140625,1610612765,11,2,2023-02-09T00:19:57Z,440000,False,221.0,43.0,1,right,MISS K. Hayes step back 3PT,[1630165],1610612765.0,DET,step back,,,Hayes,K. Hayes,,,,,Right Corner 3,24+ Right,22.48,Missed,,,,,,,,,,,,,,,,,,
45,PT08M59.00S,2023-02-09T00:19:31.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,11,2,2023-02-09T00:27:04Z,450000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,,,44.0,,,,,,,,,
46,PT08M59.00S,2023-02-09T00:19:37.0Z,1,REGULAR,foul,personal,[],1630191,,,1610612739,11,2,2023-02-09T00:19:48Z,460000,False,,,0,,I. Stewart loose ball personal FOUL (1 PF),"[1630191, 1630596]",1610612765.0,DET,loose ball,,,Stewart,I. Stewart,,,,,Mid-Range,16-24 Left Center,,,,,,,2715.0,,,,,,,,1.0,0.0,Mobley,1630596.0,,
48,PT08M36.00S,2023-02-09T00:20:10.2Z,1,REGULAR,3pt,Jump Shot,[],203526,31.09395532194481,21.568627450980394,1610612739,11,2,2023-02-09T00:20:14Z,480000,False,142.0,240.0,1,left,MISS R. Neto 27' 3PT,[203526],1610612739.0,CLE,,,,Neto,R. Neto,,,,,Above the Break 3,24+ Right Center,27.88,Missed,,,,,,,,,,,,,,,,,,
49,PT08M33.00S,2023-02-09T00:20:13.2Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,11,2,2023-02-09T00:20:14Z,490000,False,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,
50,PT08M29.00S,2023-02-09T00:20:17.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202711,71.56701708278581,14.215686274509803,1610612765,11,2,2023-02-09T00:20:24Z,500000,False,-179.0,215.0,1,right,MISS B. Bogdanovic 27' 3PT,[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Left Center,27.95,Missed,,,,,,,,,,,,,,,,,,
51,PT08M24.00S,2023-02-09T00:20:22.0Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,11,2,2023-02-09T00:20:22Z,510000,False,,,0,,I. Stewart REBOUND (Off:1 Def:0),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,50.0,1.0,0.0,1.0,,,,,,
52,PT08M22.00S,2023-02-09T00:20:24.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631105,94.03745072273325,50.73529411764706,1610612765,11,4,2023-02-09T00:20:29Z,520000,False,4.0,4.0,1,right,J. Duren Layup (2 PTS) (I. Stewart 1 AST),"[1631105, 1630191]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,0.51,Made,2.0,I. Stewart,1630191.0,1.0,,,,,,,,,,,,,,
54,PT08M03.00S,2023-02-09T00:20:45.1Z,1,REGULAR,turnover,out-of-bounds,[],1630596,,,1610612739,11,4,2023-02-09T00:20:51Z,540000,False,,,0,,E. Mobley lost ball out-of-bounds TURNOVER (1 TO),[1630596],1610612739.0,CLE,lost ball,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Right,,,,,,,1628159.0,1.0,,,,,,,,,,,,
55,PT07M43.00S,2023-02-09T00:21:11.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630191,88.91261498028909,50.0,1610612765,11,6,2023-02-09T00:21:21Z,550000,False,0.0,52.0,1,right,I. Stewart Hook (2 PTS),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),0-8 Center,5.17,Made,2.0,,,,,,,,,,,,,,,,,
56,PT07M22.00S,2023-02-09T00:21:34.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203526,7.178055190538765,60.5392156862745,1610612739,13,6,2023-02-09T00:24:53Z,560000,False,-53.0,15.0,1,left,R. Neto driving floating Jump Shot (2 PTS) (I. Okoro 2 AST),"[203526, 1630171]",1610612739.0,CLE,driving floating,,,Neto,R. Neto,,,,,In The Paint (Non-RA),0-8 Center,5.48,Made,2.0,I. Okoro,1630171.0,2.0,,,,,,,,,,,,,,
58,PT07M09.00S,2023-02-09T00:21:44.1Z,1,REGULAR,3pt,Jump Shot,[],1630165,80.50262812089356,4.411764705882353,1610612765,13,6,2023-02-09T00:21:47Z,580000,False,-228.0,131.0,1,right,MISS K. Hayes 26' 3PT,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Above the Break 3,24+ Left Center,26.28,Missed,,,,,,,,,,,,,,,,,,
59,PT07M07.00S,2023-02-09T00:21:46.1Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,13,6,2023-02-09T00:21:47Z,590000,False,,,0,,E. Mobley REBOUND (Off:1 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,58.0,2.0,1.0,1.0,,,,,,
60,PT06M59.00S,2023-02-09T00:21:55.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,7.178055190538765,51.9607843137255,1610612739,15,6,2023-02-09T00:21:59Z,600000,False,-10.0,15.0,1,left,I. Okoro driving Layup (5 PTS) (E. Mobley 1 AST),"[1630171, 1630596]",1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,1.79,Made,5.0,E. Mobley,1630596.0,1.0,,,,,,,,,,,,,,
62,PT06M50.00S,2023-02-09T00:22:07.3Z,1,REGULAR,foul,personal,['2freethrow'],203526,,,1610612765,15,6,2023-02-09T00:22:15Z,620000,False,,,0,,R. Neto shooting personal FOUL (1 PF) (Ivey 2 FT),"[203526, 1631093]",1610612739.0,CLE,shooting,,,Neto,R. Neto,,,,,Mid-Range,8-16 Right,,,,,,,1627961.0,,,,,,,,1.0,0.0,Ivey,1631093.0,,
64,PT06M50.00S,2023-02-09T00:22:27.8Z,1,REGULAR,freethrow,1 of 2,[],1631093,,,1610612765,15,7,2023-02-09T00:22:27Z,640000,False,,,0,,J. Ivey Free Throw 1 of 2 (1 PTS),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
65,PT06M50.00S,2023-02-09T00:22:29.5Z,1,REGULAR,substitution,out,[],1631105,,,1610612765,15,7,2023-02-09T00:22:42Z,650000,False,,,0,,SUB out: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M50.00S,2023-02-09T00:22:29.5Z,1,REGULAR,substitution,in,[],1630180,,,1610612765,15,7,2023-02-09T00:22:42Z,660000,False,,,0,,SUB in: S. Bey,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M50.00S,2023-02-09T00:22:46.8Z,1,REGULAR,freethrow,2 of 2,[],1631093,,,1610612765,15,8,2023-02-09T00:22:46Z,670000,False,,,0,,J. Ivey Free Throw 2 of 2 (2 PTS),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
68,PT06M31.00S,2023-02-09T00:23:07.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,6.652431011826544,50.49019607843137,1610612739,17,8,2023-02-09T00:23:13Z,680000,False,-2.0,10.0,1,left,E. Mobley cutting Layup (4 PTS) (I. Okoro 3 AST),"[1630596, 1630171]",1610612739.0,CLE,cutting,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,1.03,Made,4.0,I. Okoro,1630171.0,3.0,,,,,,,,,,,,,,
70,PT06M13.00S,2023-02-09T00:23:26.0Z,1,REGULAR,turnover,lost ball,[],1631093,,,1610612765,17,8,2023-02-09T00:23:33Z,700000,False,,,0,,J. Ivey lost ball TURNOVER (1 TO),"[1631093, 203526]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,16-24 Left Center,,,,,,,,1.0,,,,,,,,,,,Neto,203526.0
71,PT06M13.00S,2023-02-09T00:23:26.0Z,1,REGULAR,steal,,[],203526,,,1610612739,17,8,2023-02-09T00:23:29Z,710000,False,,,0,,R. Neto STEAL (1 STL),[203526],1610612739.0,CLE,,,,Neto,R. Neto,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
72,PT05M57.00S,2023-02-09T00:23:41.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203526,28.86005256241787,75.49019607843137,1610612739,17,8,2023-02-09T00:23:48Z,720000,False,-127.0,219.0,1,left,MISS R. Neto 25' 3PT,[203526],1610612739.0,CLE,,,,Neto,R. Neto,,,,,Above the Break 3,24+ Left Center,25.32,Missed,,,,,,,,,,,,,,,,,,
73,PT05M52.00S,2023-02-09T00:23:46.9Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,17,8,2023-02-09T00:23:48Z,730000,False,,,0,,J. Allen REBOUND (Off:4 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,72.0,4.0,0.0,4.0,,,,,,
74,PT05M51.00S,2023-02-09T00:23:47.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628386,6.783837056504599,52.94117647058824,1610612739,19,8,2023-02-09T00:24:28Z,740000,False,-15.0,11.0,1,left,J. Allen putback Layup (8 PTS),[1628386],1610612739.0,CLE,putback,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,1.85,Made,8.0,,,,,,,,,,,,,,,,,
75,PT05M39.00S,2023-02-09T00:24:01.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631093,94.82588699080158,49.01960784313725,1610612765,19,8,2023-02-09T00:39:46Z,750000,False,-5.0,-4.0,1,right,MISS J. Ivey driving floating Shot - blocked,"[1631093, 1628386]",1610612765.0,DET,driving floating,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,0.63,Missed,,,,,,,Allen,1628386.0,,,,,,,,,,
76,PT05M39.00S,2023-02-09T00:24:01.8Z,1,REGULAR,block,,[],1628386,,,1610612765,19,8,2023-02-09T00:24:04Z,760000,False,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
77,PT05M38.00S,2023-02-09T00:24:02.8Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,19,8,2023-02-09T00:30:14Z,770000,False,,,0,,E. Mobley REBOUND (Off:1 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,75.0,3.0,2.0,1.0,,,,,,
78,PT05M31.00S,2023-02-09T00:24:07.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628386,7.046649145860711,52.20588235294118,1610612739,21,8,2023-02-09T00:24:20Z,780000,False,-11.0,14.0,1,left,J. Allen running DUNK (10 PTS) (R. Neto 3 AST),"[1628386, 203526]",1610612739.0,CLE,running,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,1.76,Made,10.0,R. Neto,203526.0,3.0,,,,,,,,,,,,,,
80,PT05M07.00S,2023-02-09T00:24:31.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630191,94.30026281208936,52.69607843137255,1610612765,21,8,2023-02-09T00:24:35Z,800000,False,13.0,1.0,1,right,MISS I. Stewart Hook,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,1.35,Missed,,,,,,,,,,,,,,,,,,
81,PT05M04.00S,2023-02-09T00:24:33.7Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612739,21,8,2023-02-09T00:24:33Z,810000,False,,,0,,C. LeVert REBOUND (Off:0 Def:2),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,80.0,2.0,2.0,0.0,,,,,,
82,PT04M53.00S,2023-02-09T00:24:48.2Z,1,REGULAR,foul,personal,['2freethrow'],202711,,,1610612739,21,8,2023-02-09T00:24:57Z,820000,False,,,0,,B. Bogdanovic shooting personal FOUL (1 PF) (Mobley 2 FT),"[202711, 1630596]",1610612765.0,DET,shooting,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627961.0,,,,,,,,1.0,0.0,Mobley,1630596.0,,
84,PT04M53.00S,2023-02-09T00:25:09.7Z,1,REGULAR,freethrow,1 of 2,[],1630596,,,1610612739,22,8,2023-02-09T00:25:45Z,840000,False,,,0,,E. Mobley Free Throw 1 of 2 (5 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
85,PT04M53.00S,2023-02-09T00:25:10.2Z,1,REGULAR,substitution,out,[],203526,,,1610612739,22,8,2023-02-09T00:25:33Z,850000,False,,,0,,SUB out: R. Neto,[203526],1610612739.0,CLE,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M53.00S,2023-02-09T00:25:10.2Z,1,REGULAR,substitution,out,[],1628386,,,1610612739,22,8,2023-02-09T00:25:33Z,860000,False,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
