actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
30,PT09M25.00S,2022-10-23T23:16:37.8Z,1,REGULAR,rebound,defensive,[],203078,,,1610612764,3,10,2022-10-23T23:16:39Z,300000,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,
31,PT09M12.00S,2022-10-23T23:16:50.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630166,12.959921156373195,45.09803921568628,1610612764,3,10,2022-10-23T23:16:55Z,310000,25.0,69.0,1,left,MISS D. Avdija 7' pullup Shot,[1630166],1610612764.0,WAS,pullup,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,7.35,Missed,,,,,,,,,,,,,,,,,,
32,PT09M10.00S,2022-10-23T23:16:52.9Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,3,10,2022-10-23T23:16:55Z,320000,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,
33,PT09M06.00S,2022-10-23T23:17:01.8Z,1,REGULAR,foul,personal,[],1630166,,,1610612739,3,10,2022-10-23T23:17:12Z,330000,,,0,,D. Avdija personal FOUL (1 PF),"[1630166, 1627747]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,203591.0,,1.0,0.0,LeVert,1627747.0,,
35,PT08M52.00S,2022-10-23T23:17:35.1Z,1,REGULAR,foul,personal,[],203078,,,1610612739,3,10,2022-10-23T23:17:42Z,350000,,,0,,B. Beal personal FOUL (1 PF),"[203078, 1628386]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1627963.0,,1.0,0.0,Allen,1628386.0,,
61,PT08M47.00S,2022-10-23T23:17:48.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,86.5473061760841,44.85294117647059,1610612739,3,10,2022-10-23T23:23:14Z,375000,-26.0,74.0,1,right,MISS D. Mitchell 7' Layup - blocked,"[1628378, 1628398]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,7.83,Missed,,,,,,,,,Kuzma,1628398.0,,,,,,,,
62,PT08M47.00S,2022-10-23T23:17:48.3Z,1,REGULAR,block,,[],1628398,,,1610612739,3,10,2022-10-23T23:23:14Z,382500,,,0,,K. Kuzma BLOCK (1 BLK),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
63,PT08M46.00S,2022-10-23T23:17:49.3Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612764,3,10,2022-10-23T23:23:14Z,386250,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,
39,PT08M39.00S,2022-10-23T23:18:01.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628398,7.703679369250986,50.73529411764706,1610612764,3,10,2022-10-23T23:22:22Z,390000,-4.0,20.0,1,left,MISS K. Kuzma running alley-oop Layup,[1628398],1610612764.0,WAS,running alley-oop,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,2.02,Missed,,,,,,,,,,,,,,,,,,
40,PT08M38.00S,2022-10-23T23:18:02.5Z,1,REGULAR,rebound,offensive,[],203078,,,1610612764,3,10,2022-10-23T23:22:08Z,400000,,,0,,B. Beal REBOUND (Off:1 Def:1),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,,,,,,,39.0,2.0,1.0,1.0,,,,,,,,,,
