actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
17,PT11M00.00S,2023-03-15T23:48:30.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630171,92.85479632063075,50.73529411764706,1610612739,0,4,2023-03-15T23:48:45Z,170000,False,4.0,15.0,1,right,MISS I. Okoro cutting DUNK - blocked,"[1630171, 203954]",1610612739.0,CLE,cutting,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,,,Missed,,1.52,,,,,Embiid,203954.0,,,,,,
18,PT11M00.00S,2023-03-15T23:48:30.7Z,1,REGULAR,block,,[],203954,,,1610612739,0,4,2023-03-15T23:48:33Z,180000,False,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M56.00S,2023-03-15T23:48:34.7Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,4,2023-03-15T23:48:37Z,190000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
20,PT10M46.00S,2023-03-15T23:48:44.8Z,1,REGULAR,3pt,Jump Shot,[],200782,5.075558475689881,94.6078431372549,1610612755,0,4,2023-03-15T23:48:52Z,200000,False,-223.0,-5.0,1,left,MISS P. Tucker 3PT,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Left Corner 3,24+ Left,,,,,,Missed,,22.31,,,,,,,,,,,,
21,PT10M43.00S,2023-03-15T23:48:47.8Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,0,4,2023-03-15T23:48:52Z,210000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Left Corner 3,24+ Left,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,
22,PT10M37.00S,2023-03-15T23:48:53.0Z,1,REGULAR,2pt,Jump Shot,[],1628378,73.53810775295663,66.91176470588235,1610612739,2,4,2023-03-15T23:49:01Z,220000,False,85.0,196.0,1,right,D. Mitchell 21' step back Jump Shot (2 PTS),[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Right Center,,,,,,Made,2.0,21.37,,,,,,,,,,,,
23,PT10M23.00S,2023-03-15T23:49:06.5Z,1,REGULAR,turnover,out-of-bounds,[],203954,,,1610612755,2,4,2023-03-15T23:49:18Z,230000,False,,,0,,J. Embiid bad pass out-of-bounds TURNOVER (1 TO),[203954],1610612755.0,PHI,bad pass,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Center,202007.0,,,,,,,,,,,,,,1.0,,,,,
24,PT10M06.00S,2023-03-15T23:49:33.3Z,1,REGULAR,turnover,bad pass,[],1630171,,,1610612739,2,4,2023-03-15T23:49:39Z,240000,False,,,0,,I. Okoro bad pass TURNOVER (1 TO),"[1630171, 201935]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,Harden,201935.0,,,
25,PT10M06.00S,2023-03-15T23:49:33.3Z,1,REGULAR,steal,,[],201935,,,1610612755,2,4,2023-03-15T23:49:36Z,250000,False,,,0,,J. Harden STEAL (1 STL),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M59.00S,2023-03-15T23:49:40.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201935,7.046649145860711,48.529411764705884,1610612755,2,6,2023-03-15T23:51:22Z,260000,False,7.0,14.0,1,left,J. Harden driving Layup (2 PTS),[201935],1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.56,,,,,,,,,,,,
27,PT09M45.00S,2023-03-15T23:49:54.5Z,1,REGULAR,3pt,Jump Shot,[],1630205,92.9862023653088,3.6764705882352944,1610612739,2,6,2023-03-15T23:49:59Z,270000,False,-232.0,13.0,1,right,MISS L. Stevens 3PT,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,Left Corner 3,24+ Left,,,,,,Missed,,23.2,,,,,,,,,,,,
28,PT09M42.00S,2023-03-15T23:49:57.5Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,2,6,2023-03-15T23:49:59Z,280000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Left Corner 3,24+ Left,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,
29,PT09M35.00S,2023-03-15T23:50:08.1Z,1,REGULAR,foul,personal,['3freethrow'],1630171,,,1610612755,2,6,2023-03-15T23:50:19Z,290000,False,,,0,,I. Okoro shooting personal FOUL (1 PF) (Harden 3 FT),"[1630171, 201935]",1610612739.0,CLE,shooting,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Right Center,1204.0,1.0,0.0,Harden,201935.0,,,,,,,,,,,,,,,
32,PT09M35.00S,2023-03-15T23:52:03.2Z,1,REGULAR,freethrow,1 of 3,[],201935,,,1610612755,2,7,2023-03-15T23:52:03Z,320000,False,,,0,,J. Harden Free Throw 1 of 3 (3 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
33,PT09M35.00S,2023-03-15T23:52:15.4Z,1,REGULAR,freethrow,2 of 3,[],201935,,,1610612755,2,7,2023-03-15T23:52:15Z,330000,False,,,0,,MISS J. Harden Free Throw 2 of 3,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
34,PT09M35.00S,2023-03-15T23:52:15.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,2,7,2023-03-15T23:52:15Z,340000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,
35,PT09M35.00S,2023-03-15T23:52:29.1Z,1,REGULAR,freethrow,3 of 3,[],201935,,,1610612755,2,8,2023-03-15T23:52:29Z,350000,False,,,0,,J. Harden Free Throw 3 of 3 (4 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
36,PT09M15.00S,2023-03-15T23:52:51.2Z,1,REGULAR,3pt,Jump Shot,[],1629636,67.09921156373193,54.65686274509803,1610612739,2,8,2023-03-15T23:53:02Z,360000,False,23.0,257.0,1,right,MISS D. Garland 25' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Center,,,,,,Missed,,25.79,,,,,,,,,,,,
37,PT09M14.00S,2023-03-15T23:52:52.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,2,8,2023-03-15T23:53:02Z,370000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,36.0,,,,,,,,,,,
38,PT09M14.00S,2023-03-15T23:53:00.2Z,1,REGULAR,foul,personal,[],201935,,,1610612739,2,8,2023-03-15T23:53:12Z,380000,False,,,0,,J. Harden loose ball personal FOUL (1 PF),"[201935, 1630171]",1610612755.0,PHI,loose ball,,,Harden,J. Harden,,,,,Mid-Range,16-24 Right,1204.0,1.0,0.0,Okoro,1630171.0,,,,,,,,,,,,,,,
40,PT09M02.00S,2023-03-15T23:53:27.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628378,62.5,58.82352941176471,1610612739,2,8,2023-03-15T23:53:34Z,400000,False,44.0,300.0,1,right,MISS D. Mitchell 30' step back 3PT,[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,,,Missed,,30.32,,,,,,,,,,,,
41,PT08M58.00S,2023-03-15T23:53:31.7Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,2,8,2023-03-15T23:53:34Z,410000,False,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Center,,,,,,,,,40.0,1.0,0.0,1.0,,,,,,,,
43,PT08M43.00S,2023-03-15T23:53:59.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628378,78.40013140604468,69.36274509803921,1610612739,4,8,2023-03-15T23:54:07Z,430000,False,97.0,151.0,1,right,D. Mitchell 17' driving floating Jump Shot (4 PTS),[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Right Center,,,,,,Made,4.0,17.89,,,,,,,,,,,,
44,PT08M15.00S,2023-03-15T23:54:27.8Z,1,REGULAR,2pt,Jump Shot,[],201935,21.107095926412615,25.735294117647058,1610612755,4,8,2023-03-15T23:54:47Z,440000,False,121.0,146.0,1,left,MISS J. Harden 18' turnaround fadeaway Shot,[201935],1610612755.0,PHI,turnaround fadeaway,,,Harden,J. Harden,,,,,Mid-Range,16-24 Right Center,,,,,,Missed,,18.97,,,,,,,,,,,,
45,PT08M11.00S,2023-03-15T23:54:31.8Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,4,8,2023-03-15T23:54:34Z,450000,False,,,0,,E. Mobley REBOUND (Off:1 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,16-24 Right Center,,,,,,,,,44.0,2.0,1.0,1.0,,,,,,,,
46,PT08M00.00S,2023-03-15T23:54:42.4Z,1,REGULAR,3pt,Jump Shot,[],1630205,91.67214191852825,96.32352941176471,1610612739,7,8,2023-03-15T23:54:47Z,460000,False,232.0,26.0,1,right,L. Stevens 3PT  (3 PTS) (I. Okoro 1 AST),"[1630205, 1630171]",1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,23.3,,,,,,,,,,I. Okoro,1630171.0,1.0
48,PT07M45.00S,2023-03-15T23:54:57.0Z,1,REGULAR,3pt,Jump Shot,[],203954,28.07161629434954,24.019607843137255,1610612755,7,11,2023-03-15T23:55:03Z,480000,False,130.0,211.0,1,left,J. Embiid 24' 3PT  (7 PTS) (T. Maxey 1 AST),"[203954, 1630178]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Right Center,,,,,,Made,7.0,24.81,,,,,,,,,,T. Maxey,1630178.0,1.0
50,PT07M39.00S,2023-03-15T23:55:08.7Z,1,REGULAR,foul,personal,[],202699,,,1610612739,7,11,2023-03-15T23:55:21Z,500000,False,,,0,,T. Harris personal FOUL (1 PF),"[202699, 1628378]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Right,101284.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,,,,,,,
52,PT07M27.00S,2023-03-15T23:55:37.1Z,1,REGULAR,turnover,lost ball,[],1629636,,,1610612739,7,11,2023-03-15T23:55:43Z,520000,False,,,0,,D. Garland lost ball TURNOVER (1 TO),"[1629636, 200782]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,1.0,Tucker,200782.0,,,
53,PT07M27.00S,2023-03-15T23:55:37.1Z,1,REGULAR,steal,,[],200782,,,1610612755,7,11,2023-03-15T23:55:39Z,530000,False,,,0,,P. Tucker STEAL (1 STL),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
54,PT07M22.00S,2023-03-15T23:55:42.3Z,1,REGULAR,turnover,bad pass,[],202699,,,1610612755,7,11,2023-03-15T23:55:51Z,540000,False,,,0,,T. Harris bad pass TURNOVER (1 TO),"[202699, 1628378]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,1.0,Mitchell,1628378.0,,,
55,PT07M22.00S,2023-03-15T23:55:42.3Z,1,REGULAR,steal,,[],1628378,,,1610612739,7,11,2023-03-15T23:55:45Z,550000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
56,PT07M16.00S,2023-03-15T23:55:47.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630596,87.33574244415243,54.166666666666664,1610612739,9,11,2023-03-16T01:01:06Z,560000,False,21.0,67.0,1,right,E. Mobley 6' running pullup Jump Shot (2 PTS) (D. Mitchell 1 AST),"[1630596, 1628378]",1610612739.0,CLE,running pullup,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,6.97,,,,,,,,,,D. Mitchell,1628378.0,1.0
58,PT07M00.00S,2023-03-15T23:56:03.7Z,1,REGULAR,2pt,Jump Shot,[],203954,20.844283837056505,41.66666666666667,1610612755,9,13,2023-03-15T23:56:11Z,580000,False,42.0,143.0,1,left,J. Embiid 14' pullup Jump Shot (9 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,,,,,,Made,9.0,14.93,,,,,,,,,,,,
59,PT06M50.00S,2023-03-15T23:56:14.1Z,1,REGULAR,3pt,Jump Shot,[],1630171,87.72996057818659,97.05882352941177,1610612739,12,13,2023-03-15T23:56:20Z,590000,False,235.0,63.0,1,right,I. Okoro 24' 3PT  (3 PTS) (D. Mitchell 2 AST),"[1630171, 1628378]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,24.35,,,,,,,,,,D. Mitchell,1628378.0,2.0
61,PT06M25.00S,2023-03-15T23:56:39.3Z,1,REGULAR,3pt,Jump Shot,[],1630178,6.1268068331143235,97.54901960784314,1610612755,12,16,2023-03-15T23:56:47Z,610000,False,-238.0,5.0,1,left,T. Maxey 3PT step back (3 PTS) (J. Harden 1 AST),"[1630178, 201935]",1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,Left Corner 3,24+ Left,,,,,,Made,3.0,23.78,,,,,,,,,,J. Harden,201935.0,1.0
63,PT06M12.00S,2023-03-15T23:56:51.5Z,1,REGULAR,3pt,Jump Shot,[],1628378,64.60249671484888,36.27450980392157,1610612739,12,16,2023-03-15T23:56:57Z,630000,False,-69.0,280.0,1,right,MISS D. Mitchell 28' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,,,Missed,,28.85,,,,,,,,,,,,
64,PT06M08.00S,2023-03-15T23:56:55.5Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,12,16,2023-03-15T23:56:57Z,640000,False,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,,,,,,,,,63.0,2.0,2.0,0.0,,,,,,,,
65,PT06M02.00S,2023-03-15T23:57:01.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630178,9.937582128777924,35.049019607843135,1610612755,12,18,2023-03-15T23:57:08Z,650000,False,75.0,41.0,1,left,T. Maxey 8' running Layup (5 PTS) (J. Harden 2 AST),"[1630178, 201935]",1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Made,5.0,8.53,,,,,,,,,,J. Harden,201935.0,2.0
68,PT05M50.00S,2023-03-15T23:57:24.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,12,18,2023-03-15T23:57:24Z,680000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M50.00S,2023-03-15T23:57:31.3Z,1,REGULAR,substitution,out,[],1630205,,,1610612739,12,18,2023-03-16T00:00:38Z,690000,False,,,0,,SUB out: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M50.00S,2023-03-15T23:57:31.3Z,1,REGULAR,substitution,in,[],1627747,,,1610612739,12,18,2023-03-16T00:00:38Z,700000,False,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M50.00S,2023-03-16T00:00:56.4Z,1,REGULAR,turnover,5-second-violation,['team'],0,,,1610612739,12,18,2023-03-16T00:01:10Z,710000,False,,,0,,CLE 5-second-violation Team TURNOVER,[],1610612739.0,CLE,,,,,,,,,,Mid-Range,8-16 Left,202007.0,,,,,,,,,,,,,,,,,,,
72,PT05M41.00S,2023-03-16T00:01:19.3Z,1,REGULAR,foul,offensive,[],202699,,,1610612755,12,18,2023-03-16T00:02:39Z,720000,False,,,0,,T. Harris offensive FOUL (2 PF),"[202699, 1629636]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,202007.0,2.0,0.0,Garland,1629636.0,,,,,,,,,,,,,,,
74,PT05M41.00S,2023-03-16T00:01:19.3Z,1,REGULAR,turnover,offensive foul,[],202699,,,1610612755,12,18,2023-03-16T00:02:39Z,740000,False,,,0,,T. Harris offensive foul TURNOVER (2 TO),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,202007.0,,,,,,,,,,,,,,2.0,,,,,
75,PT05M41.00S,2023-03-16T00:01:34.3Z,1,REGULAR,substitution,out,[],202699,,,1610612739,12,18,2023-03-16T00:01:39Z,750000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M41.00S,2023-03-16T00:01:34.3Z,1,REGULAR,substitution,in,[],1629001,,,1610612739,12,18,2023-03-16T00:01:39Z,760000,False,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M29.00S,2023-03-16T00:01:58.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630596,91.01511169513797,91.42156862745098,1610612739,12,18,2023-03-16T00:02:12Z,770000,False,207.0,32.0,1,right,MISS E. Mobley 20' Jump Shot,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,16-24 Right,,,,,,Missed,,20.96,,,,,,,,,,,,
78,PT05M26.00S,2023-03-16T00:02:01.2Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,12,18,2023-03-16T00:02:12Z,780000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Right,,,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,
79,PT05M16.00S,2023-03-16T00:02:11.6Z,1,REGULAR,3pt,Jump Shot,[],1629001,5.601182654402102,96.81372549019608,1610612755,12,18,2023-03-16T00:02:17Z,790000,False,-234.0,0.0,1,left,MISS D. Melton 3PT,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Left Corner 3,24+ Left,,,,,,Missed,,23.41,,,,,,,,,,,,
80,PT05M12.00S,2023-03-16T00:02:15.6Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,12,18,2023-03-16T00:02:17Z,800000,False,,,0,,E. Mobley REBOUND (Off:1 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Left Corner 3,24+ Left,,,,,,,,,79.0,3.0,2.0,1.0,,,,,,,,
81,PT05M06.00S,2023-03-16T00:02:20.9Z,1,REGULAR,3pt,Jump Shot,[],1630171,92.85479632063075,96.32352941176471,1610612739,12,18,2023-03-16T00:02:26Z,810000,False,232.0,15.0,1,right,MISS I. Okoro 3PT,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,,,,,,Missed,,23.21,,,,,,,,,,,,
82,PT05M02.00S,2023-03-16T00:02:24.9Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,12,18,2023-03-16T00:02:26Z,820000,False,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Right Corner 3,24+ Right,,,,,,,,,81.0,3.0,3.0,0.0,,,,,,,,
83,PT04M52.00S,2023-03-16T00:02:36.7Z,1,REGULAR,turnover,out-of-bounds,[],203954,,,1610612755,12,18,2023-03-16T00:02:46Z,830000,False,,,0,,J. Embiid bad pass out-of-bounds TURNOVER (2 TO),[203954],1610612755.0,PHI,bad pass,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,101284.0,,,,,,,,,,,,,,2.0,,,,,
84,PT04M52.00S,2023-03-16T00:02:42.9Z,1,REGULAR,substitution,out,[],1630171,,,1610612739,12,18,2023-03-16T00:02:53Z,840000,False,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M52.00S,2023-03-16T00:02:42.9Z,1,REGULAR,substitution,out,[],200782,,,1610612739,12,18,2023-03-16T00:02:53Z,850000,False,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M52.00S,2023-03-16T00:02:42.9Z,1,REGULAR,substitution,in,[],1626224,,,1610612739,12,18,2023-03-16T00:02:53Z,860000,False,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M52.00S,2023-03-16T00:02:42.9Z,1,REGULAR,substitution,in,[],1627777,,,1610612739,12,18,2023-03-16T00:02:53Z,870000,False,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M37.00S,2023-03-16T00:03:05.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629636,91.67214191852825,69.6078431372549,1610612739,12,18,2023-03-16T00:03:11Z,880000,False,98.0,26.0,1,right,MISS D. Garland 10' driving floating bank Shot,[1629636],1610612739.0,CLE,driving floating bank,,,Garland,D. Garland,,,,,Mid-Range,8-16 Right,,,,,,Missed,,10.13,,,,,,,,,,,,
