actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
15,PT10M50.00S,2023-12-16T00:11:59.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628970,5.590000152587891,50.0,1610612766,2,0,2023-12-16T00:11:59Z,150000,False,0.0,0.0,1,left,M. Bridges tip Layup (2 PTS),[1628970],1610612766.0,CHA,tip,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,2.0,,,,,,,,,
16,PT10M40.00S,2023-12-16T00:12:10.4Z,1,REGULAR,2pt,Jump Shot,[],1627742,81.15965834428384,26.225490196078432,1610612740,2,0,2023-12-16T00:13:37Z,160000,False,-119.0,125.0,1,right,MISS B. Ingram 17' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Left Center,17.22,Missed,,,,,,,,,,,,,,,,,,
17,PT10M36.00S,2023-12-16T00:12:14.4Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,2,0,2023-12-16T00:12:15Z,170000,False,,,0,,M. Bridges REBOUND (Off:1 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Left Center,,,16.0,2.0,1.0,1.0,,,,,,,,,,,,,,
18,PT10M28.00S,2023-12-16T00:12:23.4Z,1,REGULAR,3pt,Jump Shot,[],1641706,26.231931668856767,85.04901960784314,1610612766,2,0,2023-12-16T00:12:28Z,180000,False,-175.0,194.0,1,left,MISS B. Miller 26' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,26.15,Missed,,,,,,,,,,,,,,,,,,
19,PT10M25.00S,2023-12-16T00:12:26.4Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,0,2023-12-16T00:12:28Z,190000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M22.00S,2023-12-16T00:12:36.4Z,1,REGULAR,foul,offensive,[],1627742,,,1610612740,2,0,2023-12-16T00:12:48Z,200000,False,,,0,,B. Ingram charge offensive FOUL (1 PF),"[1627742, 1626179]",1610612740.0,NOP,charge,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,,,,,,,1204.0,,,,,1.0,0.0,Rozier,1626179.0,,,,,
22,PT10M22.00S,2023-12-16T00:12:36.4Z,1,REGULAR,turnover,offensive foul,[],1627742,,,1610612740,2,0,2023-12-16T00:12:36Z,220000,False,,,0,,B. Ingram offensive foul TURNOVER (1 TO),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,,,,,,,1204.0,1.0,,,,,,,,,,,,
23,PT10M04.00S,2023-12-16T00:13:04.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202330,21.50131406044678,48.77450980392157,1610612766,4,0,2023-12-16T00:13:10Z,230000,False,6.0,150.0,1,left,G. Hayward 14' pullup Jump Shot (2 PTS),[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,Mid-Range,8-16 Center,14.97,Made,,,,,,,,,2.0,,,,,,,,,
24,PT09M53.00S,2023-12-16T00:13:14.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,91.80354796320631,48.529411764705884,1610612740,4,2,2023-12-16T00:14:27Z,240000,False,-7.0,25.0,1,right,H. Jones cutting Layup (2 PTS) (C. McCollum 1 AST),"[1630529, 203468]",1610612740.0,NOP,cutting,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,2.56,Made,,,,,,,,,2.0,,,,,C. McCollum,203468.0,1.0,,
26,PT09M30.00S,2023-12-16T00:13:37.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630208,9.543363994743759,50.98039215686274,1610612766,6,2,2023-12-16T00:15:16Z,260000,False,-5.0,37.0,1,left,N. Richards Hook (2 PTS),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,3.75,Made,,,,,,,,,2.0,,,,,,,,,
27,PT09M15.00S,2023-12-16T00:13:53.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,87.72996057818659,40.19607843137255,1610612740,6,4,2023-12-16T00:14:04Z,270000,False,-49.0,63.0,1,right,J. Valanciunas 7' Hook (2 PTS) (B. Ingram 1 AST),"[202685, 1627742]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,7.97,Made,,,,,,,,,2.0,,,,,B. Ingram,1627742.0,1.0,,
29,PT08M52.00S,2023-12-16T00:14:15.9Z,1,REGULAR,3pt,Jump Shot,[],1628970,30.831143232588698,26.47058823529412,1610612766,6,4,2023-12-16T00:14:20Z,290000,False,118.0,237.0,1,left,MISS M. Bridges 26' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,26.48,Missed,,,,,,,,,,,,,,,,,,
30,PT08M49.00S,2023-12-16T00:14:18.9Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,6,4,2023-12-16T00:14:20Z,300000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,
31,PT08M39.00S,2023-12-16T00:14:28.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627742,92.06636005256242,50.49019607843137,1610612740,6,6,2023-12-16T00:14:32Z,310000,False,2.0,22.0,1,right,B. Ingram driving DUNK (2 PTS) (J. Valanciunas 1 AST),"[1627742, 202685]",1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,2.22,Made,,,,,,,,,2.0,,,,,J. Valanciunas,202685.0,1.0,,
33,PT08M34.00S,2023-12-16T00:14:33.9Z,1,REGULAR,turnover,lost ball,[],1628970,,,1610612766,6,6,2023-12-16T00:14:39Z,330000,False,,,0,,M. Bridges lost ball TURNOVER (2 TO),"[1628970, 1630529]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,,,,,,,,2.0,,,,,,,,,,,Jones,1630529.0
34,PT08M34.00S,2023-12-16T00:14:33.9Z,1,REGULAR,steal,,[],1630529,,,1610612740,6,6,2023-12-16T00:14:35Z,340000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
35,PT08M26.00S,2023-12-16T00:14:42.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627742,81.68528252299606,64.70588235294117,1610612740,6,6,2023-12-16T00:17:13Z,350000,False,74.0,120.0,1,right,MISS B. Ingram 14' fadeaway Shot,[1627742],1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Right,14.05,Missed,,,,,,,,,,,,,,,,,,
36,PT08M23.00S,2023-12-16T00:14:45.1Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,6,6,2023-12-16T00:14:47Z,360000,False,,,0,,M. Bridges REBOUND (Off:1 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Right,,,35.0,3.0,2.0,1.0,,,,,,,,,,,,,,
37,PT08M13.00S,2023-12-16T00:14:54.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,5.732588699080158,52.450980392156865,1610612766,8,6,2023-12-16T00:14:58Z,370000,False,-12.0,1.0,1,left,T. Rozier driving Layup (2 PTS),[1626179],1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,1.24,Made,,,,,,,,,2.0,,,,,,,,,
38,PT07M51.00S,2023-12-16T00:15:16.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,91.14651773981603,53.67647058823529,1610612740,8,8,2023-12-16T00:15:23Z,380000,False,18.0,31.0,1,right,Z. Williamson driving Layup (2 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,3.58,Made,,,,,,,,,2.0,,,,,,,,,
40,PT07M39.00S,2023-12-16T00:15:29.7Z,1,REGULAR,2pt,Jump Shot,[],1641706,22.552562417871222,45.34313725490196,1610612766,8,8,2023-12-16T00:18:34Z,400000,False,23.0,159.0,1,left,MISS B. Miller 16' pullup Shot,[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Mid-Range,16-24 Center,16.12,Missed,,,,,,,,,,,,,,,,,,
41,PT07M35.00S,2023-12-16T00:15:33.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,8,8,2023-12-16T00:15:34Z,410000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Center,,,40.0,3.0,3.0,0.0,,,,,,,,,,,,,,
42,PT07M32.00S,2023-12-16T00:15:39.2Z,1,REGULAR,foul,personal,['2freethrow'],1641706,,,1610612740,8,8,2023-12-16T00:15:48Z,420000,False,,,0,,B. Miller shooting personal FOUL (1 PF) (McCollum 2 FT),"[1641706, 203468]",1610612766.0,CHA,shooting,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628953.0,,,,,1.0,0.0,McCollum,203468.0,,,,,
44,PT07M32.00S,2023-12-16T00:16:03.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203468,,,1610612740,8,9,2023-12-16T00:16:03Z,440000,False,,,0,,C. McCollum Free Throw 1 of 2 (1 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
45,PT07M32.00S,2023-12-16T00:16:18.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203468,,,1610612740,8,10,2023-12-16T00:16:18Z,450000,False,,,0,,C. McCollum Free Throw 2 of 2 (2 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
46,PT07M10.00S,2023-12-16T00:16:42.7Z,1,REGULAR,2pt,Jump Shot,[],1626179,23.47240473061761,67.15686274509804,1610612766,8,10,2023-12-16T00:16:49Z,460000,False,-86.0,168.0,1,left,MISS T. Rozier 18' step back Shot,[1626179],1610612766.0,CHA,step back,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Left Center,18.87,Missed,,,,,,,,,,,,,,,,,,
47,PT07M07.00S,2023-12-16T00:16:45.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,8,10,2023-12-16T00:16:49Z,470000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Left Center,,,46.0,4.0,4.0,0.0,,,,,,,,,,,,,,
48,PT06M55.00S,2023-12-16T00:16:57.1Z,1,REGULAR,3pt,Jump Shot,[],1630529,74.72076215505913,85.7843137254902,1610612740,8,10,2023-12-16T00:17:01Z,480000,False,179.0,185.0,1,right,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,25.74,Missed,,,,,,,,,,,,,,,,,,
49,PT06M53.00S,2023-12-16T00:16:59.1Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,8,10,2023-12-16T00:17:01Z,490000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,
50,PT06M37.00S,2023-12-16T00:17:15.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,14.931011826544022,62.745098039215684,1610612766,10,10,2023-12-16T00:19:45Z,500000,False,-64.0,88.0,1,left,M. Bridges 10' driving floating Jump Shot (4 PTS),[1628970],1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Left,10.86,Made,,,,,,,,,4.0,,,,,,,,,
51,PT06M24.00S,2023-12-16T00:17:28.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.24901445466492,46.81372549019608,1610612740,10,12,2023-12-16T00:20:05Z,510000,False,-16.0,11.0,1,right,Z. Williamson driving Layup (4 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1.93,Made,,,,,,,,,4.0,,,,,,,,,
52,PT06M13.00S,2023-12-16T00:17:38.8Z,1,REGULAR,3pt,Jump Shot,[],202330,32.40801576872536,42.64705882352941,1610612766,10,12,2023-12-16T00:20:21Z,520000,False,37.0,252.0,1,left,MISS G. Hayward 25' step back 3PT,[202330],1610612766.0,CHA,step back,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Center,25.48,Missed,,,,,,,,,,,,,,,,,,
53,PT06M10.00S,2023-12-16T00:17:41.8Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,10,12,2023-12-16T00:17:43Z,530000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Center,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,,
54,PT06M04.00S,2023-12-16T00:17:52.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,92.46057818659659,47.30392156862745,1610612740,10,14,2023-12-16T00:17:58Z,540000,False,-13.0,18.0,1,right,Z. Williamson driving Layup (6 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.28,Made,,,,,,,,,6.0,,,,,,,,,
55,PT06M04.00S,2023-12-16T00:17:56.1Z,1,REGULAR,foul,personal,['1freethrow'],1630208,,,1610612740,10,14,2023-12-16T00:18:04Z,550000,False,,,0,,N. Richards shooting personal FOUL (1 PF) (Williamson 1 FT),"[1630208, 1629627]",1610612766.0,CHA,shooting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,2003.0,,,,,1.0,0.0,Williamson,1629627.0,,,,,
57,PT06M04.00S,2023-12-16T00:18:07.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,10,14,2023-12-16T00:19:45Z,570000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M04.00S,2023-12-16T00:18:08.7Z,1,REGULAR,substitution,out,[],1628970,,,1610612740,10,14,2023-12-16T00:20:53Z,580000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M04.00S,2023-12-16T00:18:08.7Z,1,REGULAR,substitution,out,[],1626179,,,1610612740,10,14,2023-12-16T00:20:53Z,590000,False,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M04.00S,2023-12-16T00:18:08.7Z,1,REGULAR,substitution,out,[],1630529,,,1610612740,10,14,2023-12-16T00:20:53Z,600000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M04.00S,2023-12-16T00:18:08.7Z,1,REGULAR,substitution,in,[],1630550,,,1610612740,10,14,2023-12-16T00:20:53Z,610000,False,,,0,,SUB in: J. Thor,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M04.00S,2023-12-16T00:18:08.7Z,1,REGULAR,substitution,in,[],202397,,,1610612740,10,14,2023-12-16T00:20:53Z,620000,False,,,0,,SUB in: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M04.00S,2023-12-16T00:18:08.7Z,1,REGULAR,substitution,in,[],1630230,,,1610612740,10,14,2023-12-16T00:20:53Z,630000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M04.00S,2023-12-16T00:21:15.1Z,1,REGULAR,freethrow,1 of 1,[],1629627,,,1610612740,10,14,2023-12-16T00:21:19Z,640000,False,,,0,,MISS Z. Williamson Free Throw 1 of 1,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
65,PT06M01.00S,2023-12-16T00:21:18.1Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,10,14,2023-12-16T00:21:19Z,650000,False,,,0,,N. Richards REBOUND (Off:0 Def:2),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,,,
66,PT05M47.00S,2023-12-16T00:21:30.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,7.178055190538765,51.71568627450981,1610612766,12,14,2023-12-16T00:21:36Z,660000,False,-9.0,15.0,1,left,N. Richards Layup (4 PTS) (G. Hayward 1 AST),"[1630208, 202330]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,1.73,Made,,,,,,,,,4.0,,,,,G. Hayward,202330.0,1.0,,
68,PT05M32.00S,2023-12-16T00:21:45.7Z,1,REGULAR,3pt,Jump Shot,[],203468,92.06636005256242,96.56862745098039,1610612740,12,14,2023-12-16T00:21:50Z,680000,False,233.0,22.0,1,right,MISS C. McCollum 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Right Corner 3,24+ Right,23.38,Missed,,,,,,,,,,,,,,,,,,
69,PT05M30.00S,2023-12-16T00:21:47.7Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,12,14,2023-12-16T00:34:54Z,690000,False,,,0,,G. Hayward REBOUND (Off:0 Def:2),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Right Corner 3,24+ Right,,,68.0,2.0,2.0,0.0,,,,,,,,,,,,,,
70,PT05M20.00S,2023-12-16T00:21:57.1Z,1,REGULAR,3pt,Jump Shot,[],1641706,6.389618922470433,5.637254901960785,1610612766,15,14,2023-12-16T00:22:01Z,700000,False,222.0,8.0,1,left,B. Miller 3PT  (3 PTS) (G. Hayward 2 AST),"[1641706, 202330]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Right Corner 3,24+ Right,22.19,Made,,,,,,,,,3.0,,,,,G. Hayward,202330.0,2.0,,
72,PT04M54.00S,2023-12-16T00:22:23.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,88.38699080157687,50.98039215686274,1610612740,15,14,2023-12-16T00:25:38Z,720000,False,5.0,57.0,1,right,MISS B. Ingram turnaround fadeaway Shot,[1627742],1610612740.0,NOP,turnaround fadeaway,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,5.69,Missed,,,,,,,,,,,,,,,,,,
73,PT04M52.00S,2023-12-16T00:22:25.4Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,15,14,2023-12-16T00:22:29Z,730000,False,,,0,,N. Richards REBOUND (Off:0 Def:3),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,72.0,3.0,3.0,0.0,,,,,,,,,,,,,,
74,PT04M34.00S,2023-12-16T00:22:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202330,9.411957950065702,55.14705882352941,1610612766,15,14,2023-12-16T00:26:30Z,740000,False,-26.0,36.0,1,left,MISS G. Hayward cutting Layup,[202330],1610612766.0,CHA,cutting,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),0-8 Center,4.42,Missed,,,,,,,,,,,,,,,,,,
75,PT04M32.00S,2023-12-16T00:22:46.5Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,15,14,2023-12-16T00:22:48Z,750000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,,,
76,PT04M23.00S,2023-12-16T00:22:53.6Z,1,REGULAR,3pt,Jump Shot,[],1630230,88.64980289093299,97.05882352941177,1610612740,15,17,2023-12-16T00:22:57Z,760000,False,235.0,54.0,1,right,N. Marshall 24' 3PT  (3 PTS) (C. McCollum 2 AST),"[1630230, 203468]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Right Corner 3,24+ Right,24.15,Made,,,,,,,,,3.0,,,,,C. McCollum,203468.0,2.0,,
78,PT04M02.00S,2023-12-16T00:23:15.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630208,13.091327201051248,48.28431372549019,1610612766,17,17,2023-12-16T00:23:19Z,780000,False,9.0,71.0,1,left,N. Richards 7' Hook (6 PTS),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,7.11,Made,,,,,,,,,6.0,,,,,,,,,
79,PT03M46.00S,2023-12-16T00:23:39.2Z,1,REGULAR,turnover,offensive goaltending,[],1629627,,,1610612740,17,17,2023-12-16T00:24:01Z,790000,False,,,0,,Z. Williamson offensive goaltending TURNOVER (1 TO),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,2003.0,1.0,,,,,,,,,,,,
80,PT03M46.00S,2023-12-16T00:23:46.0Z,1,REGULAR,substitution,out,[],1630208,,,1610612766,17,17,2023-12-16T00:24:07Z,800000,False,,,0,,SUB out: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
