actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
16,PT10M28.00S,2023-12-09T00:12:28.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,92.46057818659659,55.392156862745104,1610612761,2,4,2023-12-09T00:12:33Z,160000,False,27.0,18.0,1,right,J. Poeltl cutting Layup (2 PTS) (O. Anunoby 1 AST),"[1627751, 1628384]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,3.27,Made,,,,,,2.0,O. Anunoby,1628384.0,1.0,,,,,,
18,PT10M11.00S,2023-12-09T00:12:46.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202330,10.85742444152431,48.28431372549019,1610612766,4,4,2023-12-09T00:12:51Z,180000,False,9.0,50.0,1,left,G. Hayward driving Hook (2 PTS),[202330],1610612766.0,CHA,driving,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),0-8 Center,,,,5.03,Made,,,,,,2.0,,,,,,,,,
19,PT09M59.00S,2023-12-09T00:12:59.0Z,1,REGULAR,3pt,Jump Shot,[],203471,67.88764783180025,31.127450980392158,1610612761,4,4,2023-12-09T00:13:03Z,190000,False,-94.0,249.0,1,right,MISS D. Schroder 26' 3PT,[203471],1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,Above the Break 3,24+ Left Center,,,,26.67,Missed,,,,,,,,,,,,,,,
20,PT09M56.00S,2023-12-09T00:13:02.0Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,4,4,2023-12-09T00:13:03Z,200000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,
22,PT09M50.00S,2023-12-09T00:13:07.6Z,1,REGULAR,turnover,bad pass,[],1628970,,,1610612766,4,4,2023-12-09T00:13:11Z,220000,False,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628970, 1627783]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,1.0,Siakam,1627783.0,,,,,,,,,,,,,,,,,
23,PT09M50.00S,2023-12-09T00:13:07.6Z,1,REGULAR,steal,,[],1627783,,,1610612761,4,4,2023-12-09T00:13:09Z,230000,False,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
24,PT09M46.00S,2023-12-09T00:13:11.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203471,89.83245729303549,51.470588235294116,1610612761,4,4,2023-12-09T00:16:46Z,240000,False,7.0,43.0,1,right,MISS D. Schroder driving finger roll Layup - blocked,"[203471, 1631109]",1610612761.0,TOR,driving finger roll,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,,,,4.37,Missed,,,,,,,,,,Williams,1631109.0,,,,
25,PT09M46.00S,2023-12-09T00:13:11.1Z,1,REGULAR,block,,[],1631109,,,1610612761,4,4,2023-12-09T00:13:13Z,250000,False,,,0,,M. Williams BLOCK (1 BLK),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M43.00S,2023-12-09T00:13:14.1Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,4,4,2023-12-09T00:13:16Z,260000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,
27,PT09M40.00S,2023-12-09T00:13:17.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202330,6.652431011826544,46.568627450980394,1610612766,6,4,2023-12-09T00:13:23Z,270000,False,17.0,10.0,1,left,G. Hayward running Layup (4 PTS) (B. Miller 1 AST),"[202330, 1641706]",1610612766.0,CHA,running,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,,,,1.99,Made,,,,,,4.0,B. Miller,1641706.0,1.0,,,,,,
29,PT09M25.00S,2023-12-09T00:13:31.8Z,1,REGULAR,2pt,Jump Shot,[],1627783,95.6143232588699,71.07843137254902,1610612761,6,4,2023-12-09T00:17:22Z,290000,False,105.0,-11.0,1,right,MISS P. Siakam 10' turnaround Shot,[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Right,,,,10.6,Missed,,,,,,,,,,,,,,,
30,PT09M24.00S,2023-12-09T00:13:33.6Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,6,4,2023-12-09T00:13:33Z,300000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Right,,,,,,29.0,2.0,1.0,1.0,,,,,,,,,,,
31,PT09M21.00S,2023-12-09T00:13:36.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627783,94.43166885676742,96.32352941176471,1610612761,6,4,2023-12-09T00:13:40Z,310000,False,232.0,0.0,1,right,MISS P. Siakam 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Right Corner 3,24+ Right,,,,23.16,Missed,,,,,,,,,,,,,,,
32,PT09M21.00S,2023-12-09T00:13:36.0Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,6,4,2023-12-09T00:13:40Z,320000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,,
33,PT09M10.00S,2023-12-09T00:13:46.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631109,15.062417871222076,44.6078431372549,1610612766,6,4,2023-12-09T00:18:11Z,330000,False,27.0,89.0,1,left,MISS M. Williams 9' floating Shot,[1631109],1610612766.0,CHA,floating,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,9.31,Missed,,,,,,,,,,,,,,,
34,PT09M08.00S,2023-12-09T00:13:48.8Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,6,4,2023-12-09T00:13:51Z,340000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,
35,PT09M00.00S,2023-12-09T00:13:56.7Z,1,REGULAR,2pt,Jump Shot,[],1628384,83.65637319316689,21.323529411764707,1610612761,6,6,2023-12-09T00:14:02Z,350000,False,-143.0,101.0,1,right,O. Anunoby 17' pullup Jump Shot (2 PTS) (P. Siakam 1 AST),"[1628384, 1627783]",1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Left,,,,17.55,Made,,,,,,2.0,P. Siakam,1627783.0,1.0,,,,,,
37,PT08M40.00S,2023-12-09T00:14:16.8Z,1,REGULAR,3pt,Jump Shot,[],1628970,29.911300919842315,32.59803921568628,1610612766,6,6,2023-12-09T00:14:23Z,370000,False,87.0,229.0,1,left,MISS M. Bridges 24' pullup 3PT,[1628970],1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,24.47,Missed,,,,,,,,,,,,,,,
38,PT08M37.00S,2023-12-09T00:14:19.8Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612766,6,6,2023-12-09T00:14:23Z,380000,False,,,0,,M. Williams REBOUND (Off:1 Def:0),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,37.0,1.0,0.0,1.0,,,,,,,,,,,
39,PT08M30.00S,2023-12-09T00:14:26.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626179,5.601182654402102,95.09803921568627,1610612766,9,6,2023-12-09T00:14:30Z,390000,False,-225.0,0.0,1,left,T. Rozier 3PT  (5 PTS) (G. Hayward 2 AST),"[1626179, 202330]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,,,,22.55,Made,,,,,,5.0,G. Hayward,202330.0,2.0,,,,,,
41,PT08M18.00S,2023-12-09T00:14:39.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,92.85479632063075,46.568627450980394,1610612761,9,8,2023-12-09T00:14:43Z,410000,False,-17.0,15.0,1,right,P. Siakam alley-oop Layup (2 PTS) (J. Poeltl 1 AST),"[1627783, 1627751]",1610612761.0,TOR,alley-oop,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,2.26,Made,,,,,,2.0,J. Poeltl,1627751.0,1.0,,,,,,
43,PT07M58.00S,2023-12-09T00:14:58.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,10.200394218134035,36.51960784313725,1610612766,11,8,2023-12-09T00:15:03Z,430000,False,67.0,43.0,1,left,M. Bridges 8' driving bank Jump Shot (2 PTS) (T. Rozier 1 AST),"[1628970, 1626179]",1610612766.0,CHA,driving bank,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,8.02,Made,,,,,,2.0,T. Rozier,1626179.0,1.0,,,,,,
45,PT07M47.00S,2023-12-09T00:15:10.2Z,1,REGULAR,3pt,Jump Shot,[],1630567,67.88764783180025,69.85294117647058,1610612761,11,8,2023-12-09T00:15:13Z,450000,False,99.0,249.0,1,right,MISS S. Barnes 26' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,,26.84,Missed,,,,,,,,,,,,,,,
46,PT07M44.00S,2023-12-09T00:15:12.8Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,11,8,2023-12-09T00:15:12Z,460000,False,,,0,,M. Bridges REBOUND (Off:0 Def:3),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,,45.0,3.0,3.0,0.0,,,,,,,,,,,
47,PT07M41.00S,2023-12-09T00:15:16.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641706,29.25427069645204,76.47058823529412,1610612766,14,8,2023-12-09T00:15:22Z,470000,False,-132.0,222.0,1,left,B. Miller 25' 3PT running (3 PTS) (T. Rozier 2 AST),"[1641706, 1626179]",1610612766.0,CHA,running,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,,,,25.89,Made,,,,,,3.0,T. Rozier,1626179.0,2.0,,,,,,
49,PT07M39.00S,2023-12-09T00:15:23.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,14,8,2023-12-09T00:15:23Z,490000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M16.00S,2023-12-09T00:18:36.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,92.19776609724047,53.431372549019606,1610612761,14,8,2023-12-09T00:18:41Z,500000,False,17.0,21.0,1,right,MISS O. Anunoby driving Layup,[1628384],1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,2.7,Missed,,,,,,,,,,,,,,,
52,PT07M12.00S,2023-12-09T00:18:40.7Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,14,8,2023-12-09T00:18:40Z,510000,False,,,0,,J. Poeltl REBOUND (Off:2 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,51.0,3.0,1.0,2.0,,,,,,,,,,,
53,PT07M12.00S,2023-12-09T00:18:40.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627751,94.40999984741211,50.0,1610612761,14,10,2023-12-09T00:18:40Z,520000,False,0.0,0.0,1,right,J. Poeltl tip Layup (4 PTS),[1627751],1610612761.0,TOR,tip,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,,,,0.0,Made,,,,,,4.0,,,,,,,,,
54,PT06M58.00S,2023-12-09T00:18:53.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,12.828515111695138,43.872549019607845,1610612766,16,10,2023-12-09T00:18:58Z,530000,False,31.0,68.0,1,left,G. Hayward 7' driving floating Jump Shot (6 PTS),[202330],1610612766.0,CHA,driving floating,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),0-8 Center,,,,7.47,Made,,,,,,6.0,,,,,,,,,
55,PT06M46.00S,2023-12-09T00:19:13.4Z,1,REGULAR,foul,personal,[],202330,,,1610612761,16,10,2023-12-09T00:26:21Z,540000,False,,,0,,G. Hayward personal FOUL (1 PF),"[202330, 1630567]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,2004.0,,,,,,,1.0,0.0,Barnes,1630567.0
57,PT06M46.00S,2023-12-09T00:19:20.9Z,1,REGULAR,substitution,out,[],1628970,,,1610612761,16,10,2023-12-09T00:19:27Z,560000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M46.00S,2023-12-09T00:19:20.9Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,16,10,2023-12-09T00:19:27Z,570000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M46.00S,2023-12-09T00:19:20.9Z,1,REGULAR,substitution,in,[],1629023,,,1610612761,16,10,2023-12-09T00:19:27Z,580000,False,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M46.00S,2023-12-09T00:19:20.9Z,1,REGULAR,substitution,in,[],1629018,,,1610612761,16,10,2023-12-09T00:19:27Z,590000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M39.00S,2023-12-09T00:19:37.1Z,1,REGULAR,turnover,bad pass,[],203471,,,1610612761,16,10,2023-12-09T00:19:43Z,600000,False,,,0,,D. Schroder bad pass TURNOVER (1 TO),"[203471, 1629023]",1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,Mid-Range,8-16 Right,1.0,Washington,1629023.0,,,,,,,,,,,,,,,,,
62,PT06M39.00S,2023-12-09T00:19:37.1Z,1,REGULAR,steal,,[],1629023,,,1610612766,16,10,2023-12-09T00:19:40Z,610000,False,,,0,,P. Washington STEAL (1 STL),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
63,PT06M26.00S,2023-12-09T00:19:50.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641706,32.933639947437584,52.94117647058824,1610612766,19,10,2023-12-09T00:19:54Z,620000,False,-15.0,257.0,1,left,B. Miller 25' 3PT  (6 PTS) (P. Washington 1 AST),"[1641706, 1629023]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,,,,25.75,Made,,,,,,6.0,P. Washington,1629023.0,1.0,,,,,,
65,PT06M00.00S,2023-12-09T00:20:15.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627751,92.85479632063075,50.0,1610612761,19,12,2023-12-09T00:20:19Z,640000,False,0.0,15.0,1,right,J. Poeltl DUNK (6 PTS) (D. Schroder 1 AST),"[1627751, 203471]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,1.47,Made,,,,,,6.0,D. Schroder,203471.0,1.0,,,,,,
67,PT05M46.00S,2023-12-09T00:20:28.9Z,1,REGULAR,3pt,Jump Shot,[],202330,9.937582128777924,4.901960784313726,1610612766,19,12,2023-12-09T00:20:33Z,660000,False,225.0,41.0,1,left,MISS G. Hayward bank 3PT,[202330],1610612766.0,CHA,bank,,,Hayward,G. Hayward,,,,,Right Corner 3,24+ Right,,,,22.92,Missed,,,,,,,,,,,,,,,
68,PT05M43.00S,2023-12-09T00:20:31.9Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,19,12,2023-12-09T00:20:33Z,670000,False,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Right Corner 3,24+ Right,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,,,
69,PT05M37.00S,2023-12-09T00:20:39.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,81.42247043363994,39.46078431372549,1610612761,19,12,2023-12-09T00:20:43Z,680000,False,-53.0,122.0,1,right,MISS G. Trent Jr. 13' step back Shot,[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,13.3,Missed,,,,,,,,,,,,,,,
70,PT05M33.00S,2023-12-09T00:20:42.1Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,19,12,2023-12-09T00:20:42Z,690000,False,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,,,,,,69.0,1.0,1.0,0.0,,,,,,,,,,,
71,PT05M25.00S,2023-12-09T00:20:51.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,16.376478318002626,41.911764705882355,1610612766,19,12,2023-12-09T00:20:57Z,700000,False,40.0,101.0,1,left,MISS G. Hayward 10' fadeaway Shot,[202330],1610612766.0,CHA,fadeaway,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,,,,10.92,Missed,,,,,,,,,,,,,,,
72,PT05M22.00S,2023-12-09T00:20:53.6Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612766,19,12,2023-12-09T00:20:53Z,710000,False,,,0,,M. Williams REBOUND (Off:2 Def:0),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,71.0,2.0,0.0,2.0,,,,,,,,,,,
73,PT05M21.00S,2023-12-09T00:20:55.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202330,5.206964520367937,47.794117647058826,1610612766,21,12,2023-12-09T00:21:00Z,720000,False,11.0,-4.0,1,left,G. Hayward cutting Layup (8 PTS) (M. Williams 1 AST),"[202330, 1631109]",1610612766.0,CHA,cutting,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,,,,1.16,Made,,,,,,8.0,M. Williams,1631109.0,1.0,,,,,,
75,PT05M06.00S,2023-12-09T00:21:09.9Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612761,21,12,2023-12-09T00:21:15Z,740000,False,,,0,,P. Siakam bad pass TURNOVER (1 TO),"[1627783, 1631109]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,1.0,Williams,1631109.0,,,,,,,,,,,,,,,,,
76,PT05M06.00S,2023-12-09T00:21:09.9Z,1,REGULAR,steal,,[],1631109,,,1610612766,21,12,2023-12-09T00:21:12Z,750000,False,,,0,,M. Williams STEAL (1 STL),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
77,PT05M00.00S,2023-12-09T00:21:21.1Z,1,REGULAR,foul,personal,[],203471,,,1610612766,21,12,2023-12-09T00:26:31Z,760000,False,,,0,,D. Schroder personal FOUL (1 PF),"[203471, 1631109]",1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1628171.0,,,,,,,1.0,0.0,Williams,1631109.0
79,PT05M00.00S,2023-12-09T00:21:44.5Z,1,REGULAR,substitution,out,[],1626179,,,1610612766,21,12,2023-12-09T00:21:49Z,780000,False,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M00.00S,2023-12-09T00:21:44.5Z,1,REGULAR,substitution,in,[],202397,,,1610612766,21,12,2023-12-09T00:21:49Z,790000,False,,,0,,SUB in: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M45.00S,2023-12-09T00:21:56.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631109,5.863994743758213,48.03921568627451,1610612766,23,12,2023-12-09T00:22:00Z,800000,False,10.0,3.0,1,left,M. Williams cutting Layup (2 PTS) (I. Smith 1 AST),"[1631109, 202397]",1610612766.0,CHA,cutting,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,1.01,Made,,,,,,2.0,I. Smith,202397.0,1.0,,,,,,
83,PT04M30.00S,2023-12-09T00:22:10.8Z,1,REGULAR,3pt,Jump Shot,[],1628384,69.20170827858082,26.225490196078432,1610612761,23,12,2023-12-09T00:24:37Z,820000,False,-119.0,237.0,1,right,MISS O. Anunoby 26' pullup 3PT,[1628384],1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,,26.52,Missed,,,,,,,,,,,,,,,
84,PT04M26.00S,2023-12-09T00:22:14.8Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,23,12,2023-12-09T00:28:10Z,830000,False,,,0,,J. Poeltl REBOUND (Off:3 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Left Center,,,,,,83.0,4.0,1.0,3.0,,,,,,,,,,,
