actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
16,PT10M10.00S,2023-12-24T00:12:56.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,91.5407358738502,47.05882352941176,1610612766,6,0,2023-12-24T00:13:01Z,160000,False,-15.0,27.0,1,right,N. Richards Layup (2 PTS) (I. Smith 1 AST),"[1630208, 202397]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,3.07,Made,2.0,,,,,,,,I. Smith,202397.0,1.0,,,,,,,
32,PT09M50.00S,2023-12-24T00:13:19.6Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,6,0,2023-12-24T00:15:20Z,195000,False,,,0,,J. Murray bad pass TURNOVER (1 TO),"[1627750, 1630208]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,Richards,1630208.0,,,,
33,PT09M50.00S,2023-12-24T00:13:19.6Z,1,REGULAR,steal,,[],1630208,,,1610612766,6,0,2023-12-24T00:15:20Z,197500,False,,,0,,N. Richards STEAL (1 STL),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
20,PT09M44.00S,2023-12-24T00:13:22.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak', 'fromturnover']",1641706,93.38042049934296,50.49019607843137,1610612766,8,0,2023-12-24T00:15:20Z,200000,False,2.0,10.0,1,right,B. Miller running DUNK (2 PTS) (I. Smith 2 AST),"[1641706, 202397]",1610612766.0,CHA,running,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,1.0,Made,2.0,,,,,,,,I. Smith,202397.0,2.0,,,,,,,
22,PT09M31.00S,2023-12-24T00:13:35.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,6.389618922470433,48.03921568627451,1610612743,8,2,2023-12-24T00:13:40Z,220000,False,10.0,8.0,1,left,J. Murray Layup (2 PTS) (A. Gordon 1 AST),"[1627750, 203932]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,1.24,Made,2.0,,,,,,,,A. Gordon,203932.0,1.0,,,,,,,
24,PT09M15.00S,2023-12-24T00:13:51.5Z,1,REGULAR,3pt,Jump Shot,[],1641706,68.67608409986859,22.794117647058822,1610612766,8,2,2023-12-24T00:13:56Z,240000,False,-136.0,242.0,1,right,MISS B. Miller 27' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,27.75,Missed,,,,,,,,,,,,,,,,,,
25,PT09M12.00S,2023-12-24T00:13:54.5Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,8,2,2023-12-24T00:13:56Z,250000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,
26,PT09M08.00S,2023-12-24T00:13:59.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,27.94021024967148,23.03921568627451,1610612743,8,2,2023-12-24T00:17:12Z,260000,False,135.0,210.0,1,left,MISS M. Porter Jr. 24' pullup 3PT,[1629008],1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,24.96,Missed,,,,,,,,,,,,,,,,,,
27,PT09M05.00S,2023-12-24T00:14:02.6Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,8,2,2023-12-24T00:14:10Z,270000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,
28,PT09M00.00S,2023-12-24T00:14:11.6Z,1,REGULAR,foul,personal,[],203932,,,1610612766,8,2,2023-12-24T00:14:40Z,280000,False,,,0,,A. Gordon personal FOUL (1 PF),"[203932, 202330]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,201638.0,,,,,,,1.0,0.0,Hayward,202330.0
30,PT08M47.00S,2023-12-24T00:14:50.8Z,1,REGULAR,foul,personal,['2freethrow'],1627750,,,1610612766,8,2,2023-12-24T00:15:33Z,300000,False,,,0,,J. Murray shooting personal FOUL (1 PF) (Richards 2 FT),"[1627750, 1630208]",1610612743.0,DEN,shooting,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627524.0,,,,,,,1.0,0.0,Richards,1630208.0
34,PT08M47.00S,2023-12-24T00:15:23.1Z,1,REGULAR,freethrow,1 of 2,[],1630208,,,1610612766,9,2,2023-12-24T00:15:23Z,320000,False,,,0,,N. Richards Free Throw 1 of 2 (3 PTS),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
35,PT08M47.00S,2023-12-24T00:15:38.0Z,1,REGULAR,freethrow,2 of 2,[],1630208,,,1610612766,10,2,2023-12-24T00:15:38Z,330000,False,,,0,,N. Richards Free Throw 2 of 2 (4 PTS),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
36,PT08M37.00S,2023-12-24T00:15:49.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,17.559132720105126,44.6078431372549,1610612743,10,2,2023-12-24T00:15:54Z,340000,False,27.0,113.0,1,left,MISS J. Murray 11' pullup Shot,[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,11.58,Missed,,,,,,,,,,,,,,,,,,
37,PT08M35.00S,2023-12-24T00:15:51.8Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,10,2,2023-12-24T00:15:54Z,350000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,
38,PT08M30.00S,2023-12-24T00:16:01.6Z,1,REGULAR,3pt,Jump Shot,[],1628970,66.70499342969777,37.745098039215684,1610612766,10,2,2023-12-24T00:19:14Z,360000,False,-61.0,260.0,1,right,MISS M. Bridges 26' pullup 3PT,[1628970],1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,26.76,Missed,,,,,,,,,,,,,,,,,,
39,PT08M27.00S,2023-12-24T00:16:04.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,10,2,2023-12-24T00:19:14Z,370000,False,,,0,,N. Jokic REBOUND (Off:1 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,,,,,,38.0,2.0,1.0,1.0,,,,,,,,,,,
40,PT08M23.00S,2023-12-24T00:16:06.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",203932,7.440867279894875,55.392156862745104,1610612743,10,2,2023-12-24T01:12:06Z,380000,False,-27.0,17.0,1,left,MISS A. Gordon fadeaway Shot - blocked,"[203932, 202330]",1610612743.0,DEN,fadeaway,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,3.21,Missed,,Hayward,202330.0,,,,,,,,,,,,,,,
41,PT08M23.00S,2023-12-24T00:16:06.7Z,1,REGULAR,block,,[],202330,,,1610612743,10,2,2023-12-24T00:16:09Z,390000,False,,,0,,G. Hayward BLOCK (1 BLK),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M22.00S,2023-12-24T00:16:07.7Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,10,2,2023-12-24T00:18:53Z,400000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,
43,PT08M14.00S,2023-12-24T00:16:13.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628970,93.64323258869908,52.69607843137255,1610612766,12,2,2023-12-24T01:12:49Z,410000,False,13.0,7.0,1,right,M. Bridges driving Layup (4 PTS) (B. Miller 1 AST),"[1628970, 1641706]",1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,1.53,Made,4.0,,,,,,,,B. Miller,1641706.0,1.0,,,,,,,
45,PT08M14.00S,2023-12-24T00:16:19.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,12,2,2023-12-24T00:16:20Z,430000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M51.00S,2023-12-24T00:19:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,5.995400788436268,50.98039215686274,1610612743,12,4,2023-12-24T00:19:36Z,440000,False,-5.0,4.0,1,left,A. Gordon driving Layup (2 PTS) (J. Murray 1 AST),"[203932, 1627750]",1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,0.63,Made,2.0,,,,,,,,J. Murray,1627750.0,1.0,,,,,,,
48,PT07M34.00S,2023-12-24T00:19:48.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202330,91.27792378449409,49.26470588235294,1610612766,14,4,2023-12-24T00:19:53Z,460000,False,-4.0,29.0,1,right,G. Hayward driving Layup (4 PTS) (B. Miller 2 AST),"[202330, 1641706]",1610612766.0,CHA,driving,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,2.97,Made,4.0,,,,,,,,B. Miller,1641706.0,2.0,,,,,,,
49,PT07M23.00S,2023-12-24T00:20:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,7.440867279894875,55.14705882352941,1610612743,14,4,2023-12-24T00:21:01Z,470000,False,-26.0,17.0,1,left,MISS N. Jokic cutting Layup - blocked,"[203999, 1630208]",1610612743.0,DEN,cutting,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,3.1,Missed,,Richards,1630208.0,,,,,,,,,,,,,,,
50,PT07M23.00S,2023-12-24T00:20:02.2Z,1,REGULAR,block,,[],1630208,,,1610612743,14,4,2023-12-24T00:20:04Z,480000,False,,,0,,N. Richards BLOCK (2 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
51,PT07M21.00S,2023-12-24T00:20:04.2Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,14,4,2023-12-24T00:21:01Z,490000,False,,,0,,G. Hayward REBOUND (Off:0 Def:2),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,,,,,,49.0,2.0,2.0,0.0,,,,,,,,,,,
53,PT07M13.00S,2023-12-24T00:20:09.9Z,1,REGULAR,3pt,Jump Shot,[],1628970,75.64060446780552,11.27450980392157,1610612766,14,4,2023-12-24T00:22:23Z,500000,False,-194.0,176.0,1,right,MISS M. Bridges 26' pullup 3PT,[1628970],1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,26.2,Missed,,,,,,,,,,,,,,,,,,
54,PT07M09.00S,2023-12-24T00:20:13.9Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,14,4,2023-12-24T00:22:23Z,510000,False,,,0,,N. Richards REBOUND (Off:1 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Left Center,,,,,,53.0,2.0,1.0,1.0,,,,,,,,,,,
55,PT07M06.00S,2023-12-24T00:20:19.8Z,1,REGULAR,foul,offensive,[],1641706,,,1610612766,14,4,2023-12-24T00:20:32Z,520000,False,,,0,,B. Miller offensive FOUL (1 PF),"[1641706, 203484]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Mid-Range,8-16 Right,,,,,,,,,,1627524.0,,,,,,,1.0,0.0,Caldwell-Pope,203484.0
57,PT07M06.00S,2023-12-24T00:20:19.8Z,1,REGULAR,turnover,offensive foul,[],1641706,,,1610612766,14,4,2023-12-24T00:20:19Z,540000,False,,,0,,B. Miller offensive foul TURNOVER (1 TO),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Mid-Range,8-16 Right,,,,,,,,,,1627524.0,,,,1.0,,,,,,
58,PT06M53.00S,2023-12-24T00:20:43.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627750,6.915243101182654,53.431372549019606,1610612743,14,6,2023-12-24T00:20:48Z,550000,False,-17.0,13.0,1,left,J. Murray cutting Layup (4 PTS) (N. Jokic 1 AST),"[1627750, 203999]",1610612743.0,DEN,cutting,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,2.13,Made,4.0,,,,,,,,N. Jokic,203999.0,1.0,,,,,,,
60,PT06M38.00S,2023-12-24T00:21:02.6Z,1,REGULAR,foul,personal,[],1629008,,,1610612766,14,6,2023-12-24T00:21:11Z,570000,False,,,0,,M. Porter Jr. personal FOUL (1 PF),"[1629008, 202330]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,201638.0,,,,,,,1.0,0.0,Hayward,202330.0
62,PT06M27.00S,2023-12-24T00:21:34.9Z,1,REGULAR,3pt,Jump Shot,[],1641706,63.55124835742444,41.911764705882355,1610612766,14,6,2023-12-24T00:21:41Z,590000,False,-40.0,290.0,1,right,MISS B. Miller 29' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,29.29,Missed,,,,,,,,,,,,,,,,,,
63,PT06M24.00S,2023-12-24T00:21:37.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,14,6,2023-12-24T00:21:41Z,600000,False,,,0,,N. Jokic REBOUND (Off:1 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,,,,,,62.0,3.0,2.0,1.0,,,,,,,,,,,
64,PT06M11.00S,2023-12-24T00:21:50.7Z,1,REGULAR,3pt,Jump Shot,[],1627750,10.5946123521682,4.411764705882353,1610612743,14,9,2023-12-24T00:21:55Z,610000,False,228.0,47.0,1,left,J. Murray 3PT  (7 PTS) (N. Jokic 2 AST),"[1627750, 203999]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Right Corner 3,24+ Right,23.27,Made,7.0,,,,,,,,N. Jokic,203999.0,2.0,,,,,,,
66,PT06M01.00S,2023-12-24T00:22:03.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202397,92.32917214191852,42.8921568627451,1610612766,14,9,2023-12-24T00:25:26Z,630000,False,-36.0,20.0,1,right,MISS I. Smith driving reverse Layup,[202397],1610612766.0,CHA,driving reverse,,,Smith,I. Smith,,,,,Restricted Area,0-8 Center,4.06,Missed,,,,,,,,,,,,,,,,,,
67,PT06M00.00S,2023-12-24T00:22:04.7Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,14,9,2023-12-24T00:25:26Z,640000,False,,,0,,M. Bridges REBOUND (Off:1 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,66.0,2.0,1.0,1.0,,,,,,,,,,,
68,PT06M00.00S,2023-12-24T00:22:07.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628970,94.40999984741211,50.0,1610612766,14,9,2023-12-24T00:26:12Z,650000,False,0.0,0.0,1,right,MISS M. Bridges tip Layup,[1628970],1610612766.0,CHA,tip,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
69,PT05M55.00S,2023-12-24T00:22:12.2Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,14,9,2023-12-24T00:26:12Z,660000,False,,,0,,M. Bridges REBOUND (Off:2 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,68.0,3.0,1.0,2.0,,,,,,,,,,,
70,PT05M52.00S,2023-12-24T00:22:09.9Z,1,REGULAR,turnover,bad pass,[],1628970,,,1610612766,14,9,2023-12-24T00:22:15Z,670000,False,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628970, 203932]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,1.0,Gordon,203932.0,,,,
71,PT05M52.00S,2023-12-24T00:22:09.9Z,1,REGULAR,steal,,[],203932,,,1610612743,14,9,2023-12-24T00:22:11Z,680000,False,,,0,,A. Gordon STEAL (1 STL),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
72,PT05M48.00S,2023-12-24T00:22:14.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203932,6.258212877792378,56.127450980392155,1610612743,14,9,2023-12-24T00:22:21Z,690000,False,-31.0,6.0,1,left,MISS A. Gordon running DUNK - blocked,"[203932, 202330]",1610612743.0,DEN,running,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,3.12,Missed,,Hayward,202330.0,,,,,,,,,,,,,,,
73,PT05M48.00S,2023-12-24T00:22:14.5Z,1,REGULAR,block,,[],202330,,,1610612743,14,9,2023-12-24T00:22:17Z,700000,False,,,0,,G. Hayward BLOCK (2 BLK),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
74,PT05M44.00S,2023-12-24T00:22:18.5Z,1,REGULAR,rebound,defensive,[],202397,,,1610612766,14,9,2023-12-24T00:22:21Z,710000,False,,,0,,I. Smith REBOUND (Off:0 Def:1),[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,Restricted Area,0-8 Center,,,,,,72.0,1.0,1.0,0.0,,,,,,,,,,,
75,PT05M40.00S,2023-12-24T00:22:22.1Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630208,91.93495400788436,47.549019607843135,1610612766,16,9,2023-12-24T00:22:35Z,720000,False,-12.0,23.0,1,right,N. Richards running alley-oop DUNK (6 PTS) (I. Smith 3 AST),"[1630208, 202397]",1610612766.0,CHA,running alley-oop,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,2.63,Made,6.0,,,,,,,,I. Smith,202397.0,3.0,,,,,,,
77,PT05M24.00S,2023-12-24T00:22:41.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,5.732588699080158,47.05882352941176,1610612743,16,11,2023-12-24T00:27:40Z,740000,False,15.0,1.0,1,left,A. Gordon driving Layup (4 PTS),[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.48,Made,4.0,,,,,,,,,,,,,,,,,
78,PT05M24.00S,2023-12-24T00:22:46.8Z,1,REGULAR,foul,personal,['1freethrow'],1628970,,,1610612743,16,11,2023-12-24T00:22:53Z,750000,False,,,0,,M. Bridges shooting personal FOUL (1 PF) (Gordon 1 FT),"[1628970, 203932]",1610612766.0,CHA,shooting,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,201638.0,,,,,,,1.0,0.0,Gordon,203932.0
80,PT05M24.00S,2023-12-24T00:22:55.4Z,1,REGULAR,substitution,out,[],1628970,,,1610612743,16,11,2023-12-24T00:25:13Z,770000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M24.00S,2023-12-24T00:22:55.4Z,1,REGULAR,substitution,in,[],1629023,,,1610612743,16,11,2023-12-24T00:25:13Z,780000,False,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M24.00S,2023-12-24T00:23:12.5Z,1,REGULAR,freethrow,1 of 1,[],203932,,,1610612743,16,12,2023-12-24T00:23:12Z,790000,False,,,0,,A. Gordon Free Throw 1 of 1 (5 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
83,PT05M08.00S,2023-12-24T00:23:33.5Z,1,REGULAR,turnover,out-of-bounds,[],1641706,,,1610612766,16,12,2023-12-24T00:23:40Z,800000,False,,,0,,B. Miller step out-of-bounds TURNOVER (2 TO),[1641706],1610612766.0,CHA,step,,,Miller,B. Miller,,,,,Left Corner 3,24+ Left,,,,,,,,,,201638.0,,,,2.0,,,,,,
84,PT05M08.00S,2023-12-24T00:23:38.2Z,1,REGULAR,substitution,out,[],202397,,,1610612743,16,12,2023-12-24T00:23:47Z,810000,False,,,0,,SUB out: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M08.00S,2023-12-24T00:23:38.2Z,1,REGULAR,substitution,out,[],202330,,,1610612743,16,12,2023-12-24T00:23:47Z,820000,False,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M08.00S,2023-12-24T00:23:38.2Z,1,REGULAR,substitution,in,[],1641733,,,1610612743,16,12,2023-12-24T00:23:47Z,830000,False,,,0,,SUB in: N. Smith Jr.,[1641733],1610612766.0,CHA,,,,Smith Jr.,N. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M08.00S,2023-12-24T00:23:38.2Z,1,REGULAR,substitution,in,[],1628998,,,1610612743,16,12,2023-12-24T00:23:47Z,840000,False,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
