actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
15,PT10M54.00S,2023-11-21T00:12:27.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,3,2023-11-21T00:12:32Z,150000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,
16,PT10M45.00S,2023-11-21T00:12:37.8Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,0,3,2023-11-21T00:12:42Z,160000,False,,,0,,J. Tatum bad pass TURNOVER (2 TO),"[1628369, 202330]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,2.0,Hayward,202330.0,,,,,,,
17,PT10M45.00S,2023-11-21T00:12:37.8Z,1,REGULAR,steal,,[],202330,,,1610612766,0,3,2023-11-21T00:12:39Z,170000,False,,,0,,G. Hayward STEAL (1 STL),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
18,PT10M37.00S,2023-11-21T00:12:44.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641706,91.5407358738502,55.88235294117647,1610612766,0,3,2023-11-21T00:14:10Z,180000,False,29.0,27.0,1,right,MISS B. Miller running alley-oop Layup,[1641706],1610612766.0,CHA,running alley-oop,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,3.99,Missed,,,,,,,,,,,,,,,,,,
19,PT10M36.00S,2023-11-21T00:12:45.1Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,0,3,2023-11-21T00:17:56Z,190000,False,,,0,,L. Ball REBOUND (Off:1 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,
79,PT10M36.00S,2023-11-21T00:12:51.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630163,93.42969776609723,50.4672181372549,1610612766,0,3,2023-11-21T00:23:30Z,195000,False,2.0,9.0,1,right,MISS L. Ball tip Layup,[1630163],1610612766.0,CHA,tip,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,0.96,Missed,,,,,,,,,,,,,,,,,,
80,PT10M35.00S,2023-11-21T00:12:52.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,3,2023-11-21T00:23:30Z,197500,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,79.0,3.0,3.0,0.0,,,,,,,,,,,,,
20,PT10M23.00S,2023-11-21T00:12:58.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,10.33180026281209,37.00980392156863,1610612738,0,5,2023-11-21T00:15:20Z,200000,False,65.0,45.0,1,left,J. Brown 7' turnaround fadeaway Jump Shot (2 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,7.88,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M11.00S,2023-11-21T00:13:11.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,92.72339027595268,50.73529411764706,1610612766,2,5,2023-11-21T00:13:15Z,210000,False,4.0,16.0,1,right,L. Ball Layup (2 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,1.63,Made,2.0,,,,,,,,,,,,,,,,,
22,PT10M03.00S,2023-11-21T00:13:19.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,8.754927726675426,52.450980392156865,1610612738,2,5,2023-11-21T00:15:57Z,220000,False,-12.0,30.0,1,left,MISS J. Holiday driving Layup,[201950],1610612738.0,BOS,driving,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,3.22,Missed,,,,,,,,,,,,,,,,,,
23,PT10M01.00S,2023-11-21T00:13:21.0Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,2,5,2023-11-21T00:13:25Z,230000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT09M58.00S,2023-11-21T00:13:23.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,65.65374507227332,38.72549019607843,1610612766,5,5,2023-11-21T00:13:41Z,240000,False,-56.0,270.0,1,right,L. Ball 27' 3PT pullup (5 PTS),[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,27.62,Made,5.0,,,,,,,,,,,,,,,,,
25,PT09M44.00S,2023-11-21T00:13:38.2Z,1,REGULAR,3pt,Jump Shot,[],204001,25.969119579500656,17.892156862745097,1610612738,5,5,2023-11-21T00:13:46Z,250000,False,161.0,192.0,1,left,MISS K. Porzingis 24' 3PT,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,24.99,Missed,,,,,,,,,,,,,,,,,,
26,PT09M44.00S,2023-11-21T00:13:38.2Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,5,5,2023-11-21T00:13:46Z,260000,False,,,0,,L. Ball REBOUND (Off:1 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,,25.0,2.0,1.0,1.0,,,,,,,,,,,,,
27,PT09M36.00S,2023-11-21T00:13:45.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,66.96780551905388,75.73529411764706,1610612766,5,5,2023-11-21T00:16:47Z,270000,False,129.0,258.0,1,right,MISS L. Ball 28' running pullup 3PT,[1630163],1610612766.0,CHA,running pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,28.83,Missed,,,,,,,,,,,,,,,,,,
28,PT09M35.00S,2023-11-21T00:13:46.3Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,5,5,2023-11-21T00:13:51Z,280000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,
30,PT09M21.00S,2023-11-21T00:14:16.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,7.440867279894875,53.18627450980392,1610612738,5,7,2023-11-21T00:17:12Z,300000,False,-16.0,17.0,1,left,J. Brown driving Layup (4 PTS) (J. Holiday 1 AST),"[1627759, 201950]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.36,Made,4.0,,,,,,,,,,,J. Holiday,201950.0,1.0,,,,
31,PT09M05.00S,2023-11-21T00:14:33.3Z,1,REGULAR,foul,personal,['2freethrow'],1630573,,,1610612766,5,7,2023-11-21T00:14:43Z,310000,False,,,0,,S. Hauser shooting personal FOUL (1 PF) (Bridges 2 FT),"[1630573, 1628970]",1610612738.0,BOS,shooting,,,Hauser,S. Hauser,,,,,Mid-Range,8-16 Left,,,,,,,,1628480.0,1.0,0.0,,,,,,,Bridges,1628970.0,,
33,PT09M05.00S,2023-11-21T00:14:59.2Z,1,REGULAR,freethrow,1 of 2,[],1628970,,,1610612766,6,7,2023-11-21T00:14:59Z,330000,False,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
35,PT09M05.00S,2023-11-21T00:15:13.5Z,1,REGULAR,freethrow,2 of 2,[],1628970,,,1610612766,7,7,2023-11-21T00:15:13Z,340000,False,,,0,,M. Bridges Free Throw 2 of 2 (2 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
36,PT08M54.00S,2023-11-21T00:15:25.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,30.042706964520367,77.69607843137256,1610612738,7,7,2023-11-21T00:15:38Z,350000,False,-138.0,230.0,1,left,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,26.84,Missed,,,,,,,,,,,,,,,,,,
37,PT08M51.00S,2023-11-21T00:15:27.7Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,7,7,2023-11-21T00:15:27Z,360000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,
38,PT08M47.00S,2023-11-21T00:15:31.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641706,89.43823915900131,96.07843137254902,1610612766,7,7,2023-11-21T00:15:45Z,370000,False,230.0,47.0,1,right,MISS B. Miller 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Right Corner 3,24+ Right,23.51,Missed,,,,,,,,,,,,,,,,,,
39,PT08M45.00S,2023-11-21T00:15:34.4Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612766,7,7,2023-11-21T00:15:34Z,380000,False,,,0,,M. Williams REBOUND (Off:1 Def:1),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Right Corner 3,24+ Right,,,,38.0,2.0,1.0,1.0,,,,,,,,,,,,,
40,PT08M40.00S,2023-11-21T00:15:39.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202330,92.06636005256242,50.245098039215684,1610612766,9,7,2023-11-21T00:15:49Z,390000,False,1.0,22.0,1,right,G. Hayward cutting Layup (2 PTS) (M. Bridges 1 AST),"[202330, 1628970]",1610612766.0,CHA,cutting,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,2.21,Made,2.0,,,,,,,,,,,M. Bridges,1628970.0,1.0,,,,
42,PT08M28.00S,2023-11-21T00:15:51.4Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,9,7,2023-11-21T00:15:56Z,410000,False,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1641706]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,Miller,1641706.0,,,,,,,
43,PT08M28.00S,2023-11-21T00:15:51.4Z,1,REGULAR,steal,,[],1641706,,,1610612766,9,7,2023-11-21T00:15:53Z,420000,False,,,0,,B. Miller STEAL (2 STL),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
44,PT08M25.00S,2023-11-21T00:15:54.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641706,93.64323258869908,48.03921568627451,1610612766,9,7,2023-11-21T00:20:53Z,430000,False,-10.0,7.0,1,right,MISS B. Miller running Layup - blocked,"[1641706, 201950]",1610612766.0,CHA,running,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,1.22,Missed,,,,,,,,,,,,,,,,,Holiday,201950.0
45,PT08M25.00S,2023-11-21T00:15:54.7Z,1,REGULAR,block,,[],201950,,,1610612766,9,7,2023-11-21T00:15:57Z,440000,False,,,0,,J. Holiday BLOCK (1 BLK),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
46,PT08M20.00S,2023-11-21T00:15:59.7Z,1,REGULAR,rebound,offensive,[],1641706,,,1610612766,9,7,2023-11-21T00:16:06Z,450000,False,,,0,,B. Miller REBOUND (Off:1 Def:0),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,,44.0,1.0,0.0,1.0,,,,,,,,,,,,,
47,PT08M12.00S,2023-11-21T00:16:07.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630163,94.30026281208936,50.49019607843137,1610612766,11,7,2023-11-21T00:16:13Z,460000,False,2.0,1.0,1,right,L. Ball driving Layup (7 PTS),[1630163],1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,0.27,Made,7.0,,,,,,,,,,,,,,,,,
48,PT07M49.00S,2023-11-21T00:16:30.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628369,7.440867279894875,50.0,1610612738,11,9,2023-11-21T00:16:36Z,470000,False,0.0,17.0,1,left,J. Tatum driving DUNK (5 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.74,Made,5.0,,,,,,,,,,,,,,,,,
49,PT07M42.00S,2023-11-21T00:16:40.6Z,1,REGULAR,turnover,out-of-bounds,[],1628970,,,1610612766,11,9,2023-11-21T00:30:35Z,480000,False,,,0,,M. Bridges lost ball out-of-bounds TURNOVER (1 TO),[1628970],1610612766.0,CHA,lost ball,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,,,,,,,,,
152,PT07M25.00S,2023-11-21T00:17:19.9Z,1,REGULAR,turnover,lost ball,[],201950,,,1610612738,11,9,2023-11-21T00:37:07Z,515000,False,,,0,,J. Holiday lost ball TURNOVER (1 TO),"[201950, 1631109]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Williams,1631109.0,,,,,,,
153,PT07M25.00S,2023-11-21T00:17:19.9Z,1,REGULAR,steal,,[],1631109,,,1610612766,11,9,2023-11-21T00:37:07Z,517500,False,,,0,,M. Williams STEAL (1 STL),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
53,PT07M09.00S,2023-11-21T00:17:28.8Z,1,REGULAR,foul,personal,['2freethrow'],204001,,,1610612766,11,9,2023-11-21T00:17:41Z,520000,False,,,0,,K. Porzingis shooting personal FOUL (1 PF) (Hayward 2 FT),"[204001, 202330]",1610612738.0,BOS,shooting,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,,,,,,203591.0,1.0,0.0,,,,,,,Hayward,202330.0,,
55,PT07M09.00S,2023-11-21T00:17:54.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],202330,,,1610612766,11,9,2023-11-21T00:37:07Z,540000,False,,,0,,MISS G. Hayward Free Throw 1 of 2,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
56,PT07M09.00S,2023-11-21T00:17:54.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,11,9,2023-11-21T00:17:54Z,550000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,
57,PT07M09.00S,2023-11-21T00:18:09.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],202330,,,1610612766,12,9,2023-11-21T00:37:07Z,560000,False,,,0,,G. Hayward Free Throw 2 of 2 (3 PTS),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
58,PT06M51.00S,2023-11-21T00:18:28.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,19.004599211563733,50.73529411764706,1610612738,12,9,2023-11-21T00:24:48Z,570000,False,-4.0,126.0,1,left,MISS J. Brown 12' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,12.62,Missed,,,,,,,,,,,,,,,,,,
59,PT06M49.00S,2023-11-21T00:18:30.9Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,12,9,2023-11-21T00:18:34Z,580000,False,,,0,,M. Williams REBOUND (Off:1 Def:2),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,58.0,3.0,2.0,1.0,,,,,,,,,,,,,
60,PT06M41.00S,2023-11-21T00:18:38.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631109,92.72339027595268,53.18627450980392,1610612766,12,9,2023-11-21T00:18:43Z,590000,False,16.0,16.0,1,right,MISS M. Williams alley-oop DUNK,[1631109],1610612766.0,CHA,alley-oop,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,2.25,Missed,,,,,,,,,,,,,,,,,,
61,PT06M38.00S,2023-11-21T00:18:41.3Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,12,9,2023-11-21T00:18:41Z,600000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,
62,PT06M34.00S,2023-11-21T00:18:48.1Z,1,REGULAR,foul,personal,['2freethrow'],1630163,,,1610612738,12,9,2023-11-21T00:18:55Z,610000,False,,,0,,L. Ball shooting personal FOUL (1 PF) (Brown 2 FT),"[1630163, 1627759]",1610612766.0,CHA,shooting,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,,,,,,203591.0,1.0,0.0,,,,,,,Brown,1627759.0,,
64,PT06M34.00S,2023-11-21T00:18:58.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,12,9,2023-11-21T00:18:58Z,630000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M34.00S,2023-11-21T00:20:56.5Z,1,REGULAR,substitution,out,[],1628970,,,1610612738,12,9,2023-11-21T00:21:41Z,640000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M34.00S,2023-11-21T00:20:56.5Z,1,REGULAR,substitution,out,[],201950,,,1610612738,12,9,2023-11-21T00:21:41Z,650000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M34.00S,2023-11-21T00:20:56.5Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,12,9,2023-11-21T00:21:41Z,660000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M34.00S,2023-11-21T00:20:56.5Z,1,REGULAR,substitution,in,[],1629023,,,1610612738,12,9,2023-11-21T00:21:41Z,670000,False,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M34.00S,2023-11-21T00:20:56.5Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,12,9,2023-11-21T00:21:41Z,680000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M34.00S,2023-11-21T00:20:56.5Z,1,REGULAR,substitution,in,[],1629052,,,1610612738,12,9,2023-11-21T00:21:41Z,690000,False,,,0,,SUB in: O. Brissett,[1629052],1610612738.0,BOS,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M34.00S,2023-11-21T00:21:54.6Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,12,10,2023-11-21T00:21:54Z,700000,False,,,0,,J. Brown Free Throw 1 of 2 (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
72,PT06M34.00S,2023-11-21T00:22:10.8Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,12,11,2023-11-21T00:22:10Z,710000,False,,,0,,J. Brown Free Throw 2 of 2 (6 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
73,PT06M18.00S,2023-11-21T00:22:26.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631109,93.11760840998686,53.431372549019606,1610612766,12,11,2023-11-21T00:25:53Z,720000,False,17.0,12.0,1,right,MISS M. Williams fadeaway bank Shot,[1631109],1610612766.0,CHA,fadeaway bank,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,2.11,Missed,,,,,,,,,,,,,,,,,,
74,PT06M16.00S,2023-11-21T00:22:28.7Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,12,11,2023-11-21T00:22:34Z,730000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,,73.0,2.0,2.0,0.0,,,,,,,,,,,,,
75,PT06M09.00S,2023-11-21T00:22:35.5Z,1,REGULAR,3pt,Jump Shot,[],204001,32.40801576872536,51.71568627450981,1610612738,12,11,2023-11-21T00:22:39Z,740000,False,-9.0,252.0,1,left,MISS K. Porzingis 25' 3PT,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,25.22,Missed,,,,,,,,,,,,,,,,,,
76,PT06M07.00S,2023-11-21T00:22:37.5Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,12,11,2023-11-21T00:22:39Z,750000,False,,,0,,L. Ball REBOUND (Off:1 Def:2),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,,,,75.0,3.0,2.0,1.0,,,,,,,,,,,,,
77,PT06M04.00S,2023-11-21T00:22:41.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631109,93.77463863337714,49.50980392156863,1610612766,14,11,2023-11-21T00:26:42Z,760000,False,-2.0,6.0,1,right,M. Williams Layup (2 PTS) (L. Ball 1 AST),"[1631109, 1630163]",1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,0.65,Made,2.0,,,,,,,,,,,L. Ball,1630163.0,1.0,,,,
