actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
34,PT08M36.00S,2024-01-30T00:17:20.0Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,9,5,2024-01-30T00:17:26Z,340000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,
35,PT08M29.00S,2024-01-30T00:17:27.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629023,72.88107752956637,18.38235294117647,1610612766,9,5,2024-01-30T00:17:32Z,350000,False,-158.0,202.0,1,right,MISS P. Washington 25' running 3PT,[1629023],1610612766.0,CHA,running,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,,,,,,25.68,Missed,,,,,,,,,,,,,
36,PT08M26.00S,2024-01-30T00:17:30.7Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,9,5,2024-01-30T00:17:32Z,360000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:2),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Left Center,,,,,,,,35.0,3.0,2.0,1.0,,,,,,,,,
37,PT08M09.00S,2024-01-30T00:17:47.5Z,1,REGULAR,3pt,Jump Shot,[],1628973,35.8245729303548,39.950980392156865,1610612752,9,5,2024-01-30T00:17:52Z,370000,False,50.0,284.0,1,left,MISS J. Brunson 28' 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,,,,,,28.87,Missed,,,,,,,,,,,,,
38,PT08M06.00S,2024-01-30T00:17:50.5Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,9,5,2024-01-30T00:17:52Z,380000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Center,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,
39,PT07M59.00S,2024-01-30T00:18:00.5Z,1,REGULAR,turnover,out-of-bounds,[],1641706,,,1610612766,9,5,2024-01-30T00:18:08Z,390000,False,,,0,,B. Miller bad pass out-of-bounds TURNOVER (1 TO),[1641706],1610612766.0,CHA,bad pass,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,2882.0,,,,,,,,,,,,,,,,,1.0,,
40,PT07M44.00S,2024-01-30T00:18:23.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628978,32.53942181340342,63.23529411764706,1610612752,9,8,2024-01-30T00:18:28Z,400000,False,-66.0,253.0,1,left,D. DiVincenzo 26' 3PT pullup (6 PTS),[1628978],1610612752.0,NYK,pullup,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,,,,,,26.19,Made,,,,,,,6.0,,,,,,
41,PT07M21.00S,2024-01-30T00:18:46.7Z,1,REGULAR,2pt,Jump Shot,[],1628970,89.56964520367937,19.11764705882353,1610612766,9,8,2024-01-30T00:18:51Z,410000,False,-154.0,46.0,1,right,MISS M. Bridges 16' fadeaway Shot,[1628970],1610612766.0,CHA,fadeaway,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,,,,,,16.1,Missed,,,,,,,,,,,,,
42,PT07M18.00S,2024-01-30T00:18:49.7Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,9,8,2024-01-30T00:18:51Z,420000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Left,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,
43,PT07M12.00S,2024-01-30T00:18:56.2Z,1,REGULAR,3pt,Jump Shot,[],1628978,32.933639947437584,33.33333333333333,1610612752,9,8,2024-01-30T00:19:01Z,430000,False,83.0,257.0,1,left,MISS D. DiVincenzo 27' pullup 3PT,[1628978],1610612752.0,NYK,pullup,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,,,,,,27.03,Missed,,,,,,,,,,,,,
