actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,descriptor,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
35,PT09M09.00S,2024-01-27T00:15:59.2Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,7,5,2024-01-27T00:15:59Z,350000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,VanVleet,F. VanVleet,Above the Break 3,24+ Center,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT09M06.00S,2024-01-27T00:16:02.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627832,93.38042049934296,50.0,1610612745,7,5,2024-01-27T00:18:50Z,360000,False,0.0,10.0,1,right,MISS F. VanVleet running Layup,[1627832],1610612745.0,HOU,,VanVleet,F. VanVleet,Restricted Area,0-8 Center,0.97,Missed,,,,,running,,,,,,,,,,,,,,,,,,,
37,PT09M04.00S,2024-01-27T00:16:04.0Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,7,5,2024-01-27T00:16:08Z,370000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,Bridges,M. Bridges,Restricted Area,0-8 Center,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
128,PT09M00.00S,2024-01-27T00:16:06.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628998,6.176084099868594,46.10140931372549,1610612766,7,5,2024-01-27T00:33:32Z,375000,False,19.0,6.0,1,left,MISS C. Martin running Layup - blocked,"[1628998, 1627832]",1610612766.0,CHA,,Martin,C. Martin,Restricted Area,0-8 Center,2.03,Missed,,,,,running,,,,,,,,,,,,,,,,VanVleet,1627832.0,,
129,PT09M00.00S,2024-01-27T00:16:06.0Z,1,REGULAR,block,,[],1627832,,,1610612766,7,5,2024-01-27T00:32:03Z,377500,False,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612745.0,HOU,,VanVleet,F. VanVleet,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT08M59.00S,2024-01-27T00:16:07.0Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,7,5,2024-01-27T00:33:09Z,378750,False,,,0,,N. Richards REBOUND (Off:2 Def:1),[1630208],1610612766.0,CHA,,Richards,N. Richards,Restricted Area,0-8 Center,,,,,,,,,128.0,3.0,1.0,2.0,,,,,,,,,,,,,,
38,PT08M58.00S,2024-01-27T00:16:10.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', '2ndchance']",1630208,6.652431011826544,51.470588235294116,1610612766,7,5,2024-01-27T00:33:51Z,380000,False,-7.0,10.0,1,left,MISS N. Richards Layup,[1630208],1610612766.0,CHA,,Richards,N. Richards,Restricted Area,0-8 Center,1.24,Missed,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M52.00S,2024-01-27T00:16:16.1Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,7,5,2024-01-27T00:16:17Z,390000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,Green,J. Green,Restricted Area,0-8 Center,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT08M46.00S,2024-01-27T00:16:22.5Z,1,REGULAR,3pt,Jump Shot,[],1628415,71.82982917214193,20.098039215686274,1610612745,7,8,2024-01-27T00:16:28Z,400000,False,-150.0,212.0,1,right,D. Brooks 25' 3PT  (6 PTS) (A. Sengun 2 AST),"[1628415, 1630578]",1610612745.0,HOU,,Brooks,D. Brooks,Above the Break 3,24+ Left Center,25.97,Made,6.0,A. Sengun,1630578.0,2.0,,,,,,,,,,,,,,,,,,,,
42,PT08M26.00S,2024-01-27T00:16:41.8Z,1,REGULAR,3pt,Jump Shot,[],1630163,27.94021024967148,19.362745098039216,1610612766,7,8,2024-01-27T00:21:46Z,420000,False,153.0,210.0,1,left,MISS L. Ball 26' step back 3PT,[1630163],1610612766.0,CHA,,Ball,L. Ball,Above the Break 3,24+ Right Center,26.0,Missed,,,,,step back,,,,,,,,,,,,,,,,,,,
43,PT08M23.00S,2024-01-27T00:16:44.8Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,7,8,2024-01-27T00:16:45Z,430000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,Green,J. Green,Above the Break 3,24+ Right Center,,,,,,,,,42.0,2.0,2.0,0.0,,,,,,,,,,,,,,
45,PT08M18.00S,2024-01-27T00:16:51.6Z,1,REGULAR,foul,personal,['2freethrow'],1628970,,,1610612745,7,8,2024-01-27T00:17:03Z,440000,False,,,0,,M. Bridges shooting personal FOUL (1 PF) (Green 2 FT),"[1628970, 1630224]",1610612766.0,CHA,1201.0,Bridges,M. Bridges,Restricted Area,0-8 Center,,,,,,,shooting,,,,,,1.0,0.0,Green,1630224.0,,,,,,,,,,
47,PT08M18.00S,2024-01-27T00:17:14.3Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,7,9,2024-01-27T00:17:14Z,460000,False,,,0,,J. Green Free Throw 1 of 2 (3 PTS),[1630224],1610612745.0,HOU,,Green,J. Green,,,,Made,3.0,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M18.00S,2024-01-27T00:17:33.6Z,1,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,7,10,2024-01-27T00:17:33Z,470000,False,,,0,,J. Green Free Throw 2 of 2 (4 PTS),[1630224],1610612745.0,HOU,,Green,J. Green,,,,Made,4.0,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M02.00S,2024-01-27T00:17:53.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628970,5.863994743758213,53.67647058823529,1610612766,9,10,2024-01-27T00:24:40Z,480000,False,-18.0,3.0,1,left,M. Bridges cutting DUNK (2 PTS) (B. Miller 1 AST),"[1628970, 1641706]",1610612766.0,CHA,,Bridges,M. Bridges,Restricted Area,0-8 Center,1.86,Made,2.0,B. Miller,1641706.0,1.0,cutting,,,,,,,,,,,,,,,,,,,
51,PT07M38.00S,2024-01-27T00:18:16.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,91.14651773981603,51.225490196078425,1610612745,9,12,2024-01-27T00:25:06Z,500000,False,6.0,31.0,1,right,A. Sengun driving Layup (2 PTS),[1630578],1610612745.0,HOU,,Sengun,A. Sengun,Restricted Area,0-8 Center,3.13,Made,2.0,,,,driving,,,,,,,,,,,,,,,,,,,
52,PT07M31.00S,2024-01-27T00:18:24.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,7.178055190538765,50.73529411764706,1610612766,11,12,2024-01-27T00:25:18Z,510000,False,-4.0,15.0,1,left,L. Ball driving Layup (2 PTS),[1630163],1610612766.0,CHA,,Ball,L. Ball,Restricted Area,0-8 Center,1.54,Made,2.0,,,,driving,,,,,,,,,,,,,,,,,,,
53,PT07M25.00S,2024-01-27T00:18:31.8Z,1,REGULAR,foul,personal,['2freethrow'],1641706,,,1610612745,11,12,2024-01-27T00:18:46Z,520000,False,,,0,,B. Miller shooting personal FOUL (2 PF) (Green 2 FT),"[1641706, 1630224]",1610612766.0,CHA,201638.0,Miller,B. Miller,Restricted Area,0-8 Center,,,,,,,shooting,,,,,,2.0,0.0,Green,1630224.0,,,,,,,,,,
55,PT07M25.00S,2024-01-27T00:19:00.6Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,11,13,2024-01-27T00:19:00Z,540000,False,,,0,,J. Green Free Throw 1 of 2 (5 PTS),[1630224],1610612745.0,HOU,,Green,J. Green,,,,Made,5.0,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M25.00S,2024-01-27T00:19:13.3Z,1,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,11,14,2024-01-27T00:19:13Z,550000,False,,,0,,J. Green Free Throw 2 of 2 (6 PTS),[1630224],1610612745.0,HOU,,Green,J. Green,,,,Made,6.0,,,,,,,,,,,,,,,,,,,,,,,
80,PT07M12.00S,2024-01-27T00:19:23.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,6.438896189224705,48.79748774509804,1610612766,11,14,2024-01-27T00:27:11Z,565000,False,6.0,8.0,1,left,MISS L. Ball driving floating bank Shot - blocked,"[1630163, 1627832]",1610612766.0,CHA,,Ball,L. Ball,Restricted Area,0-8 Center,1.0,Missed,,,,,driving floating bank,,,,,,,,,,,,,,,,VanVleet,1627832.0,,
81,PT07M12.00S,2024-01-27T00:19:23.5Z,1,REGULAR,block,,[],1627832,,,1610612766,11,14,2024-01-27T00:24:51Z,572500,False,,,0,,F. VanVleet BLOCK (2 BLK),[1627832],1610612745.0,HOU,,VanVleet,F. VanVleet,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT07M12.00S,2024-01-27T00:19:23.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,11,14,2024-01-27T00:24:51Z,576250,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,Restricted Area,0-8 Center,,,,,,,,,80.0,,,,,,,,,,,,,,,,,
59,PT07M12.00S,2024-01-27T00:19:46.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,11,14,2024-01-27T00:19:46Z,580000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M07.00S,2024-01-27T00:22:43.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630208,7.5722733245729295,48.529411764705884,1610612766,13,14,2024-01-27T00:24:51Z,600000,False,7.0,19.0,1,left,N. Richards alley-oop DUNK (4 PTS) (L. Ball 3 AST),"[1630208, 1630163]",1610612766.0,CHA,,Richards,N. Richards,Restricted Area,0-8 Center,2.01,Made,4.0,L. Ball,1630163.0,3.0,alley-oop,,,,,,,,,,,,,,,,,,,
63,PT06M37.00S,2024-01-27T00:23:12.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627832,90.22667542706965,50.73529411764706,1610612745,13,14,2024-01-27T00:29:22Z,620000,False,4.0,39.0,1,right,MISS F. VanVleet driving floating Shot,[1627832],1610612745.0,HOU,,VanVleet,F. VanVleet,Restricted Area,0-8 Center,3.96,Missed,,,,,driving floating,,,,,,,,,,,,,,,,,,,
64,PT06M35.00S,2024-01-27T00:23:14.3Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,13,14,2024-01-27T00:33:52Z,630000,False,,,0,,L. Ball REBOUND (Off:0 Def:2),[1630163],1610612766.0,CHA,,Ball,L. Ball,Restricted Area,0-8 Center,,,,,,,,,63.0,2.0,2.0,0.0,,,,,,,,,,,,,,
65,PT06M28.00S,2024-01-27T00:23:20.9Z,1,REGULAR,3pt,Jump Shot,[],1630163,31.750985545335087,56.127450980392155,1610612766,16,14,2024-01-27T00:30:01Z,640000,False,-31.0,246.0,1,left,L. Ball 24' 3PT pullup (5 PTS),[1630163],1610612766.0,CHA,,Ball,L. Ball,Above the Break 3,24+ Center,24.79,Made,5.0,,,,pullup,,,,,,,,,,,,,,,,,,,
66,PT06M11.00S,2024-01-27T00:23:38.2Z,1,REGULAR,3pt,Jump Shot,[],201145,92.19776609724047,4.901960784313726,1610612745,16,14,2024-01-27T00:23:44Z,650000,False,-225.0,21.0,1,right,MISS J. Green 3PT,[201145],1610612745.0,HOU,,Green,J. Green,Left Corner 3,24+ Left,22.65,Missed,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M10.00S,2024-01-27T00:23:40.3Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,16,14,2024-01-27T00:23:40Z,660000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,Miller,B. Miller,Left Corner 3,24+ Left,,,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,
68,PT06M01.00S,2024-01-27T00:23:48.7Z,1,REGULAR,3pt,Jump Shot,[],1630163,28.86005256241787,80.63725490196079,1610612766,16,14,2024-01-27T00:30:28Z,670000,False,-153.0,219.0,1,left,MISS L. Ball 26' pullup 3PT,[1630163],1610612766.0,CHA,,Ball,L. Ball,Above the Break 3,24+ Left Center,26.71,Missed,,,,,pullup,,,,,,,,,,,,,,,,,,,
69,PT05M59.00S,2024-01-27T00:23:50.7Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,16,14,2024-01-27T00:23:52Z,680000,False,,,0,,J. Green REBOUND (Off:0 Def:3),[1630224],1610612745.0,HOU,,Green,J. Green,Above the Break 3,24+ Left Center,,,,,,,,,68.0,3.0,3.0,0.0,,,,,,,,,,,,,,
70,PT05M55.00S,2024-01-27T00:23:56.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630224,91.5407358738502,51.9607843137255,1610612745,16,16,2024-01-27T00:31:02Z,690000,False,10.0,27.0,1,right,J. Green running Layup (8 PTS),[1630224],1610612745.0,HOU,,Green,J. Green,Restricted Area,0-8 Center,2.87,Made,8.0,,,,running,,,,,,,,,,,,,,,,,,,
71,PT05M55.00S,2024-01-27T00:23:58.9Z,1,REGULAR,foul,personal,['1freethrow'],1630208,,,1610612745,16,16,2024-01-27T00:24:22Z,700000,False,,,0,,N. Richards shooting personal FOUL (1 PF) (Green 1 FT),"[1630208, 1630224]",1610612766.0,CHA,201638.0,Richards,N. Richards,Restricted Area,0-8 Center,,,,,,,shooting,,,,,,1.0,0.0,Green,1630224.0,,,,,,,,,,
73,PT05M55.00S,2024-01-27T00:24:08.5Z,1,REGULAR,substitution,out,[],1628998,,,1610612745,16,16,2024-01-27T00:24:20Z,720000,False,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M55.00S,2024-01-27T00:24:08.5Z,1,REGULAR,substitution,out,[],1630163,,,1610612745,16,16,2024-01-27T00:24:20Z,730000,False,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M55.00S,2024-01-27T00:24:08.5Z,1,REGULAR,substitution,out,[],1627832,,,1610612745,16,16,2024-01-27T00:24:20Z,740000,False,,,0,,SUB out: F. VanVleet,[1627832],1610612745.0,HOU,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M55.00S,2024-01-27T00:24:08.5Z,1,REGULAR,substitution,in,[],1629023,,,1610612745,16,16,2024-01-27T00:24:20Z,750000,False,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M55.00S,2024-01-27T00:24:08.5Z,1,REGULAR,substitution,in,[],202397,,,1610612745,16,16,2024-01-27T00:24:20Z,760000,False,,,0,,SUB in: I. Smith,[202397],1610612766.0,CHA,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M55.00S,2024-01-27T00:24:08.5Z,1,REGULAR,substitution,in,[],1641708,,,1610612745,16,16,2024-01-27T00:24:20Z,770000,False,,,0,,SUB in: A. Thompson,[1641708],1610612745.0,HOU,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M55.00S,2024-01-27T00:24:37.8Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1630224,,,1610612745,16,17,2024-01-27T00:24:37Z,780000,False,,,0,,J. Green Free Throw 1 of 1 (9 PTS),[1630224],1610612745.0,HOU,,Green,J. Green,,,,Made,9.0,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M41.00S,2024-01-27T00:24:56.1Z,1,REGULAR,turnover,out-of-bounds,[],202397,,,1610612766,16,17,2024-01-27T00:25:04Z,790000,False,,,0,,I. Smith bad pass out-of-bounds TURNOVER (1 TO),[202397],1610612766.0,CHA,1148.0,Smith,I. Smith,Mid-Range,16-24 Right,,,,,,,bad pass,1.0,,,,,,,,,,,,,,,,,,
