actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
31,PT09M53.00S,2025-01-31T00:16:00.1Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612747,4,6,2025-01-31T00:16:00Z,290000,False,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,Above the Break 3,24+ Left Center,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,
32,PT09M48.00S,2025-01-31T00:16:06.4Z,1,REGULAR,violation,kicked ball,[],202685,,,1610612747,4,6,2025-01-31T00:16:11Z,300000,False,,,0,,J. Valančiūnas kicked ball VIOLATION,[202685],1610612764.0,WAS,,,,Valančiūnas,J. Valančiūnas,,,,,,,1627963.0,,,,,,,,,,,,,,,,,,,
33,PT09M40.00S,2025-01-31T00:16:25.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,6.915243101182654,37.254901960784316,1610612747,4,6,2025-01-31T00:16:48Z,310000,False,64.0,13.0,1,left,MISS L. James 6' driving finger roll Layup,[2544],1610612747.0,LAL,driving finger roll,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,6.49,,,,,,,,,,,,
34,PT09M39.00S,2025-01-31T00:16:26.1Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612747,4,6,2025-01-31T00:17:14Z,320000,False,,,0,,J. Hayes REBOUND (Off:1 Def:1),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,33.0,2.0,1.0,1.0,,,,,,,,
35,PT09M39.00S,2025-01-31T00:16:29.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629637,5.590000152587891,50.0,1610612747,4,8,2025-01-31T00:17:18Z,330000,False,0.0,0.0,1,left,J. Hayes tip Layup (4 PTS),[1629637],1610612747.0,LAL,tip,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,0.0,,,,,,,,,,,,
36,PT09M13.00S,2025-01-31T00:16:50.9Z,1,REGULAR,3pt,Jump Shot,[],1628398,64.60249671484888,28.676470588235293,1610612764,7,8,2025-01-31T00:16:55Z,340000,False,-107.0,280.0,1,right,K. Kuzma 29' 3PT  (3 PTS) (J. Valančiūnas 2 AST),"[1628398, 202685]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,29.98,,,,,,J. Valančiūnas,202685.0,2.0,,,,
38,PT08M53.00S,2025-01-31T00:17:11.2Z,1,REGULAR,3pt,Jump Shot,[],1630559,19.398817345597898,7.598039215686274,1610612747,7,11,2025-01-31T00:17:17Z,360000,False,212.0,130.0,1,left,A. Reaves 24' 3PT pullup (3 PTS),[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,24.86,,,,,,,,,,,,
40,PT08M42.00S,2025-01-31T00:17:22.5Z,1,REGULAR,3pt,Jump Shot,[],1628398,93.9060446780552,96.56862745098039,1610612764,10,11,2025-01-31T00:17:28Z,380000,False,233.0,5.0,1,right,K. Kuzma 3PT  (6 PTS) (J. Poole 1 AST),"[1628398, 1629673]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Right Corner 3,24+ Right,,,,,,Made,6.0,23.28,,,,,,J. Poole,1629673.0,1.0,,,,
42,PT08M25.00S,2025-01-31T00:17:42.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630559,7.835085413929041,59.068627450980394,1610612747,10,11,2025-01-31T00:18:05Z,400000,False,-45.0,21.0,1,left,MISS A. Reaves turnaround Hook,[1630559],1610612747.0,LAL,turnaround,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,5.0,,,,,,,,,,,,
43,PT08M23.00S,2025-01-31T00:17:44.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,10,11,2025-01-31T00:18:05Z,410000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,42.0,,,,,,,,,,,
46,PT08M09.00S,2025-01-31T00:18:07.0Z,1,REGULAR,violation,kicked ball,[],1629637,,,1610612764,10,11,2025-01-31T00:18:13Z,440000,False,,,0,,J. Hayes kicked ball VIOLATION,[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,1830.0,,,,,,,,,,,,,,,,,,,
47,PT08M02.00S,2025-01-31T00:18:30.7Z,1,REGULAR,2pt,Hook,[],202685,87.33574244415243,66.17647058823529,1610612764,10,11,2025-01-31T00:18:34Z,450000,False,81.0,67.0,1,right,MISS J. Valančiūnas 10' Hook,[202685],1610612764.0,WAS,,,,Valančiūnas,J. Valančiūnas,,,,,Mid-Range,8-16 Right,,,,,,Missed,,10.47,,,,,,,,,,,,
48,PT08M00.00S,2025-01-31T00:18:32.7Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,10,11,2025-01-31T00:18:34Z,460000,False,,,0,,A. Reaves REBOUND (Off:0 Def:2),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,8-16 Right,,,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,
49,PT07M47.00S,2025-01-31T00:18:45.0Z,1,REGULAR,3pt,Jump Shot,[],1631108,3.892904073587385,95.34313725490196,1610612747,10,11,2025-01-31T00:18:51Z,470000,False,-227.0,-16.0,1,left,MISS M. Christie 3PT,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Left Corner 3,24+ Left,,,,,,Missed,,22.73,,,,,,,,,,,,
50,PT07M43.00S,2025-01-31T00:18:49.0Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612747,10,11,2025-01-31T00:18:51Z,480000,False,,,0,,J. Hayes REBOUND (Off:2 Def:1),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,Left Corner 3,24+ Left,,,,,,,,,49.0,3.0,1.0,2.0,,,,,,,,
51,PT07M41.00S,2025-01-31T00:18:51.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629060,20.581471747700395,8.088235294117647,1610612747,10,11,2025-01-31T00:18:56Z,490000,False,210.0,141.0,1,left,MISS R. Hachimura 25' 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.26,,,,,,,,,,,,
52,PT07M38.00S,2025-01-31T00:18:54.2Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612764,10,11,2025-01-31T00:19:55Z,500000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,
54,PT07M31.00S,2025-01-31T00:19:00.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642273,95.22010512483574,3.6764705882352944,1610612764,13,11,2025-01-31T00:20:05Z,520000,False,-232.0,-8.0,1,right,K. George 3PT running (3 PTS) (K. Kuzma 1 AST),"[1642273, 1628398]",1610612764.0,WAS,running,,,George,K. George,,,,,Left Corner 3,24+ Left,,,,,,Made,3.0,23.17,,,,,,K. Kuzma,1628398.0,1.0,,,,
56,PT07M11.00S,2025-01-31T00:19:21.0Z,1,REGULAR,3pt,Jump Shot,[],1629060,16.63929040735874,95.09803921568627,1610612747,13,14,2025-01-31T00:19:26Z,540000,False,-225.0,104.0,1,left,R. Hachimura 24' 3PT  (5 PTS) (L. James 2 AST),"[1629060, 2544]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Left Center,,,,,,Made,5.0,24.83,,,,,,L. James,2544.0,2.0,,,,
58,PT07M01.00S,2025-01-31T00:19:30.7Z,1,REGULAR,3pt,Jump Shot,[],1628398,60.26609724047306,42.15686274509804,1610612764,13,14,2025-01-31T00:19:34Z,560000,False,-39.0,321.0,1,right,MISS K. Kuzma 32' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,,,,,,Missed,,32.34,,,,,,,,,,,,
59,PT06M59.00S,2025-01-31T00:19:32.7Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,13,14,2025-01-31T00:19:34Z,570000,False,,,0,,A. Reaves REBOUND (Off:0 Def:3),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Center,,,,,,,,,58.0,3.0,3.0,0.0,,,,,,,,
60,PT06M54.00S,2025-01-31T00:19:39.1Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612747,13,14,2025-01-31T00:22:47Z,580000,False,,,0,,J. Valančiūnas shooting personal FOUL (2 PF) (James 2 FT),"[202685, 2544]",1610612764.0,WAS,shooting,,,Valančiūnas,J. Valančiūnas,,,,,Restricted Area,0-8 Center,1830.0,2.0,0.0,James,2544.0,,,,,,,,,,,,,,,
62,PT06M54.00S,2025-01-31T00:19:50.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,13,14,2025-01-31T00:19:50Z,600000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M54.00S,2025-01-31T00:22:59.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],2544,,,1610612747,13,15,2025-01-31T00:22:59Z,610000,False,,,0,,L. James Free Throw 1 of 2 (3 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
64,PT06M54.00S,2025-01-31T00:22:59.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],2544,,,1610612747,13,16,2025-01-31T00:42:23Z,620000,False,,,0,,L. James Free Throw 2 of 2 (4 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
65,PT06M30.00S,2025-01-31T00:23:37.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612764,13,16,2025-01-31T00:23:42Z,630000,False,,,0,,WAS shot clock Team TURNOVER,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Left Center,201638.0,,,,,,,,,,,,,,,,,,,
66,PT06M20.00S,2025-01-31T00:23:58.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629637,5.863994743758213,51.71568627450981,1610612747,13,18,2025-01-31T00:24:01Z,640000,False,-9.0,3.0,1,left,J. Hayes alley-oop Layup (6 PTS) (L. James 3 AST),"[1629637, 2544]",1610612747.0,LAL,alley-oop,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,,,,,,Made,6.0,0.9,,,,,,L. James,2544.0,3.0,,,,
68,PT06M02.00S,2025-01-31T00:24:15.0Z,1,REGULAR,2pt,Jump Shot,[],1641731,78.79434954007884,73.2843137254902,1610612764,15,18,2025-01-31T00:24:19Z,660000,False,116.0,147.0,1,right,B. Coulibaly 18' pullup Jump Shot (2 PTS),[1641731],1610612764.0,WAS,pullup,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,16-24 Right Center,,,,,,Made,2.0,18.73,,,,,,,,,,,,
69,PT05M43.00S,2025-01-31T00:24:35.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,6.783837056504599,54.41176470588235,1610612747,15,20,2025-01-31T00:24:52Z,670000,False,-22.0,11.0,1,left,R. Hachimura driving Layup (7 PTS) (A. Reaves 1 AST),"[1629060, 1630559]",1610612747.0,LAL,driving,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,,,Made,7.0,2.48,,,,,,A. Reaves,1630559.0,1.0,,,,
71,PT05M32.00S,2025-01-31T00:24:45.7Z,1,REGULAR,3pt,Jump Shot,[],1629673,66.83639947437582,24.509803921568626,1610612764,15,20,2025-01-31T00:24:52Z,690000,False,-127.0,259.0,1,right,MISS J. Poole 28' pullup 3PT - blocked,"[1629673, 1629637]",1610612764.0,WAS,pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,28.89,,,,,,,,,Hayes,1629637.0,,
72,PT05M32.00S,2025-01-31T00:24:45.7Z,1,REGULAR,block,,[],1629637,,,1610612764,15,20,2025-01-31T00:24:52Z,700000,False,,,0,,J. Hayes BLOCK (1 BLK),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
73,PT05M28.00S,2025-01-31T00:24:49.7Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,15,20,2025-01-31T00:27:14Z,710000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:2),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Left Center,,,,,,,,,71.0,2.0,2.0,0.0,,,,,,,,
74,PT05M26.00S,2025-01-31T00:24:52.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],2544,36.74441524310118,71.32352941176471,1610612747,15,23,2025-01-31T00:25:05Z,720000,False,-107.0,293.0,1,left,L. James 31' 3PT running pullup (7 PTS),[2544],1610612747.0,LAL,running pullup,,,James,L. James,,,,,Above the Break 3,24+ Left Center,,,,,,Made,7.0,31.17,,,,,,,,,,,,
75,PT05M02.00S,2025-01-31T00:25:15.1Z,1,REGULAR,3pt,Jump Shot,[],1629673,69.99014454664915,16.42156862745098,1610612764,18,23,2025-01-31T00:25:22Z,730000,False,-168.0,230.0,1,right,J. Poole 28' 3PT  (5 PTS) (J. Valančiūnas 3 AST),"[1629673, 202685]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,,,,,,Made,5.0,28.44,,,,,,J. Valančiūnas,202685.0,3.0,,,,
77,PT04M54.00S,2025-01-31T00:25:24.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,4.681340341655716,41.911764705882355,1610612747,18,23,2025-01-31T00:25:31Z,750000,False,40.0,-8.0,1,left,MISS R. Hachimura driving Layup - blocked,"[1629060, 1642273]",1610612747.0,LAL,driving,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,,,Missed,,4.13,,,,,,,,,George,1642273.0,,
78,PT04M54.00S,2025-01-31T00:25:24.1Z,1,REGULAR,block,,[],1642273,,,1610612747,18,23,2025-01-31T00:25:26Z,760000,False,,,0,,K. George BLOCK (1 BLK),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
79,PT04M53.00S,2025-01-31T00:25:25.1Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612764,18,23,2025-01-31T00:27:12Z,770000,False,,,0,,J. Poole REBOUND (Off:0 Def:2),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,,,,,,,,,77.0,2.0,2.0,0.0,,,,,,,,
80,PT04M38.00S,2025-01-31T00:25:39.8Z,1,REGULAR,2pt,Jump Shot,[],202685,77.4802890932983,70.09803921568627,1610612764,18,23,2025-01-31T00:25:45Z,780000,False,100.0,159.0,1,right,MISS J. Valančiūnas 18' Jump Shot,[202685],1610612764.0,WAS,,,,Valančiūnas,J. Valančiūnas,,,,,Mid-Range,16-24 Right Center,,,,,,Missed,,18.83,,,,,,,,,,,,
81,PT04M36.00S,2025-01-31T00:25:41.8Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,18,23,2025-01-31T00:25:45Z,790000,False,,,0,,A. Reaves REBOUND (Off:0 Def:4),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,16-24 Right Center,,,,,,,,,80.0,4.0,4.0,0.0,,,,,,,,
82,PT04M32.00S,2025-01-31T00:25:45.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631108,3.630091984231275,96.32352941176471,1610612747,18,26,2025-01-31T00:27:32Z,800000,False,-232.0,-18.0,1,left,M. Christie 3PT running (3 PTS) (A. Reaves 2 AST),"[1631108, 1630559]",1610612747.0,LAL,running,,,Christie,M. Christie,,,,,Left Corner 3,24+ Left,,,,,,Made,3.0,23.23,,,,,,A. Reaves,1630559.0,2.0,,,,
84,PT04M31.00S,2025-01-31T00:25:50.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,18,26,2025-01-31T00:25:50Z,820000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M31.00S,2025-01-31T00:26:28.0Z,1,REGULAR,substitution,out,[],1628398,,,1610612764,18,26,2025-01-31T00:28:28Z,830000,False,,,0,,SUB out: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M31.00S,2025-01-31T00:26:28.0Z,1,REGULAR,substitution,out,[],202685,,,1610612764,18,26,2025-01-31T00:28:28Z,840000,False,,,0,,SUB out: J. Valančiūnas,[202685],1610612764.0,WAS,,,,Valančiūnas,J. Valančiūnas,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M31.00S,2025-01-31T00:26:28.0Z,1,REGULAR,substitution,out,[],1642273,,,1610612764,18,26,2025-01-31T00:28:28Z,850000,False,,,0,,SUB out: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M31.00S,2025-01-31T00:26:28.0Z,1,REGULAR,substitution,out,[],2544,,,1610612764,18,26,2025-01-31T00:28:28Z,860000,False,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M31.00S,2025-01-31T00:26:28.0Z,1,REGULAR,substitution,out,[],1629060,,,1610612764,18,26,2025-01-31T00:28:28Z,870000,False,,,0,,SUB out: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
