actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
14,PT11M15.00S,2025-02-22T00:11:58.1Z,1,REGULAR,2pt,Jump Shot,[],1641731,78.66294349540078,54.41176470588235,1610612764,0,0,2025-02-22T00:12:01Z,140000,False,22.0,148.0,1,right,MISS B. Coulibaly 14' pullup Shot,[1641731],1610612764.0,WAS,pullup,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,8-16 Center,,14.97,Missed,,,,,,,,,,,,,,,,,
15,PT11M12.00S,2025-02-22T00:12:01.1Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,0,0,2025-02-22T00:12:01Z,150000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Center,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT11M01.00S,2025-02-22T00:12:11.7Z,1,REGULAR,2pt,Hook,[],201572,7.440867279894875,84.06862745098039,1610612749,0,2,2025-02-22T00:12:16Z,160000,False,-170.0,17.0,1,left,B. Lopez 17' Hook (2 PTS) (R. Rollins 1 AST),"[201572, 1631157]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Mid-Range,16-24 Left,,17.12,Made,,,,,,,,,2.0,R. Rollins,1631157.0,1.0,,,,,
18,PT10M48.00S,2025-02-22T00:12:27.4Z,1,REGULAR,foul,personal,[],203507,,,1610612764,0,2,2025-02-22T00:12:37Z,180000,False,,,0,,G. Antetokounmpo personal FOUL (1 PF),"[203507, 1642259]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1628159.0,1.0,0.0,Sarr,1642259.0
20,PT10M46.00S,2025-02-22T00:12:56.4Z,1,REGULAR,foul,personal,[],1631157,,,1610612764,0,2,2025-02-22T00:12:59Z,200000,False,,,0,,R. Rollins personal FOUL (1 PF),"[1631157, 1629673]",1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Poole,1629673.0
23,PT10M44.00S,2025-02-22T00:13:12.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203114,90.62089356110381,38.72549019607843,1610612764,2,2,2025-02-22T00:13:16Z,220000,False,-56.0,36.0,1,right,K. Middleton 6' fadeaway bank Jump Shot (2 PTS) (J. Poole 1 AST),"[203114, 1629673]",1610612764.0,WAS,fadeaway bank,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),0-8 Center,,6.67,Made,,,,,,,,,2.0,J. Poole,1629673.0,1.0,,,,,
25,PT10M27.00S,2025-02-22T00:13:28.7Z,1,REGULAR,3pt,Jump Shot,[],201572,32.14520367936925,20.588235294117645,1610612749,2,2,2025-02-22T00:13:34Z,240000,False,147.0,250.0,1,left,MISS B. Lopez 28' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,,28.98,Missed,,,,,,,,,,,,,,,,,
26,PT10M23.00S,2025-02-22T00:13:32.7Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,2,2,2025-02-22T00:13:34Z,250000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,
27,PT10M16.00S,2025-02-22T00:13:38.9Z,1,REGULAR,3pt,Jump Shot,[],1642259,92.72339027595268,3.431372549019608,1610612764,5,2,2025-02-22T00:13:43Z,260000,False,-233.0,16.0,1,right,A. Sarr 3PT  (3 PTS) (B. Coulibaly 1 AST),"[1642259, 1641731]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Left Corner 3,24+ Left,,23.33,Made,,,,,,,,,3.0,B. Coulibaly,1641731.0,1.0,,,,,
29,PT09M59.00S,2025-02-22T00:13:57.3Z,1,REGULAR,foul,personal,['2freethrow'],1641731,,,1610612749,5,2,2025-02-22T00:14:07Z,280000,False,,,0,,B. Coulibaly shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1641731, 203507]",1610612764.0,WAS,shooting,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1162.0,1.0,0.0,Antetokounmpo,203507.0
31,PT09M59.00S,2025-02-22T00:14:32.4Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,5,2,2025-02-22T00:14:32Z,300000,False,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
32,PT09M59.00S,2025-02-22T00:14:32.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,5,2,2025-02-22T00:14:32Z,310000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,
33,PT09M59.00S,2025-02-22T00:14:56.6Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,5,3,2025-02-22T00:14:56Z,320000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,
34,PT09M48.00S,2025-02-22T00:15:11.0Z,1,REGULAR,2pt,Jump Shot,[],203114,72.22404730617609,50.73529411764706,1610612764,7,3,2025-02-22T00:15:18Z,330000,False,4.0,209.0,1,right,K. Middleton 20' pullup Jump Shot (4 PTS) (B. Coulibaly 2 AST),"[203114, 1641731]",1610612764.0,WAS,pullup,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Center,,20.86,Made,,,,,,,,,4.0,B. Coulibaly,1641731.0,2.0,,,,,
36,PT09M48.00S,2025-02-22T00:15:14.3Z,1,REGULAR,foul,personal,['1freethrow'],1628398,,,1610612764,7,3,2025-02-22T00:15:23Z,350000,False,,,0,,K. Kuzma shooting personal FOUL (1 PF) (Middleton 1 FT),"[1628398, 203114]",1610612749.0,MIL,shooting,,,Kuzma,K. Kuzma,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Middleton,203114.0
38,PT09M48.00S,2025-02-22T00:15:35.1Z,1,REGULAR,freethrow,1 of 1,[],203114,,,1610612764,8,3,2025-02-22T00:15:35Z,370000,False,,,0,,K. Middleton Free Throw 1 of 1 (5 PTS),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,,,,,Made,,,,,,,,,5.0,,,,,,,,
39,PT09M22.00S,2025-02-22T00:16:01.6Z,1,REGULAR,turnover,bad pass,[],203507,,,1610612749,8,3,2025-02-22T00:16:42Z,380000,False,,,0,,G. Antetokounmpo bad pass TURNOVER (1 TO),"[203507, 1642259]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,Sarr,1642259.0,,,,,,,,,
40,PT09M22.00S,2025-02-22T00:16:01.6Z,1,REGULAR,steal,,[],1642259,,,1610612764,8,3,2025-02-22T00:16:03Z,390000,False,,,0,,A. Sarr STEAL (1 STL),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT09M17.00S,2025-02-22T00:16:07.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629673,92.85479632063075,41.42156862745098,1610612764,8,3,2025-02-22T00:17:45Z,400000,False,-43.0,15.0,1,right,MISS J. Poole running Layup - blocked,"[1629673, 201572]",1610612764.0,WAS,running,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,4.53,Missed,Lopez,201572.0,,,,,,,,,,,,,,,
42,PT09M17.00S,2025-02-22T00:16:07.6Z,1,REGULAR,block,,[],201572,,,1610612764,8,3,2025-02-22T00:16:10Z,410000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT09M17.00S,2025-02-22T00:16:07.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,8,3,2025-02-22T00:16:22Z,420000,False,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,41.0,,,,,,,,,,,,,,
45,PT09M04.00S,2025-02-22T00:16:29.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,6.389618922470433,49.754901960784316,1610612749,8,3,2025-02-22T00:16:35Z,440000,False,1.0,8.0,1,left,MISS G. Antetokounmpo driving reverse Layup,[203507],1610612749.0,MIL,driving reverse,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,0.77,Missed,,,,,,,,,,,,,,,,,
46,PT09M02.00S,2025-02-22T00:16:31.4Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,8,3,2025-02-22T00:16:35Z,450000,False,,,0,,A. Sarr REBOUND (Off:0 Def:3),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,45.0,3.0,3.0,0.0,,,,,,,,,,,
47,PT08M52.00S,2025-02-22T00:16:41.5Z,1,REGULAR,2pt,Jump Shot,[],1642259,93.9060446780552,15.196078431372548,1610612764,10,3,2025-02-22T00:18:29Z,460000,False,-174.0,5.0,1,right,A. Sarr 17' Jump Shot (5 PTS) (K. George 1 AST),"[1642259, 1642273]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Mid-Range,16-24 Left,,17.41,Made,,,,,,,,,5.0,K. George,1642273.0,1.0,,,,,
49,PT08M33.00S,2025-02-22T00:17:00.4Z,1,REGULAR,3pt,Jump Shot,[],201572,17.559132720105126,96.32352941176471,1610612749,10,6,2025-02-22T00:17:04Z,480000,False,-232.0,113.0,1,left,B. Lopez 25' 3PT  (5 PTS) (R. Rollins 2 AST),"[201572, 1631157]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,,25.75,Made,,,,,,,,,5.0,R. Rollins,1631157.0,2.0,,,,,
51,PT08M14.00S,2025-02-22T00:17:19.2Z,1,REGULAR,3pt,Jump Shot,[],1642273,65.1281208935611,24.264705882352942,1610612764,13,6,2025-02-22T00:17:23Z,500000,False,-129.0,275.0,1,right,K. George 30' 3PT  (3 PTS) (A. Sarr 1 AST),"[1642273, 1642259]",1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,30.39,Made,,,,,,,,,3.0,A. Sarr,1642259.0,1.0,,,,,
53,PT07M59.00S,2025-02-22T00:17:35.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,7.30946123521682,49.754901960784316,1610612749,13,8,2025-02-22T00:17:41Z,520000,False,1.0,16.0,1,left,G. Antetokounmpo driving DUNK (3 PTS) (A. Green 1 AST),"[203507, 1631260]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,1.62,Made,,,,,,,,,3.0,A. Green,1631260.0,1.0,,,,,
54,PT07M45.00S,2025-02-22T00:17:48.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642273,94.1688567674113,58.08823529411765,1610612764,13,8,2025-02-22T00:17:51Z,530000,False,40.0,2.0,1,right,MISS K. George driving Layup,[1642273],1610612764.0,WAS,driving,,,George,K. George,,,,,Restricted Area,0-8 Center,,4.05,Missed,,,,,,,,,,,,,,,,,
55,PT07M43.00S,2025-02-22T00:17:50.3Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612749,13,8,2025-02-22T00:17:51Z,540000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,
56,PT07M34.00S,2025-02-22T00:17:59.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631157,8.492115637319317,63.48039215686274,1610612749,13,8,2025-02-22T00:18:14Z,550000,False,-67.0,27.0,1,left,MISS R. Rollins 7' driving Layup - blocked,"[1631157, 1642259]",1610612749.0,MIL,driving,,,Rollins,R. Rollins,,,,,In The Paint (Non-RA),0-8 Center,,7.27,Missed,Sarr,1642259.0,,,,,,,,,,,,,,,
57,PT07M34.00S,2025-02-22T00:17:59.5Z,1,REGULAR,block,,[],1642259,,,1610612749,13,8,2025-02-22T00:18:02Z,560000,False,,,0,,A. Sarr BLOCK (1 BLK),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT07M34.00S,2025-02-22T00:17:59.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,13,8,2025-02-22T00:18:14Z,570000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,56.0,,,,,,,,,,,,,,
60,PT07M32.00S,2025-02-22T00:18:15.5Z,1,REGULAR,turnover,bad pass,[],1631157,,,1610612749,13,8,2025-02-22T00:18:20Z,590000,False,,,0,,R. Rollins bad pass TURNOVER (1 TO),"[1631157, 203114]",1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Mid-Range,8-16 Right,1.0,,,,,,,,,Middleton,203114.0,,,,,,,,,
61,PT07M32.00S,2025-02-22T00:18:15.5Z,1,REGULAR,steal,,[],203114,,,1610612764,13,8,2025-02-22T00:18:17Z,600000,False,,,0,,K. Middleton STEAL (1 STL),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
63,PT07M28.00S,2025-02-22T00:18:20.2Z,1,REGULAR,foul,personal,['2freethrow'],1628398,,,1610612764,13,8,2025-02-22T00:18:28Z,620000,False,,,0,,K. Kuzma shooting personal FOUL (2 PF) (Sarr 2 FT),"[1628398, 1642259]",1610612749.0,MIL,shooting,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1628159.0,2.0,0.0,Sarr,1642259.0
65,PT07M28.00S,2025-02-22T00:18:53.9Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1642259,,,1610612764,13,8,2025-02-22T00:18:53Z,640000,False,,,0,,MISS A. Sarr Free Throw 1 of 2,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
66,PT07M28.00S,2025-02-22T00:18:53.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,13,8,2025-02-22T00:18:53Z,650000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,
67,PT07M28.00S,2025-02-22T00:18:55.8Z,1,REGULAR,substitution,out,[],1628398,,,1610612764,13,8,2025-02-22T00:19:00Z,660000,False,,,0,,SUB out: K. Kuzma,[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M28.00S,2025-02-22T00:18:55.8Z,1,REGULAR,substitution,in,[],1629018,,,1610612764,13,8,2025-02-22T00:19:00Z,670000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M28.00S,2025-02-22T00:18:53.9Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1642259,,,1610612764,13,8,2025-02-22T00:19:31Z,680000,False,,,0,,MISS A. Sarr Free Throw 2 of 2,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
70,PT07M25.00S,2025-02-22T00:18:56.9Z,1,REGULAR,rebound,defensive,[],1631260,,,1610612749,13,8,2025-02-22T00:19:31Z,690000,False,,,0,,A. Green REBOUND (Off:0 Def:1),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,,,,
71,PT07M16.00S,2025-02-22T00:19:29.0Z,1,REGULAR,3pt,Jump Shot,[],1631157,34.641918528252305,45.34313725490196,1610612749,13,8,2025-02-22T00:19:33Z,700000,False,23.0,273.0,1,left,MISS R. Rollins 27' 3PT,[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Center,,27.41,Missed,,,,,,,,,,,,,,,,,
72,PT07M14.00S,2025-02-22T00:19:31.4Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,13,8,2025-02-22T00:19:31Z,710000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Center,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,
73,PT07M07.00S,2025-02-22T00:19:38.7Z,1,REGULAR,3pt,Jump Shot,[],1629673,66.83639947437582,55.88235294117647,1610612764,13,8,2025-02-22T00:19:42Z,720000,False,29.0,259.0,1,right,MISS J. Poole 26' pullup 3PT,[1629673],1610612764.0,WAS,pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,,26.09,Missed,,,,,,,,,,,,,,,,,
74,PT07M04.00S,2025-02-22T00:19:41.7Z,1,REGULAR,rebound,defensive,[],1631260,,,1610612749,13,8,2025-02-22T00:19:42Z,730000,False,,,0,,A. Green REBOUND (Off:0 Def:2),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Center,,,,,,73.0,2.0,2.0,0.0,,,,,,,,,,,
75,PT06M56.00S,2025-02-22T00:19:49.2Z,1,REGULAR,3pt,Jump Shot,[],1629018,19.66162943495401,95.58823529411765,1610612749,13,8,2025-02-22T00:19:54Z,740000,False,-228.0,132.0,1,left,MISS G. Trent Jr. 26' 3PT,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,,26.35,Missed,,,,,,,,,,,,,,,,,
76,PT06M53.00S,2025-02-22T00:19:52.6Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,13,8,2025-02-22T00:19:52Z,750000,False,,,0,,B. Lopez REBOUND (Off:1 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,,,,,,75.0,2.0,1.0,1.0,,,,,,,,,,,
78,PT06M48.00S,2025-02-22T00:20:06.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,13,8,2025-02-22T00:20:06Z,770000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M44.00S,2025-02-22T00:23:10.8Z,1,REGULAR,foul,offensive,[],203507,,,1610612749,13,8,2025-02-22T00:23:25Z,780000,False,,,0,,G. Antetokounmpo charge offensive FOUL (2 PF),"[203507, 203114]",1610612749.0,MIL,charge,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1628159.0,2.0,0.0,Middleton,203114.0
82,PT06M44.00S,2025-02-22T00:23:10.8Z,1,REGULAR,turnover,offensive foul,[],203507,,,1610612749,13,8,2025-02-22T00:23:10Z,800000,False,,,0,,G. Antetokounmpo offensive foul TURNOVER (2 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,2.0,,,,,,,,,,,,,,,1628159.0,,,,
83,PT06M35.00S,2025-02-22T00:23:36.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631157,,,1610612764,13,8,2025-02-22T00:23:42Z,810000,False,,,0,,R. Rollins shooting personal FOUL (2 PF) (Sarr 2 FT),"[1631157, 1642259]",1610612749.0,MIL,shooting,,,Rollins,R. Rollins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627964.0,2.0,0.0,Sarr,1642259.0
85,PT06M35.00S,2025-02-22T00:24:02.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1642259,,,1610612764,13,8,2025-02-22T00:24:02Z,830000,False,,,0,,MISS A. Sarr Free Throw 1 of 2,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
86,PT06M35.00S,2025-02-22T00:24:02.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,13,8,2025-02-22T00:24:02Z,840000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,
87,PT06M35.00S,2025-02-22T00:24:03.6Z,1,REGULAR,substitution,out,[],203507,,,1610612764,13,8,2025-02-22T00:24:06Z,850000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT06M35.00S,2025-02-22T00:24:03.6Z,1,REGULAR,substitution,in,[],1626192,,,1610612764,13,8,2025-02-22T00:24:06Z,860000,False,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT06M35.00S,2025-02-22T00:24:21.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1642259,,,1610612764,14,8,2025-02-22T00:24:21Z,870000,False,,,0,,A. Sarr Free Throw 2 of 2 (6 PTS),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,Made,,,,,,,,,6.0,,,,,,,,
90,PT06M21.00S,2025-02-22T00:24:36.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201572,15.062417871222076,42.8921568627451,1610612749,14,8,2025-02-22T00:24:58Z,880000,False,36.0,89.0,1,left,MISS B. Lopez 9' driving floating Shot,[201572],1610612749.0,MIL,driving floating,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,,9.59,Missed,,,,,,,,,,,,,,,,,
