actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
23,PT09M53.00S,2021-11-30T02:13:38.5Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,0,0,2021-11-30T02:13:40Z,230000,,,0,,D. Lillard REBOUND (Off:0 Def:2),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,
24,PT09M45.00S,2021-11-30T02:13:45.7Z,1,REGULAR,3pt,Jump Shot,[],203468,19.92444152431012,91.91176470588235,1610612757,0,3,2021-11-30T02:13:51Z,240000,-210.0,135.0,1,left,C. McCollum 24' 3PT  (3 PTS) (D. Lillard 1 AST),"[203468, 203081]",1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,24.92,Made,,,,,,,,,,,3.0,D. Lillard,203081.0,1.0,,,
26,PT09M35.00S,2021-11-30T02:13:56.2Z,1,REGULAR,3pt,Jump Shot,[],202711,87.20433639947439,96.07843137254902,1610612762,3,3,2021-11-30T02:14:02Z,260000,230.0,68.0,1,right,B. Bogdanovic 24' 3PT step back (3 PTS) (D. Mitchell 1 AST),"[202711, 1628378]",1610612762.0,UTA,step back,,,Bogdanovic,B. Bogdanovic,,,,,,,24.02,Made,,,,,,,,,,,3.0,D. Mitchell,1628378.0,1.0,,,
28,PT09M11.00S,2021-11-30T02:14:20.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,4.812746386333772,57.59803921568627,1610612757,3,3,2021-11-30T02:14:27Z,280000,-38.0,-7.0,1,left,MISS J. Nurkic floating Shot,[203994],1610612757.0,POR,floating,,,Nurkic,J. Nurkic,,,,,,,3.87,Missed,,,,,,,,,,,,,,,,,
29,PT09M09.00S,2021-11-30T02:14:22.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,3,3,2021-11-30T02:14:27Z,290000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,
30,PT09M01.00S,2021-11-30T02:14:30.2Z,1,REGULAR,2pt,Jump Shot,[],1628378,81.68528252299606,24.754901960784316,1610612762,5,3,2021-11-30T02:14:34Z,300000,-126.0,120.0,1,right,D. Mitchell 17' pullup Jump Shot (2 PTS),[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,,,17.39,Made,,,,,,,,,,,2.0,,,,,,
31,PT08M43.00S,2021-11-30T02:14:49.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,10.33180026281209,44.11764705882353,1610612757,5,3,2021-11-30T02:14:53Z,310000,29.0,45.0,1,left,MISS J. Nurkic floating Shot,[203994],1610612757.0,POR,floating,,,Nurkic,J. Nurkic,,,,,,,5.34,Missed,,,,,,,,,,,,,,,,,
32,PT08M41.00S,2021-11-30T02:14:51.1Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,5,3,2021-11-30T02:14:53Z,320000,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,,,,
33,PT08M27.00S,2021-11-30T02:15:04.8Z,1,REGULAR,2pt,Jump Shot,[],202711,86.41590013140605,16.42156862745098,1610612762,5,3,2021-11-30T02:15:10Z,330000,-168.0,75.0,1,right,MISS B. Bogdanovic 18' step back Shot,[202711],1610612762.0,UTA,step back,,,Bogdanovic,B. Bogdanovic,,,,,,,18.4,Missed,,,,,,,,,,,,,,,,,
34,PT08M24.00S,2021-11-30T02:15:07.8Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,5,3,2021-11-30T02:15:10Z,340000,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,
35,PT08M15.00S,2021-11-30T02:15:17.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",203081,9.411957950065702,62.00980392156863,1610612757,5,5,2021-11-30T02:15:35Z,350000,-60.0,36.0,1,left,D. Lillard 7' driving Layup (2 PTS) (C. McCollum 1 AST),"[203081, 203468]",1610612757.0,POR,driving,,,Lillard,D. Lillard,,,,,,,7.0,Made,,,,,,,,,,,2.0,C. McCollum,203468.0,1.0,,,
37,PT08M15.00S,2021-11-30T02:15:22.5Z,1,REGULAR,violation,defensive goaltending,[],203497,,,1610612757,5,5,2021-11-30T02:15:35Z,370000,,,0,,R. Gobert defensive goaltending VIOLATION,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,202026.0,,,,,,,,,,,,,,,,,,,,
38,PT08M07.00S,2021-11-30T02:15:40.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,5,5,2021-11-30T02:15:40Z,380000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M00.00S,2021-11-30T02:16:00.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,92.59198423127464,54.41176470588235,1610612762,5,5,2021-11-30T02:16:04Z,390000,22.0,17.0,1,right,MISS R. Gobert Layup - blocked,"[203497, 203496]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,2.79,Missed,,,,,,,,,,,,,,,Covington,203496.0,
45,PT08M00.00S,2021-11-30T02:16:00.6Z,1,REGULAR,block,,[],203496,,,1610612762,5,5,2021-11-30T02:16:25Z,395000,,,0,,R. Covington BLOCK (1 BLK),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT07M59.00S,2021-11-30T02:16:01.6Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,5,5,2021-11-30T02:16:04Z,400000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,
41,PT07M53.00S,2021-11-30T02:16:07.9Z,1,REGULAR,3pt,Jump Shot,[],203468,28.33442838370565,21.813725490196077,1610612757,5,5,2021-11-30T02:16:13Z,410000,141.0,214.0,1,left,MISS C. McCollum 25' pullup 3PT,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,,,25.61,Missed,,,,,,,,,,,,,,,,,
42,PT07M51.00S,2021-11-30T02:16:09.9Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,5,5,2021-11-30T02:16:13Z,420000,,,0,,R. Gobert REBOUND (Off:0 Def:3),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,41.0,3.0,3.0,0.0,,,,,,,,,,,,,
43,PT07M43.00S,2021-11-30T02:16:17.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,90.22667542706965,54.65686274509803,1610612762,7,5,2021-11-30T02:16:22Z,430000,23.0,39.0,1,right,R. Gobert cutting DUNK (2 PTS) (J. Ingles 1 AST),"[203497, 204060]",1610612762.0,UTA,cutting,,,Gobert,R. Gobert,,,,,,,4.58,Made,,,,,,,,,,,2.0,J. Ingles,204060.0,1.0,,,
46,PT07M24.00S,2021-11-30T02:16:37.0Z,1,REGULAR,3pt,Jump Shot,[],203496,28.86005256241787,74.50980392156863,1610612757,7,5,2021-11-30T02:16:41Z,450000,-123.0,219.0,1,left,MISS R. Covington 25' 3PT,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,25.08,Missed,,,,,,,,,,,,,,,,,
47,PT07M22.00S,2021-11-30T02:16:39.0Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,7,5,2021-11-30T02:16:41Z,460000,,,0,,R. Gobert REBOUND (Off:0 Def:4),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,46.0,4.0,4.0,0.0,,,,,,,,,,,,,
48,PT07M13.00S,2021-11-30T02:16:48.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,90.09526938239159,50.0,1610612762,9,5,2021-11-30T02:16:55Z,470000,0.0,41.0,1,right,R. Gobert reverse DUNK (4 PTS) (J. Ingles 2 AST),"[203497, 204060]",1610612762.0,UTA,reverse,,,Gobert,R. Gobert,,,,,,,4.06,Made,,,,,,,,,,,4.0,J. Ingles,204060.0,2.0,,,
50,PT06M45.00S,2021-11-30T02:17:17.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203496,8.754927726675426,57.59803921568627,1610612757,9,5,2021-11-30T02:17:23Z,490000,-38.0,30.0,1,left,MISS R. Covington driving Layup,[203496],1610612757.0,POR,driving,,,Covington,R. Covington,,,,,,,4.83,Missed,,,,,,,,,,,,,,,,,
51,PT06M45.00S,2021-11-30T02:17:19.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,9,5,2021-11-30T02:17:19Z,500000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,
52,PT06M45.00S,2021-11-30T02:17:20.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,9,5,2021-11-30T02:17:20Z,510000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M45.00S,2021-11-30T02:17:25.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,9,5,2021-11-30T02:17:25Z,520000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M45.00S,2021-11-30T02:19:16.4Z,1,REGULAR,substitution,out,[],203497,,,1610612762,9,5,2021-11-30T02:20:11Z,530000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M45.00S,2021-11-30T02:19:16.4Z,1,REGULAR,substitution,out,[],201144,,,1610612762,9,5,2021-11-30T02:20:11Z,540000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M45.00S,2021-11-30T02:19:16.4Z,1,REGULAR,substitution,out,[],204060,,,1610612762,9,5,2021-11-30T02:20:11Z,550000,,,0,,SUB out: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M45.00S,2021-11-30T02:19:16.4Z,1,REGULAR,substitution,in,[],202355,,,1610612762,9,5,2021-11-30T02:20:11Z,560000,,,0,,SUB in: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M45.00S,2021-11-30T02:19:16.4Z,1,REGULAR,substitution,in,[],203903,,,1610612762,9,5,2021-11-30T02:20:11Z,570000,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M45.00S,2021-11-30T02:19:16.4Z,1,REGULAR,substitution,in,[],200752,,,1610612762,9,5,2021-11-30T02:20:11Z,580000,,,0,,SUB in: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M31.00S,2021-11-30T02:20:39.7Z,1,REGULAR,3pt,Jump Shot,[],203903,71.30420499342969,15.441176470588236,1610612762,9,5,2021-11-30T02:20:44Z,590000,-173.0,217.0,1,right,MISS J. Clarkson 27' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,27.76,Missed,,,,,,,,,,,,,,,,,
61,PT06M28.00S,2021-11-30T02:20:42.7Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,9,5,2021-11-30T02:20:44Z,600000,,,0,,R. Covington REBOUND (Off:0 Def:2),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,,
62,PT06M25.00S,2021-11-30T02:20:46.6Z,1,REGULAR,foul,personal,[],203903,,,1610612757,9,5,2021-11-30T02:21:12Z,610000,,,0,,J. Clarkson personal FOUL (1 PF),"[203903, 203081]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,201639.0,,,,,,,,,,1.0,0.0,Lillard,203081.0,,,,,,,
69,PT06M18.00S,2021-11-30T02:21:14.4Z,1,REGULAR,foul,personal,[],200752,,,1610612757,9,5,2021-11-30T02:21:59Z,680000,,,0,,R. Gay personal FOUL (1 PF),"[200752, 203496]",1610612762.0,UTA,,,,Gay,R. Gay,,,,,202026.0,,,,,,,,,,1.0,0.0,Covington,203496.0,,,,,,,
71,PT06M18.00S,2021-11-30T02:21:28.6Z,1,REGULAR,substitution,out,[],203503,,,1610612757,9,5,2021-11-30T02:21:31Z,700000,,,0,,SUB out: T. Snell,[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M18.00S,2021-11-30T02:21:28.6Z,1,REGULAR,substitution,in,[],1629642,,,1610612757,9,5,2021-11-30T02:21:31Z,710000,,,0,,SUB in: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M05.00S,2021-11-30T02:21:48.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,18.610381077529567,55.63725490196079,1610612757,9,7,2021-11-30T02:22:26Z,720000,-28.0,122.0,1,left,D. Lillard 12' fadeaway Jump Shot (4 PTS),[203081],1610612757.0,POR,fadeaway,,,Lillard,D. Lillard,,,,,,,12.56,Made,,,,,,,,,,,4.0,,,,,,
74,PT05M45.00S,2021-11-30T02:22:09.5Z,1,REGULAR,3pt,Jump Shot,[],200752,82.9993429697766,96.07843137254902,1610612762,9,7,2021-11-30T02:22:15Z,730000,230.0,107.0,1,right,MISS R. Gay 25' 3PT,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,25.42,Missed,,,,,,,,,,,,,,,,,
75,PT05M42.00S,2021-11-30T02:22:12.5Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,9,7,2021-11-30T02:22:15Z,740000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,,
76,PT05M37.00S,2021-11-30T02:22:18.7Z,1,REGULAR,foul,personal,['2freethrow'],202355,,,1610612757,9,7,2021-11-30T02:22:24Z,750000,,,0,,H. Whiteside shooting personal FOUL (1 PF) (McCollum 2 FT),"[202355, 203468]",1610612762.0,UTA,shooting,,,Whiteside,H. Whiteside,,,,,201639.0,,,,,,,,,,1.0,0.0,McCollum,203468.0,,,,,,,
78,PT05M37.00S,2021-11-30T02:22:53.6Z,1,REGULAR,freethrow,1 of 2,[],203468,,,1610612757,9,8,2021-11-30T02:22:53Z,770000,,,0,,C. McCollum Free Throw 1 of 2 (4 PTS),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,Made,,,,,,,,,,,4.0,,,,,,
79,PT05M37.00S,2021-11-30T02:23:09.5Z,1,REGULAR,freethrow,2 of 2,[],203468,,,1610612757,9,9,2021-11-30T02:23:09Z,780000,,,0,,C. McCollum Free Throw 2 of 2 (5 PTS),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,Made,,,,,,,,,,,5.0,,,,,,
80,PT05M16.00S,2021-11-30T02:23:32.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200752,82.07950065703022,59.55882352941176,1610612762,9,9,2021-11-30T02:23:36Z,790000,48.0,116.0,1,right,MISS R. Gay 12' pullup Shot,[200752],1610612762.0,UTA,pullup,,,Gay,R. Gay,,,,,,,12.55,Missed,,,,,,,,,,,,,,,,,
81,PT05M13.00S,2021-11-30T02:23:35.2Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,9,9,2021-11-30T02:23:36Z,800000,,,0,,D. Lillard REBOUND (Off:0 Def:3),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,80.0,3.0,3.0,0.0,,,,,,,,,,,,,
82,PT05M07.00S,2021-11-30T02:23:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,8.623521681997373,54.65686274509803,1610612757,9,9,2021-11-30T02:23:45Z,810000,-23.0,29.0,1,left,MISS D. Lillard driving Layup - blocked,"[203081, 202355]",1610612757.0,POR,driving,,,Lillard,D. Lillard,,,,,,,3.69,Missed,,,,,,,,,,,,,,,Whiteside,202355.0,
83,PT05M07.00S,2021-11-30T02:23:40.1Z,1,REGULAR,block,,[],202355,,,1610612757,9,9,2021-11-30T02:23:42Z,820000,,,0,,H. Whiteside BLOCK (1 BLK),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M05.00S,2021-11-30T02:23:42.1Z,1,REGULAR,rebound,defensive,[],200752,,,1610612762,9,9,2021-11-30T02:23:45Z,830000,,,0,,R. Gay REBOUND (Off:0 Def:1),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,
85,PT04M51.00S,2021-11-30T02:23:56.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628378,84.05059132720105,57.35294117647059,1610612762,9,9,2021-11-30T02:24:02Z,840000,37.0,97.0,1,right,MISS D. Mitchell 10' driving Hook,[1628378],1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,,,10.41,Missed,,,,,,,,,,,,,,,,,
86,PT04M49.00S,2021-11-30T02:23:58.9Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,9,9,2021-11-30T02:24:02Z,850000,,,0,,J. Nurkic REBOUND (Off:0 Def:3),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,85.0,3.0,3.0,0.0,,,,,,,,,,,,,
87,PT04M42.00S,2021-11-30T02:24:05.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203468,7.30946123521682,54.166666666666664,1610612757,9,11,2021-11-30T02:24:14Z,860000,-21.0,16.0,1,left,C. McCollum driving reverse Layup (7 PTS),[203468],1610612757.0,POR,driving reverse,,,McCollum,C. McCollum,,,,,,,2.64,Made,,,,,,,,,,,7.0,,,,,,
88,PT04M36.00S,2021-11-30T02:24:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,89.70105124835742,43.38235294117647,1610612762,9,11,2021-11-30T02:25:01Z,870000,-33.0,44.0,1,right,MISS B. Bogdanovic Layup - blocked,"[202711, 203081]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,5.53,Missed,,,,,,,,,,,,,,,Lillard,203081.0,
89,PT04M36.00S,2021-11-30T02:24:18.1Z,1,REGULAR,block,,[],203081,,,1610612762,9,11,2021-11-30T02:24:20Z,880000,,,0,,D. Lillard BLOCK (1 BLK),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M36.00S,2021-11-30T02:24:18.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,9,11,2021-11-30T02:28:39Z,885000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,
90,PT04M36.00S,2021-11-30T02:24:30.7Z,1,REGULAR,substitution,out,[],203468,,,1610612762,9,11,2021-11-30T02:24:47Z,890000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M36.00S,2021-11-30T02:24:30.7Z,1,REGULAR,substitution,out,[],203994,,,1610612762,9,11,2021-11-30T02:24:47Z,900000,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M36.00S,2021-11-30T02:24:30.7Z,1,REGULAR,substitution,out,[],203496,,,1610612762,9,11,2021-11-30T02:24:47Z,910000,,,0,,SUB out: R. Covington,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
