actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
20,PT09M53.00S,2021-12-04T02:13:14.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202711,15.719448094612352,3.1862745098039214,1610612762,6,0,2021-12-04T02:13:20Z,200000,234.0,95.0,1,left,MISS B. Bogdanovic 25' 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,25.28,Missed,,,,,,,,,,,,,,,,,,,
21,PT09M50.00S,2021-12-04T02:13:17.2Z,1,REGULAR,rebound,defensive,[],203471,,,1610612738,6,0,2021-12-04T02:13:20Z,210000,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M30.00S,2021-12-04T02:13:36.9Z,1,REGULAR,2pt,Jump Shot,[],1629057,92.59198423127464,33.57843137254902,1610612738,6,2,2021-12-04T02:13:42Z,220000,-82.0,17.0,1,right,R. Williams III 8' Jump Shot (2 PTS) (A. Horford 1 AST),"[1629057, 201143]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,8.39,Made,2.0,,,,,A. Horford,201143.0,1.0,,,,,,,,,,,
24,PT09M11.00S,2021-12-04T02:13:58.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,6,2,2021-12-04T02:13:58Z,240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M08.00S,2021-12-04T02:14:17.5Z,1,REGULAR,3pt,Jump Shot,[],201144,36.21879106438896,50.245098039215684,1610612762,9,2,2021-12-04T02:14:29Z,250000,-1.0,288.0,1,left,M. Conley 28' 3PT pullup (6 PTS) (D. Mitchell 1 AST),"[201144, 1628378]",1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,28.8,Made,6.0,,,,,D. Mitchell,1628378.0,1.0,,,,,,,,,,,
27,PT08M50.00S,2021-12-04T02:14:34.6Z,1,REGULAR,2pt,Jump Shot,[],201143,92.72339027595268,16.666666666666664,1610612738,9,2,2021-12-04T02:14:39Z,270000,-167.0,16.0,1,right,MISS A. Horford 16' Jump Shot,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,16.75,Missed,,,,,,,,,,,,,,,,,,,
28,PT08M47.00S,2021-12-04T02:14:37.6Z,1,REGULAR,rebound,defensive,[],201144,,,1610612762,9,2,2021-12-04T02:14:39Z,280000,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT08M41.00S,2021-12-04T02:14:45.8Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612762,9,2,2021-12-04T02:14:54Z,290000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Gobert 2 FT),"[1629057, 203497]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,,,1201.0,1.0,0.0,Gobert,203497.0,,,,,,
31,PT08M41.00S,2021-12-04T02:15:12.1Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612762,10,2,2021-12-04T02:15:12Z,310000,,,0,,R. Gobert Free Throw 1 of 2 (1 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
32,PT08M41.00S,2021-12-04T02:15:30.6Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612762,11,2,2021-12-04T02:15:30Z,320000,,,0,,R. Gobert Free Throw 2 of 2 (2 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
33,PT08M29.00S,2021-12-04T02:15:47.9Z,1,REGULAR,3pt,Jump Shot,[],203471,73.40670170827858,19.852941176470587,1610612738,11,2,2021-12-04T02:15:52Z,330000,-151.0,197.0,1,right,MISS D. Schroder 24' 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,24.84,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M25.00S,2021-12-04T02:15:51.9Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,11,2,2021-12-04T02:15:52Z,340000,,,0,,R. O'Neale REBOUND (Off:0 Def:2),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,
35,PT08M15.00S,2021-12-04T02:16:01.0Z,1,REGULAR,3pt,Jump Shot,[],201144,20.71287779237845,8.333333333333332,1610612762,14,2,2021-12-04T02:16:06Z,350000,208.0,142.0,1,left,M. Conley 25' 3PT step back (9 PTS),[201144],1610612762.0,UTA,step back,,,Conley,M. Conley,,,,,25.22,Made,9.0,,,,,,,,,,,,,,,,,,
36,PT08M14.00S,2021-12-04T02:16:06.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,14,2,2021-12-04T02:16:06Z,360000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT07M50.00S,2021-12-04T02:19:24.4Z,1,REGULAR,3pt,Jump Shot,[],203935,86.94152431011827,3.9215686274509802,1610612738,14,2,2021-12-04T02:19:30Z,370000,-230.0,70.0,1,right,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.09,Missed,,,,,,,,,,,,,,,,,,,
38,PT07M47.00S,2021-12-04T02:19:27.0Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,14,2,2021-12-04T02:19:27Z,380000,,,0,,A. Horford REBOUND (Off:1 Def:0),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,37.0,1.0,0.0,1.0,,,,,,,,,,,,,,
39,PT07M45.00S,2021-12-04T02:19:28.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201143,88.12417871222075,48.03921568627451,1610612738,14,4,2021-12-04T02:19:37Z,390000,-10.0,59.0,1,right,A. Horford putback Layup (2 PTS),[201143],1610612738.0,BOS,putback,,,Horford,A. Horford,,,,,5.99,Made,2.0,,,,,,,,,,,,,,,,,,
40,PT07M16.00S,2021-12-04T02:19:56.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,14.011169513797633,54.166666666666664,1610612762,14,4,2021-12-04T02:20:04Z,400000,-21.0,79.0,1,left,MISS B. Bogdanovic 8' driving floating Shot,[202711],1610612762.0,UTA,driving floating,,,Bogdanovic,B. Bogdanovic,,,,,8.19,Missed,,,,,,,,,,,,,,,,,,,
41,PT07M16.00S,2021-12-04T02:19:59.7Z,1,REGULAR,rebound,offensive,[],203497,,,1610612762,14,4,2021-12-04T02:19:59Z,410000,,,0,,R. Gobert REBOUND (Off:1 Def:2),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,40.0,3.0,2.0,1.0,,,,,,,,,,,,,,
42,PT07M16.00S,2021-12-04T02:20:01.3Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612762,14,4,2021-12-04T02:20:06Z,420000,,,0,,R. Williams III shooting personal FOUL (2 PF) (Gobert 2 FT),"[1629057, 203497]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,,,2004.0,2.0,0.0,Gobert,203497.0,,,,,,
44,PT07M16.00S,2021-12-04T02:20:27.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203497,,,1610612762,15,4,2021-12-04T02:21:08Z,440000,,,0,,R. Gobert Free Throw 1 of 2 (3 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
45,PT07M16.00S,2021-12-04T02:20:28.1Z,1,REGULAR,substitution,out,[],201144,,,1610612762,15,4,2021-12-04T02:20:40Z,450000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M16.00S,2021-12-04T02:20:28.1Z,1,REGULAR,substitution,out,[],1629057,,,1610612762,15,4,2021-12-04T02:20:40Z,470000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M16.00S,2021-12-04T02:20:28.1Z,1,REGULAR,substitution,in,[],204060,,,1610612762,15,4,2021-12-04T02:20:40Z,490000,,,0,,SUB in: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M16.00S,2021-12-04T02:20:28.1Z,1,REGULAR,substitution,in,[],1629684,,,1610612762,15,4,2021-12-04T02:20:40Z,500000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M16.00S,2021-12-04T02:20:27.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203497,,,1610612762,15,4,2021-12-04T02:21:08Z,510000,,,0,,MISS R. Gobert Free Throw 2 of 2,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M15.00S,2021-12-04T02:20:28.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,15,4,2021-12-04T02:21:08Z,520000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,,,,,,
53,PT07M05.00S,2021-12-04T02:21:18.8Z,1,REGULAR,foul,personal,['2freethrow'],203497,,,1610612738,15,4,2021-12-04T02:21:24Z,530000,,,0,,R. Gobert shooting personal FOUL (1 PF) (Horford 2 FT),"[203497, 201143]",1610612762.0,UTA,shooting,,,Gobert,R. Gobert,,,,,,,,,,,,,,,2004.0,1.0,0.0,Horford,201143.0,,,,,,
55,PT07M05.00S,2021-12-04T02:21:44.1Z,1,REGULAR,freethrow,1 of 2,[],201143,,,1610612738,15,5,2021-12-04T02:21:44Z,550000,,,0,,A. Horford Free Throw 1 of 2 (3 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
56,PT07M05.00S,2021-12-04T02:21:44.8Z,1,REGULAR,substitution,out,[],203497,,,1610612738,15,5,2021-12-04T02:21:47Z,560000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M05.00S,2021-12-04T02:21:44.8Z,1,REGULAR,substitution,in,[],202355,,,1610612738,15,5,2021-12-04T02:21:47Z,570000,,,0,,SUB in: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M05.00S,2021-12-04T02:22:07.0Z,1,REGULAR,freethrow,2 of 2,[],201143,,,1610612738,15,6,2021-12-04T02:22:07Z,580000,,,0,,A. Horford Free Throw 2 of 2 (4 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
59,PT06M58.00S,2021-12-04T02:22:16.9Z,1,REGULAR,3pt,Jump Shot,[],1628378,34.247700394218136,49.754901960784316,1610612762,18,6,2021-12-04T02:22:25Z,590000,1.0,269.0,1,left,D. Mitchell 26' 3PT pullup (6 PTS),[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,26.94,Made,6.0,,,,,,,,,,,,,,,,,,
60,PT06M49.00S,2021-12-04T02:22:25.6Z,1,REGULAR,3pt,Jump Shot,[],201143,67.7562417871222,45.34313725490196,1610612738,18,9,2021-12-04T02:22:30Z,600000,-23.0,251.0,1,right,A. Horford 25' 3PT  (7 PTS) (D. Schroder 1 AST),"[201143, 203471]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,25.17,Made,7.0,,,,,D. Schroder,203471.0,1.0,,,,,,,,,,,
62,PT06M34.00S,2021-12-04T02:22:40.5Z,1,REGULAR,turnover,bad pass,[],204060,,,1610612762,18,9,2021-12-04T02:22:44Z,620000,,,0,,J. Ingles bad pass TURNOVER (1 TO),"[204060, 203935]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0,,,
63,PT06M34.00S,2021-12-04T02:22:40.5Z,1,REGULAR,steal,,[],203935,,,1610612738,18,9,2021-12-04T02:22:41Z,630000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M30.00S,2021-12-04T02:22:44.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628369,84.83902759526939,3.431372549019608,1610612738,18,9,2021-12-04T02:22:51Z,640000,-233.0,90.0,1,right,MISS J. Tatum 24' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.96,Missed,,,,,,,,,,,,,,,,,,,
65,PT06M27.00S,2021-12-04T02:22:47.9Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,18,9,2021-12-04T02:22:51Z,650000,,,0,,H. Whiteside REBOUND (Off:0 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,,
66,PT06M21.00S,2021-12-04T02:22:56.5Z,1,REGULAR,foul,offensive,[],202355,,,1610612762,18,9,2021-12-04T02:23:02Z,660000,,,0,,H. Whiteside offensive FOUL (1 PF),"[202355, 1629684]",1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,2002.0,1.0,0.0,Williams,1629684.0,,,,,,
68,PT06M21.00S,2021-12-04T02:22:56.5Z,1,REGULAR,turnover,offensive foul,[],202355,,,1610612762,18,9,2021-12-04T02:22:56Z,680000,,,0,,H. Whiteside offensive foul TURNOVER (1 TO),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,2002.0,,,,,1.0,,,,,
69,PT06M13.00S,2021-12-04T02:23:23.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,76.03482260183968,68.87254901960785,1610612738,18,11,2021-12-04T02:26:31Z,690000,94.0,173.0,1,right,J. Tatum 19' step back Jump Shot (2 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,19.69,Made,2.0,,,,,M. Smart,203935.0,1.0,,,,,,,,,,,
71,PT05M50.00S,2021-12-04T02:23:49.6Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612762,18,11,2021-12-04T02:23:56Z,710000,,,0,,A. Horford shooting personal FOUL (1 PF) (Mitchell 2 FT),"[201143, 1628378]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,,,,,,,,,,,2004.0,1.0,0.0,Mitchell,1628378.0,,,,,,
73,PT05M50.00S,2021-12-04T02:24:25.5Z,1,REGULAR,freethrow,1 of 2,[],1628378,,,1610612762,19,11,2021-12-04T02:24:25Z,730000,,,0,,D. Mitchell Free Throw 1 of 2 (7 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
74,PT05M50.00S,2021-12-04T02:24:26.9Z,1,REGULAR,substitution,out,[],203935,,,1610612762,19,11,2021-12-04T02:24:32Z,740000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M50.00S,2021-12-04T02:24:26.9Z,1,REGULAR,substitution,in,[],1626196,,,1610612762,19,11,2021-12-04T02:24:32Z,750000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M50.00S,2021-12-04T02:24:47.5Z,1,REGULAR,freethrow,2 of 2,[],1628378,,,1610612762,20,11,2021-12-04T02:24:47Z,760000,,,0,,D. Mitchell Free Throw 2 of 2 (8 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
77,PT05M39.00S,2021-12-04T02:25:00.3Z,1,REGULAR,turnover,bad pass,[],203471,,,1610612738,20,11,2021-12-04T02:25:04Z,770000,,,0,,D. Schroder bad pass TURNOVER (1 TO),"[203471, 202711]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,1.0,Bogdanovic,202711.0,,,
78,PT05M39.00S,2021-12-04T02:25:00.3Z,1,REGULAR,steal,,[],202711,,,1610612762,20,11,2021-12-04T02:25:51Z,780000,,,0,,B. Bogdanovic STEAL (1 STL),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M31.00S,2021-12-04T02:25:08.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202711,7.703679369250986,42.40196078431372,1610612762,22,11,2021-12-04T02:25:14Z,790000,38.0,20.0,1,left,B. Bogdanovic driving Layup (2 PTS) (R. O'Neale 1 AST),"[202711, 1626220]",1610612762.0,UTA,driving,,,Bogdanovic,B. Bogdanovic,,,,,4.29,Made,2.0,,,,,R. O'Neale,1626220.0,1.0,,,,,,,,,,,
81,PT05M16.00S,2021-12-04T02:25:24.2Z,1,REGULAR,2pt,Jump Shot,[],203471,77.4802890932983,54.65686274509803,1610612738,22,13,2021-12-04T02:25:31Z,810000,23.0,159.0,1,right,D. Schroder 16' pullup Jump Shot (2 PTS) (A. Horford 2 AST),"[203471, 201143]",1610612738.0,BOS,pullup,,,Schroder,D. Schroder,,,,,16.09,Made,2.0,,,,,A. Horford,201143.0,2.0,,,,,,,,,,,
82,PT05M16.00S,2021-12-04T02:25:28.7Z,1,REGULAR,foul,personal,['1freethrow'],204060,,,1610612738,22,13,2021-12-04T02:25:40Z,820000,,,0,,J. Ingles shooting personal FOUL (1 PF) (Schroder 1 FT),"[204060, 203471]",1610612762.0,UTA,shooting,,,Ingles,J. Ingles,,,,,,,,,,,,,,,2002.0,1.0,0.0,Schroder,203471.0,,,,,,
84,PT05M16.00S,2021-12-04T02:25:43.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,22,13,2021-12-04T02:25:46Z,840000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M16.00S,2021-12-04T02:25:43.2Z,1,REGULAR,substitution,in,[],1629641,,,1610612738,22,13,2021-12-04T02:25:46Z,850000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M16.00S,2021-12-04T02:25:59.8Z,1,REGULAR,freethrow,1 of 1,[],203471,,,1610612738,22,14,2021-12-04T02:25:59Z,860000,,,0,,D. Schroder Free Throw 1 of 1 (3 PTS),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
88,PT05M08.00S,2021-12-04T02:26:10.1Z,1,REGULAR,3pt,Jump Shot,[],1628378,28.728646517739815,72.05882352941177,1610612762,25,14,2021-12-04T02:26:15Z,870000,-110.0,218.0,1,left,D. Mitchell 24' 3PT pullup (11 PTS) (B. Bogdanovic 1 AST),"[1628378, 202711]",1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,24.39,Made,11.0,,,,,B. Bogdanovic,202711.0,1.0,,,,,,,,,,,
90,PT04M50.00S,2021-12-04T02:26:28.5Z,1,REGULAR,3pt,Jump Shot,[],201143,72.61826544021025,19.11764705882353,1610612738,25,14,2021-12-04T02:26:33Z,890000,-154.0,205.0,1,right,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,25.66,Missed,,,,,,,,,,,,,,,,,,,
91,PT04M47.00S,2021-12-04T02:26:31.5Z,1,REGULAR,rebound,defensive,[],204060,,,1610612762,25,14,2021-12-04T02:26:33Z,900000,,,0,,J. Ingles REBOUND (Off:0 Def:1),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,90.0,1.0,1.0,0.0,,,,,,,,,,,,,,
93,PT04M43.00S,2021-12-04T02:26:34.1Z,1,REGULAR,turnover,bad pass,[],204060,,,1610612762,25,14,2021-12-04T02:26:38Z,920000,,,0,,J. Ingles bad pass TURNOVER (2 TO),"[204060, 201143]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,2.0,Horford,201143.0,,,
94,PT04M43.00S,2021-12-04T02:26:34.1Z,1,REGULAR,steal,,[],201143,,,1610612738,25,14,2021-12-04T02:26:36Z,930000,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M31.00S,2021-12-04T02:26:46.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626196,85.23324572930355,49.50980392156863,1610612738,25,16,2021-12-04T02:29:07Z,940000,-2.0,86.0,1,right,J. Richardson 8' driving floating Jump Shot (2 PTS),[1626196],1610612738.0,BOS,driving floating,,,Richardson,J. Richardson,,,,,8.63,Made,2.0,,,,,,,,,,,,,,,,,,
