actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
88,PT04M30.00S,2021-11-17T03:19:15.7Z,1,REGULAR,3pt,Jump Shot,[],1628378,66.04796320630749,70.09803921568627,1610612762,21,13,2021-11-17T03:19:22Z,860000,100.0,267.0,1,right,MISS D. Mitchell 28' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,28.49,Missed,,,,,,,,,,,,,,,,,,
89,PT04M29.00S,2021-11-17T03:19:16.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,21,13,2021-11-17T03:19:22Z,870000,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,
90,PT04M29.00S,2021-11-17T03:19:21.6Z,1,REGULAR,foul,personal,[],204060,,,1610612755,21,13,2021-11-17T03:19:47Z,880000,,,0,,J. Ingles loose ball personal FOUL (1 PF),"[204060, 203552]",1610612762.0,UTA,loose ball,,,Ingles,J. Ingles,,,,,,,,2005.0,1.0,0.0,Curry,203552.0,,,,,,,,,,,,
92,PT04M29.00S,2021-11-17T03:19:31.4Z,1,REGULAR,substitution,out,[],203083,,,1610612755,21,13,2021-11-17T03:19:45Z,900000,,,0,,SUB out: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M29.00S,2021-11-17T03:19:31.4Z,1,REGULAR,substitution,out,[],203552,,,1610612755,21,13,2021-11-17T03:19:45Z,910000,,,0,,SUB out: S. Curry,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M29.00S,2021-11-17T03:19:31.4Z,1,REGULAR,substitution,in,[],1627777,,,1610612755,21,13,2021-11-17T03:19:45Z,920000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M29.00S,2021-11-17T03:19:31.4Z,1,REGULAR,substitution,in,[],1627788,,,1610612755,21,13,2021-11-17T03:19:45Z,930000,,,0,,SUB in: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M19.00S,2021-11-17T03:19:54.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,13.485545335085414,59.31372549019608,1610612755,21,13,2021-11-17T03:19:59Z,940000,-47.0,74.0,1,left,MISS T. Harris 8' floating Shot,[202699],1610612755.0,PHI,floating,,,Harris,T. Harris,,,,,8.77,Missed,,,,,,,,,,,,,,,,,,
97,PT04M17.00S,2021-11-17T03:19:56.9Z,1,REGULAR,rebound,offensive,[],202699,,,1610612755,21,13,2021-11-17T03:19:56Z,950000,,,0,,T. Harris REBOUND (Off:1 Def:0),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,96.0,1.0,0.0,1.0,,,
98,PT04M16.00S,2021-11-17T03:19:58.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627777,17.95335085413929,4.6568627450980395,1610612755,21,16,2021-11-17T03:20:04Z,960000,227.0,116.0,1,left,G. Niang 25' 3PT  (3 PTS) (T. Harris 2 AST),"[1627777, 202699]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,25.48,Made,3.0,,,,,,T. Harris,202699.0,2.0,,,,,,,,,
100,PT03M49.00S,2021-11-17T03:20:26.2Z,1,REGULAR,foul,personal,['2freethrow'],202699,,,1610612762,21,16,2021-11-17T03:20:33Z,980000,,,0,,T. Harris shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[202699, 202711]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,,,,1162.0,1.0,0.0,Bogdanovic,202711.0,,,,,,,,,,,,
102,PT03M49.00S,2021-11-17T03:20:56.1Z,1,REGULAR,freethrow,1 of 2,[],202711,,,1610612762,22,16,2021-11-17T03:20:56Z,1000000,,,0,,B. Bogdanovic Free Throw 1 of 2 (6 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
103,PT03M49.00S,2021-11-17T03:21:19.3Z,1,REGULAR,freethrow,2 of 2,[],202711,,,1610612762,23,16,2021-11-17T03:21:19Z,1010000,,,0,,B. Bogdanovic Free Throw 2 of 2 (7 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
104,PT03M41.00S,2021-11-17T03:21:29.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,6.1268068331143235,42.8921568627451,1610612755,23,18,2021-11-17T03:21:35Z,1020000,36.0,5.0,1,left,T. Maxey driving Layup (5 PTS),[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,3.59,Made,5.0,,,,,,,,,,,,,,,,,
105,PT03M35.00S,2021-11-17T03:21:36.5Z,1,REGULAR,3pt,Jump Shot,[],1626220,93.77463863337714,2.696078431372549,1610612762,26,18,2021-11-17T03:21:42Z,1030000,-237.0,6.0,1,right,R. O'Neale 3PT  (3 PTS) (J. Ingles 2 AST),"[1626220, 204060]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,23.66,Made,3.0,,,,,,J. Ingles,204060.0,2.0,,,,,,,,,
107,PT03M20.00S,2021-11-17T03:21:50.3Z,1,REGULAR,3pt,Jump Shot,[],1629003,21.369908015768726,88.72549019607843,1610612755,26,18,2021-11-17T03:21:55Z,1050000,-194.0,148.0,1,left,MISS S. Milton 24' 3PT,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,24.39,Missed,,,,,,,,,,,,,,,,,,
108,PT03M18.00S,2021-11-17T03:21:52.3Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,26,18,2021-11-17T03:21:55Z,1060000,,,0,,R. O'Neale REBOUND (Off:0 Def:4),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,107.0,4.0,4.0,0.0,,,
109,PT03M03.00S,2021-11-17T03:22:08.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,90.22667542706965,49.01960784313725,1610612762,26,18,2021-11-17T03:24:35Z,1070000,-5.0,39.0,1,right,MISS D. Mitchell driving floating Shot,[1628378],1610612762.0,UTA,driving floating,,,Mitchell,D. Mitchell,,,,,3.97,Missed,,,,,,,,,,,,,,,,,,
110,PT03M01.00S,2021-11-17T03:22:10.6Z,1,REGULAR,rebound,offensive,[],202355,,,1610612762,26,18,2021-11-17T03:24:35Z,1080000,,,0,,H. Whiteside REBOUND (Off:1 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,109.0,2.0,1.0,1.0,,,
111,PT02M59.00S,2021-11-17T03:22:11.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202355,92.59198423127464,50.0,1610612762,28,18,2021-11-17T03:22:22Z,1090000,0.0,17.0,1,right,H. Whiteside putback Layup (6 PTS),[202355],1610612762.0,UTA,putback,,,Whiteside,H. Whiteside,,,,,1.71,Made,6.0,,,,,,,,,,,,,,,,,
112,PT02M47.00S,2021-11-17T03:22:26.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629003,6.1268068331143235,54.166666666666664,1610612755,28,20,2021-11-17T03:25:07Z,1100000,-21.0,5.0,1,left,S. Milton driving Layup (6 PTS) (T. Harris 3 AST),"[1629003, 202699]",1610612755.0,PHI,driving,,,Milton,S. Milton,,,,,2.14,Made,6.0,,,,,,T. Harris,202699.0,3.0,,,,,,,,,
114,PT02M47.00S,2021-11-17T03:22:28.0Z,1,REGULAR,foul,personal,['1freethrow'],202355,,,1610612755,28,20,2021-11-17T03:22:33Z,1120000,,,0,,H. Whiteside shooting personal FOUL (1 PF) (Milton 1 FT),"[202355, 1629003]",1610612762.0,UTA,shooting,,,Whiteside,H. Whiteside,,,,,,,,2005.0,1.0,0.0,Milton,1629003.0,,,,,,,,,,,,
116,PT02M47.00S,2021-11-17T03:22:38.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,28,20,2021-11-17T03:24:35Z,1140000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M47.00S,2021-11-17T03:24:18.2Z,1,REGULAR,substitution,out,[],1626220,,,1610612755,28,20,2021-11-17T03:25:59Z,1150000,,,0,,SUB out: R. O'Neale,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M47.00S,2021-11-17T03:24:18.2Z,1,REGULAR,substitution,out,[],202711,,,1610612755,28,20,2021-11-17T03:25:59Z,1160000,,,0,,SUB out: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M47.00S,2021-11-17T03:24:18.2Z,1,REGULAR,substitution,out,[],1628378,,,1610612755,28,20,2021-11-17T03:25:59Z,1170000,,,0,,SUB out: D. Mitchell,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M47.00S,2021-11-17T03:24:18.2Z,1,REGULAR,substitution,in,[],203903,,,1610612755,28,20,2021-11-17T03:25:59Z,1180000,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M47.00S,2021-11-17T03:24:18.2Z,1,REGULAR,substitution,in,[],1629672,,,1610612755,28,20,2021-11-17T03:25:59Z,1190000,,,0,,SUB in: E. Paschall,[1629672],1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M47.00S,2021-11-17T03:24:18.2Z,1,REGULAR,substitution,in,[],201144,,,1610612755,28,20,2021-11-17T03:25:59Z,1200000,,,0,,SUB in: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M47.00S,2021-11-17T03:24:18.2Z,1,REGULAR,substitution,out,[],202355,,,1610612755,28,20,2021-11-17T03:27:20Z,1205000,,,0,,SUB out: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M47.00S,2021-11-17T03:24:18.2Z,1,REGULAR,substitution,in,[],203497,,,1610612755,28,20,2021-11-17T03:27:20Z,1207500,,,0,,SUB in: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M47.00S,2021-11-17T03:26:21.5Z,1,REGULAR,freethrow,1 of 1,[],1629003,,,1610612755,28,21,2021-11-17T03:26:21Z,1210000,,,0,,S. Milton Free Throw 1 of 1 (7 PTS),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
124,PT02M23.00S,2021-11-17T03:26:46.6Z,1,REGULAR,3pt,Jump Shot,[],203903,69.85873850197109,76.47058823529412,1610612762,28,21,2021-11-17T03:26:53Z,1220000,132.0,231.0,1,right,MISS J. Clarkson 26' step back 3PT,[203903],1610612762.0,UTA,step back,,,Clarkson,J. Clarkson,,,,,26.61,Missed,,,,,,,,,,,,,,,,,,
125,PT02M20.00S,2021-11-17T03:26:49.6Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,28,21,2021-11-17T03:26:53Z,1230000,,,0,,T. Harris REBOUND (Off:1 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,124.0,2.0,1.0,1.0,,,
126,PT02M13.00S,2021-11-17T03:26:56.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,11.645860709592641,41.17647058823529,1610612755,28,23,2021-11-17T03:27:36Z,1240000,44.0,57.0,1,left,T. Harris 7' driving floating Jump Shot (4 PTS),[202699],1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,7.21,Made,4.0,,,,,,,,,,,,,,,,,
127,PT01M59.00S,2021-11-17T03:27:10.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,93.24901445466492,46.32352941176471,1610612762,30,23,2021-11-17T03:27:20Z,1250000,-18.0,11.0,1,right,R. Gobert cutting DUNK (4 PTS) (M. Conley 2 AST),"[203497, 201144]",1610612762.0,UTA,cutting,,,Gobert,R. Gobert,,,,,2.14,Made,4.0,,,,,,M. Conley,201144.0,2.0,,,,,,,,,
131,PT01M42.00S,2021-11-17T03:27:26.7Z,1,REGULAR,3pt,Jump Shot,[],1629003,30.699737187910642,70.34313725490196,1610612755,30,23,2021-11-17T03:27:33Z,1270000,-102.0,236.0,1,left,MISS S. Milton 25' 3PT,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,25.71,Missed,,,,,,,,,,,,,,,,,,
132,PT01M40.00S,2021-11-17T03:27:28.7Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,30,23,2021-11-17T03:27:33Z,1280000,,,0,,R. Gobert REBOUND (Off:0 Def:3),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,131.0,3.0,3.0,0.0,,,
133,PT01M31.00S,2021-11-17T03:27:41.2Z,1,REGULAR,foul,offensive,[],1629672,,,1610612762,30,23,2021-11-17T03:27:53Z,1290000,,,0,,E. Paschall charge offensive FOUL (1 PF),"[1629672, 1629003]",1610612762.0,UTA,charge,,,Paschall,E. Paschall,,,,,,,,1162.0,1.0,0.0,Milton,1629003.0,,,,,,,,,,,,
135,PT01M31.00S,2021-11-17T03:27:41.2Z,1,REGULAR,turnover,offensive foul,[],1629672,,,1610612762,30,23,2021-11-17T03:27:41Z,1310000,,,0,,E. Paschall offensive foul TURNOVER (1 TO),[1629672],1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,,,,1162.0,,,,,,,,,,,,,,1.0,,
136,PT01M31.00S,2021-11-17T03:27:46.4Z,1,REGULAR,substitution,out,[],1629003,,,1610612755,30,23,2021-11-17T03:27:52Z,1320000,,,0,,SUB out: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M31.00S,2021-11-17T03:27:46.4Z,1,REGULAR,substitution,in,[],1630198,,,1610612755,30,23,2021-11-17T03:27:52Z,1330000,,,0,,SUB in: I. Joe,[1630198],1610612755.0,PHI,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M12.00S,2021-11-17T03:28:18.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630198,25.57490144546649,86.27450980392157,1610612755,30,26,2021-11-17T03:28:23Z,1340000,-181.0,188.0,1,left,I. Joe 26' 3PT  (3 PTS) (F. Korkmaz 1 AST),"[1630198, 1627788]",1610612755.0,PHI,,,,Joe,I. Joe,,,,,26.12,Made,3.0,,,,,,F. Korkmaz,1627788.0,1.0,,,,,,,,,
140,PT00M49.60S,2021-11-17T03:28:41.6Z,1,REGULAR,turnover,lost ball,[],201144,,,1610612762,30,26,2021-11-17T03:28:45Z,1360000,,,0,,M. Conley lost ball TURNOVER (1 TO),"[201144, 1627777]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,1.0,Niang,1627777.0
141,PT00M49.60S,2021-11-17T03:28:41.6Z,1,REGULAR,steal,,[],1627777,,,1610612755,30,26,2021-11-17T03:28:43Z,1370000,,,0,,G. Niang STEAL (1 STL),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,
142,PT00M45.90S,2021-11-17T03:28:45.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630198,5.995400788436268,44.85294117647059,1610612755,30,28,2021-11-17T03:28:53Z,1380000,26.0,4.0,1,left,I. Joe running Layup (5 PTS) (T. Harris 4 AST),"[1630198, 202699]",1610612755.0,PHI,running,,,Joe,I. Joe,,,,,2.6,Made,5.0,,,,,,T. Harris,202699.0,4.0,,,,,,,,,
144,PT00M40.40S,2021-11-17T03:28:56.8Z,1,REGULAR,foul,personal,[],1630198,,,1610612762,30,28,2021-11-17T03:29:07Z,1400000,,,0,,I. Joe personal FOUL (1 PF),"[1630198, 203903]",1610612755.0,PHI,,,,Joe,I. Joe,,,,,,,,201246.0,1.0,0.0,Clarkson,203903.0,,,,,,,,,,,,
146,PT00M33.40S,2021-11-17T03:29:17.4Z,1,REGULAR,3pt,Jump Shot,[],204060,93.11760840998686,95.58823529411765,1610612762,30,28,2021-11-17T03:29:23Z,1420000,228.0,12.0,1,right,MISS J. Ingles 3PT,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,22.82,Missed,,,,,,,,,,,,,,,,,,
147,PT00M30.30S,2021-11-17T03:29:20.5Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,30,28,2021-11-17T03:29:23Z,1430000,,,0,,T. Harris REBOUND (Off:1 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,146.0,3.0,2.0,1.0,,,
148,PT00M08.20S,2021-11-17T03:29:42.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.835085413929041,55.14705882352941,1610612755,30,28,2021-11-17T03:29:49Z,1440000,-26.0,21.0,1,left,MISS T. Maxey driving Layup - blocked,"[1630178, 203497]",1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,3.33,Missed,,,,,,,,,,Gobert,203497.0,,,,,,,
149,PT00M08.20S,2021-11-17T03:29:42.6Z,1,REGULAR,block,,[],203497,,,1610612755,30,28,2021-11-17T03:29:44Z,1450000,,,0,,R. Gobert BLOCK (3 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M05.30S,2021-11-17T03:29:45.5Z,1,REGULAR,rebound,defensive,[],204060,,,1610612762,30,28,2021-11-17T03:29:49Z,1460000,,,0,,J. Ingles REBOUND (Off:0 Def:1),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,148.0,1.0,1.0,0.0,,,
151,PT00M00.90S,2021-11-17T03:29:49.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203903,74.19513797634691,82.1078431372549,1610612762,30,28,2021-11-17T03:29:56Z,1470000,161.0,190.0,1,right,MISS J. Clarkson 24' step back 3PT,[203903],1610612762.0,UTA,step back,,,Clarkson,J. Clarkson,,,,,24.88,Missed,,,,,,,,,,,,,,,,,,
152,PT00M00.90S,2021-11-17T03:29:49.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,30,28,2021-11-17T03:29:56Z,1480000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,151.0,,,,,,
153,PT00M00.00S,2021-11-17T03:29:55.8Z,1,REGULAR,period,end,[],0,,,1610612762,30,28,2021-11-17T03:29:55Z,1490000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2021-11-17T03:32:41.5Z,2,REGULAR,substitution,out,['startperiod'],1630178,,,1610612762,30,28,2021-11-17T03:33:18Z,1500000,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2021-11-17T03:32:41.5Z,2,REGULAR,substitution,out,['startperiod'],202699,,,1610612762,30,28,2021-11-17T03:33:18Z,1510000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2021-11-17T03:32:41.5Z,2,REGULAR,substitution,in,['startperiod'],203083,,,1610612762,30,28,2021-11-17T03:33:18Z,1520000,,,0,,SUB in: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2021-11-17T03:32:41.5Z,2,REGULAR,substitution,in,['startperiod'],203552,,,1610612762,30,28,2021-11-17T03:33:18Z,1530000,,,0,,SUB in: S. Curry,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2021-11-17T03:33:32.3Z,2,REGULAR,period,start,[],0,,,1610612762,30,28,2021-11-17T03:33:32Z,1540000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M48.00S,2021-11-17T03:33:43.5Z,2,REGULAR,foul,personal,['2freethrow'],203552,,,1610612762,30,28,2021-11-17T03:33:51Z,1550000,,,0,,S. Curry shooting personal FOUL (2 PF) (Conley 2 FT),"[203552, 201144]",1610612755.0,PHI,shooting,,,Curry,S. Curry,,,,,,,,1162.0,2.0,0.0,Conley,201144.0,,,,,,,,,,,,
161,PT11M48.00S,2021-11-17T03:34:12.2Z,2,REGULAR,freethrow,1 of 2,[],201144,,,1610612762,31,28,2021-11-17T03:34:31Z,1570000,,,0,,M. Conley Free Throw 1 of 2 (5 PTS),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
162,PT11M48.00S,2021-11-17T03:34:12.2Z,2,REGULAR,freethrow,2 of 2,[],201144,,,1610612762,31,28,2021-11-17T03:34:31Z,1580000,,,0,,MISS M. Conley Free Throw 2 of 2,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,Missed,,,,,,,,,,,,,,,,,,
163,PT11M47.00S,2021-11-17T03:34:13.2Z,2,REGULAR,rebound,defensive,[],203083,,,1610612755,31,28,2021-11-17T03:34:31Z,1590000,,,0,,A. Drummond REBOUND (Off:1 Def:5),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,162.0,6.0,5.0,1.0,,,
164,PT11M36.00S,2021-11-17T03:34:40.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627788,10.463206307490145,34.55882352941176,1610612755,31,28,2021-11-17T03:34:48Z,1600000,77.0,46.0,1,left,MISS F. Korkmaz 8' driving Layup,[1627788],1610612755.0,PHI,driving,,,Korkmaz,F. Korkmaz,,,,,8.98,Missed,,,,,,,,,,,,,,,,,,
165,PT11M32.00S,2021-11-17T03:34:44.9Z,2,REGULAR,rebound,defensive,[],203497,,,1610612762,31,28,2021-11-17T03:34:48Z,1610000,,,0,,R. Gobert REBOUND (Off:0 Def:4),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,164.0,4.0,4.0,0.0,,,
166,PT11M22.00S,2021-11-17T03:34:54.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203903,92.32917214191852,43.872549019607845,1610612762,33,28,2021-11-17T03:35:01Z,1620000,-31.0,20.0,1,right,J. Clarkson driving Layup (2 PTS),[203903],1610612762.0,UTA,driving,,,Clarkson,J. Clarkson,,,,,3.63,Made,2.0,,,,,,,,,,,,,,,,,
167,PT11M06.00S,2021-11-17T03:35:10.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203083,15.325229960578188,42.40196078431372,1610612755,33,28,2021-11-17T03:35:16Z,1630000,38.0,92.0,1,left,MISS A. Drummond 9' floating Shot,[203083],1610612755.0,PHI,floating,,,Drummond,A. Drummond,,,,,9.92,Missed,,,,,,,,,,,,,,,,,,
168,PT11M04.00S,2021-11-17T03:35:12.3Z,2,REGULAR,rebound,defensive,[],203497,,,1610612762,33,28,2021-11-17T03:35:16Z,1640000,,,0,,R. Gobert REBOUND (Off:0 Def:5),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,167.0,5.0,5.0,0.0,,,
169,PT10M50.00S,2021-11-17T03:35:26.5Z,2,REGULAR,3pt,Jump Shot,[],1629672,92.59198423127464,95.83333333333334,1610612762,36,28,2021-11-17T03:35:31Z,1650000,229.0,17.0,1,right,E. Paschall 3PT  (3 PTS) (J. Ingles 3 AST),"[1629672, 204060]",1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,22.98,Made,3.0,,,,,,J. Ingles,204060.0,3.0,,,,,,,,,
171,PT10M30.00S,2021-11-17T03:35:45.5Z,2,REGULAR,3pt,Jump Shot,[],1627788,23.99802890932983,90.44117647058823,1610612755,36,28,2021-11-17T03:35:50Z,1670000,-202.0,173.0,1,left,MISS F. Korkmaz 26' 3PT,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,26.62,Missed,,,,,,,,,,,,,,,,,,
172,PT10M28.00S,2021-11-17T03:35:47.5Z,2,REGULAR,rebound,defensive,[],203497,,,1610612762,36,28,2021-11-17T03:35:50Z,1680000,,,0,,R. Gobert REBOUND (Off:0 Def:6),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,171.0,6.0,6.0,0.0,,,
173,PT10M17.00S,2021-11-17T03:35:59.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,92.85479632063075,55.14705882352941,1610612762,38,28,2021-11-17T03:36:04Z,1690000,26.0,15.0,1,right,R. Gobert DUNK (6 PTS) (J. Ingles 4 AST),"[203497, 204060]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,2.96,Made,6.0,,,,,,J. Ingles,204060.0,4.0,,,,,,,,,
175,PT10M17.00S,2021-11-17T03:36:03.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,38,28,2021-11-17T03:36:03Z,1710000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT10M17.00S,2021-11-17T03:38:15.8Z,2,REGULAR,substitution,out,[],203083,,,1610612755,38,28,2021-11-17T03:38:42Z,1720000,,,0,,SUB out: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,
177,PT10M17.00S,2021-11-17T03:38:15.8Z,2,REGULAR,substitution,in,[],1629646,,,1610612755,38,28,2021-11-17T03:38:42Z,1730000,,,0,,SUB in: C. Bassey,[1629646],1610612755.0,PHI,,,,Bassey,C. Bassey,,,,,,,,,,,,,,,,,,,,,,,,
178,PT10M03.00S,2021-11-17T03:39:39.8Z,2,REGULAR,2pt,Jump Shot,[],203552,9.806176084099869,14.215686274509803,1610612755,38,28,2021-11-17T03:40:02Z,1740000,179.0,40.0,1,left,MISS S. Curry 18' Jump Shot,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,18.33,Missed,,,,,,,,,,,,,,,,,,
