actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,shotActionNumber,turnoverTotal,shotDistance,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
18,PT10M33.00S,2022-04-01T02:05:08.1Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,4,2,2022-04-01T02:05:10Z,180000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,17.0,,,,,,,1.0,1.0,0.0,,,,,,
19,PT10M30.00S,2022-04-01T02:05:11.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201144,70.77858081471747,24.019607843137255,1610612762,7,2,2022-04-01T02:05:18Z,190000,-130.0,222.0,1,right,M. Conley 25' 3PT pullup (3 PTS),[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,,,,Made,,,25.74,3.0,,,,,,,,,,,,
20,PT10M08.00S,2022-04-01T02:05:32.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2730,13.091327201051248,37.745098039215684,1610612747,7,4,2022-04-01T02:05:38Z,200000,61.0,71.0,1,left,D. Howard 9' floating Jump Shot (4 PTS) (M. Monk 1 AST),"[2730, 1628370]",1610612747.0,LAL,floating,,,Howard,D. Howard,,,,,,,,Made,,,9.35,4.0,M. Monk,1628370.0,1.0,,,,,,,,,
22,PT09M52.00S,2022-04-01T02:05:49.8Z,1,REGULAR,3pt,Jump Shot,[],1628378,78.13731931668858,7.107843137254902,1610612762,10,4,2022-04-01T02:05:56Z,220000,-214.0,153.0,1,right,D. Mitchell 26' 3PT  (5 PTS) (R. O'Neale 1 AST),"[1628378, 1626220]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,Made,,,26.35,5.0,R. O'Neale,1626220.0,1.0,,,,,,,,,
24,PT09M36.00S,2022-04-01T02:06:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628370,7.30946123521682,40.931372549019606,1610612747,10,4,2022-04-01T02:06:10Z,240000,45.0,16.0,1,left,MISS M. Monk driving Layup,[1628370],1610612747.0,LAL,driving,,,Monk,M. Monk,,,,,,,,Missed,,,4.81,,,,,,,,,,,,,
25,PT09M35.00S,2022-04-01T02:06:06.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,10,4,2022-04-01T02:06:10Z,250000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,
26,PT09M35.00S,2022-04-01T02:06:10.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,10,4,2022-04-01T02:06:10Z,260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M27.00S,2022-04-01T02:06:35.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628370,23.866622864651774,12.009803921568627,1610612747,10,4,2022-04-01T02:06:40Z,270000,190.0,172.0,1,left,MISS M. Monk 25' pullup 3PT,[1628370],1610612747.0,LAL,pullup,,,Monk,M. Monk,,,,,,,,Missed,,,25.62,,,,,,,,,,,,,
28,PT09M25.00S,2022-04-01T02:06:37.7Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,10,4,2022-04-01T02:06:40Z,280000,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,27.0,,,,,,,2.0,2.0,0.0,,,,,,
29,PT09M15.00S,2022-04-01T02:06:52.4Z,1,REGULAR,foul,personal,[],1626169,,,1610612762,10,4,2022-04-01T02:06:59Z,290000,,,0,,S. Johnson personal FOUL (1 PF),"[1626169, 1628378]",1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,1628172.0,1.0,0.0,,,,,,,,,,,,Mitchell,1628378.0,,,,
31,PT09M08.00S,2022-04-01T02:07:14.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,82.7365308804205,49.01960784313725,1610612762,12,4,2022-04-01T02:07:19Z,310000,-5.0,110.0,1,right,B. Bogdanovic 10' turnaround fadeaway Jump Shot (2 PTS),[202711],1610612762.0,UTA,turnaround fadeaway,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,,,10.99,2.0,,,,,,,,,,,,
32,PT08M51.00S,2022-04-01T02:07:30.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],2730,8.360709592641262,40.44117647058824,1610612747,12,4,2022-04-01T02:07:36Z,320000,48.0,26.0,1,left,MISS D. Howard turnaround Hook,[2730],1610612747.0,LAL,turnaround,,,Howard,D. Howard,,,,,,,,Missed,,,5.45,,,,,,,,,,,,,
33,PT08M48.00S,2022-04-01T02:07:33.7Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,12,4,2022-04-01T02:07:36Z,330000,,,0,,R. Gobert REBOUND (Off:0 Def:3),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,32.0,,,,,,,3.0,3.0,0.0,,,,,,
34,PT08M41.00S,2022-04-01T02:07:40.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,91.27792378449409,47.794117647058826,1610612762,14,4,2022-04-01T02:07:46Z,340000,-11.0,29.0,1,right,R. Gobert cutting DUNK (4 PTS) (D. Mitchell 1 AST),"[203497, 1628378]",1610612762.0,UTA,cutting,,,Gobert,R. Gobert,,,,,,,,Made,,,3.15,4.0,D. Mitchell,1628378.0,1.0,,,,,,,,,
36,PT08M27.00S,2022-04-01T02:07:57.3Z,1,REGULAR,foul,personal,['2freethrow'],201144,,,1610612747,14,4,2022-04-01T02:08:14Z,360000,,,0,,M. Conley shooting personal FOUL (1 PF) (Howard 2 FT),"[201144, 2730]",1610612762.0,UTA,shooting,,,Conley,M. Conley,,,,,2715.0,1.0,0.0,,,,,,,,,,,,Howard,2730.0,,,,
38,PT08M27.00S,2022-04-01T02:08:29.2Z,1,REGULAR,freethrow,1 of 2,[],2730,,,1610612747,14,4,2022-04-01T02:08:29Z,380000,,,0,,MISS D. Howard Free Throw 1 of 2,[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,Missed,,,,,,,,,,,,,,,,
39,PT08M27.00S,2022-04-01T02:08:29.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,14,4,2022-04-01T02:08:29Z,390000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,
40,PT08M27.00S,2022-04-01T02:08:52.1Z,1,REGULAR,freethrow,2 of 2,[],2730,,,1610612747,14,5,2022-04-01T02:08:52Z,400000,,,0,,D. Howard Free Throw 2 of 2 (5 PTS),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,Made,,,,5.0,,,,,,,,,,,,
41,PT08M07.00S,2022-04-01T02:09:13.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,86.81011826544021,49.754901960784316,1610612762,14,5,2022-04-01T02:09:18Z,410000,-1.0,71.0,1,right,MISS B. Bogdanovic 7' step back Shot,[202711],1610612762.0,UTA,step back,,,Bogdanovic,B. Bogdanovic,,,,,,,,Missed,,,7.15,,,,,,,,,,,,,
42,PT08M05.00S,2022-04-01T02:09:15.7Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,14,5,2022-04-01T02:09:18Z,420000,,,0,,D. Howard REBOUND (Off:0 Def:1),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,41.0,,,,,,,1.0,1.0,0.0,,,,,,
43,PT07M56.00S,2022-04-01T02:09:24.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2730,10.726018396846255,49.50980392156863,1610612747,14,5,2022-04-01T02:09:29Z,430000,2.0,48.0,1,left,MISS D. Howard Layup - blocked,"[2730, 203497]",1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,Missed,,,4.84,,,,,,,,,,Gobert,203497.0,,
44,PT07M56.00S,2022-04-01T02:09:24.6Z,1,REGULAR,block,,[],203497,,,1610612747,14,5,2022-04-01T02:09:26Z,440000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M53.00S,2022-04-01T02:09:27.6Z,1,REGULAR,rebound,offensive,[],201566,,,1610612747,14,5,2022-04-01T02:09:29Z,450000,,,0,,R. Westbrook REBOUND (Off:1 Def:0),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,43.0,,,,,,,1.0,0.0,1.0,,,,,,
46,PT07M42.00S,2022-04-01T02:09:38.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",2730,7.966491458607096,41.66666666666667,1610612747,14,7,2022-04-01T02:09:43Z,460000,42.0,22.0,1,left,D. Howard Layup (7 PTS) (R. Westbrook 2 AST),"[2730, 201566]",1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,Made,,,4.73,7.0,R. Westbrook,201566.0,2.0,,,,,,,,,
48,PT07M33.00S,2022-04-01T02:09:47.1Z,1,REGULAR,3pt,Jump Shot,[],202711,68.15045992115637,29.166666666666668,1610612762,14,7,2022-04-01T02:09:52Z,480000,-104.0,247.0,1,right,MISS B. Bogdanovic 26' 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Missed,,,26.8,,,,,,,,,,,,,
49,PT07M31.00S,2022-04-01T02:09:49.7Z,1,REGULAR,rebound,offensive,[],203497,,,1610612762,14,7,2022-04-01T02:09:49Z,490000,,,0,,R. Gobert REBOUND (Off:1 Def:3),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,48.0,,,,,,,4.0,3.0,1.0,,,,,,
50,PT07M27.00S,2022-04-01T02:09:55.5Z,1,REGULAR,foul,personal,['2freethrow'],2730,,,1610612762,14,7,2022-04-01T02:10:10Z,500000,,,0,,D. Howard shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[2730, 202711]",1610612747.0,LAL,shooting,,,Howard,D. Howard,,,,,1628172.0,1.0,0.0,,,,,,,,,,,,Bogdanovic,202711.0,,,,
52,PT07M27.00S,2022-04-01T02:10:26.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202711,,,1610612762,14,7,2022-04-01T02:10:26Z,520000,,,0,,MISS B. Bogdanovic Free Throw 1 of 2,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Missed,,,,,,,,,,,,,,,,
53,PT07M27.00S,2022-04-01T02:10:26.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,14,7,2022-04-01T02:10:26Z,530000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,
54,PT07M27.00S,2022-04-01T02:10:46.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202711,,,1610612762,15,7,2022-04-01T02:10:47Z,540000,,,0,,B. Bogdanovic Free Throw 2 of 2 (3 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,,,,3.0,,,,,,,,,,,,
55,PT07M16.00S,2022-04-01T02:10:59.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,7.966491458607096,39.21568627450981,1610612747,15,9,2022-04-01T02:11:04Z,550000,54.0,22.0,1,left,R. Westbrook driving Layup (2 PTS),[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,,,,Made,,,5.84,2.0,,,,,,,,,,,,
56,PT07M00.00S,2022-04-01T02:11:15.5Z,1,REGULAR,3pt,Jump Shot,[],201144,66.96780551905388,44.36274509803921,1610612762,15,9,2022-04-01T02:11:21Z,560000,-28.0,258.0,1,right,MISS M. Conley 25' 3PT,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,Missed,,,25.95,,,,,,,,,,,,,
57,PT06M56.00S,2022-04-01T02:11:19.5Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,15,9,2022-04-01T02:11:21Z,570000,,,0,,D. Howard REBOUND (Off:0 Def:2),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,56.0,,,,,,,2.0,2.0,0.0,,,,,,
58,PT06M38.00S,2022-04-01T02:11:35.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2730,8.886333771353483,52.450980392156865,1610612747,15,9,2022-04-01T02:11:41Z,580000,-12.0,31.0,1,left,MISS D. Howard cutting Layup,[2730],1610612747.0,LAL,cutting,,,Howard,D. Howard,,,,,,,,Missed,,,3.34,,,,,,,,,,,,,
59,PT06M34.00S,2022-04-01T02:11:39.8Z,1,REGULAR,rebound,offensive,[],2772,,,1610612747,15,9,2022-04-01T02:11:41Z,590000,,,0,,T. Ariza REBOUND (Off:1 Def:0),[2772],1610612747.0,LAL,,,,Ariza,T. Ariza,,,,,,,,,58.0,,,,,,,1.0,0.0,1.0,,,,,,
60,PT06M34.00S,2022-04-01T02:11:40.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",2772,5.590000152587891,50.0,1610612747,15,11,2022-04-01T02:11:40Z,600000,0.0,0.0,1,left,T. Ariza tip Layup (2 PTS),[2772],1610612747.0,LAL,tip,,,Ariza,T. Ariza,,,,,,,,Made,,,0.0,2.0,,,,,,,,,,,,
61,PT06M28.00S,2022-04-01T02:11:46.2Z,1,REGULAR,3pt,Jump Shot,[],1628378,68.15045992115637,68.38235294117648,1610612762,18,11,2022-04-01T02:11:51Z,610000,92.0,247.0,1,right,D. Mitchell 26' 3PT pullup (8 PTS) (B. Bogdanovic 3 AST),"[1628378, 202711]",1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,,,,Made,,,26.34,8.0,B. Bogdanovic,202711.0,3.0,,,,,,,,,
63,PT06M14.00S,2022-04-01T02:11:59.8Z,1,REGULAR,3pt,Jump Shot,[],201566,25.443495400788436,17.401960784313726,1610612747,18,11,2022-04-01T02:12:06Z,630000,163.0,187.0,1,left,MISS R. Westbrook 24' 3PT,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,Missed,,,24.78,,,,,,,,,,,,,
64,PT06M12.00S,2022-04-01T02:12:01.8Z,1,REGULAR,rebound,offensive,[],1628370,,,1610612747,18,11,2022-04-01T02:12:09Z,640000,,,0,,M. Monk REBOUND (Off:1 Def:0),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,63.0,,,,,,,1.0,0.0,1.0,,,,,,
65,PT06M12.00S,2022-04-01T02:12:11.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,18,11,2022-04-01T02:12:11Z,650000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M12.00S,2022-04-01T02:12:13.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,18,11,2022-04-01T02:12:13Z,660000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M12.00S,2022-04-01T02:13:17.3Z,1,REGULAR,substitution,out,[],202711,,,1610612747,18,11,2022-04-01T02:15:53Z,670000,,,0,,SUB out: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M12.00S,2022-04-01T02:13:17.3Z,1,REGULAR,substitution,out,[],201144,,,1610612747,18,11,2022-04-01T02:15:53Z,680000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M12.00S,2022-04-01T02:13:17.3Z,1,REGULAR,substitution,out,[],203497,,,1610612747,18,11,2022-04-01T02:15:53Z,690000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M12.00S,2022-04-01T02:13:17.3Z,1,REGULAR,substitution,out,[],201566,,,1610612747,18,11,2022-04-01T02:15:53Z,700000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M12.00S,2022-04-01T02:13:17.3Z,1,REGULAR,substitution,in,[],202328,,,1610612747,18,11,2022-04-01T02:15:53Z,710000,,,0,,SUB in: G. Monroe,[202328],1610612762.0,UTA,,,,Monroe,G. Monroe,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M12.00S,2022-04-01T02:13:17.3Z,1,REGULAR,substitution,in,[],203903,,,1610612747,18,11,2022-04-01T02:15:53Z,720000,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M12.00S,2022-04-01T02:13:17.3Z,1,REGULAR,substitution,in,[],1627823,,,1610612747,18,11,2022-04-01T02:15:53Z,730000,,,0,,SUB in: J. Hernangomez,[1627823],1610612762.0,UTA,,,,Hernangomez,J. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M12.00S,2022-04-01T02:13:17.3Z,1,REGULAR,substitution,in,[],201571,,,1610612747,18,11,2022-04-01T02:15:53Z,740000,,,0,,SUB in: D. Augustin,[201571],1610612747.0,LAL,,,,Augustin,D. Augustin,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M04.00S,2022-04-01T02:15:55.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628370,28.597240473061763,74.26470588235294,1610612747,18,14,2022-04-01T02:16:03Z,750000,-121.0,216.0,1,left,M. Monk 24' 3PT  (3 PTS),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,Made,,,24.8,3.0,,,,,,,,,,,,
76,PT05M46.00S,2022-04-01T02:16:13.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,66.96780551905388,31.127450980392158,1610612762,18,14,2022-04-01T02:19:36Z,760000,-94.0,258.0,1,right,MISS D. Mitchell 27' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,,,,Missed,,,27.47,,,,,,,,,,,,,
77,PT05M43.00S,2022-04-01T02:16:16.0Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,18,14,2022-04-01T02:16:19Z,770000,,,0,,D. Howard REBOUND (Off:0 Def:3),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,76.0,,,,,,,3.0,3.0,0.0,,,,,,
78,PT05M32.00S,2022-04-01T02:16:27.8Z,1,REGULAR,turnover,bad pass,[],1626169,,,1610612747,18,14,2022-04-01T02:16:32Z,780000,,,0,,S. Johnson bad pass TURNOVER (1 TO),"[1626169, 1628378]",1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,1.0,,,,,,,,,,,,,Mitchell,1628378.0
79,PT05M32.00S,2022-04-01T02:16:27.8Z,1,REGULAR,steal,,[],1628378,,,1610612762,18,14,2022-04-01T02:16:29Z,790000,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M25.00S,2022-04-01T02:16:34.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203903,97.58541392904073,95.34313725490196,1610612762,21,14,2022-04-01T02:16:40Z,800000,227.0,-30.0,1,right,J. Clarkson 3PT  (3 PTS) (G. Monroe 1 AST),"[203903, 202328]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,Made,,,22.87,3.0,G. Monroe,202328.0,1.0,,,,,,,,,
82,PT04M57.00S,2022-04-01T02:17:02.2Z,1,REGULAR,3pt,Jump Shot,[],2772,25.57490144546649,81.61764705882352,1610612747,21,14,2022-04-01T02:17:08Z,820000,-158.0,188.0,1,left,MISS T. Ariza 24' 3PT,[2772],1610612747.0,LAL,,,,Ariza,T. Ariza,,,,,,,,Missed,,,24.56,,,,,,,,,,,,,
83,PT04M55.00S,2022-04-01T02:17:04.2Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,21,14,2022-04-01T02:17:08Z,830000,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,82.0,,,,,,,1.0,1.0,0.0,,,,,,
84,PT04M50.00S,2022-04-01T02:17:10.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203903,73.01248357424441,16.911764705882355,1610612762,21,14,2022-04-01T02:17:17Z,840000,-165.0,201.0,1,right,MISS J. Clarkson 26' step back 3PT,[203903],1610612762.0,UTA,step back,,,Clarkson,J. Clarkson,,,,,,,,Missed,,,26.05,,,,,,,,,,,,,
85,PT04M47.00S,2022-04-01T02:17:13.0Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,21,14,2022-04-01T02:17:17Z,850000,,,0,,D. Howard REBOUND (Off:0 Def:4),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,84.0,,,,,,,4.0,4.0,0.0,,,,,,
86,PT04M37.00S,2022-04-01T02:17:25.8Z,1,REGULAR,foul,personal,['2freethrow'],202328,,,1610612747,21,14,2022-04-01T02:22:21Z,860000,,,0,,G. Monroe shooting personal FOUL (1 PF) (Johnson 2 FT),"[202328, 1626169]",1610612762.0,UTA,shooting,,,Monroe,G. Monroe,,,,,1628172.0,1.0,0.0,,,,,,,,,,,,Johnson,1626169.0,,,,
88,PT04M37.00S,2022-04-01T02:17:53.9Z,1,REGULAR,freethrow,1 of 2,[],1626169,,,1610612747,21,15,2022-04-01T02:17:53Z,880000,,,0,,S. Johnson Free Throw 1 of 2 (1 PTS),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,Made,,,,1.0,,,,,,,,,,,,
89,PT04M37.00S,2022-04-01T02:17:54.8Z,1,REGULAR,substitution,out,[],2772,,,1610612747,21,15,2022-04-01T02:18:01Z,890000,,,0,,SUB out: T. Ariza,[2772],1610612747.0,LAL,,,,Ariza,T. Ariza,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M37.00S,2022-04-01T02:17:54.8Z,1,REGULAR,substitution,out,[],2730,,,1610612747,21,15,2022-04-01T02:18:01Z,900000,,,0,,SUB out: D. Howard,[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M37.00S,2022-04-01T02:17:54.8Z,1,REGULAR,substitution,in,[],2546,,,1610612747,21,15,2022-04-01T02:18:01Z,910000,,,0,,SUB in: C. Anthony,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,
