actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
24,PT10M30.00S,2022-01-01T02:14:09.4Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,1,2,2022-01-01T02:14:13Z,240000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:2),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,
25,PT10M16.00S,2022-01-01T02:14:23.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629675,13.485545335085414,50.245098039215684,1610612750,1,4,2022-01-01T02:14:30Z,250000,-1.0,74.0,1,left,N. Reid 7' turnaround Hook (2 PTS),[1629675],1610612750.0,MIN,turnaround,,,Reid,N. Reid,,,,,,,,7.43,Made,2.0,,,,,,,,,,,,,,
26,PT09M51.00S,2022-01-01T02:14:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,87.86136662286465,35.049019607843135,1610612762,1,4,2022-01-01T02:14:57Z,260000,-75.0,62.0,1,right,MISS B. Bogdanovic 9' turnaround Shot - blocked,"[202711, 1629020]",1610612762.0,UTA,turnaround,,,Bogdanovic,B. Bogdanovic,,,,,,,,9.69,Missed,,,,,,,,,,,Vanderbilt,1629020.0,,,
27,PT09M51.00S,2022-01-01T02:14:47.4Z,1,REGULAR,block,,[],1629020,,,1610612762,1,4,2022-01-01T02:14:50Z,270000,,,0,,J. Vanderbilt BLOCK (1 BLK),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M48.00S,2022-01-01T02:14:50.4Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,1,4,2022-01-01T02:14:57Z,280000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:3),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,26.0,3.0,3.0,0.0,,,,,
29,PT09M33.00S,2022-01-01T02:15:06.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629675,7.440867279894875,45.09803921568628,1610612750,1,4,2022-01-01T02:15:11Z,290000,25.0,17.0,1,left,MISS N. Reid Layup,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,3.01,Missed,,,,,,,,,,,,,,,
30,PT09M31.00S,2022-01-01T02:15:07.3Z,1,REGULAR,rebound,offensive,[],1629675,,,1610612750,1,4,2022-01-01T02:15:07Z,300000,,,0,,N. Reid REBOUND (Off:2 Def:0),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,29.0,2.0,0.0,2.0,,,,,
31,PT09M30.00S,2022-01-01T02:15:08.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629675,7.966491458607096,44.6078431372549,1610612750,1,4,2022-01-01T02:15:16Z,310000,27.0,22.0,1,left,MISS N. Reid Layup - blocked,"[1629675, 203497]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,3.51,Missed,,,,,,,,,,,Gobert,203497.0,,,
32,PT09M30.00S,2022-01-01T02:15:08.8Z,1,REGULAR,block,,[],203497,,,1610612750,1,4,2022-01-01T02:15:12Z,320000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M30.00S,2022-01-01T02:15:08.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,1,4,2022-01-01T02:15:16Z,330000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,
34,PT09M29.00S,2022-01-01T02:15:14.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,1,4,2022-01-01T02:15:14Z,340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M18.00S,2022-01-01T02:15:31.1Z,1,REGULAR,3pt,Jump Shot,[],202711,69.20170827858082,73.2843137254902,1610612762,4,4,2022-01-01T02:15:36Z,350000,116.0,237.0,1,right,B. Bogdanovic 26' 3PT  (3 PTS) (D. Mitchell 1 AST),"[202711, 1628378]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,26.4,Made,3.0,,,,,,,,,,,,D. Mitchell,1628378.0,1.0
37,PT09M08.00S,2022-01-01T02:15:41.0Z,1,REGULAR,3pt,Jump Shot,[],1627736,16.63929040735874,4.901960784313726,1610612750,4,7,2022-01-01T02:15:48Z,370000,225.0,104.0,1,left,M. Beasley 24' 3PT  (3 PTS) (P. Beverley 1 AST),"[1627736, 201976]",1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,24.83,Made,3.0,,,,,,,,,,,,P. Beverley,201976.0,1.0
39,PT08M55.00S,2022-01-01T02:15:55.1Z,1,REGULAR,foul,personal,['2freethrow'],1629675,,,1610612762,4,7,2022-01-01T02:16:00Z,390000,,,0,,N. Reid shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[1629675, 202711]",1610612750.0,MIN,shooting,,,Reid,N. Reid,,,,,,,,,,,1628484.0,1.0,0.0,Bogdanovic,202711.0,,,,,,,,,
41,PT08M55.00S,2022-01-01T02:16:22.1Z,1,REGULAR,freethrow,1 of 2,[],202711,,,1610612762,5,7,2022-01-01T02:16:22Z,410000,,,0,,B. Bogdanovic Free Throw 1 of 2 (4 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
42,PT08M55.00S,2022-01-01T02:16:40.8Z,1,REGULAR,freethrow,2 of 2,[],202711,,,1610612762,6,7,2022-01-01T02:16:40Z,420000,,,0,,B. Bogdanovic Free Throw 2 of 2 (5 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
43,PT08M38.00S,2022-01-01T02:16:59.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629675,14.931011826544022,49.50980392156863,1610612750,6,7,2022-01-01T02:17:06Z,430000,2.0,88.0,1,left,MISS N. Reid 8' floating Shot,[1629675],1610612750.0,MIN,floating,,,Reid,N. Reid,,,,,,,,8.79,Missed,,,,,,,,,,,,,,,
44,PT08M36.00S,2022-01-01T02:17:01.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,6,7,2022-01-01T02:17:06Z,440000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,
45,PT08M25.00S,2022-01-01T02:17:14.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,6,7,2022-01-01T02:17:14Z,450000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M23.00S,2022-01-01T02:17:36.9Z,1,REGULAR,foul,personal,['2freethrow'],201976,,,1610612762,6,7,2022-01-01T02:17:45Z,460000,,,0,,P. Beverley shooting personal FOUL (1 PF) (Gobert 2 FT),"[201976, 203497]",1610612750.0,MIN,shooting,,,Beverley,P. Beverley,,,,,,,,,,,204059.0,1.0,0.0,Gobert,203497.0,,,,,,,,,
48,PT08M23.00S,2022-01-01T02:18:04.1Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612762,7,7,2022-01-01T02:18:04Z,480000,,,0,,R. Gobert Free Throw 1 of 2 (1 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
49,PT08M23.00S,2022-01-01T02:18:19.6Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612762,8,7,2022-01-01T02:18:19Z,490000,,,0,,R. Gobert Free Throw 2 of 2 (2 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
50,PT08M11.00S,2022-01-01T02:18:34.7Z,1,REGULAR,2pt,Jump Shot,[],1630162,13.485545335085414,21.323529411764707,1610612750,8,7,2022-01-01T02:18:41Z,500000,143.0,74.0,1,left,MISS A. Edwards 16' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,,,,16.15,Missed,,,,,,,,,,,,,,,
51,PT08M06.00S,2022-01-01T02:18:39.7Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,8,7,2022-01-01T02:18:41Z,510000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,
52,PT07M55.00S,2022-01-01T02:18:49.7Z,1,REGULAR,turnover,bad pass,[],202711,,,1610612762,8,7,2022-01-01T02:18:54Z,520000,,,0,,B. Bogdanovic bad pass TURNOVER (2 TO),"[202711, 201976]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,2.0,Beverley,201976.0,,,,,,,,,,,,,,,,,
53,PT07M55.00S,2022-01-01T02:18:49.7Z,1,REGULAR,steal,,[],201976,,,1610612750,8,7,2022-01-01T02:18:51Z,530000,,,0,,P. Beverley STEAL (1 STL),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M52.00S,2022-01-01T02:18:55.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,8,7,2022-01-01T02:18:55Z,540000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M47.00S,2022-01-01T02:19:16.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201976,4.5499342969776615,96.32352941176471,1610612750,8,7,2022-01-01T02:19:23Z,550000,-232.0,-10.0,1,left,MISS P. Beverley step back 3PT,[201976],1610612750.0,MIN,step back,,,Beverley,P. Beverley,,,,,,,,23.18,Missed,,,,,,,,,,,,,,,
56,PT07M43.00S,2022-01-01T02:19:20.8Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612762,8,7,2022-01-01T02:19:23Z,560000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,
57,PT07M40.00S,2022-01-01T02:19:25.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629675,,,1610612762,8,7,2022-01-01T02:19:32Z,570000,,,0,,N. Reid shooting personal FOUL (2 PF) (Gobert 2 FT),"[1629675, 203497]",1610612750.0,MIN,shooting,,,Reid,N. Reid,,,,,,,,,,,1628484.0,2.0,0.0,Gobert,203497.0,,,,,,,,,
59,PT07M40.00S,2022-01-01T02:19:57.2Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612762,8,7,2022-01-01T02:19:57Z,590000,,,0,,MISS R. Gobert Free Throw 1 of 2,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,Missed,,,,,,,,,,,,,,,
60,PT07M40.00S,2022-01-01T02:19:57.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,8,7,2022-01-01T02:19:57Z,600000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,
61,PT07M40.00S,2022-01-01T02:19:58.0Z,1,REGULAR,substitution,out,[],1629675,,,1610612762,8,7,2022-01-01T02:20:03Z,610000,,,0,,SUB out: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M40.00S,2022-01-01T02:19:58.0Z,1,REGULAR,substitution,in,[],1630183,,,1610612762,8,7,2022-01-01T02:20:03Z,620000,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M40.00S,2022-01-01T02:20:17.1Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612762,9,7,2022-01-01T02:20:17Z,630000,,,0,,R. Gobert Free Throw 2 of 2 (3 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
64,PT07M29.00S,2022-01-01T02:20:29.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,11.383048620236531,50.245098039215684,1610612750,9,9,2022-01-01T02:20:38Z,640000,-1.0,55.0,1,left,A. Edwards floating Jump Shot (4 PTS) (P. Beverley 2 AST),"[1630162, 201976]",1610612750.0,MIN,floating,,,Edwards,A. Edwards,,,,,,,,5.45,Made,4.0,,,,,,,,,,,,P. Beverley,201976.0,2.0
66,PT07M05.00S,2022-01-01T02:20:55.0Z,1,REGULAR,turnover,traveling,[],1630235,,,1610612762,9,9,2022-01-01T02:21:07Z,660000,,,0,,T. Forrest traveling TURNOVER (1 TO),[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,1.0,,,,,,204059.0,,,,,,,,,,,,,
67,PT06M55.00S,2022-01-01T02:21:18.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630162,27.020367936925098,78.43137254901961,1610612750,9,9,2022-01-01T02:37:12Z,670000,-142.0,201.0,1,left,MISS A. Edwards 24' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,,,,24.66,Missed,,,,,,,,,,,,,,,
68,PT06M52.00S,2022-01-01T02:21:21.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,9,9,2022-01-01T02:21:28Z,680000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,
69,PT06M52.00S,2022-01-01T02:21:23.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629020,,,1610612762,9,9,2022-01-01T02:21:29Z,690000,,,0,,J. Vanderbilt loose ball personal FOUL (2 PF) (Gobert 2 FT),"[1629020, 203497]",1610612750.0,MIN,loose ball,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,204059.0,2.0,0.0,Gobert,203497.0,,,,,,,,,
71,PT06M52.00S,2022-01-01T02:21:31.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,9,9,2022-01-01T02:21:31Z,710000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M52.00S,2022-01-01T02:23:34.5Z,1,REGULAR,substitution,out,[],1630235,,,1610612762,9,9,2022-01-01T02:23:59Z,720000,,,0,,SUB out: T. Forrest,[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M52.00S,2022-01-01T02:23:34.5Z,1,REGULAR,substitution,in,[],203903,,,1610612762,9,9,2022-01-01T02:23:59Z,750000,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M52.00S,2022-01-01T02:24:32.3Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612762,9,9,2022-01-01T02:24:32Z,760000,,,0,,MISS R. Gobert Free Throw 1 of 2,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,Missed,,,,,,,,,,,,,,,
77,PT06M52.00S,2022-01-01T02:24:32.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,9,9,2022-01-01T02:24:32Z,770000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,
78,PT06M52.00S,2022-01-01T02:24:48.1Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612762,10,9,2022-01-01T02:24:48Z,780000,,,0,,R. Gobert Free Throw 2 of 2 (4 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
79,PT06M46.00S,2022-01-01T02:24:58.6Z,1,REGULAR,3pt,Jump Shot,[],1627736,25.18068331143233,14.460784313725492,1610612750,10,12,2022-01-01T02:25:04Z,790000,178.0,184.0,1,left,M. Beasley 25' 3PT  (6 PTS) (A. Edwards 1 AST),"[1627736, 1630162]",1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,25.59,Made,6.0,,,,,,,,,,,,A. Edwards,1630162.0,1.0
81,PT06M20.00S,2022-01-01T02:25:23.4Z,1,REGULAR,3pt,Jump Shot,[],1628378,68.41327201051249,62.00980392156863,1610612762,13,12,2022-01-01T02:25:30Z,810000,60.0,244.0,1,right,D. Mitchell 25' 3PT step back (4 PTS) (B. Bogdanovic 1 AST),"[1628378, 202711]",1610612762.0,UTA,step back,,,Mitchell,D. Mitchell,,,,,,,,25.17,Made,4.0,,,,,,,,,,,,B. Bogdanovic,202711.0,1.0
83,PT05M56.00S,2022-01-01T02:25:47.5Z,1,REGULAR,3pt,Jump Shot,[],1627736,19.793035479632064,6.127450980392156,1610612750,13,12,2022-01-01T02:25:53Z,830000,219.0,134.0,1,left,MISS M. Beasley 25' 3PT,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,25.69,Missed,,,,,,,,,,,,,,,
84,PT05M55.00S,2022-01-01T02:25:48.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,13,12,2022-01-01T02:25:53Z,840000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,,
85,PT05M55.00S,2022-01-01T02:25:51.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,13,12,2022-01-01T02:25:51Z,850000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M55.00S,2022-01-01T02:25:52.4Z,1,REGULAR,substitution,out,[],203497,,,1610612762,13,12,2022-01-01T02:25:58Z,860000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M55.00S,2022-01-01T02:25:52.4Z,1,REGULAR,substitution,out,[],201976,,,1610612762,13,12,2022-01-01T02:25:58Z,870000,,,0,,SUB out: P. Beverley,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M55.00S,2022-01-01T02:25:52.4Z,1,REGULAR,substitution,in,[],202355,,,1610612762,13,12,2022-01-01T02:25:58Z,880000,,,0,,SUB in: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M55.00S,2022-01-01T02:25:52.4Z,1,REGULAR,substitution,in,[],1629162,,,1610612762,13,12,2022-01-01T02:25:58Z,890000,,,0,,SUB in: J. McLaughlin,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M39.00S,2022-01-01T02:26:22.7Z,1,REGULAR,turnover,lost ball,[],1628378,,,1610612762,13,12,2022-01-01T02:26:44Z,900000,,,0,,D. Mitchell lost ball TURNOVER (1 TO),"[1628378, 1629162]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,1.0,McLaughlin,1629162.0,,,,,,,,,,,,,,,,,
91,PT05M39.00S,2022-01-01T02:26:22.7Z,1,REGULAR,steal,,[],1629162,,,1610612750,13,12,2022-01-01T02:26:24Z,910000,,,0,,J. McLaughlin STEAL (1 STL),[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M39.00S,2022-01-01T02:26:25.3Z,1,REGULAR,foul,personal,[],1628378,,,1610612750,13,12,2022-01-01T02:26:38Z,920000,,,0,,D. Mitchell take personal FOUL (1 PF),"[1628378, 1629162]",1610612762.0,UTA,take,,,Mitchell,D. Mitchell,,,,,,,,,,,1627964.0,1.0,0.0,McLaughlin,1629162.0,,,,,,,,,
94,PT05M39.00S,2022-01-01T02:26:33.9Z,1,REGULAR,substitution,out,[],1629020,,,1610612750,13,12,2022-01-01T02:26:37Z,940000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,
