actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
22,PT09M54.00S,2021-11-28T02:13:01.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,6,4,2021-11-28T02:13:01Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M39.00S,2021-11-28T02:13:20.7Z,1,REGULAR,3pt,Jump Shot,[],201144,28.33442838370565,76.7156862745098,1610612762,9,4,2021-11-28T02:13:27Z,230000,-134.0,214.0,1,left,M. Conley 25' 3PT  (7 PTS) (D. Mitchell 3 AST),"[201144, 1628378]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,25.21,Made,7.0,D. Mitchell,1628378.0,3.0,,,,,,,,,,,,,,
25,PT09M23.00S,2021-11-28T02:13:39.2Z,1,REGULAR,turnover,out-of-bounds,[],1627742,,,1610612740,9,4,2021-11-28T02:13:56Z,250000,,,0,,B. Ingram bad pass out-of-bounds TURNOVER (1 TO),[1627742],1610612740.0,NOP,bad pass,,,Ingram,B. Ingram,,,,,,,,,,,,202049.0,,,,,1.0,,,,,,,
26,PT09M03.00S,2021-11-28T02:14:16.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628378,7.703679369250986,60.78431372549019,1610612762,9,4,2021-11-28T02:14:22Z,260000,-54.0,20.0,1,left,MISS D. Mitchell driving Layup,[1628378],1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,5.75,Missed,,,,,,,,,,,,,,,,,,
27,PT09M01.00S,2021-11-28T02:14:18.8Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,9,4,2021-11-28T02:14:22Z,270000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,26.0,,,,,,,1.0,1.0,0.0,,,,
28,PT08M54.00S,2021-11-28T02:14:25.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,88.78120893561103,43.13725490196079,1610612740,9,6,2021-11-28T02:14:31Z,280000,-34.0,53.0,1,right,J. Hart 6' driving Layup (2 PTS) (D. Graham 1 AST),"[1628404, 1628984]",1610612740.0,NOP,driving,,,Hart,J. Hart,,,,,6.31,Made,2.0,D. Graham,1628984.0,1.0,,,,,,,,,,,,,,
30,PT08M46.00S,2021-11-28T02:14:36.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,9,6,2021-11-28T02:14:36Z,300000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT08M40.00S,2021-11-28T02:15:03.6Z,1,REGULAR,3pt,Jump Shot,[],202711,31.61957950065703,34.80392156862745,1610612762,9,6,2021-11-28T02:15:09Z,310000,76.0,245.0,1,left,MISS B. Bogdanovic 25' 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,
32,PT08M36.00S,2021-11-28T02:15:07.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,9,6,2021-11-28T02:15:09Z,320000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,31.0,,,,,,,1.0,1.0,0.0,,,,
33,PT08M25.00S,2021-11-28T02:15:18.6Z,1,REGULAR,2pt,Jump Shot,[],1627742,88.51839684625493,31.862745098039213,1610612740,9,8,2021-11-28T02:15:26Z,330000,-91.0,55.0,1,right,B. Ingram 10' turnaround Jump Shot (2 PTS),[1627742],1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,10.63,Made,2.0,,,,,,,,,,,,,,,,,
34,PT08M10.00S,2021-11-28T02:15:32.3Z,1,REGULAR,3pt,Jump Shot,[],1628378,31.35676741130092,40.931372549019606,1610612762,9,8,2021-11-28T02:18:54Z,340000,45.0,242.0,1,left,MISS D. Mitchell 24' 3PT,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,24.65,Missed,,,,,,,,,,,,,,,,,,
35,PT08M08.00S,2021-11-28T02:15:34.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,9,8,2021-11-28T02:15:37Z,350000,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,34.0,,,,,,,2.0,2.0,0.0,,,,
36,PT07M55.00S,2021-11-28T02:15:47.6Z,1,REGULAR,turnover,bad pass,[],202685,,,1610612740,9,8,2021-11-28T02:15:54Z,360000,,,0,,J. Valanciunas bad pass TURNOVER (1 TO),"[202685, 1628378]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,1.0,,,,Mitchell,1628378.0,,
37,PT07M55.00S,2021-11-28T02:15:47.6Z,1,REGULAR,steal,,[],1628378,,,1610612762,9,8,2021-11-28T02:15:50Z,370000,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
38,PT07M55.00S,2021-11-28T02:15:52.9Z,1,REGULAR,foul,personal,[],1628984,,,1610612762,9,8,2021-11-28T02:16:08Z,380000,,,0,,D. Graham take personal FOUL (1 PF),"[1628984, 1628378]",1610612740.0,NOP,take,,,Graham,D. Graham,,,,,,,,,,,,1627964.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,
40,PT07M44.00S,2021-11-28T02:16:16.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628378,6.258212877792378,30.392156862745097,1610612762,11,8,2021-11-28T02:16:24Z,400000,98.0,6.0,1,left,D. Mitchell 9' pullup Jump Shot (2 PTS),[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,9.82,Made,2.0,,,,,,,,,,,,,,,,,
41,PT07M27.00S,2021-11-28T02:16:34.5Z,1,REGULAR,3pt,Jump Shot,[],1628984,68.01905387647832,76.7156862745098,1610612740,11,8,2021-11-28T02:20:40Z,410000,134.0,248.0,1,right,MISS D. Graham 28' pullup 3PT,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,28.18,Missed,,,,,,,,,,,,,,,,,,
42,PT07M23.00S,2021-11-28T02:16:38.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,11,8,2021-11-28T02:16:39Z,420000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,41.0,,,,,,,1.0,1.0,0.0,,,,
43,PT07M12.00S,2021-11-28T02:16:49.5Z,1,REGULAR,turnover,bad pass,[],203497,,,1610612762,11,8,2021-11-28T02:16:54Z,430000,,,0,,R. Gobert bad pass TURNOVER (1 TO),"[203497, 1630529]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,1.0,,,,Jones,1630529.0,,
44,PT07M12.00S,2021-11-28T02:16:49.5Z,1,REGULAR,steal,,[],1630529,,,1610612740,11,8,2021-11-28T02:16:51Z,440000,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M06.00S,2021-11-28T02:16:54.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628984,93.24901445466492,50.73529411764706,1610612740,11,8,2021-11-28T02:16:59Z,450000,4.0,11.0,1,right,MISS D. Graham driving Layup,[1628984],1610612740.0,NOP,driving,,,Graham,D. Graham,,,,,1.16,Missed,,,,,,,,,,,,,,,,,,
46,PT07M06.00S,2021-11-28T02:16:54.8Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612740,11,8,2021-11-28T02:16:59Z,460000,,,0,,J. Hart REBOUND (Off:1 Def:0),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,45.0,,,,,,,1.0,0.0,1.0,,,,
47,PT07M06.00S,2021-11-28T02:16:57.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover', '2ndchance']",1628404,91.40932982917214,51.470588235294116,1610612740,11,10,2021-11-28T02:17:36Z,470000,7.0,28.0,1,right,J. Hart Layup (4 PTS),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,2.93,Made,4.0,,,,,,,,,,,,,,,,,
48,PT07M06.00S,2021-11-28T02:17:04.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,11,10,2021-11-28T02:17:05Z,480000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M06.00S,2021-11-28T02:19:00.1Z,1,REGULAR,substitution,out,[],201144,,,1610612762,11,10,2021-11-28T02:20:02Z,490000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M06.00S,2021-11-28T02:19:00.1Z,1,REGULAR,substitution,out,[],203497,,,1610612762,11,10,2021-11-28T02:20:02Z,500000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M06.00S,2021-11-28T02:19:00.1Z,1,REGULAR,substitution,out,[],204060,,,1610612762,11,10,2021-11-28T02:20:02Z,510000,,,0,,SUB out: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M06.00S,2021-11-28T02:19:00.1Z,1,REGULAR,substitution,out,[],202685,,,1610612762,11,10,2021-11-28T02:20:02Z,520000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M06.00S,2021-11-28T02:19:00.1Z,1,REGULAR,substitution,in,[],202355,,,1610612762,11,10,2021-11-28T02:20:02Z,530000,,,0,,SUB in: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M06.00S,2021-11-28T02:19:00.1Z,1,REGULAR,substitution,in,[],200752,,,1610612762,11,10,2021-11-28T02:20:02Z,540000,,,0,,SUB in: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M06.00S,2021-11-28T02:19:00.1Z,1,REGULAR,substitution,in,[],203903,,,1610612762,11,10,2021-11-28T02:20:02Z,550000,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M06.00S,2021-11-28T02:19:00.1Z,1,REGULAR,substitution,in,[],1626195,,,1610612762,11,10,2021-11-28T02:20:02Z,560000,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M50.00S,2021-11-28T02:20:16.7Z,1,REGULAR,foul,personal,['2freethrow'],1628404,,,1610612762,11,10,2021-11-28T02:20:26Z,570000,,,0,,J. Hart shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[1628404, 202711]",1610612740.0,NOP,shooting,,,Hart,J. Hart,,,,,,,,,,,,1627964.0,1.0,0.0,Bogdanovic,202711.0,,,,,,,,
59,PT06M50.00S,2021-11-28T02:20:40.6Z,1,REGULAR,freethrow,1 of 2,[],202711,,,1610612762,12,10,2021-11-28T02:20:40Z,590000,,,0,,B. Bogdanovic Free Throw 1 of 2 (1 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
60,PT06M50.00S,2021-11-28T02:21:02.2Z,1,REGULAR,freethrow,2 of 2,[],202711,,,1610612762,13,10,2021-11-28T02:21:02Z,600000,,,0,,B. Bogdanovic Free Throw 2 of 2 (2 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
61,PT06M35.00S,2021-11-28T02:21:20.5Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612740,13,10,2021-11-28T02:21:24Z,610000,,,0,,B. Ingram bad pass TURNOVER (2 TO),"[1627742, 202355]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,2.0,,,,Whiteside,202355.0,,
62,PT06M35.00S,2021-11-28T02:21:20.5Z,1,REGULAR,steal,,[],202355,,,1610612762,13,10,2021-11-28T02:21:22Z,620000,,,0,,H. Whiteside STEAL (1 STL),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M25.00S,2021-11-28T02:21:29.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628378,8.754927726675426,32.35294117647059,1610612762,13,10,2021-11-28T02:21:37Z,630000,88.0,30.0,1,left,MISS D. Mitchell 9' driving floating Shot,[1628378],1610612762.0,UTA,driving floating,,,Mitchell,D. Mitchell,,,,,9.31,Missed,,,,,,,,,,,,,,,,,,
64,PT06M23.00S,2021-11-28T02:21:31.6Z,1,REGULAR,rebound,offensive,[],1628378,,,1610612762,13,10,2021-11-28T02:21:31Z,640000,,,0,,D. Mitchell REBOUND (Off:1 Def:0),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,63.0,,,,,,,1.0,0.0,1.0,,,,
65,PT06M16.00S,2021-11-28T02:21:39.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",200752,34.773324572930356,51.71568627450981,1610612762,16,10,2021-11-28T02:21:43Z,650000,-9.0,274.0,1,left,R. Gay 27' 3PT  (3 PTS) (J. Clarkson 1 AST),"[200752, 203903]",1610612762.0,UTA,,,,Gay,R. Gay,,,,,27.45,Made,3.0,J. Clarkson,203903.0,1.0,,,,,,,,,,,,,,
67,PT06M02.00S,2021-11-28T02:22:01.3Z,1,REGULAR,2pt,Jump Shot,[],1627742,78.9257555847569,56.372549019607845,1610612740,16,12,2021-11-28T02:22:59Z,670000,32.0,146.0,1,right,B. Ingram 14' fadeaway Jump Shot (4 PTS) (J. Hart 1 AST),"[1627742, 1628404]",1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,14.91,Made,4.0,J. Hart,1628404.0,1.0,,,,,,,,,,,,,,
69,PT05M50.00S,2021-11-28T02:22:15.2Z,1,REGULAR,foul,personal,[],1628404,,,1610612762,16,12,2021-11-28T02:22:38Z,690000,,,0,,J. Hart personal FOUL (2 PF),"[1628404, 202355]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,2714.0,2.0,0.0,Whiteside,202355.0,,,,,,,,
71,PT05M37.00S,2021-11-28T02:22:57.9Z,1,REGULAR,3pt,Jump Shot,[],203903,25.706307490144546,15.441176470588236,1610612762,19,12,2021-11-28T02:23:35Z,710000,173.0,189.0,1,left,J. Clarkson 25' 3PT pullup (3 PTS),[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,25.62,Made,3.0,,,,,,,,,,,,,,,,,
72,PT05M25.00S,2021-11-28T02:23:09.2Z,1,REGULAR,3pt,Jump Shot,[],1628984,77.08607095926413,11.029411764705882,1610612740,19,12,2021-11-28T02:23:52Z,720000,-195.0,163.0,1,right,MISS D. Graham 25' pullup 3PT,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,25.4,Missed,,,,,,,,,,,,,,,,,,
73,PT05M24.00S,2021-11-28T02:23:10.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,19,12,2021-11-28T02:23:13Z,730000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,
74,PT05M24.00S,2021-11-28T02:23:13.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,19,12,2021-11-28T02:23:13Z,740000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M24.00S,2021-11-28T02:23:17.2Z,1,REGULAR,substitution,out,[],1628984,,,1610612762,19,12,2021-11-28T02:23:24Z,750000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M24.00S,2021-11-28T02:23:17.2Z,1,REGULAR,substitution,in,[],1630184,,,1610612762,19,12,2021-11-28T02:23:24Z,760000,,,0,,SUB in: K. Lewis Jr.,[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M04.00S,2021-11-28T02:23:50.6Z,1,REGULAR,foul,personal,['2freethrow'],1626195,,,1610612762,19,12,2021-11-28T02:24:00Z,770000,,,0,,W. Hernangomez shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[1626195, 202711]",1610612740.0,NOP,shooting,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,202049.0,1.0,0.0,Bogdanovic,202711.0,,,,,,,,
79,PT05M04.00S,2021-11-28T02:24:21.9Z,1,REGULAR,freethrow,1 of 2,[],202711,,,1610612762,20,12,2021-11-28T02:24:21Z,790000,,,0,,B. Bogdanovic Free Throw 1 of 2 (3 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
80,PT05M04.00S,2021-11-28T02:24:39.6Z,1,REGULAR,freethrow,2 of 2,[],202711,,,1610612762,21,12,2021-11-28T02:24:39Z,800000,,,0,,B. Bogdanovic Free Throw 2 of 2 (4 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
81,PT04M50.00S,2021-11-28T02:24:54.8Z,1,REGULAR,turnover,lost ball,[],1627742,,,1610612740,21,12,2021-11-28T02:25:01Z,810000,,,0,,B. Ingram lost ball TURNOVER (3 TO),"[1627742, 200752]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,3.0,,,,Gay,200752.0,,
82,PT04M50.00S,2021-11-28T02:24:54.8Z,1,REGULAR,steal,,[],200752,,,1610612762,21,12,2021-11-28T02:24:56Z,820000,,,0,,R. Gay STEAL (1 STL),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M46.00S,2021-11-28T02:24:59.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",200752,7.835085413929041,48.28431372549019,1610612762,21,12,2021-11-28T02:25:46Z,830000,9.0,21.0,1,left,MISS R. Gay running Layup - blocked,"[200752, 1627742]",1610612762.0,UTA,running,,,Gay,R. Gay,,,,,2.28,Missed,,,,,,,,,,,,,,,,,Ingram,1627742.0
84,PT04M46.00S,2021-11-28T02:24:59.5Z,1,REGULAR,block,,[],1627742,,,1610612762,21,12,2021-11-28T02:25:01Z,840000,,,0,,B. Ingram BLOCK (1 BLK),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M43.00S,2021-11-28T02:25:02.5Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,21,12,2021-11-28T02:25:08Z,850000,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,83.0,,,,,,,1.0,1.0,0.0,,,,
86,PT04M38.00S,2021-11-28T02:25:07.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,87.33574244415243,57.59803921568627,1610612740,21,12,2021-11-28T02:26:46Z,860000,38.0,67.0,1,right,MISS B. Ingram 7' driving Layup - blocked,"[1627742, 1628378]",1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,7.66,Missed,,,,,,,,,,,,,,,,,Mitchell,1628378.0
87,PT04M38.00S,2021-11-28T02:25:07.4Z,1,REGULAR,block,,[],1628378,,,1610612740,21,12,2021-11-28T02:25:09Z,870000,,,0,,D. Mitchell BLOCK (1 BLK),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M38.00S,2021-11-28T02:25:07.4Z,1,REGULAR,rebound,offensive,[],1627742,,,1610612740,21,12,2021-11-28T02:25:13Z,880000,,,0,,B. Ingram REBOUND (Off:1 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,86.0,,,,,,,2.0,1.0,1.0,,,,
89,PT04M33.00S,2021-11-28T02:25:12.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626195,90.62089356110381,58.333333333333336,1610612740,21,14,2021-11-28T02:25:19Z,890000,42.0,36.0,1,right,W. Hernangomez floating Jump Shot (2 PTS) (B. Ingram 2 AST),"[1626195, 1627742]",1610612740.0,NOP,floating,,,Hernangomez,W. Hernangomez,,,,,5.49,Made,2.0,B. Ingram,1627742.0,2.0,,,,,,,,,,,,,,
91,PT04M18.00S,2021-11-28T02:25:28.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,30.042706964520367,74.26470588235294,1610612762,24,14,2021-11-28T02:27:17Z,910000,-121.0,230.0,1,left,D. Mitchell 25' 3PT pullup (5 PTS),[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,25.99,Made,5.0,,,,,,,,,,,,,,,,,
