actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
30,PT09M15.00S,2021-10-27T02:07:01.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,5.601182654402102,54.65686274509803,1610612743,8,9,2021-10-27T02:07:07Z,300000,-23.0,0.0,1,left,A. Gordon Layup (4 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,2.33,Made,4.0,,,,,,,,,,,,,,,
31,PT09M00.00S,2021-10-27T02:07:16.8Z,1,REGULAR,3pt,Jump Shot,[],202711,71.56701708278581,73.77450980392157,1610612762,11,9,2021-10-27T02:07:22Z,310000,119.0,215.0,1,right,B. Bogdanovic 24' 3PT step back (3 PTS) (R. O'Neale 1 AST),"[202711, 1626220]",1610612762.0,UTA,step back,,,Bogdanovic,B. Bogdanovic,,,,,,,,24.55,Made,3.0,,,,,,,,,,R. O'Neale,1626220.0,1.0,,,
33,PT08M39.00S,2021-10-27T02:07:40.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,7.966491458607096,49.754901960784316,1610612743,11,11,2021-10-27T02:07:44Z,330000,1.0,22.0,1,left,N. Jokic Hook (5 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,2.24,Made,5.0,,,,,,,,,,,,,,,
34,PT08M39.00S,2021-10-27T02:07:42.8Z,1,REGULAR,foul,personal,['1freethrow'],203497,,,1610612743,11,11,2021-10-27T02:07:48Z,340000,,,0,,R. Gobert shooting personal FOUL (1 PF) (Jokic 1 FT),"[203497, 203999]",1610612762.0,UTA,shooting,,,Gobert,R. Gobert,,,,,,,,,,,1627961.0,1.0,0.0,Jokic,203999.0,,,,,,,,,,
36,PT08M39.00S,2021-10-27T02:08:11.6Z,1,REGULAR,freethrow,1 of 1,[],203999,,,1610612743,11,12,2021-10-27T02:08:11Z,360000,,,0,,N. Jokic Free Throw 1 of 1 (6 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
37,PT08M29.00S,2021-10-27T02:08:24.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,91.40932982917214,50.245098039215684,1610612762,13,12,2021-10-27T02:08:36Z,370000,1.0,28.0,1,right,R. Gobert cutting finger roll Layup (3 PTS) (M. Conley 1 AST),"[203497, 201144]",1610612762.0,UTA,cutting finger roll,,,Gobert,R. Gobert,,,,,,,,2.83,Made,3.0,,,,,,,,,,M. Conley,201144.0,1.0,,,
39,PT08M03.00S,2021-10-27T02:08:50.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,8.492115637319317,45.09803921568628,1610612743,13,14,2021-10-27T02:08:55Z,390000,25.0,27.0,1,left,N. Jokic turnaround Hook (8 PTS),[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,,,,3.67,Made,8.0,,,,,,,,,,,,,,,
40,PT07M53.00S,2021-10-27T02:09:01.5Z,1,REGULAR,2pt,Jump Shot,[],1628378,76.03482260183968,27.696078431372552,1610612762,15,14,2021-10-27T02:09:09Z,400000,-112.0,173.0,1,right,D. Mitchell 20' pullup Jump Shot (4 PTS),[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,,,,20.57,Made,4.0,,,,,,,,,,,,,,,
41,PT07M51.00S,2021-10-27T02:09:06.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,15,14,2021-10-27T02:09:06Z,410000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M36.00S,2021-10-27T02:12:59.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203932,15.062417871222076,47.549019607843135,1610612743,15,16,2021-10-27T02:13:52Z,420000,12.0,89.0,1,left,A. Gordon 8' turnaround fadeaway Jump Shot (6 PTS),[203932],1610612743.0,DEN,turnaround fadeaway,,,Gordon,A. Gordon,,,,,,,,8.99,Made,6.0,,,,,,,,,,,,,,,
43,PT07M20.00S,2021-10-27T02:13:16.3Z,1,REGULAR,foul,personal,[],203932,,,1610612762,15,16,2021-10-27T02:13:22Z,430000,,,0,,A. Gordon personal FOUL (1 PF),"[203932, 202711]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,2714.0,1.0,0.0,Bogdanovic,202711.0,,,,,,,,,,
45,PT07M10.00S,2021-10-27T02:13:41.1Z,1,REGULAR,3pt,Jump Shot,[],202711,72.22404730617609,20.098039215686274,1610612762,15,16,2021-10-27T02:13:47Z,450000,-150.0,209.0,1,right,MISS B. Bogdanovic 25' step back 3PT,[202711],1610612762.0,UTA,step back,,,Bogdanovic,B. Bogdanovic,,,,,,,,25.66,Missed,,,,,,,,,,,,,,,,
46,PT07M07.00S,2021-10-27T02:13:44.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,15,16,2021-10-27T02:13:47Z,460000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,45.0,2.0,2.0,0.0,,,,,,
47,PT07M01.00S,2021-10-27T02:13:50.0Z,1,REGULAR,2pt,Jump Shot,[],1628420,17.16491458607096,13.970588235294118,1610612743,15,16,2021-10-27T02:13:58Z,470000,180.0,109.0,1,left,MISS M. Morris 21' pullup Shot,[1628420],1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,,,,21.05,Missed,,,,,,,,,,,,,,,,
48,PT06M58.00S,2021-10-27T02:13:53.0Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,15,16,2021-10-27T02:13:58Z,480000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,
49,PT06M45.00S,2021-10-27T02:14:06.8Z,1,REGULAR,3pt,Jump Shot,[],1626220,70.25295663600527,12.254901960784313,1610612762,15,16,2021-10-27T02:14:11Z,490000,-189.0,227.0,1,right,MISS R. O'Neale 29' 3PT,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,29.53,Missed,,,,,,,,,,,,,,,,
50,PT06M42.00S,2021-10-27T02:14:09.8Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,15,16,2021-10-27T02:14:11Z,500000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,
51,PT06M36.00S,2021-10-27T02:14:18.1Z,1,REGULAR,foul,personal,[],1628378,,,1610612743,15,16,2021-10-27T02:14:48Z,510000,,,0,,D. Mitchell personal FOUL (1 PF),"[1628378, 203115]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,1627961.0,1.0,0.0,Barton,203115.0,,,,,,,,,,
53,PT06M36.00S,2021-10-27T02:14:27.1Z,1,REGULAR,substitution,out,[],201144,,,1610612743,15,16,2021-10-27T02:14:32Z,530000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M36.00S,2021-10-27T02:14:27.1Z,1,REGULAR,substitution,out,[],203497,,,1610612743,15,16,2021-10-27T02:14:32Z,540000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M36.00S,2021-10-27T02:14:27.1Z,1,REGULAR,substitution,in,[],202355,,,1610612743,15,16,2021-10-27T02:14:32Z,550000,,,0,,SUB in: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M36.00S,2021-10-27T02:14:27.1Z,1,REGULAR,substitution,in,[],204060,,,1610612743,15,16,2021-10-27T02:14:32Z,560000,,,0,,SUB in: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M34.00S,2021-10-27T02:14:51.1Z,1,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,15,16,2021-10-27T02:14:58Z,570000,,,0,,A. Gordon bad pass out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,bad pass,,,Gordon,A. Gordon,,,,,1.0,,,,,,2002.0,,,,,,,,,,,,,,
70,PT06M34.00S,2021-10-27T02:15:00.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,15,16,2021-10-27T02:15:58Z,575000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M26.00S,2021-10-27T02:15:09.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202711,68.67608409986859,30.637254901960787,1610612762,15,16,2021-10-27T02:15:13Z,580000,-97.0,242.0,1,right,MISS B. Bogdanovic 26' 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,26.05,Missed,,,,,,,,,,,,,,,,
59,PT06M23.00S,2021-10-27T02:15:12.2Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,15,16,2021-10-27T02:15:13Z,590000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,
60,PT06M16.00S,2021-10-27T02:15:18.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,8.492115637319317,44.6078431372549,1610612743,15,16,2021-10-27T02:15:23Z,600000,27.0,27.0,1,left,MISS M. Porter Jr. driving Layup,[1629008],1610612743.0,DEN,driving,,,Porter Jr.,M. Porter Jr.,,,,,,,,3.84,Missed,,,,,,,,,,,,,,,,
61,PT06M15.00S,2021-10-27T02:15:19.4Z,1,REGULAR,rebound,defensive,[],204060,,,1610612762,15,16,2021-10-27T02:15:23Z,610000,,,0,,J. Ingles REBOUND (Off:0 Def:1),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,60.0,1.0,1.0,0.0,,,,,,
62,PT06M11.00S,2021-10-27T02:15:23.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626220,92.72339027595268,95.83333333333334,1610612762,18,16,2021-10-27T02:15:29Z,620000,229.0,16.0,1,right,R. O'Neale 3PT  (3 PTS) (D. Mitchell 2 AST),"[1626220, 1628378]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,22.98,Made,3.0,,,,,,,,,,D. Mitchell,1628378.0,2.0,,,
64,PT05M53.00S,2021-10-27T02:15:41.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628420,5.601182654402102,45.588235294117645,1610612743,18,18,2021-10-27T02:15:47Z,640000,22.0,0.0,1,left,M. Morris driving Layup (4 PTS) (N. Jokic 1 AST),"[1628420, 203999]",1610612743.0,DEN,driving,,,Morris,M. Morris,,,,,,,,2.21,Made,4.0,,,,,,,,,,N. Jokic,203999.0,1.0,,,
66,PT05M45.00S,2021-10-27T02:15:49.9Z,1,REGULAR,3pt,Jump Shot,[],1628378,66.3107752956636,17.401960784313726,1610612762,18,18,2021-10-27T02:15:55Z,660000,-163.0,264.0,1,right,MISS D. Mitchell 31' 3PT,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,31.04,Missed,,,,,,,,,,,,,,,,
67,PT05M42.00S,2021-10-27T02:15:52.4Z,1,REGULAR,rebound,offensive,[],1626220,,,1610612762,18,18,2021-10-27T02:15:52Z,670000,,,0,,R. O'Neale REBOUND (Off:1 Def:0),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,66.0,1.0,0.0,1.0,,,,,,
68,PT05M41.00S,2021-10-27T02:15:53.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626220,74.06373193166885,14.705882352941178,1610612762,18,18,2021-10-27T02:15:58Z,680000,-176.0,191.0,1,right,MISS R. O'Neale 26' 3PT,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,26.03,Missed,,,,,,,,,,,,,,,,
69,PT05M38.00S,2021-10-27T02:15:56.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,18,18,2021-10-27T02:15:58Z,690000,,,0,,N. Jokic REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,68.0,3.0,3.0,0.0,,,,,,
71,PT05M23.00S,2021-10-27T02:16:11.3Z,1,REGULAR,turnover,bad pass,[],203115,,,1610612743,18,18,2021-10-27T02:16:15Z,700000,,,0,,W. Barton bad pass TURNOVER (1 TO),"[203115, 1626220]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,1.0,O'Neale,1626220.0,,,,,,,,,,,,,,,,,,
72,PT05M23.00S,2021-10-27T02:16:11.3Z,1,REGULAR,steal,,[],1626220,,,1610612762,18,18,2021-10-27T02:16:12Z,710000,,,0,,R. O'Neale STEAL (1 STL),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M13.00S,2021-10-27T02:16:22.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628378,66.3107752956636,21.323529411764707,1610612762,18,18,2021-10-27T02:16:27Z,720000,-143.0,264.0,1,right,MISS D. Mitchell 30' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,,,,30.06,Missed,,,,,,,,,,,,,,,,
74,PT05M10.00S,2021-10-27T02:16:25.0Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,18,18,2021-10-27T02:16:27Z,730000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,73.0,2.0,2.0,0.0,,,,,,
75,PT05M05.00S,2021-10-27T02:16:33.4Z,1,REGULAR,foul,personal,['2freethrow'],202355,,,1610612743,18,18,2021-10-27T02:16:41Z,740000,,,0,,H. Whiteside shooting personal FOUL (1 PF) (Barton 2 FT),"[202355, 203115]",1610612762.0,UTA,shooting,,,Whiteside,H. Whiteside,,,,,,,,,,,2002.0,1.0,0.0,Barton,203115.0,,,,,,,,,,
77,PT05M05.00S,2021-10-27T02:16:59.9Z,1,REGULAR,freethrow,1 of 2,[],203115,,,1610612743,18,18,2021-10-27T02:17:00Z,760000,,,0,,MISS W. Barton Free Throw 1 of 2,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,Missed,,,,,,,,,,,,,,,,
78,PT05M05.00S,2021-10-27T02:16:59.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,18,18,2021-10-27T02:17:00Z,770000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,
79,PT05M05.00S,2021-10-27T02:17:11.3Z,1,REGULAR,freethrow,2 of 2,[],203115,,,1610612743,18,19,2021-10-27T02:17:11Z,780000,,,0,,W. Barton Free Throw 2 of 2 (1 PTS),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
80,PT04M46.00S,2021-10-27T02:17:33.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202355,92.46057818659659,53.431372549019606,1610612762,20,19,2021-10-27T02:17:37Z,790000,17.0,18.0,1,right,H. Whiteside DUNK (2 PTS),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,2.52,Made,2.0,,,,,,,,,,,,,,,
81,PT04M37.00S,2021-10-27T02:17:41.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629008,19.66162943495401,62.745098039215684,1610612743,20,21,2021-10-27T02:17:47Z,800000,-64.0,132.0,1,left,M. Porter Jr. 14' Jump Shot (2 PTS) (N. Jokic 2 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,14.68,Made,2.0,,,,,,,,,,N. Jokic,203999.0,2.0,,,
82,PT04M23.00S,2021-10-27T02:17:55.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,92.59198423127464,45.588235294117645,1610612762,22,21,2021-10-27T02:18:00Z,810000,-22.0,17.0,1,right,B. Bogdanovic driving Layup (5 PTS) (D. Mitchell 3 AST),"[202711, 1628378]",1610612762.0,UTA,driving,,,Bogdanovic,B. Bogdanovic,,,,,,,,2.79,Made,5.0,,,,,,,,,,D. Mitchell,1628378.0,3.0,,,
83,PT04M08.00S,2021-10-27T02:18:10.8Z,1,REGULAR,2pt,Jump Shot,[],1629008,8.09789750328515,82.84313725490196,1610612743,22,23,2021-10-27T02:18:17Z,820000,-164.0,24.0,1,left,M. Porter Jr. 16' step back Jump Shot (4 PTS) (N. Jokic 3 AST),"[1629008, 203999]",1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,,,,16.59,Made,4.0,,,,,,,,,,N. Jokic,203999.0,3.0,,,
85,PT03M55.00S,2021-10-27T02:18:24.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202355,92.06636005256242,48.529411764705884,1610612762,24,23,2021-10-27T02:18:29Z,840000,-7.0,22.0,1,right,H. Whiteside cutting Layup (4 PTS) (J. Ingles 1 AST),"[202355, 204060]",1610612762.0,UTA,cutting,,,Whiteside,H. Whiteside,,,,,,,,2.33,Made,4.0,,,,,,,,,,J. Ingles,204060.0,1.0,,,
87,PT03M43.00S,2021-10-27T02:18:39.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202355,,,1610612743,24,23,2021-10-27T02:18:55Z,860000,,,0,,H. Whiteside personal FOUL (2 PF) (Jokic 2 FT),"[202355, 203999]",1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,2002.0,2.0,0.0,Jokic,203999.0,,,,,,,,,,
89,PT03M43.00S,2021-10-27T02:19:21.9Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,24,23,2021-10-27T02:19:21Z,880000,,,0,,MISS N. Jokic Free Throw 1 of 2,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,Missed,,,,,,,,,,,,,,,,
90,PT03M43.00S,2021-10-27T02:19:21.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,24,23,2021-10-27T02:19:21Z,890000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,
91,PT03M43.00S,2021-10-27T02:19:22.6Z,1,REGULAR,substitution,out,[],202711,,,1610612743,24,23,2021-10-27T02:19:29Z,900000,,,0,,SUB out: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
