actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT10M14.00S,2022-02-26T02:12:14.8Z,1,REGULAR,3pt,Jump Shot,[],202711,87.46714848883047,95.09803921568627,1610612762,2,7,2022-02-26T02:12:20Z,190000,225.0,65.0,1,right,MISS B. Bogdanovic 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,23.48,Missed,,,,,,,,,,,,,,,,,,
20,PT10M10.00S,2022-02-26T02:12:18.8Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,2,7,2022-02-26T02:12:20Z,200000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,
21,PT09M54.00S,2022-02-26T02:12:35.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203939,8.754927726675426,49.50980392156863,1610612742,2,9,2022-02-26T02:12:41Z,210000,2.0,30.0,1,left,D. Powell turnaround Hook (4 PTS) (R. Bullock 1 AST),"[203939, 203493]",1610612742.0,DAL,turnaround,,,Powell,D. Powell,,,,,2.99,Made,4.0,R. Bullock,203493.0,1.0,,,,,,,,,,,,,,
23,PT09M42.00S,2022-02-26T02:12:46.4Z,1,REGULAR,3pt,Jump Shot,[],1628378,82.60512483574244,4.166666666666666,1610612762,5,9,2022-02-26T02:12:51Z,230000,-229.0,111.0,1,right,D. Mitchell 25' 3PT  (3 PTS) (M. Conley 1 AST),"[1628378, 201144]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,25.47,Made,3.0,M. Conley,201144.0,1.0,,,,,,,,,,,,,,
25,PT09M26.00S,2022-02-26T02:13:03.0Z,1,REGULAR,2pt,Jump Shot,[],1628973,20.318659658344284,25.735294117647058,1610612742,5,11,2022-02-26T02:13:08Z,250000,121.0,138.0,1,left,J. Brunson 18' pullup Jump Shot (4 PTS),[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,18.41,Made,4.0,,,,,,,,,,,,,,,,,
26,PT09M08.00S,2022-02-26T02:13:20.9Z,1,REGULAR,3pt,Jump Shot,[],201144,91.40932982917214,2.2058823529411766,1610612762,8,11,2022-02-26T02:13:25Z,260000,-239.0,28.0,1,right,M. Conley 24' 3PT  (3 PTS) (R. O'Neale 1 AST),"[201144, 1626220]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,24.07,Made,3.0,R. O'Neale,1626220.0,1.0,,,,,,,,,,,,,,
28,PT08M54.00S,2022-02-26T02:13:34.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,14.011169513797633,35.049019607843135,1610612742,8,13,2022-02-26T02:13:51Z,280000,75.0,79.0,1,left,L. Doncic 10' driving floating Jump Shot (2 PTS),[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,10.89,Made,2.0,,,,,,,,,,,,,,,,,
29,PT08M42.00S,2022-02-26T02:13:46.1Z,1,REGULAR,3pt,Jump Shot,[],201144,67.23061760840999,47.794117647058826,1610612762,11,13,2022-02-26T02:13:50Z,290000,-11.0,256.0,1,right,M. Conley 25' 3PT pullup (6 PTS),[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,25.57,Made,6.0,,,,,,,,,,,,,,,,,
30,PT08M29.00S,2022-02-26T02:13:59.9Z,1,REGULAR,3pt,Jump Shot,[],203939,32.14520367936925,46.32352941176471,1610612742,11,16,2022-02-26T02:14:05Z,300000,18.0,250.0,1,left,D. Powell 25' 3PT  (7 PTS) (L. Doncic 4 AST),"[203939, 1629029]",1610612742.0,DAL,,,,Powell,D. Powell,,,,,25.04,Made,7.0,L. Doncic,1629029.0,4.0,,,,,,,,,,,,,,
32,PT08M07.00S,2022-02-26T02:14:21.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,84.70762155059133,53.67647058823529,1610612762,11,16,2022-02-26T02:14:26Z,320000,18.0,91.0,1,right,MISS B. Bogdanovic 9' turnaround fadeaway Shot,[202711],1610612762.0,UTA,turnaround fadeaway,,,Bogdanovic,B. Bogdanovic,,,,,9.3,Missed,,,,,,,,,,,,,,,,,,
33,PT08M04.00S,2022-02-26T02:14:24.6Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,11,16,2022-02-26T02:14:26Z,330000,,,0,,D. Powell REBOUND (Off:0 Def:2),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,,
34,PT07M53.00S,2022-02-26T02:14:37.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,12.959921156373195,37.5,1610612742,11,16,2022-02-26T02:14:43Z,340000,62.0,69.0,1,left,MISS L. Doncic 9' Layup - blocked,"[1629029, 203497]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,9.33,Missed,,,,,,,,,,,,Gobert,203497.0,,,,,
35,PT07M53.00S,2022-02-26T02:14:37.3Z,1,REGULAR,block,,[],203497,,,1610612742,11,16,2022-02-26T02:14:39Z,350000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
36,PT07M53.00S,2022-02-26T02:14:37.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,11,16,2022-02-26T02:14:43Z,360000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,
37,PT07M53.00S,2022-02-26T02:14:41.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,11,16,2022-02-26T02:14:41Z,370000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT07M45.00S,2022-02-26T02:15:07.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628973,8.754927726675426,65.68627450980392,1610612742,11,16,2022-02-26T02:15:13Z,380000,-78.0,30.0,1,left,MISS J. Brunson 8' fadeaway Shot,[1628973],1610612742.0,DAL,fadeaway,,,Brunson,J. Brunson,,,,,8.39,Missed,,,,,,,,,,,,,,,,,,
39,PT07M42.00S,2022-02-26T02:15:10.0Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,11,16,2022-02-26T02:15:13Z,390000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,
40,PT07M33.00S,2022-02-26T02:15:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,93.64323258869908,54.166666666666664,1610612762,13,16,2022-02-26T02:15:26Z,400000,21.0,7.0,1,right,R. Gobert reverse Layup (2 PTS) (R. O'Neale 2 AST),"[203497, 1626220]",1610612762.0,UTA,reverse,,,Gobert,R. Gobert,,,,,2.2,Made,2.0,R. O'Neale,1626220.0,2.0,,,,,,,,,,,,,,
42,PT07M16.00S,2022-02-26T02:15:39.1Z,1,REGULAR,foul,personal,[],1626220,,,1610612742,13,16,2022-02-26T02:15:43Z,420000,,,0,,R. O'Neale personal FOUL (1 PF),"[1626220, 203939]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Powell,203939.0
44,PT07M16.00S,2022-02-26T02:15:51.4Z,1,REGULAR,substitution,out,[],201144,,,1610612742,13,16,2022-02-26T02:15:57Z,440000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M16.00S,2022-02-26T02:15:51.4Z,1,REGULAR,substitution,out,[],203497,,,1610612742,13,16,2022-02-26T02:15:57Z,450000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M16.00S,2022-02-26T02:15:51.4Z,1,REGULAR,substitution,in,[],1630235,,,1610612742,13,16,2022-02-26T02:15:57Z,460000,,,0,,SUB in: T. Forrest,[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M16.00S,2022-02-26T02:15:51.4Z,1,REGULAR,substitution,in,[],202355,,,1610612742,13,16,2022-02-26T02:15:57Z,470000,,,0,,SUB in: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M07.00S,2022-02-26T02:16:21.3Z,1,REGULAR,foul,personal,['2freethrow'],1630235,,,1610612742,13,16,2022-02-26T02:16:26Z,480000,,,0,,T. Forrest shooting personal FOUL (1 PF) (Doncic 2 FT),"[1630235, 1629029]",1610612762.0,UTA,shooting,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,1199.0,1.0,0.0,Doncic,1629029.0
50,PT07M07.00S,2022-02-26T02:16:49.6Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,13,17,2022-02-26T02:16:49Z,500000,,,0,,L. Doncic Free Throw 1 of 2 (3 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
51,PT07M07.00S,2022-02-26T02:17:11.3Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,13,18,2022-02-26T02:17:11Z,510000,,,0,,L. Doncic Free Throw 2 of 2 (4 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
52,PT06M58.00S,2022-02-26T02:17:24.7Z,1,REGULAR,3pt,Jump Shot,[],1628378,70.38436268068331,24.019607843137255,1610612762,16,18,2022-02-26T02:17:30Z,520000,-130.0,226.0,1,right,D. Mitchell 26' 3PT pullup (6 PTS),[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,26.06,Made,6.0,,,,,,,,,,,,,,,,,
53,PT06M39.00S,2022-02-26T02:17:43.6Z,1,REGULAR,2pt,Layup,[],203939,9.198423127463863,28.044577205882355,1610612742,16,20,2022-02-26T02:17:49Z,530000,110.0,34.0,1,left,D. Powell 11' Layup (9 PTS) (L. Doncic 5 AST),"[203939, 1629029]",1610612742.0,DAL,,,,Powell,D. Powell,,,,,11.49,Made,9.0,L. Doncic,1629029.0,5.0,,,,,,,,,,,,,,
55,PT06M28.00S,2022-02-26T02:17:53.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630235,88.51839684625493,40.68627450980392,1610612762,18,20,2022-02-26T02:17:57Z,550000,-47.0,55.0,1,right,T. Forrest 7' floating Jump Shot (2 PTS),[1630235],1610612762.0,UTA,floating,,,Forrest,T. Forrest,,,,,7.24,Made,2.0,,,,,,,,,,,,,,,,,
56,PT06M17.00S,2022-02-26T02:18:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,8.09789750328515,43.627450980392155,1610612742,18,20,2022-02-26T02:18:09Z,560000,32.0,24.0,1,left,MISS L. Doncic driving Layup,[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,3.97,Missed,,,,,,,,,,,,,,,,,,
57,PT06M15.00S,2022-02-26T02:18:07.1Z,1,REGULAR,rebound,defensive,[],1630235,,,1610612762,18,20,2022-02-26T02:18:09Z,570000,,,0,,T. Forrest REBOUND (Off:0 Def:1),[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,,
58,PT06M10.00S,2022-02-26T02:18:12.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628378,66.17936925098554,32.59803921568628,1610612762,18,20,2022-02-26T02:18:20Z,580000,-87.0,265.0,1,right,MISS D. Mitchell 27' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,27.93,Missed,,,,,,,,,,,,,,,,,,
59,PT06M06.00S,2022-02-26T02:18:15.7Z,1,REGULAR,rebound,offensive,[],202355,,,1610612762,18,20,2022-02-26T02:18:15Z,590000,,,0,,H. Whiteside REBOUND (Off:1 Def:0),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,58.0,1.0,0.0,1.0,,,,,,,,,,
60,PT06M04.00S,2022-02-26T02:18:17.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202711,83.52496714848883,93.87254901960785,1610612762,18,20,2022-02-26T02:18:24Z,600000,219.0,102.0,1,right,MISS B. Bogdanovic 24' 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,24.21,Missed,,,,,,,,,,,,,,,,,,
61,PT06M02.00S,2022-02-26T02:18:19.4Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,18,20,2022-02-26T02:18:24Z,610000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:2),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,
62,PT05M57.00S,2022-02-26T02:18:27.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,18,20,2022-02-26T02:18:27Z,620000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M57.00S,2022-02-26T02:18:31.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,18,20,2022-02-26T02:18:31Z,630000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M47.00S,2022-02-26T02:21:52.5Z,1,REGULAR,3pt,Jump Shot,[],1627827,2.1846254927726676,96.07843137254902,1610612742,18,20,2022-02-26T02:21:57Z,640000,-230.0,-32.0,1,left,MISS D. Finney-Smith 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,23.26,Missed,,,,,,,,,,,,,,,,,,
65,PT05M44.00S,2022-02-26T02:21:55.5Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,18,20,2022-02-26T02:21:57Z,650000,,,0,,H. Whiteside REBOUND (Off:1 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,64.0,2.0,1.0,1.0,,,,,,,,,,
66,PT05M31.00S,2022-02-26T02:22:10.2Z,1,REGULAR,foul,personal,[],203939,,,1610612762,18,20,2022-02-26T02:22:28Z,660000,,,0,,D. Powell personal FOUL (1 PF),"[203939, 202355]",1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,1627961.0,1.0,0.0,Whiteside,202355.0
68,PT05M29.00S,2022-02-26T02:22:31.5Z,1,REGULAR,turnover,bad pass,[],1626220,,,1610612762,18,20,2022-02-26T02:22:35Z,680000,,,0,,R. O'Neale bad pass TURNOVER (1 TO),"[1626220, 203493]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,1.0,Bullock,203493.0,,,,,,,
69,PT05M29.00S,2022-02-26T02:22:31.5Z,1,REGULAR,steal,,[],203493,,,1610612742,18,20,2022-02-26T02:22:33Z,690000,,,0,,R. Bullock STEAL (1 STL),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M18.00S,2022-02-26T02:22:42.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629029,13.354139290407357,36.51960784313725,1610612742,18,20,2022-02-26T02:22:46Z,700000,67.0,73.0,1,left,MISS L. Doncic 9' floating Shot,[1629029],1610612742.0,DAL,floating,,,Doncic,L. Doncic,,,,,9.94,Missed,,,,,,,,,,,,,,,,,,
71,PT05M16.00S,2022-02-26T02:22:44.4Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,18,20,2022-02-26T02:22:46Z,710000,,,0,,D. Powell REBOUND (Off:1 Def:2),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,70.0,3.0,2.0,1.0,,,,,,,,,,
72,PT05M09.00S,2022-02-26T02:22:52.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,18,20,2022-02-26T02:22:52Z,720000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M09.00S,2022-02-26T02:22:54.8Z,1,REGULAR,substitution,out,[],203939,,,1610612742,18,20,2022-02-26T02:23:03Z,730000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M09.00S,2022-02-26T02:22:54.8Z,1,REGULAR,substitution,out,[],203493,,,1610612742,18,20,2022-02-26T02:23:03Z,740000,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M09.00S,2022-02-26T02:22:54.8Z,1,REGULAR,substitution,in,[],1628467,,,1610612742,18,20,2022-02-26T02:23:03Z,750000,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M09.00S,2022-02-26T02:22:54.8Z,1,REGULAR,substitution,in,[],203915,,,1610612742,18,20,2022-02-26T02:23:03Z,760000,,,0,,SUB in: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M03.00S,2022-02-26T02:23:38.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628467,27.54599211563732,81.86274509803921,1610612742,18,20,2022-02-26T02:23:44Z,770000,-159.0,206.0,1,left,MISS M. Kleber 26' 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,26.07,Missed,,,,,,,,,,,,,,,,,,
78,PT05M00.00S,2022-02-26T02:23:41.2Z,1,REGULAR,rebound,defensive,[],1630235,,,1610612762,18,20,2022-02-26T02:23:44Z,780000,,,0,,T. Forrest REBOUND (Off:0 Def:2),[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,77.0,2.0,2.0,0.0,,,,,,,,,,
79,PT04M43.00S,2022-02-26T02:24:01.4Z,1,REGULAR,foul,personal,[],1628467,,,1610612762,18,20,2022-02-26T02:24:13Z,790000,,,0,,M. Kleber personal FOUL (1 PF),"[1628467, 1628378]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Mitchell,1628378.0
81,PT04M31.00S,2022-02-26T02:24:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,91.80354796320631,54.166666666666664,1610612762,20,20,2022-02-26T02:24:41Z,810000,21.0,25.0,1,right,B. Bogdanovic driving Layup (4 PTS) (T. Forrest 1 AST),"[202711, 1630235]",1610612762.0,UTA,driving,,,Bogdanovic,B. Bogdanovic,,,,,3.21,Made,4.0,T. Forrest,1630235.0,1.0,,,,,,,,,,,,,,
83,PT04M19.00S,2022-02-26T02:24:46.7Z,1,REGULAR,3pt,Jump Shot,[],1627827,3.892904073587385,96.32352941176471,1610612742,20,23,2022-02-26T02:24:51Z,830000,-232.0,-16.0,1,left,D. Finney-Smith 3PT  (3 PTS) (M. Kleber 1 AST),"[1627827, 1628467]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,23.21,Made,3.0,M. Kleber,1628467.0,1.0,,,,,,,,,,,,,,
85,PT04M09.00S,2022-02-26T02:24:57.2Z,1,REGULAR,3pt,Jump Shot,[],1628378,67.23061760840999,36.76470588235294,1610612762,23,23,2022-02-26T02:25:03Z,850000,-66.0,256.0,1,right,D. Mitchell 26' 3PT pullup (9 PTS),[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,26.39,Made,9.0,,,,,,,,,,,,,,,,,
86,PT03M47.00S,2022-02-26T02:25:19.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627827,5.338370565045992,45.83333333333333,1610612742,23,25,2022-02-26T02:25:25Z,860000,21.0,-2.0,1,left,D. Finney-Smith driving DUNK (5 PTS) (J. Brunson 1 AST),"[1627827, 1628973]",1610612742.0,DAL,driving,,,Finney-Smith,D. Finney-Smith,,,,,2.09,Made,5.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,,
88,PT03M33.00S,2022-02-26T02:25:33.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,92.72339027595268,44.36274509803921,1610612762,25,25,2022-02-26T02:25:37Z,880000,-28.0,16.0,1,right,B. Bogdanovic driving Layup (6 PTS) (T. Forrest 2 AST),"[202711, 1630235]",1610612762.0,UTA,driving,,,Bogdanovic,B. Bogdanovic,,,,,3.24,Made,6.0,T. Forrest,1630235.0,2.0,,,,,,,,,,,,,,
90,PT03M20.00S,2022-02-26T02:25:46.8Z,1,REGULAR,3pt,Jump Shot,[],1628467,22.28975032851511,88.48039215686273,1610612742,25,25,2022-02-26T02:25:51Z,900000,-192.0,157.0,1,left,MISS M. Kleber 24' 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,24.83,Missed,,,,,,,,,,,,,,,,,,
91,PT03M17.00S,2022-02-26T02:25:49.8Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,25,25,2022-02-26T02:25:51Z,910000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,90.0,1.0,1.0,0.0,,,,,,,,,,
92,PT03M04.00S,2022-02-26T02:26:01.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,88.25558475689881,43.627450980392155,1610612762,25,25,2022-02-26T02:26:08Z,920000,-32.0,58.0,1,right,MISS D. Mitchell 6' fadeaway Shot,[1628378],1610612762.0,UTA,fadeaway,,,Mitchell,D. Mitchell,,,,,6.61,Missed,,,,,,,,,,,,,,,,,,
93,PT03M02.00S,2022-02-26T02:26:03.8Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,25,25,2022-02-26T02:27:43Z,930000,,,0,,M. Kleber REBOUND (Off:0 Def:1),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,92.0,1.0,1.0,0.0,,,,,,,,,,
