actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
20,PT10M11.00S,2022-01-27T03:12:56.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629661,69.20170827858082,78.18627450980392,1610612756,2,5,2022-01-27T03:13:03Z,200000,141.0,237.0,1,right,C. Johnson 27' 3PT  (3 PTS) (C. Paul 2 AST),"[1629661, 101108]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,27.57,Made,3.0,C. Paul,101108.0,2.0,,,,,,,,,,,,,,,
22,PT09M50.00S,2022-01-27T03:13:17.6Z,1,REGULAR,3pt,Jump Shot,[],202711,4.418528252299605,95.09803921568627,1610612762,2,5,2022-01-27T03:13:22Z,220000,-225.0,-11.0,1,left,MISS B. Bogdanovic 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,22.58,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M47.00S,2022-01-27T03:13:20.6Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,2,5,2022-01-27T03:13:22Z,230000,,,0,,D. Booker REBOUND (Off:0 Def:3),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,22.0,3.0,3.0,0.0,,,,,,,,,,,
24,PT09M42.00S,2022-01-27T03:13:26.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628969,91.5407358738502,54.166666666666664,1610612756,2,7,2022-01-27T03:14:28Z,240000,21.0,27.0,1,right,M. Bridges cutting Layup (2 PTS) (D. Booker 1 AST),"[1628969, 1626164]",1610612756.0,PHX,cutting,,,Bridges,M. Bridges,,,,,3.41,Made,2.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,,,
26,PT09M24.00S,2022-01-27T03:13:43.6Z,1,REGULAR,3pt,Jump Shot,[],1626220,24.129434954007884,7.8431372549019605,1610612762,2,7,2022-01-27T03:13:48Z,260000,211.0,174.0,1,left,MISS R. O'Neale 27' 3PT,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,27.35,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M21.00S,2022-01-27T03:13:46.6Z,1,REGULAR,rebound,defensive,[],202687,,,1610612756,2,7,2022-01-27T03:13:48Z,270000,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,
28,PT09M13.00S,2022-01-27T03:13:54.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202687,79.71419185282524,51.9607843137255,1610612756,2,7,2022-01-27T03:13:59Z,280000,10.0,138.0,1,right,MISS B. Biyombo 13' floating Shot,[202687],1610612756.0,PHX,floating,,,Biyombo,B. Biyombo,,,,,13.85,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M11.00S,2022-01-27T03:13:56.8Z,1,REGULAR,rebound,defensive,[],201144,,,1610612762,2,7,2022-01-27T03:13:59Z,290000,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,
30,PT09M05.00S,2022-01-27T03:14:03.0Z,1,REGULAR,3pt,Jump Shot,[],204060,22.815374507227332,12.254901960784313,1610612762,5,7,2022-01-27T03:14:09Z,300000,189.0,162.0,1,left,J. Ingles 24' 3PT pullup (3 PTS) (M. Conley 2 AST),"[204060, 201144]",1610612762.0,UTA,pullup,,,Ingles,J. Ingles,,,,,24.87,Made,3.0,M. Conley,201144.0,2.0,,,,,,,,,,,,,,,
31,PT08M43.00S,2022-01-27T03:14:23.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,79.97700394218134,58.333333333333336,1610612756,5,9,2022-01-27T03:14:30Z,310000,42.0,136.0,1,right,D. Booker 14' pullup Jump Shot (4 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,14.2,Made,4.0,,,,,,,,,,,,,,,,,,
32,PT08M29.00S,2022-01-27T03:14:38.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,20.18725361366623,43.872549019607845,1610612762,5,9,2022-01-27T03:14:43Z,320000,31.0,137.0,1,left,MISS B. Bogdanovic 14' step back Shot,[202711],1610612762.0,UTA,step back,,,Bogdanovic,B. Bogdanovic,,,,,14.07,Missed,,,,,,,,,,,,,,,,,,,
33,PT08M26.00S,2022-01-27T03:14:41.8Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,5,9,2022-01-27T03:14:43Z,330000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,
34,PT08M17.00S,2022-01-27T03:14:50.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,90.48948751642575,40.931372549019606,1610612756,5,11,2022-01-27T03:15:20Z,340000,-45.0,37.0,1,right,C. Paul driving floating bank Jump Shot (2 PTS),[101108],1610612756.0,PHX,driving floating bank,,,Paul,C. Paul,,,,,5.84,Made,2.0,,,,,,,,,,,,,,,,,,
36,PT07M53.00S,2022-01-27T03:15:15.0Z,1,REGULAR,3pt,Jump Shot,[],201144,30.436925098554536,30.88235294117647,1610612762,5,11,2022-01-27T03:15:19Z,350000,96.0,234.0,1,left,MISS M. Conley 25' pullup 3PT,[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,25.24,Missed,,,,,,,,,,,,,,,,,,,
37,PT07M51.00S,2022-01-27T03:15:17.0Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612756,5,11,2022-01-27T03:15:19Z,360000,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,
38,PT07M48.00S,2022-01-27T03:15:22.6Z,1,REGULAR,foul,personal,[],201144,,,1610612756,5,11,2022-01-27T03:15:29Z,370000,,,0,,M. Conley personal FOUL (1 PF),"[201144, 202687]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,2715.0,,1.0,0.0,Biyombo,202687.0,,,,,
40,PT07M48.00S,2022-01-27T03:15:41.5Z,1,REGULAR,substitution,out,[],201144,,,1610612756,5,11,2022-01-27T03:15:44Z,390000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT07M48.00S,2022-01-27T03:15:41.5Z,1,REGULAR,substitution,in,[],1630235,,,1610612756,5,11,2022-01-27T03:15:44Z,400000,,,0,,SUB in: T. Forrest,[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M42.00S,2022-01-27T03:16:04.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202687,93.38042049934296,45.83333333333333,1610612756,5,13,2022-01-27T03:16:11Z,410000,-21.0,10.0,1,right,B. Biyombo cutting DUNK (2 PTS) (D. Booker 2 AST),"[202687, 1626164]",1610612756.0,PHX,cutting,,,Biyombo,B. Biyombo,,,,,2.3,Made,2.0,D. Booker,1626164.0,2.0,,,,,,,,,,,,,,,
44,PT07M42.00S,2022-01-27T03:16:08.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,5,13,2022-01-27T03:16:08Z,430000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M30.00S,2022-01-27T03:19:45.2Z,1,REGULAR,3pt,Jump Shot,[],204060,25.969119579500656,14.215686274509803,1610612762,5,13,2022-01-27T03:19:51Z,440000,179.0,192.0,1,left,MISS J. Ingles 26' pullup 3PT,[204060],1610612762.0,UTA,pullup,,,Ingles,J. Ingles,,,,,26.21,Missed,,,,,,,,,,,,,,,,,,,
46,PT07M27.00S,2022-01-27T03:19:48.2Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,5,13,2022-01-27T03:19:51Z,450000,,,0,,D. Booker REBOUND (Off:0 Def:4),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,45.0,4.0,4.0,0.0,,,,,,,,,,,
47,PT07M04.00S,2022-01-27T03:20:10.8Z,1,REGULAR,3pt,Jump Shot,[],1629661,66.70499342969777,59.31372549019608,1610612756,5,13,2022-01-27T03:20:16Z,460000,47.0,260.0,1,right,MISS C. Johnson 26' 3PT,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,26.46,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M02.00S,2022-01-27T03:20:13.4Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,5,13,2022-01-27T03:20:13Z,470000,,,0,,H. Whiteside REBOUND (Off:0 Def:2),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,
49,PT06M54.00S,2022-01-27T03:20:21.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202355,8.754927726675426,42.40196078431372,1610612762,5,13,2022-01-27T03:20:27Z,480000,38.0,30.0,1,left,MISS H. Whiteside cutting Layup - blocked,"[202355, 202687]",1610612762.0,UTA,cutting,,,Whiteside,H. Whiteside,,,,,4.83,Missed,,,,,,,,,,,,,,,Biyombo,202687.0,,,
50,PT06M54.00S,2022-01-27T03:20:21.2Z,1,REGULAR,block,,[],202687,,,1610612762,5,13,2022-01-27T03:20:23Z,490000,,,0,,B. Biyombo BLOCK (1 BLK),[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M52.00S,2022-01-27T03:20:23.2Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612756,5,13,2022-01-27T03:22:32Z,500000,,,0,,C. Johnson REBOUND (Off:0 Def:2),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,49.0,2.0,2.0,0.0,,,,,,,,,,,
52,PT06M52.00S,2022-01-27T03:20:26.1Z,1,REGULAR,foul,personal,[],202711,,,1610612756,5,13,2022-01-27T03:20:39Z,510000,,,0,,B. Bogdanovic take personal FOUL (1 PF),"[202711, 1629661]",1610612762.0,UTA,take,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,1626301.0,,1.0,0.0,Johnson,1629661.0,,,,,
54,PT06M52.00S,2022-01-27T03:20:33.5Z,1,REGULAR,substitution,out,[],202355,,,1610612756,5,13,2022-01-27T03:20:37Z,530000,,,0,,SUB out: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M52.00S,2022-01-27T03:20:33.5Z,1,REGULAR,substitution,in,[],1629672,,,1610612756,5,13,2022-01-27T03:20:37Z,540000,,,0,,SUB in: E. Paschall,[1629672],1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M36.00S,2022-01-27T03:21:13.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,92.59198423127464,44.6078431372549,1610612756,5,15,2022-01-27T03:21:19Z,550000,-27.0,17.0,1,right,M. Bridges driving Layup (4 PTS),[1628969],1610612756.0,PHX,driving,,,Bridges,M. Bridges,,,,,3.2,Made,4.0,,,,,,,,,,,,,,,,,,
57,PT06M25.00S,2022-01-27T03:21:23.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204060,7.30946123521682,55.63725490196079,1610612762,5,15,2022-01-27T03:21:27Z,560000,-28.0,16.0,1,left,MISS J. Ingles driving Layup - blocked,"[204060, 202687]",1610612762.0,UTA,driving,,,Ingles,J. Ingles,,,,,3.25,Missed,,,,,,,,,,,,,,,Biyombo,202687.0,,,
58,PT06M25.00S,2022-01-27T03:21:23.6Z,1,REGULAR,block,,[],202687,,,1610612762,5,15,2022-01-27T03:21:25Z,570000,,,0,,B. Biyombo BLOCK (2 BLK),[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M23.00S,2022-01-27T03:21:25.6Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,5,15,2022-01-27T03:22:22Z,580000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,
60,PT06M20.00S,2022-01-27T03:21:29.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1626164,91.5407358738502,49.754901960784316,1610612756,5,17,2022-01-27T03:21:38Z,590000,-1.0,27.0,1,right,D. Booker driving DUNK (6 PTS) (C. Paul 3 AST),"[1626164, 101108]",1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,2.7,Made,6.0,C. Paul,101108.0,3.0,,,,,,,,,,,,,,,
62,PT06M01.00S,2022-01-27T03:21:47.7Z,1,REGULAR,turnover,lost ball,[],202711,,,1610612762,5,17,2022-01-27T03:22:00Z,610000,,,0,,B. Bogdanovic lost ball TURNOVER (2 TO),"[202711, 1628969]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,2.0,,,,,,,Bridges,1628969.0,
63,PT06M01.00S,2022-01-27T03:21:47.7Z,1,REGULAR,steal,,[],1628969,,,1610612756,5,17,2022-01-27T03:21:50Z,620000,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M57.00S,2022-01-27T03:21:52.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628969,92.85479632063075,46.07843137254902,1610612756,5,19,2022-01-27T03:22:00Z,630000,-20.0,15.0,1,right,M. Bridges running Layup (6 PTS),[1628969],1610612756.0,PHX,running,,,Bridges,M. Bridges,,,,,2.45,Made,6.0,,,,,,,,,,,,,,,,,,
65,PT05M45.00S,2022-01-27T03:22:05.8Z,1,REGULAR,foul,personal,['2freethrow'],202687,,,1610612762,5,19,2022-01-27T03:22:15Z,640000,,,0,,B. Biyombo shooting personal FOUL (1 PF) (Paschall 2 FT),"[202687, 1629672]",1610612756.0,PHX,shooting,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,2715.0,,1.0,0.0,Paschall,1629672.0,,,,,
67,PT05M45.00S,2022-01-27T03:22:36.1Z,1,REGULAR,freethrow,1 of 2,[],1629672,,,1610612762,6,19,2022-01-27T03:22:36Z,660000,,,0,,E. Paschall Free Throw 1 of 2 (1 PTS),[1629672],1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
68,PT05M45.00S,2022-01-27T03:22:49.8Z,1,REGULAR,freethrow,2 of 2,[],1629672,,,1610612762,7,19,2022-01-27T03:22:49Z,670000,,,0,,E. Paschall Free Throw 2 of 2 (2 PTS),[1629672],1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
69,PT05M31.00S,2022-01-27T03:23:07.0Z,1,REGULAR,3pt,Jump Shot,[],1626164,68.01905387647832,35.049019607843135,1610612756,7,22,2022-01-27T03:23:13Z,680000,-75.0,248.0,1,right,D. Booker 25' 3PT pullup (9 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,25.91,Made,9.0,,,,,,,,,,,,,,,,,,
70,PT05M01.00S,2022-01-27T03:23:36.3Z,1,REGULAR,2pt,Jump Shot,[],1630235,12.828515111695138,13.970588235294118,1610612762,9,22,2022-01-27T03:23:41Z,690000,180.0,68.0,1,left,T. Forrest 19' pullup Jump Shot (2 PTS) (J. Ingles 1 AST),"[1630235, 204060]",1610612762.0,UTA,pullup,,,Forrest,T. Forrest,,,,,19.25,Made,2.0,J. Ingles,204060.0,1.0,,,,,,,,,,,,,,,
72,PT04M43.00S,2022-01-27T03:23:57.9Z,1,REGULAR,foul,personal,[],1626220,,,1610612756,9,22,2022-01-27T03:24:46Z,710000,,,0,,R. O'Neale personal FOUL (1 PF),"[1626220, 202687]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,2715.0,,1.0,0.0,Biyombo,202687.0,,,,,
74,PT04M43.00S,2022-01-27T03:24:09.2Z,1,REGULAR,substitution,out,[],101108,,,1610612756,9,22,2022-01-27T03:24:22Z,730000,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M43.00S,2022-01-27T03:24:09.2Z,1,REGULAR,substitution,out,[],1629661,,,1610612756,9,22,2022-01-27T03:24:22Z,740000,,,0,,SUB out: C. Johnson,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M43.00S,2022-01-27T03:24:09.2Z,1,REGULAR,substitution,in,[],1630688,,,1610612756,9,22,2022-01-27T03:24:22Z,750000,,,0,,SUB in: I. Wainright,[1630688],1610612756.0,PHX,,,,Wainright,I. Wainright,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M43.00S,2022-01-27T03:24:09.2Z,1,REGULAR,substitution,in,[],203901,,,1610612756,9,22,2022-01-27T03:24:22Z,760000,,,0,,SUB in: E. Payton,[203901],1610612756.0,PHX,,,,Payton,E. Payton,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M33.00S,2022-01-27T03:24:44.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,85.10183968462549,61.029411764705884,1610612756,9,22,2022-01-27T03:24:50Z,770000,55.0,88.0,1,right,MISS D. Booker 10' floating Shot,[1626164],1610612756.0,PHX,floating,,,Booker,D. Booker,,,,,10.34,Missed,,,,,,,,,,,,,,,,,,,
79,PT04M28.00S,2022-01-27T03:24:48.6Z,1,REGULAR,rebound,offensive,[],1626164,,,1610612756,9,22,2022-01-27T03:24:48Z,780000,,,0,,D. Booker REBOUND (Off:1 Def:4),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,78.0,5.0,4.0,1.0,,,,,,,,,,,
80,PT04M28.00S,2022-01-27T03:24:48.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626164,94.40999984741211,50.0,1610612756,9,24,2022-01-27T03:24:48Z,790000,0.0,0.0,1,right,D. Booker tip Layup (11 PTS),[1626164],1610612756.0,PHX,tip,,,Booker,D. Booker,,,,,0.0,Made,11.0,,,,,,,,,,,,,,,,,,
81,PT04M19.00S,2022-01-27T03:25:01.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,6.258212877792378,44.85294117647059,1610612762,11,24,2022-01-27T03:25:06Z,800000,26.0,6.0,1,left,R. O'Neale driving Layup (4 PTS),[1626220],1610612762.0,UTA,driving,,,O'Neale,R. O'Neale,,,,,2.65,Made,4.0,,,,,,,,,,,,,,,,,,
83,PT04M19.00S,2022-01-27T03:25:04.1Z,1,REGULAR,foul,personal,['1freethrow'],1630688,,,1610612762,11,24,2022-01-27T03:25:13Z,820000,,,0,,I. Wainright shooting personal FOUL (1 PF) (O'Neale 1 FT),"[1630688, 1626220]",1610612756.0,PHX,shooting,,,Wainright,I. Wainright,,,,,,,,,,,,,,,2715.0,,1.0,0.0,O'Neale,1626220.0,,,,,
85,PT04M19.00S,2022-01-27T03:25:20.2Z,1,REGULAR,substitution,out,[],204060,,,1610612762,11,24,2022-01-27T03:26:13Z,840000,,,0,,SUB out: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M19.00S,2022-01-27T03:25:20.2Z,1,REGULAR,substitution,out,[],202711,,,1610612762,11,24,2022-01-27T03:26:13Z,850000,,,0,,SUB out: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M19.00S,2022-01-27T03:25:20.2Z,1,REGULAR,substitution,out,[],202687,,,1610612762,11,24,2022-01-27T03:26:13Z,860000,,,0,,SUB out: B. Biyombo,[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M19.00S,2022-01-27T03:25:20.2Z,1,REGULAR,substitution,in,[],203903,,,1610612762,11,24,2022-01-27T03:26:13Z,870000,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M19.00S,2022-01-27T03:25:20.2Z,1,REGULAR,substitution,in,[],200752,,,1610612762,11,24,2022-01-27T03:26:13Z,880000,,,0,,SUB in: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M19.00S,2022-01-27T03:25:20.2Z,1,REGULAR,substitution,in,[],1630188,,,1610612762,11,24,2022-01-27T03:26:13Z,890000,,,0,,SUB in: J. Smith,[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,
