actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
19,PT10M33.00S,2025-12-23T02:44:31.8Z,1,REGULAR,rebound,defensive,[],1629111,,,1610612763,0,3,2025-12-23T02:44:35Z,190000,False,,,0,,J. Landale REBOUND (Off:0 Def:1),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,In The Paint (Non-RA),0-8 Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M19.00S,2025-12-23T02:45:02.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,94.95729303547962,61.274509803921575,1610612763,0,5,2025-12-23T02:45:06Z,210000,False,56.0,-5.0,1,right,J. Jackson Jr. turnaround Hook (2 PTS) (C. Coward 1 AST),"[1628991, 1642907]",1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.66,Made,,,,,2.0,C. Coward,1642907.0,1.0,,,,,,,,,,
23,PT09M58.00S,2025-12-23T02:45:23.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,8.229303547963205,39.46078431372549,1610612760,0,5,2025-12-23T02:45:30Z,230000,False,53.0,25.0,1,left,MISS L. Dort driving reverse Layup,[1629652],1610612760.0,OKC,driving reverse,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,5.83,Missed,,,,,,,,,,,,,,,,,,
24,PT09M56.00S,2025-12-23T02:45:25.4Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,0,5,2025-12-23T02:45:30Z,240000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M48.00S,2025-12-23T02:45:32.6Z,1,REGULAR,3pt,Jump Shot,[],1642377,78.66294349540078,5.392156862745098,1610612763,0,5,2025-12-23T02:45:36Z,250000,False,-223.0,148.0,1,right,MISS J. Wells 26' 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Left Center,26.77,Missed,,,,,,,,,,,,,,,,,,
26,PT09M45.00S,2025-12-23T02:45:35.6Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,0,5,2025-12-23T02:45:36Z,260000,False,,,0,,C. Wallace REBOUND (Off:0 Def:1),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Left Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M38.00S,2025-12-23T02:45:43.3Z,1,REGULAR,3pt,Jump Shot,[],1642382,22.28975032851511,87.74509803921569,1610612760,3,5,2025-12-23T02:45:47Z,270000,False,-189.0,157.0,1,left,B. Carlson 24' 3PT  (3 PTS) (C. Wallace 1 AST),"[1642382, 1641717]",1610612760.0,OKC,,,,Carlson,B. Carlson,,,,,Above the Break 3,24+ Left Center,24.55,Made,,,,,3.0,C. Wallace,1641717.0,1.0,,,,,,,,,,
29,PT09M24.00S,2025-12-23T02:45:57.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629111,92.46057818659659,47.794117647058826,1610612763,3,7,2025-12-23T02:46:00Z,290000,False,-11.0,18.0,1,right,J. Landale cutting DUNK (5 PTS) (C. Spencer 2 AST),"[1629111, 1642285]",1610612763.0,MEM,cutting,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,2.14,Made,,,,,5.0,C. Spencer,1642285.0,2.0,,,,,,,,,,
31,PT09M12.00S,2025-12-23T02:46:08.8Z,1,REGULAR,2pt,Jump Shot,[],1631114,5.469776609724048,71.56862745098039,1610612760,3,7,2025-12-23T02:46:14Z,310000,False,-108.0,-1.0,1,left,MISS J. Williams 10' fadeaway Shot,[1631114],1610612760.0,OKC,fadeaway,,,Williams,J. Williams,,,,,Mid-Range,8-16 Left,10.78,Missed,,,,,,,,,,,,,,,,,,
32,PT09M10.00S,2025-12-23T02:46:10.8Z,1,REGULAR,rebound,defensive,[],1642285,,,1610612763,3,7,2025-12-23T02:46:14Z,320000,False,,,0,,C. Spencer REBOUND (Off:0 Def:1),[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,Mid-Range,8-16 Left,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT09M08.00S,2025-12-23T02:46:16.1Z,1,REGULAR,turnover,out-of-bounds,[],1642285,,,1610612763,3,7,2025-12-23T02:46:25Z,330000,False,,,0,,C. Spencer bad pass out-of-bounds TURNOVER (1 TO),[1642285],1610612763.0,MEM,bad pass,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,,,,,,,,,
34,PT08M54.00S,2025-12-23T02:46:32.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641717,13.87976346911958,40.44117647058824,1610612760,3,7,2025-12-23T02:46:37Z,340000,False,48.0,78.0,1,left,MISS C. Wallace 9' driving floating Shot,[1641717],1610612760.0,OKC,driving floating,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),8-16 Center,9.15,Missed,,,,,,,,,,,,,,,,,,
35,PT08M50.00S,2025-12-23T02:46:36.7Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,3,7,2025-12-23T02:46:37Z,350000,False,,,0,,C. Coward REBOUND (Off:0 Def:2),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,In The Paint (Non-RA),8-16 Center,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,
36,PT08M34.00S,2025-12-23T02:46:52.9Z,1,REGULAR,3pt,Jump Shot,[],1642907,85.3646517739816,4.166666666666666,1610612763,3,10,2025-12-23T02:46:56Z,360000,False,-229.0,85.0,1,right,C. Coward 24' 3PT  (3 PTS) (J. Landale 1 AST),"[1642907, 1629111]",1610612763.0,MEM,,,,Coward,C. Coward,,,,,Left Corner 3,24+ Left,24.45,Made,,,,,3.0,J. Landale,1629111.0,1.0,,,,,,,,,,
38,PT08M34.00S,2025-12-23T02:47:00.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,3,10,2025-12-23T02:47:00Z,380000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M20.00S,2025-12-23T02:50:32.4Z,1,REGULAR,3pt,Jump Shot,[],1631114,7.5722733245729295,95.58823529411765,1610612760,6,10,2025-12-23T02:50:37Z,390000,False,-228.0,19.0,1,left,J. Williams 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1631114, 1628983]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Left Corner 3,24+ Left,22.87,Made,,,,,3.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,
41,PT07M56.00S,2025-12-23T02:50:56.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629111,90.62089356110381,50.49019607843137,1610612763,6,10,2025-12-23T02:51:01Z,410000,False,2.0,36.0,1,right,MISS J. Landale Layup - blocked,"[1629111, 1629652]",1610612763.0,MEM,,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,3.58,Missed,,,,,,,,,,Dort,1629652.0,,,,,,,
42,PT07M56.00S,2025-12-23T02:50:56.9Z,1,REGULAR,block,,[],1629652,,,1610612763,6,10,2025-12-23T02:50:59Z,420000,False,,,0,,L. Dort BLOCK (1 BLK),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT07M53.00S,2025-12-23T02:50:59.9Z,1,REGULAR,rebound,defensive,[],1642382,,,1610612760,6,10,2025-12-23T02:51:01Z,430000,False,,,0,,B. Carlson REBOUND (Off:0 Def:1),[1642382],1610612760.0,OKC,,,,Carlson,B. Carlson,,,,,Restricted Area,0-8 Center,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
44,PT07M47.00S,2025-12-23T02:51:05.7Z,1,REGULAR,3pt,Jump Shot,[],1629652,17.296320630749015,93.62745098039215,1610612760,6,10,2025-12-23T02:51:09Z,440000,False,-218.0,110.0,1,left,MISS L. Dort 24' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,24.43,Missed,,,,,,,,,,,,,,,,,,
45,PT07M44.00S,2025-12-23T02:51:08.7Z,1,REGULAR,rebound,defensive,[],1629111,,,1610612763,6,10,2025-12-23T02:51:09Z,450000,False,,,0,,J. Landale REBOUND (Off:0 Def:2),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Left Center,,,44.0,2.0,2.0,0.0,,,,,,,,,,,,,,
46,PT07M37.00S,2025-12-23T02:51:16.8Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612763,6,10,2025-12-23T02:51:28Z,460000,False,,,0,,L. Dort shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[1629652, 1628991]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,204058.0,1.0,0.0,Jackson Jr.,1628991.0,,
48,PT07M37.00S,2025-12-23T02:51:40.6Z,1,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,6,11,2025-12-23T02:52:02Z,480000,False,,,0,,J. Jackson Jr. Free Throw 1 of 2 (3 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
49,PT07M37.00S,2025-12-23T02:51:41.4Z,1,REGULAR,substitution,out,[],1642907,,,1610612763,6,11,2025-12-23T02:51:48Z,490000,False,,,0,,SUB out: C. Coward,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M37.00S,2025-12-23T02:51:41.4Z,1,REGULAR,substitution,in,[],203484,,,1610612763,6,11,2025-12-23T02:51:48Z,500000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M37.00S,2025-12-23T02:51:40.6Z,1,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,6,11,2025-12-23T02:52:02Z,510000,False,,,0,,MISS J. Jackson Jr. Free Throw 2 of 2,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
52,PT07M35.00S,2025-12-23T02:51:42.6Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,6,11,2025-12-23T02:52:02Z,520000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,,,
53,PT07M23.00S,2025-12-23T02:52:14.0Z,1,REGULAR,3pt,Jump Shot,[],1641717,25.837713534822605,17.401960784313726,1610612760,9,11,2025-12-23T02:52:18Z,530000,False,163.0,190.0,1,left,C. Wallace 25' 3PT pullup (3 PTS) (B. Carlson 1 AST),"[1641717, 1642382]",1610612760.0,OKC,pullup,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Right Center,25.06,Made,,,,,3.0,B. Carlson,1642382.0,1.0,,,,,,,,,,
55,PT07M08.00S,2025-12-23T02:52:28.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642377,92.46057818659659,54.65686274509803,1610612763,9,11,2025-12-23T02:53:51Z,550000,False,23.0,18.0,1,right,MISS J. Wells driving Layup - blocked,"[1642377, 1628983]",1610612763.0,MEM,driving,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,2.97,Missed,,,,,,,,,,Gilgeous-Alexander,1628983.0,,,,,,,
56,PT07M08.00S,2025-12-23T02:52:28.2Z,1,REGULAR,block,,[],1628983,,,1610612763,9,11,2025-12-23T02:52:30Z,560000,False,,,0,,S. Gilgeous-Alexander BLOCK (1 BLK),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
57,PT07M06.00S,2025-12-23T02:52:30.2Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,9,11,2025-12-23T02:52:35Z,570000,False,,,0,,C. Wallace REBOUND (Off:0 Def:2),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,,,
58,PT07M04.00S,2025-12-23T02:52:33.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628983,16.770696452036795,44.6078431372549,1610612760,9,11,2025-12-23T02:52:41Z,580000,False,27.0,105.0,1,left,MISS S. Gilgeous-Alexander 10' running pullup Shot,[1628983],1610612760.0,OKC,running pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,10.85,Missed,,,,,,,,,,,,,,,,,,
59,PT07M04.00S,2025-12-23T02:52:33.4Z,1,REGULAR,rebound,defensive,[],1642285,,,1610612763,9,11,2025-12-23T02:52:41Z,590000,False,,,0,,C. Spencer REBOUND (Off:0 Def:2),[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,In The Paint (Non-RA),8-16 Center,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,,
60,PT06M57.00S,2025-12-23T02:52:40.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203484,78.13731931668858,10.784313725490197,1610612763,9,14,2025-12-23T02:52:46Z,600000,False,-196.0,153.0,1,right,K. Caldwell-Pope 24' 3PT running (3 PTS) (C. Spencer 3 AST),"[203484, 1642285]",1610612763.0,MEM,running,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,24.87,Made,,,,,3.0,C. Spencer,1642285.0,3.0,,,,,,,,,,
62,PT06M45.00S,2025-12-23T02:52:52.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,12.828515111695138,40.68627450980392,1610612760,11,14,2025-12-23T02:56:34Z,620000,False,47.0,68.0,1,left,S. Gilgeous-Alexander 8' driving floating Jump Shot (2 PTS),[1628983],1610612760.0,OKC,driving floating,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Right,8.25,Made,,,,,2.0,,,,,,,,,,,,,
63,PT06M32.00S,2025-12-23T02:53:04.3Z,1,REGULAR,2pt,Jump Shot,[],1629111,79.58278580814718,60.5392156862745,1610612763,11,14,2025-12-23T02:53:09Z,630000,False,53.0,139.0,1,right,MISS J. Landale 14' Jump Shot,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Mid-Range,8-16 Center,14.9,Missed,,,,,,,,,,,,,,,,,,
64,PT06M30.00S,2025-12-23T02:53:06.3Z,1,REGULAR,rebound,defensive,[],1642382,,,1610612760,11,14,2025-12-23T02:53:09Z,640000,False,,,0,,B. Carlson REBOUND (Off:0 Def:2),[1642382],1610612760.0,OKC,,,,Carlson,B. Carlson,,,,,Mid-Range,8-16 Center,,,63.0,2.0,2.0,0.0,,,,,,,,,,,,,,
65,PT06M20.00S,2025-12-23T02:53:16.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,15.456636005256241,39.950980392156865,1610612760,13,14,2025-12-23T02:53:20Z,650000,False,50.0,93.0,1,left,J. Williams 10' step back Jump Shot (5 PTS),[1631114],1610612760.0,OKC,step back,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,10.55,Made,,,,,5.0,,,,,,,,,,,,,
66,PT05M59.00S,2025-12-23T02:53:38.1Z,1,REGULAR,3pt,Jump Shot,[],1642377,67.88764783180025,65.93137254901961,1610612763,13,14,2025-12-23T02:53:42Z,660000,False,80.0,249.0,1,right,MISS J. Wells 26' 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Center,26.18,Missed,,,,,,,,,,,,,,,,,,
67,PT05M56.00S,2025-12-23T02:53:41.1Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,13,14,2025-12-23T02:53:42Z,670000,False,,,0,,J. Williams REBOUND (Off:0 Def:2),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,,,66.0,2.0,2.0,0.0,,,,,,,,,,,,,,
68,PT05M47.00S,2025-12-23T02:53:50.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,4.5499342969776615,52.69607843137255,1610612760,15,14,2025-12-23T02:58:14Z,680000,False,-13.0,-10.0,1,left,S. Gilgeous-Alexander driving reverse Layup (4 PTS),[1628983],1610612760.0,OKC,driving reverse,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.66,Made,,,,,4.0,,,,,,,,,,,,,
69,PT05M47.00S,2025-12-23T02:53:55.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,15,14,2025-12-23T02:53:55Z,690000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M47.00S,2025-12-23T02:55:56.0Z,1,REGULAR,substitution,out,[],1642382,,,1610612763,15,14,2025-12-23T02:56:57Z,700000,False,,,0,,SUB out: B. Carlson,[1642382],1610612760.0,OKC,,,,Carlson,B. Carlson,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M47.00S,2025-12-23T02:55:56.0Z,1,REGULAR,substitution,out,[],1641717,,,1610612763,15,14,2025-12-23T02:56:57Z,710000,False,,,0,,SUB out: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M47.00S,2025-12-23T02:55:56.0Z,1,REGULAR,substitution,out,[],1628991,,,1610612763,15,14,2025-12-23T02:56:57Z,720000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M47.00S,2025-12-23T02:55:56.0Z,1,REGULAR,substitution,out,[],1642285,,,1610612763,15,14,2025-12-23T02:56:57Z,730000,False,,,0,,SUB out: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M47.00S,2025-12-23T02:55:56.0Z,1,REGULAR,substitution,out,[],1629111,,,1610612763,15,14,2025-12-23T02:56:57Z,740000,False,,,0,,SUB out: J. Landale,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M47.00S,2025-12-23T02:55:56.0Z,1,REGULAR,substitution,in,[],1629026,,,1610612763,15,14,2025-12-23T02:56:57Z,750000,False,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M47.00S,2025-12-23T02:55:56.0Z,1,REGULAR,substitution,in,[],1630198,,,1610612763,15,14,2025-12-23T02:56:57Z,760000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M47.00S,2025-12-23T02:55:56.0Z,1,REGULAR,substitution,in,[],1641765,,,1610612763,15,14,2025-12-23T02:56:57Z,770000,False,,,0,,SUB in: O. Prosper,[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M47.00S,2025-12-23T02:55:56.0Z,1,REGULAR,substitution,in,[],1642942,,,1610612763,15,14,2025-12-23T02:56:57Z,780000,False,,,0,,SUB in: J. Mashack,[1642942],1610612763.0,MEM,,,,Mashack,J. Mashack,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M47.00S,2025-12-23T02:55:56.0Z,1,REGULAR,substitution,in,[],1630583,,,1610612763,15,14,2025-12-23T02:56:57Z,790000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M26.00S,2025-12-23T02:57:46.4Z,1,REGULAR,foul,personal,['2freethrow'],1629026,,,1610612763,15,14,2025-12-23T02:57:58Z,800000,False,,,0,,K. Williams shooting personal FOUL (1 PF) (Wells 2 FT),"[1629026, 1642377]",1610612760.0,OKC,shooting,,,Williams,K. Williams,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,1628484.0,1.0,0.0,Wells,1642377.0,,
82,PT05M26.00S,2025-12-23T02:58:13.2Z,1,REGULAR,freethrow,1 of 2,[],1642377,,,1610612763,15,15,2025-12-23T02:58:13Z,820000,False,,,0,,J. Wells Free Throw 1 of 2 (1 PTS),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
