actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
32,PT08M50.00S,2025-12-28T20:45:11.5Z,1,REGULAR,foul,personal,['1freethrow'],203083,,,1610612760,11,9,2025-12-28T20:45:16Z,310000,False,,,0,,A. Drummond shooting personal FOUL (1 PF) (Hartenstein 1 FT),"[203083, 1628392]",1610612755.0,PHI,shooting,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,,,,,203591.0,,,,1.0,0.0,Hartenstein,1628392.0,,
34,PT08M50.00S,2025-12-28T20:45:39.0Z,1,REGULAR,freethrow,1 of 1,[],1628392,,,1610612760,12,9,2025-12-28T20:45:39Z,330000,False,,,0,,I. Hartenstein Free Throw 1 of 1 (3 PTS),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
35,PT08M31.00S,2025-12-28T20:45:58.2Z,1,REGULAR,turnover,out-of-bounds,[],203083,,,1610612755,12,9,2025-12-28T20:46:03Z,340000,False,,,0,,A. Drummond lost ball out-of-bounds TURNOVER (1 TO),[203083],1610612755.0,PHI,lost ball,,,Drummond,A. Drummond,,,,,Mid-Range,8-16 Left,1.0,,,,,,,,,,203591.0,,,,,,,,,
36,PT08M09.00S,2025-12-28T20:46:23.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631096,6.915243101182654,63.48039215686274,1610612760,14,9,2025-12-28T20:46:27Z,350000,False,-67.0,13.0,1,left,C. Holmgren 6' turnaround fadeaway Jump Shot (4 PTS),[1631096],1610612760.0,OKC,turnaround fadeaway,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,,,,6.85,Made,4.0,,,,,,,,,,,,,,
38,PT07M58.00S,2025-12-28T20:46:33.4Z,1,REGULAR,3pt,Jump Shot,[],202331,87.99277266754271,2.941176470588235,1610612755,14,9,2025-12-28T20:46:37Z,370000,False,-235.0,60.0,1,right,MISS P. George 24' 3PT,[202331],1610612755.0,PHI,,,,George,P. George,,,,,Left Corner 3,24+ Left,,,,24.29,Missed,,,,,,,,,,,,,,,
39,PT07M57.00S,2025-12-28T20:46:34.4Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,14,9,2025-12-28T20:46:37Z,380000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,
40,PT07M52.00S,2025-12-28T20:46:40.2Z,1,REGULAR,turnover,lost ball,[],1629652,,,1610612760,14,9,2025-12-28T20:46:45Z,390000,False,,,0,,L. Dort lost ball TURNOVER (2 TO),"[1629652, 1630178]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),8-16 Right,2.0,Maxey,1630178.0,,,,,,,,,,,,,,,,,
41,PT07M52.00S,2025-12-28T20:46:40.2Z,1,REGULAR,steal,,[],1630178,,,1610612755,14,9,2025-12-28T20:46:41Z,400000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
42,PT07M48.00S,2025-12-28T20:46:44.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642845,93.38042049934296,46.81372549019608,1610612755,14,9,2025-12-28T20:46:50Z,410000,False,-16.0,10.0,1,right,MISS V. Edgecombe running finger roll Layup - blocked,"[1642845, 1631096]",1610612755.0,PHI,running finger roll,,,Edgecombe,V. Edgecombe,,,,,Restricted Area,0-8 Center,,,,1.86,Missed,,,,,,,,,,,,,,Holmgren,1631096.0
43,PT07M48.00S,2025-12-28T20:46:44.8Z,1,REGULAR,block,,[],1631096,,,1610612755,14,9,2025-12-28T20:46:46Z,420000,False,,,0,,C. Holmgren BLOCK (1 BLK),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT07M45.00S,2025-12-28T20:46:47.8Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,14,9,2025-12-28T20:46:50Z,430000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,
45,PT07M39.00S,2025-12-28T20:46:53.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631096,5.863994743758213,49.01960784313725,1610612760,16,9,2025-12-28T20:46:57Z,440000,False,5.0,3.0,1,left,C. Holmgren DUNK (6 PTS) (J. Williams 2 AST),"[1631096, 1631114]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,0.55,Made,6.0,,,,,,J. Williams,1631114.0,2.0,,,,,,
47,PT07M38.00S,2025-12-28T20:46:56.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,16,9,2025-12-28T20:46:56Z,460000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M38.00S,2025-12-28T20:49:36.5Z,1,REGULAR,substitution,out,[],1628392,,,1610612755,16,9,2025-12-28T20:49:52Z,470000,False,,,0,,SUB out: I. Hartenstein,[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M38.00S,2025-12-28T20:49:36.5Z,1,REGULAR,substitution,in,[],1630198,,,1610612755,16,9,2025-12-28T20:49:52Z,480000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M22.00S,2025-12-28T20:50:18.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,92.9862023653088,38.48039215686275,1610612755,16,11,2025-12-28T20:50:22Z,490000,False,-58.0,13.0,1,right,A. Drummond cutting Layup (2 PTS) (P. George 1 AST),"[203083, 202331]",1610612755.0,PHI,cutting,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),0-8 Center,,,,5.91,Made,2.0,,,,,,P. George,202331.0,1.0,,,,,,
52,PT06M59.00S,2025-12-28T20:50:40.7Z,1,REGULAR,turnover,bad pass,[],1628983,,,1610612760,16,11,2025-12-28T20:50:45Z,510000,False,,,0,,S. Gilgeous-Alexander bad pass TURNOVER (1 TO),"[1628983, 1630178]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left Center,1.0,Maxey,1630178.0,,,,,,,,,,,,,,,,,
53,PT06M59.00S,2025-12-28T20:50:40.7Z,1,REGULAR,steal,,[],1630178,,,1610612755,16,11,2025-12-28T20:50:42Z,520000,False,,,0,,T. Maxey STEAL (2 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
54,PT06M58.00S,2025-12-28T20:50:43.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630178,92.46057818659659,47.30392156862745,1610612755,16,13,2025-12-28T20:50:48Z,530000,False,-13.0,18.0,1,right,T. Maxey running DUNK (9 PTS),[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,2.28,Made,9.0,,,,,,,,,,,,,,
58,PT06M39.00S,2025-12-28T20:51:19.4Z,1,REGULAR,turnover,traveling,[],1631096,,,1610612760,16,13,2025-12-28T20:52:01Z,570000,False,,,0,,C. Holmgren traveling TURNOVER (1 TO),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,1.0,,,,,,,,,,203591.0,,,,,,,,,
59,PT06M17.00S,2025-12-28T20:51:35.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202331,76.03482260183968,74.50980392156863,1610612755,16,13,2025-12-28T20:52:57Z,580000,False,123.0,173.0,1,right,MISS P. George 21' step back Shot,[202331],1610612755.0,PHI,step back,,,George,P. George,,,,,Mid-Range,16-24 Right Center,,,,21.18,Missed,,,,,,,,,,,,,,,
60,PT06M16.00S,2025-12-28T20:51:36.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,16,13,2025-12-28T20:51:57Z,590000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Mid-Range,16-24 Right Center,,,,,,,59.0,,,,,,,,,,,,,
61,PT06M16.00S,2025-12-28T20:51:40.4Z,1,REGULAR,foul,personal,[],1631096,,,1610612755,16,13,2025-12-28T20:51:44Z,600000,False,,,0,,C. Holmgren loose ball personal FOUL (1 PF),"[1631096, 203083]",1610612760.0,OKC,loose ball,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627964.0,,,,1.0,0.0,Drummond,203083.0,,
63,PT06M02.00S,2025-12-28T20:52:11.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",203083,90.3580814717477,48.77450980392157,1610612755,16,13,2025-12-28T20:52:14Z,620000,False,-6.0,38.0,1,right,MISS A. Drummond turnaround Hook,[203083],1610612755.0,PHI,turnaround,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,3.86,Missed,,,,,,,,,,,,,,,
64,PT06M00.00S,2025-12-28T20:52:13.1Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,16,13,2025-12-28T20:52:14Z,630000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:2),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,63.0,2.0,2.0,0.0,,,,,,,,,,
65,PT05M52.00S,2025-12-28T20:52:20.8Z,1,REGULAR,2pt,Jump Shot,[],1628983,20.844283837056505,71.32352941176471,1610612760,18,13,2025-12-28T20:52:26Z,640000,False,-107.0,143.0,1,left,S. Gilgeous-Alexander 17' step back Jump Shot (4 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left Center,,,,17.87,Made,4.0,,,,,,,,,,,,,,
66,PT05M40.00S,2025-12-28T20:52:32.9Z,1,REGULAR,3pt,Jump Shot,[],1642845,75.3777923784494,13.23529411764706,1610612755,18,16,2025-12-28T20:53:52Z,650000,False,-184.0,179.0,1,right,V. Edgecombe 25' 3PT pullup (5 PTS) (T. Maxey 1 AST),"[1642845, 1630178]",1610612755.0,PHI,pullup,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Left Center,,,,25.65,Made,5.0,,,,,,T. Maxey,1630178.0,1.0,,,,,,
68,PT05M20.00S,2025-12-28T20:52:54.2Z,1,REGULAR,turnover,lost ball,[],1631096,,,1610612760,18,16,2025-12-28T20:52:57Z,670000,False,,,0,,C. Holmgren lost ball TURNOVER (2 TO),"[1631096, 1630178]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Mid-Range,8-16 Right,2.0,Maxey,1630178.0,,,,,,,,,,,,,,,,,
69,PT05M20.00S,2025-12-28T20:52:54.2Z,1,REGULAR,steal,,[],1630178,,,1610612755,18,16,2025-12-28T20:52:55Z,680000,False,,,0,,T. Maxey STEAL (3 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
70,PT05M07.00S,2025-12-28T20:53:06.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203083,92.9862023653088,47.05882352941176,1610612755,18,16,2025-12-28T20:53:10Z,690000,False,-15.0,13.0,1,right,MISS A. Drummond driving Layup - blocked,"[203083, 1631096]",1610612755.0,PHI,driving,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,1.99,Missed,,,,,,,,,,,,,,Holmgren,1631096.0
71,PT05M07.00S,2025-12-28T20:53:06.5Z,1,REGULAR,block,,[],1631096,,,1610612755,18,16,2025-12-28T20:53:08Z,700000,False,,,0,,C. Holmgren BLOCK (2 BLK),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
72,PT05M05.00S,2025-12-28T20:53:08.5Z,1,REGULAR,rebound,defensive,[],1630198,,,1610612760,18,16,2025-12-28T20:53:10Z,710000,False,,,0,,I. Joe REBOUND (Off:0 Def:1),[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Restricted Area,0-8 Center,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,
73,PT05M01.00S,2025-12-28T20:53:14.3Z,1,REGULAR,turnover,out-of-bounds,[],1631114,,,1610612760,18,16,2025-12-28T20:53:23Z,720000,False,,,0,,J. Williams bad pass out-of-bounds TURNOVER (1 TO),[1631114],1610612760.0,OKC,bad pass,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1.0,,,,,,,,,,1155.0,,,,,,,,,
74,PT05M01.00S,2025-12-28T20:53:17.6Z,1,REGULAR,substitution,out,[],1631096,,,1610612755,18,16,2025-12-28T20:53:27Z,730000,False,,,0,,SUB out: C. Holmgren,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M01.00S,2025-12-28T20:53:17.6Z,1,REGULAR,substitution,out,[],203083,,,1610612755,18,16,2025-12-28T20:53:27Z,740000,False,,,0,,SUB out: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M01.00S,2025-12-28T20:53:17.6Z,1,REGULAR,substitution,out,[],202331,,,1610612755,18,16,2025-12-28T20:53:27Z,750000,False,,,0,,SUB out: P. George,[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M01.00S,2025-12-28T20:53:17.6Z,1,REGULAR,substitution,in,[],1627936,,,1610612755,18,16,2025-12-28T20:53:27Z,760000,False,,,0,,SUB in: A. Caruso,[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M01.00S,2025-12-28T20:53:17.6Z,1,REGULAR,substitution,in,[],1641737,,,1610612755,18,16,2025-12-28T20:53:27Z,770000,False,,,0,,SUB in: A. Bona,[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M01.00S,2025-12-28T20:53:17.6Z,1,REGULAR,substitution,in,[],1629656,,,1610612755,18,16,2025-12-28T20:53:27Z,780000,False,,,0,,SUB in: Q. Grimes,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M47.00S,2025-12-28T20:53:51.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1641737,92.85479632063075,48.03921568627451,1610612755,18,18,2025-12-28T20:55:20Z,790000,False,-10.0,15.0,1,right,A. Bona driving DUNK (2 PTS) (V. Edgecombe 3 AST),"[1641737, 1642845]",1610612755.0,PHI,driving,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,,,,1.77,Made,2.0,,,,,,V. Edgecombe,1642845.0,3.0,,,,,,
82,PT04M34.00S,2025-12-28T20:54:06.0Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612760,18,18,2025-12-28T20:54:13Z,810000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1630178, 1628983]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1155.0,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,
84,PT04M34.00S,2025-12-28T20:54:29.9Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,19,18,2025-12-28T20:54:29Z,830000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (5 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
85,PT04M34.00S,2025-12-28T20:54:30.5Z,1,REGULAR,substitution,out,[],1631114,,,1610612760,19,18,2025-12-28T20:54:34Z,840000,False,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M34.00S,2025-12-28T20:54:30.5Z,1,REGULAR,substitution,in,[],1641717,,,1610612760,19,18,2025-12-28T20:54:34Z,850000,False,,,0,,SUB in: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M34.00S,2025-12-28T20:54:46.7Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,20,18,2025-12-28T20:54:46Z,860000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (6 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
88,PT04M19.00S,2025-12-28T20:55:04.6Z,1,REGULAR,turnover,bad pass,[],1630178,,,1610612755,20,18,2025-12-28T20:55:13Z,870000,False,,,0,,T. Maxey bad pass TURNOVER (1 TO),"[1630178, 1628983]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Right,1.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,,,,
