actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
27,PT09M54.00S,2025-10-29T00:13:27.1Z,1,REGULAR,freethrow,2 of 2,[],1629652,,,1610612760,6,3,2025-10-29T00:13:27Z,270000,False,,,0,,L. Dort Free Throw 2 of 2 (2 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
28,PT09M35.00S,2025-10-29T00:13:48.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,92.19776609724047,46.81372549019608,1610612758,6,3,2025-10-29T00:13:55Z,280000,False,-16.0,21.0,1,right,MISS R. Westbrook driving Layup - blocked,"[201566, 1628983]",1610612758.0,SAC,driving,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,2.62,Missed,,,,,,,,,,,,,,,,,Gilgeous-Alexander,1628983.0
29,PT09M35.00S,2025-10-29T00:13:48.6Z,1,REGULAR,block,,[],1628983,,,1610612758,6,3,2025-10-29T00:13:50Z,290000,False,,,0,,S. Gilgeous-Alexander BLOCK (1 BLK),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT09M31.00S,2025-10-29T00:13:52.6Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,6,3,2025-10-29T00:13:55Z,300000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,28.0,2.0,1.0,1.0,,,,,,,,,,,,,,
31,PT09M31.00S,2025-10-29T00:13:52.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627734,90.75229960578186,48.529411764705884,1610612758,6,5,2025-10-29T00:13:57Z,310000,False,-7.0,34.0,1,right,D. Sabonis putback Layup (2 PTS),[1627734],1610612758.0,SAC,putback,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,3.52,Made,,,,,2.0,,,,,,,,,,,,,
32,PT09M17.00S,2025-10-29T00:14:08.8Z,1,REGULAR,foul,offensive,[],1628392,,,1610612760,6,5,2025-10-29T00:14:14Z,320000,False,,,0,,I. Hartenstein charge offensive FOUL (1 PF),"[1628392, 201942]",1610612760.0,OKC,charge,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627539.0,,,,1.0,0.0,DeRozan,201942.0,,
34,PT09M17.00S,2025-10-29T00:14:08.8Z,1,REGULAR,turnover,offensive foul,[],1628392,,,1610612760,6,5,2025-10-29T00:14:08Z,340000,False,,,0,,I. Hartenstein offensive foul TURNOVER (1 TO),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,1627539.0,,,,,,,,,
35,PT08M57.00S,2025-10-29T00:14:44.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201566,92.59198423127464,3.431372549019608,1610612758,6,8,2025-10-29T00:14:49Z,350000,False,-233.0,17.0,1,right,R. Westbrook 3PT  (6 PTS) (Z. LaVine 1 AST),"[201566, 203897]",1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Left Corner 3,24+ Left,23.34,Made,,,,,6.0,,,,,Z. LaVine,203897.0,1.0,,,,,,
37,PT08M36.00S,2025-10-29T00:15:05.0Z,1,REGULAR,turnover,lost ball,[],1628392,,,1610612760,6,8,2025-10-29T00:15:08Z,370000,False,,,0,,I. Hartenstein lost ball TURNOVER (2 TO),"[1628392, 1627734]",1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,16-24 Left Center,,,,,,,,2.0,Sabonis,1627734.0,,,,,,,,,,
38,PT08M36.00S,2025-10-29T00:15:05.0Z,1,REGULAR,steal,,[],1627734,,,1610612758,6,8,2025-10-29T00:15:06Z,380000,False,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
39,PT08M33.00S,2025-10-29T00:15:08.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203471,91.93495400788436,47.549019607843135,1610612758,6,10,2025-10-29T00:16:02Z,390000,False,-12.0,23.0,1,right,D. Schröder running Layup (2 PTS) (D. Sabonis 1 AST),"[203471, 1627734]",1610612758.0,SAC,running,,,Schröder,D. Schröder,,,,,Restricted Area,0-8 Center,2.63,Made,,,,,2.0,,,,,D. Sabonis,1627734.0,1.0,,,,,,
41,PT08M18.00S,2025-10-29T00:15:23.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,7.046649145860711,65.44117647058823,1610612760,8,10,2025-10-29T00:15:27Z,410000,False,-77.0,14.0,1,left,S. Gilgeous-Alexander 7' pullup bank Jump Shot (2 PTS),[1628983],1610612760.0,OKC,pullup bank,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,7.84,Made,,,,,2.0,,,,,,,,,,,,,
42,PT07M52.00S,2025-10-29T00:15:49.2Z,1,REGULAR,3pt,Jump Shot,[],1627734,68.15045992115637,67.64705882352942,1610612758,8,10,2025-10-29T00:15:53Z,420000,False,88.0,247.0,1,right,MISS D. Sabonis 26' 3PT,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,26.22,Missed,,,,,,,,,,,,,,,,,,
43,PT07M50.00S,2025-10-29T00:15:51.2Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,8,10,2025-10-29T00:15:53Z,430000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:3),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,42.0,3.0,3.0,0.0,,,,,,,,,,,,,,
44,PT07M39.00S,2025-10-29T00:16:02.5Z,1,REGULAR,3pt,Jump Shot,[],1641717,2.3160315374507228,94.6078431372549,1610612760,8,10,2025-10-29T00:16:06Z,440000,False,-223.0,-31.0,1,left,MISS C. Wallace 3PT,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Left Corner 3,24+ Left,22.51,Missed,,,,,,,,,,,,,,,,,,
45,PT07M36.00S,2025-10-29T00:16:05.5Z,1,REGULAR,rebound,defensive,[],203471,,,1610612758,8,10,2025-10-29T00:16:06Z,450000,False,,,0,,D. Schröder REBOUND (Off:0 Def:1),[203471],1610612758.0,SAC,,,,Schröder,D. Schröder,,,,,Left Corner 3,24+ Left,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,
46,PT07M29.00S,2025-10-29T00:16:12.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,87.07293035479631,62.00980392156863,1610612758,8,10,2025-10-29T00:16:16Z,460000,False,60.0,69.0,1,right,MISS R. Westbrook 9' Layup - blocked,"[201566, 1630598]",1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),8-16 Right,9.14,Missed,,,,,,,,,,,,,,,,,Wiggins,1630598.0
47,PT07M29.00S,2025-10-29T00:16:12.1Z,1,REGULAR,block,,[],1630598,,,1610612758,8,10,2025-10-29T00:16:14Z,470000,False,,,0,,A. Wiggins BLOCK (1 BLK),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
48,PT07M26.00S,2025-10-29T00:16:15.1Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,8,10,2025-10-29T00:16:16Z,480000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Right,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,
49,PT07M23.00S,2025-10-29T00:16:19.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629652,4.02431011826544,48.03921568627451,1610612760,10,10,2025-10-29T00:22:45Z,490000,False,10.0,-15.0,1,left,L. Dort running DUNK (4 PTS) (A. Wiggins 1 AST),"[1629652, 1630598]",1610612760.0,OKC,running,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,1.77,Made,,,,,4.0,,,,,A. Wiggins,1630598.0,1.0,,,,,,
51,PT06M58.00S,2025-10-29T00:16:44.1Z,1,REGULAR,3pt,Jump Shot,[],203897,72.88107752956637,82.59803921568627,1610612758,10,13,2025-10-29T00:16:49Z,510000,False,163.0,202.0,1,right,Z. LaVine 25' 3PT pullup (3 PTS) (D. DeRozan 2 AST),"[203897, 201942]",1610612758.0,SAC,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,25.99,Made,,,,,3.0,,,,,D. DeRozan,201942.0,2.0,,,,,,
53,PT06M46.00S,2025-10-29T00:16:55.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.258212877792378,47.05882352941176,1610612760,12,13,2025-10-29T00:16:59Z,530000,False,15.0,6.0,1,left,S. Gilgeous-Alexander driving Layup (4 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.6,Made,,,,,4.0,,,,,,,,,,,,,
54,PT06M35.00S,2025-10-29T00:17:05.9Z,1,REGULAR,3pt,Jump Shot,[],201566,68.01905387647832,66.66666666666666,1610612758,12,16,2025-10-29T00:17:11Z,540000,False,83.0,248.0,1,right,R. Westbrook 26' 3PT pullup (9 PTS),[201566],1610612758.0,SAC,pullup,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Right Center,26.17,Made,,,,,9.0,,,,,,,,,,,,,
55,PT06M34.00S,2025-10-29T00:17:12.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,12,16,2025-10-29T00:17:12Z,550000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M34.00S,2025-10-29T00:19:47.9Z,1,REGULAR,substitution,out,[],1628983,,,1610612760,12,16,2025-10-29T00:20:01Z,560000,False,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M34.00S,2025-10-29T00:19:47.9Z,1,REGULAR,substitution,out,[],1641717,,,1610612760,12,16,2025-10-29T00:20:01Z,570000,False,,,0,,SUB out: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M34.00S,2025-10-29T00:19:47.9Z,1,REGULAR,substitution,out,[],201942,,,1610612760,12,16,2025-10-29T00:20:01Z,580000,False,,,0,,SUB out: D. DeRozan,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M34.00S,2025-10-29T00:19:47.9Z,1,REGULAR,substitution,in,[],1642349,,,1610612760,12,16,2025-10-29T00:20:01Z,590000,False,,,0,,SUB in: A. Mitchell,[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M34.00S,2025-10-29T00:19:47.9Z,1,REGULAR,substitution,in,[],1627936,,,1610612760,12,16,2025-10-29T00:20:01Z,600000,False,,,0,,SUB in: A. Caruso,[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M34.00S,2025-10-29T00:19:47.9Z,1,REGULAR,substitution,in,[],1628370,,,1610612760,12,16,2025-10-29T00:20:01Z,610000,False,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M14.00S,2025-10-29T00:20:37.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,4.418528252299605,60.29411764705882,1610612760,12,16,2025-10-29T00:20:46Z,620000,False,-51.0,-11.0,1,left,MISS I. Hartenstein turnaround fadeaway bank Shot,[1628392],1610612760.0,OKC,turnaround fadeaway bank,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,5.27,Missed,,,,,,,,,,,,,,,,,,
63,PT06M12.00S,2025-10-29T00:20:39.2Z,1,REGULAR,rebound,defensive,[],201566,,,1610612758,12,16,2025-10-29T00:20:46Z,630000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:2),[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,,,62.0,2.0,2.0,0.0,,,,,,,,,,,,,,
64,PT05M57.00S,2025-10-29T00:20:54.1Z,1,REGULAR,3pt,Jump Shot,[],1628370,81.15965834428384,94.85294117647058,1610612758,12,16,2025-10-29T00:20:57Z,640000,False,224.0,125.0,1,right,MISS M. Monk 25' 3PT,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Right Center,25.66,Missed,,,,,,,,,,,,,,,,,,
65,PT05M55.00S,2025-10-29T00:20:56.1Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,12,16,2025-10-29T00:20:57Z,650000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:4),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,64.0,4.0,4.0,0.0,,,,,,,,,,,,,,
66,PT05M46.00S,2025-10-29T00:21:04.9Z,1,REGULAR,turnover,bad pass,[],1627936,,,1610612760,12,16,2025-10-29T00:21:08Z,660000,False,,,0,,A. Caruso bad pass TURNOVER (1 TO),"[1627936, 203471]",1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,Schröder,203471.0,,,,,,,,,,
67,PT05M46.00S,2025-10-29T00:21:04.9Z,1,REGULAR,steal,,[],203471,,,1610612758,12,16,2025-10-29T00:21:06Z,670000,False,,,0,,D. Schröder STEAL (1 STL),[203471],1610612758.0,SAC,,,,Schröder,D. Schröder,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
68,PT05M43.00S,2025-10-29T00:21:07.7Z,1,REGULAR,turnover,bad pass,[],203897,,,1610612758,12,16,2025-10-29T00:21:10Z,680000,False,,,0,,Z. LaVine bad pass TURNOVER (3 TO),"[203897, 1642349]",1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,Mid-Range,8-16 Center,,,,,,,,3.0,Mitchell,1642349.0,,,,,,,,,,
69,PT05M43.00S,2025-10-29T00:21:07.7Z,1,REGULAR,steal,,[],1642349,,,1610612760,12,16,2025-10-29T00:21:09Z,690000,False,,,0,,A. Mitchell STEAL (1 STL),[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
70,PT05M36.00S,2025-10-29T00:21:15.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630598,19.530223390275953,90.93137254901961,1610612760,15,16,2025-10-29T00:21:19Z,700000,False,-205.0,131.0,1,left,A. Wiggins 24' 3PT  (5 PTS) (A. Mitchell 1 AST),"[1630598, 1642349]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,24.31,Made,,,,,5.0,,,,,A. Mitchell,1642349.0,1.0,,,,,,
72,PT05M19.00S,2025-10-29T00:21:32.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627734,92.19776609724047,47.794117647058826,1610612758,15,18,2025-10-29T00:21:37Z,720000,False,-11.0,21.0,1,right,D. Sabonis cutting DUNK (4 PTS) (R. Westbrook 1 AST),"[1627734, 201566]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,2.35,Made,,,,,4.0,,,,,R. Westbrook,201566.0,1.0,,,,,,
74,PT05M09.00S,2025-10-29T00:21:42.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,8.492115637319317,54.90196078431373,1610612760,17,18,2025-10-29T00:21:47Z,740000,False,-25.0,27.0,1,left,A. Wiggins cutting Layup (7 PTS) (A. Caruso 1 AST),"[1630598, 1627936]",1610612760.0,OKC,cutting,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,3.67,Made,,,,,7.0,,,,,A. Caruso,1627936.0,1.0,,,,,,
76,PT05M08.00S,2025-10-29T00:21:45.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,17,18,2025-10-29T00:21:45Z,760000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M08.00S,2025-10-29T00:21:47.2Z,1,REGULAR,substitution,out,[],1628392,,,1610612758,17,18,2025-10-29T00:24:33Z,770000,False,,,0,,SUB out: I. Hartenstein,[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
