actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
17,PT10M22.00S,2025-12-28T23:14:00.5Z,1,REGULAR,foul,personal,['2freethrow'],1641775,,,1610612757,0,7,2025-12-28T23:14:08Z,170000,False,,,0,,J. Walsh shooting personal FOUL (1 PF) (Avdija 2 FT),"[1641775, 1630166]",1610612738.0,BOS,shooting,,,Walsh,J. Walsh,,,,,Mid-Range,16-24 Right Center,1627541.0,,,,,,,,,,,,,,1.0,0.0,Avdija,1630166.0,,
19,PT10M22.00S,2025-12-28T23:14:24.4Z,1,REGULAR,freethrow,1 of 2,[],1630166,,,1610612757,0,7,2025-12-28T23:14:24Z,190000,False,,,0,,MISS D. Avdija Free Throw 1 of 2,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
20,PT10M22.00S,2025-12-28T23:14:24.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,0,7,2025-12-28T23:14:24Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,
21,PT10M22.00S,2025-12-28T23:14:36.0Z,1,REGULAR,freethrow,2 of 2,[],1630166,,,1610612757,1,7,2025-12-28T23:14:36Z,210000,False,,,0,,D. Avdija Free Throw 2 of 2 (1 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
22,PT10M06.00S,2025-12-28T23:14:53.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.258212877792378,46.568627450980394,1610612738,1,9,2025-12-28T23:14:57Z,220000,False,17.0,6.0,1,left,J. Brown driving Layup (6 PTS) (P. Pritchard 1 AST),"[1627759, 1630202]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,1.83,Made,6.0,,,P. Pritchard,1630202.0,1.0,,,,,,,,,,
24,PT10M06.00S,2025-12-28T23:14:57.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,1,9,2025-12-28T23:14:57Z,240000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M54.00S,2025-12-28T23:18:08.0Z,1,REGULAR,foul,personal,[],1641775,,,1610612757,1,9,2025-12-28T23:18:19Z,250000,False,,,0,,J. Walsh personal FOUL (2 PF),"[1641775, 1630166]",1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,In The Paint (Non-RA),8-16 Left,1627519.0,,,,,,,,,,,,,,2.0,0.0,Avdija,1630166.0,,
27,PT09M44.00S,2025-12-28T23:18:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631101,92.46057818659659,50.98039215686274,1610612757,3,9,2025-12-28T23:18:44Z,270000,False,5.0,18.0,1,right,S. Sharpe driving Layup (2 PTS) (D. Avdija 1 AST),"[1631101, 1630166]",1610612757.0,POR,driving,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,1.9,Made,2.0,,,D. Avdija,1630166.0,1.0,,,,,,,,,,
29,PT09M31.00S,2025-12-28T23:18:54.0Z,1,REGULAR,3pt,Jump Shot,[],1630202,30.042706964520367,22.794117647058822,1610612738,3,9,2025-12-28T23:18:58Z,290000,False,136.0,230.0,1,left,MISS P. Pritchard 26' pullup 3PT,[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,,,26.71,Missed,,,,,,,,,,,,,,,,
30,PT09M29.00S,2025-12-28T23:18:56.0Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,3,9,2025-12-28T23:18:58Z,300000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,
31,PT09M26.00S,2025-12-28T23:19:00.1Z,1,REGULAR,turnover,out-of-bounds,[],1631101,,,1610612757,3,9,2025-12-28T23:19:06Z,310000,False,,,0,,S. Sharpe bad pass out-of-bounds TURNOVER (2 TO),[1631101],1610612757.0,POR,bad pass,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,1162.0,2.0,,,,,,,,,,,,,,,,,,
32,PT09M13.00S,2025-12-28T23:19:18.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627759,23.73521681997372,33.57843137254902,1610612738,3,9,2025-12-28T23:19:22Z,320000,False,82.0,171.0,1,left,MISS J. Brown 18' step back Shot,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,,,18.93,Missed,,,,,,,,,,,,,,,,
33,PT09M11.00S,2025-12-28T23:19:20.1Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,3,9,2025-12-28T23:19:22Z,330000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,
34,PT09M02.00S,2025-12-28T23:19:29.9Z,1,REGULAR,3pt,Jump Shot,[],1630166,73.53810775295663,16.42156862745098,1610612757,3,9,2025-12-28T23:19:34Z,340000,False,-168.0,196.0,1,right,MISS D. Avdija 25' 3PT,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,25.82,Missed,,,,,,,,,,,,,,,,
35,PT08M59.00S,2025-12-28T23:19:32.9Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,3,9,2025-12-28T23:19:34Z,350000,False,,,0,,D. Clingan REBOUND (Off:1 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,34.0,2.0,1.0,1.0,,,,,,
36,PT08M57.00S,2025-12-28T23:19:34.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642270,95.3515111695138,44.11764705882353,1610612757,5,9,2025-12-28T23:19:45Z,360000,False,-29.0,-9.0,1,right,D. Clingan reverse Layup (2 PTS),[1642270],1610612757.0,POR,reverse,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,3.07,Made,2.0,,,,,,,,,,,,,,,
37,PT08M40.00S,2025-12-28T23:19:51.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629674,6.389618922470433,52.94117647058824,1610612738,5,11,2025-12-28T23:19:55Z,370000,False,-15.0,8.0,1,left,N. Queta turnaround bank Hook (2 PTS) (P. Pritchard 2 AST),"[1629674, 1630202]",1610612738.0,BOS,turnaround bank,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,1.65,Made,2.0,,,P. Pritchard,1630202.0,2.0,,,,,,,,,,
39,PT08M30.00S,2025-12-28T23:20:00.9Z,1,REGULAR,2pt,Jump Shot,[],1631101,74.85216819973719,32.1078431372549,1610612757,5,11,2025-12-28T23:20:05Z,390000,False,-89.0,184.0,1,right,MISS S. Sharpe 20' pullup Shot,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Left Center,,,20.45,Missed,,,,,,,,,,,,,,,,
40,PT08M28.00S,2025-12-28T23:20:02.9Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,5,11,2025-12-28T23:20:05Z,400000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,
41,PT08M19.00S,2025-12-28T23:20:12.3Z,1,REGULAR,3pt,Jump Shot,[],1641775,5.075558475689881,94.85294117647058,1610612738,5,14,2025-12-28T23:20:18Z,410000,False,-224.0,-5.0,1,left,J. Walsh 3PT  (3 PTS) (D. White 3 AST),"[1641775, 1628401]",1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Left Corner 3,24+ Left,,,22.44,Made,3.0,,,D. White,1628401.0,3.0,,,,,,,,,,
43,PT07M55.00S,2025-12-28T23:20:35.4Z,1,REGULAR,3pt,Jump Shot,[],1631101,68.41327201051249,22.54901960784314,1610612757,8,14,2025-12-28T23:20:38Z,430000,False,-137.0,244.0,1,right,S. Sharpe 28' 3PT  (5 PTS) (K. Murray 1 AST),"[1631101, 1631200]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,,,28.03,Made,5.0,,,K. Murray,1631200.0,1.0,,,,,,,,,,
45,PT07M47.00S,2025-12-28T23:20:44.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,5.075558475689881,48.28431372549019,1610612738,8,16,2025-12-28T23:20:48Z,450000,False,9.0,-5.0,1,left,D. White driving Layup (2 PTS),[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,Restricted Area,0-8 Center,,,0.98,Made,2.0,,,,,,,,,,,,,,,
46,PT07M34.00S,2025-12-28T23:20:57.4Z,1,REGULAR,turnover,lost ball,[],1630166,,,1610612757,8,16,2025-12-28T23:21:05Z,460000,False,,,0,,D. Avdija lost ball TURNOVER (2 TO),"[1630166, 1641775]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,2.0,,,,Walsh,1641775.0,,,,,,,,,,,,,
47,PT07M34.00S,2025-12-28T23:20:57.4Z,1,REGULAR,steal,,[],1641775,,,1610612738,8,16,2025-12-28T23:20:58Z,470000,False,,,0,,J. Walsh STEAL (1 STL),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
48,PT07M30.00S,2025-12-28T23:21:04.1Z,1,REGULAR,foul,offensive,[],1641775,,,1610612738,8,16,2025-12-28T23:21:13Z,480000,False,,,0,,J. Walsh charge offensive FOUL (3 PF),"[1641775, 1641739]",1610612738.0,BOS,charge,,,Walsh,J. Walsh,,,,,Restricted Area,0-8 Center,1162.0,,,,,,,,,,,,,,3.0,0.0,Camara,1641739.0,,
50,PT07M30.00S,2025-12-28T23:21:04.1Z,1,REGULAR,turnover,offensive foul,[],1641775,,,1610612738,8,16,2025-12-28T23:21:04Z,500000,False,,,0,,J. Walsh offensive foul TURNOVER (1 TO),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Restricted Area,0-8 Center,1162.0,1.0,,,,,,,,,,,,,,,,,,
51,PT07M30.00S,2025-12-28T23:21:11.7Z,1,REGULAR,substitution,out,[],1631200,,,1610612757,8,16,2025-12-28T23:21:19Z,510000,False,,,0,,SUB out: K. Murray,[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M30.00S,2025-12-28T23:21:11.7Z,1,REGULAR,substitution,out,[],1641775,,,1610612757,8,16,2025-12-28T23:21:19Z,520000,False,,,0,,SUB out: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M30.00S,2025-12-28T23:21:11.7Z,1,REGULAR,substitution,in,[],1631321,,,1610612757,8,16,2025-12-28T23:21:19Z,530000,False,,,0,,SUB in: S. Cissoko,[1631321],1610612757.0,POR,,,,Cissoko,S. Cissoko,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M30.00S,2025-12-28T23:21:11.7Z,1,REGULAR,substitution,in,[],1642864,,,1610612757,8,16,2025-12-28T23:21:19Z,540000,False,,,0,,SUB in: H. González,[1642864],1610612738.0,BOS,,,,González,H. González,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M18.00S,2025-12-28T23:21:41.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630166,70.90998685939553,22.30392156862745,1610612757,11,16,2025-12-28T23:21:44Z,550000,False,-138.0,221.0,1,right,D. Avdija 26' 3PT pullup (4 PTS),[1630166],1610612757.0,POR,pullup,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,26.07,Made,4.0,,,,,,,,,,,,,,,
56,PT07M05.00S,2025-12-28T23:21:54.1Z,1,REGULAR,3pt,Jump Shot,[],1628401,29.25427069645204,77.94117647058823,1610612738,11,16,2025-12-28T23:21:57Z,560000,False,-140.0,222.0,1,left,MISS D. White 26' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,26.27,Missed,,,,,,,,,,,,,,,,
57,PT07M03.00S,2025-12-28T23:21:56.1Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,11,16,2025-12-28T23:21:57Z,570000,False,,,0,,D. Clingan REBOUND (Off:1 Def:2),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,56.0,3.0,2.0,1.0,,,,,,
58,PT06M51.00S,2025-12-28T23:22:09.4Z,1,REGULAR,3pt,Jump Shot,[],1642270,70.77858081471747,74.26470588235294,1610612757,14,16,2025-12-28T23:25:13Z,580000,False,121.0,222.0,1,right,D. Clingan 25' 3PT  (5 PTS) (D. Avdija 2 AST),"[1642270, 1630166]",1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Right Center,,,25.32,Made,5.0,,,D. Avdija,1630166.0,2.0,,,,,,,,,,
60,PT06M51.00S,2025-12-28T23:22:17.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,14,16,2025-12-28T23:22:17Z,600000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M51.00S,2025-12-28T23:25:11.6Z,1,REGULAR,substitution,out,[],1631101,,,1610612738,14,16,2025-12-28T23:25:35Z,620000,False,,,0,,SUB out: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M51.00S,2025-12-28T23:25:11.6Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,14,16,2025-12-28T23:25:35Z,630000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M51.00S,2025-12-28T23:25:11.6Z,1,REGULAR,substitution,in,[],1631126,,,1610612738,14,16,2025-12-28T23:25:35Z,640000,False,,,0,,SUB in: C. Love,[1631126],1610612757.0,POR,,,,Love,C. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M51.00S,2025-12-28T23:25:11.6Z,1,REGULAR,substitution,in,[],1629014,,,1610612738,14,16,2025-12-28T23:25:35Z,650000,False,,,0,,SUB in: A. Simons,[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M34.00S,2025-12-28T23:25:57.9Z,1,REGULAR,3pt,Jump Shot,[],1629014,30.436925098554536,34.31372549019608,1610612738,14,19,2025-12-28T23:26:04Z,660000,False,78.0,234.0,1,left,A. Simons 24' 3PT  (3 PTS) (H. González 1 AST),"[1629014, 1642864]",1610612738.0,BOS,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,,,24.64,Made,3.0,,,H. González,1642864.0,1.0,,,,,,,,,,
68,PT06M09.00S,2025-12-28T23:26:23.4Z,1,REGULAR,3pt,Jump Shot,[],1642270,66.96780551905388,33.82352941176471,1610612757,14,19,2025-12-28T23:26:26Z,680000,False,-81.0,258.0,1,right,MISS D. Clingan 27' 3PT,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Center,,,27.04,Missed,,,,,,,,,,,,,,,,
69,PT06M06.00S,2025-12-28T23:26:26.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,14,19,2025-12-28T23:26:26Z,690000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,,,,,,,,,,,68.0,1.0,1.0,0.0,,,,,,
70,PT05M55.00S,2025-12-28T23:26:35.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629674,6.783837056504599,63.725490196078425,1610612738,14,19,2025-12-28T23:26:42Z,700000,False,-69.0,11.0,1,left,MISS N. Queta 6' floating Shot,[1629674],1610612738.0,BOS,floating,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,,,6.95,Missed,,,,,,,,,,,,,,,,
71,PT05M54.00S,2025-12-28T23:26:37.2Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,14,19,2025-12-28T23:26:37Z,710000,False,,,0,,D. Clingan REBOUND (Off:1 Def:3),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,70.0,4.0,3.0,1.0,,,,,,
72,PT05M47.00S,2025-12-28T23:26:45.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641739,94.95729303547962,50.98039215686274,1610612757,16,19,2025-12-28T23:26:51Z,720000,False,5.0,-5.0,1,right,T. Camara driving Layup (2 PTS),[1641739],1610612757.0,POR,driving,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,0.71,Made,2.0,,,,,,,,,,,,,,,
73,PT05M27.00S,2025-12-28T23:27:04.8Z,1,REGULAR,2pt,Jump Shot,[],1630202,21.50131406044678,32.59803921568628,1610612738,16,19,2025-12-28T23:27:09Z,730000,False,87.0,150.0,1,left,MISS P. Pritchard 17' step back Shot,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,Mid-Range,16-24 Right Center,,,17.31,Missed,,,,,,,,,,,,,,,,
74,PT05M23.00S,2025-12-28T23:27:08.8Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,16,19,2025-12-29T00:34:48Z,740000,False,,,0,,D. Clingan REBOUND (Off:1 Def:4),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,73.0,5.0,4.0,1.0,,,,,,
77,PT05M18.00S,2025-12-28T23:27:13.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631126,65.52233902759527,22.30392156862745,1610612757,16,19,2025-12-29T02:08:20Z,770000,False,-138.0,272.0,1,right,MISS C. Love 30' running 3PT,[1631126],1610612757.0,POR,running,,,Love,C. Love,,,,,Above the Break 3,24+ Left Center,,,30.49,Missed,,,,,,,,,,,,,,,,
78,PT05M18.00S,2025-12-28T23:27:13.2Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,16,19,2025-12-28T23:27:20Z,780000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:2),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,77.0,2.0,2.0,0.0,,,,,,
79,PT05M04.00S,2025-12-28T23:27:28.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.652431011826544,48.529411764705884,1610612738,16,21,2025-12-28T23:27:34Z,790000,False,7.0,10.0,1,left,J. Brown driving reverse Layup (8 PTS) (H. González 2 AST),"[1627759, 1642864]",1610612738.0,BOS,driving reverse,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,1.24,Made,8.0,,,H. González,1642864.0,2.0,,,,,,,,,,
81,PT04M46.00S,2025-12-28T23:27:46.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642270,94.95729303547962,47.794117647058826,1610612757,18,21,2025-12-28T23:27:51Z,810000,False,-11.0,-5.0,1,right,D. Clingan cutting Layup (7 PTS) (D. Avdija 3 AST),"[1642270, 1630166]",1610612757.0,POR,cutting,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,1.21,Made,7.0,,,D. Avdija,1630166.0,3.0,,,,,,,,,,
83,PT04M34.00S,2025-12-28T23:27:58.1Z,1,REGULAR,2pt,Jump Shot,[],1627759,23.603810775295663,30.392156862745097,1610612738,18,23,2025-12-28T23:28:02Z,830000,False,98.0,169.0,1,left,J. Brown 19' step back Jump Shot (10 PTS) (A. Simons 1 AST),"[1627759, 1629014]",1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,,,19.57,Made,10.0,,,A. Simons,1629014.0,1.0,,,,,,,,,,
84,PT04M19.00S,2025-12-28T23:28:12.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642270,93.64323258869908,49.26470588235294,1610612757,20,23,2025-12-28T23:28:24Z,840000,False,-4.0,7.0,1,right,D. Clingan cutting DUNK (9 PTS) (C. Love 1 AST),"[1642270, 1631126]",1610612757.0,POR,cutting,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,0.82,Made,9.0,,,C. Love,1631126.0,1.0,,,,,,,,,,
86,PT04M09.00S,2025-12-28T23:28:27.2Z,1,REGULAR,foul,offensive,[],1629674,,,1610612738,20,23,2025-12-28T23:28:33Z,860000,False,,,0,,N. Queta offensive FOUL (1 PF),"[1629674, 1631321]",1610612738.0,BOS,,,,Queta,N. Queta,,,,,Above the Break 3,24+ Center,1627541.0,,,,,,,,,,,,,,1.0,0.0,Cissoko,1631321.0,,
88,PT04M09.00S,2025-12-28T23:28:27.2Z,1,REGULAR,turnover,offensive foul,[],1629674,,,1610612738,20,23,2025-12-28T23:28:27Z,880000,False,,,0,,N. Queta offensive foul TURNOVER (1 TO),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Above the Break 3,24+ Center,1627541.0,1.0,,,,,,,,,,,,,,,,,,
89,PT04M09.00S,2025-12-28T23:28:31.9Z,1,REGULAR,substitution,out,[],1629674,,,1610612757,20,23,2025-12-28T23:28:34Z,890000,False,,,0,,SUB out: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M09.00S,2025-12-28T23:28:31.9Z,1,REGULAR,substitution,in,[],1630568,,,1610612757,20,23,2025-12-28T23:28:34Z,900000,False,,,0,,SUB in: L. Garza,[1630568],1610612738.0,BOS,,,,Garza,L. Garza,,,,,,,,,,,,,,,,,,,,,,,,,,
