actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
31,PT09M34.00S,2026-01-10T03:16:09.2Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1631106,,,1610612745,5,7,2026-01-10T03:16:34Z,310000,False,,,0,,T. Eason Free Throw 1 of 2 (1 PTS),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
32,PT09M34.00S,2026-01-10T03:16:09.2Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1631106,,,1610612745,5,7,2026-01-10T03:16:34Z,320000,False,,,0,,MISS T. Eason Free Throw 2 of 2,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
33,PT09M29.00S,2026-01-10T03:16:14.2Z,1,REGULAR,rebound,offensive,[],1631106,,,1610612745,5,7,2026-01-10T03:16:34Z,330000,False,,,0,,T. Eason REBOUND (Off:1 Def:0),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,32.0,,,,,,1.0,0.0,1.0
34,PT09M28.00S,2026-01-10T03:16:33.2Z,1,REGULAR,turnover,bad pass,[],1631106,,,1610612745,5,7,2026-01-10T03:16:37Z,340000,False,,,0,,T. Eason bad pass TURNOVER (1 TO),"[1631106, 1631321]",1610612745.0,HOU,,,,Eason,T. Eason,,,,,In The Paint (Non-RA),0-8 Center,1.0,Cissoko,1631321.0,,,,,,,,,,,,,,,,,
35,PT09M28.00S,2026-01-10T03:16:33.2Z,1,REGULAR,steal,,[],1631321,,,1610612757,5,7,2026-01-10T03:19:29Z,350000,False,,,0,,S. Cissoko STEAL (1 STL),[1631321],1610612757.0,POR,,,,Cissoko,S. Cissoko,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT09M19.00S,2026-01-10T03:16:42.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631101,22.28975032851511,87.25490196078431,1610612757,5,7,2026-01-10T03:16:47Z,360000,False,-186.0,157.0,1,left,MISS S. Sharpe 24' step back 3PT,[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,,,,24.36,Missed,,,,,,,,,,,,,,,
37,PT09M16.00S,2026-01-10T03:16:45.8Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,5,7,2026-01-10T03:16:47Z,370000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,36.0,,,,,,1.0,1.0,0.0
38,PT09M11.00S,2026-01-10T03:16:50.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641708,92.46057818659659,51.71568627450981,1610612745,5,9,2026-01-10T03:16:56Z,380000,False,9.0,18.0,1,right,A. Thompson running Layup (4 PTS),[1641708],1610612745.0,HOU,running,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,2.03,Made,4.0,,,,,,,,,,,,,,
39,PT08M59.00S,2026-01-10T03:17:01.8Z,1,REGULAR,3pt,Jump Shot,[],1631321,12.565703022339028,3.6764705882352944,1610612757,8,9,2026-01-10T03:17:05Z,390000,False,232.0,66.0,1,left,S. Cissoko 24' 3PT  (3 PTS) (D. Clingan 1 AST),"[1631321, 1642270]",1610612757.0,POR,,,,Cissoko,S. Cissoko,,,,,Right Corner 3,24+ Right,,,,24.07,Made,3.0,D. Clingan,1642270.0,1.0,,,,,,,,,,,
41,PT08M42.00S,2026-01-10T03:17:18.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641708,80.50262812089356,62.99019607843137,1610612745,8,11,2026-01-10T03:17:23Z,410000,False,65.0,131.0,1,right,A. Thompson 14' pullup Jump Shot (6 PTS),[1641708],1610612745.0,HOU,pullup,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,,14.61,Made,6.0,,,,,,,,,,,,,,
42,PT08M27.00S,2026-01-10T03:17:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631101,7.835085413929041,56.372549019607845,1610612757,10,11,2026-01-10T03:17:39Z,420000,False,-32.0,21.0,1,left,S. Sharpe driving Layup (2 PTS) (D. Clingan 2 AST),"[1631101, 1642270]",1610612757.0,POR,driving,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,3.82,Made,2.0,D. Clingan,1642270.0,2.0,,,,,,,,,,,
44,PT08M27.00S,2026-01-10T03:17:37.5Z,1,REGULAR,foul,personal,['1freethrow'],203500,,,1610612757,10,11,2026-01-10T03:17:45Z,440000,False,,,0,,S. Adams shooting personal FOUL (1 PF) (Sharpe 1 FT),"[203500, 1631101]",1610612745.0,HOU,shooting,,,Adams,S. Adams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,201245.0,1.0,0.0,Sharpe,1631101.0,,,
46,PT08M27.00S,2026-01-10T03:18:05.8Z,1,REGULAR,freethrow,1 of 1,[],1631101,,,1610612757,11,11,2026-01-10T03:18:05Z,460000,False,,,0,,S. Sharpe Free Throw 1 of 1 (3 PTS),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
48,PT08M09.00S,2026-01-10T03:18:41.7Z,1,REGULAR,2pt,Jump Shot,[],1631095,89.70105124835742,32.35294117647059,1610612745,11,13,2026-01-10T03:18:46Z,480000,False,-88.0,44.0,1,right,J. Smith Jr. 9' fadeaway Jump Shot (4 PTS),[1631095],1610612745.0,HOU,fadeaway,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Left,,,,9.87,Made,4.0,,,,,,,,,,,,,,
49,PT07M55.00S,2026-01-10T03:18:55.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641739,7.046649145860711,48.529411764705884,1610612757,13,13,2026-01-10T03:18:59Z,490000,False,7.0,14.0,1,left,T. Camara cutting Layup (7 PTS) (D. Clingan 3 AST),"[1641739, 1642270]",1610612757.0,POR,cutting,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,1.56,Made,7.0,D. Clingan,1642270.0,3.0,,,,,,,,,,,
51,PT07M43.00S,2026-01-10T03:19:08.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631095,79.97700394218134,50.0,1610612745,13,13,2026-01-10T03:19:12Z,510000,False,0.0,136.0,1,right,MISS J. Smith Jr. 13' pullup Shot,[1631095],1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,13.57,Missed,,,,,,,,,,,,,,,
52,PT07M39.00S,2026-01-10T03:19:12.4Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,13,13,2026-01-10T03:19:12Z,520000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,51.0,,,,,,1.0,1.0,0.0
53,PT07M30.00S,2026-01-10T03:19:20.8Z,1,REGULAR,3pt,Jump Shot,[],1641739,27.283180026281208,23.03921568627451,1610612757,16,13,2026-01-10T03:19:25Z,530000,False,135.0,204.0,1,left,T. Camara 24' 3PT  (10 PTS) (S. Sharpe 1 AST),"[1641739, 1631101]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,,24.45,Made,10.0,S. Sharpe,1631101.0,1.0,,,,,,,,,,,
55,PT07M10.00S,2026-01-10T03:19:39.9Z,1,REGULAR,2pt,Jump Shot,[],201142,91.93495400788436,25.735294117647058,1610612745,16,15,2026-01-10T03:19:44Z,550000,False,-121.0,23.0,1,right,K. Durant 12' Jump Shot (2 PTS) (S. Adams 1 AST),"[201142, 203500]",1610612745.0,HOU,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,,,,12.35,Made,2.0,S. Adams,203500.0,1.0,,,,,,,,,,,
58,PT06M58.00S,2026-01-10T03:19:52.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,7.5722733245729295,44.11764705882353,1610612757,16,15,2026-01-10T03:19:59Z,580000,False,29.0,19.0,1,left,MISS D. Avdija driving Layup,[1630166],1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,3.48,Missed,,,,,,,,,,,,,,,
59,PT06M54.00S,2026-01-10T03:19:56.9Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612757,16,15,2026-01-10T04:22:47Z,590000,False,,,0,,D. Avdija REBOUND (Off:1 Def:0),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,58.0,,,,,,1.0,0.0,1.0
62,PT06M49.00S,2026-01-10T03:20:01.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631101,7.30946123521682,46.568627450980394,1610612757,18,15,2026-01-10T03:20:05Z,620000,False,17.0,16.0,1,left,S. Sharpe driving Layup (5 PTS) (T. Camara 1 AST),"[1631101, 1641739]",1610612757.0,POR,driving,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,2.36,Made,5.0,T. Camara,1641739.0,1.0,,,,,,,,,,,
64,PT06M49.00S,2026-01-10T03:20:06.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,18,15,2026-01-10T03:20:06Z,640000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M49.00S,2026-01-10T03:21:10.4Z,1,REGULAR,substitution,out,[],1631321,,,1610612745,18,15,2026-01-10T03:23:08Z,650000,False,,,0,,SUB out: S. Cissoko,[1631321],1610612757.0,POR,,,,Cissoko,S. Cissoko,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M49.00S,2026-01-10T03:21:10.4Z,1,REGULAR,substitution,out,[],203500,,,1610612745,18,15,2026-01-10T03:23:08Z,660000,False,,,0,,SUB out: S. Adams,[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M49.00S,2026-01-10T03:21:10.4Z,1,REGULAR,substitution,out,[],1631106,,,1610612745,18,15,2026-01-10T03:23:08Z,670000,False,,,0,,SUB out: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M49.00S,2026-01-10T03:21:10.4Z,1,REGULAR,substitution,in,[],1641712,,,1610612745,18,15,2026-01-10T03:23:08Z,680000,False,,,0,,SUB in: R. Rupert,[1641712],1610612757.0,POR,,,,Rupert,R. Rupert,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M49.00S,2026-01-10T03:21:10.4Z,1,REGULAR,substitution,in,[],1627827,,,1610612745,18,15,2026-01-10T03:23:08Z,690000,False,,,0,,SUB in: D. Finney-Smith,[1627827],1610612745.0,HOU,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M49.00S,2026-01-10T03:21:10.4Z,1,REGULAR,substitution,in,[],203991,,,1610612745,18,15,2026-01-10T03:23:08Z,700000,False,,,0,,SUB in: C. Capela,[203991],1610612745.0,HOU,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M34.00S,2026-01-10T03:23:24.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641708,91.40932982917214,53.18627450980392,1610612745,18,17,2026-01-10T03:23:29Z,710000,False,16.0,28.0,1,right,A. Thompson driving Layup (8 PTS) (J. Smith Jr. 1 AST),"[1641708, 1631095]",1610612745.0,HOU,driving,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,3.25,Made,8.0,J. Smith Jr.,1631095.0,1.0,,,,,,,,,,,
73,PT06M13.00S,2026-01-10T03:23:46.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,7.30946123521682,47.05882352941176,1610612757,18,17,2026-01-10T03:23:50Z,730000,False,15.0,16.0,1,left,MISS D. Avdija driving reverse Layup,[1630166],1610612757.0,POR,driving reverse,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,2.19,Missed,,,,,,,,,,,,,,,
74,PT06M12.00S,2026-01-10T03:23:47.1Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,18,17,2026-01-10T03:23:50Z,740000,False,,,0,,D. Clingan REBOUND (Off:1 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,73.0,,,,,,2.0,1.0,1.0
75,PT06M12.00S,2026-01-10T03:23:49.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642270,5.590000152587891,50.0,1610612757,18,17,2026-01-10T03:23:49Z,750000,False,0.0,0.0,1,left,MISS D. Clingan tip Layup,[1642270],1610612757.0,POR,tip,,,Clingan,D. Clingan,,,,,Mid-Range,8-16 Left,,,,0.0,Missed,,,,,,,,,,,,,,,
76,PT06M12.00S,2026-01-10T03:23:49.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,18,17,2026-01-10T03:23:49Z,760000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,75.0,,,,,,,,
78,PT05M58.00S,2026-01-10T03:24:06.8Z,1,REGULAR,3pt,Jump Shot,[],1631095,67.88764783180025,31.372549019607842,1610612745,18,17,2026-01-10T03:24:12Z,780000,False,-93.0,249.0,1,right,MISS J. Smith Jr. 26' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,26.62,Missed,,,,,,,,,,,,,,,
79,PT05M53.00S,2026-01-10T03:24:11.8Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612745,18,17,2026-01-10T03:24:12Z,790000,False,,,0,,D. Finney-Smith REBOUND (Off:1 Def:0),[1627827],1610612745.0,HOU,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,78.0,,,,,,1.0,0.0,1.0
80,PT05M52.00S,2026-01-10T03:24:12.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201142,67.36202365308804,61.274509803921575,1610612745,18,17,2026-01-10T03:24:17Z,800000,False,56.0,254.0,1,right,MISS K. Durant 26' 3PT,[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,,,,26.05,Missed,,,,,,,,,,,,,,,
81,PT05M48.00S,2026-01-10T03:24:16.9Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,18,17,2026-01-10T03:24:17Z,810000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,80.0,,,,,,1.0,1.0,0.0
82,PT05M34.00S,2026-01-10T03:24:30.3Z,1,REGULAR,3pt,Jump Shot,[],1631101,31.61957950065703,37.00980392156863,1610612757,18,17,2026-01-10T03:25:30Z,820000,False,65.0,245.0,1,left,MISS S. Sharpe 25' pullup 3PT,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,,,,25.32,Missed,,,,,,,,,,,,,,,
83,PT05M31.00S,2026-01-10T03:24:33.3Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,18,17,2026-01-10T03:24:34Z,830000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,82.0,,,,,,1.0,1.0,0.0
84,PT05M26.00S,2026-01-10T03:24:38.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627827,90.62089356110381,3.1862745098039214,1610612745,18,17,2026-01-10T03:25:55Z,840000,False,-234.0,36.0,1,right,MISS D. Finney-Smith running 3PT,[1627827],1610612745.0,HOU,running,,,Finney-Smith,D. Finney-Smith,,,,,Left Corner 3,24+ Left,,,,23.68,Missed,,,,,,,,,,,,,,,
85,PT05M24.00S,2026-01-10T03:24:40.6Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,18,17,2026-01-10T03:24:43Z,850000,False,,,0,,D. Clingan REBOUND (Off:1 Def:2),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,84.0,,,,,,3.0,2.0,1.0
86,PT05M18.00S,2026-01-10T03:24:47.0Z,1,REGULAR,3pt,Jump Shot,[],1630166,30.962549277266753,70.09803921568627,1610612757,18,17,2026-01-10T03:24:52Z,860000,False,-100.0,239.0,1,left,MISS D. Avdija 25' step back 3PT,[1630166],1610612757.0,POR,step back,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,,25.88,Missed,,,,,,,,,,,,,,,
87,PT05M13.00S,2026-01-10T03:24:52.0Z,1,REGULAR,rebound,offensive,[],1631101,,,1610612757,18,17,2026-01-10T03:24:52Z,870000,False,,,0,,S. Sharpe REBOUND (Off:1 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,86.0,,,,,,2.0,1.0,1.0
88,PT05M13.00S,2026-01-10T03:24:56.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1631101,6.258212877792378,51.470588235294116,1610612757,20,17,2026-01-10T03:26:16Z,880000,False,-7.0,6.0,1,left,S. Sharpe putback DUNK (7 PTS),[1631101],1610612757.0,POR,putback,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,0.97,Made,7.0,,,,,,,,,,,,,,
89,PT04M58.00S,2026-01-10T03:25:09.2Z,1,REGULAR,foul,personal,[],1641712,,,1610612745,20,17,2026-01-10T03:25:13Z,890000,False,,,0,,R. Rupert personal FOUL (1 PF),"[1641712, 201142]",1610612757.0,POR,,,,Rupert,R. Rupert,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,201245.0,1.0,0.0,Durant,201142.0,,,
91,PT04M58.00S,2026-01-10T03:25:15.3Z,1,REGULAR,substitution,out,[],1631101,,,1610612745,20,17,2026-01-10T03:25:21Z,910000,False,,,0,,SUB out: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
