actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
34,PT09M17.00S,2026-02-10T03:18:23.4Z,1,REGULAR,3pt,Jump Shot,[],1626162,27.151773981603156,14.460784313725492,1610612755,8,6,2026-02-10T03:18:26Z,330000,False,178.0,203.0,1,left,MISS K. Oubre Jr. 26' 3PT,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,26.96,Missed,,,,,,,,,,,,,,,,,,
35,PT09M15.00S,2026-02-10T03:18:25.4Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,8,6,2026-02-10T03:18:26Z,340000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Right Center,,,,,,,34.0,,,,,,1.0,1.0,0.0,,,,,
36,PT09M11.00S,2026-02-10T03:18:29.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203924,90.22667542706965,3.1862745098039214,1610612757,8,6,2026-02-10T03:23:02Z,350000,False,-234.0,39.0,1,right,MISS J. Grant running 3PT,[203924],1610612757.0,POR,running,,,Grant,J. Grant,,,,,Left Corner 3,24+ Left,23.74,Missed,,,,,,,,,,,,,,,,,,
37,PT09M09.00S,2026-02-10T03:18:31.4Z,1,REGULAR,rebound,defensive,[],1642845,,,1610612755,8,6,2026-02-10T03:18:33Z,360000,False,,,0,,V. Edgecombe REBOUND (Off:0 Def:1),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Left Corner 3,24+ Left,,,,,,,36.0,,,,,,1.0,1.0,0.0,,,,,
38,PT08M53.00S,2026-02-10T03:18:47.2Z,1,REGULAR,2pt,Jump Shot,[],1630178,23.340998685939553,56.86274509803921,1610612755,8,8,2026-02-10T03:18:50Z,370000,False,-34.0,167.0,1,left,T. Maxey 17' step back Jump Shot (2 PTS),[1630178],1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Center,17.04,Made,2.0,,,,,,,,,,,,,,,,,
39,PT08M40.00S,2026-02-10T03:19:00.0Z,1,REGULAR,3pt,Jump Shot,[],203924,85.3646517739816,2.941176470588235,1610612757,11,8,2026-02-10T03:19:03Z,380000,False,-235.0,85.0,1,right,J. Grant 25' 3PT  (3 PTS) (D. Avdija 3 AST),"[203924, 1630166]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Left Corner 3,24+ Left,25.02,Made,3.0,D. Avdija,1630166.0,3.0,,,,,,,,,,,,,,
41,PT08M22.00S,2026-02-10T03:19:18.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642845,6.258212877792378,47.794117647058826,1610612755,11,8,2026-02-10T03:19:22Z,400000,False,11.0,6.0,1,left,MISS V. Edgecombe driving finger roll Layup,[1642845],1610612755.0,PHI,driving finger roll,,,Edgecombe,V. Edgecombe,,,,,Restricted Area,0-8 Center,1.27,Missed,,,,,,,,,,,,,,,,,,
42,PT08M18.00S,2026-02-10T03:19:22.6Z,1,REGULAR,rebound,defensive,[],201950,,,1610612757,11,8,2026-02-10T03:19:22Z,410000,False,,,0,,J. Holiday REBOUND (Off:1 Def:1),[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,,41.0,,,,,,2.0,1.0,1.0,,,,,
43,PT08M13.00S,2026-02-10T03:19:27.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203924,91.80354796320631,45.09803921568628,1610612757,13,8,2026-02-10T03:19:32Z,420000,False,-25.0,25.0,1,right,J. Grant running Layup (5 PTS) (J. Holiday 2 AST),"[203924, 201950]",1610612757.0,POR,running,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,3.46,Made,5.0,J. Holiday,201950.0,2.0,,,,,,,,,,,,,,
45,PT07M52.00S,2026-02-10T03:19:48.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,9.543363994743759,45.34313725490196,1610612755,13,8,2026-02-10T03:19:52Z,440000,False,23.0,37.0,1,left,MISS A. Drummond cutting Layup - blocked,"[203083, 1642270]",1610612755.0,PHI,cutting,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,4.39,Missed,,,,,,,,,,,,,,Clingan,1642270.0,,,
46,PT07M52.00S,2026-02-10T03:19:48.2Z,1,REGULAR,block,,[],1642270,,,1610612755,13,8,2026-02-10T03:19:50Z,450000,False,,,0,,D. Clingan BLOCK (1 BLK),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT07M49.00S,2026-02-10T03:19:51.2Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,13,8,2026-02-10T03:19:56Z,460000,False,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,45.0,,,,,,1.0,0.0,1.0,,,,,
48,PT07M49.00S,2026-02-10T03:19:57.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,8.886333771353483,51.71568627450981,1610612755,13,10,2026-02-10T03:20:12Z,470000,False,-9.0,31.0,1,left,A. Drummond tip Layup (2 PTS),[203083],1610612755.0,PHI,tip,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,3.22,Made,2.0,,,,,,,,,,,,,,,,,
49,PT07M41.00S,2026-02-10T03:20:01.4Z,1,REGULAR,foul,personal,['2freethrow'],1630570,,,1610612757,13,10,2026-02-10T03:20:21Z,480000,False,,,0,,T. Watford shooting personal FOUL (1 PF) (Avdija 2 FT),"[1630570, 1630166]",1610612755.0,PHI,shooting,,,Watford,T. Watford,,,,,Restricted Area,0-8 Center,,,,,,,,1627961.0,1.0,0.0,Avdija,1630166.0,,,,,,,,
51,PT07M41.00S,2026-02-10T03:20:31.4Z,1,REGULAR,freethrow,1 of 2,[],1630166,,,1610612757,14,10,2026-02-10T03:20:56Z,500000,False,,,0,,D. Avdija Free Throw 1 of 2 (3 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
52,PT07M41.00S,2026-02-10T03:20:32.5Z,1,REGULAR,substitution,out,[],201950,,,1610612757,14,10,2026-02-10T03:20:35Z,510000,False,,,0,,SUB out: J. Holiday,[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M41.00S,2026-02-10T03:20:32.5Z,1,REGULAR,substitution,in,[],1630703,,,1610612757,14,10,2026-02-10T03:20:35Z,520000,False,,,0,,SUB in: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M41.00S,2026-02-10T03:20:31.4Z,1,REGULAR,freethrow,2 of 2,[],1630166,,,1610612757,14,10,2026-02-10T03:20:56Z,530000,False,,,0,,MISS D. Avdija Free Throw 2 of 2,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
55,PT07M39.00S,2026-02-10T03:20:33.4Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,14,10,2026-02-10T03:20:56Z,540000,False,,,0,,A. Drummond REBOUND (Off:1 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,54.0,,,,,,2.0,1.0,1.0,,,,,
56,PT07M32.00S,2026-02-10T03:20:58.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.30946123521682,47.794117647058826,1610612755,14,12,2026-02-10T03:21:02Z,550000,False,11.0,16.0,1,left,T. Maxey driving reverse Layup (4 PTS),[1630178],1610612755.0,PHI,driving reverse,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,1.96,Made,4.0,,,,,,,,,,,,,,,,,
57,PT07M22.00S,2026-02-10T03:21:08.3Z,1,REGULAR,3pt,Jump Shot,[],1641739,86.02168199737189,94.36274509803921,1610612757,17,12,2026-02-10T03:21:12Z,560000,False,222.0,79.0,1,right,T. Camara 3PT  (6 PTS) (S. Henderson 1 AST),"[1641739, 1630703]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Right Corner 3,24+ Right,23.54,Made,6.0,S. Henderson,1630703.0,1.0,,,,,,,,,,,,,,
59,PT07M04.00S,2026-02-10T03:21:28.7Z,1,REGULAR,foul,personal,[],1630703,,,1610612755,17,12,2026-02-10T03:21:36Z,580000,False,,,0,,S. Henderson personal FOUL (1 PF),"[1630703, 1626162]",1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Mid-Range,16-24 Left,,,,,,,,1627961.0,1.0,0.0,Oubre Jr.,1626162.0,,,,,,,,
61,PT06M57.00S,2026-02-10T03:21:52.5Z,1,REGULAR,3pt,Jump Shot,[],1630178,36.08738501971091,38.48039215686275,1610612755,17,12,2026-02-10T03:22:36Z,600000,False,58.0,287.0,1,left,MISS T. Maxey 29' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,29.24,Missed,,,,,,,,,,,,,,,,,,
62,PT06M55.00S,2026-02-10T03:21:54.5Z,1,REGULAR,rebound,offensive,[],1642845,,,1610612755,17,12,2026-02-10T03:21:58Z,610000,False,,,0,,V. Edgecombe REBOUND (Off:1 Def:1),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Center,,,,,,,61.0,,,,,,2.0,1.0,1.0,,,,,
63,PT06M51.00S,2026-02-10T03:21:58.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,7.178055190538765,48.28431372549019,1610612755,17,14,2026-02-10T03:28:01Z,620000,False,9.0,15.0,1,left,A. Drummond Layup (4 PTS) (V. Edgecombe 1 AST),"[203083, 1642845]",1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,1.73,Made,4.0,V. Edgecombe,1642845.0,1.0,,,,,,,,,,,,,,
65,PT06M32.00S,2026-02-10T03:22:23.9Z,1,REGULAR,turnover,out-of-bounds,[],1642270,,,1610612757,17,14,2026-02-10T03:22:32Z,640000,False,,,0,,D. Clingan bad pass out-of-bounds TURNOVER (1 TO),[1642270],1610612757.0,POR,bad pass,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,,,,1627961.0,,,,,,,,,,1.0,,
66,PT06M32.00S,2026-02-10T03:22:30.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,17,14,2026-02-10T03:22:30Z,650000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M32.00S,2026-02-10T03:22:45.3Z,1,REGULAR,substitution,out,[],1642270,,,1610612755,17,14,2026-02-10T03:25:19Z,660000,False,,,0,,SUB out: D. Clingan,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M32.00S,2026-02-10T03:22:45.3Z,1,REGULAR,substitution,out,[],1630570,,,1610612755,17,14,2026-02-10T03:25:19Z,670000,False,,,0,,SUB out: T. Watford,[1630570],1610612755.0,PHI,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M32.00S,2026-02-10T03:22:45.3Z,1,REGULAR,substitution,in,[],1629057,,,1610612755,17,14,2026-02-10T03:25:19Z,680000,False,,,0,,SUB in: R. Williams III,[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M32.00S,2026-02-10T03:22:45.3Z,1,REGULAR,substitution,in,[],1642348,,,1610612755,17,14,2026-02-10T03:25:19Z,690000,False,,,0,,SUB in: J. Edwards,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M15.00S,2026-02-10T03:25:36.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,7.178055190538765,53.67647058823529,1610612755,17,16,2026-02-10T03:25:39Z,700000,False,-18.0,15.0,1,left,T. Maxey cutting finger roll Layup (6 PTS) (A. Drummond 1 AST),"[1630178, 203083]",1610612755.0,PHI,cutting finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,2.37,Made,6.0,A. Drummond,203083.0,1.0,,,,,,,,,,,,,,
73,PT06M08.00S,2026-02-10T03:25:43.1Z,1,REGULAR,3pt,Jump Shot,[],203924,90.22667542706965,93.87254901960785,1610612757,17,16,2026-02-10T03:25:48Z,720000,False,219.0,39.0,1,right,MISS J. Grant 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Right Corner 3,24+ Right,22.29,Missed,,,,,,,,,,,,,,,,,,
74,PT06M06.00S,2026-02-10T03:25:45.1Z,1,REGULAR,rebound,defensive,[],1642348,,,1610612755,17,16,2026-02-10T03:25:48Z,730000,False,,,0,,J. Edwards REBOUND (Off:0 Def:1),[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Right Corner 3,24+ Right,,,,,,,73.0,,,,,,1.0,1.0,0.0,,,,,
75,PT05M57.00S,2026-02-10T03:25:54.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,19.004599211563733,52.94117647058824,1610612755,17,16,2026-02-10T03:28:55Z,740000,False,-15.0,126.0,1,left,MISS K. Oubre Jr. 12' step back Shot,[1626162],1610612755.0,PHI,step back,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,12.7,Missed,,,,,,,,,,,,,,,,,,
76,PT05M53.00S,2026-02-10T03:25:58.3Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612757,17,16,2026-02-10T03:25:59Z,750000,False,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,75.0,,,,,,1.0,1.0,0.0,,,,,
77,PT05M50.00S,2026-02-10T03:26:02.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630166,90.88370565045992,50.0,1610612757,17,16,2026-02-10T03:27:48Z,760000,False,0.0,33.0,1,right,MISS D. Avdija running pullup Shot - blocked,"[1630166, 1642845]",1610612757.0,POR,running pullup,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,3.32,Missed,,,,,,,,,,,,,,Edgecombe,1642845.0,,,
78,PT05M50.00S,2026-02-10T03:26:02.1Z,1,REGULAR,block,,[],1642845,,,1610612757,17,16,2026-02-10T03:26:07Z,770000,False,,,0,,V. Edgecombe BLOCK (1 BLK),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
79,PT05M44.00S,2026-02-10T03:26:08.1Z,1,REGULAR,rebound,defensive,[],1642348,,,1610612755,17,16,2026-02-10T03:26:08Z,780000,False,,,0,,J. Edwards REBOUND (Off:0 Def:2),[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,77.0,,,,,,2.0,2.0,0.0,,,,,
80,PT05M41.00S,2026-02-10T03:26:12.5Z,1,REGULAR,foul,personal,['2freethrow'],1641739,,,1610612755,17,16,2026-02-10T03:26:24Z,790000,False,,,0,,T. Camara shooting personal FOUL (1 PF) (Maxey 2 FT),"[1641739, 1630178]",1610612757.0,POR,shooting,,,Camara,T. Camara,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627524.0,1.0,0.0,Maxey,1630178.0,,,,,,,,
82,PT05M41.00S,2026-02-10T03:26:39.5Z,1,REGULAR,freethrow,1 of 2,[],1630178,,,1610612755,17,17,2026-02-10T03:26:39Z,810000,False,,,0,,T. Maxey Free Throw 1 of 2 (7 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
83,PT05M41.00S,2026-02-10T03:26:40.1Z,1,REGULAR,substitution,out,[],203083,,,1610612755,17,17,2026-02-10T03:26:44Z,820000,False,,,0,,SUB out: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M41.00S,2026-02-10T03:26:40.1Z,1,REGULAR,substitution,in,[],1641737,,,1610612755,17,17,2026-02-10T03:26:44Z,830000,False,,,0,,SUB in: A. Bona,[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M41.00S,2026-02-10T03:27:01.2Z,1,REGULAR,freethrow,2 of 2,[],1630178,,,1610612755,17,18,2026-02-10T03:27:01Z,840000,False,,,0,,T. Maxey Free Throw 2 of 2 (8 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
