actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
26,PT09M41.00S,2026-04-03T02:16:11.0Z,1,REGULAR,3pt,Jump Shot,[],1630180,33.590670170827856,43.13725490196079,1610612740,9,6,2026-04-03T02:16:16Z,260000,False,34.0,263.0,1,left,MISS S. Bey 26' pullup 3PT,[1630180],1610612740.0,NOP,pullup,,,Bey,S. Bey,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,26.55,,,,,,,,,,,
27,PT09M38.00S,2026-04-03T02:16:14.0Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,9,6,2026-04-03T02:16:16Z,270000,False,,,0,,D. Clingan REBOUND (Off:1 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Center,,,,,,,,26.0,,,,,2.0,1.0,1.0,,,,,
28,PT09M30.00S,2026-04-03T02:16:22.0Z,1,REGULAR,3pt,Jump Shot,[],1642270,68.01905387647832,67.8921568627451,1610612757,9,6,2026-04-03T02:16:26Z,280000,False,89.0,248.0,1,right,MISS D. Clingan 26' 3PT,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,26.37,,,,,,,,,,,
29,PT09M26.00S,2026-04-03T02:16:26.0Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,9,6,2026-04-03T02:16:26Z,290000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,,,28.0,,,,,1.0,1.0,0.0,,,,,
30,PT09M17.00S,2026-04-03T02:16:36.4Z,1,REGULAR,turnover,out-of-bounds,[],1627749,,,1610612740,9,6,2026-04-03T02:16:41Z,300000,False,,,0,,D. Murray bad pass out-of-bounds TURNOVER (1 TO),[1627749],1610612740.0,NOP,bad pass,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,1627526.0,,,,,,,,,,,,,,,1.0,,,,
31,PT09M09.00S,2026-04-03T02:16:55.7Z,1,REGULAR,foul,personal,[],1629627,,,1610612757,9,6,2026-04-03T02:17:03Z,310000,False,,,0,,Z. Williamson personal FOUL (1 PF),"[1629627, 1630703]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1179.0,1.0,0.0,Henderson,1630703.0,,,,,,,,,,,,,,,
33,PT09M03.00S,2026-04-03T02:17:16.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630703,92.9862023653088,53.18627450980392,1610612757,11,6,2026-04-03T02:17:22Z,330000,False,16.0,13.0,1,right,S. Henderson driving finger roll Layup (5 PTS),[1630703],1610612757.0,POR,driving finger roll,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,,2.08,,,,,,,,,,,
34,PT08M47.00S,2026-04-03T02:17:30.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,7.703679369250986,48.77450980392157,1610612740,11,8,2026-04-03T02:17:37Z,340000,False,6.0,20.0,1,left,D. Murray driving floating Jump Shot (2 PTS),[1627749],1610612740.0,NOP,driving floating,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,2.08,,,,,,,,,,,
35,PT08M41.00S,2026-04-03T02:17:39.3Z,1,REGULAR,foul,personal,['2freethrow'],1630529,,,1610612757,11,8,2026-04-03T02:17:50Z,350000,False,,,0,,H. Jones shooting personal FOUL (1 PF) (Avdija 2 FT),"[1630529, 1630166]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,1155.0,1.0,0.0,Avdija,1630166.0,,,,,,,,,,,,,,,
37,PT08M41.00S,2026-04-03T02:18:09.6Z,1,REGULAR,freethrow,1 of 2,[],1630166,,,1610612757,11,8,2026-04-03T02:18:09Z,370000,False,,,0,,MISS D. Avdija Free Throw 1 of 2,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
38,PT08M41.00S,2026-04-03T02:18:09.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,11,8,2026-04-03T02:18:09Z,380000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,
39,PT08M41.00S,2026-04-03T02:18:24.1Z,1,REGULAR,freethrow,2 of 2,[],1630166,,,1610612757,12,8,2026-04-03T02:18:24Z,390000,False,,,0,,D. Avdija Free Throw 2 of 2 (2 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
40,PT08M31.00S,2026-04-03T02:18:38.2Z,1,REGULAR,foul,personal,[],1641739,,,1610612740,12,8,2026-04-03T02:18:46Z,400000,False,,,0,,T. Camara personal FOUL (1 PF),"[1641739, 1627749]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,8-16 Right,1179.0,1.0,0.0,Murray,1627749.0,,,,,,,,,,,,,,,
42,PT08M29.00S,2026-04-03T02:18:57.2Z,1,REGULAR,3pt,Jump Shot,[],1630529,30.56833114323259,31.127450980392158,1610612740,12,8,2026-04-03T02:19:02Z,420000,False,94.0,235.0,1,left,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,25.31,,,,,,,,,,,
43,PT08M26.00S,2026-04-03T02:19:00.2Z,1,REGULAR,rebound,defensive,[],201950,,,1610612757,12,8,2026-04-03T02:19:02Z,430000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,,,,,,42.0,,,,,1.0,1.0,0.0,,,,,
44,PT08M21.00S,2026-04-03T02:19:05.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630166,90.62089356110381,60.5392156862745,1610612757,12,8,2026-04-03T02:23:01Z,440000,False,53.0,36.0,1,right,MISS D. Avdija 6' running finger roll Layup,[1630166],1610612757.0,POR,running finger roll,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,6.37,,,,,,,,,,,
45,PT08M20.00S,2026-04-03T02:19:06.5Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,12,8,2026-04-03T02:23:01Z,450000,False,,,0,,D. Clingan REBOUND (Off:2 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,44.0,,,,,3.0,1.0,2.0,,,,,
46,PT08M20.00S,2026-04-03T02:19:09.5Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1642270,94.40999984741211,50.0,1610612757,14,8,2026-04-03T02:23:10Z,460000,False,0.0,0.0,1,right,D. Clingan tip DUNK (4 PTS),[1642270],1610612757.0,POR,tip,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,0.0,,,,,,,,,,,
47,PT08M07.00S,2026-04-03T02:19:18.6Z,1,REGULAR,3pt,Jump Shot,[],1630180,6.915243101182654,2.941176470588235,1610612740,14,11,2026-04-03T02:19:23Z,470000,False,235.0,13.0,1,left,S. Bey 3PT  (6 PTS) (Z. Williamson 2 AST),"[1630180, 1629627]",1610612740.0,NOP,,,,Bey,S. Bey,,,,,Right Corner 3,24+ Right,,,,,,Made,6.0,,23.56,Z. Williamson,1629627.0,2.0,,,,,,,,
49,PT07M55.00S,2026-04-03T02:19:30.1Z,1,REGULAR,3pt,Jump Shot,[],201950,74.98357424441524,10.294117647058822,1610612757,17,11,2026-04-03T02:19:37Z,490000,False,-199.0,183.0,1,right,J. Holiday 26' 3PT step back (6 PTS),[201950],1610612757.0,POR,step back,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,,,,,,Made,6.0,,26.98,,,,,,,,,,,
50,PT07M44.00S,2026-04-03T02:19:42.9Z,1,REGULAR,foul,personal,['2freethrow'],1642270,,,1610612740,17,11,2026-04-03T02:19:50Z,500000,False,,,0,,D. Clingan shooting personal FOUL (1 PF) (Williamson 2 FT),"[1642270, 1629627]",1610612757.0,POR,shooting,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,1155.0,1.0,0.0,Williamson,1629627.0,,,,,,,,,,,,,,,
52,PT07M44.00S,2026-04-03T02:20:14.9Z,1,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,17,12,2026-04-03T02:20:14Z,520000,False,,,0,,Z. Williamson Free Throw 1 of 2 (1 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
53,PT07M44.00S,2026-04-03T02:20:15.6Z,1,REGULAR,substitution,out,[],1630180,,,1610612740,17,12,2026-04-03T02:20:24Z,530000,False,,,0,,SUB out: S. Bey,[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M44.00S,2026-04-03T02:20:15.6Z,1,REGULAR,substitution,in,[],1642274,,,1610612740,17,12,2026-04-03T02:20:24Z,540000,False,,,0,,SUB in: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M44.00S,2026-04-03T02:20:32.6Z,1,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,17,13,2026-04-03T02:20:32Z,550000,False,,,0,,Z. Williamson Free Throw 2 of 2 (2 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
56,PT07M23.00S,2026-04-03T02:20:55.8Z,1,REGULAR,3pt,Jump Shot,[],1642270,67.36202365308804,64.2156862745098,1610612757,17,13,2026-04-03T02:21:00Z,560000,False,71.0,254.0,1,right,MISS D. Clingan 26' 3PT,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,26.41,,,,,,,,,,,
57,PT07M20.00S,2026-04-03T02:20:58.8Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,17,13,2026-04-03T02:21:00Z,570000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,,,,,,,,56.0,,,,,1.0,1.0,0.0,,,,,
58,PT07M07.00S,2026-04-03T02:21:12.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642274,10.988830486202366,45.34313725490196,1610612740,17,13,2026-04-03T02:25:44Z,580000,False,23.0,51.0,1,left,MISS Y. Missi floating Shot,[1642274],1610612740.0,NOP,floating,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,5.59,,,,,,,,,,,
59,PT07M05.00S,2026-04-03T02:21:14.6Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,17,13,2026-04-03T02:21:16Z,590000,False,,,0,,D. Avdija REBOUND (Off:0 Def:2),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,58.0,,,,,2.0,2.0,0.0,,,,,
60,PT06M58.00S,2026-04-03T02:21:23.6Z,1,REGULAR,foul,personal,[],1629627,,,1610612757,17,13,2026-04-03T02:21:38Z,600000,False,,,0,,Z. Williamson personal FOUL (2 PF),"[1629627, 1630166]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),8-16 Left,1627526.0,2.0,0.0,Avdija,1630166.0,,,,,,,,,,,,,,,
62,PT06M58.00S,2026-04-03T02:21:39.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,17,13,2026-04-03T02:21:39Z,620000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M58.00S,2026-04-03T02:23:27.5Z,1,REGULAR,substitution,out,[],1630703,,,1610612757,17,13,2026-04-03T02:24:27Z,630000,False,,,0,,SUB out: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M58.00S,2026-04-03T02:23:27.5Z,1,REGULAR,substitution,in,[],1629680,,,1610612757,17,13,2026-04-03T02:24:27Z,640000,False,,,0,,SUB in: M. Thybulle,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M48.00S,2026-04-03T02:24:46.3Z,1,REGULAR,3pt,Jump Shot,[],1630166,91.93495400788436,2.696078431372549,1610612757,17,13,2026-04-03T02:24:51Z,650000,False,-237.0,23.0,1,right,MISS D. Avdija 3PT,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,23.76,,,,,,,,,,,
66,PT06M44.00S,2026-04-03T02:24:50.3Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,17,13,2026-04-03T02:24:51Z,660000,False,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Left Corner 3,24+ Left,,,,,,,,65.0,,,,,2.0,2.0,0.0,,,,,
67,PT06M34.00S,2026-04-03T02:25:00.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,6.783837056504599,48.529411764705884,1610612740,17,15,2026-04-03T02:25:05Z,670000,False,7.0,11.0,1,left,D. Murray driving Layup (4 PTS),[1627749],1610612740.0,NOP,driving,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,1.35,,,,,,,,,,,
69,PT06M26.00S,2026-04-03T02:25:14.0Z,1,REGULAR,substitution,out,[],201950,,,1610612757,17,15,2026-04-03T02:25:22Z,690000,False,,,0,,SUB out: J. Holiday,[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M26.00S,2026-04-03T02:25:14.0Z,1,REGULAR,substitution,in,[],1631200,,,1610612757,17,15,2026-04-03T02:25:22Z,700000,False,,,0,,SUB in: K. Murray,[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M20.00S,2026-04-03T02:25:39.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630166,92.59198423127464,50.0,1610612757,19,15,2026-04-03T02:25:43Z,710000,False,0.0,17.0,1,right,D. Avdija cutting DUNK (4 PTS) (D. Clingan 1 AST),"[1630166, 1642270]",1610612757.0,POR,cutting,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,1.71,D. Clingan,1642270.0,1.0,,,,,,,,
73,PT06M01.00S,2026-04-03T02:25:58.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630530,20.05584756898817,50.245098039215684,1610612740,19,15,2026-04-03T02:29:56Z,730000,False,-1.0,136.0,1,left,MISS T. Murphy III 13' driving floating Shot,[1630530],1610612740.0,NOP,driving floating,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,13.6,,,,,,,,,,,
74,PT05M59.00S,2026-04-03T02:26:00.1Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,19,15,2026-04-03T02:26:03Z,740000,False,,,0,,Y. Missi REBOUND (Off:1 Def:0),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,73.0,,,,,1.0,0.0,1.0,,,,,
75,PT05M54.00S,2026-04-03T02:26:04.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642274,5.601182654402102,55.392156862745104,1610612740,19,15,2026-04-03T02:26:11Z,750000,False,-27.0,0.0,1,left,MISS Y. Missi driving Layup,[1642274],1610612740.0,NOP,driving,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.7,,,,,,,,,,,
77,PT05M52.00S,2026-04-03T02:26:06.4Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,19,15,2026-04-03T02:26:11Z,770000,False,,,0,,D. Clingan REBOUND (Off:2 Def:2),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,,,,75.0,,,,,4.0,2.0,2.0,,,,,
78,PT05M48.00S,2026-04-03T02:26:10.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630166,92.59198423127464,54.41176470588235,1610612757,19,15,2026-04-03T02:33:01Z,780000,False,22.0,17.0,1,right,MISS D. Avdija running Layup,[1630166],1610612757.0,POR,running,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.79,,,,,,,,,,,
79,PT05M46.00S,2026-04-03T02:26:12.5Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,19,15,2026-04-03T02:26:22Z,790000,False,,,0,,Y. Missi REBOUND (Off:1 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,,78.0,,,,,2.0,1.0,1.0,,,,,
80,PT05M41.00S,2026-04-03T02:26:18.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629627,6.652431011826544,48.03921568627451,1610612740,19,17,2026-04-03T02:26:31Z,800000,False,10.0,10.0,1,left,Z. Williamson running DUNK (4 PTS) (D. Murray 2 AST),"[1629627, 1627749]",1610612740.0,NOP,running,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,1.4,D. Murray,1627749.0,2.0,,,,,,,,
83,PT05M38.00S,2026-04-03T02:26:26.4Z,1,REGULAR,turnover,bad pass,[],1631200,,,1610612757,19,17,2026-04-03T02:26:33Z,830000,False,,,0,,K. Murray bad pass TURNOVER (1 TO),"[1631200, 1627749]",1610612757.0,POR,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Murray,1627749.0,,
84,PT05M38.00S,2026-04-03T02:26:26.4Z,1,REGULAR,steal,,[],1627749,,,1610612740,19,17,2026-04-03T02:26:29Z,840000,False,,,0,,D. Murray STEAL (1 STL),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
85,PT05M29.00S,2026-04-03T02:26:34.2Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612740,19,17,2026-04-03T02:26:38Z,850000,False,,,0,,D. Murray bad pass TURNOVER (2 TO),"[1627749, 1641739]",1610612740.0,NOP,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,2.0,Camara,1641739.0,,
86,PT05M29.00S,2026-04-03T02:26:34.2Z,1,REGULAR,steal,,[],1641739,,,1610612757,19,17,2026-04-03T02:28:39Z,860000,False,,,0,,T. Camara STEAL (1 STL),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
87,PT05M22.00S,2026-04-03T02:26:41.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629680,90.62089356110381,3.1862745098039214,1610612757,19,17,2026-04-03T02:27:15Z,870000,False,-234.0,36.0,1,right,MISS M. Thybulle 3PT,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,23.68,,,,,,,,,,,
