actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
16,PT11M07.00S,2026-03-24T02:14:03.8Z,1,REGULAR,turnover,lost ball,[],201950,,,1610612757,0,4,2026-03-24T02:14:07Z,160000,False,,,0,,J. Holiday lost ball TURNOVER (2 TO),"[201950, 1642849]",1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,,,2.0,,,,,,,,,,,Traore,1642849.0,,,
17,PT11M07.00S,2026-03-24T02:14:03.8Z,1,REGULAR,steal,,[],1642849,,,1610612751,0,4,2026-03-24T02:14:05Z,170000,False,,,0,,N. Traore STEAL (1 STL),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
18,PT10M56.00S,2026-03-24T02:14:15.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630592,14.799605781865965,96.32352941176471,1610612751,0,4,2026-03-24T02:14:19Z,180000,False,-232.0,87.0,1,left,MISS J. Wilson 24' 3PT,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Left Corner 3,24+ Left,24.73,Missed,,,,,,,,,,,,,,,,,,
19,PT10M52.00S,2026-03-24T02:14:19.2Z,1,REGULAR,rebound,defensive,[],1631321,,,1610612757,0,4,2026-03-24T02:14:19Z,190000,False,,,0,,S. Cissoko REBOUND (Off:0 Def:1),[1631321],1610612757.0,POR,,,,Cissoko,S. Cissoko,,,,,Left Corner 3,24+ Left,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,
20,PT10M48.00S,2026-03-24T02:14:23.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630166,93.51182654402102,50.73529411764706,1610612757,2,4,2026-03-24T02:14:28Z,200000,False,4.0,8.0,1,right,D. Avdija running Layup (2 PTS) (J. Holiday 1 AST),"[1630166, 201950]",1610612757.0,POR,running,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,0.93,Made,2.0,,,,,,,,,,,,,,,J. Holiday,201950.0,1.0
22,PT10M36.00S,2026-03-24T02:14:37.9Z,1,REGULAR,turnover,out-of-bounds,[],1642849,,,1610612751,2,4,2026-03-24T02:18:39Z,220000,False,,,0,,N. Traore lost ball out-of-bounds TURNOVER (1 TO),[1642849],1610612751.0,BKN,lost ball,,,Traore,N. Traore,,,,,In The Paint (Non-RA),8-16 Right,,,,203591.0,1.0,,,,,,,,,,,,,,,
24,PT10M27.00S,2026-03-24T02:15:39.9Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612757,2,4,2026-03-24T02:19:25Z,240000,False,,,0,,Jump Ball D. Clingan vs. N. Claxton: Tip to D. Avdija,"[1630166, 1642270, 1629651]",1610612757.0,POR,unclearpass,D. Avdija,1630166.0,Avdija,D. Avdija,Clingan,1642270.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
27,PT10M20.00S,2026-03-24T02:15:45.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630166,92.72339027595268,51.225490196078425,1610612757,2,4,2026-03-24T02:15:50Z,270000,False,6.0,16.0,1,right,MISS D. Avdija driving Layup - blocked,"[1630166, 1629651]",1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,1.7,Missed,,,,Claxton,1629651.0,,,,,,,,,,,,,
28,PT10M20.00S,2026-03-24T02:15:45.1Z,1,REGULAR,block,,[],1629651,,,1610612757,2,4,2026-03-24T02:15:47Z,280000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT10M20.00S,2026-03-24T02:15:45.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,2,4,2026-03-24T02:15:50Z,290000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,27.0,,,,,,,,,,,,
31,PT10M19.00S,2026-03-24T02:16:02.1Z,1,REGULAR,foul,personal,['2freethrow'],1630592,,,1610612757,2,4,2026-03-24T02:16:08Z,310000,False,,,0,,J. Wilson shooting personal FOUL (1 PF) (Camara 2 FT),"[1630592, 1641739]",1610612751.0,BKN,shooting,,,Wilson,J. Wilson,,,,,In The Paint (Non-RA),8-16 Right,,,,2002.0,,,,,,,,1.0,0.0,Camara,1641739.0,,,,,
33,PT10M19.00S,2026-03-24T02:16:23.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1641739,,,1610612757,3,4,2026-03-24T02:16:46Z,330000,False,,,0,,T. Camara Free Throw 1 of 2 (1 PTS),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
34,PT10M19.00S,2026-03-24T02:16:23.4Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1641739,,,1610612757,3,4,2026-03-24T02:16:46Z,340000,False,,,0,,MISS T. Camara Free Throw 2 of 2,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
35,PT10M19.00S,2026-03-24T02:16:23.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,3,4,2026-03-24T02:16:46Z,350000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,
36,PT10M19.00S,2026-03-24T02:16:41.8Z,1,REGULAR,foul,personal,[],1629651,,,1610612757,3,4,2026-03-24T02:16:51Z,360000,False,,,0,,N. Claxton loose ball personal FOUL (1 PF),"[1629651, 1642270]",1610612751.0,BKN,loose ball,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,203591.0,,,,,,,,1.0,0.0,Clingan,1642270.0,,,,,
38,PT10M09.00S,2026-03-24T02:17:09.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1642270,92.32917214191852,53.92156862745098,1610612757,3,4,2026-03-24T02:23:08Z,380000,False,20.0,20.0,1,right,MISS D. Clingan cutting DUNK - blocked,"[1642270, 1642849]",1610612757.0,POR,cutting,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,2.77,Missed,,,,Traore,1642849.0,,,,,,,,,,,,,
39,PT10M09.00S,2026-03-24T02:17:09.1Z,1,REGULAR,block,,[],1642849,,,1610612757,3,4,2026-03-24T02:17:11Z,390000,False,,,0,,N. Traore BLOCK (1 BLK),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
40,PT10M09.00S,2026-03-24T02:17:09.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,3,4,2026-03-24T02:17:14Z,400000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,38.0,,,,,,,,,,,,
42,PT10M06.00S,2026-03-24T02:17:29.4Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1630166,78.53153745072274,49.01960784313725,1610612757,3,4,2026-03-24T02:17:34Z,420000,False,-5.0,149.0,1,right,MISS D. Avdija 14' pullup Shot,[1630166],1610612757.0,POR,pullup,,,Avdija,D. Avdija,,,,,Mid-Range,8-16 Center,14.94,Missed,,,,,,,,,,,,,,,,,,
43,PT10M03.00S,2026-03-24T02:17:32.4Z,1,REGULAR,rebound,defensive,[],1642849,,,1610612751,3,4,2026-03-24T02:26:08Z,430000,False,,,0,,N. Traore REBOUND (Off:0 Def:1),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Mid-Range,8-16 Center,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,
44,PT09M53.00S,2026-03-24T02:17:42.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,6.652431011826544,52.20588235294118,1610612751,3,6,2026-03-24T02:26:28Z,440000,False,-11.0,10.0,1,left,N. Claxton driving bank Hook (6 PTS) (N. Traore 1 AST),"[1629651, 1642849]",1610612751.0,BKN,driving bank,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.49,Made,6.0,,,,,,,,,,,,,,,N. Traore,1642849.0,1.0
46,PT09M36.00S,2026-03-24T02:17:59.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201950,88.91261498028909,51.225490196078425,1610612757,5,6,2026-03-24T02:18:04Z,460000,False,6.0,52.0,1,right,J. Holiday driving Hook (2 PTS),[201950],1610612757.0,POR,driving,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,5.21,Made,2.0,,,,,,,,,,,,,,,,,
47,PT09M21.00S,2026-03-24T02:18:17.7Z,1,REGULAR,foul,personal,[],1631321,,,1610612751,5,6,2026-03-24T02:18:30Z,470000,False,,,0,,S. Cissoko personal FOUL (1 PF),"[1631321, 1631169]",1610612757.0,POR,,,,Cissoko,S. Cissoko,,,,,Mid-Range,16-24 Center,,,,203591.0,,,,,,,,1.0,0.0,Minott,1631169.0,,,,,
49,PT09M15.00S,2026-03-24T02:18:43.4Z,1,REGULAR,3pt,Jump Shot,[],1642849,25.312089356110377,85.04901960784314,1610612751,5,6,2026-03-24T02:18:48Z,490000,False,-175.0,185.0,1,left,MISS N. Traore 25' 3PT,[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Above the Break 3,24+ Left Center,25.51,Missed,,,,,,,,,,,,,,,,,,
50,PT09M12.00S,2026-03-24T02:18:46.4Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,5,6,2026-03-24T02:18:48Z,500000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Left Center,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,
51,PT09M05.00S,2026-03-24T02:18:51.8Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1631321,92.59198423127464,88.23529411764706,1610612757,5,6,2026-03-24T02:28:22Z,510000,False,191.0,17.0,1,right,MISS S. Cissoko 19' running pullup Shot,[1631321],1610612757.0,POR,running pullup,,,Cissoko,S. Cissoko,,,,,Mid-Range,16-24 Right,19.2,Missed,,,,,,,,,,,,,,,,,,
52,PT09M04.00S,2026-03-24T02:18:52.8Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612757,5,6,2026-03-24T02:28:22Z,520000,False,,,0,,D. Avdija REBOUND (Off:1 Def:0),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Mid-Range,16-24 Right,,,,,,,,51.0,1.0,0.0,1.0,,,,,,,,,
53,PT09M02.00S,2026-03-24T02:18:55.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630166,90.75229960578186,51.225490196078425,1610612757,5,6,2026-03-24T02:19:01Z,530000,False,6.0,34.0,1,right,MISS D. Avdija putback Layup,[1630166],1610612757.0,POR,putback,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,3.49,Missed,,,,,,,,,,,,,,,,,,
54,PT09M00.00S,2026-03-24T02:18:57.5Z,1,REGULAR,rebound,defensive,[],1642849,,,1610612751,5,6,2026-03-24T02:18:57Z,540000,False,,,0,,N. Traore REBOUND (Off:0 Def:2),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,
55,PT08M57.00S,2026-03-24T02:19:01.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630533,20.71287779237845,51.225490196078425,1610612751,5,8,2026-03-24T02:19:11Z,550000,False,-6.0,142.0,1,left,Z. Williams 14' running pullup Jump Shot (2 PTS) (N. Traore 2 AST),"[1630533, 1642849]",1610612751.0,BKN,running pullup,,,Williams,Z. Williams,,,,,Mid-Range,8-16 Center,14.23,Made,2.0,,,,,,,,,,,,,,,N. Traore,1642849.0,2.0
57,PT08M39.00S,2026-03-24T02:19:18.5Z,1,REGULAR,3pt,Jump Shot,[],1641739,67.36202365308804,22.54901960784314,1610612757,8,8,2026-03-24T02:19:26Z,570000,False,-137.0,254.0,1,right,T. Camara 28' 3PT bank (4 PTS) (J. Holiday 2 AST),"[1641739, 201950]",1610612757.0,POR,bank,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,28.9,Made,4.0,,,,,,,,,,,,,,,J. Holiday,201950.0,2.0
59,PT08M22.00S,2026-03-24T02:19:39.6Z,1,REGULAR,foul,personal,[],1641739,,,1610612751,8,8,2026-03-24T02:19:46Z,590000,False,,,0,,T. Camara personal FOUL (1 PF),"[1641739, 1642849]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,16-24 Center,,,,2002.0,,,,,,,,1.0,0.0,Traore,1642849.0,,,,,
61,PT08M10.00S,2026-03-24T02:20:11.3Z,1,REGULAR,turnover,lost ball,[],1630533,,,1610612751,8,8,2026-03-24T02:20:14Z,610000,False,,,0,,Z. Williams lost ball TURNOVER (1 TO),"[1630533, 1630166]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Mid-Range,8-16 Right,,,,,1.0,,,,,,,,,,,Avdija,1630166.0,,,
62,PT08M10.00S,2026-03-24T02:20:11.3Z,1,REGULAR,steal,,[],1630166,,,1610612757,8,8,2026-03-24T02:20:12Z,620000,False,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
63,PT07M56.00S,2026-03-24T02:20:27.5Z,1,REGULAR,turnover,out-of-bounds,[],201950,,,1610612757,8,8,2026-03-24T02:20:33Z,630000,False,,,0,,J. Holiday bad pass out-of-bounds TURNOVER (3 TO),[201950],1610612757.0,POR,bad pass,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Center,,,,203591.0,3.0,,,,,,,,,,,,,,,
64,PT07M36.00S,2026-03-24T02:21:04.8Z,1,REGULAR,foul,personal,['2freethrow'],1630166,,,1610612751,8,8,2026-03-24T02:21:14Z,640000,False,,,0,,D. Avdija shooting personal FOUL (1 PF) (Wilson 2 FT),"[1630166, 1630592]",1610612757.0,POR,shooting,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,203591.0,,,,,,,,1.0,0.0,Wilson,1630592.0,,,,,
66,PT07M36.00S,2026-03-24T02:21:39.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630592,,,1610612751,8,8,2026-03-24T02:21:39Z,660000,False,,,0,,MISS J. Wilson Free Throw 1 of 2,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
67,PT07M36.00S,2026-03-24T02:21:39.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,8,8,2026-03-24T02:21:39Z,670000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,
68,PT07M36.00S,2026-03-24T02:21:57.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630592,,,1610612751,8,9,2026-03-24T02:21:57Z,680000,False,,,0,,J. Wilson Free Throw 2 of 2 (1 PTS),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
69,PT07M18.00S,2026-03-24T02:22:17.2Z,1,REGULAR,turnover,bad pass,[],201950,,,1610612757,8,9,2026-03-24T02:22:23Z,690000,False,,,0,,J. Holiday bad pass TURNOVER (4 TO),"[201950, 1630592]",1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Center,,,,,4.0,,,,,,,,,,,Wilson,1630592.0,,,
70,PT07M18.00S,2026-03-24T02:22:17.2Z,1,REGULAR,steal,,[],1630592,,,1610612751,8,9,2026-03-24T02:22:18Z,700000,False,,,0,,J. Wilson STEAL (1 STL),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
71,PT07M11.00S,2026-03-24T02:22:24.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629651,24.917871222076215,64.4607843137255,1610612751,8,11,2026-03-24T02:22:32Z,710000,False,-72.0,182.0,1,left,N. Claxton 19' floating Jump Shot (8 PTS) (N. Traore 3 AST),"[1629651, 1642849]",1610612751.0,BKN,floating,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Left Center,19.56,Made,8.0,,,,,,,,,,,,,,,N. Traore,1642849.0,3.0
73,PT07M10.00S,2026-03-24T02:22:28.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,8,11,2026-03-24T02:22:28Z,730000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT07M10.00S,2026-03-24T02:24:50.0Z,1,REGULAR,substitution,out,[],1631321,,,1610612757,8,11,2026-03-24T02:25:09Z,740000,False,,,0,,SUB out: S. Cissoko,[1631321],1610612757.0,POR,,,,Cissoko,S. Cissoko,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT07M10.00S,2026-03-24T02:24:50.0Z,1,REGULAR,substitution,out,[],201950,,,1610612757,8,11,2026-03-24T02:25:09Z,760000,False,,,0,,SUB out: J. Holiday,[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT07M10.00S,2026-03-24T02:24:50.0Z,1,REGULAR,substitution,in,[],1630703,,,1610612757,8,11,2026-03-24T02:25:09Z,770000,False,,,0,,SUB in: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT07M10.00S,2026-03-24T02:24:50.0Z,1,REGULAR,substitution,in,[],1629680,,,1610612757,8,11,2026-03-24T02:25:09Z,780000,False,,,0,,SUB in: M. Thybulle,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT07M10.00S,2026-03-24T02:24:50.0Z,1,REGULAR,substitution,in,[],1631200,,,1610612757,8,11,2026-03-24T02:25:09Z,790000,False,,,0,,SUB in: K. Murray,[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT07M10.00S,2026-03-24T02:24:50.0Z,1,REGULAR,substitution,out,[],1641739,,,1610612757,8,11,2026-03-24T02:25:54Z,795000,False,,,0,,SUB out: T. Camara,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M55.00S,2026-03-24T02:25:36.7Z,1,REGULAR,3pt,Jump Shot,[],1629680,75.1149802890933,13.970588235294118,1610612757,11,11,2026-03-24T02:25:40Z,800000,False,-180.0,181.0,1,right,M. Thybulle 25' 3PT  (3 PTS) (S. Henderson 1 AST),"[1629680, 1630703]",1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Left Center,25.56,Made,3.0,,,,,,,,,,,,,,,S. Henderson,1630703.0,1.0
83,PT06M31.00S,2026-03-24T02:26:01.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642849,6.1268068331143235,48.28431372549019,1610612751,11,11,2026-03-24T02:26:05Z,820000,False,9.0,5.0,1,left,MISS N. Traore driving floating bank Shot,[1642849],1610612751.0,BKN,driving floating bank,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,1.0,Missed,,,,,,,,,,,,,,,,,,
84,PT06M30.00S,2026-03-24T02:26:02.4Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,11,11,2026-03-24T02:26:05Z,830000,False,,,0,,D. Clingan REBOUND (Off:0 Def:2),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,,,,83.0,2.0,2.0,0.0,,,,,,,,,
85,PT06M22.00S,2026-03-24T02:26:11.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,93.64323258869908,49.26470588235294,1610612757,13,11,2026-03-24T02:26:14Z,840000,False,-4.0,7.0,1,right,D. Avdija driving finger roll Layup (4 PTS) (K. Murray 1 AST),"[1630166, 1631200]",1610612757.0,POR,driving finger roll,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,0.82,Made,4.0,,,,,,,,,,,,,,,K. Murray,1631200.0,1.0
86,PT06M09.00S,2026-03-24T02:26:23.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642849,18.873193166885677,60.29411764705882,1610612751,13,11,2026-03-24T02:26:27Z,850000,False,-51.0,125.0,1,left,MISS N. Traore 13' pullup Shot,[1642849],1610612751.0,BKN,pullup,,,Traore,N. Traore,,,,,In The Paint (Non-RA),8-16 Center,13.51,Missed,,,,,,,,,,,,,,,,,,
87,PT06M07.00S,2026-03-24T02:26:25.6Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,13,11,2026-03-24T02:26:27Z,860000,False,,,0,,D. Clingan REBOUND (Off:0 Def:3),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,86.0,3.0,3.0,0.0,,,,,,,,,
88,PT06M01.00S,2026-03-24T02:26:32.2Z,1,REGULAR,3pt,Jump Shot,[],1629680,71.82982917214193,20.34313725490196,1610612757,13,11,2026-03-24T02:26:36Z,870000,False,-148.0,212.0,1,right,MISS M. Thybulle 25' 3PT,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Left Center,25.9,Missed,,,,,,,,,,,,,,,,,,
89,PT05M58.00S,2026-03-24T02:26:35.2Z,1,REGULAR,rebound,defensive,[],1642849,,,1610612751,13,11,2026-03-24T02:26:36Z,880000,False,,,0,,N. Traore REBOUND (Off:0 Def:3),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Above the Break 3,24+ Left Center,,,,,,,,88.0,3.0,3.0,0.0,,,,,,,,,
