actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
26,PT10M27.00S,2024-11-28T00:13:13.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630171,94.03745072273325,55.392156862745104,1610612739,4,0,2024-11-28T00:13:17Z,260000,False,27.0,4.0,1,right,MISS I. Okoro cutting Layup,[1630171],1610612739.0,CLE,cutting,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,2.72,Missed,,,,,,,,,,,,,,,
27,PT10M25.00S,2024-11-28T00:13:15.3Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,4,0,2024-11-28T00:13:17Z,270000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,
28,PT10M24.00S,2024-11-28T00:13:18.7Z,1,REGULAR,turnover,out-of-bounds,[],1630552,,,1610612737,4,0,2024-11-28T00:13:27Z,280000,False,,,0,,J. Johnson bad pass out-of-bounds TURNOVER (1 TO),[1630552],1610612737.0,ATL,bad pass,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Right,1.0,,,,,,,,,202041.0,,,,,,,,,,
29,PT10M15.00S,2024-11-28T00:13:34.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628386,93.24901445466492,51.9607843137255,1610612739,6,0,2024-11-28T00:13:39Z,290000,False,10.0,11.0,1,right,J. Allen cutting DUNK (2 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,1.47,Made,,,,,,,,,,2.0,,,D. Garland,1629636.0,1.0
31,PT10M15.00S,2024-11-28T00:13:37.2Z,1,REGULAR,foul,personal,['1freethrow'],1629027,,,1610612739,6,0,2024-11-28T00:13:51Z,310000,False,,,0,,T. Young shooting personal FOUL (1 PF) (Allen 1 FT),"[1629027, 1628386]",1610612737.0,ATL,shooting,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627524.0,1.0,0.0,Allen,1628386.0,,,,,,
33,PT10M15.00S,2024-11-28T00:13:56.8Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1628386,,,1610612739,7,0,2024-11-28T00:13:56Z,330000,False,,,0,,J. Allen Free Throw 1 of 1 (3 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,Made,,,,,,,,,,3.0,,,,,
34,PT10M04.00S,2024-11-28T00:14:09.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,6.389618922470433,48.529411764705884,1610612737,7,0,2024-11-28T00:14:13Z,340000,False,7.0,8.0,1,left,MISS J. Johnson Layup,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,1.06,Missed,,,,,,,,,,,,,,,
35,PT10M01.00S,2024-11-28T00:14:12.9Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,7,0,2024-11-28T00:14:12Z,350000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,34.0,1.0,0.0,1.0,,,,,,,,,,,
36,PT10M00.00S,2024-11-28T00:14:13.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,6.652431011826544,50.49019607843137,1610612737,7,0,2024-11-28T00:14:20Z,360000,False,-2.0,10.0,1,left,MISS C. Capela putback Layup - blocked,"[203991, 1628378]",1610612737.0,ATL,putback,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,1.03,Missed,,,,,,,,,,,Mitchell,1628378.0,,,
37,PT10M00.00S,2024-11-28T00:14:13.6Z,1,REGULAR,block,,[],1628378,,,1610612737,7,0,2024-11-28T00:14:16Z,370000,False,,,0,,D. Mitchell BLOCK (1 BLK),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
38,PT09M54.00S,2024-11-28T00:14:19.6Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,7,0,2024-11-28T00:14:20Z,380000,False,,,0,,C. Capela REBOUND (Off:2 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,36.0,2.0,0.0,2.0,,,,,,,,,,,
39,PT09M53.00S,2024-11-28T00:14:20.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203991,6.389618922470433,49.50980392156863,1610612737,7,0,2024-11-28T00:15:52Z,390000,False,2.0,8.0,1,left,MISS C. Capela turnaround Hook,[203991],1610612737.0,ATL,turnaround,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,0.8,Missed,,,,,,,,,,,,,,,
40,PT09M53.00S,2024-11-28T00:14:20.5Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,7,0,2024-11-28T00:14:24Z,400000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,
41,PT09M53.00S,2024-11-28T00:14:24.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630171,96.13994743758212,0.9803921568627451,1610612739,10,0,2024-11-28T00:15:21Z,410000,False,-245.0,-16.0,1,right,I. Okoro 24' 3PT running (3 PTS) (E. Mobley 1 AST),"[1630171, 1630596]",1610612739.0,CLE,running,,,Okoro,I. Okoro,,,,,Left Corner 3,24+ Left,,,,24.56,Made,,,,,,,,,,3.0,,,E. Mobley,1630596.0,1.0
43,PT09M53.00S,2024-11-28T00:14:34.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,10,0,2024-11-28T00:14:34Z,430000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT09M41.00S,2024-11-28T00:16:06.4Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,10,0,2024-11-28T00:30:30Z,445000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1628386]",1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,1.0,Allen,1628386.0,,,,,,,,,,,,,,,,,
123,PT09M41.00S,2024-11-28T00:16:06.4Z,1,REGULAR,steal,,[],1628386,,,1610612739,10,0,2024-11-28T00:30:00Z,452500,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
46,PT09M30.00S,2024-11-28T00:17:38.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629636,71.96123521681997,78.67647058823529,1610612739,10,0,2024-11-28T00:30:00Z,460000,False,143.0,211.0,1,right,MISS D. Garland 25' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,,,,25.52,Missed,,,,,,,,,,,,,,,
47,PT09M27.00S,2024-11-28T00:17:41.5Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,10,0,2024-11-28T00:17:43Z,470000,False,,,0,,C. Capela REBOUND (Off:2 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Right Center,,,,,,46.0,3.0,1.0,2.0,,,,,,,,,,,
48,PT09M17.00S,2024-11-28T00:17:51.9Z,1,REGULAR,3pt,Jump Shot,[],1630700,7.30946123521682,3.6764705882352944,1610612737,10,3,2024-11-28T00:17:55Z,480000,False,232.0,16.0,1,left,D. Daniels 3PT  (3 PTS) (J. Johnson 1 AST),"[1630700, 1630552]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Right Corner 3,24+ Right,,,,23.22,Made,,,,,,,,,,3.0,,,J. Johnson,1630552.0,1.0
50,PT09M04.00S,2024-11-28T00:18:05.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,92.59198423127464,50.245098039215684,1610612739,12,3,2024-11-28T00:18:09Z,500000,False,1.0,17.0,1,right,J. Allen cutting DUNK (5 PTS) (D. Mitchell 1 AST),"[1628386, 1628378]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,1.71,Made,,,,,,,,,,5.0,,,D. Mitchell,1628378.0,1.0
52,PT08M49.00S,2024-11-28T00:18:19.5Z,1,REGULAR,3pt,Jump Shot,[],1629027,39.635348226018394,49.754901960784316,1610612737,12,3,2024-11-28T00:18:23Z,520000,False,1.0,320.0,1,left,MISS T. Young 32' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,32.01,Missed,,,,,,,,,,,,,,,
53,PT08M46.00S,2024-11-28T00:18:22.5Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,12,3,2024-11-28T00:18:23Z,530000,False,,,0,,E. Mobley REBOUND (Off:0 Def:3),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Center,,,,,,52.0,3.0,3.0,0.0,,,,,,,,,,,
54,PT08M41.00S,2024-11-28T00:18:31.6Z,1,REGULAR,foul,personal,['2freethrow'],1630552,,,1610612739,12,3,2024-11-28T00:18:37Z,540000,False,,,0,,J. Johnson shooting personal FOUL (1 PF) (Garland 2 FT),"[1630552, 1629636]",1610612737.0,ATL,shooting,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628951.0,1.0,0.0,Garland,1629636.0,,,,,,
56,PT08M41.00S,2024-11-28T00:18:55.4Z,1,REGULAR,freethrow,1 of 2,[],1629636,,,1610612739,13,3,2024-11-28T00:18:55Z,560000,False,,,0,,D. Garland Free Throw 1 of 2 (3 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,Made,,,,,,,,,,3.0,,,,,
57,PT08M41.00S,2024-11-28T00:19:10.8Z,1,REGULAR,freethrow,2 of 2,[],1629636,,,1610612739,14,3,2024-11-28T00:19:10Z,570000,False,,,0,,D. Garland Free Throw 2 of 2 (4 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,Made,,,,,,,,,,4.0,,,,,
58,PT08M29.00S,2024-11-28T00:19:23.7Z,1,REGULAR,3pt,Jump Shot,[],1630552,6.389618922470433,3.431372549019608,1610612737,14,6,2024-11-28T00:19:27Z,580000,False,233.0,8.0,1,left,J. Johnson 3PT  (3 PTS) (T. Young 1 AST),"[1630552, 1629027]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Right Corner 3,24+ Right,,,,23.29,Made,,,,,,,,,,3.0,,,T. Young,1629027.0,1.0
60,PT08M15.00S,2024-11-28T00:19:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,92.59198423127464,50.49019607843137,1610612739,16,6,2024-11-28T00:19:42Z,600000,False,2.0,17.0,1,right,I. Okoro cutting Layup (5 PTS),[1630171],1610612739.0,CLE,cutting,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,1.73,Made,,,,,,,,,,5.0,,,,,
62,PT08M04.00S,2024-11-28T00:19:49.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,6.652431011826544,50.73529411764706,1610612737,16,6,2024-11-28T00:21:15Z,620000,False,-4.0,10.0,1,left,MISS D. Daniels floating Shot,[1630700],1610612737.0,ATL,floating,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,1.07,Missed,,,,,,,,,,,,,,,
63,PT08M01.00S,2024-11-28T00:19:52.5Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,16,6,2024-11-28T00:19:53Z,630000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,,
64,PT07M53.00S,2024-11-28T00:20:00.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,92.85479632063075,50.73529411764706,1610612739,18,6,2024-11-28T00:21:50Z,640000,False,4.0,15.0,1,right,E. Mobley DUNK (4 PTS) (I. Okoro 1 AST),"[1630596, 1630171]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,1.52,Made,,,,,,,,,,4.0,,,I. Okoro,1630171.0,1.0
66,PT07M41.00S,2024-11-28T00:20:17.0Z,1,REGULAR,foul,personal,[],1629636,,,1610612737,18,6,2024-11-28T00:20:22Z,660000,False,,,0,,D. Garland personal FOUL (1 PF),"[1629636, 1642258]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,1627524.0,1.0,0.0,Risacher,1642258.0,,,,,,
68,PT07M41.00S,2024-11-28T00:20:22.2Z,1,REGULAR,substitution,out,[],203991,,,1610612737,18,6,2024-11-28T00:20:41Z,680000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M41.00S,2024-11-28T00:20:22.2Z,1,REGULAR,substitution,out,[],1642258,,,1610612737,18,6,2024-11-28T00:20:41Z,690000,False,,,0,,SUB out: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M41.00S,2024-11-28T00:20:22.2Z,1,REGULAR,substitution,in,[],1629631,,,1610612737,18,6,2024-11-28T00:20:41Z,700000,False,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M41.00S,2024-11-28T00:20:22.2Z,1,REGULAR,substitution,in,[],1630168,,,1610612737,18,6,2024-11-28T00:20:41Z,710000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M29.00S,2024-11-28T00:20:50.0Z,1,REGULAR,3pt,Jump Shot,[],1629027,5.995400788436268,2.696078431372549,1610612737,18,6,2024-11-28T00:20:54Z,720000,False,237.0,4.0,1,left,MISS T. Young 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Right Corner 3,24+ Right,,,,23.65,Missed,,,,,,,,,,,,,,,
73,PT07M25.00S,2024-11-28T00:20:54.0Z,1,REGULAR,rebound,offensive,[],1630700,,,1610612737,18,6,2024-11-28T00:20:54Z,730000,False,,,0,,D. Daniels REBOUND (Off:1 Def:0),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Right Corner 3,24+ Right,,,,,,72.0,1.0,0.0,1.0,,,,,,,,,,,
74,PT07M21.00S,2024-11-28T00:21:01.8Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612737,18,6,2024-11-28T00:21:12Z,740000,False,,,0,,J. Allen shooting personal FOUL (1 PF) (Young 2 FT),"[1628386, 1629027]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,Mid-Range,8-16 Right,,,,,,,,,,202041.0,1.0,0.0,Young,1629027.0,,,,,,
76,PT07M21.00S,2024-11-28T00:21:23.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629027,,,1610612737,18,7,2024-11-28T00:21:23Z,760000,False,,,0,,T. Young Free Throw 1 of 2 (1 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,Made,,,,,,,,,,1.0,,,,,
77,PT07M21.00S,2024-11-28T00:21:37.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629027,,,1610612737,18,8,2024-11-28T00:21:37Z,770000,False,,,0,,T. Young Free Throw 2 of 2 (2 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,Made,,,,,,,,,,2.0,,,,,
78,PT07M06.00S,2024-11-28T00:21:54.3Z,1,REGULAR,3pt,Jump Shot,[],1629636,79.71419185282524,93.87254901960785,1610612739,18,8,2024-11-28T00:23:22Z,780000,False,219.0,138.0,1,right,MISS D. Garland 25' step back 3PT,[1629636],1610612739.0,CLE,step back,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,,,,25.93,Missed,,,,,,,,,,,,,,,
79,PT07M06.00S,2024-11-28T00:21:56.0Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,18,8,2024-11-28T00:21:56Z,790000,False,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Right Center,,,,,,78.0,2.0,1.0,1.0,,,,,,,,,,,
80,PT07M06.00S,2024-11-28T00:21:58.1Z,1,REGULAR,foul,personal,['2freethrow'],1630552,,,1610612739,18,8,2024-11-28T00:22:05Z,800000,False,,,0,,J. Johnson shooting personal FOUL (2 PF) (Allen 2 FT),"[1630552, 1628386]",1610612737.0,ATL,shooting,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,202041.0,2.0,0.0,Allen,1628386.0,,,,,,
82,PT07M06.00S,2024-11-28T00:22:23.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628386,,,1610612739,19,8,2024-11-28T00:22:47Z,820000,False,,,0,,J. Allen Free Throw 1 of 2 (6 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,Made,,,,,,,,,,6.0,,,,,
83,PT07M06.00S,2024-11-28T00:22:23.8Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,19,8,2024-11-28T00:22:42Z,830000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT07M06.00S,2024-11-28T00:22:23.8Z,1,REGULAR,substitution,out,[],1628378,,,1610612739,19,8,2024-11-28T00:22:42Z,840000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT07M06.00S,2024-11-28T00:22:23.8Z,1,REGULAR,substitution,out,[],1630552,,,1610612739,19,8,2024-11-28T00:22:42Z,850000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT07M06.00S,2024-11-28T00:22:23.8Z,1,REGULAR,substitution,in,[],1629660,,,1610612739,19,8,2024-11-28T00:22:42Z,860000,False,,,0,,SUB in: T. Jerome,[1629660],1610612739.0,CLE,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT07M06.00S,2024-11-28T00:22:23.8Z,1,REGULAR,substitution,in,[],1627777,,,1610612739,19,8,2024-11-28T00:22:42Z,870000,False,,,0,,SUB in: G. Niang,[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT07M06.00S,2024-11-28T00:22:23.8Z,1,REGULAR,substitution,in,[],203992,,,1610612739,19,8,2024-11-28T00:22:42Z,880000,False,,,0,,SUB in: B. Bogdanović,[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT07M06.00S,2024-11-28T00:22:23.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628386,,,1610612739,19,8,2024-11-28T00:22:47Z,890000,False,,,0,,MISS J. Allen Free Throw 2 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
