actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
17,PT10M44.00S,2026-03-25T23:42:39.3Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,0,2,2026-03-25T23:42:45Z,170000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1628378],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),8-16 Right,,,Mitchell,D. Mitchell,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
18,PT10M37.00S,2026-03-25T23:42:50.9Z,1,REGULAR,foul,personal,[],1626181,,,1610612739,0,2,2026-03-25T23:43:06Z,180000,False,,,0,,N. Powell personal FOUL (1 PF),"[1626181, 1631165]",1610612748.0,MIA,,,,,,,Mid-Range,16-24 Left Center,,,Powell,N. Powell,,,,,,,,,201246.0,1.0,0.0,Ellis,1631165.0,,,,,,
20,PT10M28.00S,2026-03-25T23:43:17.3Z,1,REGULAR,3pt,Jump Shot,[],1630241,68.80749014454665,32.59803921568628,1610612739,0,2,2026-03-25T23:43:22Z,200000,False,-87.0,241.0,1,right,MISS S. Merrill 25' 3PT,[1630241],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,25.59,Missed,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,
21,PT10M25.00S,2026-03-25T23:43:20.3Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,2,2026-03-25T23:43:22Z,210000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,Adebayo,B. Adebayo,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
22,PT10M15.00S,2026-03-25T23:43:30.6Z,1,REGULAR,3pt,Jump Shot,[],1626181,27.677398160315374,78.92156862745098,1610612748,0,5,2026-03-25T23:43:36Z,220000,False,-145.0,208.0,1,left,N. Powell 25' 3PT  (3 PTS) (B. Adebayo 1 AST),"[1626181, 1628389]",1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,25.31,Made,Powell,N. Powell,,,,,,,,3.0,,,,,,B. Adebayo,1628389.0,1.0,,,
24,PT09M54.00S,2026-03-25T23:43:52.0Z,1,REGULAR,turnover,lost ball,[],1630241,,,1610612739,0,5,2026-03-25T23:43:56Z,240000,False,,,0,,S. Merrill lost ball TURNOVER (1 TO),"[1630241, 1626181]",1610612739.0,CLE,,,,,,,In The Paint (Non-RA),0-8 Center,,,Merrill,S. Merrill,,,,,1.0,Powell,1626181.0,,,,,,,,,,,,
25,PT09M54.00S,2026-03-25T23:43:52.0Z,1,REGULAR,steal,,[],1626181,,,1610612748,0,5,2026-03-25T23:48:10Z,250000,False,,,0,,N. Powell STEAL (1 STL),[1626181],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,
26,PT09M44.00S,2026-03-25T23:44:01.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628389,33.327858081471746,29.411764705882355,1610612748,0,5,2026-03-25T23:44:07Z,260000,False,103.0,261.0,1,left,MISS B. Adebayo 28' 3PT,[1628389],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,28.04,Missed,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
27,PT09M40.00S,2026-03-25T23:44:05.7Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,5,2026-03-25T23:44:07Z,270000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,,,Mobley,E. Mobley,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
28,PT09M33.00S,2026-03-25T23:44:12.9Z,1,REGULAR,3pt,Jump Shot,[],201935,65.78515111695138,49.754901960784316,1610612739,0,5,2026-03-25T23:45:42Z,280000,False,-1.0,269.0,1,right,MISS J. Harden 26' pullup 3PT,[201935],1610612739.0,CLE,pullup,,,,,,Above the Break 3,24+ Center,26.91,Missed,Harden,J. Harden,,,,,,,,,,,,,,,,,,,
29,PT09M30.00S,2026-03-25T23:44:15.1Z,1,REGULAR,rebound,defensive,[],203952,,,1610612748,0,5,2026-03-25T23:44:15Z,290000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,Wiggins,A. Wiggins,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
30,PT09M26.00S,2026-03-25T23:44:23.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",203952,9.149145860709593,61.274509803921575,1610612748,0,5,2026-03-25T23:47:22Z,300000,False,-56.0,34.0,1,left,MISS A. Wiggins 6' running pullup Shot,[203952],1610612748.0,MIA,running pullup,,,,,,In The Paint (Non-RA),0-8 Center,6.56,Missed,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,
31,PT09M25.00S,2026-03-25T23:44:24.0Z,1,REGULAR,rebound,defensive,[],201935,,,1610612739,0,5,2026-03-25T23:47:22Z,310000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),0-8 Center,,,Harden,J. Harden,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
32,PT09M19.00S,2026-03-25T23:44:31.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631165,92.59198423127464,53.18627450980392,1610612739,0,5,2026-03-25T23:47:58Z,320000,False,16.0,17.0,1,right,MISS K. Ellis running Layup - blocked,"[1631165, 1630558]",1610612739.0,CLE,running,,,,,,Restricted Area,0-8 Center,2.33,Missed,Ellis,K. Ellis,,,,,,,,,,,,,,,,,Mitchell,1630558.0,
33,PT09M19.00S,2026-03-25T23:44:31.7Z,1,REGULAR,block,,[],1630558,,,1610612739,0,5,2026-03-25T23:44:34Z,330000,False,,,0,,D. Mitchell BLOCK (1 BLK),[1630558],1610612748.0,MIA,,,,,,,Restricted Area,0-8 Center,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
34,PT09M19.00S,2026-03-25T23:44:31.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,0,5,2026-03-25T23:44:39Z,340000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,Restricted Area,0-8 Center,,,,,32.0,,,,,,,,,,,,,,,,,,
36,PT09M09.00S,2026-03-25T23:44:56.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628378,62.5,53.18627450980392,1610612739,0,5,2026-03-25T23:48:22Z,360000,False,16.0,300.0,1,right,MISS D. Mitchell 30' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,,,,Above the Break 3,24+ Center,30.04,Missed,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
37,PT09M06.00S,2026-03-25T23:44:59.3Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,5,2026-03-25T23:45:01Z,370000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,Herro,T. Herro,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
38,PT08M55.00S,2026-03-25T23:45:09.6Z,1,REGULAR,3pt,Jump Shot,[],203952,19.92444152431012,95.34313725490196,1610612748,0,8,2026-03-25T23:45:14Z,380000,False,-227.0,135.0,1,left,A. Wiggins 26' 3PT  (3 PTS) (T. Herro 1 AST),"[203952, 1629639]",1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,26.37,Made,Wiggins,A. Wiggins,,,,,,,,3.0,,,,,,T. Herro,1629639.0,1.0,,,
40,PT08M38.00S,2026-03-25T23:45:27.8Z,1,REGULAR,2pt,Jump Shot,[],1628378,80.76544021024968,74.01960784313727,1610612739,2,8,2026-03-25T23:45:31Z,400000,False,120.0,128.0,1,right,D. Mitchell 17' step back Jump Shot (2 PTS) (J. Harden 1 AST),"[1628378, 201935]",1610612739.0,CLE,step back,,,,,,Mid-Range,16-24 Right Center,17.57,Made,Mitchell,D. Mitchell,,,,,,,,2.0,,,,,,J. Harden,201935.0,1.0,,,
41,PT08M30.00S,2026-03-25T23:45:37.5Z,1,REGULAR,foul,personal,[],1630596,,,1610612748,2,8,2026-03-25T23:45:53Z,410000,False,,,0,,E. Mobley personal FOUL (1 PF),"[1630596, 1628389]",1610612739.0,CLE,,,,,,,Mid-Range,16-24 Right Center,,,Mobley,E. Mobley,,,,,,,,,201246.0,1.0,0.0,Adebayo,1628389.0,,,,,,
43,PT08M19.00S,2026-03-25T23:46:04.7Z,1,REGULAR,3pt,Jump Shot,[],1628389,4.02431011826544,98.2843137254902,1610612748,2,8,2026-03-25T23:46:09Z,430000,False,-241.0,-15.0,1,left,MISS B. Adebayo 24' 3PT,[1628389],1610612748.0,MIA,,,,,,,Left Corner 3,24+ Left,24.18,Missed,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
44,PT08M17.00S,2026-03-25T23:46:06.7Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,2,8,2026-03-25T23:46:09Z,440000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:3),[1628378],1610612739.0,CLE,,,,,,,Left Corner 3,24+ Left,,,Mitchell,D. Mitchell,43.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
45,PT08M11.00S,2026-03-25T23:46:13.0Z,1,REGULAR,turnover,lost ball,[],201935,,,1610612739,2,8,2026-03-25T23:46:19Z,450000,False,,,0,,J. Harden lost ball TURNOVER (1 TO),"[201935, 1628389]",1610612739.0,CLE,,,,,,,Mid-Range,16-24 Left Center,,,Harden,J. Harden,,,,,1.0,Adebayo,1628389.0,,,,,,,,,,,,
46,PT08M11.00S,2026-03-25T23:46:13.0Z,1,REGULAR,steal,,[],1628389,,,1610612748,2,8,2026-03-25T23:46:14Z,460000,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,,,,Mid-Range,16-24 Left Center,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
47,PT08M05.00S,2026-03-25T23:46:18.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628389,6.1268068331143235,49.26470588235294,1610612748,2,10,2026-03-25T23:46:23Z,470000,False,4.0,5.0,1,left,B. Adebayo running Layup (2 PTS),[1628389],1610612748.0,MIA,running,,,,,,Restricted Area,0-8 Center,0.63,Made,Adebayo,B. Adebayo,,,,,,,,2.0,,,,,,,,,,,
48,PT07M43.00S,2026-03-25T23:46:44.9Z,1,REGULAR,foul,personal,[],203952,,,1610612739,2,10,2026-03-25T23:46:53Z,480000,False,,,0,,A. Wiggins personal FOUL (1 PF),"[203952, 1630596]",1610612748.0,MIA,,,,,,,Mid-Range,8-16 Left,,,Wiggins,A. Wiggins,,,,,,,,,201246.0,1.0,0.0,Mobley,1630596.0,,,,,,
50,PT07M31.00S,2026-03-25T23:47:16.6Z,1,REGULAR,3pt,Jump Shot,[],1630241,70.38436268068331,75.24509803921569,1610612739,2,10,2026-03-25T23:47:21Z,500000,False,126.0,226.0,1,right,MISS S. Merrill 25' 3PT,[1630241],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,25.88,Missed,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,
51,PT07M29.00S,2026-03-25T23:47:18.6Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,10,2026-03-25T23:47:21Z,510000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,Adebayo,B. Adebayo,50.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
52,PT07M23.00S,2026-03-25T23:47:24.7Z,1,REGULAR,3pt,Jump Shot,[],1629639,8.886333771353483,95.58823529411765,1610612748,2,10,2026-03-25T23:47:29Z,520000,False,-228.0,31.0,1,left,MISS T. Herro 3PT,[1629639],1610612748.0,MIA,,,,,,,Left Corner 3,24+ Left,23.0,Missed,Herro,T. Herro,,,,,,,,,,,,,,,,,,,
53,PT07M20.00S,2026-03-25T23:47:27.7Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,2,10,2026-03-25T23:47:29Z,530000,False,,,0,,E. Mobley REBOUND (Off:0 Def:2),[1630596],1610612739.0,CLE,,,,,,,Left Corner 3,24+ Left,,,Mobley,E. Mobley,52.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
54,PT07M08.00S,2026-03-25T23:47:40.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,82.60512483574244,62.254901960784316,1610612739,2,10,2026-03-25T23:47:45Z,540000,False,61.0,111.0,1,right,MISS D. Mitchell 12' driving floating Shot,[1628378],1610612739.0,CLE,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,12.68,Missed,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
55,PT07M06.00S,2026-03-25T23:47:42.3Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,2,10,2026-03-25T23:47:42Z,550000,False,,,0,,E. Mobley REBOUND (Off:1 Def:2),[1630596],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),8-16 Center,,,Mobley,E. Mobley,54.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
56,PT07M03.00S,2026-03-25T23:47:44.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628378,89.43823915900131,51.9607843137255,1610612739,4,10,2026-03-25T23:52:23Z,560000,False,10.0,47.0,1,right,D. Mitchell driving floating Jump Shot (4 PTS) (E. Mobley 1 AST),"[1628378, 1630596]",1610612739.0,CLE,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,4.78,Made,Mitchell,D. Mitchell,,,,,,,,4.0,,,,,,E. Mobley,1630596.0,1.0,,,
58,PT06M53.00S,2026-03-25T23:47:54.3Z,1,REGULAR,3pt,Jump Shot,[],1626181,29.6484888304862,14.950980392156863,1610612748,4,13,2026-03-25T23:52:39Z,580000,False,175.0,226.0,1,left,N. Powell 28' 3PT pullup (6 PTS),[1626181],1610612748.0,MIA,pullup,,,,,,Above the Break 3,24+ Right Center,28.61,Made,Powell,N. Powell,,,,,,,,6.0,,,,,,,,,,,
59,PT06M52.00S,2026-03-25T23:48:00.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,4,13,2026-03-25T23:48:00Z,590000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M52.00S,2026-03-25T23:48:01.4Z,1,REGULAR,substitution,out,[],1628378,,,1610612739,4,13,2026-03-25T23:51:06Z,600000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
62,PT06M52.00S,2026-03-25T23:48:01.4Z,1,REGULAR,substitution,in,[],203471,,,1610612739,4,13,2026-03-25T23:51:06Z,610000,False,,,0,,SUB in: D. Schröder,[203471],1610612739.0,CLE,,,,,,,,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,
63,PT06M28.00S,2026-03-25T23:51:31.7Z,1,REGULAR,3pt,Jump Shot,[],1630241,71.17279894875165,23.52941176470588,1610612739,7,13,2026-03-25T23:51:43Z,620000,False,-132.0,218.0,1,right,S. Merrill 25' 3PT  (3 PTS) (J. Harden 2 AST),"[1630241, 201935]",1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,25.55,Made,Merrill,S. Merrill,,,,,,,,3.0,,,,,,J. Harden,201935.0,2.0,,,
65,PT06M04.00S,2026-03-25T23:51:56.2Z,1,REGULAR,turnover,lost ball,[],1629639,,,1610612748,7,13,2026-03-25T23:52:01Z,640000,False,,,0,,T. Herro lost ball TURNOVER (1 TO),"[1629639, 1631165]",1610612748.0,MIA,,,,,,,Mid-Range,16-24 Right Center,,,Herro,T. Herro,,,,,1.0,Ellis,1631165.0,,,,,,,,,,,,
66,PT06M04.00S,2026-03-25T23:51:56.2Z,1,REGULAR,steal,,[],1631165,,,1610612739,7,13,2026-03-25T23:51:58Z,650000,False,,,0,,K. Ellis STEAL (1 STL),[1631165],1610612739.0,CLE,,,,,,,Mid-Range,16-24 Right Center,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,
67,PT06M00.00S,2026-03-25T23:52:03.9Z,1,REGULAR,turnover,out-of-bounds,[],1630241,,,1610612739,7,13,2026-03-25T23:52:12Z,660000,False,,,0,,S. Merrill bad pass out-of-bounds TURNOVER (2 TO),[1630241],1610612739.0,CLE,bad pass,,,,,,Mid-Range,8-16 Left,,,Merrill,S. Merrill,,,,,2.0,,,,1627526.0,,,,,,,,,,
68,PT06M00.00S,2026-03-25T23:52:08.6Z,1,REGULAR,substitution,out,[],1630241,,,1610612748,7,13,2026-03-25T23:52:16Z,670000,False,,,0,,SUB out: S. Merrill,[1630241],1610612739.0,CLE,,,,,,,,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,
69,PT06M00.00S,2026-03-25T23:52:08.6Z,1,REGULAR,substitution,in,[],1641772,,,1610612748,7,13,2026-03-25T23:52:16Z,680000,False,,,0,,SUB in: N. Tomlin,[1641772],1610612739.0,CLE,,,,,,,,,,,Tomlin,N. Tomlin,,,,,,,,,,,,,,,,,,,
70,PT05M39.00S,2026-03-25T23:52:41.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629639,5.338370565045992,97.54901960784314,1610612748,7,16,2026-03-25T23:52:45Z,690000,False,-238.0,-2.0,1,left,T. Herro 3PT  (3 PTS) (D. Mitchell 1 AST),"[1629639, 1630558]",1610612748.0,MIA,,,,,,,Left Corner 3,24+ Left,23.77,Made,Herro,T. Herro,,,,,,,,3.0,,,,,,D. Mitchell,1630558.0,1.0,,,
72,PT05M14.00S,2026-03-25T23:53:10.9Z,1,REGULAR,foul,personal,['3freethrow'],1630558,,,1610612739,7,16,2026-03-25T23:53:18Z,710000,False,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Ellis 3 FT),"[1630558, 1631165]",1610612748.0,MIA,shooting,,,,,,Above the Break 3,24+ Center,,,Mitchell,D. Mitchell,,,,,,,,,201246.0,1.0,0.0,Ellis,1631165.0,,,,,,
74,PT05M14.00S,2026-03-25T23:53:44.7Z,1,REGULAR,freethrow,1 of 3,[],1631165,,,1610612739,8,16,2026-03-25T23:53:44Z,730000,False,,,0,,K. Ellis Free Throw 1 of 3 (1 PTS),[1631165],1610612739.0,CLE,,,,,,,,,,Made,Ellis,K. Ellis,,,,,,,,1.0,,,,,,,,,,,
75,PT05M14.00S,2026-03-25T23:54:04.2Z,1,REGULAR,freethrow,2 of 3,[],1631165,,,1610612739,9,16,2026-03-25T23:54:04Z,740000,False,,,0,,K. Ellis Free Throw 2 of 3 (2 PTS),[1631165],1610612739.0,CLE,,,,,,,,,,Made,Ellis,K. Ellis,,,,,,,,2.0,,,,,,,,,,,
76,PT05M14.00S,2026-03-25T23:54:05.0Z,1,REGULAR,substitution,out,[],1629639,,,1610612739,9,16,2026-03-25T23:54:14Z,750000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,,,,,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,
77,PT05M14.00S,2026-03-25T23:54:05.0Z,1,REGULAR,substitution,out,[],203952,,,1610612739,9,16,2026-03-25T23:54:14Z,760000,False,,,0,,SUB out: A. Wiggins,[203952],1610612748.0,MIA,,,,,,,,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,
78,PT05M14.00S,2026-03-25T23:54:05.0Z,1,REGULAR,substitution,in,[],1641796,,,1610612739,9,16,2026-03-25T23:54:14Z,770000,False,,,0,,SUB in: P. Larsson,[1641796],1610612748.0,MIA,,,,,,,,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,
79,PT05M14.00S,2026-03-25T23:54:05.0Z,1,REGULAR,substitution,in,[],1631170,,,1610612739,9,16,2026-03-25T23:54:14Z,780000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,,,,,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,
80,PT05M14.00S,2026-03-25T23:54:31.5Z,1,REGULAR,freethrow,3 of 3,[],1631165,,,1610612739,10,16,2026-03-25T23:54:31Z,790000,False,,,0,,K. Ellis Free Throw 3 of 3 (3 PTS),[1631165],1610612739.0,CLE,,,,,,,,,,Made,Ellis,K. Ellis,,,,,,,,3.0,,,,,,,,,,,
81,PT05M00.00S,2026-03-25T23:54:46.4Z,1,REGULAR,3pt,Jump Shot,[],1631170,29.517082785808146,72.05882352941177,1610612748,10,16,2026-03-25T23:55:00Z,800000,False,-110.0,225.0,1,left,MISS J. Jaquez Jr. 25' 3PT,[1631170],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,25.06,Missed,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,
82,PT04M57.00S,2026-03-25T23:54:49.4Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,10,16,2026-03-26T00:08:44Z,810000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:2),[1628389],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,Adebayo,B. Adebayo,81.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
153,PT04M57.00S,2026-03-25T23:54:52.5Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,10,16,2026-03-26T00:10:27Z,815000,False,,,0,,B. Adebayo step out-of-bounds TURNOVER (1 TO),[1628389],1610612748.0,MIA,step,,,,,,Left Corner 3,24+ Left,,,Adebayo,B. Adebayo,,,,,1.0,,,,201246.0,,,,,,,,,,
84,PT04M38.00S,2026-03-25T23:55:17.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201935,68.80749014454665,30.392156862745097,1610612739,13,16,2026-03-26T00:10:04Z,830000,False,-98.0,241.0,1,right,J. Harden 25' 3PT pullup (3 PTS),[201935],1610612739.0,CLE,pullup,,,,,,Above the Break 3,24+ Left Center,25.99,Made,Harden,J. Harden,,,,,,,,3.0,,,,,,,,,,,
