actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
28,PT10M22.00S,2026-01-03T00:45:58.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612739,2,3,2026-01-03T00:46:05Z,280000,False,,,0,,CLE shot clock Team TURNOVER,[],1610612739.0,CLE,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,204059.0,,,,,,,,,,,,
29,PT10M12.00S,2026-01-03T00:46:18.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627750,70.90998685939553,20.098039215686274,1610612743,2,6,2026-01-03T00:47:30Z,290000,False,-150.0,221.0,1,right,J. Murray 26' 3PT pullup (3 PTS) (P. Watson 1 AST),"[1627750, 1631212]",1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,26.67,Made,,3.0,P. Watson,1631212.0,1.0,,,,,,,,,,,,,
30,PT09M59.00S,2026-01-03T00:46:32.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,12.565703022339028,50.73529411764706,1610612739,2,6,2026-01-03T00:46:36Z,300000,False,-4.0,66.0,1,left,MISS J. Allen 6' Hook,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,6.57,Missed,,,,,,,,,,,,,,,,,,
31,PT09M59.00S,2026-01-03T00:46:34.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,2,6,2026-01-03T00:46:34Z,310000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,30.0,,,,,,,,,,,,,,,,,
34,PT09M52.00S,2026-01-03T00:46:58.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642281,23.47240473061761,11.519607843137255,1610612739,5,6,2026-01-03T00:47:02Z,330000,False,192.0,168.0,1,left,J. Tyson 25' 3PT  (3 PTS) (J. Allen 1 AST),"[1642281, 1628386]",1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Above the Break 3,24+ Right Center,25.55,Made,,3.0,J. Allen,1628386.0,1.0,,,,,,,,,,,,,
36,PT09M36.00S,2026-01-03T00:47:14.1Z,1,REGULAR,3pt,Jump Shot,[],1631212,62.10578186596584,48.28431372549019,1610612743,5,6,2026-01-03T00:47:18Z,350000,False,-9.0,304.0,1,right,MISS P. Watson 30' 3PT,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Above the Break 3,24+ Center,30.38,Missed,,,,,,,,,,,,,,,,,,
37,PT09M33.00S,2026-01-03T00:47:17.1Z,1,REGULAR,rebound,defensive,[],1642281,,,1610612739,5,6,2026-01-03T00:47:18Z,360000,False,,,0,,J. Tyson REBOUND (Off:0 Def:1),[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Above the Break 3,24+ Center,,,36.0,,,,,,,,,,,,1.0,1.0,0.0,,,
38,PT09M30.00S,2026-01-03T00:47:23.4Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,5,6,2026-01-03T00:47:34Z,370000,False,,,0,,D. Garland bad pass out-of-bounds TURNOVER (1 TO),[1629636],1610612739.0,CLE,bad pass,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,,,,,,,,1155.0,,,,,,,,,,1.0,,
39,PT09M16.00S,2026-01-03T00:47:39.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627750,93.9060446780552,71.56862745098039,1610612743,5,6,2026-01-03T00:49:29Z,380000,False,108.0,5.0,1,right,MISS J. Murray 10' fadeaway Shot,[1627750],1610612743.0,DEN,fadeaway,,,Murray,J. Murray,,,,,Mid-Range,8-16 Right,10.79,Missed,,,,,,,,,,,,,,,,,,
40,PT09M13.00S,2026-01-03T00:47:42.7Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,5,6,2026-01-03T00:47:45Z,390000,False,,,0,,E. Mobley REBOUND (Off:1 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Right,,,39.0,,,,,,,,,,,,2.0,1.0,1.0,,,
41,PT09M06.00S,2026-01-03T00:47:55.5Z,1,REGULAR,turnover,3-second-violation,[],1628386,,,1610612739,5,6,2026-01-03T00:48:20Z,400000,False,,,0,,J. Allen 3-second-violation TURNOVER (1 TO),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,204059.0,,,,,,,,,,1.0,,
42,PT08M56.00S,2026-01-03T00:48:16.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631212,69.07030223390277,17.647058823529413,1610612743,5,6,2026-01-03T00:48:22Z,410000,False,-162.0,238.0,1,right,MISS P. Watson 28' 3PT,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Above the Break 3,24+ Left Center,28.8,Missed,,,,,,,,,,,,,,,,,,
43,PT08M52.00S,2026-01-03T00:48:20.6Z,1,REGULAR,rebound,defensive,[],1642281,,,1610612739,5,6,2026-01-03T00:48:22Z,420000,False,,,0,,J. Tyson REBOUND (Off:0 Def:2),[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Above the Break 3,24+ Left Center,,,42.0,,,,,,,,,,,,2.0,2.0,0.0,,,
44,PT08M45.00S,2026-01-03T00:48:28.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,6.258212877792378,48.77450980392157,1610612739,7,6,2026-01-03T00:48:33Z,430000,False,6.0,6.0,1,left,J. Allen driving DUNK (4 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,0.88,Made,,4.0,D. Garland,1629636.0,1.0,,,,,,,,,,,,,
46,PT08M29.00S,2026-01-03T00:48:43.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,88.25558475689881,36.51960784313725,1610612743,7,8,2026-01-03T00:48:49Z,450000,False,-67.0,58.0,1,right,J. Murray 8' driving floating bank Jump Shot (5 PTS),[1627750],1610612743.0,DEN,driving floating bank,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Left,8.89,Made,,5.0,,,,,,,,,,,,,,,,
47,PT08M22.00S,2026-01-03T00:48:53.6Z,1,REGULAR,foul,personal,[],1630192,,,1610612739,7,8,2026-01-03T00:49:04Z,460000,False,,,0,,Z. Nnaji personal FOUL (1 PF),"[1630192, 1629636]",1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1155.0,1.0,0.0,Garland,1629636.0,,,,,,,,
49,PT08M11.00S,2026-01-03T00:49:21.5Z,1,REGULAR,3pt,Jump Shot,[],1629636,21.50131406044678,89.95098039215686,1610612739,7,8,2026-01-03T00:49:25Z,480000,False,-200.0,150.0,1,left,MISS D. Garland 24' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,24.96,Missed,,,,,,,,,,,,,,,,,,
50,PT08M09.00S,2026-01-03T00:49:23.2Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,7,8,2026-01-03T00:49:23Z,490000,False,,,0,,E. Mobley REBOUND (Off:2 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Left Center,,,49.0,,,,,,,,,,,,3.0,1.0,2.0,,,
51,PT08M07.00S,2026-01-03T00:49:25.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630596,7.440867279894875,50.0,1610612739,9,8,2026-01-03T00:49:29Z,500000,False,0.0,17.0,1,left,E. Mobley putback Layup (2 PTS),[1630596],1610612739.0,CLE,putback,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,1.74,Made,,2.0,,,,,,,,,,,,,,,,
52,PT07M44.00S,2026-01-03T00:49:48.2Z,1,REGULAR,2pt,Jump Shot,[],1631212,88.12417871222075,68.13725490196079,1610612743,9,8,2026-01-03T00:49:52Z,510000,False,91.0,59.0,1,right,MISS P. Watson 10' pullup Shot,[1631212],1610612743.0,DEN,pullup,,,Watson,P. Watson,,,,,Mid-Range,8-16 Right,10.83,Missed,,,,,,,,,,,,,,,,,,
53,PT07M42.00S,2026-01-03T00:49:50.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,9,8,2026-01-03T00:49:52Z,520000,False,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,8-16 Right,,,52.0,,,,,,,,,,,,2.0,2.0,0.0,,,
54,PT07M36.00S,2026-01-03T00:49:55.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630596,6.258212877792378,49.26470588235294,1610612739,11,8,2026-01-03T00:50:05Z,530000,False,4.0,6.0,1,left,E. Mobley running alley-oop DUNK (4 PTS) (D. Mitchell 1 AST),"[1630596, 1628378]",1610612739.0,CLE,running alley-oop,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,0.73,Made,,4.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,,,
56,PT07M26.00S,2026-01-03T00:50:07.5Z,1,REGULAR,3pt,Jump Shot,[],1627750,74.06373193166885,11.029411764705882,1610612743,11,8,2026-01-03T00:50:12Z,550000,False,-195.0,191.0,1,right,MISS J. Murray 27' pullup 3PT,[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,27.31,Missed,,,,,,,,,,,,,,,,,,
57,PT07M21.00S,2026-01-03T00:50:12.5Z,1,REGULAR,rebound,defensive,[],1642281,,,1610612739,11,8,2026-01-03T00:50:12Z,560000,False,,,0,,J. Tyson REBOUND (Off:0 Def:3),[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Above the Break 3,24+ Left Center,,,56.0,,,,,,,,,,,,3.0,3.0,0.0,,,
58,PT07M08.00S,2026-01-03T00:50:24.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,12.697109067017081,60.5392156862745,1610612739,11,8,2026-01-03T00:50:28Z,570000,False,-53.0,67.0,1,left,MISS E. Mobley 8' driving floating Shot,[1630596],1610612739.0,CLE,driving floating,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Left,8.52,Missed,,,,,,,,,,,,,,,,,,
59,PT07M06.00S,2026-01-03T00:50:26.0Z,1,REGULAR,rebound,defensive,[],1630192,,,1610612743,11,8,2026-01-03T00:50:28Z,580000,False,,,0,,Z. Nnaji REBOUND (Off:0 Def:1),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,In The Paint (Non-RA),8-16 Left,,,58.0,,,,,,,,,,,,1.0,1.0,0.0,,,
60,PT07M03.00S,2026-01-03T00:50:29.9Z,1,REGULAR,turnover,bad pass,[],1629618,,,1610612743,11,8,2026-01-03T00:50:35Z,590000,False,,,0,,J. Pickett bad pass TURNOVER (1 TO),"[1629618, 1628386]",1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,1.0,Allen,1628386.0
61,PT07M03.00S,2026-01-03T00:50:29.9Z,1,REGULAR,steal,,[],1628386,,,1610612739,11,8,2026-01-03T00:50:32Z,600000,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
62,PT06M58.00S,2026-01-03T00:50:37.5Z,1,REGULAR,turnover,out-of-bounds,[],1628378,,,1610612739,11,8,2026-01-03T00:50:45Z,610000,False,,,0,,D. Mitchell step out-of-bounds TURNOVER (1 TO),[1628378],1610612739.0,CLE,step,,,Mitchell,D. Mitchell,,,,,Right Corner 3,24+ Right,,,,,,,,1155.0,,,,,,,,,,1.0,,
63,PT06M58.00S,2026-01-03T00:50:46.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,11,8,2026-01-03T00:50:46Z,620000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M58.00S,2026-01-03T00:50:47.1Z,1,REGULAR,substitution,out,[],1630596,,,1610612743,11,8,2026-01-03T00:54:08Z,630000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M58.00S,2026-01-03T00:50:47.1Z,1,REGULAR,substitution,out,[],1628378,,,1610612743,11,8,2026-01-03T00:54:08Z,640000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M58.00S,2026-01-03T00:50:47.1Z,1,REGULAR,substitution,out,[],1629618,,,1610612743,11,8,2026-01-03T00:54:08Z,650000,False,,,0,,SUB out: J. Pickett,[1629618],1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M58.00S,2026-01-03T00:50:47.1Z,1,REGULAR,substitution,in,[],1629631,,,1610612743,11,8,2026-01-03T00:54:08Z,660000,False,,,0,,SUB in: D. Hunter,[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M58.00S,2026-01-03T00:50:47.1Z,1,REGULAR,substitution,in,[],1641854,,,1610612743,11,8,2026-01-03T00:54:08Z,670000,False,,,0,,SUB in: C. Porter Jr.,[1641854],1610612739.0,CLE,,,,Porter Jr.,C. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M58.00S,2026-01-03T00:50:47.1Z,1,REGULAR,substitution,in,[],203501,,,1610612743,11,8,2026-01-03T00:54:08Z,680000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M43.00S,2026-01-03T00:54:23.3Z,1,REGULAR,foul,personal,[],1642281,,,1610612743,11,8,2026-01-03T00:54:31Z,690000,False,,,0,,J. Tyson personal FOUL (1 PF),"[1642281, 1627750]",1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Above the Break 3,24+ Center,,,,,,,,204059.0,1.0,0.0,Murray,1627750.0,,,,,,,,
72,PT06M35.00S,2026-01-03T00:54:42.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627750,80.1084099868594,12.254901960784313,1610612743,11,8,2026-01-03T00:55:11Z,710000,False,-189.0,134.0,1,right,MISS J. Murray 23' pullup Shot,[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Mid-Range,16-24 Left,23.17,Missed,,,,,,,,,,,,,,,,,,
73,PT06M32.00S,2026-01-03T00:54:45.3Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,11,8,2026-01-03T00:54:47Z,720000,False,,,0,,J. Allen REBOUND (Off:0 Def:3),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,16-24 Left,,,72.0,,,,,,,,,,,,3.0,3.0,0.0,,,
74,PT06M21.00S,2026-01-03T00:54:56.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641854,6.521024967148489,47.30392156862745,1610612739,13,8,2026-01-03T00:55:01Z,730000,False,13.0,9.0,1,left,C. Porter Jr. driving floating bank Jump Shot (2 PTS) (D. Hunter 1 AST),"[1641854, 1629631]",1610612739.0,CLE,driving floating bank,,,Porter Jr.,C. Porter Jr.,,,,,Restricted Area,0-8 Center,1.61,Made,,2.0,D. Hunter,1629631.0,1.0,,,,,,,,,,,,,
76,PT06M07.00S,2026-01-03T00:55:09.7Z,1,REGULAR,3pt,Jump Shot,[],203501,75.3777923784494,8.823529411764707,1610612743,13,8,2026-01-03T00:55:15Z,750000,False,-206.0,179.0,1,right,MISS T. Hardaway Jr. 27' pullup 3PT,[203501],1610612743.0,DEN,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,27.28,Missed,,,,,,,,,,,,,,,,,,
77,PT06M03.00S,2026-01-03T00:55:13.7Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612739,13,8,2026-01-03T00:55:15Z,760000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,,,76.0,,,,,,,,,,,,1.0,1.0,0.0,,,
78,PT05M55.00S,2026-01-03T00:55:22.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,16.770696452036795,58.82352941176471,1610612739,13,8,2026-01-03T00:55:31Z,770000,False,-44.0,105.0,1,left,MISS D. Hunter 11' pullup Shot,[1629631],1610612739.0,CLE,pullup,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,11.4,Missed,,,,,,,,,,,,,,,,,,
79,PT05M52.00S,2026-01-03T00:55:25.3Z,1,REGULAR,rebound,defensive,[],1631212,,,1610612743,13,8,2026-01-03T00:55:27Z,780000,False,,,0,,P. Watson REBOUND (Off:0 Def:1),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,In The Paint (Non-RA),8-16 Center,,,78.0,,,,,,,,,,,,1.0,1.0,0.0,,,
80,PT05M39.00S,2026-01-03T00:55:37.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,89.83245729303549,37.99019607843137,1610612743,13,10,2026-01-03T00:55:42Z,790000,False,-60.0,43.0,1,right,J. Murray 7' driving floating bank Jump Shot (7 PTS),[1627750],1610612743.0,DEN,driving floating bank,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,7.39,Made,,7.0,,,,,,,,,,,,,,,,
81,PT05M31.00S,2026-01-03T00:55:46.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,5.732588699080158,50.98039215686274,1610612739,15,10,2026-01-03T00:55:50Z,800000,False,-5.0,1.0,1,left,D. Garland driving finger roll Layup (2 PTS) (C. Porter Jr. 1 AST),"[1629636, 1641854]",1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,0.51,Made,,2.0,C. Porter Jr.,1641854.0,1.0,,,,,,,,,,,,,
83,PT05M17.00S,2026-01-03T00:55:59.7Z,1,REGULAR,3pt,Jump Shot,[],1630192,71.17279894875165,20.833333333333336,1610612743,15,10,2026-01-03T00:56:05Z,820000,False,-146.0,218.0,1,right,MISS Z. Nnaji 26' 3PT,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,Above the Break 3,24+ Left Center,26.27,Missed,,,,,,,,,,,,,,,,,,
84,PT05M14.00S,2026-01-03T00:56:02.7Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,15,10,2026-01-03T00:56:05Z,830000,False,,,0,,J. Allen REBOUND (Off:0 Def:4),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Left Center,,,83.0,,,,,,,,,,,,4.0,4.0,0.0,,,
85,PT05M06.00S,2026-01-03T00:56:10.6Z,1,REGULAR,3pt,Jump Shot,[],1642281,9.149145860709593,97.54901960784314,1610612739,15,10,2026-01-03T00:56:16Z,840000,False,-238.0,34.0,1,left,MISS J. Tyson 24' 3PT,[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Left Corner 3,24+ Left,24.0,Missed,,,,,,,,,,,,,,,,,,
