actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
17,PT10M50.00S,2025-12-20T00:42:26.3Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,3,0,2025-12-20T00:43:19Z,170000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,,,Wade,D. Wade,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M42.00S,2025-12-20T00:42:35.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,6.521024967148489,51.71568627450981,1610612739,5,0,2025-12-20T00:42:39Z,180000,False,-9.0,9.0,1,left,D. Garland driving Layup (2 PTS),[1629636],1610612739.0,CLE,driving,,,,,,Restricted Area,0-8 Center,1.23,Made,Garland,D. Garland,,,,,2.0,,,,,,,,,,,,,
19,PT10M17.00S,2025-12-20T00:42:59.7Z,1,REGULAR,3pt,Jump Shot,[],1629632,65.78515111695138,16.42156862745098,1610612741,5,0,2025-12-20T00:43:03Z,190000,False,-168.0,269.0,1,right,MISS C. White 31' 3PT,[1629632],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,31.72,Missed,White,C. White,,,,,,,,,,,,,,,,,,
20,PT10M14.00S,2025-12-20T00:43:02.7Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,5,0,2025-12-20T00:43:03Z,200000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Allen,J. Allen,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M10.00S,2025-12-20T00:43:09.7Z,1,REGULAR,violation,kicked ball,[],1629632,,,1610612739,5,0,2025-12-20T00:43:14Z,210000,False,,,0,,C. White kicked ball VIOLATION,[1629632],1610612741.0,CHI,,,,,,,,,,,White,C. White,,,,,,,,,1627963.0,,,,,,,,,
22,PT10M02.00S,2025-12-20T00:43:28.7Z,1,REGULAR,3pt,Jump Shot,[],1642281,29.25427069645204,26.47058823529412,1610612739,5,0,2025-12-20T00:43:32Z,220000,False,118.0,222.0,1,left,MISS J. Tyson 25' 3PT,[1642281],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,25.17,Missed,Tyson,J. Tyson,,,,,,,,,,,,,,,,,,
23,PT09M59.00S,2025-12-20T00:43:31.7Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,5,0,2025-12-20T00:43:32Z,230000,False,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,,,Allen,J. Allen,22.0,2.0,1.0,1.0,,,,,,,,,,,,,,
24,PT09M57.00S,2025-12-20T00:43:34.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642878,27.808804204993432,76.9607843137255,1610612739,8,0,2025-12-20T00:43:37Z,240000,False,-135.0,209.0,1,left,T. Proctor 24' 3PT  (6 PTS) (J. Allen 1 AST),"[1642878, 1628386]",1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,24.86,Made,Proctor,T. Proctor,,,,,6.0,,,,,J. Allen,1628386.0,1.0,,,,,,
26,PT09M57.00S,2025-12-20T00:43:40.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,8,0,2025-12-20T00:43:40Z,260000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M49.00S,2025-12-20T00:46:39.5Z,1,REGULAR,3pt,Jump Shot,[],1630581,69.85873850197109,27.205882352941174,1610612741,8,0,2025-12-20T00:47:02Z,270000,False,-114.0,231.0,1,right,MISS J. Giddey 25' step back 3PT,[1630581],1610612741.0,CHI,step back,,,,,,Above the Break 3,24+ Left Center,25.74,Missed,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,
28,PT09M47.00S,2025-12-20T00:46:41.5Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,8,0,2025-12-20T00:47:02Z,280000,False,,,0,,D. Wade REBOUND (Off:0 Def:2),[1629731],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Wade,D. Wade,27.0,2.0,2.0,0.0,,,,,,,,,,,,,,
29,PT09M38.00S,2025-12-20T00:46:48.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629636,34.37910643889619,60.29411764705882,1610612739,11,0,2025-12-20T00:47:02Z,290000,False,-51.0,271.0,1,left,D. Garland 27' 3PT running (5 PTS) (D. Wade 1 AST),"[1629636, 1629731]",1610612739.0,CLE,running,,,,,,Above the Break 3,24+ Center,27.56,Made,Garland,D. Garland,,,,,5.0,,,,,D. Wade,1629731.0,1.0,,,,,,
32,PT09M10.00S,2025-12-20T00:47:31.9Z,1,REGULAR,3pt,Jump Shot,[],1641824,77.21747700394218,9.068627450980392,1610612741,11,3,2025-12-20T00:47:37Z,320000,False,-205.0,162.0,1,right,M. Buzelis 26' 3PT  (3 PTS) (J. Giddey 1 AST),"[1641824, 1630581]",1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,26.09,Made,Buzelis,M. Buzelis,,,,,3.0,,,,,J. Giddey,1630581.0,1.0,,,,,,
34,PT09M10.00S,2025-12-20T00:47:36.4Z,1,REGULAR,foul,personal,['1freethrow'],1642281,,,1610612741,11,3,2025-12-20T00:50:03Z,340000,False,,,0,,J. Tyson flagrant-type-1 personal FOUL (1 PF) (Buzelis 1 FT),"[1642281, 1641824]",1610612739.0,CLE,flagrant-type-1,,,,,,Above the Break 3,24+ Left Center,,,Tyson,J. Tyson,,,,,,,,,1626300.0,,,,1.0,0.0,Buzelis,1641824.0,,
37,PT09M10.00S,2025-12-20T00:49:53.6Z,1,REGULAR,freethrow,1 of 1,[],1641824,,,1610612741,11,4,2025-12-20T00:50:14Z,370000,False,,,0,,M. Buzelis flagrant Free Throw 1 of 1 (4 PTS),[1641824],1610612741.0,CHI,flagrant,,,,,,,,,Made,Buzelis,M. Buzelis,,,,,4.0,,,,,,,,,,,,,
38,PT09M05.00S,2025-12-20T00:50:11.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,94.03745072273325,52.450980392156865,1610612741,11,4,2025-12-20T00:51:16Z,380000,False,12.0,4.0,1,right,MISS J. Giddey driving Layup,[1630581],1610612741.0,CHI,driving,,,,,,Restricted Area,0-8 Center,1.28,Missed,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,
39,PT09M04.00S,2025-12-20T00:50:12.1Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,11,4,2025-12-20T00:51:16Z,390000,False,,,0,,N. Vučević REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,Vučević,N. Vučević,38.0,1.0,0.0,1.0,,,,,,,,,,,,,,
40,PT09M04.00S,2025-12-20T00:50:15.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202696,94.40999984741211,50.0,1610612741,11,6,2025-12-20T00:51:22Z,400000,False,0.0,0.0,1,right,N. Vučević tip Layup (2 PTS),[202696],1610612741.0,CHI,tip,,,,,,Restricted Area,0-8 Center,0.0,Made,Vučević,N. Vučević,,,,,2.0,,,,,,,,,,,,,
41,PT08M48.00S,2025-12-20T00:50:25.8Z,1,REGULAR,3pt,Jump Shot,[],1629731,8.09789750328515,4.166666666666666,1610612739,11,6,2025-12-20T00:50:32Z,410000,False,229.0,24.0,1,left,MISS D. Wade 3PT,[1629731],1610612739.0,CLE,,,,,,,Right Corner 3,24+ Right,23.04,Missed,Wade,D. Wade,,,,,,,,,,,,,,,,,,
42,PT08M48.00S,2025-12-20T00:50:25.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,11,6,2025-12-20T00:50:32Z,420000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,Right Corner 3,24+ Right,,,,,41.0,,,,,,,,,,,,,,,,,
44,PT08M38.00S,2025-12-20T00:51:02.4Z,1,REGULAR,foul,personal,['2freethrow'],1642281,,,1610612741,11,6,2025-12-20T00:51:10Z,440000,False,,,0,,J. Tyson shooting personal FOUL (2 PF) (Buzelis 2 FT),"[1642281, 1641824]",1610612739.0,CLE,shooting,,,,,,Restricted Area,0-8 Center,,,Tyson,J. Tyson,,,,,,,,,1626300.0,,,,2.0,0.0,Buzelis,1641824.0,,
46,PT08M38.00S,2025-12-20T00:51:30.3Z,1,REGULAR,freethrow,1 of 2,[],1641824,,,1610612741,11,6,2025-12-20T00:51:59Z,460000,False,,,0,,MISS M. Buzelis Free Throw 1 of 2,[1641824],1610612741.0,CHI,,,,,,,,,,Missed,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,
47,PT08M38.00S,2025-12-20T00:51:30.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612741,11,6,2025-12-20T00:51:59Z,470000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,
48,PT08M38.00S,2025-12-20T00:51:30.3Z,1,REGULAR,freethrow,2 of 2,[],1641824,,,1610612741,11,6,2025-12-20T00:51:59Z,480000,False,,,0,,MISS M. Buzelis Free Throw 2 of 2,[1641824],1610612741.0,CHI,,,,,,,,,,Missed,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,
49,PT08M35.00S,2025-12-20T00:51:33.3Z,1,REGULAR,rebound,defensive,[],1642281,,,1610612739,11,6,2025-12-20T00:51:59Z,490000,False,,,0,,J. Tyson REBOUND (Off:0 Def:1),[1642281],1610612739.0,CLE,,,,,,,,,,,Tyson,J. Tyson,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,
50,PT08M26.00S,2025-12-20T00:52:09.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628386,6.915243101182654,54.65686274509803,1610612739,11,6,2025-12-20T00:52:45Z,500000,False,-23.0,13.0,1,left,MISS J. Allen turnaround bank Shot,[1628386],1610612739.0,CLE,turnaround bank,,,,,,Restricted Area,0-8 Center,2.64,Missed,Allen,J. Allen,,,,,,,,,,,,,,,,,,
51,PT08M25.00S,2025-12-20T00:52:10.3Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,11,6,2025-12-20T00:52:45Z,510000,False,,,0,,N. Vučević REBOUND (Off:1 Def:1),[202696],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,Vučević,N. Vučević,50.0,2.0,1.0,1.0,,,,,,,,,,,,,,
52,PT08M13.00S,2025-12-20T00:52:23.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,87.33574244415243,51.71568627450981,1610612741,11,6,2025-12-20T00:53:20Z,520000,False,9.0,67.0,1,right,MISS J. Giddey 6' driving floating Shot,[1630581],1610612741.0,CHI,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,6.71,Missed,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,
53,PT08M12.00S,2025-12-20T00:52:24.0Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,11,6,2025-12-20T00:53:20Z,530000,False,,,0,,N. Vučević REBOUND (Off:2 Def:1),[202696],1610612741.0,CHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,Vučević,N. Vučević,52.0,3.0,1.0,2.0,,,,,,,,,,,,,,
54,PT08M05.00S,2025-12-20T00:52:28.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641824,86.28449408672799,46.568627450980394,1610612741,11,8,2025-12-20T00:52:36Z,540000,False,-17.0,76.0,1,right,M. Buzelis 7' driving floating Jump Shot (6 PTS) (N. Vučević 1 AST),"[1641824, 202696]",1610612741.0,CHI,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.83,Made,Buzelis,M. Buzelis,,,,,6.0,,,,,N. Vučević,202696.0,1.0,,,,,,
56,PT07M45.00S,2025-12-20T00:52:49.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629731,6.521024967148489,50.0,1610612739,13,8,2025-12-20T00:52:53Z,560000,False,0.0,9.0,1,left,D. Wade cutting Layup (2 PTS) (D. Garland 1 AST),"[1629731, 1629636]",1610612739.0,CLE,cutting,,,,,,Restricted Area,0-8 Center,0.88,Made,Wade,D. Wade,,,,,2.0,,,,,D. Garland,1629636.0,1.0,,,,,,
58,PT07M25.00S,2025-12-20T00:53:09.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,93.11760840998686,50.98039215686274,1610612741,13,8,2025-12-20T00:53:14Z,580000,False,5.0,12.0,1,right,MISS C. White driving finger roll Layup,[1629632],1610612741.0,CHI,driving finger roll,,,,,,Restricted Area,0-8 Center,1.31,Missed,White,C. White,,,,,,,,,,,,,,,,,,
59,PT07M23.00S,2025-12-20T00:53:11.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,13,8,2025-12-20T00:53:14Z,590000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,,,58.0,,,,,,,,,,,,,,,,,
61,PT07M23.00S,2025-12-20T00:53:17.4Z,1,REGULAR,substitution,out,[],202696,,,1610612741,13,8,2025-12-20T00:53:28Z,610000,False,,,0,,SUB out: N. Vučević,[202696],1610612741.0,CHI,,,,,,,,,,,Vučević,N. Vučević,,,,,,,,,,,,,,,,,,
62,PT07M23.00S,2025-12-20T00:53:17.4Z,1,REGULAR,substitution,out,[],1630581,,,1610612741,13,8,2025-12-20T00:53:28Z,620000,False,,,0,,SUB out: J. Giddey,[1630581],1610612741.0,CHI,,,,,,,,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,
63,PT07M23.00S,2025-12-20T00:53:17.4Z,1,REGULAR,substitution,in,[],1628380,,,1610612741,13,8,2025-12-20T00:53:28Z,630000,False,,,0,,SUB in: Z. Collins,[1628380],1610612741.0,CHI,,,,,,,,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,
64,PT07M23.00S,2025-12-20T00:53:17.4Z,1,REGULAR,substitution,in,[],1628989,,,1610612741,13,8,2025-12-20T00:53:28Z,640000,False,,,0,,SUB in: K. Huerter,[1628989],1610612741.0,CHI,,,,,,,,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,
65,PT07M17.00S,2025-12-20T00:53:44.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630171,70.12155059132719,21.323529411764707,1610612741,13,11,2025-12-20T00:53:49Z,650000,False,-143.0,228.0,1,right,I. Okoro 26' 3PT step back (3 PTS),[1630171],1610612741.0,CHI,step back,,,,,,Above the Break 3,24+ Left Center,26.97,Made,Okoro,I. Okoro,,,,,3.0,,,,,,,,,,,,,
66,PT06M51.00S,2025-12-20T00:54:11.6Z,1,REGULAR,3pt,Jump Shot,[],1629636,8.09789750328515,3.6764705882352944,1610612739,13,11,2025-12-20T00:54:14Z,660000,False,232.0,24.0,1,left,MISS D. Garland 3PT,[1629636],1610612739.0,CLE,,,,,,,Right Corner 3,24+ Right,23.28,Missed,Garland,D. Garland,,,,,,,,,,,,,,,,,,
67,PT06M48.00S,2025-12-20T00:54:14.6Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612741,13,11,2025-12-20T00:54:14Z,670000,False,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612741.0,CHI,,,,,,,Right Corner 3,24+ Right,,,Huerter,K. Huerter,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,
68,PT06M45.00S,2025-12-20T00:54:17.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1641824,92.85479632063075,50.98039215686274,1610612741,13,13,2025-12-20T00:54:23Z,680000,False,5.0,15.0,1,right,M. Buzelis running DUNK (8 PTS) (K. Huerter 1 AST),"[1641824, 1628989]",1610612741.0,CHI,running,,,,,,Restricted Area,0-8 Center,1.55,Made,Buzelis,M. Buzelis,,,,,8.0,,,,,K. Huerter,1628989.0,1.0,,,,,,
70,PT06M45.00S,2025-12-20T00:54:24.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,13,13,2025-12-20T00:54:24Z,700000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M45.00S,2025-12-20T00:54:27.1Z,1,REGULAR,substitution,out,[],1642878,,,1610612739,13,13,2025-12-20T00:57:02Z,710000,False,,,0,,SUB out: T. Proctor,[1642878],1610612739.0,CLE,,,,,,,,,,,Proctor,T. Proctor,,,,,,,,,,,,,,,,,,
72,PT06M45.00S,2025-12-20T00:54:27.1Z,1,REGULAR,substitution,in,[],1629631,,,1610612739,13,13,2025-12-20T00:57:02Z,720000,False,,,0,,SUB in: D. Hunter,[1629631],1610612739.0,CLE,,,,,,,,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,
73,PT06M23.00S,2025-12-20T00:57:39.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,6.1268068331143235,51.470588235294116,1610612739,15,13,2025-12-20T00:58:03Z,730000,False,-7.0,5.0,1,left,D. Garland driving finger roll Layup (7 PTS),[1629636],1610612739.0,CLE,driving finger roll,,,,,,Restricted Area,0-8 Center,0.9,Made,Garland,D. Garland,,,,,7.0,,,,,,,,,,,,,
74,PT06M13.00S,2025-12-20T00:57:46.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629632,81.8166885676741,43.627450980392155,1610612741,15,13,2025-12-20T00:57:53Z,740000,False,-32.0,118.0,1,right,MISS C. White 12' pullup Shot,[1629632],1610612741.0,CHI,pullup,,,,,,In The Paint (Non-RA),8-16 Center,12.26,Missed,White,C. White,,,,,,,,,,,,,,,,,,
75,PT06M11.00S,2025-12-20T00:57:48.9Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612739,15,13,2025-12-20T00:58:19Z,750000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),8-16 Center,,,Hunter,D. Hunter,74.0,1.0,1.0,0.0,,,,,,,,,,,,,,
76,PT06M05.00S,2025-12-20T00:57:57.2Z,1,REGULAR,foul,personal,[],1629632,,,1610612739,15,13,2025-12-20T00:58:03Z,760000,False,,,0,,C. White personal FOUL (1 PF),"[1629632, 1629631]",1610612741.0,CHI,,,,,,,In The Paint (Non-RA),8-16 Right,,,White,C. White,,,,,,,,,202027.0,,,,1.0,0.0,Hunter,1629631.0,,
78,PT06M05.00S,2025-12-20T00:58:04.2Z,1,REGULAR,substitution,out,[],1629731,,,1610612739,15,13,2025-12-20T00:58:22Z,780000,False,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,,,,,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,
79,PT06M05.00S,2025-12-20T00:58:04.2Z,1,REGULAR,substitution,out,[],1629632,,,1610612739,15,13,2025-12-20T00:58:22Z,790000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,,,,,,,,White,C. White,,,,,,,,,,,,,,,,,,
80,PT06M05.00S,2025-12-20T00:58:04.2Z,1,REGULAR,substitution,out,[],1641824,,,1610612739,15,13,2025-12-20T00:58:22Z,800000,False,,,0,,SUB out: M. Buzelis,[1641824],1610612741.0,CHI,,,,,,,,,,,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,
81,PT06M05.00S,2025-12-20T00:58:04.2Z,1,REGULAR,substitution,out,[],1630171,,,1610612739,15,13,2025-12-20T00:58:22Z,810000,False,,,0,,SUB out: I. Okoro,[1630171],1610612741.0,CHI,,,,,,,,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,
82,PT06M05.00S,2025-12-20T00:58:04.2Z,1,REGULAR,substitution,in,[],1628366,,,1610612739,15,13,2025-12-20T00:58:22Z,820000,False,,,0,,SUB in: L. Ball,[1628366],1610612739.0,CLE,,,,,,,,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,
83,PT06M05.00S,2025-12-20T00:58:04.2Z,1,REGULAR,substitution,in,[],1630245,,,1610612739,15,13,2025-12-20T00:58:22Z,830000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,,,,,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,
84,PT06M05.00S,2025-12-20T00:58:04.2Z,1,REGULAR,substitution,in,[],1630581,,,1610612739,15,13,2025-12-20T00:58:22Z,840000,False,,,0,,SUB in: J. Giddey,[1630581],1610612741.0,CHI,,,,,,,,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,
85,PT06M05.00S,2025-12-20T00:58:04.2Z,1,REGULAR,substitution,in,[],1630200,,,1610612739,15,13,2025-12-20T00:58:22Z,850000,False,,,0,,SUB in: T. Jones,[1630200],1610612741.0,CHI,,,,,,,,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,
86,PT05M58.00S,2025-12-20T00:58:30.0Z,1,REGULAR,3pt,Jump Shot,[],1629636,31.35676741130092,12.254901960784313,1610612739,15,13,2025-12-20T00:58:52Z,860000,False,189.0,242.0,1,left,MISS D. Garland 30' 3PT,[1629636],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,30.71,Missed,Garland,D. Garland,,,,,,,,,,,,,,,,,,
87,PT05M56.00S,2025-12-20T00:58:32.0Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612741,15,13,2025-12-20T00:58:52Z,870000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,,,Collins,Z. Collins,86.0,1.0,1.0,0.0,,,,,,,,,,,,,,
88,PT05M46.00S,2025-12-20T00:58:43.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630245,87.99277266754271,37.254901960784316,1610612741,15,13,2025-12-20T00:59:24Z,880000,False,-64.0,60.0,1,right,MISS A. Dosunmu 8' driving floating Shot - blocked,"[1630245, 1628386]",1610612741.0,CHI,driving floating,,,,,,In The Paint (Non-RA),8-16 Left,8.78,Missed,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,Allen,1628386.0
89,PT05M46.00S,2025-12-20T00:58:43.9Z,1,REGULAR,block,,[],1628386,,,1610612741,15,13,2025-12-20T00:58:46Z,890000,False,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),8-16 Left,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,
