actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
37,PT10M44.00S,2026-02-20T00:17:51.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,6,0,2026-02-20T00:20:07Z,247500,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,36.0,,,,,,,,,,,,,
26,PT10M29.00S,2026-02-20T00:18:21.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1642856,19.8915900131406,82.84313725490196,1610612751,6,0,2026-02-20T00:20:40Z,260000,False,-164.0,134.0,1,left,MISS E. Dëmin 21' pullup Shot,[1642856],1610612751.0,BKN,pullup,,,Dëmin,E. Dëmin,,,,,Mid-Range,16-24 Left Center,,,,,,Missed,,,21.23,,,,,,,,,,,
27,PT10M26.00S,2026-02-20T00:18:24.7Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,6,0,2026-02-20T00:18:27Z,270000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,,,,26.0,,,,,2.0,2.0,0.0,,,,,,
28,PT10M16.00S,2026-02-20T00:18:34.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,82.21090670170827,41.66666666666667,1610612739,8,0,2026-02-20T00:18:42Z,280000,False,-42.0,115.0,1,right,D. Mitchell 12' driving floating Jump Shot (2 PTS),[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,,2.0,12.2,,,,,,,,,,,
29,PT10M02.00S,2026-02-20T00:18:47.9Z,1,REGULAR,3pt,Jump Shot,[],1641730,7.5722733245729295,3.6764705882352944,1610612751,8,3,2026-02-20T00:18:51Z,290000,False,232.0,19.0,1,left,N. Clowney 3PT  (3 PTS) (N. Traore 1 AST),"[1641730, 1642849]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Right Corner 3,24+ Right,,,,,,Made,,3.0,23.24,,,,,,N. Traore,1642849.0,1.0,,,
31,PT09M50.00S,2026-02-20T00:19:01.8Z,1,REGULAR,foul,personal,['2freethrow'],1629008,,,1610612739,8,3,2026-02-20T00:19:10Z,310000,False,,,0,,M. Porter Jr. shooting personal FOUL (1 PF) (Allen 2 FT),"[1629008, 1628386]",1610612751.0,BKN,shooting,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,1630886.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,,,,
33,PT09M50.00S,2026-02-20T00:19:25.8Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,8,3,2026-02-20T00:19:25Z,330000,False,,,0,,MISS J. Allen Free Throw 1 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
34,PT09M50.00S,2026-02-20T00:19:25.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,8,3,2026-02-20T00:19:25Z,340000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,
35,PT09M50.00S,2026-02-20T00:19:40.9Z,1,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,9,3,2026-02-20T00:19:40Z,350000,False,,,0,,J. Allen Free Throw 2 of 2 (2 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Made,,2.0,,,,,,,,,,,,
38,PT09M29.00S,2026-02-20T00:20:02.5Z,1,REGULAR,3pt,Jump Shot,[],1642849,20.581471747700395,92.15686274509804,1610612751,9,3,2026-02-20T00:20:10Z,360000,False,-211.0,141.0,1,left,MISS N. Traore 25' 3PT,[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,25.36,,,,,,,,,,,
39,PT09M27.00S,2026-02-20T00:20:04.8Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,9,3,2026-02-20T00:20:04Z,370000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Left Center,,,,,,,38.0,,,,,1.0,1.0,0.0,,,,,,
40,PT09M19.00S,2026-02-20T00:20:13.2Z,1,REGULAR,3pt,Jump Shot,[],1629731,96.00854139290408,97.79411764705883,1610612739,12,3,2026-02-20T00:20:17Z,380000,False,239.0,-15.0,1,right,D. Wade 3PT  (6 PTS) (D. Mitchell 2 AST),"[1629731, 1628378]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Right Corner 3,24+ Right,,,,,,Made,,6.0,23.95,,,,,,D. Mitchell,1628378.0,2.0,,,
42,PT08M52.00S,2026-02-20T00:20:40.1Z,1,REGULAR,turnover,bad pass,[],1641730,,,1610612751,12,3,2026-02-20T00:20:47Z,400000,False,,,0,,N. Clowney bad pass TURNOVER (1 TO),"[1641730, 201935]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Harden,201935.0
43,PT08M52.00S,2026-02-20T00:20:40.1Z,1,REGULAR,steal,,[],201935,,,1610612739,12,3,2026-02-20T00:20:42Z,410000,False,,,0,,J. Harden STEAL (1 STL),[201935],1610612739.0,CLE,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT08M46.00S,2026-02-20T00:20:45.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628378,92.9862023653088,49.754901960784316,1610612739,14,3,2026-02-20T00:20:52Z,420000,False,-1.0,13.0,1,right,D. Mitchell running alley-oop DUNK (4 PTS) (J. Harden 2 AST),"[1628378, 201935]",1610612739.0,CLE,running alley-oop,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,Made,,4.0,1.35,,,,,,J. Harden,201935.0,2.0,,,
46,PT08M39.00S,2026-02-20T00:20:53.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642856,7.5722733245729295,50.0,1610612751,14,5,2026-02-20T00:20:57Z,440000,False,0.0,19.0,1,left,E. Dëmin driving Layup (2 PTS),[1642856],1610612751.0,BKN,driving,,,Dëmin,E. Dëmin,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,1.87,,,,,,,,,,,
47,PT08M26.00S,2026-02-20T00:21:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,92.9862023653088,48.03921568627451,1610612739,16,5,2026-02-20T00:21:36Z,450000,False,-10.0,13.0,1,right,J. Allen driving finger roll Layup (4 PTS) (E. Mobley 1 AST),"[1628386, 1630596]",1610612739.0,CLE,driving finger roll,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,Made,,4.0,1.66,,,,,,E. Mobley,1630596.0,1.0,,,
49,PT08M12.00S,2026-02-20T00:21:19.5Z,1,REGULAR,3pt,Jump Shot,[],1641730,9.017739816031538,3.6764705882352944,1610612751,16,8,2026-02-20T00:21:23Z,470000,False,232.0,32.0,1,left,N. Clowney 3PT  (6 PTS) (D. Sharpe 1 AST),"[1641730, 1630549]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Right Corner 3,24+ Right,,,,,,Made,,6.0,23.38,,,,,,D. Sharpe,1630549.0,1.0,,,
51,PT08M01.00S,2026-02-20T00:21:31.3Z,1,REGULAR,turnover,bad pass,[],1628378,,,1610612739,16,8,2026-02-20T00:21:39Z,490000,False,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1628378, 1642856]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,1.0,Dëmin,1642856.0
52,PT08M01.00S,2026-02-20T00:21:31.3Z,1,REGULAR,steal,,[],1642856,,,1610612751,16,8,2026-02-20T00:21:33Z,500000,False,,,0,,E. Dëmin STEAL (1 STL),[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
53,PT07M56.00S,2026-02-20T00:21:39.9Z,1,REGULAR,foul,personal,['2freethrow'],1630596,,,1610612751,16,8,2026-02-20T00:21:53Z,510000,False,,,0,,E. Mobley shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1630596, 1629008]",1610612739.0,CLE,shooting,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,202041.0,1.0,0.0,Porter Jr.,1629008.0,,,,,,,,,,,,,,,
55,PT07M56.00S,2026-02-20T00:22:05.9Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629008,,,1610612751,16,9,2026-02-20T00:22:05Z,530000,False,,,0,,M. Porter Jr. Free Throw 1 of 2 (1 PTS),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
56,PT07M56.00S,2026-02-20T00:22:19.3Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1629008,,,1610612751,16,10,2026-02-20T00:22:19Z,540000,False,,,0,,M. Porter Jr. Free Throw 2 of 2 (2 PTS),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,Made,,2.0,,,,,,,,,,,,
57,PT07M46.00S,2026-02-20T00:22:34.2Z,1,REGULAR,turnover,out-of-bounds,[],1630596,,,1610612739,16,10,2026-02-20T00:22:40Z,550000,False,,,0,,E. Mobley bad pass out-of-bounds TURNOVER (1 TO),[1630596],1610612739.0,CLE,bad pass,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Left,202041.0,,,,,,,,,,,,,,,,,1.0,,
58,PT07M30.00S,2026-02-20T00:22:57.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641730,17.559132720105126,95.34313725490196,1610612751,16,10,2026-02-20T00:23:01Z,560000,False,-227.0,113.0,1,left,MISS N. Clowney 25' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,25.31,,,,,,,,,,,
59,PT07M27.00S,2026-02-20T00:23:00.5Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,16,10,2026-02-20T00:23:01Z,570000,False,,,0,,D. Wade REBOUND (Off:0 Def:2),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Left Center,,,,,,,58.0,,,,,2.0,2.0,0.0,,,,,,
60,PT07M23.00S,2026-02-20T00:23:08.5Z,1,REGULAR,foul,personal,[],1642856,,,1610612739,16,10,2026-02-20T00:23:17Z,580000,False,,,0,,E. Dëmin personal FOUL (1 PF),"[1642856, 1630596]",1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Restricted Area,0-8 Center,200833.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,,,,,,,
62,PT07M23.00S,2026-02-20T00:23:17.8Z,1,REGULAR,substitution,out,[],1629731,,,1610612739,16,10,2026-02-20T00:23:31Z,600000,False,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M23.00S,2026-02-20T00:23:17.8Z,1,REGULAR,substitution,out,[],1628378,,,1610612739,16,10,2026-02-20T00:23:31Z,610000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M23.00S,2026-02-20T00:23:17.8Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,16,10,2026-02-20T00:23:31Z,620000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M23.00S,2026-02-20T00:23:17.8Z,1,REGULAR,substitution,in,[],1630241,,,1610612739,16,10,2026-02-20T00:23:31Z,630000,False,,,0,,SUB in: S. Merrill,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M23.00S,2026-02-20T00:23:17.8Z,1,REGULAR,substitution,in,[],203471,,,1610612739,16,10,2026-02-20T00:23:31Z,640000,False,,,0,,SUB in: D. Schröder,[203471],1610612739.0,CLE,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M23.00S,2026-02-20T00:23:17.8Z,1,REGULAR,substitution,in,[],1642281,,,1610612739,16,10,2026-02-20T00:23:31Z,650000,False,,,0,,SUB in: J. Tyson,[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M08.00S,2026-02-20T00:23:51.7Z,1,REGULAR,2pt,Jump Shot,[],203471,93.77463863337714,84.55882352941177,1610612739,16,10,2026-02-20T00:23:55Z,660000,False,173.0,6.0,1,right,MISS D. Schröder 17' Jump Shot,[203471],1610612739.0,CLE,,,,Schröder,D. Schröder,,,,,Mid-Range,16-24 Right,,,,,,Missed,,,17.29,,,,,,,,,,,
69,PT07M07.00S,2026-02-20T00:23:53.6Z,1,REGULAR,rebound,offensive,[],1630241,,,1610612739,16,10,2026-02-20T00:23:53Z,670000,False,,,0,,S. Merrill REBOUND (Off:1 Def:0),[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Mid-Range,16-24 Right,,,,,,,68.0,,,,,1.0,0.0,1.0,,,,,,
70,PT07M01.00S,2026-02-20T00:23:58.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630241,92.85479632063075,96.07843137254902,1610612739,16,10,2026-02-20T00:24:02Z,680000,False,230.0,15.0,1,right,MISS S. Merrill fadeaway 3PT,[1630241],1610612739.0,CLE,fadeaway,,,Merrill,S. Merrill,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,23.09,,,,,,,,,,,
71,PT06M59.00S,2026-02-20T00:24:00.4Z,1,REGULAR,rebound,defensive,[],1642856,,,1610612751,16,10,2026-02-20T00:24:00Z,690000,False,,,0,,E. Dëmin REBOUND (Off:0 Def:1),[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Right Corner 3,24+ Right,,,,,,,70.0,,,,,1.0,1.0,0.0,,,,,,
72,PT06M57.00S,2026-02-20T00:24:03.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642849,6.521024967148489,50.0,1610612751,16,10,2026-02-20T00:24:08Z,700000,False,0.0,9.0,1,left,MISS N. Traore running Layup,[1642849],1610612751.0,BKN,running,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,0.88,,,,,,,,,,,
73,PT06M54.00S,2026-02-20T00:24:06.5Z,1,REGULAR,rebound,defensive,[],1630241,,,1610612739,16,10,2026-02-20T00:24:08Z,710000,False,,,0,,S. Merrill REBOUND (Off:1 Def:1),[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Restricted Area,0-8 Center,,,,,,,72.0,,,,,2.0,1.0,1.0,,,,,,
74,PT06M50.00S,2026-02-20T00:24:10.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628386,94.30026281208936,50.73529411764706,1610612739,18,10,2026-02-20T00:24:25Z,720000,False,4.0,1.0,1,right,J. Allen running DUNK (6 PTS) (J. Harden 3 AST),"[1628386, 201935]",1610612739.0,CLE,running,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,Made,,6.0,0.39,,,,,,J. Harden,201935.0,3.0,,,
76,PT06M36.00S,2026-02-20T00:24:25.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642856,5.732588699080158,47.794117647058826,1610612751,18,10,2026-02-20T00:24:36Z,740000,False,11.0,1.0,1,left,MISS E. Dëmin driving Layup,[1642856],1610612751.0,BKN,driving,,,Dëmin,E. Dëmin,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,1.11,,,,,,,,,,,
77,PT06M36.00S,2026-02-20T00:24:25.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,18,10,2026-02-20T00:24:36Z,750000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,76.0,,,,,,,,,,,,,
78,PT06M36.00S,2026-02-20T00:24:30.6Z,1,REGULAR,foul,personal,[],203471,,,1610612751,18,10,2026-02-20T00:25:03Z,760000,False,,,0,,D. Schröder loose ball personal FOUL (1 PF),"[203471, 1630549]",1610612739.0,CLE,loose ball,,,Schröder,D. Schröder,,,,,Restricted Area,0-8 Center,202041.0,1.0,0.0,Sharpe,1630549.0,,,,,,,,,,,,,,,
80,PT06M36.00S,2026-02-20T00:24:45.6Z,1,REGULAR,substitution,out,[],1642856,,,1610612751,18,10,2026-02-20T00:24:53Z,780000,False,,,0,,SUB out: E. Dëmin,[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M36.00S,2026-02-20T00:24:45.6Z,1,REGULAR,substitution,out,[],1642849,,,1610612751,18,10,2026-02-20T00:24:53Z,790000,False,,,0,,SUB out: N. Traore,[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M36.00S,2026-02-20T00:24:45.6Z,1,REGULAR,substitution,in,[],1642962,,,1610612751,18,10,2026-02-20T00:24:53Z,800000,False,,,0,,SUB in: D. Powell,[1642962],1610612751.0,BKN,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M36.00S,2026-02-20T00:24:45.6Z,1,REGULAR,substitution,in,[],1629611,,,1610612751,18,10,2026-02-20T00:24:53Z,810000,False,,,0,,SUB in: T. Mann,[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M25.00S,2026-02-20T00:25:03.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629008,10.726018396846255,46.07843137254902,1610612751,18,12,2026-02-20T00:25:09Z,820000,False,20.0,48.0,1,left,M. Porter Jr. driving floating Jump Shot (4 PTS) (D. Sharpe 2 AST),"[1629008, 1630549]",1610612751.0,BKN,driving floating,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,,4.0,5.21,,,,,,D. Sharpe,1630549.0,2.0,,,
86,PT06M17.00S,2026-02-20T00:25:12.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,92.72339027595268,50.73529411764706,1610612739,18,12,2026-02-20T00:26:28Z,840000,False,4.0,16.0,1,right,MISS D. Schröder driving Layup - blocked,"[203471, 1629008]",1610612739.0,CLE,driving,,,Schröder,D. Schröder,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,1.63,Porter Jr.,1629008.0,,,,,,,,,
100,PT06M17.00S,2026-02-20T00:25:12.9Z,1,REGULAR,block,,[],1629008,,,1610612739,18,12,2026-02-20T00:26:28Z,845000,False,,,0,,M. Porter Jr. BLOCK (1 BLK),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
