actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
30,PT10M01.00S,2025-12-23T00:17:39.3Z,1,REGULAR,freethrow,2 of 2,[],1629636,,,1610612739,10,9,2025-12-23T00:17:39Z,280000,False,,,0,,D. Garland Free Throw 2 of 2 (8 PTS),[1629636],1610612739.0,CLE,,,,,,,,,,,Garland,D. Garland,,Made,,,,,,,,,8.0,,,,,,,,
31,PT09M45.00S,2025-12-23T00:17:59.3Z,1,REGULAR,foul,personal,['2freethrow'],1642281,,,1610612766,10,9,2025-12-23T00:18:07Z,290000,False,,,0,,J. Tyson shooting personal FOUL (1 PF) (Bridges 2 FT),"[1642281, 1628970]",1610612739.0,CLE,shooting,,,,,,In The Paint (Non-RA),0-8 Center,202058.0,,Tyson,J. Tyson,,,,,,,1.0,0.0,Bridges,1628970.0,,,,,,,,,
33,PT09M45.00S,2025-12-23T00:18:19.6Z,1,REGULAR,freethrow,1 of 2,[],1628970,,,1610612766,10,10,2025-12-23T00:18:36Z,310000,False,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628970],1610612766.0,CHA,,,,,,,,,,,Bridges,M. Bridges,,Made,,,,,,,,,1.0,,,,,,,,
34,PT09M45.00S,2025-12-23T00:18:19.6Z,1,REGULAR,freethrow,2 of 2,[],1628970,,,1610612766,10,10,2025-12-23T00:18:36Z,320000,False,,,0,,MISS M. Bridges Free Throw 2 of 2,[1628970],1610612766.0,CHA,,,,,,,,,,,Bridges,M. Bridges,,Missed,,,,,,,,,,,,,,,,,
35,PT09M43.00S,2025-12-23T00:18:21.6Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,10,10,2025-12-23T00:18:36Z,330000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,,,,,,,,Plumlee,M. Plumlee,,,34.0,1.0,0.0,1.0,,,,,,,,,,,,,
36,PT09M39.00S,2025-12-23T00:18:43.7Z,1,REGULAR,turnover,out-of-bounds,[],203486,,,1610612766,10,10,2025-12-23T00:18:51Z,340000,False,,,0,,M. Plumlee bad pass out-of-bounds TURNOVER (1 TO),[203486],1610612766.0,CHA,bad pass,,,,,,In The Paint (Non-RA),0-8 Center,1627541.0,1.0,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,
38,PT09M33.00S,2025-12-23T00:19:07.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629636,23.99802890932983,85.7843137254902,1610612739,10,10,2025-12-23T00:19:10Z,360000,False,-179.0,173.0,1,left,MISS D. Garland 24' 3PT,[1629636],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Garland,D. Garland,24.89,Missed,,,,,,,,,,,,,,,,,
39,PT09M31.00S,2025-12-23T00:19:10.0Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,10,10,2025-12-23T00:19:10Z,370000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Left Center,,,Ball,L. Ball,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,
40,PT09M26.00S,2025-12-23T00:19:15.3Z,1,REGULAR,turnover,bad pass,[],1628970,,,1610612766,10,10,2025-12-23T00:19:20Z,380000,False,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628970, 1629636]",1610612766.0,CHA,,,,,,,Mid-Range,8-16 Left,,1.0,Bridges,M. Bridges,,,,,,,,,,,,,,,Garland,1629636.0,,,
41,PT09M26.00S,2025-12-23T00:19:15.3Z,1,REGULAR,steal,,[],1629636,,,1610612739,10,10,2025-12-23T00:19:17Z,390000,False,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,,,,Mid-Range,8-16 Left,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,
42,PT09M22.00S,2025-12-23T00:19:20.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628378,16.90210249671485,98.0392156862745,1610612739,13,10,2025-12-23T00:21:02Z,400000,False,-240.0,106.0,1,left,D. Mitchell 26' 3PT running (3 PTS) (D. Garland 1 AST),"[1628378, 1629636]",1610612739.0,CLE,running,,,,,,Above the Break 3,24+ Left Center,,,Mitchell,D. Mitchell,26.27,Made,,,,,,,,,3.0,D. Garland,1629636.0,1.0,,,,,
44,PT09M05.00S,2025-12-23T00:19:36.9Z,1,REGULAR,3pt,Jump Shot,[],1630163,70.77858081471747,25.0,1610612766,13,13,2025-12-23T00:21:47Z,420000,False,-125.0,222.0,1,right,L. Ball 25' 3PT pullup (9 PTS),[1630163],1610612766.0,CHA,pullup,,,,,,Above the Break 3,24+ Left Center,,,Ball,L. Ball,25.49,Made,,,,,,,,,9.0,,,,,,,,
45,PT08M48.00S,2025-12-23T00:19:54.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,22.683968462549277,87.5,1610612739,16,13,2025-12-23T00:19:58Z,430000,False,-188.0,161.0,1,left,D. Mitchell 24' 3PT pullup (6 PTS) (J. Allen 1 AST),"[1628378, 1628386]",1610612739.0,CLE,pullup,,,,,,Above the Break 3,24+ Left Center,,,Mitchell,D. Mitchell,24.69,Made,,,,,,,,,6.0,J. Allen,1628386.0,1.0,,,,,
47,PT08M37.00S,2025-12-23T00:20:04.4Z,1,REGULAR,3pt,Jump Shot,[],1630163,72.48685939553219,7.598039215686274,1610612766,16,13,2025-12-23T00:23:20Z,450000,False,-212.0,206.0,1,right,MISS L. Ball 29' pullup 3PT,[1630163],1610612766.0,CHA,pullup,,,,,,Above the Break 3,24+ Left Center,,,Ball,L. Ball,29.57,Missed,,,,,,,,,,,,,,,,,
48,PT08M33.00S,2025-12-23T00:20:08.4Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,16,13,2025-12-23T00:20:09Z,460000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Wade,D. Wade,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,
49,PT08M27.00S,2025-12-23T00:20:13.9Z,1,REGULAR,3pt,Jump Shot,[],1628378,25.18068331143233,6.61764705882353,1610612739,16,13,2025-12-23T00:20:19Z,470000,False,217.0,184.0,1,left,MISS D. Mitchell 28' 3PT,[1628378],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,,,Mitchell,D. Mitchell,28.46,Missed,,,,,,,,,,,,,,,,,
50,PT08M22.00S,2025-12-23T00:20:18.9Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,16,13,2025-12-23T00:20:19Z,480000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Right Center,,,Bridges,M. Bridges,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,
51,PT08M17.00S,2025-12-23T00:20:23.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641706,93.9060446780552,51.470588235294116,1610612766,16,15,2025-12-23T00:20:31Z,490000,False,7.0,5.0,1,right,B. Miller running alley-oop Layup (2 PTS) (L. Ball 2 AST),"[1641706, 1630163]",1610612766.0,CHA,running alley-oop,,,,,,Restricted Area,0-8 Center,,,Miller,B. Miller,0.88,Made,,,,,,,,,2.0,L. Ball,1630163.0,2.0,,,,,
53,PT08M07.00S,2025-12-23T00:20:34.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,6.1268068331143235,49.50980392156863,1610612739,18,15,2025-12-23T00:20:39Z,510000,False,2.0,5.0,1,left,J. Allen driving Layup (4 PTS) (D. Mitchell 1 AST),"[1628386, 1628378]",1610612739.0,CLE,driving,,,,,,Restricted Area,0-8 Center,,,Allen,J. Allen,0.57,Made,,,,,,,,,4.0,D. Mitchell,1628378.0,1.0,,,,,
55,PT07M57.00S,2025-12-23T00:20:44.4Z,1,REGULAR,turnover,lost ball,[],1630163,,,1610612766,18,15,2025-12-23T00:20:51Z,530000,False,,,0,,L. Ball lost ball TURNOVER (1 TO),"[1630163, 1628386]",1610612766.0,CHA,,,,,,,Mid-Range,8-16 Left,,1.0,Ball,L. Ball,,,,,,,,,,,,,,,Allen,1628386.0,,,
56,PT07M57.00S,2025-12-23T00:20:44.4Z,1,REGULAR,steal,,[],1628386,,,1610612739,18,15,2025-12-23T00:20:46Z,540000,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,,,,Mid-Range,8-16 Left,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,
57,PT07M53.00S,2025-12-23T00:20:50.7Z,1,REGULAR,foul,personal,['2freethrow'],1641706,,,1610612739,18,15,2025-12-23T00:21:02Z,550000,False,,,0,,B. Miller shooting personal FOUL (2 PF) (Mitchell 2 FT),"[1641706, 1628378]",1610612766.0,CHA,shooting,,,,,,Restricted Area,0-8 Center,1629178.0,,Miller,B. Miller,,,,,,,2.0,0.0,Mitchell,1628378.0,,,,,,,,,
59,PT07M53.00S,2025-12-23T00:21:23.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1628378,,,1610612739,19,15,2025-12-23T00:21:23Z,570000,False,,,0,,D. Mitchell Free Throw 1 of 2 (7 PTS),[1628378],1610612739.0,CLE,,,,,,,,,,,Mitchell,D. Mitchell,,Made,,,,,,,,,7.0,,,,,,,,
60,PT07M53.00S,2025-12-23T00:21:36.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,19,15,2025-12-23T00:21:36Z,580000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M53.00S,2025-12-23T00:21:38.9Z,1,REGULAR,substitution,out,[],203486,,,1610612739,19,15,2025-12-23T00:24:30Z,590000,False,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,,,,,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,
62,PT07M53.00S,2025-12-23T00:21:38.9Z,1,REGULAR,substitution,out,[],1641706,,,1610612739,19,15,2025-12-23T00:24:30Z,600000,False,,,0,,SUB out: B. Miller,[1641706],1610612766.0,CHA,,,,,,,,,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,
63,PT07M53.00S,2025-12-23T00:21:38.9Z,1,REGULAR,substitution,in,[],1642883,,,1610612739,19,15,2025-12-23T00:24:30Z,610000,False,,,0,,SUB in: S. James,[1642883],1610612766.0,CHA,,,,,,,,,,,James,S. James,,,,,,,,,,,,,,,,,,,
64,PT07M53.00S,2025-12-23T00:21:38.9Z,1,REGULAR,substitution,in,[],1631217,,,1610612739,19,15,2025-12-23T00:24:30Z,620000,False,,,0,,SUB in: M. Diabaté,[1631217],1610612766.0,CHA,,,,,,,,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,
65,PT07M53.00S,2025-12-23T00:25:05.6Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1628378,,,1610612739,20,15,2025-12-23T00:25:05Z,630000,False,,,0,,D. Mitchell Free Throw 2 of 2 (8 PTS),[1628378],1610612739.0,CLE,,,,,,,,,,,Mitchell,D. Mitchell,,Made,,,,,,,,,8.0,,,,,,,,
66,PT07M40.00S,2025-12-23T00:25:19.2Z,1,REGULAR,2pt,Jump Shot,[],1642851,84.83902759526939,31.61764705882353,1610612766,20,17,2025-12-23T00:25:25Z,640000,False,-92.0,90.0,1,right,K. Knueppel 12' pullup Jump Shot (2 PTS),[1642851],1610612766.0,CHA,pullup,,,,,,Mid-Range,8-16 Left,,,Knueppel,K. Knueppel,12.86,Made,,,,,,,,,2.0,,,,,,,,
68,PT07M25.00S,2025-12-23T00:25:33.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,9.937582128777924,50.49019607843137,1610612739,22,17,2025-12-23T00:25:38Z,660000,False,-2.0,41.0,1,left,J. Allen turnaround Hook (6 PTS) (D. Mitchell 2 AST),"[1628386, 1628378]",1610612739.0,CLE,turnaround,,,,,,Restricted Area,0-8 Center,,,Allen,J. Allen,4.1,Made,,,,,,,,,6.0,D. Mitchell,1628378.0,2.0,,,,,
70,PT07M15.00S,2025-12-23T00:25:44.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,85.89027595269383,60.29411764705882,1610612766,22,17,2025-12-23T00:26:58Z,680000,False,51.0,80.0,1,right,MISS L. Ball 9' driving floating Shot,[1630163],1610612766.0,CHA,driving floating,,,,,,In The Paint (Non-RA),8-16 Right,,,Ball,L. Ball,9.52,Missed,,,,,,,,,,,,,,,,,
71,PT07M13.00S,2025-12-23T00:25:46.7Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,22,17,2025-12-23T00:25:55Z,690000,False,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),8-16 Right,,,Allen,J. Allen,,,70.0,2.0,2.0,0.0,,,,,,,,,,,,,
72,PT07M13.00S,2025-12-23T00:25:50.9Z,1,REGULAR,foul,personal,[],1630163,,,1610612739,22,17,2025-12-23T00:25:54Z,700000,False,,,0,,L. Ball personal FOUL (1 PF),"[1630163, 1628386]",1610612766.0,CHA,,,,,,,In The Paint (Non-RA),8-16 Right,1627541.0,,Ball,L. Ball,,,,,,,1.0,0.0,Allen,1628386.0,,,,,,,,,
74,PT07M13.00S,2025-12-23T00:25:56.6Z,1,REGULAR,substitution,out,[],1629731,,,1610612739,22,17,2025-12-23T00:26:04Z,720000,False,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,,,,,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,
75,PT07M13.00S,2025-12-23T00:25:56.6Z,1,REGULAR,substitution,out,[],1628378,,,1610612739,22,17,2025-12-23T00:26:04Z,730000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
76,PT07M13.00S,2025-12-23T00:25:56.6Z,1,REGULAR,substitution,in,[],1630241,,,1610612739,22,17,2025-12-23T00:26:04Z,740000,False,,,0,,SUB in: S. Merrill,[1630241],1610612739.0,CLE,,,,,,,,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,
77,PT07M13.00S,2025-12-23T00:25:56.6Z,1,REGULAR,substitution,in,[],1629631,,,1610612739,22,17,2025-12-23T00:26:04Z,750000,False,,,0,,SUB in: D. Hunter,[1629631],1610612739.0,CLE,,,,,,,,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,
79,PT06M57.00S,2025-12-23T00:26:36.7Z,1,REGULAR,2pt,Jump Shot,[],1629631,11.514454664914586,13.23529411764706,1610612739,22,17,2025-12-23T00:26:45Z,770000,False,184.0,56.0,1,left,MISS D. Hunter 19' pullup Shot,[1629631],1610612739.0,CLE,pullup,,,,,,Mid-Range,16-24 Right,,,Hunter,D. Hunter,19.21,Missed,,,,,,,,,,,,,,,,,
80,PT06M54.00S,2025-12-23T00:26:39.7Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,22,17,2025-12-23T00:26:45Z,780000,False,,,0,,L. Ball REBOUND (Off:0 Def:2),[1630163],1610612766.0,CHA,,,,,,,Mid-Range,16-24 Right,,,Ball,L. Ball,,,79.0,2.0,2.0,0.0,,,,,,,,,,,,,
81,PT06M45.00S,2025-12-23T00:26:49.3Z,1,REGULAR,3pt,Jump Shot,[],1628970,69.59592641261499,23.284313725490197,1610612766,22,17,2025-12-23T00:26:55Z,790000,False,-134.0,233.0,1,right,MISS M. Bridges 26' 3PT,[1628970],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Left Center,,,Bridges,M. Bridges,26.88,Missed,,,,,,,,,,,,,,,,,
82,PT06M43.00S,2025-12-23T00:26:51.3Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,22,17,2025-12-23T00:27:13Z,800000,False,,,0,,J. Allen REBOUND (Off:0 Def:3),[1628386],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Allen,J. Allen,,,81.0,3.0,3.0,0.0,,,,,,,,,,,,,
83,PT06M39.00S,2025-12-23T00:26:55.7Z,1,REGULAR,turnover,bad pass,[],1628386,,,1610612739,22,17,2025-12-23T00:27:00Z,810000,False,,,0,,J. Allen bad pass TURNOVER (1 TO),"[1628386, 1631217]",1610612739.0,CLE,,,,,,,Mid-Range,16-24 Right Center,,1.0,Allen,J. Allen,,,,,,,,,,,,,,,Diabaté,1631217.0,,,
84,PT06M39.00S,2025-12-23T00:26:55.7Z,1,REGULAR,steal,,[],1631217,,,1610612766,22,17,2025-12-23T00:26:57Z,820000,False,,,0,,M. Diabaté STEAL (1 STL),[1631217],1610612766.0,CHA,,,,,,,Mid-Range,16-24 Right Center,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,
85,PT06M35.00S,2025-12-23T00:26:58.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642883,94.82588699080158,52.450980392156865,1610612766,22,19,2025-12-23T00:28:59Z,830000,False,12.0,-4.0,1,right,S. James running DUNK (2 PTS) (K. Knueppel 1 AST),"[1642883, 1642851]",1610612766.0,CHA,running,,,,,,Restricted Area,0-8 Center,,,James,S. James,1.29,Made,,,,,,,,,2.0,K. Knueppel,1642851.0,1.0,,,,,
87,PT06M23.00S,2025-12-23T00:27:11.8Z,1,REGULAR,3pt,Jump Shot,[],1630241,22.026938239159,87.5,1610612739,22,19,2025-12-23T00:27:15Z,850000,False,-188.0,155.0,1,left,MISS S. Merrill 24' 3PT,[1630241],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Merrill,S. Merrill,24.3,Missed,,,,,,,,,,,,,,,,,
88,PT06M21.00S,2025-12-23T00:27:13.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,22,19,2025-12-23T00:27:15Z,860000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Left Center,,,,,,,87.0,,,,,,,,,,,,,,,,
90,PT06M21.00S,2025-12-23T00:27:17.6Z,1,REGULAR,substitution,out,[],1630163,,,1610612766,22,19,2025-12-23T00:27:24Z,880000,False,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,,,,,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,
91,PT06M21.00S,2025-12-23T00:27:17.6Z,1,REGULAR,substitution,in,[],1630182,,,1610612766,22,19,2025-12-23T00:27:24Z,890000,False,,,0,,SUB in: J. Green,[1630182],1610612766.0,CHA,,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,
92,PT06M02.00S,2025-12-23T00:27:50.8Z,1,REGULAR,3pt,Jump Shot,[],1642851,77.61169513797634,6.61764705882353,1610612766,22,19,2025-12-23T00:27:54Z,900000,False,-217.0,158.0,1,right,MISS K. Knueppel 26' 3PT,[1642851],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Left Center,,,Knueppel,K. Knueppel,26.83,Missed,,,,,,,,,,,,,,,,,
93,PT05M59.00S,2025-12-23T00:27:53.8Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612739,22,19,2025-12-23T00:27:54Z,910000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Hunter,D. Hunter,,,92.0,1.0,1.0,0.0,,,,,,,,,,,,,
